Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),HOCO(37),HCOH(38),CH3OO(39),CH3OOH(40),CH2OOH(41),C2H5O(42),C2H5O2(43),H2CC(44),C2H4O(45),C2H5O(46),cC2H4O(47),C2H5O2(48),C2H3O2(49),CHCHO(50),OCHCHO(51),HCCOH(52),CHCHOH(53),C2(54),C2O(55),C2H6O(56),C2H5O(57),C2H5O3(58),cC2H3O(59),HOCHO(60),C2H3O3(61),OCHCO(62),C2H6O2(63),C2H5O2(64),C2H4O2(65),HOCH2O(66),OCHO(67),C2H4O3(68),C2H3O2(69),N2,Ne,C7H16(1),O2(2),CH4(3),C4H9(99),C5H11(101),C3H7(100),S(160),S(162),S(161),S(177),C7H15(105),S(194),S(267),S(266),S(268)
0.0,0.001653275553615514,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.001653275553615514,3.7850898617757064e-36,1.6741569039923399e-44,5.5929559646347649e-41,1.9417352585074406e-45,1.079044787486977e-50,0.0,0.0,2.3932661542364701e-28,4.4305261955751846e-42,3.4000290390464059e-51,5.7080166210719331e-58,1.951765646658091e-60,4.5017943042441534e-79,1.6629269647040672e-65,5.2807748868656378e-51,2.2968842650477428e-28,5.5929446104047024e-41,-3.5278299164521344e-108,4.7352314391171462e-106,7.3284018951499246e-71,9.1117848977891263e-69,7.3773660748397988e-46,2.0019264056644257e-56,1.475686824249456e-44,8.3542539333204302e-77,3.2443723660848825e-65,7.5422492196166303e-39,8.5757607771985264e-44,1.5421318887965954e-30,2.0254522822626736e-56,4.2002829309789279e-78,1.2500514715101756e-72,8.0357567804420269e-58,3.782956266162037e-95,1.7227041879103172e-71,1.4062565642196569e-35,1.0534274849224014e-48,1.1376866761107625e-52,1.0413869749378695e-58,2.4460114172291556e-37,2.9926507042873062e-79,1.5370267447043814e-78,1.4553435350959613e-70,4.4328243182583193e-61,5.7177790535313061e-53,7.4733960098238998e-72,2.5875109757715116e-74,1.8974487336692537e-73,3.7049078715786915e-111,2.5052938527971431e-102,-1.0834783964968985e-151,-3.0152774757012995e-143,1.4356406094867247e-70,4.798546663691578e-69,4.6046195586893925e-77,3.2270500951250997e-88,1.9053391193393033e-71,6.7159709125812054e-85,4.8156013092881054e-93,4.2726283945754569e-49,7.2217937189234939e-54,1.8548105517519166e-66,3.1846666841450917e-65,3.129525229297171e-99,-3.479277521806709e-111,-4.0603849101168468e-100,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.3803580154923805e-30,1.5421320457345349e-30,1.3803580352480534e-30,8.5210029502920039e-38,6.5456896666109336e-38,9.5196402412380444e-38,2.1623674266070386e-48,9.6381738491740493e-30,1.201710056712669e-48,4.7846402659727908e-36,1.0734554513204282e-54,5.965601383984821e-55
3.0000000000000002e-15,0.001653275553615514,1.2436721611397194e-35,1.0386795460950825e-43,3.6753709643272924e-40,1.0335953656484682e-44,1.0173850664094131e-49,0.0,0.0,7.8635887927387868e-28,2.9114886428463966e-41,2.2342934856927401e-50,5.3818246089860136e-57,1.840236026100555e-59,4.2445300755569138e-78,1.092780426859076e-64,3.4702053329181566e-50,7.5469049802332277e-28,3.6753635032852069e-40,2.0871943460137511e-106,5.817833958711463e-105,6.9100477165256767e-70,8.5911073485859373e-68,2.4239631355689617e-45,1.8875305757298515e-55,9.6973702989597437e-44,1.0303744755227177e-75,3.0589788975821745e-64,4.9563348493012145e-38,5.6354995386950273e-43,5.0670039490268424e-30,1.9097119798026765e-55,6.3602945173609287e-77,1.5357772295016789e-71,9.8722453701208782e-57,6.7171584306408446e-94,1.6249848675264314e-70,9.2411143188639657e-35,9.9323161021772461e-48,1.0726578026818228e-51,9.8277457136055675e-58,1.6073788170571985e-36,1.9665988980060853e-78,2.328819035226154e-77,1.7892447128721671e-69,5.446041086828402e-60,5.3910485401148532e-52,9.1815990571036857e-71,3.1789013230388806e-73,2.3311508658601632e-72,6.66887815344708e-110,3.7937604339903137e-101,5.8048876053640966e-150,2.1081876421669049e-130,1.7655796679275674e-69,5.8994827665840526e-68,6.9766684241866583e-76,4.8866753277439312e-87,2.8851969927397384e-70,1.2088533511972147e-83,7.2920414447321707e-92,4.0284780010056469e-48,6.8088898872566726e-53,2.2787671578856243e-65,3.9125389895493493e-64,5.6161344535512076e-98,1.7595314384374575e-109,2.2956485469875972e-98,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,4.5354617709213461e-30,5.0670049803332005e-30,4.5354619007443341e-30,5.5995160741213266e-37,4.3014531208015e-37,6.255763419153737e-37,2.0388032237814083e-47,3.1668269784390148e-29,1.1330407175769948e-47,3.1441914961044878e-35,1.3188165236299177e-53,7.3291664562162735e-54
7e-15,0.001653275553615514,2.7577064069525246e-35,5.4471891985456656e-43,1.9974838726442339e-39,4.8374617671599215e-44,1.6432307511672636e-48,0.0,0.0,1.7436653411578737e-27,1.5823307842965645e-40,1.2142499365277088e-49,8.6921715083834789e-56,2.9722577105363892e-58,6.8552802726130037e-77,5.9390187561326848e-64,1.8859169238740444e-49,1.6734438504611765e-27,1.9974798188231931e-39,4.0291090780867605e-105,2.944338420553864e-103,1.1166868243059595e-68,1.3875878959392535e-66,5.374690916076357e-45,3.0486473463010635e-54,5.2703090241985703e-43,5.4543004378609449e-74,4.940703121884906e-63,2.6936589987606201e-37,3.0627700716671577e-42,1.1235525164791258e-29,3.0844716505834259e-54,1.0500783578135905e-74,7.7681577517006143e-70,4.9919666521134377e-55,3.6279155379536889e-91,2.6247917295526644e-69,5.0223438685003423e-34,1.6042192673036497e-46,1.7322353851438695e-50,1.586766314744336e-56,8.7357503995304726e-36,1.0688032563274493e-77,3.8460303729114681e-75,9.0489714129149268e-68,2.7546822464573654e-58,8.7073560460237677e-51,4.6441702619386885e-69,1.6076853517964427e-71,1.179125991160234e-70,3.7133090314721605e-107,6.2661630952106884e-99,2.1327120341412292e-147,2.0405029473861992e-128,8.9278495262537369e-68,2.9836187164756895e-66,1.1521927564824829e-73,8.0703773065196495e-85,4.7641699292148597e-68,6.7281082139437018e-81,1.2039057029706455e-89,6.5065993921089555e-47,1.0993986373273608e-51,1.1526316701538659e-63,1.978704104522611e-62,3.1076469062091276e-95,2.7320439289229993e-106,2.0010132347598994e-96,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.0056891690418944e-29,1.123553076971354e-29,1.0056892395978439e-29,3.0432147259365075e-36,2.3377459476663626e-36,3.3998708295101693e-36,3.2929709361242726e-46,7.0220844888833194e-29,1.8300295738321968e-46,1.7087973259897007e-34,6.6707474496594997e-52,3.7071888414581866e-52
1.5e-14,0.001653275553615514,5.785770574119372e-35,2.3781267543747293e-42,8.8368661017318511e-39,2.0150710626751059e-43,1.5282350193667651e-47,0.0,0.0,3.6582782654079917e-27,7.0002313907635851e-40,5.3715477711490312e-49,8.0834584841327767e-55,2.7642520862732279e-57,6.3751323216140891e-76,2.6274180006035368e-63,8.3428244409822071e-49,3.5109496553124381e-27,8.836848175661063e-39,7.2305251542159418e-104,5.6673450437906052e-102,1.0394289503404294e-67,1.2904738624411729e-65,1.1275589978966689e-44,2.8352984668137907e-53,2.331584035540229e-42,1.1188979046948773e-72,4.5949301408155419e-62,1.1916738257836292e-36,1.3549684385268907e-41,2.3572551459635372e-29,2.8686127883604517e-53,4.117825885400035e-73,1.494016977884611e-68,9.5963983076570729e-54,2.8704272129640313e-89,2.442140491765394e-68,2.2218842880480301e-33,1.4919536184027298e-45,1.6106183199732858e-49,1.4761383379244732e-55,3.8646930070055957e-35,4.7283819764183991e-77,1.5092755608814445e-73,1.7408144156739829e-66,5.2979783849566624e-57,8.0979984003903853e-50,8.9319364609779503e-68,3.0912912794048678e-70,2.2677633800548565e-69,2.9460330223338465e-105,2.4587821649248896e-97,1.6459268702396083e-145,9.6329494461156395e-127,1.717503984996795e-66,5.7397959013124953e-65,4.5214851018839808e-72,3.1661934224907476e-83,1.8686640281054131e-66,5.3345831802920488e-79,4.7210335897100402e-88,6.0512551978391653e-46,1.0219652528726634e-50,2.2168138202309829e-62,3.8046699159694059e-61,2.463296497315353e-93,4.1984557628505248e-104,8.095053723825264e-95,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,2.1099746075852525e-29,2.35725762557853e-29,2.109974919724613e-29,1.3463178039773951e-35,1.0342185767529081e-35,1.5041024184837596e-35,3.0625171940358211e-45,1.473256889007409e-28,1.701957667985464e-45,7.5597017313834919e-34,1.2829580468112196e-50,7.1298874262115428e-51
3.1e-14,0.001653275553615514,1.1841881610667426e-34,9.8517622552671087e-42,3.6833571196240233e-38,8.1599184536959232e-43,1.2898272117484464e-46,0.0,0.0,7.4875041158367295e-27,2.9178179675182532e-39,2.2387149033260749e-48,6.8217228809189136e-54,2.3330187468131159e-56,5.3799267908417506e-75,1.0951502590970162e-62,3.4770495303571497e-48,7.1859576649207034e-27,3.6833496542717903e-38,1.2392857746405243e-102,9.6512623563998126e-101,8.7875068362788833e-67,1.089143077924935e-64,2.3075162532081495e-44,2.3929860649208458e-52,9.7184415058211258e-42,2.137157637452324e-71,3.8780863356731165e-61,4.9670959216066783e-36,5.6477351893773986e-41,4.8246539502753616e-29,2.4210984016799486e-52,1.4044628034529201e-71,2.5401545118693697e-67,1.6301063519200969e-52,1.9617399764914155e-87,2.0630269484463412e-67,9.2611942191795518e-33,1.2592057860467962e-44,1.3587079954967516e-48,1.2466239572455009e-54,1.6108687162416552e-34,1.9708687333252058e-76,5.1553191944086181e-72,2.9615284751857028e-65,9.007766258341543e-56,6.8346874880410326e-49,1.5186238550061194e-66,5.2535106378741529e-69,3.8556925590810523e-68,2.0162020696002725e-103,8.3965850824095547e-96,1.1787292101534683e-143,3.7946700336946834e-125,2.9218812862245711e-65,9.7647162692774693e-64,1.544430573695235e-70,1.0808650373755232e-81,6.3762803974247198e-65,3.6463728694430192e-77,1.6101860916596253e-86,5.1072424721192648e-45,8.617156437438412e-50,3.7690868629440086e-61,6.4657848644104611e-60,1.6841310455893135e-91,5.8655228055255292e-102,3.6676259021227213e-93,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,4.3185433032494781e-29,4.8246642857197228e-29,4.3185446042992139e-29,5.6116831419566772e-35,4.3108006888053569e-35,6.2693564339413748e-35,2.5847470378445493e-44,3.015341521463721e-28,1.4364426110689789e-44,3.1510005458901499e-33,2.1813128904597218e-49,1.2122388502431864e-49
6.300000000000001e-14,0.001653275553615514,2.3954034493016366e-34,4.0026282310376924e-41,1.5009863136821547e-37,3.2778333284352743e-42,1.0556520348495996e-45,0.0,0.0,1.5145955824408176e-26,1.1890266457565747e-38,9.1209410482942373e-48,5.5820602452532949e-53,1.9094393848256085e-55,4.4020752960807274e-74,4.462770916546417e-62,1.4166044327634409e-47,1.4535959283788435e-26,1.5009832768247852e-37,2.0567457006695252e-101,1.5884712503929389e-99,7.2161637992418394e-66,8.9138000910355729e-64,4.6665408705036895e-44,1.9585263600482113e-51,3.960313139860799e-41,4.2743929919047781e-70,3.1739573550140187e-60,2.0241124701032064e-35,2.3014758299260076e-40,9.7594257404060975e-29,1.9815267780843724e-51,4.6054802291507246e-70,4.1673619578983536e-66,2.6694724935732476e-51,1.288299820711902e-85,1.6915425907223478e-66,3.7739826382317658e-32,1.0305900996337911e-43,1.1109665201159975e-47,1.0215496787950443e-53,6.564357731174185e-34,8.0313729459033508e-76,1.6955549493144173e-70,4.8644914556511895e-64,1.4778244176234294e-54,5.5938020251636854e-48,2.4914449048437185e-65,8.6111613174496115e-68,6.3256273038964334e-67,1.3263788618290345e-101,2.7602381893076619e-94,8.2498722561216796e-142,1.5205696353600839e-123,4.7993963687820572e-64,1.6039123912178971e-62,5.0795498942798678e-69,3.5507327452146944e-80,2.0927571043416222e-63,2.3928970843322058e-75,5.2800034010853535e-85,4.1799874124505116e-44,7.0392990822672815e-49,6.1836069436682471e-60,1.0597966664296669e-58,1.1059046774952677e-89,7.7844173917188145e-100,2.3523319177016573e-91,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,8.7356719689052036e-29,9.7594678577287301e-29,8.7356772707428417e-29,2.286788727476699e-34,1.7566731334075615e-34,2.5547938581159142e-34,2.1154538525175568e-43,6.0994617960273098e-28,1.1756385529828808e-43,1.2840381424273927e-32,3.5786635463816225e-48,1.9888000912330988e-48
1.2700000000000001e-13,0.001653275553615514,4.8178063497888551e-34,1.6128407644222017e-40,6.057144511486547e-37,1.3132947972420419e-41,8.5346941768131611e-45,0.0,0.0,3.0462859272406621e-26,4.7982598806873157e-38,3.6791453969015605e-47,4.5111182755228885e-52,1.5437246520887691e-54,3.5572016967212397e-73,1.8009089617066846e-61,5.7141235330736661e-47,2.9235904920354391e-26,6.0571322992519046e-37,3.3864174040422642e-100,2.5871806594316788e-98,5.8730065090863021e-65,7.2062193368175087e-63,9.3810332156712822e-44,1.5834216933414049e-50,1.5981617208253398e-40,9.3966381191849268e-69,2.5660019810756056e-59,8.1681597508361495e-35,9.2874395400886433e-40,1.9628866047776574e-28,1.6020040997786103e-50,1.4860043098280408e-68,6.7442665529224849e-65,4.3044776438698246e-50,8.3300091447767721e-84,1.3725382702694435e-65,1.5229691420044208e-31,8.332074479988943e-43,8.9648046013561489e-47,8.2793034270237011e-53,2.6489991660161558e-33,3.2410025733652314e-75,5.503442021833361e-69,7.8913267014944788e-63,2.3916940433356214e-53,4.5224379792575959e-47,4.0320392856569461e-64,1.3911004536567449e-66,1.0237109123192558e-65,8.6038547959784803e-100,8.9504956941263657e-93,5.9239018926987576e-140,6.6007121344951246e-122,7.7858104179210062e-63,2.6019094907958824e-61,1.6487272628368361e-67,1.1498002987659874e-78,6.7644770928494582e-62,1.5445826042593879e-73,1.7035947223737283e-83,3.3794080558059504e-43,5.6696222816354869e-48,1.0007478369644518e-58,1.7119763647440996e-57,7.1479250523751062e-88,1.0105298290071652e-97,2.2320852820255011e-89,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.7569894397663657e-28,1.9629036008807293e-28,1.7569915792889164e-28,9.2282051416376296e-34,7.0889576940290408e-34,1.030972452512858e-33,1.7102643580475064e-42,1.2267506389984813e-27,9.5045939810276305e-43,5.1815801061850919e-32,5.7915925736870369e-47,3.2186097528817264e-47
2.55e-13,0.001653275553615514,9.6625014493633493e-34,6.4743274327481074e-40,2.4332816845510788e-36,5.2568453249368877e-41,6.8624448441039565e-44,0.0,0.0,6.1096666291823147e-26,1.9275700527479233e-37,1.4767394370859922e-46,3.6242687158712371e-51,1.2412358800333829e-53,2.857375659113154e-72,7.2344936023038954e-61,2.2934749493999396e-46,5.863556579061395e-26,2.4332768130461703e-36,5.6953490142094357e-99,4.2149351087488542e-97,4.7848384447671088e-64,5.7936627570126746e-62,1.8795811787048421e-43,1.2731731867470318e-49,6.4201498577439245e-40,2.3050198788297237e-67,2.063124063385734e-58,3.2812961934991238e-34,3.7309309278619359e-39,3.9367333579598571e-28,1.2880939283401478e-49,4.7480156491514292e-67,1.0849385593379587e-63,6.8746536501040025e-49,5.3424494441360476e-82,1.1115971332569215e-64,6.1180857812501909e-31,6.6995256204950386e-42,7.1809462263265638e-46,6.6897635684466978e-52,1.0641504444194511e-32,1.3019688316295719e-74,1.7793335322429024e-67,1.2755309976171121e-61,3.8476414884496794e-52,3.6363043866914596e-46,6.4862711575625953e-63,2.2298700067821214e-65,1.6468278599485006e-64,5.5532753548058352e-98,2.8882792177021228e-91,4.54691097759512e-138,3.1854109434028993e-120,1.2585017520298057e-61,4.2056304385288545e-60,5.330573174353292e-66,3.7001255814833936e-77,2.1689746599867225e-60,9.8719095485296575e-72,5.4429252135031757e-82,2.7172432067460902e-42,4.5245743941279877e-47,1.6099546293178457e-57,2.7439485797097951e-56,4.5805065966234169e-86,1.2952737559485965e-95,2.5894548225460154e-87,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,3.5238199646071733e-28,3.9368016340439101e-28,3.523828559486901e-28,3.7071629960092415e-33,2.8477855446747101e-33,4.1416319538789199e-33,1.3751155073105071e-41,2.4602811807029695e-27,7.6420456028244723e-42,2.0814829097108765e-31,9.3169910667946402e-46,5.1778100795162587e-46
5.11e-13,0.001653275553615514,1.9351448863154324e-33,2.5942468913280413e-39,9.7537008964200368e-36,2.1033696214449775e-40,5.5035863790717658e-43,0.0,0.0,1.2236428082431399e-25,7.7266478762738675e-37,5.9094454201031411e-46,2.9018747232059779e-50,9.9542466718377223e-53,2.2870253963384396e-71,2.899806611543251e-60,9.1772330174332866e-46,1.1743396593408933e-25,9.7536816450197413e-36,1.0497624063721659e-97,6.9311213712620467e-96,3.9377050788493002e-63,4.645471600664351e-61,3.7568715447755986e-43,1.0210673371203456e-48,2.5734882525386098e-39,6.216299626732751e-66,1.6544253512752653e-57,1.3152732906697368e-33,1.4955046585064405e-38,7.8842616380724072e-28,1.0330003470683549e-48,1.5020768630542578e-65,1.7403604124009291e-62,1.0871033355982103e-47,3.404019774143695e-80,9.0429799372497411e-64,2.4524074139213866e-30,5.3729275424697064e-41,5.7156555934865929e-45,5.4174955198860982e-51,4.2655358060012054e-32,5.2188060100763713e-74,5.7624325484134895e-66,2.0655559160717112e-60,6.172566342118995e-51,2.916221882018521e-45,1.0404686689231323e-61,3.5516557541407946e-64,2.6416979308937708e-63,3.5835946462082698e-96,9.3191754841949978e-90,3.8829245042709209e-136,1.6975390680403982e-118,2.038063187285938e-60,6.8104044512301609e-59,1.7263412141155134e-64,1.1872315792045241e-75,6.9094354725532999e-59,6.2471229011963341e-70,1.7217136434129761e-80,2.1791613073662173e-41,3.5750185352385597e-46,2.5827644771724857e-56,4.3696090398185282e-55,2.9136253251117057e-84,1.6415291113100432e-93,3.1811470729232807e-85,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,7.0574251715277809e-28,7.8845353131461075e-28,7.0574596234784938e-28,1.4859996468938671e-32,1.1415244472604848e-32,1.6601545813510782e-32,1.1027477104786463e-40,4.9270287956056894e-27,6.1283964470757015e-41,8.3430003127656951e-31,1.4945974839607527e-44,8.3060572200720652e-45
