Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),HOCO(37),HCOH(38),CH3OO(39),CH3OOH(40),CH2OOH(41),C2H5O(42),C2H5O2(43),H2CC(44),C2H4O(45),C2H5O(46),cC2H4O(47),C2H5O2(48),C2H3O2(49),CHCHO(50),OCHCHO(51),HCCOH(52),CHCHOH(53),C2(54),C2O(55),C2H6O(56),C2H5O(57),C2H5O3(58),cC2H3O(59),HOCHO(60),C2H3O3(61),OCHCO(62),C2H6O2(63),C2H5O2(64),C2H4O2(65),HOCH2O(66),OCHO(67),C2H4O3(68),C2H3O2(69),N2,Ne,C7H16(1),O2(2),CH4(3),C4H9(99),C5H11(101),C3H7(100),S(160),S(162),S(161),S(177),C7H15(105),S(194),S(267),S(266),S(268),C7H15(102),S(310),C7H15(103),S(829),S(830),S(859),S(882),S(752),S(926),C7H15(106),S(900),S(992),S(1016),S(1066),S(847),S(779),S(1065),S(1245),S(1588),S(184),S(1604),S(848),S(1887),S(1607),S(1912),S(1910),C7H14(241),S(303),S(1907),S(1869),S(306),S(1017),S(1020),S(2655),S(2670),S(2747)
0.0,0.002286877615822857,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.002286877615822857,2.1231194354891717e-26,1.9943804310058164e-34,1.4804946245754703e-34,2.7196402391334915e-34,1.5462030086594445e-42,0.0,0.0,4.6021741654185618e-23,6.5093463054142996e-35,5.3840746661950381e-40,8.6558334016772527e-47,2.0648810716186161e-50,1.8755445485324327e-61,2.650893414980139e-50,8.9132629388643848e-40,3.750703973074736e-23,1.3528706051351588e-34,-6.8565386468250516e-84,8.2256473624023722e-82,2.1482119626928644e-54,1.6771651671950209e-52,1.6159483082422917e-34,1.2926546770243019e-47,8.1621664898723707e-37,1.909325374039629e-62,1.2117177086821945e-51,8.4486765461676787e-31,3.7095462218309375e-34,1.4618166171857695e-22,4.44558127267285e-46,8.9115109675778304e-63,4.7356396332886758e-59,3.0691168757651791e-46,6.0647703281833895e-76,4.0143703854439922e-57,1.1830268202207766e-30,8.1165217211078898e-42,1.4724138865966782e-43,3.2900101621773835e-45,1.219909493501432e-29,1.1205630727519771e-58,1.6639919526435257e-62,5.0544241455416435e-55,1.1731776067209523e-49,1.1154013231446174e-42,1.3619300682940359e-58,1.9711789304291998e-60,8.4225682068460391e-60,1.9349474887994177e-89,2.7877628106886061e-81,-2.1380326904210614e-116,-1.4987648559403037e-109,3.5636757467721185e-56,2.7865236361109741e-53,5.3911761261449864e-62,3.9364286237999926e-71,1.0764227452121806e-58,6.3243392076760154e-70,9.3435425832868882e-76,7.459351118787795e-40,3.0313716842630964e-42,5.1527973627877998e-53,7.0596019438910684e-54,2.4564852343764088e-79,4.2003795056605159e-81,-4.891348779165345e-82,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.6908909598711403e-22,1.4618166734076998e-22,1.6908909821491064e-22,7.8971193876155636e-30,5.748184212576005e-30,6.8272532489385501e-30,1.5434120840897436e-38,3.6776637508494871e-24,4.6598275061706048e-39,1.3198630030125606e-30,5.5390939653516166e-45,1.6723480758633561e-45,3.0634617781661942e-24,2.1100024681269859e-40,1.5317308891243447e-24,1.0994343588434124e-30,5.4971717480310487e-31,5.5930697545023186e-39,2.0072758941653544e-45,8.5075930374319493e-54,1.8846079976982529e-59,2.6307220510471221e-25,5.6413075783989762e-54,8.4519586654904126e-54,1.2286496662898108e-32,1.9650432509696894e-42,9.2898138740090811e-40,1.7576136352964556e-40,4.4722134788521128e-47,9.5108916799402169e-53,3.4133283871734165e-59,4.1987791187710177e-39,1.7364374553065541e-67,7.2795954974917313e-40,2.6125468308121192e-46,2.7295351379278913e-68,1.4866625582551118e-74,8.3934259062942204e-56,9.8865333366089704e-34,7.2816251849504481e-40,2.6132752770505473e-46,2.4717774060992079e-47,8.8887406023498004e-46,2.6803192393971872e-64,1.9949915690995364e-66,4.882049751815236e-74,3.1474462162125451e-81,4.312823055907038e-91
3.0000000000000002e-15,0.002286877615822857,6.9759636916416617e-26,6.9991012140360124e-34,9.7289645162653039e-34,1.2562330001245473e-33,1.4578485343905407e-41,0.0,0.0,1.5121429556928785e-22,4.2775704484919998e-34,3.5380927894831152e-39,8.1611918490031223e-46,1.9468877648490609e-49,1.7683645384496593e-60,1.7420153838771987e-49,5.8572639037614729e-39,1.2323741284446818e-22,8.8902924410267296e-34,4.0551506761597775e-82,1.010592636871603e-80,2.0254917283993715e-53,1.5813266166857189e-51,5.3094973887549787e-34,1.2187886847468413e-46,5.3637093397639174e-36,2.3573632750013345e-61,1.142476531231098e-50,5.5519872845425318e-30,2.4377017118422998e-33,4.8031113294481295e-22,4.1915475330093373e-45,1.3494314705660562e-61,5.8180968119426024e-58,3.7705403160429642e-45,7.4958041051119334e-75,3.7849823412532961e-56,7.7741761483199214e-30,7.6527205273811061e-41,1.3882521931460753e-42,3.1031813400536579e-44,8.0165477968209625e-29,7.3638669763080942e-58,2.5203490731213144e-61,6.2115211021389983e-54,1.4413324174718301e-48,1.0516640373798282e-41,1.6732281833315554e-57,2.4216174267441122e-59,1.0347725672699579e-58,3.483108308648499e-88,4.221761547535987e-80,1.1423174801665777e-114,1.5670530165505911e-101,4.3808986839985962e-55,3.424435579614519e-52,8.1657009227748017e-61,5.9608667923988416e-70,1.6299895272049849e-57,1.1383626730952206e-68,1.4146285829313789e-74,7.0331023073537931e-39,2.8580627817577012e-41,6.3305793062122382e-52,8.6730805777121936e-53,3.0850385981006804e-78,8.7606694493127771e-80,3.3852083310717591e-80,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,5.5557843192674024e-22,4.8031116989065071e-22,5.5557844656654569e-22,5.1895354828307445e-29,3.7773781381311931e-29,4.4864806081736197e-29,1.4552168978656392e-37,1.208374797786986e-23,4.3935510728256185e-38,8.6733839232810158e-30,6.8051717621216029e-44,2.0545988343852e-44,1.0065656516678383e-23,1.9894306547530355e-39,5.0328282586104238e-24,7.2248531105569779e-30,3.6124265117317393e-30,5.2734642718919576e-38,2.4660812462991651e-44,1.2882919089642846e-52,3.3922927322591926e-58,8.6438007297727766e-25,7.5759260150517136e-53,1.3765301347268993e-52,8.0739833931386137e-32,1.8527550463314823e-41,8.7589656331136358e-39,1.6571783710410581e-39,4.2166653202466107e-46,1.1684823460860798e-51,5.1687592837101767e-58,3.958848007862354e-38,3.1255897909677658e-66,6.8636169694817125e-39,3.2096997695351974e-45,4.913166893102423e-67,3.1007553209754712e-73,1.2710042936927946e-54,6.4968642938492177e-33,6.8655306472790449e-39,3.2105947133961427e-45,3.0367545366398326e-46,8.3799094985754902e-45,5.1254555595745126e-63,4.384930008679979e-65,1.2125464858739591e-72,8.7165295675761571e-80,1.3176156390239239e-89
7e-15,0.002286877615822857,1.5468440149388753e-25,1.8390540080305559e-33,5.2874801513479491e-33,5.1190496429113692e-33,2.3546460220598163e-40,0.0,0.0,3.3530127414390991e-22,2.3247666160639818e-33,1.9228290583221412e-38,1.3181228264105409e-44,3.144517203106681e-48,2.8560873060958328e-59,9.4674646980619821e-49,3.1832136599637976e-38,2.7326554564522068e-22,4.8316802960510163e-33,7.8236644113366112e-81,5.1119000809479668e-79,3.2715952275763642e-52,2.5540740721565802e-50,1.1772930578617104e-33,1.9685282319117275e-45,2.9150591837692849e-35,1.2629026235311354e-59,1.845270249512708e-49,3.0173838276399923e-29,1.3248375647815676e-32,1.0650374639882287e-21,6.7699765898128739e-44,2.2279594849069455e-59,2.943027946758454e-56,1.9066517236262042e-43,4.5039330405901331e-73,6.1133207297452322e-55,4.2250953832144545e-29,1.2360302033853464e-39,2.2418859814147896e-41,5.0112437585313962e-43,4.3568183820565928e-28,4.0021762758109854e-57,4.1622560762801156e-59,3.1416124365168333e-52,7.2904561855047565e-47,1.6985957670477718e-40,8.4634103117930436e-56,1.2241798102532704e-57,5.2340180710996446e-57,1.9412270313429142e-85,6.9794793287564985e-78,4.1703028515905991e-112,1.468771352032591e-99,2.2153734291584778e-53,1.7319824870765266e-50,1.3485348800779851e-58,9.8441603244477573e-68,2.6913989960815951e-55,6.335954847857966e-66,2.3301055380681989e-72,1.1359523089082874e-37,4.614907026387973e-40,3.2020934587409313e-50,4.3860869013070108e-51,2.5798027179349743e-76,1.684113732893652e-76,6.0141697525542138e-78,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.2319346144957679e-21,1.0650376647807478e-21,1.2319346940599097e-21,2.8203993131309423e-28,2.0529226935486755e-28,2.4383043308152441e-28,2.3503926685904588e-36,2.6794369722291846e-23,7.0962421468170133e-37,4.7137902169822753e-29,3.4421458304101443e-42,1.0392433611528026e-42,2.2319475992929819e-23,3.2132283264979085e-38,1.1159737997939535e-23,3.9265461915576728e-29,1.9632730254444922e-29,8.5174216513863062e-37,1.2473748647312601e-42,2.1276077142262381e-50,1.8886289261975625e-55,1.9166686675830514e-24,5.0204416295147969e-51,3.0224695452748541e-50,4.3880339994299525e-31,2.9924798135694991e-40,1.4147030944743432e-37,2.6765912043146508e-38,6.8106554940505724e-45,5.9104298334107133e-50,8.5363748347234592e-56,6.3941263957937374e-37,1.7401833630145865e-63,1.1085757031666312e-37,1.6235071493711424e-43,2.7354225207734909e-64,5.9625774239070203e-70,2.0990706302371279e-52,3.5309028446279037e-32,1.108884750381894e-37,1.6239597978988702e-43,1.5360294036771601e-44,1.3521469870148045e-43,3.7558331018945018e-60,1.1186397275186186e-61,1.0951108966013562e-68,2.8241489389364979e-75,1.5479417278083387e-84
1.5e-14,0.002286877615822857,3.245338979598145e-25,4.9863386562151664e-33,2.3391808046340501e-32,1.990821720764737e-32,2.189864617374528e-39,0.0,0.0,7.0347526173136778e-22,1.0284768008985779e-32,8.5062470062787954e-38,1.2258303537501304e-43,2.924457777323343e-47,2.6560843984335583e-58,4.1883988758892383e-48,1.4081935087993216e-37,5.7332174475377711e-22,2.1375350848745827e-32,1.402840692666587e-79,9.8317225956983359e-78,3.0427232300591517e-51,2.3753251197629337e-49,2.4698880564340975e-33,1.8307679567905219e-44,1.2896220065112154e-34,2.6319019901354684e-58,1.7161323761626781e-48,1.3348901892940083e-28,5.8610790195446542e-32,2.2344893221425632e-21,6.2961939232076606e-43,8.737173299003066e-58,5.6606630107530541e-55,3.6654390915118098e-42,1.3369865394349879e-71,5.6855088623908849e-54,1.8691819406347247e-28,1.1495311319774194e-38,2.0844830999711959e-40,4.6609212169553074e-42,1.9274556638620768e-27,1.7705721383963304e-56,1.6330642728376678e-57,6.0425942645395831e-51,1.4021462215198617e-45,1.5797244780705533e-39,1.6277342867774851e-54,2.3523829316034101e-56,1.0066383267366288e-55,1.5421374767077408e-83,2.742320321345213e-76,3.1667078554336429e-110,6.5491046762446033e-98,4.2610340264408209e-52,3.3313027462062426e-49,5.2910000253238491e-57,3.8619457205732576e-66,1.0555898158524719e-53,5.0238514053294852e-64,9.1066301458734026e-71,1.0564565585041903e-36,4.2900582556546079e-39,6.1584668086055448e-49,8.4330736836425454e-50,1.1694644954015744e-74,2.6861581118145726e-74,6.251408774232027e-76,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,2.5846464670318864e-21,2.2344902104481103e-21,2.5846468190235082e-21,1.2477443579056054e-27,9.082128470526371e-28,1.0787055805438316e-27,2.1859047427918623e-35,5.6215528552259324e-23,6.5996258942145147e-36,2.0853768282957246e-28,6.620142001839456e-41,1.9987356953632226e-41,4.6827044598470687e-23,2.9883573620394311e-37,2.3413522305760022e-23,1.7371007927481829e-28,8.6855033096204416e-29,7.9213296055319252e-36,2.3990217131333843e-41,8.3470052934894525e-49,1.4981138793666648e-53,4.0212452819961285e-24,1.0415366218385072e-49,1.2785912277876138e-48,1.9412659081685904e-30,2.7830619255986456e-39,1.3156966745879642e-36,2.4892757292312949e-37,6.3341863894625972e-44,1.1367558615850437e-48,3.3490912616625934e-54,5.94663859847553e-36,1.3804066353700485e-61,1.0309926545844818e-36,3.1224225521634352e-42,2.1698827001555537e-62,9.5143737899049858e-68,8.2351249076669936e-51,1.5620701963938601e-31,1.0312800148398889e-36,3.1232930383639574e-42,2.9541807768924061e-43,1.2555783040255469e-42,3.1197154746579281e-58,1.868813267213265e-59,3.6695420850834611e-66,1.8954202409980792e-72,2.0793244130528684e-81
3.1e-14,0.002286877615822857,6.6423276013532539e-25,1.4756894037505093e-32,9.7501082990973465e-32,7.7740678578412539e-32,1.8482416058765037e-38,0.0,0.0,1.439823358658973e-21,4.2868702552114764e-32,3.5452673105906864e-37,1.0345182640389824e-42,2.4682339667844119e-46,2.2415148041904554e-57,1.7457912455649918e-47,5.8691044661501618e-37,1.173433876999217e-21,8.9096150410227992e-32,2.400057322048762e-78,1.6716648809803145e-76,2.5681584998843618e-50,2.0047511926618173e-48,5.0547115479959946e-33,1.5451648164542102e-43,5.3753669625341585e-34,5.1554911389196855e-57,1.4484070264693771e-47,5.5640506541957982e-28,2.4429975542840385e-31,4.5733898227257347e-21,5.3139587389785573e-42,2.9802158310799357e-56,9.6259126698224777e-54,6.2268631062753802e-41,5.4659597969417304e-70,4.798571008264032e-53,7.7910727227650429e-28,9.702021770853052e-38,1.7584505831169928e-39,3.9345244625011387e-41,8.0339633873545797e-27,7.3800665009319366e-56,5.5758511032962133e-56,1.0275583050971377e-49,2.3839661966961046e-44,1.3332824995533502e-38,2.7675108810646114e-53,3.9927560593545097e-55,1.7115103933473405e-54,1.0581646427490888e-81,9.3895341064445685e-75,2.2066797974543309e-108,2.3431473968892588e-96,7.2460060042621567e-51,5.6649581671451459e-48,1.8065412627884124e-55,1.3182815624282713e-64,3.6014549698237946e-52,3.4342474260434801e-62,3.0853852126766525e-69,8.9164696528515833e-36,3.6176695792600022e-38,1.0470788615168486e-47,1.4329659411220146e-48,6.5530983056213987e-73,3.6762907570663708e-72,7.5110960406622684e-74,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,5.2900681216979812e-21,4.5733935253329199e-21,5.2900695888590117e-21,5.2008126605977232e-27,3.7855875678648022e-27,4.496230040498171e-27,1.8448925539817649e-34,1.1505750757888457e-22,5.5700529787109694e-35,8.6921803447662408e-28,1.1255712212073196e-39,3.3982958332750399e-40,9.5841900423487286e-23,2.5221600577817403e-36,4.7920950238941714e-23,7.240511245133507e-28,3.6202550704932398e-28,6.6855357987573115e-35,4.0788541392181079e-40,2.849415842592468e-47,1.0249085036012026e-51,8.2303962116182537e-24,1.8390851846859384e-48,4.5364461007682252e-47,8.0915305916202596e-30,2.3488990358580265e-38,1.1104396600613672e-35,2.1009375552217088e-36,5.346290119564725e-43,1.9328263531776211e-47,1.143353906179594e-52,5.0189220208616656e-35,9.4444109420919004e-60,8.701502539286402e-36,5.3087982827855115e-41,1.4845804005224425e-60,1.3032556064316366e-65,2.8112747697757905e-49,6.5109697949617189e-31,8.7039268695101239e-36,5.3102780516737825e-41,5.0227522037896992e-42,1.0564979323621879e-41,2.1000244679200052e-56,2.5195960095032393e-57,9.9018802828886399e-64,1.0232903321618482e-69,2.2455591918441497e-78
6.300000000000001e-14,0.002286877615822857,1.3436299614587077e-24,4.8201937821307474e-32,3.9732192723312837e-31,3.064220192818877e-31,1.512683858381754e-37,0.0,0.0,2.9125200395236141e-21,1.7469232070998578e-31,1.4444850365966712e-36,8.4656519014616377e-42,2.0201087205599269e-45,1.8342046799601905e-56,7.1141443446202196e-47,2.391293715185789e-36,2.3736570776043766e-21,3.6307146065382146e-31,3.9646336294227534e-77,2.7426995154274969e-75,2.1020596082956013e-49,1.6407477516227565e-47,1.0222892924808407e-32,1.2646324012578705e-42,2.1904900210018526e-33,1.0676944660580017e-55,1.1854323810466831e-46,2.2673780631973336e-27,9.9553318592769128e-31,9.2511779610260071e-21,4.349154415321348e-41,9.7741992181646938e-55,1.5797296944086659e-52,1.0198817612498933e-39,2.9900205162712489e-68,3.9273859736159225e-52,3.1749026860703956e-27,7.9405710747128427e-37,1.4378104171895023e-38,3.2213679546877121e-40,3.2738784334784138e-26,3.0074172237988373e-55,1.8323447810777244e-54,1.6864203411374336e-48,3.9111596629067093e-43,1.0912149870132726e-37,4.5403869737905471e-52,6.528299900213367e-54,2.8079125419564481e-53,6.997498262933248e-80,3.1028577825251859e-73,1.4657859926294113e-106,7.9710183327779058e-95,1.1892115341066564e-49,9.2972647076042265e-47,5.9367446850300112e-54,4.3300282183438752e-63,1.1817422599057497e-50,2.2540458924691159e-60,9.9854805641373758e-68,7.2976326707511497e-35,2.9557634281941145e-37,1.7178484374289516e-46,2.3481659523776542e-47,4.0667367994131768e-71,4.8273209658639442e-70,9.5020575241767987e-72,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.0700903229418427e-20,9.2511930493141711e-21,1.0700909208169827e-20,2.1193573904154831e-26,1.5426464538478139e-26,1.8322364349974206e-26,1.5099315366406914e-33,2.3274011111646598e-22,4.5587505396487207e-34,3.5420844085948669e-27,1.8466143773197004e-38,5.5752544481341246e-39,1.9387048654352214e-22,2.0642360281115349e-35,9.6935243382601524e-23,2.9505261494381536e-27,1.47526262288198e-27,5.4716584766362135e-34,6.6917245298847553e-39,9.3601887033140493e-46,6.7376127374052605e-50,1.6648688873965109e-23,3.0756051192998391e-47,1.5199098256414559e-45,3.2973403923932926e-29,1.9224443951863277e-37,9.088240882985327e-35,1.719491006442594e-35,4.3760498072436313e-42,3.1712897678248022e-46,3.7563538935839892e-51,4.1076624211393391e-34,6.2094185227293693e-58,7.1216086465225027e-35,8.7095798759540741e-40,9.7606566497451875e-59,1.7142221933504053e-63,9.2352353590001067e-48,2.6532474165018904e-30,7.1235912192291486e-35,8.7120067652534639e-40,8.2402997042168201e-41,8.5949490651307487e-41,1.2719326487087796e-54,3.0546700689229627e-55,2.4019029007455062e-61,4.9654350393732946e-67,2.1795071229430379e-75
1.2700000000000001e-13,0.002286877615822857,2.702422271976775e-24,1.707076669254249e-31,1.6033713406452548e-30,1.2158496765047543e-30,1.2229697102982649e-36,0.0,0.0,5.8579153492800024e-21,7.0496272965099116e-31,5.8272908829657928e-36,6.8421667625279702e-41,1.6332032983736776e-44,1.4823438118079528e-55,2.8708387089697619e-46,9.6467410343054273e-36,4.7740992232795892e-21,1.4651559441380321e-30,6.4402040980618395e-76,4.4392188092443653e-74,1.6997267724989968e-48,1.3264569720928343e-46,2.0553396579460284e-32,1.0224261742335002e-41,8.8396077778248195e-33,2.438766095273076e-54,9.5838008807072862e-46,9.1498729904987119e-27,4.0174136909671423e-30,1.8606702786449579e-20,3.5161451535194409e-40,3.1547375421428433e-53,2.5582065725434946e-51,1.6450765798750225e-38,1.8357747215195445e-66,3.1752327966827121e-51,1.2812153474076686e-26,6.4197688131642869e-36,1.1602052032377219e-37,2.6063027095512334e-39,1.3211536992678262e-25,1.2136265694768926e-54,5.9375960895276764e-53,2.731214050636168e-47,6.3297677323104454e-42,8.8221670353418745e-37,7.3480357142742143e-51,1.0494007192943164e-52,4.5442578271672407e-52,4.5860501237629097e-78,1.0166414604913011e-71,9.5464007030677191e-105,2.687210750132912e-93,1.9259753918066126e-48,1.5057170370646738e-45,1.9238034875519225e-52,1.4017393707180461e-61,3.8179046511358307e-49,1.4554110517304523e-58,3.1403696541976074e-66,5.8999562677537475e-34,2.381465078862647e-36,2.7801426019897847e-45,3.7912939260796599e-46,2.5891731972659448e-69,6.2346877449201978e-68,1.2119402514061014e-69,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,2.1522540638514972e-20,1.8606763674213536e-20,2.1522564765403363e-20,8.5525489665463931e-26,6.2252674734409647e-26,7.3938884363072027e-26,1.2207262432567705e-32,4.6809990026950876e-22,3.6855940697093083e-33,1.4293699919868634e-26,2.9885051080366187e-37,9.0228354703667124e-38,3.8992315677769467e-22,1.6688659072500813e-34,1.9496157883617377e-22,1.1906533478924824e-26,5.9532630865389407e-27,4.4235728348530142e-33,1.0829518340612567e-37,3.0307739821821495e-44,4.3642029160783841e-48,3.3485237410419272e-23,5.0257938785938615e-46,4.9710498487109239e-44,1.3306240882752993e-28,1.554251618302426e-36,7.3474769121280667e-34,1.3901514149122478e-34,3.5385907011501744e-41,5.133261485311371e-45,1.2166047677248554e-49,3.3208710319370187e-33,4.0230924400002e-56,5.7575070957492419e-34,1.4095175854842162e-38,6.3239237805606636e-57,2.2215417799812141e-61,2.990533787981592e-46,1.0706987220068022e-29,5.7591073610982369e-34,1.4099100798091564e-38,1.333573152292279e-39,6.8664050166265077e-40,6.9708705970804512e-53,3.3511713409413861e-53,5.2722042353345782e-59,2.1803096042041132e-64,1.9142392806046829e-72
2.55e-13,0.002286877615822857,5.419998524353002e-24,6.3818096688156903e-31,6.4410895365247879e-30,4.8429593258625785e-30,9.833481793363333e-36,0.0,0.0,1.1748713760816327e-20,2.8319976487291771e-30,2.3394631480198871e-35,5.4981532955109973e-40,1.3131907437243718e-43,1.1909895313759353e-54,1.1532489898067316e-45,3.872738986884587e-35,9.5749664925517679e-21,5.8858525135051683e-30,1.037835139018381e-74,7.1430890368523698e-73,1.3671095599967354e-47,1.066479284035314e-45,4.1190994072872618e-32,8.2209843509964375e-41,3.5510637906203088e-32,6.1653281501566891e-53,7.7057750936159112e-45,3.6756941073667853e-26,1.6138762429215215e-29,3.7317546634887275e-20,2.8271398130951325e-39,1.0086174964281421e-51,4.1206340370028908e-50,2.6290352189849527e-37,1.1607479635075119e-64,2.553148648319778e-50,5.1469222339606207e-26,5.1619197120640339e-35,9.2931438321953281e-37,2.0986960610607371e-38,5.3073408948709067e-25,4.8753916082564353e-54,1.9133839335373659e-51,4.4000554008812946e-46,1.0182997593414996e-40,7.0935190499580243e-36,1.1820924605461776e-49,1.6657303581668075e-51,7.3104668103340343e-51,3.0204741172855069e-76,3.3481678637966429e-70,6.1626205294324771e-103,9.2139037057661296e-92,3.1028181263640478e-47,2.4257290869597109e-44,6.1996874136666837e-51,4.5082259262746503e-60,1.2229811788649671e-47,9.3077498084492249e-57,9.5551298344192036e-65,4.7439372247987467e-33,1.9017984239961633e-35,4.4725472703500438e-44,6.0706221965105867e-45,1.6515139629451826e-67,7.9751078174420873e-66,1.5363933665283549e-67,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,4.3165684232151672e-20,3.7317791232482413e-20,4.31657811547394e-20,3.4357405206244801e-25,2.5008248925778377e-25,2.970282086574791e-25,9.8151487857607655e-32,9.3879780801150009e-22,2.9633803819014451e-32,5.7419342690556195e-26,4.8076516520324452e-36,1.4515203829883443e-36,7.8201049013517085e-22,1.3418444556017865e-33,3.9100524686483946e-22,4.7829861637705214e-26,2.3914901448135921e-26,3.5566255178937759e-32,1.74210659766861e-36,9.7516170283255107e-43,2.8086789158985912e-46,6.715818732516988e-23,8.1242317333869973e-45,1.6077191167684291e-42,5.3454051057848899e-28,1.2497207033130363e-35,5.9076068799598667e-33,1.1177458249347434e-33,2.8463148713765491e-40,8.260981259236718e-44,3.916522683060213e-48,2.6700727630289309e-32,2.5904634233017765e-54,4.6291770787373513e-33,2.2674644863023336e-37,4.0719375110392508e-55,2.8610153658083599e-59,9.623551807888862e-45,4.301187744622232e-29,4.6304596194119572e-33,2.2680950414747505e-37,2.1452994755912476e-38,5.3930801316922554e-39,3.4026025503032902e-51,3.2752151986714296e-51,1.0310499731377237e-56,8.5301486429688973e-62,1.4980461694056804e-69
5.11e-13,0.002286877615822857,1.0855117553305001e-23,2.462969138422425e-30,2.5818912553733023e-29,1.9330151415867513e-29,7.8863435478090583e-35,0.0,0.0,2.3530341751304043e-20,1.1352055176985328e-29,9.3657782065378454e-35,4.4040150539753293e-39,1.0531447244516283e-42,9.5369945941517309e-54,4.6225307161365205e-45,1.5503226064783359e-34,1.917663294328057e-20,2.3593293301316552e-29,1.6672952828271323e-73,1.1464045397116869e-71,1.0970752824916369e-46,8.5517709383653801e-45,8.2372761954344888e-32,6.5931455055201221e-40,1.4234347810887051e-31,1.6808084322185427e-51,6.1795740266986015e-44,1.4733845018505674e-25,6.4691276046378458e-29,7.4738411140512083e-20,2.2672185394261749e-38,3.1947631799718189e-50,6.6269199910185228e-49,4.1626113289284342e-36,7.3568835634917599e-63,2.0476808719302422e-49,2.0631304881572236e-25,4.1398067878849857e-34,7.3964346460728838e-36,1.6880326205385594e-37,2.1274159112127988e-24,1.9542778387857257e-53,6.156212658745104e-50,7.0786944758453792e-45,1.6335957254707842e-39,5.688788395857272e-35,1.8962912424882235e-48,2.6028333524650789e-50,1.1727419705848637e-49,2.0267141061444811e-74,1.1236162677730504e-68,3.9621469006364314e-101,3.3001513296620387e-90,4.9918045025314764e-46,3.9023872990704996e-43,1.9948761517579882e-49,1.4448203103083429e-58,3.8882952446331625e-46,5.8972759306019839e-55,2.7642379130404977e-63,3.804559051659449e-32,1.5046887821784067e-34,7.1750327141917914e-43,9.6480016052166296e-44,1.047608362156757e-65,1.0106607287124913e-63,1.9204116001594396e-65,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,8.6451446527767534e-20,7.4739391588682254e-20,8.6451835036258157e-20,1.377203362663517e-24,1.0024482477753262e-24,1.1906262239260536e-24,7.871168605316907e-31,1.8801069502332733e-21,2.3764699045499946e-31,2.3015132172136552e-25,7.7123048314490696e-35,2.3285016729425635e-35,1.5661131357076744e-21,1.0760904024738946e-32,7.8305657505997473e-22,1.9171444774832871e-25,9.585698834341209e-26,2.8520239827034341e-31,2.7944678044682434e-35,3.1279062636536793e-41,1.8019005417168572e-44,1.3450349848044993e-22,1.3063677223966835e-43,5.1712940837177971e-41,2.1426895532658151e-27,1.0022621987662513e-34,4.737436682259914e-32,8.9637569461344166e-33,2.2844042200366337e-39,1.3261756501367548e-42,1.2575738605172027e-46,2.1411662423662537e-31,1.6635905785770404e-52,3.7121672517347823e-32,3.637254579507331e-36,2.6149545348736222e-53,3.6747038265196563e-57,3.0877321620206926e-43,1.7240853986444808e-28,3.7131891349909469e-32,3.6382633525959065e-36,3.4413061283465999e-37,4.1334492988726669e-38,1.467432329789371e-49,2.8288267984282677e-49,1.7820163070657987e-54,2.949607087255225e-59,1.0361813862313055e-66
