Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),HOCO(37),HCOH(38),CH3OO(39),CH3OOH(40),CH2OOH(41),C2H5O(42),C2H5O2(43),H2CC(44),C2H4O(45),C2H5O(46),cC2H4O(47),C2H5O2(48),C2H3O2(49),CHCHO(50),OCHCHO(51),HCCOH(52),CHCHOH(53),C2(54),C2O(55),C2H6O(56),C2H5O(57),C2H5O3(58),cC2H3O(59),HOCHO(60),C2H3O3(61),OCHCO(62),C2H6O2(63),C2H5O2(64),C2H4O2(65),HOCH2O(66),OCHO(67),C2H4O3(68),C2H3O2(69),N2,Ne,C7H16(1),O2(2),CH4(3),C4H9(99),C5H11(101),C3H7(100),S(160),S(162),S(161)
0.0,0.0023647719070602354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0023647719070602354,4.4963623646451897e-36,1.5162322453592052e-41,5.6070461301280904e-39,6.9506860763980821e-42,6.0766524377388081e-49,0.0,0.0,1.1780964379247409e-26,6.3822805523410168e-43,2.2395495321135886e-47,2.9001048281852736e-54,2.8218330898996311e-57,4.1209603332703701e-73,2.4902736706354637e-60,3.5560810953525645e-47,1.1780963953580103e-26,5.6070458057807656e-39,-6.9015985065289934e-100,-1.4955023546304753e-105,2.8604057089763571e-65,3.0305279653929484e-63,6.9506177945429399e-42,1.2479397882428196e-54,4.5727720603758347e-42,3.7625158446093895e-72,9.6019497886244513e-61,3.2955949006460639e-36,1.3613511880298449e-42,9.959271906828624e-28,5.0020962877524583e-53,4.783432484561897e-73,2.8836973856386718e-68,5.8353770417287651e-54,1.9136312497909876e-89,1.08352460409972e-66,4.2690653099670964e-34,8.1352101161088209e-51,9.9960314642646102e-50,4.6153724779507279e-54,1.000119096873724e-34,4.101152754685638e-72,6.4080143808248541e-75,2.9472839157664202e-65,3.1463404115127912e-57,1.637593116895993e-49,1.2587654978714089e-67,8.8116175436236263e-70,5.2783035053031227e-69,7.9934638632428333e-110,4.1624241150625722e-101,8.9949963738112365e-151,0.0,2.0760903012659887e-66,-1.8427295292129634e-74,4.9821466414745728e-72,1.7379734117294632e-82,3.1642423924307359e-67,4.8132145039168097e-80,1.9317771214477642e-87,5.3296470497769437e-51,6.9297299692658868e-50,6.6986630582349246e-62,1.6990242160697603e-61,4.3791788737402462e-93,-1.5342775085686832e-104,-3.3214412672047901e-94,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,9.7609891118733275e-28,9.9592724975966958e-28,9.7609892180771686e-28,4.3293651116195413e-35,3.2686780952141823e-35,4.4173112369606986e-35
3.0000000000000002e-15,0.0023647719070602354,1.4773857416693365e-35,6.4844875645462052e-41,3.6846302558595973e-38,2.2838002129298107e-41,5.7294150924712907e-48,0.0,0.0,3.8708882971101282e-26,4.1940700777575308e-42,1.4716987047036338e-46,2.7343774730252699e-53,2.6605853318006017e-56,3.885464572352647e-72,1.6364653730676785e-59,2.3368446107055263e-46,3.8708880159085395e-26,3.6846300428908607e-38,4.0817874755766234e-98,9.9270932770054195e-104,2.6969674894155361e-64,2.8573539821975133e-62,2.2837553421157539e-41,1.1766289300923989e-53,3.0049644487873821e-41,4.6441684565713865e-71,9.053265473205864e-60,2.1656765519992245e-35,8.9460216894802992e-42,3.2723318586693349e-27,4.7162618487642383e-52,7.2433680865291151e-72,3.5428278787494347e-67,7.1690369517466934e-53,3.4468692215595738e-88,1.0216474481605404e-65,2.8053857308953515e-33,7.6703498506780038e-50,9.4247029059511401e-49,4.3535790167104479e-53,6.572210911710579e-34,2.6950432860927151e-71,9.7062323109165701e-74,3.6221888591436176e-64,3.8655038209894561e-56,1.5440163084647611e-48,1.5464831331961081e-66,1.0825483169702744e-68,6.4847721041296131e-68,1.6678110151796817e-108,7.4940960373090119e-100,-1.2559756486510456e-148,1.1696551877336079e-120,2.5546607939590258e-65,1.0898428311204113e-72,7.5464896876254858e-71,2.6317876488360212e-81,4.7915252416312857e-66,8.6636699984946091e-79,2.925123103462882e-86,5.0250972540550525e-50,6.5335784832567977e-49,8.229785802063849e-61,2.0873501587695195e-60,7.8824491146413279e-92,7.7590975528295889e-103,1.9054844150167418e-92,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,3.2071819944688793e-27,3.2723322468883302e-27,3.2071820642599756e-27,2.8450113041623598e-34,2.1479884312889218e-34,2.9028044711147361e-34
7e-15,0.0023647719070602354,3.2760036597028852e-35,2.4047430882599622e-40,2.0025162374895383e-37,5.0641003497207856e-41,9.2538725331882487e-47,0.0,0.0,8.5832740570098804e-26,2.279385913610179e-41,7.9981760310238011e-46,4.4163291140473763e-52,4.2972461652709988e-55,6.275431699842421e-71,8.8938271155981631e-59,1.2699935469745968e-45,8.583272523987272e-26,2.0025161223602519e-37,7.8750331641747134e-97,8.3419675562774488e-102,4.3562100676245825e-63,4.6150454513772492e-61,5.0638564908207767e-41,1.9004338051482021e-52,1.6331326827390692e-40,2.4805048390797231e-69,1.4622373677638631e-58,1.1769977830555106e-34,4.8619668832660409e-41,7.2560380251060768e-27,7.6174720611601219e-51,1.1959644479615575e-69,1.7920097241119769e-65,3.6253456706365675e-51,1.9176854634162891e-85,1.6501257054609197e-64,1.5246660016895215e-32,1.2388766889093066e-48,1.522044678798356e-47,7.0297264145623513e-52,3.5718527084342031e-33,1.4646970870722152e-70,1.602819404989445e-71,1.8318376331438937e-62,1.9552250828221489e-54,2.4938194081143804e-47,7.8223157712370866e-65,5.4743547444364066e-67,3.2800835166348073e-66,3.206519468619818e-105,4.1720352563571243e-97,2.3753090964160791e-145,1.1039615583743874e-118,1.2911419360168289e-63,2.102739751109644e-71,1.246176220671846e-68,4.3464058338216034e-79,7.9122178189053159e-64,4.8223061288287377e-76,4.827432236992915e-84,8.1162894695994049e-49,1.0550248709073464e-47,4.162739030051628e-59,1.0556745379973972e-58,4.3877916637118896e-89,1.2048639000845203e-99,1.7974294895001034e-90,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,7.1115765503943953e-27,7.2560401349910306e-27,7.1115769296937533e-27,1.5462016015786501e-33,1.1673849063810561e-33,1.5776109274514883e-33
1.5e-14,0.0023647719070602354,6.8734252427877794e-35,8.8440980145711886e-40,8.859130321393687e-37,1.062476606156095e-40,8.6062737110948979e-46,0.0,0.0,1.8008045597684102e-25,1.0084003294932686e-40,3.5382560282318751e-45,4.1071160129832609e-51,3.9965162530128033e-54,5.8360032369365929e-70,3.9346243878014787e-58,5.6182258638449101e-45,1.8008038807973639e-25,8.8591298165780988e-37,1.412045666439666e-95,3.0800487611391711e-100,4.0516470341189366e-62,4.2920581906598577e-60,1.0623687260797237e-40,1.767438811033513e-51,7.2249777401077525e-40,5.1493189381391354e-68,1.3599050096927205e-57,5.2070356712867484e-34,2.1509331010108876e-40,1.5223443749236076e-26,7.0843840400000076e-50,4.6904314535120685e-68,3.4465025340071253e-64,6.9700396757803102e-50,1.5208188825934931e-83,1.5347029927188698e-63,6.7451212420406295e-32,1.1521783326782939e-47,1.4152563888563541e-46,6.5376645079844648e-51,1.5801868680825213e-32,6.4798168756956818e-70,6.2880923165204764e-70,3.5230362456060904e-61,3.7604127519921688e-53,2.3192975656050391e-46,1.5044347452424931e-63,1.0524811745796615e-65,6.3084542042472721e-65,5.1163151670163598e-103,3.3093369614403038e-95,5.4846535304111882e-143,4.9859402312697545e-117,2.4830927640615398e-62,3.7706267655838311e-70,4.8889453731779442e-67,1.7051890543532779e-77,3.1035634904378478e-62,3.8239306136320615e-74,1.891961194868852e-82,7.5482979816617822e-48,9.8083264042839348e-47,8.0060434316973904e-58,2.0299484016634905e-57,3.479739242704713e-87,1.8517732285852623e-97,8.9738765152134497e-89,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.4920362890695101e-26,1.5223453083360626e-26,1.4920364568714854e-26,6.840394458479612e-33,5.1645100128500414e-33,6.9793492867993558e-33
3.1e-14,0.0023647719070602354,1.4069011394813352e-34,3.3429866211962523e-39,3.6926380782535866e-36,2.174635926589689e-40,7.2636788622336754e-45,0.0,0.0,3.6857588762531273e-25,4.2031876408568384e-40,1.4746948887808205e-44,3.4661457765315364e-50,3.3730477890308806e-53,4.9251363750606171e-69,1.6400158971155278e-57,2.3415902942204617e-44,3.6857560447268327e-25,3.6926378715169348e-36,2.4157790429519546e-94,1.061821457436089e-98,3.4200641735593079e-61,3.6224559242361327e-59,2.174186288965662e-40,1.4917150345910758e-50,3.0114951295715823e-39,1.0026467897020284e-66,1.1477523671117248e-56,2.1703808072416166e-33,8.9654540241518196e-40,3.1158228762566033e-26,5.9791956088671554e-49,1.6001135521667424e-66,5.8598253791585594e-63,1.1842411685168559e-48,1.0400464746812843e-81,1.2953861842481437e-62,2.811482691513148e-31,9.7243634757272416e-47,1.1940205459897574e-45,5.5177600534693511e-50,6.5864869097226068e-32,2.7008976255511832e-69,2.1465917899346013e-68,5.9899369758365886e-60,6.3935580154047504e-52,1.9574812928913533e-45,2.5578729843069514e-62,1.7881769532905487e-64,1.0725774367346459e-63,7.0077830310152509e-101,2.2640488086097018e-93,1.2646977881443085e-140,1.8252319617306998e-115,4.2218199641821581e-61,6.4518017041997452e-69,1.6689705968928204e-65,5.8210844165318884e-76,1.0590912514606132e-60,2.6143608771079139e-72,6.4455272017313125e-81,6.3707456516914441e-47,8.2722445918782878e-46,1.361209700378445e-56,3.4500584408725194e-56,2.3795385808499739e-85,2.5876187687000411e-95,6.1535947056198804e-87,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,3.0537924485103094e-26,3.1158267668764628e-26,3.053793147937571e-26,2.8511939959858705e-32,2.1526567661293257e-32,2.9091127567591877e-32
6.300000000000001e-14,0.0023647719070602354,2.8463155624564494e-34,1.2942958233761352e-38,1.5047690410190799e-35,4.3990593018170544e-40,5.9449208268030387e-44,0.0,0.0,7.4556675426219419e-25,1.7128217661880903e-39,6.0085553618814039e-44,2.836437256513935e-49,2.7606464864764028e-52,4.0302354693566213e-68,6.6831224422269873e-57,9.5406156454104137e-44,7.4556560011196258e-25,1.5047689597592563e-35,3.9904614258954894e-93,3.5138670018449947e-97,2.7999203787350455e-60,2.96472643631757e-58,4.3972272091702833e-40,1.2208865345644471e-49,1.2271997708470756e-38,2.0606307813397369e-65,9.3936404200490271e-56,8.8444028130404464e-33,3.6534642009593771e-39,6.3027693049856655e-26,4.8936237466665153e-48,5.2493602131496303e-65,9.6136586801312212e-62,1.9401860364193831e-47,6.83224979272831e-80,1.0603663158734775e-61,1.1456936830919936e-30,7.9588555800781631e-46,9.765009479540667e-45,4.515969222381519e-49,2.6840240397891053e-31,1.1006283579082512e-68,7.0516601870428223e-67,9.8271240943324025e-59,1.0489352361649003e-50,1.6020881065964482e-44,4.1964504231219895e-61,2.9295186952867989e-63,1.7596728840785576e-62,9.2166610482237989e-99,1.4883952204825538e-91,3.0005093738825656e-138,6.4820126877217271e-114,6.9263790189257346e-60,1.0660101628712221e-67,5.4827254158583226e-64,1.9122518390093642e-74,3.4766243660039271e-59,1.7163974104480551e-70,2.1088037043729727e-79,5.2140982091899084e-46,6.7606589945565674e-45,2.2332178969753272e-55,5.6559024537283934e-55,1.5628799010585513e-83,3.4356566652244071e-93,6.0415668452177084e-85,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,6.1773003329208391e-26,6.3027851594296125e-26,6.1773031831207936e-26,1.1618760714719608e-31,8.7721876825411955e-32,1.1854782611705878e-31
1.2700000000000001e-13,0.0023647719070602354,5.726333164508289e-34,5.0874130432767564e-38,6.0724150612196903e-35,8.8483251664918492e-40,4.8063303919058211e-43,0.0,0.0,1.4995485008956201e-24,6.9120099760318908e-39,2.4239930476293091e-43,2.2925279953065649e-48,2.2319068705193786e-51,3.2571931182664382e-67,2.6969167137351876e-56,3.8488670007737181e-43,1.4995438428081205e-24,6.0724147573732135e-35,6.4813403885340258e-92,1.1428082199362466e-95,2.2649413964041751e-59,2.3968250347307592e-57,8.8409334975925341e-40,9.8705838890353534e-49,4.9522990268915854e-38,4.6743400461114447e-64,7.594410545182543e-55,3.5691027933168487e-32,1.474332325241389e-38,1.2676619866976782e-25,3.9563515014829694e-47,1.6952411123540369e-63,1.5558512505412681e-60,3.1312943408548415e-46,4.4193050432593367e-78,8.5754708492799238e-61,4.6233856551647408e-30,6.4345498794352436e-45,7.8828650078802975e-44,3.6510351364576704e-48,1.0831208912551127e-30,4.4415161049474108e-68,2.2834256296695418e-65,1.5903997620380403e-57,1.6975873381206018e-49,1.2952470602886446e-43,6.7914055607900218e-60,4.7276143202317868e-62,2.847802298680282e-61,1.1941943512573728e-96,9.6414093365351726e-90,7.3397914551907143e-136,2.3604740416776888e-112,1.1209576869086775e-58,1.7322903190095623e-66,1.7754307689406949e-62,6.1921129294670938e-73,1.1241356083239067e-57,1.1088732934142718e-68,6.7736791556649725e-78,4.215467590508584e-45,5.4501961586909905e-44,3.6142197291646251e-54,9.1395541040286848e-54,1.0105296825765387e-81,4.4638657646210536e-91,7.1314252872091616e-83,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.2424298363908008e-25,1.2676683846476732e-25,1.2424309865720133e-25,4.6886874253578254e-31,3.539969836248842e-31,4.7839327708493873e-31
2.55e-13,0.0023647719070602354,1.1491123279593356e-33,2.0166104738002557e-37,2.4394206580780316e-34,1.7748534766890389e-39,3.8646063915131328e-42,0.0,0.0,3.0075120476004169e-24,2.7767115588832242e-38,9.7318671182382476e-43,1.8422741564770631e-47,1.7945814253685303e-50,2.6171364870588953e-66,1.0833924771470695e-55,1.5452121274660695e-42,3.0074933339032949e-24,2.4394205553358922e-34,1.0439766685591763e-90,3.6886678624672857e-94,1.8232054483254028e-58,1.9270647331613819e-56,1.7718854017888686e-39,7.9365997340549354e-48,1.9894457245432168e-37,1.1793270405639291e-62,6.106198315334242e-54,1.4337789066688207e-31,5.9226831166333847e-38,2.5424151811336728e-25,3.1811197162813817e-46,5.4259579120287562e-62,2.5029387978908367e-59,5.0097737755266097e-45,2.8362332714707217e-76,6.899514633809312e-60,1.8573141714434001e-29,5.1738021988560502e-44,6.3192624607077637e-43,2.9356385605572057e-47,4.3511097866859742e-30,1.7842445227975716e-67,7.3478993058951883e-64,2.5585233654875183e-56,2.7310046639328649e-48,1.0414576334303529e-42,1.0925421838754321e-58,7.5625319079207525e-61,4.5813031436289178e-60,1.537341826352312e-94,6.2056110682530173e-88,1.8339765540821604e-133,9.1904130479786373e-111,1.8033396965522606e-57,2.7927898942154578e-65,5.7135150697902944e-61,1.9925609547238158e-71,3.6068530366710968e-56,7.0993549470926462e-67,2.1452106026035377e-76,3.3894981749892168e-44,4.3573765690147837e-43,5.8143994804535473e-53,1.4658764826995144e-52,6.4803465785731619e-80,5.7315652658046417e-89,8.8891587213106657e-81,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,2.4918223474949858e-25,2.5424408828745642e-25,2.4918269680079962e-25,1.8835461875962553e-30,1.4220828551370564e-30,1.9218082818592034e-30
5.11e-13,0.0023647719070602354,2.3039722246321133e-33,8.0293042472564645e-37,9.7783445655231584e-34,3.5555676764175905e-39,3.0993717807624599e-41,0.0,0.0,6.023439354756116e-24,1.1130424655125982e-37,3.896317642754654e-42,1.47577111130468e-46,1.4392044093175435e-49,2.0959341669673607e-65,4.3426069237192924e-55,6.186244754562242e-42,6.0233643391647684e-24,9.7783443082686861e-34,1.6742249093317638e-89,1.1871851832073133e-92,1.465467640438412e-57,1.5452593038870743e-55,3.5436807870149516e-39,6.3650652539639178e-47,7.9746330474080949e-37,3.2403854478899073e-61,4.8967698105911901e-53,5.74720370733658e-31,2.3740663824946142e-37,5.0918538999532605e-25,2.5511465986631634e-45,1.7224027646794843e-60,4.0152052760399384e-58,7.9494653268261164e-44,1.8095287510150571e-74,5.5401853618026868e-59,7.4449882602743795e-29,4.1493324573009948e-43,5.0376408772822117e-42,2.3542945420730623e-46,1.7441121272297605e-29,7.1520209237549421e-67,2.3574767981045637e-62,4.1043910052845359e-55,4.3812323316135172e-47,8.3522734772491841e-42,1.7526230767397215e-57,1.1996394831865488e-59,7.3492092042355129e-59,1.9730303066714901e-92,3.9820588475086443e-86,4.6422828005116074e-131,3.9549094248658491e-109,2.8929893883811078e-56,4.4851115636086499e-64,1.8332997696465741e-59,6.3927541062093841e-70,1.1505072597314127e-54,4.5077975575994434e-65,6.6713183322078033e-75,2.7183152259522316e-43,3.4552187162172285e-42,9.3277889008876378e-52,2.3374700521793345e-51,4.1280235819749089e-78,7.2884014162865473e-87,1.1147909193674221e-78,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,4.9905789896528308e-25,5.0919569229273075e-25,4.9905975107280663e-25,7.5501295370379281e-30,5.7003788621980909e-30,7.7035018020374313e-30
