Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),HOCO(37),HCOH(38),CH3OO(39),CH3OOH(40),CH2OOH(41),C2H5O(42),C2H5O2(43),H2CC(44),C2H4O(45),C2H5O(46),cC2H4O(47),C2H5O2(48),C2H3O2(49),CHCHO(50),OCHCHO(51),HCCOH(52),CHCHOH(53),C2(54),C2O(55),C2H6O(56),C2H5O(57),C2H5O3(58),cC2H3O(59),HOCHO(60),C2H3O3(61),OCHCO(62),C2H6O2(63),C2H5O2(64),C2H4O2(65),HOCH2O(66),OCHO(67),C2H4O3(68),C2H3O2(69),N2,Ne,C7H16(1),O2(2),CH4(3),C4H9(99),C5H11(101),C3H7(100),S(160),S(162),S(161),S(177),C7H15(105),S(194),S(267),S(266),S(268),C7H15(102),S(310),C7H15(103),S(829),S(830),S(859),S(882),S(752),S(926),C7H15(106),S(900),S(992),S(1016),S(1066),S(847),S(779),S(1065),S(1245),S(1588),S(184),S(1604),S(848),S(1887),S(1607),S(1912),S(1910),C7H14(241),S(303),S(1907),S(1869),S(306)
0.0,0.00389475671590935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.00389475671590935,4.2620603592714813e-24,6.4677756791112601e-32,5.6968313992104204e-33,1.2708428429616789e-31,4.3623166437942037e-41,0.0,0.0,6.2144848231264737e-22,1.4005894217079171e-33,2.0203467911634526e-37,2.0451870043057514e-44,1.8371522174583352e-48,1.7465871732378054e-57,8.2099817526745182e-47,3.3991192793907924e-37,4.8410604872232649e-22,2.2770498358209503e-33,-2.9233458705687814e-78,1.1920010485960876e-75,5.8627250567363901e-50,4.1839261442530868e-48,1.0327132421688505e-31,4.3297099750729506e-46,2.8288987446045444e-35,7.1417059343590925e-59,4.1952062919672348e-48,1.9825761783958516e-28,4.5224308148159071e-32,1.30145500832219e-20,7.0071206384844223e-44,1.3947650624608915e-59,1.0643110125566502e-55,8.564466405468988e-44,1.4843285992213142e-71,6.4178979447924385e-54,6.1949393082334397e-30,7.2679335828957407e-41,8.579670851336714e-42,4.1954864157997194e-42,5.7331701155733131e-28,4.9740650752595138e-53,7.6236602855305538e-59,2.5506084557776812e-51,2.8497188822472247e-47,2.0358658477195137e-40,1.7083052474722013e-55,5.6763778667544258e-57,2.0958362963960681e-56,3.2191813896101326e-84,4.6797199136773628e-76,-8.546007727310539e-108,-1.3517586414259982e-101,5.5661382236332566e-53,1.3383955801089388e-49,9.9093314629763602e-59,1.5284391947372007e-67,4.9801942620309283e-56,4.6182652750262418e-67,1.2280460784009694e-71,4.8781769047420394e-38,1.3615045780231408e-39,5.7650515306845738e-50,1.4669000861065916e-51,1.2749118979429143e-74,-1.92628321077097e-86,-2.1761737556764546e-78,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.6001201081047047e-20,1.3014550229717072e-20,1.6001201227067752e-20,4.3545073042562655e-28,3.1252836335967517e-28,3.5417312609645416e-28,2.5477193542329683e-36,6.0156013820778856e-23,6.6259577160796676e-37,1.2676471975674005e-29,5.3687222555911193e-43,1.3962654920015566e-43,4.9533407929269945e-23,2.5071574170855674e-39,2.476670396700938e-23,1.0438006759830045e-29,5.2190032705589634e-30,1.4636856573537156e-37,3.0843748802202159e-44,1.9579270218468755e-51,7.793603899470102e-57,7.1483831468634478e-24,2.6247488170990115e-52,4.8303553313667056e-52,1.9453343875764968e-31,3.8526506333954429e-41,3.0738560175447719e-38,2.0644329217376672e-39,1.6170354605366072e-44,4.7853009380666419e-50,1.008390195975942e-56,8.1885071581939601e-37,1.4140309453747769e-64,3.5778754105867662e-38,7.5395350429695694e-45,3.8180875329918055e-65,1.2224161038819138e-71,2.9986665820554128e-54,2.7533861860463592e-32,3.5751119439536697e-38,7.5337119715903757e-45,2.4412553733003396e-45,2.1573191701576251e-43
3.0000000000000002e-15,0.00389475671590935,1.4003914200948543e-23,2.2384134087307456e-31,3.7436322546372162e-32,4.9580345578018574e-31,4.1130415647903374e-40,0.0,0.0,2.0419022376603508e-21,9.2038735023641738e-33,1.3276534790096759e-36,1.9283160159166051e-43,1.732172998990346e-47,1.6467788370905354e-56,5.3951306089524848e-46,2.2337017037359621e-36,1.5906343858081994e-21,1.4963471273369216e-32,1.7289600626853525e-76,1.4647479877159038e-74,5.5291369571395543e-49,3.9448438591459528e-47,3.3931828181900839e-31,4.0822981526480709e-45,1.8589907184750885e-34,8.8211202049221835e-58,3.955479922422521e-47,1.3028357583480949e-27,2.9718830523091024e-31,4.2762091324623379e-20,6.6067134783574248e-43,2.1120473759913469e-58,1.3076021533220921e-54,1.0521903276600296e-42,1.8253726654995364e-70,6.0511631385893305e-53,4.070960358081849e-29,6.8526245555930305e-40,8.0893734807745265e-41,3.9565607900521251e-41,3.7675117126689814e-27,3.2698760210129809e-52,1.1545867083395707e-57,3.1341009998893572e-50,3.5010830256708102e-46,1.919530533170009e-39,2.0987748967394237e-54,6.9733647241944688e-56,2.5748844846181956e-55,5.7947498965629746e-83,7.0867565795195364e-75,4.5658030292223582e-106,4.866844321750105e-95,6.8418168003808622e-52,1.6445749781973774e-48,1.500748732101642e-57,2.314484482831735e-66,7.5413710088216889e-55,8.3127932731105106e-66,1.8589881831482608e-70,4.5994239398039302e-37,1.2836798638859352e-38,7.0827772456250871e-49,1.8021720894017036e-50,1.5732086120105386e-73,9.7415229820756234e-85,1.9362155360302006e-76,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,5.2575373388789178e-20,4.2762092287305937e-20,5.2575374348353849e-20,2.8615333165876986e-27,2.0537577911364153e-27,2.327423355598283e-27,2.4021351226618985e-35,1.9765543223939062e-22,6.2473310095752092e-36,8.3302514623169085e-29,6.5958578739792148e-42,1.715411682433867e-42,1.6275259181977884e-22,2.3638909728770147e-38,8.137629592549385e-23,6.8592604128384962e-29,3.4296301033121561e-29,1.3800461020074723e-36,3.7893738515278106e-43,2.9648580943071214e-50,1.4028475776056671e-55,2.3487544076914421e-23,3.4887207103397101e-51,7.800434232060571e-51,1.2783625783337573e-30,3.6324991660787146e-40,2.898206383442689e-37,1.9464650950422702e-38,1.5246338364086457e-43,5.8790849005961944e-49,1.5269909997827565e-55,7.7205901166416663e-36,2.5452557347356689e-63,3.3734246745004635e-37,9.2628553720810544e-44,6.8725580426634116e-64,2.549610885682219e-70,4.5408371837854708e-53,1.8093681803695881e-31,3.3708190776733143e-37,9.2557013058251534e-44,2.9992561005279496e-44,2.0337053939422183e-42
7e-15,0.00389475671590935,3.1052167819631066e-23,5.6924167398811974e-31,2.0345834274631976e-31,1.6028531067549472e-30,6.6431874783990392e-39,0.0,0.0,4.5276967904882179e-21,5.0021057291154718e-32,7.2154025188934944e-36,3.1144757586402923e-42,2.797735290169409e-46,2.6597476671728628e-55,2.9321352912963541e-45,1.2139497462798913e-35,3.5270603079502304e-21,8.1323246108789986e-32,3.3358016918056094e-75,7.412224873134537e-73,8.9339687505677964e-48,6.3715088233074163e-46,7.5238993156432401e-31,6.5935326543944779e-44,1.0103214489132486e-33,4.747116965348224e-56,6.3886950074253252e-46,7.0806285546827527e-27,1.6151536397886992e-30,9.4820277837971653e-20,1.0670839339219562e-41,3.4874376797358463e-56,6.6152517294272483e-53,5.3211816480352049e-41,9.5142814697653202e-69,9.7735496511235882e-52,2.212479308639303e-28,1.1068029930161179e-38,1.3065112860864508e-39,6.3896768984947584e-40,2.0475604390971096e-26,1.7776511390003553e-51,1.9067300007663989e-55,1.5851595786627242e-48,1.7708955991203577e-44,3.100330824314156e-38,1.0615888890126779e-52,3.5243682338673526e-54,1.302411843459871e-53,3.2284225986978358e-80,1.1711824157222378e-72,1.66792247357234e-103,4.5534858935116669e-93,3.4598365063636897e-50,8.3178978145549501e-47,2.478399519545769e-55,3.8221670627196218e-64,1.2453016932047827e-52,4.6272733334233862e-63,3.0548183297581119e-68,7.4287654870548935e-36,2.0729755368349598e-37,3.5825654397840246e-47,9.1144573267516747e-49,8.7786329476996858e-72,1.5128135209583762e-81,5.1770441194998498e-74,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.1658016553229476e-19,9.4820283069941095e-20,1.1658017074731905e-19,1.5551809565862824e-26,1.1161726233577563e-26,1.2649038403594262e-26,3.8798082082841341e-34,4.3827916809702535e-22,1.0090377983868041e-34,4.5273050947948231e-28,3.3362715000766525e-40,8.6767790352122107e-41,3.6088596157625352e-22,3.8180375433362012e-37,1.8044298087293778e-22,3.7278547745417437e-28,1.8639272207377681e-28,2.2289780019266889e-35,1.9167120889369069e-41,4.8964214325851574e-48,7.8101860944493685e-53,5.2081072467190795e-23,2.2204919752258275e-49,1.6423591670015684e-48,6.9476220287389371e-30,5.8670359043950496e-39,4.6810317895315188e-36,3.1438326155336561e-37,2.4625206052028329e-42,2.9737285865321055e-47,2.5218432880551337e-53,1.2469888080876814e-34,1.4170613597751533e-60,5.4485814239963521e-36,4.6852695558742918e-42,3.8262742378491086e-61,4.9026983956362236e-67,7.4992161096493991e-51,9.8335267953558439e-31,5.4443723600470201e-36,4.6816508860258795e-42,1.5170625438441719e-42,3.279741672997649e-41
1.5e-14,0.00389475671590935,6.5148706064671558e-23,1.4807062728548026e-30,9.0010020877530598e-31,5.3409495897176114e-30,6.1782921674206687e-38,0.0,0.0,9.4992874834309583e-21,2.2129319896276683e-31,3.1920165305709874e-35,2.8964526356008388e-41,2.6019659309091179e-45,2.4735427615317085e-54,1.2971759846798813e-44,5.3703772035080647e-35,7.3999165488760745e-21,3.597742808552229e-31,5.9816029701179979e-74,1.425732016002797e-71,8.3097290803704683e-47,5.9256056550069218e-45,1.578498494710932e-30,6.1321128799835725e-43,4.4696650756469449e-33,9.9507644521523475e-55,5.9415998253790545e-45,3.1324696560664211e-26,7.1454382841472167e-30,1.9893661568767568e-19,9.9240750315835998e-41,1.3678466750154144e-54,1.2726388141704272e-51,1.0231319284895592e-39,2.0157769907321108e-67,9.0895929185954356e-51,9.7880147313353978e-28,1.0293481535027324e-37,1.2150142186700027e-38,5.9425501458203017e-39,9.0584053666483996e-26,7.8650432474512169e-51,7.4805559016931045e-54,3.0486912067839445e-47,3.4058973847877845e-43,2.8833631715664883e-37,2.0417139530973911e-51,6.7700716185619331e-53,2.5048803939935441e-52,2.5634141362383344e-78,4.5993749732429288e-71,1.2666516658456672e-101,2.0236280817382665e-91,6.654155416801503e-49,1.5997564918114078e-45,9.7233798507900076e-54,1.4993982692524593e-62,4.8846866833090414e-51,3.6695802729905209e-61,1.1898510753082907e-66,6.9088898315826936e-35,1.9273782273529693e-36,6.8902143424233872e-46,1.7526108503152887e-47,2.2299905280124739e-70,2.3252912357306866e-79,6.4435815417616549e-72,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,2.4458971881394337e-19,1.98936638833901e-19,2.4458974188520336e-19,6.8801191281836024e-26,4.9379470300794585e-26,5.5959334341243383e-26,3.6082886258035582e-33,9.1952582673267281e-22,9.3842289281719506e-34,2.0028757447940466e-27,6.4165163917902521e-39,1.6687703579621927e-39,7.5715203428292119e-22,3.5508399199982669e-36,3.7857601751667421e-22,1.6491999057316119e-27,8.2459979798751729e-28,2.0729832617646668e-34,3.6863265353853703e-40,1.9209428226220549e-46,6.1952113572624614e-51,1.0926811856398265e-22,4.5477823516191495e-48,6.8597047051591808e-47,3.0736274860742217e-29,5.4564526040225417e-38,4.3534318599964104e-35,2.9238183092238971e-36,2.2901990522149211e-41,5.7192818264951969e-46,9.8938092830552883e-52,1.159717917424141e-33,1.124067580029202e-58,5.0672675543146634e-35,9.0109775668892217e-41,3.0351523469926064e-59,7.8230113667428241e-65,2.9421097494243894e-49,4.350355249697821e-30,5.0633521261710834e-35,9.0040177832462828e-41,2.9177035647696455e-41,3.0429516327206678e-40
3.1e-14,0.00389475671590935,1.3334190658529042e-22,4.1862928056401154e-30,3.7517780107150828e-30,1.8913142367208346e-29,5.2144738916428812e-37,0.0,0.0,1.9442475218460442e-20,9.2238880763099091e-31,1.3304247285562206e-34,2.4444881970275497e-40,2.1960875765041761e-44,2.0875459542584667e-53,5.4068492479743291e-44,2.2383552630502351e-34,1.5145646617284934e-20,1.4996036148895069e-30,1.0234553015506403e-72,2.4242352983710249e-70,7.0139059622237972e-46,5.0011732734049124e-44,3.2305766873301172e-30,5.1754996833102017e-42,1.8630364288238644e-32,1.9667836983563871e-53,5.0146900619242707e-44,1.3056673925056523e-25,2.9783415650691846e-29,4.0716915067922306e-19,8.3758937651428773e-40,4.6671071479176824e-53,2.1649579549162927e-50,1.7386456305428024e-38,4.68867725201957e-66,7.6716160422619043e-50,4.079819566937799e-27,8.6876919275712755e-37,1.0253610111543969e-37,5.0156244471443274e-38,3.7756989669624632e-25,3.2784226633079691e-50,2.5537414255795777e-52,5.183592186667002e-46,5.7907970383479805e-42,2.4335494489287071e-36,3.4713751220796423e-50,1.1483142033251861e-51,4.2588651432354935e-51,1.7571752616547949e-76,1.5732117930264286e-69,8.8268364501631489e-100,7.1963820986075272e-90,1.131385913684091e-47,2.7200129792503636e-44,3.3194251277313572e-52,5.1177491927418727e-61,1.6668976250587401e-49,2.5092482864258152e-59,4.004619217098241e-65,5.831089473191119e-34,1.6258295407808285e-35,1.1714925101921085e-44,2.9786975563656528e-46,7.4587804466074687e-69,3.2499281632001483e-77,8.2488656847436015e-70,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,5.0060870135586461e-19,4.0716924715664632e-19,5.0060879752082062e-19,2.8677519304998053e-25,2.0582215099902566e-25,2.3324812583947503e-25,3.0453801610705226e-32,1.8820158917078991e-21,7.920254324636276e-33,8.3483009734562413e-27,1.0909497631168542e-37,2.8372803587582686e-38,1.5496815124877291e-21,2.9968921725706425e-35,7.7484075780785603e-22,6.8741266844298672e-27,3.4370620350548072e-27,1.74958109887858e-33,6.2675421832921543e-39,6.5574148714121497e-45,4.2382788952786134e-49,2.2364216802228384e-22,7.9763105780758377e-47,2.417220371276792e-45,1.2811408870054564e-28,4.6052357645186874e-37,3.6742637185248576e-34,2.4676896330811187e-35,1.9329387081350359e-40,9.7241440738530933e-45,3.3775455054539947e-50,9.7879164531877961e-33,7.69030920194176e-57,4.2767401141605011e-34,1.5320614127008553e-39,2.0765057588681249e-57,1.0715405118211792e-62,1.0043652957549726e-47,1.8133060301210587e-29,4.2734339743189213e-34,1.5308780477871259e-39,4.9607361804759152e-40,2.5562761013052511e-39
6.300000000000001e-14,0.00389475671590935,2.6972880374736814e-22,1.3128108047428324e-29,1.5288732125286427e-29,7.0441615868319606e-29,4.2677707824074539e-36,0.0,0.0,3.9328876085063289e-20,3.7587871578561362e-30,5.4210400680530401e-34,2.0004953998003898e-39,1.7974308722324481e-43,1.7083462533009333e-52,2.2033159698044029e-43,9.1205164876629878e-34,3.0637177100251622e-20,6.1109819353763789e-30,1.6909606721695282e-71,3.977473068956479e-69,5.7409146630919461e-45,4.093140975506216e-43,6.5341774314730851e-30,4.2358741839796377e-41,7.5919942299500998e-32,4.1211266143188515e-52,4.1042326815278631e-43,5.3206626753985061e-25,1.2136894011003517e-28,8.2363365783174727e-19,6.8551960995257488e-39,1.5316082800296987e-51,3.555730425479928e-49,2.8494623403407963e-37,1.5966585653252224e-64,6.2788222168274004e-49,1.6625527459180837e-26,7.110417990674202e-36,8.3902415434970513e-37,4.1052191532012088e-37,1.5386164710969087e-24,1.3360014395686843e-49,8.3896248391469106e-51,8.5046878197768119e-45,9.5004415571776263e-41,1.9917201335092711e-35,5.6951704314885388e-49,1.8749855356345732e-50,6.9871417280461887e-50,1.1596915628552517e-74,5.1884310724632226e-68,5.8632446134002761e-98,2.419213630211883e-88,1.8562606116326639e-46,4.4627025485601419e-43,1.0905200334263357e-50,1.6806667324360952e-59,5.471825619622336e-48,1.647931328093951e-57,1.2794978310377226e-63,4.7724244196266582e-33,1.3292270991084818e-34,1.9219627335801558e-43,4.88315806331981e-45,3.6261709656791927e-67,4.3166884281527897e-75,1.0627563867796642e-67,0.88168480800000004,0.0,0.0094599999999999979,0.10885,0.001,1.0126461703547964e-18,8.2363405098197705e-19,1.0126465622317141e-18,1.1686235216642106e-24,8.3873599332740901e-25,9.5049799737881516e-25,2.4924616710599983e-31,3.8069830126534166e-21,6.4822634445502964e-32,3.4019512670360966e-26,1.7898124430603305e-36,4.6548477708973825e-37,3.1347298001960268e-21,2.4527746577730088e-34,1.5673649064715769e-21,2.8012237497216801e-26,1.4006108050381253e-26,1.4319146710288638e-32,1.0282437543652145e-37,2.1540094206317569e-43,2.7861003690772042e-47,4.5239009599584463e-22,1.3292717863344407e-45,8.0697991689303609e-44,5.2207152868995579e-28,3.7691316755704762e-36,3.007142190092165e-33,2.0196556646523825e-34,1.5820282992955505e-39,1.5953758995457424e-43,1.1095707878043943e-48,8.0107379280587878e-32,5.0557659529966685e-55,3.5002365837069435e-33,2.5134867018369167e-38,1.3651451446139052e-55,1.4093426661162733e-60,3.2994064608264505e-46,7.389340222746719e-29,3.4975281994431565e-33,2.5115451168145997e-38,8.1385670407099922e-39,2.0728933301530689e-38
1.2700000000000001e-13,0.00389475671590935,5.4250458254439246e-22,4.5134409923396381e-29,6.1697213716636035e-29,2.710356242502544e-28,3.4504118709310514e-35,0.0,0.0,7.910177940418732e-20,1.5168427042533685e-29,2.1872211697920097e-33,1.6170576247437294e-38,1.4532687391710797e-42,1.3808430994181185e-51,8.8913400412852206e-43,3.6798128590758679e-33,6.162051945014311e-20,2.4660701945483681e-29,2.7480587038654765e-70,6.4376476392880401e-68,4.6419099808926608e-44,3.3091387411842041e-42,1.3139157103930996e-29,3.4246267776837731e-40,3.0637287066072817e-31,9.5235522874231786e-51,3.3181529294233441e-42,2.1471256253416348e-24,4.897777672548408e-28,1.6565604208214968e-18,5.542248497107515e-38,4.9494925265424308e-50,5.767094260127111e-48,4.6019276607209238e-36,7.9328914512769975e-63,5.0763260331521777e-48,6.709185140219814e-26,5.7486416361879507e-35,6.7804545674038243e-36,3.3193089136735133e-36,6.2090020566943327e-24,5.3914181159073988e-49,2.7169728285318914e-49,1.3765273734689999e-43,1.5375385353675754e-39,1.6102498121378051e-34,9.2169749372699136e-48,3.0058902711563623e-49,1.1307906078556755e-48,7.5706782182040159e-73,1.6932656174889902e-66,3.8185191276679701e-96,7.970265541779795e-87,3.0044587506864741e-45,7.2230936468723881e-42,3.5317233355315727e-49,5.4387412871702652e-58,1.7692573800374298e-46,1.065341068495894e-55,3.9278870146180893e-62,3.858392753629568e-32,1.0723536953547778e-33,3.1104783254393537e-42,7.8908116332511596e-44,2.1384153304268791e-65,5.6128853366048828e-73,1.3621644038323181e-65,0.88168480800000004,0.0,0.0094599999999999962,0.10885,0.001,2.0367191240177655e-18,1.6565620073563022e-18,2.0367207054142546e-18,4.7159164530871889e-24,3.3846752871428102e-24,3.835682815049435e-24,2.0150744925550738e-30,7.6568652199593953e-21,5.2407138210541708e-31,1.3728195872120333e-25,2.8965724150921851e-35,7.5332654411422834e-36,6.3047837018696549e-21,1.9829848003850348e-33,3.152391876656604e-21,1.13040412706045e-25,5.6520119862892934e-26,1.1576357557809327e-31,1.6640448896208375e-36,6.9741115237535638e-42,1.8045470488111114e-45,9.0988526815550714e-22,2.1682661709078326e-44,2.6344804465099499e-42,2.1067918947355474e-27,3.0472554212413071e-35,2.4311396962391946e-32,1.6328248133034062e-33,1.2790727150709497e-38,2.5820082808275802e-42,3.5931390172464854e-47,6.4762818043330491e-31,3.2751429809279863e-53,2.8297961386706307e-32,4.067698489062703e-37,8.843561312627561e-54,1.8261858601945803e-58,1.0684039024953709e-44,2.9819487077274613e-28,2.8276024471924171e-32,4.0645557873822867e-37,1.3171125866917766e-37,1.6455542717806907e-37
2.55e-13,0.00389475671590935,1.0880640779459883e-21,1.6563852073615607e-28,2.4785392824364689e-28,1.0623775632344828e-27,2.7743883026032966e-34,0.0,0.0,1.5864799238405155e-19,6.0935196769584151e-29,8.7832447067053245e-33,1.2997444904142897e-37,1.1686647451177639e-41,1.1097823621948183e-50,3.5718247411679696e-42,1.4776801814585305e-32,1.2358832968065636e-19,9.9068673604809862e-29,4.4336330057786359e-69,1.0358154405165764e-66,3.7331624306172581e-43,2.66065202706263e-41,2.6340235169930772e-29,2.7536592267081326e-39,1.2307822486568065e-30,2.425262480266548e-49,2.6679752775762214e-41,8.62547378257522e-24,1.9675425290425967e-27,3.3224049415956637e-18,4.4563036106151183e-37,1.5862734176908031e-48,9.3181685621175915e-47,7.3726452801522545e-35,4.7068898990574556e-61,4.0817716400042227e-47,2.6952590263267398e-25,4.6223411810714765e-34,5.4473482739483959e-35,2.6694807364427911e-35,2.4942886042878263e-23,2.1658615250267588e-48,8.744924044951118e-48,2.2149357800494567e-42,2.4735110562314531e-38,1.2947314550778814e-33,1.4827747397721433e-46,4.7463364254838536e-48,1.819159725224294e-47,4.9481502786248244e-71,5.5336438923944287e-65,2.4648401412575462e-94,2.6168201599459688e-85,4.8344147530049152e-44,1.1622436727188309e-40,1.1367837186191628e-47,1.7479048071570518e-56,5.6767046314625075e-45,6.8295695980453579e-54,1.1448583618640543e-60,3.1023995982063014e-31,8.5857468937020611e-33,5.0039737473017168e-41,1.2655797312920678e-42,1.3380456749772314e-63,7.2179385245097464e-71,1.7294917180632911e-63,0.88168480800000004,0.0,0.0094599999999999927,0.10885,0.001,4.0848570940420991e-18,3.3224113150340378e-18,4.0848634468392882e-18,1.8944847204054334e-23,1.3596981795129091e-23,1.5408760112302464e-23,1.6202159205236585e-29,1.5356421507707963e-20,4.2138059836326889e-30,5.5147556366671269e-25,4.659738396592116e-34,1.2118873609696089e-34,1.2644720818743033e-20,1.5944078019867106e-32,6.32236051271402e-21,4.540959743847541e-25,2.2704729179575321e-25,9.3076078422479539e-31,2.6768643524217196e-35,2.2436581217249323e-40,1.1612093161801366e-43,1.8248728772026629e-21,3.5018327852564642e-43,8.512360698173931e-41,8.4634404653084221e-27,2.4501942105035711e-34,1.9546921698448557e-31,1.312866800371146e-32,1.0285223910403488e-37,4.1540358244029535e-41,1.1563710379604261e-45,5.2070137517788434e-30,2.1082214702845198e-51,2.2752399580093098e-31,6.5435961727613436e-36,5.6927652492015155e-52,2.3512172075359273e-56,3.438111364012432e-43,1.1979294053854126e-27,2.2734696128582506e-31,6.5385388577809698e-36,2.1188305205605603e-36,1.27685604948694e-36
5.11e-13,0.00389475671590935,2.1792148193079538e-21,6.3261934239241343e-28,9.9353839354619425e-28,4.205722542735896e-27,2.225077520923063e-33,0.0,0.0,3.1774204369378653e-19,2.4425963381126149e-28,3.5180974806690465e-32,1.0416174348821295e-36,9.3748223693915339e-41,8.8922174420472794e-50,1.4317398955421999e-41,5.9185892727693972e-32,2.4752845222378731e-19,3.9712417016659618e-28,7.1459947810909161e-68,1.6621944665258529e-65,2.9951493370930763e-42,2.1336314396441599e-40,5.2706913997000202e-29,2.2084582786034417e-38,4.9336825445134873e-30,6.6054195556652848e-48,2.1396252808330089e-40,3.4574993758338498e-23,7.8868284397576075e-27,6.6540579627695543e-18,3.5738592230589905e-36,5.0485646455305641e-47,1.5078081098632816e-45,1.1730278708203509e-33,2.9415813005005763e-59,3.2736497503681272e-46,1.0804137839998669e-24,3.7071540695996401e-33,4.3614118368180913e-34,2.1417556547660323e-34,9.9982649823276461e-23,8.6818228345773618e-48,2.8069112673011783e-46,3.5547307917426966e-41,3.9681014078455421e-37,1.0383354876933564e-32,2.3787124016625346e-45,7.3425883434324361e-47,2.9183752885384503e-46,3.2719061673661261e-69,1.8298570961071226e-63,1.5844778585874913e-92,8.6718136464312385e-84,7.7587559153359729e-43,1.8652544506777393e-39,3.649142829610536e-46,5.5935785303946035e-55,1.8107054344686103e-43,4.3477150246805591e-52,3.0898072935364946e-59,2.4880863790435633e-30,6.827557157085989e-32,8.0275666862316982e-40,2.0180346491955082e-41,8.47016809974956e-62,9.2063764119341451e-69,2.1639169414850421e-61,0.88168480800000004,0.0,0.0094599999999999858,0.10885,0.0009999999999999998,8.1811012851881731e-18,6.6540835103812765e-18,8.1811267500646812e-18,7.5939766593715421e-23,5.450315836666374e-23,6.1765484265697265e-23,1.2993363550861e-28,3.0754701667556193e-20,3.3793084301432689e-29,2.2104466126734714e-24,7.4749628809815606e-33,1.9440769094541139e-33,2.5323912374571515e-20,1.2786290794202685e-31,1.2661956601631015e-20,1.8201351251618701e-24,9.1006198623434152e-25,7.4637224932354036e-30,4.2938041763598903e-34,7.1948751790342227e-39,7.4478272190407321e-42,3.6548371532297973e-21,5.6282545598315708e-42,2.7367053987401163e-39,3.3925456107605031e-26,1.9650288230784029e-33,1.5674742213940009e-30,1.0528534638796417e-31,8.2496563730483693e-37,6.6648231474926952e-40,3.7108587612228194e-44,4.1754166465952149e-29,1.3530769664133353e-49,1.8245528010338642e-30,1.049651610600554e-34,3.6538420965884196e-50,3.018278367499191e-54,1.1031124114443334e-41,4.8019925275453472e-27,1.8231226238838935e-30,1.0488398149487368e-34,3.39888190746966e-35,9.5691747920783195e-36
