Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),HOCO(37),HCOH(38),CH3OO(39),CH3OOH(40),CH2OOH(41),C2H5O(42),C2H5O2(43),H2CC(44),C2H4O(45),C2H5O(46),cC2H4O(47),C2H5O2(48),C2H3O2(49),CHCHO(50),OCHCHO(51),HCCOH(52),CHCHOH(53),C2(54),C2O(55),C2H6O(56),C2H5O(57),C2H5O3(58),cC2H3O(59),HOCHO(60),C2H3O3(61),OCHCO(62),C2H6O2(63),C2H5O2(64),C2H4O2(65),HOCH2O(66),OCHO(67),C2H4O3(68),C2H3O2(69),N2,Ne,C7H16(1),O2(2),CH4(3),C4H9(99),C5H11(101),C3H7(100),S(160),S(162),S(161),S(177),C7H15(105),S(194),S(267),S(266),S(268),C7H15(102),S(310),C7H15(103),S(829),S(830),S(859),S(882),S(752),S(926),C7H15(106),S(900),S(992),S(1016),S(1066),S(847),S(779),S(1065),S(1245),S(1588),S(184),S(1604),S(848),S(1887),S(1607),S(1912),S(1910),C7H14(241),S(303),S(1907),S(1869),S(306),S(1017),S(1020),S(2655),S(2670),S(2747),S(971),C3H5O(975),S(3034),S(276),S(1952),S(3263),S(199),C3H7O(185),CHO3(319),CH2O3(342),S(328),S(3183),S(3838),S(3842),S(3942),S(313),S(1908),S(850),C3H6O(87),S(756),S(4205),S(4320),S(4361),C3H6(89),S(2810),S(4680),S(5093),S(5094),S(4665),S(4674),S(5273),S(5708),S(2013),S(771),S(737),S(5810)
0.0,0.0029730171106205202,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0029730171106205202,1.2615232379461576e-23,3.083361561419957e-31,2.4392394399929333e-32,4.9193676941718265e-31,2.5695417737672249e-40,0.0,0.0,1.5518272787439926e-21,5.6448901585603755e-33,9.9182811740472795e-37,1.3342631487908191e-43,1.4467123445747718e-47,2.4171732831555901e-56,7.2990878259807241e-46,1.6742484681567824e-36,1.1961963556265904e-21,8.7066825455264498e-33,-8.8555633059460552e-77,5.4225802449542287e-73,8.1024863014986342e-48,3.7914272798397071e-47,3.8699673507302269e-31,2.779850403721559e-45,1.2496735412842089e-34,9.0530279721543346e-58,3.6990209839447921e-47,6.8969732053578027e-28,1.7688393343402246e-31,3.2478988643149736e-20,4.2285231500201409e-43,1.9642370333560722e-58,1.2570853167279471e-54,5.7861425695721618e-43,3.6680283227206871e-70,6.2320688658476688e-53,2.218687643834707e-29,4.2665726544419493e-40,5.0387865073387591e-41,2.6413628526265824e-41,1.8377981587006401e-27,5.6563234508105451e-52,8.8574375029202751e-58,2.157497855734146e-50,1.8608712990149941e-46,1.0328955298586774e-39,2.285263393948437e-54,6.3866499753193256e-56,2.3125776768708318e-55,1.3500010882202817e-82,1.3405666967969904e-74,-1.7966924034561328e-104,-1.2239819275074501e-99,5.3879774030274478e-52,1.1077560864039178e-48,1.1646747684437433e-57,2.569976647614645e-66,4.4682890686182416e-55,8.0709328936320758e-66,2.7905188165833656e-70,2.4625671603806137e-37,6.9353063470715246e-39,4.5034078594746263e-48,1.1173557825770834e-50,2.2580041706326869e-65,1.2302011175011977e-76,-5.407786055302206e-77,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,4.0421902066995391e-20,3.2478989071145669e-20,4.0421902526472563e-20,1.4370351301153153e-27,1.0285269776879098e-27,1.154657399365452e-27,1.0537070945115231e-35,1.5597311810029182e-22,2.658730336476101e-36,4.3057815757140586e-29,2.9088554816871569e-42,7.3396698483692492e-43,1.2810226554204201e-22,1.310205829054053e-38,6.4051132786637684e-23,3.5363811911520641e-29,1.7681905518263643e-29,6.1032422167934365e-37,1.6848561748336894e-43,1.266706840181607e-50,5.6842886920039067e-56,2.0119684874102493e-23,1.8021762337493096e-51,3.4609103481890431e-51,7.1527297265146697e-31,2.1798383483835761e-40,1.3465292161979429e-37,1.0760850659441154e-38,1.1269708393797545e-43,3.5682097628274371e-49,9.8503720048558729e-56,3.5057377211646616e-36,1.70002083206439e-63,1.7034086234547948e-37,4.702416394959705e-44,5.151231435484174e-64,2.1609372861288268e-70,2.8777157859278644e-53,1.0937885766647714e-31,1.701719246864107e-37,4.6977529479232356e-44,1.340588956481414e-44,1.4188759910758176e-42,1.8492672931028985e-60,1.8010229722998648e-62,3.7326998194738671e-70,5.6874594140559678e-77,1.5689567950168758e-86,3.1113275939483025e-65,1.0269826582212805e-67,3.6780964281371305e-71,4.0643455345004996e-61,1.1627793515740369e-79,5.9733228953559799e-83,1.2610080809660866e-37,3.7616602694445464e-41,3.7077566852875369e-54,3.6810402367523131e-63,2.6053710951739487e-62,7.6230422080311547e-79,8.4398303225048674e-86,4.7776362905362912e-86,3.1226073871331508e-92,1.5070163249019903e-75,1.7887440180353449e-52,1.1651072289699948e-42,9.8399406270058123e-46,8.9479909796915785e-52,2.2677491865413654e-60,5.0033055619815983e-66,6.4753168439332773e-71,1.986346693006162e-29,3.9994626341435052e-96,3.5412137131057706e-101,4.5387110117179942e-106,7.152366825891316e-107,2.933661420811113e-102,7.3847969832803167e-105,6.4370191254830917e-111,4.378800519204298e-117,1.5593088497400265e-57,3.8892243529611054e-56,8.1545662538848077e-52,1.747938209922904e-62
3.0000000000000002e-15,0.0029730171106205202,4.1450081693674757e-23,1.0650506600942582e-30,1.6029291703044087e-31,1.9611581020234129e-30,2.4227112423976267e-39,0.0,0.0,5.0988613624840521e-21,3.7094993431541358e-32,6.5177084036378301e-36,1.2580168330573532e-42,1.3640440376913737e-46,2.2790429923841772e-55,4.7965431405936743e-45,1.1002170248175691e-35,3.9303602608455924e-21,5.7215347550549396e-32,5.2374741468854617e-75,6.662134920223046e-72,7.6396490981928039e-47,3.5747733500480431e-46,1.2715519274017707e-30,2.6210019738177034e-44,8.2121411526858752e-34,1.1179047348525548e-56,3.4876480108796539e-46,4.5322966049396758e-27,1.1623801067363126e-30,1.0671667121435776e-19,3.9868930517380313e-42,2.9743686499171295e-57,1.5446908359142989e-53,7.1085504093450039e-42,4.5153625616359632e-69,5.8759534792106007e-52,1.4579948619587234e-28,4.0227696962093714e-39,4.7509740601773298e-40,2.4910950350594698e-40,1.2076959008050087e-26,3.7186741184775254e-51,1.341489851430125e-56,2.6511851660501689e-49,2.2862165288388095e-45,9.7387471467795641e-39,2.8076089809150943e-53,7.845887062747366e-55,2.8411667069231565e-54,2.4303742641420025e-81,2.0303633237101507e-73,9.5994420308214607e-103,3.8014418065132349e-93,6.6241871257834932e-51,1.3612372438546094e-47,1.7639445352238321e-56,3.8916654994215995e-65,6.7663200475245319e-54,1.4527484301243171e-64,4.2241698508408246e-69,2.3218490486645823e-36,6.5388379456464106e-38,5.5326690753483625e-47,1.3727648293375633e-49,3.4192573179209108e-64,2.5658184009027396e-75,5.2177714479313762e-75,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.3281481580152413e-19,1.0671667402690236e-19,1.3281481882094557e-19,9.443373473756434e-27,6.7588914541361188e-27,7.5877484316792821e-27,9.9349512139190188e-35,5.1248295851132953e-22,2.5068026022425797e-35,2.8295128940355061e-28,3.5737361025381217e-41,9.0173072210773306e-42,4.2090732798270297e-22,1.2353367080620165e-37,2.1045366409397877e-22,2.3239071080023225e-28,1.1619535127514966e-28,5.7544835557469909e-36,2.0699654577109842e-42,1.9181539858427371e-49,1.0231710281946296e-54,6.6107533756487697e-23,2.3904150468077002e-50,5.579399318303155e-50,4.7003651472457135e-30,2.0552761588242673e-39,1.2695843053396154e-36,1.0145943292884793e-37,1.0625730637113683e-42,4.3838020414153069e-48,1.4916280932597031e-54,3.3054087644210729e-35,3.06003786681447e-62,1.6060705412259443e-36,5.7772527956383007e-43,9.2722181681298384e-63,4.5070984324742041e-69,4.3576829012250004e-52,7.1877539824115374e-31,1.6044776714423063e-36,5.7715234046632674e-43,1.6470089263224704e-43,1.3375558756285301e-41,3.5045049426093244e-59,3.9276487561612488e-61,9.2067079156914818e-69,1.5653112804339937e-75,4.7663802625462841e-85,6.4864096859637532e-64,2.434340819962441e-66,9.7693667395411804e-70,6.1545385536558726e-60,2.7572779552828349e-78,1.5871097819596253e-81,1.1889505309394616e-36,3.5467088094965573e-40,4.5552463517990478e-53,5.5741490510714843e-62,3.9458386341162746e-61,2.2425521896594999e-77,2.7239633004516044e-84,1.5419816381635208e-84,1.0926332602670039e-90,2.7114630897322185e-74,2.7086686503316679e-51,1.0982658116180809e-41,1.2086965165963002e-44,1.3549812964276548e-50,4.0819466125917461e-59,1.0435443041524668e-64,1.5355721806717026e-69,1.3053135326316801e-28,1.3292778505339988e-94,1.2781483834723599e-99,1.7677418822249914e-104,2.7858568263730413e-105,1.0588627300778146e-100,2.6654356507122123e-103,2.5072622611458527e-109,1.8306783329429171e-115,2.3607529896942051e-56,4.7790066906113012e-55,1.2348341375067699e-50,3.0302009664030087e-61
7e-15,0.0029730171106205202,9.191125950055821e-23,2.695897368892426e-30,8.7115855650511888e-31,6.5673396756176949e-30,3.9130518849787864e-38,0.0,0.0,1.1306172801836511e-20,2.0160325914980482e-31,3.5421648399953946e-35,2.031847714776249e-41,2.2031521540543115e-45,3.6809093880456299e-54,2.6068159060223447e-44,5.9793202154927386e-35,8.7151518559305614e-21,3.1095315648300523e-31,1.0104976408539201e-73,3.3699157441940218e-70,1.2339597712536112e-45,5.7737866410138121e-45,2.8194717326398564e-30,4.2333177459644132e-43,4.4631228034800139e-33,5.9988014290244462e-55,5.6330748489203909e-45,2.4632044189023935e-26,6.3172822247668166e-30,2.3663258174111992e-19,6.4394333330993296e-41,4.911025687549995e-55,7.8297581228853388e-52,3.5947598490208379e-40,2.4260500162985186e-67,9.490561184132871e-51,7.9238895251964253e-28,6.4973851512672875e-38,7.6752927428469838e-39,4.02287853085658e-39,6.5635635446417243e-26,2.0217699095129743e-50,2.2153658024980256e-54,1.3408863890938859e-47,1.1564197649773199e-43,1.5729816701653734e-37,1.4201257831439793e-51,3.9651098671216201e-53,1.4371008321123193e-52,1.3567370643083525e-78,3.3620998373089405e-71,3.5045166582083515e-100,3.5574206401968033e-91,3.3494492772556515e-49,6.8847095526061969e-46,2.9130240104977785e-54,6.4267909899500337e-63,1.1175966683394207e-51,8.0861719683156838e-62,6.9401321711501025e-67,3.7501373061188131e-35,1.0558769205799476e-36,2.7979600193677355e-45,6.9444517468846767e-48,5.6467844401427139e-62,4.9326615722207411e-72,1.5226594554378676e-72,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,2.945023836985845e-19,2.3663259702668446e-19,2.9450240010847907e-19,5.1322673490465416e-26,3.673310171408515e-26,4.1237756399985053e-26,1.6046430905576713e-33,1.1363743303929466e-21,4.0488617805804755e-34,1.5377762257104937e-27,1.8076417484912988e-39,4.5610710120187597e-40,9.33315502950729e-22,1.9952527410759701e-36,4.6665775203313356e-22,1.2629911124155511e-27,6.3149548958354848e-28,9.2943337729804124e-35,1.0470131615865091e-40,3.1677979309524103e-47,5.6963707146778096e-52,1.4658625597105133e-22,1.5096683210679385e-48,1.1652499372736589e-47,2.5545459163421528e-29,3.3195818853173635e-38,2.0505653261002489e-35,1.6387211697927602e-36,1.7162247549806426e-41,2.2173972022119635e-46,2.4634460713777167e-52,5.3387198817873387e-34,1.7036676202777035e-59,2.5940406562308586e-35,2.9222051643214253e-41,5.1622864701699371e-60,8.6668065402283902e-66,7.1967296533443135e-50,3.9063897265464147e-30,2.5914675008751927e-35,2.9193070783455647e-41,8.3307789183712543e-42,2.1567873546220463e-40,2.4238471225124704e-56,9.4462765048222257e-58,7.8319712911578393e-65,4.7735395298697093e-71,5.2674099292343094e-80,1.2356232418842222e-60,1.6298923923881319e-62,2.3349873423719774e-65,1.0163246693129238e-57,1.8628159610552133e-74,3.8279532843658064e-77,1.9203349689688636e-35,5.7284803306507122e-39,2.304121886151478e-51,9.2058191045434921e-60,6.5304613497568979e-59,1.9357735017954741e-72,8.5716817055892986e-79,4.8517377114690457e-79,1.1047655018594848e-84,1.5097323820007604e-71,4.4733705465099284e-49,1.7699696178132466e-40,6.1010082647046914e-43,2.2377595825214698e-48,2.2725883924253274e-56,2.0065580943787563e-61,1.0389147734501137e-65,7.0940949859096663e-28,5.3707674664372201e-89,1.9020756462367654e-93,9.7253833219565432e-98,1.5358561144069771e-98,1.5758172807669864e-94,3.9667356377906836e-97,1.383021225922187e-102,3.7629893778394138e-108,3.886854961629193e-54,2.4303180619634137e-53,2.0393357636354297e-48,4.5839703758128183e-59
1.5e-14,0.0029730171106205202,1.9283424712228358e-22,6.9694219799675078e-30,3.8540157363634928e-30,2.2495769229715416e-29,3.639220662342023e-37,0.0,0.0,2.3720801597133842e-20,8.9189306819184054e-31,1.5670037628157495e-34,1.8895980152460342e-40,2.048993791812013e-44,3.4231829536545039e-53,1.153254608536671e-43,2.64516297841522e-34,1.8284750758111282e-20,1.3756580920093652e-30,1.8119637741871852e-72,6.4812737083666227e-69,1.1476168291995482e-44,5.3697095443640409e-44,5.9151404654185345e-30,3.9370684837612859e-42,1.9744874476881881e-32,1.2527736012554331e-53,5.238857824879225e-44,1.0897214455409128e-25,2.7947649477761903e-29,4.96464290678037e-19,5.9887894076867241e-40,1.9260444475751114e-53,1.5106230434867686e-50,6.9112414084918623e-39,5.6054856662954014e-66,8.8264113180397004e-50,3.505531963831438e-27,6.0426952112179929e-37,7.1407186511793845e-38,3.7413919156290478e-38,2.9037196790273188e-25,8.9452959207129178e-50,8.6914318066510522e-53,2.5788997057736184e-46,2.2241572722152879e-42,1.4629410593415686e-36,2.7312715070375566e-50,7.6160313926892221e-52,2.7639221330528337e-51,1.0803230907153334e-76,1.3241230724006013e-69,2.6611129689877478e-98,1.5815781116470926e-89,6.4418610068368467e-48,1.3241217273598397e-44,1.1428571229792632e-52,2.5211940961412765e-61,4.3853521310524421e-50,6.4120627259527765e-60,2.7024439549399942e-65,3.4876971067716667e-34,9.8162880374946933e-36,5.379657455771379e-44,1.3358365973368627e-46,2.2152815906356331e-60,7.8681272251831837e-70,1.9467853883203116e-70,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,6.1787741673041002e-19,4.964643583013464e-19,6.1787748932775187e-19,2.270514455537365e-25,1.6250721247731821e-25,1.8243578422489428e-25,1.4923451740937704e-32,2.3841542728495682e-21,3.765511231730468e-33,6.8031034953066635e-27,3.4765618992210265e-38,8.7721199772076812e-39,1.9581295945706827e-21,1.855617793663592e-35,9.7906479975294005e-22,5.5874588573410737e-27,2.7937288090558682e-27,8.6438623813523041e-34,2.0136708534231811e-39,1.2427731037247808e-45,4.5184734100006573e-50,3.0754365640988873e-22,3.084519007276206e-47,4.8553484273527377e-46,1.1301308493123619e-28,3.0872727291674563e-37,1.9070559251749477e-34,1.5240379341252437e-35,1.596133275816848e-40,4.2646668597050197e-45,9.6647313723569859e-51,4.9650861721559635e-33,1.3514184001181591e-57,2.4124968310487686e-34,5.6201444908648507e-40,4.0949406908744896e-58,1.3829261619018515e-63,2.8234340256954444e-48,1.7281880589397012e-29,2.410103121849737e-34,5.6145704745218498e-40,1.6022226692356133e-40,2.0006673842742348e-39,1.9667074724848737e-54,1.5417461026022145e-55,2.5640405907169145e-62,3.1302053786494421e-68,6.9133177463896848e-77,1.9460529921286082e-58,5.1421680889687975e-60,1.4755525498429252e-62,3.9866953330853987e-56,5.9503453024371919e-72,2.4492331822098702e-74,1.7859472354254724e-34,5.3276061824971609e-38,4.4314779588719873e-50,3.6116955355014659e-58,2.5699582182831557e-57,2.4484590581691374e-69,2.1688568828305085e-75,1.2274337332571079e-75,4.7701717430018328e-81,1.2006993254785282e-69,1.7549974873433599e-47,1.6404504555126531e-39,1.169729960711022e-41,8.7792354393241959e-47,1.8026822660705518e-54,3.2015612610168671e-59,3.3251774697391339e-63,3.1384274011984757e-27,1.4102737561604643e-85,9.9903706788439698e-90,1.018093765154229e-93,1.6123617430045959e-94,8.2772581374728147e-91,2.0835903450490329e-93,1.4529975539118133e-98,7.9065078155932417e-104,1.5181443004581426e-52,4.7602362442277171e-52,8.0007736032632422e-47,1.8177940225728723e-57
3.1e-14,0.0029730171106205202,3.9468275039429282e-22,1.9563846493923067e-29,1.6064290462644938e-29,8.1217230428465266e-29,3.071511285868237e-36,0.0,0.0,4.8550082854083125e-20,3.7175671741049771e-30,6.5311366818490435e-34,1.5947207255595867e-39,1.7293821931982539e-43,2.8889423273785818e-52,4.8069593150772665e-43,1.1024779255444911e-33,3.7424011410466849e-20,5.7339925575992021e-30,3.1002453710065887e-71,1.1019623551408568e-67,9.6859261733074852e-44,4.5319924370676455e-43,1.2105794495765906e-29,3.3228853414817589e-41,8.2300220886261995e-32,2.4616663337048724e-52,4.4215751631431208e-43,4.5421466161001042e-25,1.1649059697319741e-28,1.0161272600858911e-18,5.0545212883498639e-39,6.5705766963489576e-52,2.5843708362323845e-49,1.1742530075999549e-37,1.5908074559990808e-64,7.4494962473590672e-49,1.4611692161103438e-26,5.1000335751569246e-36,6.0309841013465388e-37,3.1578518151425298e-37,1.210320091588136e-24,3.7287423213924677e-49,2.9671452104182935e-51,4.3848818788155632e-45,3.7817671879582108e-41,1.2347838801822224e-35,4.6437688499521576e-49,1.2915772542188439e-50,4.6992928754037045e-50,7.4469799765506629e-75,4.5547770154624168e-68,1.8543112874920256e-96,5.6283918827307937e-88,1.0953058946476051e-46,2.2513913805737052e-43,3.9016066488137122e-51,8.6055324197736423e-60,1.4975755412236514e-48,4.383817233260977e-58,9.0906588444736447e-64,2.9436091641853071e-33,8.2790260922590972e-35,9.1414161180074279e-43,2.2720171527978646e-45,7.5619087681533079e-59,1.0769840804971766e-67,2.5122671157501363e-68,0.88168480800000004,0.0,0.0094599999999999979,0.10885,0.001,1.2646270717452056e-18,1.016127541951355e-18,1.2646273743432723e-18,9.4638933598724349e-25,6.773580322250046e-25,7.6042361114173438e-25,1.2595319346889902e-31,4.879702952640448e-21,3.1780751433868759e-32,2.8356365428225582e-26,5.9109158869267768e-37,1.4914531808883464e-37,4.0077487446218302e-21,1.5661306475281797e-34,2.0038743825964132e-21,2.3289385862312042e-26,1.1644687701669687e-26,7.2953355944035307e-33,3.423661391786069e-38,4.2423601989597072e-44,3.0911681158408692e-48,6.2945828132551591e-22,5.4031667173821076e-46,1.7087574176227355e-44,4.7105794174436896e-28,2.6056520346195353e-36,1.6095383617700926e-33,1.2862797556457937e-34,1.3471538935877265e-39,7.2509992054963529e-44,3.2993624115254159e-49,4.1904857854271571e-32,9.2457805787789119e-56,2.0361274362336407e-33,9.5554393711210093e-39,2.8015764608821523e-56,1.8942436241452715e-61,9.6384986573186301e-47,7.2033979753104711e-29,2.0341061109358917e-33,9.5459614881689785e-39,2.7241248756674154e-39,1.6800269643318e-38,1.2932407875359725e-52,2.0305931352275141e-53,6.7588864954305912e-60,1.6508758608110632e-65,7.2935492683672401e-74,2.598279099629252e-56,1.3699901365037088e-57,7.8641197240789384e-60,1.3605731554052474e-54,1.6242761285666372e-69,1.3375022884692159e-71,1.5073360689480424e-33,4.4965109122477342e-37,7.53467217383563e-49,1.2329778535658356e-56,8.8268346594280954e-56,2.6102478636946211e-66,4.623113007313849e-72,2.6156133217902905e-72,1.5716497003839785e-77,8.2624736181415946e-68,5.9911003802542384e-46,1.3752549999946487e-38,1.9766415157571201e-40,2.997022903976206e-45,1.2332748557140465e-52,4.3846926098062073e-57,9.1127768398834244e-61,1.3081508437588702e-26,2.9757259835532055e-82,4.2157080799284449e-86,8.5318893698449708e-90,1.3588326631738042e-90,3.4932412913779051e-87,8.7932880010173558e-90,1.2263526318806129e-94,1.3344438875103018e-99,5.1373642567558486e-51,8.6771425727082639e-51,2.7312741770495295e-45,6.6224356411099594e-56
6.300000000000001e-14,0.0029730171106205202,7.9838986902634083e-22,6.0942600831098803e-29,6.546353610375015e-29,3.061212528845487e-28,2.5138886526740099e-35,0.0,0.0,9.8208740033280121e-20,1.5149304356489925e-29,2.661143201948302e-33,1.305033582000628e-38,1.4154616071010913e-42,2.3640847879834309e-51,1.9588570391166444e-42,4.4920734831719321e-33,7.5702784106762015e-20,2.3366418460857934e-29,5.1221982277217643e-70,1.8078762964248603e-66,7.9274503756892571e-43,3.7091332385853882e-42,2.4484369420126946e-29,2.7196098309627765e-40,3.3537913295140214e-31,5.117068692793562e-51,3.6187976104723835e-42,1.8509481253317765e-24,4.7470503129614783e-28,2.055451405041267e-18,4.1368377449627902e-38,2.1555468798854038e-50,4.2921767505663133e-48,1.9238286596457847e-36,6.7977497625707952e-63,6.0970375577001752e-48,5.9543652133899358e-26,4.1741129916054484e-35,4.9429268709105227e-36,2.5847348630468549e-36,4.9321144976930073e-24,1.5195191032785874e-48,9.7479565075628905e-50,7.1944536399425834e-44,6.2050485914816757e-40,1.0107076443065602e-34,7.6185779631568937e-48,2.1081779293127247e-49,7.7097057602431732e-49,4.96923019834051e-73,1.5189195120507692e-66,1.2316554739325718e-94,1.8947681190151565e-86,1.7971165474269015e-45,3.6939431043850003e-42,1.2818180925719952e-49,2.8261765255861679e-58,4.9230510664809278e-47,2.8780816236295594e-56,2.9015702410338122e-62,2.409180810811756e-32,6.7663099065598931e-34,1.4980434900435269e-41,3.730082019417142e-44,2.4837904350553e-57,1.4145705916182459e-65,3.24253768987523e-66,0.88168480800000004,0.0,0.0094599999999999962,0.10885,0.001,2.5581247375819786e-18,2.0554525536564611e-18,2.5581259706834188e-18,3.8565837675885155e-24,2.7602687625935569e-24,3.0987641397581837e-24,1.0308499757059325e-30,9.8707554925654657e-21,2.6010642180291974e-31,1.1555250133053795e-25,9.6974218762545751e-36,2.4468741429803809e-36,8.1069509125740912e-21,1.2817797226000795e-33,4.0534754982017827e-21,9.4904595929780493e-26,4.7452255165238238e-26,5.9707190463632459e-32,5.6167790475988589e-37,1.3935335314611697e-42,2.0320052902653876e-46,1.2732868273014737e-21,8.9986910502832196e-45,5.7008410102584819e-43,1.9195849111583529e-27,2.1325820054088323e-35,1.3172967943812983e-32,1.0527402721884496e-33,1.1026045252237382e-38,1.1896390419051321e-42,1.0838993192588649e-47,3.4296202382163246e-31,6.0784309796067716e-54,1.6664330102903692e-32,1.5676492916194611e-37,1.8418429826081985e-54,2.491427493353095e-59,3.1662948320290439e-45,2.9354319672711496e-28,1.6647769703521869e-32,1.5660940806794969e-37,4.4691731209129084e-38,1.3612828929492055e-37,7.6025536505492898e-51,2.3896201940821682e-51,1.5914212060849174e-57,7.7759408969273889e-63,6.8715831791680279e-71,3.253136689112044e-54,3.4119376468963295e-55,3.9170019398252361e-57,4.4670249291509889e-53,4.2387285274245217e-67,6.9813127664062769e-69,1.2336714236574174e-32,3.6801811229950475e-36,1.2361971742479522e-47,4.0506247186214423e-55,2.934812690444443e-54,2.6004158148982281e-63,9.2054554826761055e-69,5.2050922501650535e-69,4.3023123817000536e-74,5.4964755126000931e-66,1.9680913843394096e-44,1.110708972739915e-37,3.2038021195953598e-39,9.845442904447821e-44,8.1074012758451491e-51,5.765441926729731e-55,2.3968502601263427e-58,5.3307841702140086e-26,5.6065907055337607e-79,1.5882507160518873e-82,6.3394430110810166e-86,1.020944828007637e-86,1.3163807794474317e-83,3.3135840987776935e-86,9.2414701253193088e-91,2.0105703565979915e-95,1.6587403874225573e-49,1.8058766961149665e-49,8.9724365820157277e-44,2.7427960255887e-54
