Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),HOCO(37),HCOH(38),CH3OO(39),CH3OOH(40),CH2OOH(41),C2H5O(42),C2H5O2(43),H2CC(44),C2H4O(45),C2H5O(46),cC2H4O(47),C2H5O2(48),C2H3O2(49),CHCHO(50),OCHCHO(51),HCCOH(52),CHCHOH(53),C2(54),C2O(55),C2H6O(56),C2H5O(57),C2H5O3(58),cC2H3O(59),HOCHO(60),C2H3O3(61),OCHCO(62),C2H6O2(63),C2H5O2(64),C2H4O2(65),HOCH2O(66),OCHO(67),C2H4O3(68),C2H3O2(69),N2,Ne,C7H16(1),O2(2),CH4(3),C4H9(99),C5H11(101),C3H7(100),S(160),S(162),S(161),S(177),C7H15(105),S(194),S(267),S(266),S(268),C7H15(102),S(310),C7H15(103),S(829),S(830),S(859),S(882),S(752),S(926),C7H15(106),S(900),S(992),S(1016),S(1066),S(847),S(779),S(1065),S(1245),S(1588),S(184),S(1604),S(848),S(1887),S(1607),S(1912),S(1910),C7H14(241),S(303),S(1907),S(1869),S(306),S(1017),S(1020)
0.0,0.002324732297528947,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.002324732297528947,3.2345097736301163e-34,2.3066136699904258e-43,3.155758786248375e-40,3.0595636544133358e-43,1.800017367123176e-48,0.0,0.0,1.2731989488227676e-27,7.325208759744419e-41,1.5438892353829788e-49,1.9274040749187374e-56,3.088499321108294e-59,1.6087012661721435e-76,2.9121322130724593e-63,2.4220029743958686e-49,1.1461956683982491e-27,3.1556416466231303e-40,-1.4389156315736903e-104,1.7774532776705199e-102,2.1212175915399926e-68,2.4600016638427986e-66,4.7104518461593321e-44,4.2423000514595696e-55,1.3951566596740016e-43,6.6783662061667817e-75,2.4416010374767671e-63,9.9914435445722453e-38,5.3916160022958331e-42,2.925894848521954e-29,4.9040895615533788e-55,4.8800513600771033e-76,7.0213261331464399e-71,3.2044811626916008e-56,1.0800435796865598e-92,1.8133630465755241e-69,4.4089935039015353e-35,1.0205706494270325e-47,1.6427917770699531e-51,1.1309313718336767e-56,3.1594073438666451e-36,5.2105230099138502e-76,3.2501771134654287e-76,3.1068228309432365e-68,1.892756915533653e-59,1.6750960209836664e-51,3.4193244248195836e-70,1.9363967230496367e-72,1.28445552330703e-71,2.9551887633624521e-108,2.1296487073276661e-99,-4.1639938406666206e-146,-3.8788633276765702e-138,1.555169918334615e-68,1.1803270017914746e-66,6.0183586406561731e-75,8.2422021383187178e-86,1.0459358976529798e-69,5.3294187970628384e-83,9.1424318108081989e-91,1.4355714999119659e-47,3.9065930889157397e-52,1.7163105642049703e-64,1.0435871075836716e-63,1.15000498792347e-96,1.8235752156474428e-95,-9.6274840976724374e-98,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,2.729291379613655e-29,2.9258950441848729e-29,2.7292914084892943e-29,1.2147095055996154e-36,9.2607946452173081e-37,1.30221073103037e-36,6.1115257903718042e-47,5.49338703705692e-29,3.0812509876117257e-47,1.9393983786594568e-35,2.1576275491367379e-53,1.0878121509468691e-53,4.7116363498245423e-29,3.55469252480799e-46,2.3558181749273216e-29,1.66340726334204e-35,8.3170363143282987e-36,2.7227371265616561e-45,9.6124156783494897e-52,1.7805780293005323e-63,5.3753942100339775e-70,1.3950996587454239e-30,6.7665512548869345e-62,5.1854301439385902e-62,6.2090871991305954e-38,1.1364554025820625e-48,2.1682266384883348e-46,3.0488327874138761e-46,5.304829873725358e-57,3.6677886436091916e-63,1.2948847950860096e-69,9.5673209746986259e-48,2.1195243187918886e-79,4.9223071018745395e-47,1.7377829649120723e-53,6.6189722838874908e-81,3.5460140995252149e-87,6.3842458402748501e-64,9.1355758679823379e-40,4.9343200142751873e-47,1.7420240320192508e-53,1.5562068601695956e-55,2.2455807677090807e-55,5.0430423440578511e-76,1.855270049888188e-78
3.0000000000000002e-15,0.002324732297528947,1.0627674053931365e-33,1.2547900881860757e-42,2.0737843054180476e-39,1.8557970430332168e-42,1.6971592091397983e-47,0.0,0.0,4.1833679750335661e-27,4.8137086137115215e-40,1.0145521100639109e-48,1.8172619525391224e-55,2.912013474932087e-58,1.5167706460986528e-75,1.9136866856406959e-62,1.5915959898709841e-48,3.7660713369983573e-27,2.0737073330958793e-39,8.5108672714459272e-103,2.1837497468591835e-101,2.0000313802332207e-67,2.3194293491633597e-65,1.5477068381660998e-43,3.9998828584998857e-54,9.1681721798995383e-43,8.2417496865605016e-74,2.3020805868322869e-62,6.5658054405044095e-37,3.5430617727853836e-41,9.6136534314937032e-29,4.6238555506849703e-54,7.3896774466569577e-75,8.6261995990328796e-70,3.9368588525104066e-55,1.7851456661564915e-91,1.7099365273073915e-68,2.8973385398086153e-34,9.6225231539274485e-47,1.5488981952553224e-50,1.0669621603903325e-55,2.0761818682753011e-35,3.4240578490122726e-75,4.923580069135399e-75,3.8187541694924851e-67,2.325387000385429e-58,1.5793761888216813e-50,4.2008837452634607e-69,2.3789643724890944e-71,1.5780451576226876e-70,5.3193980774846549e-107,3.2249386297300112e-98,2.2251060372229177e-144,3.0571473201920055e-126,1.9120157686503964e-67,1.4508000021167646e-65,9.1170021554990685e-74,1.2481047101982297e-84,1.5838329037123902e-68,9.5928286679699497e-82,1.3843807247124572e-89,1.3535387970861124e-46,3.6832675724027525e-51,2.1086100607383835e-63,1.2821084483737978e-62,2.0255980743553608e-95,3.8034140498594622e-94,5.4665347285577789e-96,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,8.9676712767210146e-29,9.6136547172785097e-29,8.9676714664751983e-29,7.9823765964144854e-36,6.08566496276075e-36,8.5573846381928683e-36,5.7622950312431548e-46,1.8049693891310063e-28,2.9051791479100434e-46,1.274461595924656e-34,2.650799308198915e-52,1.3364548029778703e-52,1.5481085398586149e-28,3.3515668788600301e-45,7.7405426993922147e-29,1.0930960337606759e-34,5.4654801665576573e-35,2.567151569759303e-44,1.1809537220060532e-50,2.6963034516714948e-62,9.6757083062895308e-69,4.5838986900003433e-30,9.4077178749167283e-61,8.6909942148515828e-61,4.080257229196264e-37,1.0715150804856597e-47,2.0443277254784725e-45,2.8746134633149703e-45,5.0017191727461311e-56,4.5061554747368598e-62,1.9608308921968701e-68,9.0206161893963754e-47,3.8151525002451496e-78,4.6410314169197104e-46,2.1349901489332618e-52,1.1914176498868541e-79,7.3959864016260671e-86,9.6675709815979383e-63,6.0033775336615924e-39,4.652357871643309e-46,2.1402006008640774e-52,1.9119109707859499e-54,2.1172238936632545e-54,9.8879343044277837e-75,4.1677202849815546e-77
7e-15,0.002324732297528947,2.356570613471907e-33,5.9798211469934543e-42,1.1270565468644315e-38,9.5878849866598323e-42,2.741168931741273e-46,0.0,0.0,9.2761637728512959e-27,2.6161459862969864e-39,5.5137402641297561e-48,2.9350831243183943e-54,4.7033404492243039e-57,2.4497428510123687e-74,1.0400464142341393e-61,8.6497672679881728e-48,8.3508529019322618e-27,1.1270147322790524e-38,1.6422450214145606e-101,1.1046996439203957e-99,3.2307417497331158e-66,3.7462181165298899e-64,3.4317876871326981e-43,6.4604161611085478e-53,4.9827017231663646e-42,4.3928051708358256e-72,3.7182031537792529e-61,3.5683713996725271e-36,1.9255764436290838e-40,2.1317224631692762e-28,7.4682225367497623e-53,1.2201295041310803e-72,4.3632455718683881e-68,1.9908619533079774e-53,8.192681547134651e-89,2.7618589260037402e-67,1.5746403393520071e-33,1.5541831190523175e-45,2.5014126755581654e-49,1.7230888663027583e-54,1.1283593554172851e-34,1.8609004361112017e-74,8.1321871533119751e-73,1.9316105197629243e-65,1.1762127835783942e-56,2.5509309629729162e-49,2.1248622872452101e-67,1.203086835064739e-69,7.9819604804269628e-69,2.962134372841324e-104,5.3270515799929111e-96,8.1265752249344652e-142,2.9001452701627065e-124,9.6701689206079112e-66,7.3384662880591683e-64,1.5058389580787655e-71,2.0612521367437731e-82,2.6153971665333575e-66,5.339521252965172e-79,2.2852165505340429e-87,2.1861695625176457e-45,5.9476790660725272e-50,1.0665640207893794e-61,6.4843029441473956e-61,1.0790988437146471e-92,7.3119313665375922e-91,4.8804917576287204e-94,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.9884833740792367e-28,2.1317231619650555e-28,1.9884834772064882e-28,4.338247603236143e-35,3.307426292578873e-35,4.6507519346811824e-35,9.3069689803385609e-45,4.0023193269958555e-28,4.6922992513297004e-45,6.9264147936887731e-34,1.3408097467686308e-50,6.7599672653700797e-51,3.432758897786607e-28,5.413283010310729e-44,1.7163794489472589e-28,5.9407333773738814e-34,2.9703666850599426e-34,4.1463301882361771e-43,5.9734163113016922e-49,4.4529601943599339e-60,5.3868995204359156e-66,1.0164295880751924e-29,7.3310683014392619e-59,2.255906222510047e-58,2.2175308443412558e-36,1.7306590076993709e-46,3.3018953523648978e-44,4.6429317356676262e-44,8.0788664411847962e-55,2.2793682553188935e-60,3.2384625888652608e-66,1.4569651104218167e-45,2.1241580437562698e-75,7.4959542175098549e-45,1.0799056776752005e-50,6.6334336535629115e-77,1.4222442223146963e-82,1.5966052834542657e-60,3.2627020201522426e-38,7.5142480760012293e-45,1.0825411851631946e-50,9.6706933675550772e-53,3.4190753339401358e-53,8.6901368760768017e-72,1.2792123384557424e-73
1.5e-14,0.002324732297528947,4.9441752443169586e-33,2.510867894001207e-41,4.9860971281209422e-38,4.1618533242510514e-41,2.5493380447753829e-45,0.0,0.0,1.9461755374918236e-26,1.1573829847671204e-38,2.4391832347741479e-47,2.7295798388583874e-53,4.3741911732611649e-56,2.2782024050239671e-73,4.6011602104165186e-61,3.8265020290925114e-47,1.752041320975982e-26,4.98591227413612e-38,2.9452991956222294e-100,2.1250001450316928e-98,3.0052166125941043e-65,3.4840360453469246e-63,7.19969514183138e-43,6.0083072195447808e-52,2.2043468392200879e-41,9.0940473603310811e-71,3.4579902383399853e-60,1.578646682401782e-35,8.5187457272306045e-40,4.4724346174942141e-28,6.9455801275875439e-52,4.7852476659359898e-71,8.3916558505704161e-67,3.8276394257217336e-52,6.3927979112533117e-87,2.5688592078982203e-66,6.9662076015666711e-33,1.4454192175007609e-44,2.3259338946598219e-48,1.6030775812700551e-53,4.9918591750314358e-34,8.2326192496570432e-74,3.1915027747070237e-71,3.7162542702992391e-64,2.2621669580109744e-55,2.3724123693082922e-48,4.0866623289080741e-66,2.3132012375116239e-68,1.5351385238040717e-67,2.3503342598884404e-102,2.0905192769965462e-94,6.1772796664951615e-140,1.3219179427469615e-122,1.8604497670457225e-64,1.4118579595244859e-62,5.9097152551690448e-70,8.0867561592097251e-81,1.0259013870351159e-64,4.2341034840479779e-77,8.9591778804559576e-86,2.0331777224430265e-44,5.5294753637019579e-49,2.0512835093431561e-60,1.246877934705608e-59,8.5287971295442698e-91,1.1663435583428609e-88,2.1185302877759104e-92,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,4.1719150894144674e-28,4.472437708964477e-28,4.1719155456492609e-28,1.9192403376866759e-34,1.4632051584184461e-34,2.0574922251929621e-34,8.6556403427335222e-44,8.3970067886936822e-28,4.3639186768829101e-44,3.0642408167766833e-33,2.5787271955839122e-49,1.3001182229492324e-49,7.2020489685837478e-28,5.0344470106126623e-43,3.6010244845306901e-28,2.6281760833650054e-33,1.3140880383093748e-33,3.8561523777934162e-42,1.148842300062785e-47,1.7469962281816582e-58,4.2730801751189552e-64,2.1325086586033122e-29,1.6128911764730175e-57,1.0113681864400236e-56,9.8103545557623835e-36,1.6095450583114507e-45,3.0708192704151828e-43,4.3180069768708329e-43,7.5139820182456537e-54,4.3840928012592082e-59,1.2706010330126866e-64,1.3550033117035968e-44,1.6850616020917425e-73,6.971356598514281e-44,2.0769379692071243e-49,5.2621902172725233e-75,2.2695333762490133e-80,6.263843963715077e-59,1.4434170505494921e-37,6.9883701104581409e-44,2.0820067128238493e-49,1.8599244899125125e-51,3.1789844901080015e-52,7.7563473312007906e-70,2.2955599784221809e-71
3.1e-14,0.002324732297528947,1.0119377364765662e-32,1.0208155093869868e-40,2.0782909974932748e-37,1.7194562778872256e-40,2.1516363817338363e-44,0.0,0.0,3.9832938604778015e-26,4.8241732040191599e-38,1.0166161503528907e-46,2.3035909997672381e-52,3.6918041774378944e-55,1.9226260684741332e-72,1.9178392746639651e-60,1.59482619276998e-46,3.5859522537260835e-26,2.0782140561082684e-37,5.0413999828341713e-99,3.6142339760634652e-97,2.5373366399058988e-64,2.9404924677464185e-62,1.4734493215539846e-42,5.070999907412862e-51,9.1880970129735017e-41,1.7630021352312294e-69,2.9185241631242457e-59,6.5800667028911202e-35,3.5507574700342304e-39,9.1538505832994718e-28,5.8620468983408455e-51,1.6324891511801095e-69,1.4267677305556392e-65,6.5034515781206377e-51,4.3547799726675941e-85,2.1686149076488959e-65,2.9036352343300637e-32,1.2199310849906195e-43,1.9623771689117702e-47,1.3539988371510362e-52,2.0806914329003633e-33,3.4314951199438334e-73,1.0902738858558341e-69,6.3229982326940141e-63,3.8461990259221547e-54,2.0023100785723791e-47,6.9482315760020539e-65,3.9307804452887621e-67,2.610076052209888e-66,1.6088757409649394e-100,7.1405892924292691e-93,4.3123837250753946e-138,4.9170009384763179e-121,3.1654573648185047e-63,2.4021954325383576e-61,2.0188649588653799e-68,2.7606263683653713e-79,3.5009783216647298e-63,2.8948416256402006e-75,3.0542264784935663e-84,1.7159970800154881e-43,4.6635926061212044e-48,3.4876491355272232e-59,2.1192229025825114e-58,5.8275727546903145e-89,1.5965151104869318e-86,1.1366677512353048e-90,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,8.5387754101709838e-28,9.1538634690657456e-28,8.5387773118354342e-28,7.9997236296617457e-34,6.0988912088157374e-34,8.5759812630794202e-34,7.3053209082510215e-43,1.7186332056242583e-27,3.6831276164326458e-43,1.2772246218311427e-32,4.3844131987370728e-48,2.2104919747666932e-48,1.4740586530183294e-27,4.2490523003524354e-42,7.3702932660872937e-28,1.0954658617492657e-32,5.4773292802774464e-33,3.2545656764515609e-41,1.953283548321643e-46,5.9638279048508478e-57,2.9234066687418827e-62,4.364665329170869e-29,2.9424193855015266e-56,3.7089327792033002e-55,4.089124537479865e-35,1.3584529524550281e-44,2.5917576274234232e-42,3.6443798998183292e-42,6.3425922257512511e-53,7.4548548279222501e-58,4.3380674677094301e-63,1.1436179950528448e-43,1.152968261435254e-71,5.8837781373482855e-43,3.5312505512288879e-48,3.6005306574824834e-73,3.1089829154852481e-78,2.1383288305351192e-57,6.016393913943409e-37,5.8981373155526439e-43,3.5398684642542451e-48,3.1622799660387329e-50,2.6816999828432213e-51,5.543817196451308e-68,3.2861533749774836e-69
6.300000000000001e-14,0.002324732297528947,2.046975304076593e-32,4.1088771027523833e-40,8.4691416724665779e-37,6.9766227750190916e-40,1.7609955603331908e-43,0.0,0.0,8.0575305167400795e-26,1.9658767449377375e-37,4.1421346920219859e-46,1.8850859973996627e-51,3.021530148462949e-54,1.5732819371300204e-71,7.8152651391917382e-60,6.4979781606319427e-46,7.2537696039702132e-26,8.4688290168440765e-37,8.3385575664207494e-98,5.933652548602366e-96,2.078203928694642e-63,2.4065862668752832e-61,2.9800023117898156e-42,4.1503337656278547e-50,3.7441966932078979e-40,3.6015428846267617e-68,2.3886297779225407e-58,2.6814074089519174e-34,1.4469499748935719e-38,1.8516649143650458e-27,4.7977464831065569e-50,5.3557658144173225e-68,2.3407573026538442e-64,1.0655235417564117e-49,2.8580729685077499e-83,1.7757187261545922e-64,1.1832462710737694e-31,9.9844632294749195e-43,1.6049450523880435e-46,1.1098175665483973e-51,8.4789131376377315e-33,1.3983500258081629e-72,3.5867141919064458e-68,1.0388461972680342e-61,6.3101230528923284e-53,1.6387779823861085e-46,1.1399274885803362e-63,6.4417301846400622e-66,4.282094297444454e-65,1.0588856280440836e-98,2.3484022354271822e-91,2.8748294404424285e-136,1.7963470225072139e-119,5.2007531725676894e-62,3.9467163432930635e-60,6.6415445721606934e-67,9.068859297057358e-78,1.1493065773546116e-61,1.9006086520353178e-73,1.0005741979772664e-82,1.4044472367482036e-42,3.8115588896951214e-47,5.7218815412732078e-58,3.4743577826853458e-57,3.8269550693308864e-87,2.0970343044802563e-84,9.066044069155111e-89,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.7272483612045959e-27,1.8516701653696976e-27,1.7272491361420588e-27,3.2599281024012601e-33,2.4853296977735644e-33,3.4947560230441788e-33,5.9789645098838293e-42,3.4764783970199296e-27,3.0144180973595896e-42,5.2047259413189763e-32,7.1930902418697528e-47,3.6265445478770101e-47,2.9817491335328493e-27,3.4775963079894565e-41,1.4908745671721975e-27,4.4640539341433687e-32,2.2320269437716817e-32,2.6636504855967442e-40,3.2045490611243709e-45,1.9591596968746875e-55,1.9218789076886984e-60,8.8289727883520318e-29,5.0072533402926486e-55,1.2650005129627223e-53,1.6663391677271859e-34,1.1118187813105587e-43,2.1211975969563867e-41,2.9827079565453969e-41,5.1923772147168395e-52,1.2233473630881974e-56,1.425439707835102e-61,9.3598461565239037e-43,7.581599334637234e-70,4.8154930346399844e-42,5.7933588551433782e-47,2.3675916101215118e-71,4.0899740770774429e-76,7.0245753749072592e-56,2.4516977792129134e-36,4.8272449139887769e-42,5.8074971672404794e-47,5.1880267633481124e-49,2.1926123465716562e-50,3.5847566601098915e-66,4.2529754146501685e-67
1.2700000000000001e-13,0.002324732297528947,4.1170390133725671e-32,1.6479400078182962e-39,3.4176758900123086e-36,2.8093395673011448e-39,1.423723623428515e-42,0.0,0.0,1.6206003870425626e-25,7.933201131907206e-37,1.6710296721018748e-45,1.5236019137713925e-50,2.4428238379837199e-53,1.2715070847763005e-70,3.1537853337670426e-59,2.621401516616705e-45,1.4589386243478645e-25,3.4175504328219774e-36,1.3599151647507026e-96,9.6162177657438512e-95,1.6826582947365786e-62,1.9455967587930935e-60,5.9914826719217443e-42,3.3554481468159369e-49,1.5109504275153616e-39,8.1159053249016058e-67,1.9311171016096834e-57,1.0820646707279315e-33,5.8390732820302991e-38,3.7242112780265893e-27,3.8788410007684441e-49,1.7297285653882778e-66,3.7882089870902377e-63,1.7197894090405368e-48,1.8484214284971264e-81,1.4369653830147047e-63,4.7749267305017637e-31,8.0722060025851127e-42,1.2957020200228714e-45,8.9991903994383021e-51,3.4216106987904818e-32,5.6429513681010622e-72,1.1647373889055599e-66,1.6860721677160979e-60,1.0212246811134747e-51,1.3249099489097756e-45,1.844821861057994e-62,1.0402150580858379e-64,6.9300071311604177e-64,6.8748227339046936e-97,7.6218967406300558e-90,1.8857832105636692e-134,6.8500719590378996e-118,8.4410016233939534e-61,6.4055966174265445e-59,2.1567591878887979e-65,2.9366631104797236e-76,3.7165580212127119e-60,1.227970139823441e-71,3.2223068133096459e-81,1.1354600577985555e-41,3.0729700058708358e-46,9.260242000630493e-57,5.6149053494810528e-56,2.47455872651764e-85,2.7100991929157191e-82,9.7922547942233838e-87,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,3.4739850257385444e-27,3.7242324680826202e-27,3.4739881529524496e-27,1.3155261714596102e-32,1.0029416078682108e-32,1.4102896968269644e-32,4.833792446462924e-41,6.9920893331515152e-27,2.4370565137035516e-41,2.1003149929025875e-31,1.1641123557783893e-45,5.8691132548406121e-46,5.997061968880368e-27,2.8115254129048185e-40,2.9985309860777131e-27,1.8014242332044223e-31,9.0071209776495295e-32,2.1534475807540365e-39,5.1861075271150288e-44,6.3441100584169015e-54,1.2449633970290869e-58,1.7757564178904863e-28,8.2564273610413916e-54,4.1758895337849885e-52,6.724421480087004e-34,8.9887950905517299e-43,1.7149176792009875e-40,2.4114240130900306e-40,4.2000416088842635e-51,1.9808070409533152e-55,4.6181202747821772e-60,7.5671586350636615e-42,4.9136551622254238e-68,3.8931252106988424e-41,9.375739936202036e-46,1.5344199698406522e-69,5.3019701201884807e-74,2.2746922472346773e-54,9.893584606140601e-36,3.9026258204424818e-41,9.3986201358191839e-46,8.396094470780033e-48,1.7691154239908628e-49,2.1405942577111263e-64,5.0825100900966793e-65
2.55e-13,0.002324732297528947,8.2571207287863817e-32,6.5997910585670092e-39,1.3729536451055777e-35,1.1273623291958401e-38,1.1447670107387762e-41,0.0,0.0,3.250295074243828e-25,3.186947217868504e-36,6.7088216756486925e-45,1.2243592723792999e-49,1.9641702952984064e-52,1.021644803493645e-69,1.2669252797259848e-58,1.0524133359133155e-44,2.9260547278931995e-25,1.3729038192416957e-35,2.2225644906447404e-95,1.5512767409917282e-93,1.3569536012069175e-61,1.5642717168180195e-59,1.200794792472263e-41,2.6980009760289073e-48,6.0698139987985973e-39,2.0367293077710289e-65,1.5526898049329817e-56,4.34686436531964e-33,2.3456693364683205e-37,7.469250612476321e-27,3.1188026609200413e-48,5.5371331082364709e-65,6.0941399866854806e-62,2.7518983816051042e-47,1.1864507144987992e-79,1.1575668752158477e-62,1.91819119294959e-30,6.4905846744466403e-41,1.0388533662913331e-44,7.2786690915376855e-50,1.3745275842229611e-31,2.2668833836220793e-71,3.769339485270929e-65,2.7279633230975669e-59,1.6429020040911818e-50,1.0653085127239162e-44,2.9677838437214099e-61,1.6660727591321679e-63,1.1148386017465985e-62,4.4452417590656738e-95,2.4639907067837156e-88,1.2347763133139639e-132,2.8458081919799305e-116,1.365720499025217e-59,1.036381109092713e-57,6.9797767152049352e-64,9.4502269714752326e-75,1.1927201889227783e-58,7.8629650577174451e-70,1.0257128425938404e-79,9.1298004072398116e-41,2.4571741008392566e-45,1.4897475964454675e-55,9.0074973050552587e-55,1.5871845765237107e-83,3.4709186380572438e-80,1.1894102230108925e-84,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,6.9674384515556612e-27,7.4693357367767562e-27,6.9674510142125735e-27,5.2847503946246562e-32,4.0290343828279834e-32,5.6654357827363465e-32,3.8865888511575169e-40,1.4022993433148427e-26,1.9595050154329117e-40,8.4372246500412123e-31,1.8727382834116712e-44,9.4418010865753013e-45,1.2027415149168999e-26,2.2606028103193026e-39,6.0137075811627103e-27,7.2365436122704976e-31,3.6182716546750197e-31,1.7314302270385525e-38,8.3428437867242441e-43,2.0415387764490489e-52,8.013404710192938e-57,3.5614652848823121e-28,1.3408152689824158e-52,1.356972609636027e-50,2.7013447994501477e-33,7.2275812572306855e-42,1.3788725791907694e-39,1.9389018891319628e-39,3.3805273436250138e-50,3.1897010239973965e-54,1.4875886414658354e-58,6.0843984810977031e-41,3.1658577845807205e-66,3.1301860644770224e-40,1.5082703944641081e-44,9.8859447480720191e-68,6.8322134172538214e-72,7.3200318697031257e-53,3.9743782420676531e-35,3.137824358059986e-40,1.5119509019863525e-44,1.3506752579718358e-46,1.4168016176974238e-48,1.1672146904037574e-62,5.5471858105806431e-63
5.11e-13,0.002324732297528947,1.6537101350406958e-31,2.641437130539507e-38,5.5034372154056171e-35,4.5165532797228106e-38,9.1808955896769338e-41,0.0,0.0,6.5096845145010676e-25,1.277485043335489e-35,2.6859567398189737e-44,9.8077442674745982e-49,1.5752091716551439e-51,8.1817794313042063e-69,5.078282896837906e-58,4.2132819869918227e-44,5.8602580378431038e-25,5.5032420834048743e-35,3.7757723760986275e-94,2.5023133767457471e-92,1.09465355340372e-60,1.2543421955005738e-58,2.4014952550721714e-41,2.1637663243060731e-47,2.4330658286993306e-38,5.5827957254780414e-64,1.2451509381084312e-55,1.7424084751722086e-32,9.4024419935865094e-37,1.495911571597227e-26,2.5011794238379622e-47,1.7581885464756754e-63,9.7760323739015234e-61,4.3679336591646748e-46,7.5725165282078977e-78,9.3180771857809092e-62,7.6890094839258369e-30,5.205375942736447e-40,8.284143011256469e-44,5.9059414843766441e-49,5.5096921216036531e-31,9.0866346133268209e-71,1.223009424424101e-63,4.4260296827038062e-58,2.6356369440377688e-49,8.5435542931386256e-44,4.7608131900951997e-60,2.6494335408531105e-62,1.7883883525371558e-61,2.8789578994976778e-93,7.9792133989416809e-87,8.1640322562274558e-131,1.3197995234232861e-114,2.2158914169669239e-58,1.6814747643894073e-56,2.2647034310288849e-62,3.0321406697668793e-73,3.8060479346576858e-57,4.9940523155300688e-68,3.2212496051076756e-78,7.3219244003517057e-40,1.9490081118670222e-44,2.3899379224693117e-54,1.436912798204023e-53,1.0114423725160941e-81,4.4092944385409388e-78,1.4834268045500238e-82,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.395426569109402e-26,1.4959456928210831e-26,1.3954316047817349e-26,2.1183738024064011e-31,1.6150269191744729e-31,2.2709702232426056e-31,3.116842945867121e-39,2.8083530659049003e-26,1.5714228091978196e-39,3.381879406751386e-30,3.0042404007006839e-43,1.5146516910167863e-43,2.4087031646669238e-26,1.8129001197689638e-38,1.2043515849701282e-26,2.9006123643387486e-30,1.4503060607058043e-30,1.3884539881695928e-37,1.3382970365987084e-41,6.5503177074142801e-51,5.14247788181177e-55,7.1328453744314633e-28,2.1610808102170025e-51,4.3753314373515912e-49,1.0828251939928697e-32,5.7964367612777433e-41,1.1057856896649514e-38,1.5549107053468949e-38,2.7166257682126042e-49,5.1269305464560901e-53,4.7824191720101151e-57,4.8794670003904947e-40,2.0356256791015969e-64,2.510145139072354e-39,2.4194671465520932e-43,6.3562229098300442e-66,8.7857624003744538e-70,2.3486835327457584e-51,1.5930462681125155e-34,2.5162696469148926e-39,2.4253704719425809e-43,2.1666632394606405e-45,1.1272745737388383e-47,5.6906635326044578e-61,5.4148868325390635e-61
