Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),HOCO(37),HCOH(38),CH3OO(39),CH3OOH(40),CH2OOH(41),C2H5O(42),C2H5O2(43),H2CC(44),C2H4O(45),C2H5O(46),cC2H4O(47),C2H5O2(48),C2H3O2(49),CHCHO(50),OCHCHO(51),HCCOH(52),CHCHOH(53),C2(54),C2O(55),C2H6O(56),C2H5O(57),C2H5O3(58),cC2H3O(59),HOCHO(60),C2H3O3(61),OCHCO(62),C2H6O2(63),C2H5O2(64),C2H4O2(65),HOCH2O(66),OCHO(67),C2H4O3(68),C2H3O2(69),N2,Ne,C7H16(1),O2(2),CH4(3),C4H9(99),C5H11(101),C3H7(100),S(160),S(162),S(161),S(177),C7H15(105),S(194),S(267),S(266),S(268),C7H15(102),S(310),C7H15(103),S(829),S(830),S(859),S(882),S(752),S(926),C7H15(106),S(900),S(992),S(1016),S(1066),S(847),S(779),S(1065),S(1245),S(1588)
0.0,0.003130044021721449,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.003130044021721449,1.0557008720648742e-27,4.0793147949895603e-36,8.42953410552445e-36,7.0483506721275291e-36,5.7366068979496169e-44,0.0,0.0,5.7642021756416765e-24,3.4329661914152318e-36,1.0130661491680922e-41,1.1438463320684781e-48,2.6387010679141966e-52,3.0986828417214125e-64,1.1822313777661051e-52,1.6619544504007349e-41,4.8004209099779923e-24,8.138350490257931e-36,-1.3048912916245218e-87,1.3971839021208104e-85,6.4061284583931482e-57,5.3895266358790738e-55,4.1616134078116599e-36,2.8296224328772844e-49,3.2261829866914683e-38,5.7342131664957077e-65,6.4753959321804346e-54,3.8375867722255833e-32,1.3300655393247796e-35,1.136775775958777e-23,7.5042463955838444e-48,2.1625290306386075e-65,1.7529921385832341e-61,3.6253548056560479e-48,3.1451071733386906e-79,1.8346572811423289e-59,1.0123470716189813e-31,2.8193907129010712e-43,3.2362936888051263e-45,3.0321228527849775e-47,7.2948254559956644e-31,1.2709791625905366e-61,4.7247229493413713e-65,2.2357487868894394e-57,1.5527868708664582e-51,2.3962777172691172e-44,4.7232678183444533e-61,7.6262246027012283e-63,3.4758980549097495e-62,3.4663673876346857e-93,9.0771738225581093e-85,-8.1947345540468413e-122,-1.3735831190109996e-114,1.6345380054263659e-58,1.220983590075311e-55,1.7739231664112211e-64,5.8580485244943768e-74,7.3164739638437441e-61,1.2481256543513637e-72,8.1923907425731483e-79,2.0482556795675425e-41,5.0718667099013263e-44,3.977756424994556e-55,7.5512672740808153e-56,8.524206263936612e-83,-3.0369431914227689e-94,-3.4492536668997878e-85,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.2693375314569527e-23,1.1367758121013589e-23,1.2693375432793252e-23,4.3328691602101638e-31,3.1795716125640878e-31,3.880371247308582e-31,4.5721929464952287e-40,4.1650778693339046e-25,1.5029900257738392e-40,1.0921252576116317e-31,1.1988749204216089e-46,3.9409908189767112e-47,3.4899521377317509e-25,8.5898582906542647e-42,1.7449760687518681e-25,9.1510051106760563e-32,4.5755025310808117e-32,2.6233985788462778e-40,6.8788145827302053e-47,1.1297965570480385e-55,1.79572651955395e-61,2.4835987550906392e-26,1.0386047019807627e-55,1.3874979426195091e-55,8.4777359788144099e-34,6.6678454460544128e-44,3.8316777760260944e-41,7.1975111435719811e-42,5.2386170751520795e-49,9.2392454385770246e-55,2.4226229737745004e-61
3.0000000000000002e-15,0.003130044021721449,3.4687313659920721e-27,1.4466179077560458e-35,5.5394080614145208e-35,3.2643772156012754e-35,5.408800745205836e-43,0.0,0.0,1.8939521523202481e-23,2.2559492161080821e-35,6.6572734825391281e-41,1.078481526288567e-47,2.4879180479529089e-51,2.9216080303159223e-63,7.7689481978054615e-52,1.0921383601671908e-40,1.5772811242217745e-23,5.3480588465632218e-35,7.7174971795874284e-86,1.7165491545589108e-84,6.0401061175654601e-56,5.0815524126060626e-54,1.3673784587897754e-35,2.6679297052947878e-48,2.1200630859936659e-37,7.0820418239636029e-64,6.1053726522992898e-53,2.5218426750983723e-31,8.7404304352662364e-35,3.7351201593065795e-23,7.0754317341675702e-47,3.2746425185225258e-64,2.1536810396778879e-60,4.4539332293968405e-47,3.9126466144799341e-78,1.7298223774793067e-58,6.6525664105298191e-31,2.6582826689278174e-42,3.0513253377221986e-44,2.8596935313714083e-46,4.7937423035276944e-30,8.3522206262753503e-61,7.155878111823679e-64,2.7473926034559667e-56,1.9077095212417937e-50,2.2593474648274171e-43,5.8028714128403559e-60,9.368988833520525e-62,4.270388727393609e-61,6.239781905920475e-92,1.3746274096709813e-83,4.3783271892908245e-120,4.0929603496396986e-106,2.0090447003492166e-57,1.5004016677333903e-54,2.6867148862173146e-63,8.8707488581373676e-73,1.1079127456680926e-59,2.246600609784657e-71,1.2403824754210039e-77,1.9312124595222233e-40,4.7819420842456515e-43,4.8869577322614429e-54,9.2771633217497835e-55,1.0949460293974002e-81,1.5358317835716305e-92,2.2059915185403427e-83,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,4.1706803169691387e-23,3.7351203968149615e-23,4.1706803946590133e-23,2.847313974915228e-30,2.0894327508854597e-30,2.5499582086284662e-30,4.3109243242760365e-39,1.3685252261303106e-24,1.4171047457422845e-39,7.1768222459999353e-31,1.4729033485116604e-45,4.8417883412625227e-46,1.1466982589929035e-24,8.099008556969135e-41,5.7334912942154611e-25,6.0135169186225015e-31,3.0067584364401943e-31,2.4734895804875719e-39,8.4511136843132384e-46,1.710834059913277e-54,3.2323065805218045e-60,8.1603957157300979e-26,1.4030348213124521e-54,2.270777217998521e-54,5.5710835833451832e-33,6.2868256605911511e-43,3.6127242491261866e-40,6.7862242219218167e-41,4.9392739605333025e-48,1.1351083613526396e-53,3.6685461414393447e-60
7e-15,0.003130044021721449,7.6915343125348777e-27,3.8915526658652126e-35,3.0105476293456598e-34,1.3341731710676388e-34,8.7360320627066466e-42,0.0,0.0,4.199633090643947e-23,1.2260593728719423e-34,3.6180185035519438e-40,1.7418791196200497e-46,4.0183630976681869e-50,4.7187327415892056e-62,4.2222514277642925e-51,5.9354236700030276e-40,3.4974492440026442e-23,2.9065535546189841e-34,1.4889664667140462e-84,8.68268586589514e-83,9.7558623608531264e-55,8.207458237180801e-53,3.0319564554680695e-35,4.3091104521806009e-47,1.1522081297826983e-36,3.8076601255176564e-62,9.8610921893073776e-52,1.3705664557491497e-30,4.7502330419785652e-34,8.2822213698786407e-23,1.1427885674278626e-45,5.4070098187309834e-62,1.0893921829848063e-58,2.252411709290604e-45,2.7535671985953493e-76,2.793925798622309e-57,3.6155250105365533e-30,4.2935290188931331e-41,4.9278008451932258e-43,4.6182379473434231e-45,2.6052942386591753e-29,4.5392821577802164e-60,1.1817771251390073e-61,1.3895846068311147e-54,9.6494571270810744e-49,3.6491870424952642e-42,2.9351704265730342e-58,4.7367026981304791e-60,2.1600203133906197e-59,3.4771683867433986e-89,2.2722794956868846e-81,1.5983676913954427e-117,3.8346960963236401e-104,1.0160249498033182e-55,7.5887752400939923e-53,4.4370519308312107e-61,1.4649870397467531e-70,1.8294704669039702e-57,1.25053091179908e-68,2.0440845887867746e-75,3.1192001514023528e-39,7.7220265378591499e-42,2.4718904316224267e-52,4.6918635537064653e-53,1.2978215338867128e-79,2.3849942671942371e-89,3.1877264029050287e-81,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,9.2480293444631558e-23,8.2822226606847038e-23,9.2480297666906644e-23,1.5474530893257313e-29,1.1355611960137474e-29,1.3858467124590171e-29,6.9627892349139339e-38,3.0345536228491704e-24,2.2888368681741224e-38,3.9004437767884337e-30,7.4501430588869706e-44,2.4490418003101454e-44,2.5426768142459673e-24,1.3081115747889106e-39,1.2713384067159323e-24,3.2682131507711351e-30,1.6341065384454672e-30,3.9950529207293172e-38,4.2746828780213773e-44,2.82544066753929e-52,1.7995623465244422e-57,1.8094789252691265e-25,9.5285326429491031e-53,5.1144695995858439e-52,3.0277626052834932e-32,1.0154175291135008e-41,5.8350894776521118e-39,1.0960771885946467e-39,7.977771053205535e-47,5.7416011237691499e-52,6.0587071734189983e-58
1.5e-14,0.003130044021721449,1.6137138826704888e-26,1.0851407894418484e-34,1.3318661021263387e-33,5.1971382322834865e-34,8.1246727641770548e-41,0.0,0.0,8.810995140552761e-23,5.4240867853122315e-34,1.600563684759255e-39,1.6199336404407692e-45,3.7371508731813282e-49,4.3883540079022625e-61,1.867921806673638e-50,2.6257499371057425e-39,7.3377848619382166e-23,1.2858591703205259e-33,2.6698786711102336e-83,1.6699289356485196e-81,9.0732831018200551e-54,7.6330626536730959e-52,6.3609409813836642e-35,4.0075531967631682e-46,5.0973682581418516e-36,7.9723844956945468e-61,9.1709865921982293e-51,6.0633844165145848e-30,2.1015024435360271e-33,1.7376418971810871e-22,1.0628135518124555e-44,2.1206757031016467e-60,2.0952764102559219e-57,4.3306868730684145e-44,1.0413751680045934e-74,2.5984070106215273e-56,1.5995081084371103e-29,3.9930621791074328e-40,4.5821421373690292e-42,4.2953329781541293e-44,1.1525818099632048e-28,2.0081821753847453e-59,4.6366642781992522e-60,2.672702683160197e-53,1.8558446038687376e-47,3.3938103154158374e-41,5.6451003218795673e-57,9.1034161713380649e-59,4.1542846479230077e-58,2.761831168276432e-87,8.9264892033873944e-80,1.2137082003308547e-115,1.70855716965509e-102,1.954195933178705e-54,1.4596111388154492e-51,1.7408649389824869e-59,5.7473470946763298e-69,7.1759780840834056e-56,9.9168096823729042e-67,7.9943738425449725e-74,2.900913818956937e-38,7.1793915691239311e-41,4.7540959645500042e-51,9.0218059068229119e-52,7.4114123416307612e-78,3.6657223793123164e-87,2.8665762939736397e-79,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.9402724603693392e-22,1.7376424682334195e-22,1.9402726471627358e-22,6.8459313066827035e-29,5.023722131178125e-29,6.1309848266368674e-29,6.4755148179261436e-37,6.3666034137232483e-24,2.1286582983665866e-37,1.7255540515616661e-29,1.4328572772039715e-42,4.7101481917569919e-43,5.3346280706306805e-24,1.2165668194790233e-38,2.6673140335146232e-24,1.4458556122325909e-29,7.2292777176139276e-30,3.7154631930527804e-37,8.2213212019945337e-43,1.1084773323693482e-50,1.4274685977932553e-55,3.7963572550674848e-25,1.9929184501273178e-51,2.1810562930348879e-50,1.3394820209596138e-31,9.4435725112040804e-41,5.426731648683208e-38,1.0193711169419959e-38,7.4196157163012855e-46,1.1042803220179393e-50,2.3770139760175218e-56
3.1e-14,0.003130044021721449,3.3028342339380072e-26,3.305105840738822e-34,5.5514477462780568e-33,2.0313042590414745e-33,6.8572091140885565e-40,0.0,0.0,1.8033719933415317e-22,2.2608536310270988e-33,6.6710386814244183e-39,1.367144087991522e-44,3.1541456596874945e-48,3.7035051251569753e-60,7.7858042309034672e-50,1.0943917644953937e-38,1.5018453611305518e-22,5.3596832492266289e-33,4.5679390354697999e-82,2.8393152977907267e-80,7.6580536662736619e-53,6.4422469790996794e-51,1.3018224234149943e-34,3.382367816726507e-45,2.1246711656635844e-35,1.5732685158224817e-59,7.7402744147174399e-50,2.5273225939483253e-29,8.7594216720784459e-33,3.5564794898848389e-22,8.970108391249452e-44,7.235309016610287e-59,3.5627440024446833e-56,7.3588079767129886e-43,5.2423119072900331e-73,2.1930578393741976e-55,6.6670261954259997e-29,3.3701374350477193e-39,3.8659864155976135e-41,3.625797996825193e-43,4.8041581274347397e-28,8.3704558282226802e-59,1.5830766746235592e-58,4.5448610360427774e-52,3.155358028281772e-46,2.8643669487100793e-40,9.5979379239531538e-56,1.545604184029654e-57,7.0632189487112333e-57,1.8944260903380434e-85,3.055312796057515e-78,8.4575104983447938e-114,6.1044619940794592e-101,3.3230626872121193e-53,2.4820285867532846e-50,5.9437752641617888e-58,1.9619216823224589e-67,2.448727936113128e-54,6.780659683441162e-65,2.7122701707460707e-72,2.4483651831710366e-37,6.0556877207667281e-40,8.0830446887303741e-50,1.5332797201169035e-50,4.593722919382012e-76,5.1229096683950781e-85,3.2320385747928186e-77,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,3.9712103939128964e-22,3.5564818701278869e-22,3.9712111724997619e-22,2.8535020674925755e-28,2.0939741065267338e-28,2.5555000701470618e-28,5.4653078002742327e-36,1.3030674985342954e-23,1.7965793080311897e-36,7.1923903027896477e-29,2.4361788404660005e-41,8.0083105678067377e-42,1.0918507167018332e-23,1.0267779660364824e-37,5.459253576003656e-24,6.0265618268380776e-29,3.0132806234653627e-29,3.1358267388276223e-36,1.3978051916603871e-41,3.7840330974556552e-49,9.7658437496836511e-54,7.7701124042834958e-25,3.5342631383648541e-50,7.7725221634170162e-49,5.5831923276045436e-31,7.9703582686622374e-40,4.5801344465081544e-37,8.6034553371606643e-38,6.2623740748598357e-45,1.8775926167677302e-49,8.1148779204744743e-55
6.300000000000001e-14,0.003130044021721449,6.6810727302051453e-26,1.1057009730895196e-33,2.2622439442098429e-32,8.0104728944628415e-33,5.6122486342408999e-39,0.0,0.0,3.6479172291314309e-22,9.2131019443738835e-33,2.7181689735705591e-38,1.1188066200512591e-43,2.5814900386825959e-47,3.0306946380833212e-59,3.1727427283711198e-49,4.4591668353549993e-38,3.037978116403128e-22,2.1840991809729959e-32,7.5462406860709653e-81,4.6583912911966726e-79,6.2680430672480463e-52,5.2725529598095575e-50,2.6330048108898772e-34,2.7682823627390116e-44,8.6581468603188778e-35,3.2916599587060961e-58,6.3349536386680299e-49,1.0298966150563274e-28,3.5695075058888859e-32,7.1941469645780349e-22,7.3415098949887068e-43,2.3741165874185743e-57,5.846055865398797e-55,1.2058740386073146e-41,3.1371428278268888e-71,1.7949088167959066e-54,2.7168482964496368e-28,2.7582724858557609e-38,3.1619228228158057e-40,2.968411393367083e-42,1.9577181003783157e-27,3.4110042922389668e-58,5.2020483271950192e-57,7.4585340903291733e-51,5.1767190238388675e-45,2.3443222574974136e-39,1.5746439216610601e-54,2.5286126736277278e-56,1.1587970564116653e-55,1.2519019181675237e-83,1.0089606840958217e-76,5.6178346093698207e-112,2.0710789726544076e-99,5.4534606403439126e-52,4.0732301787652305e-49,1.9531554881152462e-56,6.444491386055902e-66,8.0378203825017876e-53,4.4525923147334437e-63,8.8015945624192539e-71,2.0038509271385125e-36,4.9502081206243347e-39,1.3261142105761618e-48,2.5134473239526624e-49,2.939524202063194e-74,6.8032305480949403e-83,4.0110847163993033e-75,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,8.0330817877950579e-22,7.1941566641796333e-22,8.0330849605752052e-22,1.1628167993578722e-27,8.5330540712545459e-28,1.0413794561739013e-27,4.4730294644173688e-35,2.6358706089077448e-23,1.4703941268184285e-35,2.9309230017453233e-28,3.9968100863686529e-40,1.3138490099136206e-40,2.2086171695097506e-23,8.4035767192286088e-37,1.1043085816964137e-23,2.4558441528364021e-28,1.2279218391087395e-28,2.5664732420905095e-35,2.2932351963376077e-40,1.2430529229737507e-47,6.4200231784914751e-52,1.5717616661151073e-24,5.9239674015276752e-49,2.6101975098382131e-47,2.2751801216910961e-30,6.5233002641733698e-39,3.7485600597729632e-36,7.0414250362960969e-37,5.1257873328729264e-44,3.080613884043832e-48,2.6660048486088389e-53
1.2700000000000001e-13,0.003130044021721449,1.3437540897652135e-25,3.980869478316942e-33,9.1291676881938035e-32,3.1792745776580819e-32,4.5373741011679551e-38,0.0,0.0,7.3370088095761125e-22,3.7179036431059853e-32,1.0966496902041472e-37,9.043264492780443e-43,2.0870676999484612e-46,2.4495673337848114e-58,1.2803332076737632e-48,1.7990408298307772e-37,6.1102396485499932e-22,8.8138207391221347e-32,1.2259632826331735e-79,7.5396568469758672e-78,5.068125766844915e-51,4.262621616909951e-49,5.294272985720423e-34,2.2380931430961366e-43,3.4939508375451307e-34,7.6074484839801241e-57,5.1216072949327085e-48,4.1560898363665328e-28,1.4404541059448927e-31,1.4469451071239023e-21,5.935392607797688e-42,7.6701741447487006e-56,9.46435209677853e-54,1.9469923608961994e-40,1.9794929015644205e-69,1.4511612422513216e-53,1.0963702373271749e-27,2.2300004167794304e-37,2.5528346149296447e-39,2.4013391366780479e-41,7.9002580205026523e-27,1.376491910973228e-57,1.6855073353491495e-55,1.207787295698982e-49,8.3779509974151811e-44,1.8953232572040696e-38,2.5483702990625908e-53,4.0694176558406513e-55,1.8753750434237469e-54,8.1937197756090621e-82,3.3013417291639606e-75,3.6587184074334376e-110,6.9463963939019012e-98,8.8310110599629365e-51,6.5959072165252003e-48,6.3284460731132402e-55,2.0864790668973798e-64,2.5986386739179087e-51,2.8777540334287773e-61,2.7824011823341912e-69,1.6200652473627856e-35,3.9924034080678499e-38,2.1461701553397733e-47,4.0610532583293801e-48,1.8878943151242078e-72,8.8428839582719054e-81,5.0960930970849021e-73,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.6156806682779662e-21,1.4469490213370628e-21,1.6156819486352797e-21,4.6924851087803995e-27,3.4434697531630688e-27,4.2024312475778144e-27,3.6163020145063795e-34,5.3014320146597762e-23,1.1887681463182157e-34,1.1827477509693969e-27,6.4683502704534328e-39,2.1263065903433489e-39,4.4421126099119166e-23,6.7940399279877972e-36,2.2210562926141216e-23,9.9103404361594834e-28,4.955168299514031e-28,2.0748885543230349e-34,3.7112808787909883e-39,4.0250419273575068e-46,4.1586008308634419e-50,3.1612601008295556e-24,9.6915722391076954e-48,8.547236220824125e-46,9.1813717161961737e-30,5.2739388169442476e-38,3.03057919011359e-35,5.692781711856462e-36,4.1446929329766856e-43,4.9863224951227629e-47,8.6343609842339679e-52
2.55e-13,0.003130044021721449,2.6950441932071376e-25,1.5030343094885113e-32,3.6673869229177369e-31,1.2665291043423557e-31,3.6483501494993089e-37,0.0,0.0,1.4715196405887634e-21,1.4935669065669488e-31,4.4034493064030596e-37,7.268123146953304e-42,1.6781286730892821e-45,1.968522687054098e-57,5.1432941392105047e-48,7.2236677105191326e-37,1.2254746799292511e-21,3.5407068722947643e-31,1.9759579868153548e-78,1.2131262684333612e-76,4.0760035247261737e-50,3.427243844813727e-48,1.0612426549477736e-33,1.7995762486451239e-42,1.4035972843738813e-33,1.9455149687528963e-55,4.1180204552245998e-47,1.6695889592715253e-27,5.7866034907401974e-31,2.9019935914713914e-21,4.7723702791275711e-41,2.4569916540452809e-54,1.5235964788481666e-52,3.1175924111897392e-39,1.2621607617455567e-67,1.1668600889905657e-52,4.4043617298832501e-27,1.7930692061452481e-36,2.0470312782430639e-38,1.93316204854463e-40,3.1736977227382025e-26,5.5296590206624245e-57,5.4303508076762289e-54,1.9453030939500457e-48,1.3478068828055507e-42,1.5239538243523245e-37,4.0996453810146564e-52,6.4743326251098448e-54,3.0169841003346076e-53,5.3824524484642807e-80,1.0843866904600259e-73,2.361766565337118e-108,2.3595077470012968e-96,1.42236025844087e-49,1.0623523247963188e-46,2.0389298612552326e-53,6.7119704778873026e-63,8.3358257812878135e-50,1.8439169012742478e-59,8.5474569653681974e-68,1.3026365277279871e-34,3.194627951567708e-37,3.4526615243716849e-46,6.511818740370737e-47,1.2083926016245416e-70,1.1363395990172293e-78,6.4699822725479171e-71,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,3.2404184901950708e-21,2.9020093156392721e-21,3.2404236336583891e-21,1.8850729450442006e-26,1.3833174913085887e-26,1.6882077334343499e-26,2.9076834012987233e-33,1.0632375572640932e-22,9.5582968603033913e-34,4.7512690249857228e-27,1.0405835904883226e-37,3.4206618903400145e-38,8.9089536351796071e-23,5.4627647837474124e-35,4.4544767680130495e-23,3.9811281866530337e-27,1.9905625507151741e-27,1.6682740716451502e-33,5.9703210453906244e-38,1.2951413730365212e-44,2.6765039591551722e-48,6.340247303355853e-24,1.5675987456699486e-46,2.7660410509615266e-44,3.6883590220520642e-29,4.2405977353726538e-37,2.4367137770563907e-34,4.5772963223200051e-35,3.3335916915222564e-42,8.0239813099041464e-46,2.7794180132813967e-50
5.11e-13,0.003130044021721449,5.397610279800648e-25,5.8325722330453497e-32,1.4700630955274829e-30,5.0555472690271516e-31,2.9259404443352351e-36,0.0,0.0,2.94715893399004e-21,5.986954106108068e-31,1.763484192121656e-36,5.8237365879369403e-41,1.3458225916269261e-44,1.576986150089988e-56,2.061608561388935e-47,2.8928082592682836e-36,2.4543697446908239e-21,1.4192850808372161e-30,3.1746612346598926e-77,1.9467397617850406e-75,3.2703468536177771e-49,2.7483153755268389e-47,2.1231231402343536e-33,1.4432433269094375e-41,5.6262900892170949e-33,5.3625527565130264e-54,3.3024637754467073e-46,6.6924784556155254e-27,2.3195325148023775e-30,5.8120412130711463e-21,3.8272656594274245e-40,7.8119349433879098e-53,2.4474882004367834e-51,4.9550760233062956e-38,8.0360258511182002e-66,9.3585837012256663e-52,1.7654792127855595e-26,1.4380248191090395e-35,1.6327600402828064e-37,1.5541065122086858e-39,1.2721615701931146e-25,2.2165411320468139e-56,1.7464312176597181e-52,3.1280389602198177e-47,2.1622235383757603e-41,1.2221765728606954e-36,6.5766846757307696e-51,1.0161705373995991e-52,4.8398950217738722e-52,3.593740582221917e-78,3.6210044471886771e-72,1.5183321249254567e-106,8.3171810127804767e-95,2.2871735115941396e-48,1.7082360305966516e-45,6.5575507493275551e-52,2.1520538226634258e-61,2.6576278481067907e-48,1.1726758356607259e-57,2.5140826173352749e-66,1.0446958240491876e-33,2.5374977188031901e-36,5.5389433819274693e-45,1.0378439831420324e-45,7.6910247373256863e-69,1.4473082639300306e-76,8.1296647513136996e-69,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,6.4898655059665829e-21,5.8121042423318041e-21,6.4898861233102455e-21,7.5562586835443858e-26,5.5449955549035245e-26,6.7671306978748018e-26,2.3318310448345455e-32,2.1293545726160344e-22,7.6653561818628871e-33,1.9044639071106588e-26,1.6693103021050842e-36,5.4874666098752022e-37,1.7842036306109728e-22,4.3809311498505695e-34,8.9210179543519685e-23,1.5957670041806181e-26,7.9788226500018481e-27,1.3378202521517412e-32,9.5772014482386049e-37,4.1547186117522955e-43,1.7172897774671952e-46,1.269818303866771e-23,2.5215220384661827e-45,8.900128515260373e-43,1.4784701686181061e-28,3.4009180763421797e-36,1.9541027585052559e-33,3.6708204070202522e-34,2.6750838478292038e-41,1.2879589391028307e-44,8.9234314937698027e-49
