Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),HOCO(37),HCOH(38),CH3OO(39),CH3OOH(40),CH2OOH(41),C2H5O(42),C2H5O2(43),H2CC(44),C2H4O(45),C2H5O(46),cC2H4O(47),C2H5O2(48),C2H3O2(49),CHCHO(50),OCHCHO(51),HCCOH(52),CHCHOH(53),C2(54),C2O(55),C2H6O(56),C2H5O(57),C2H5O3(58),cC2H3O(59),HOCHO(60),C2H3O3(61),OCHCO(62),C2H6O2(63),C2H5O2(64),C2H4O2(65),HOCH2O(66),OCHO(67),C2H4O3(68),C2H3O2(69),N2,Ne,C7H16(1),O2(2),CH4(3),C4H9(99),C5H11(101),C3H7(100),S(160),S(162),S(161),S(177),C7H15(105),S(194),S(267),S(266),S(268),C7H15(102),S(310),C7H15(103),S(829),S(830),S(859),S(882),S(752),S(926),C7H15(106),S(900),S(992),S(1016),S(1066),S(847),S(779),S(1065),S(1245),S(1588),S(184),S(1604),S(848),S(1887),S(1607),S(1912),S(1910),C7H14(241),S(303),S(1907),S(1869),S(306),S(1017),S(1020),S(2655),S(2670),S(2747),S(971),C3H5O(975),S(3034),S(276),S(1952),S(3263),S(199),C3H7O(185),CHO3(319),CH2O3(342),S(328),S(3183),S(3838),S(3842),S(3942),S(313),S(1908),S(850),C3H6O(87),S(756),S(4205),S(4320),S(4361),C3H6(89),S(2810),S(4680),S(5093),S(5094),S(4665),S(4674),S(5273)
0.0,0.002071595176424629,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.002071595176424629,8.4254144709988218e-30,2.029440142569234e-38,5.6834713538661344e-37,3.237360797119802e-38,4.9344163216030575e-45,0.0,0.0,5.1719958748449674e-25,1.9524570376993422e-37,4.2264762379797874e-44,6.7664356671997235e-51,3.8443449453461088e-54,6.4553245305803711e-68,6.9956830927583737e-56,6.8336200816222117e-44,4.4382508555114757e-25,5.6668718469048283e-37,-8.4332920304789425e-93,9.626329420584848e-89,1.7792531651466342e-58,1.39796632054795e-58,1.1490972613778204e-38,9.601531805953652e-51,1.1260704931820776e-39,7.408186454341993e-68,9.5391599313817449e-57,7.0854727127439271e-34,1.5819932802003482e-37,1.8323789969899701e-25,6.7192239018931577e-50,2.1000083608762454e-68,3.597369430945462e-64,1.7758484077893786e-50,3.0428765478641605e-83,2.0172111705898334e-62,1.809867864915658e-32,3.0264693819089828e-44,6.5275476047755156e-47,3.9288391966401896e-50,1.9218624100563337e-32,2.5390847741316258e-66,2.1594158628101223e-68,9.4230708275603764e-61,8.0290306939135771e-54,1.8467266807233213e-46,1.4149364561763739e-63,1.1945045380579266e-65,6.1887397372952519e-65,1.4045766084854741e-97,3.7794175782904973e-89,-3.1849626057027841e-127,-6.707354062081545e-122,1.7984691503774167e-61,4.8266001074498366e-59,1.5509571909807798e-67,2.2465816752717255e-77,2.2290302551596224e-63,2.1114337506567203e-75,3.0527792789545975e-82,3.9834880492221872e-43,1.7287067742113732e-46,1.8182777724666645e-56,4.7750610409389159e-58,3.5098853266513272e-75,4.2039531104770221e-87,-1.1148846562750865e-88,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.9318277608735942e-25,1.832379101521325e-25,1.9318277863416689e-25,9.9171216349192646e-33,7.3722233097684021e-33,9.4065976285107749e-33,3.9027541319415146e-42,3.1731505606893655e-26,1.4719417105091888e-42,1.2571455587415756e-32,1.5462014581839583e-48,5.8315700651217952e-49,2.6816586535360095e-26,8.182320544561882e-43,1.3408293267996849e-26,1.0624252469338472e-32,5.3121262241176087e-33,1.2105580018524558e-41,4.7960145126751352e-48,6.6446547671166588e-58,6.1874847041218554e-64,1.4264945871090259e-27,2.6815637372643736e-57,2.9860830843913832e-57,7.3229718622471188e-35,4.7632680879284876e-45,1.445611817776261e-42,6.9149541710745158e-43,2.5967007461071809e-51,3.3879654812007627e-57,1.342251391589281e-63,8.3353030710717641e-43,1.5294005848977438e-72,6.4961748498928884e-43,2.5736684111021435e-49,1.1468536803786553e-73,6.8949023801901804e-80,3.3623362946641853e-59,2.7514484105283787e-36,6.506184500859075e-43,2.5776340572502397e-49,7.8581396962614196e-51,7.1619178715557924e-50,2.8576218554297418e-69,1.5506603841901402e-71,3.7774731306054563e-79,8.5595882571787483e-87,3.9793109540338108e-97,6.0298367843603175e-76,7.9456956717389471e-79,1.0723389637277469e-82,3.0748136473012905e-71,6.6233268021643847e-92,1.0106395545671088e-95,1.3974530293721405e-43,3.9580035233179535e-50,1.4139821629401123e-60,6.3312588343141999e-70,8.7633431013489938e-72,2.6122627848818771e-90,7.1989191597719113e-98,5.4062135921229896e-98,2.9146842101782122e-105,9.3000471945397919e-89,3.5073135779497422e-59,6.0522217045697238e-50,1.5115549083488597e-53,1.0136760670725374e-58,6.0477117110485383e-70,4.4548627611295623e-76,1.196409993599121e-81,1.1189614364716872e-35,1.238852930295493e-109,3.1481848783379564e-115,5.5009514261515521e-120,7.2900380447903033e-121,3.3599857508750775e-117,2.7340350242062452e-120,3.0798379252955493e-126
3.0000000000000002e-15,0.002071595176424629,2.768350294478545e-29,7.583555111552757e-38,3.7348525235754131e-36,1.7498443172725951e-37,4.6524496048536363e-44,0.0,0.0,1.6993700753974417e-24,1.2830431969358016e-36,2.7773871944141842e-43,6.3797631080555842e-50,3.624667447540745e-53,6.0864264370159777e-67,4.5971624916810236e-55,4.4906453430487452e-43,1.4582823645078759e-24,3.7239442905388986e-36,4.9877178074161984e-91,1.1826630309240103e-87,1.6775815443285332e-57,1.3180820280693766e-57,3.7755688858086419e-38,9.0528727313288862e-50,7.3998916782974717e-39,9.1443903221970368e-67,8.9940634724759568e-56,4.656167570535609e-33,1.0395955351102955e-36,6.020673194281778e-25,6.3352675663352622e-49,3.1799508795905512e-67,4.4196606065227599e-63,2.1817044545927727e-49,4.1061753726069482e-82,1.9019598458590773e-61,1.1893417186433938e-31,2.8535282406826417e-43,6.1544405434884674e-46,3.7061768742030874e-49,1.2629380955634216e-31,1.6685425637356404e-65,3.2709844763075442e-67,1.158133491881812e-59,9.8642378277391884e-53,1.7411994689825778e-45,1.7383502563147801e-62,1.4674909354743915e-64,7.6033078513372336e-64,2.5283417051119648e-96,5.7233960136439405e-88,1.7016916770255421e-125,3.9005995163522331e-112,2.2111392253827534e-60,5.9320864603395192e-58,2.3493197018117564e-66,3.401964677836614e-76,3.3753500684908259e-62,3.8005186337859436e-74,4.6224028050862381e-81,3.7558600372711584e-42,1.6298727812133912e-45,2.2338576987648172e-55,5.8664208673713606e-57,5.314956084399372e-74,8.7681213809189372e-86,6.6427759408701058e-87,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,6.3474337452177154e-25,6.0206738812020635e-25,6.3474339125793425e-25,6.5169654986961181e-32,4.8446038083678228e-32,6.1814783024735261e-32,3.6797390765552919e-41,1.0426061993848933e-25,1.3878305621315274e-41,8.2612408037937754e-32,1.8996187211048851e-47,7.1644995904045105e-48,8.8111606569130631e-26,7.714758433759707e-42,4.4055803286647674e-26,6.9816504089302739e-32,3.4908251945164773e-32,1.1413829525280787e-40,5.8922451802962926e-47,1.0061902687032862e-56,1.1137469577751828e-62,4.6870534381093529e-27,3.656989713366433e-56,4.9254453824003457e-56,4.8122385601594942e-34,4.4910812801998258e-44,1.3630052126729486e-41,6.5198131427307577e-42,2.4483250121743484e-50,4.1623665558732881e-56,2.0325556571107913e-62,7.8589989285755905e-42,2.7529250551141759e-71,6.1249633680763281e-42,3.1619348829645298e-48,2.0643394981733108e-72,1.4380813668443719e-78,5.0915370402149892e-58,1.8080944019709244e-35,6.134401028003579e-42,3.1668069585254892e-48,9.6542841044346721e-50,6.7523050246632628e-49,5.5256096716762188e-68,3.4414634094443926e-70,9.4628256432394523e-78,2.3887944060512312e-85,1.2242335009477527e-95,1.2574246389060479e-74,1.8839351504050047e-77,2.8489120660978484e-81,4.6561247353784864e-70,1.5706474301487768e-90,2.6853721520953079e-94,1.3175985553730805e-42,3.731843789172426e-49,1.7371778487206849e-59,9.5873337442599313e-69,1.3270291145559527e-70,7.6864302893584917e-89,2.3239182819776407e-96,1.7452040006938332e-96,1.0180842037323186e-103,1.6739402374135808e-87,5.3110739132185832e-58,5.7059671359412293e-49,1.8569499669872147e-52,1.5349950474847071e-57,1.0885878973024089e-68,9.2915659099642217e-75,2.8371995013468692e-80,7.3531748350197861e-35,4.1652833974072822e-108,1.1484321437759694e-113,2.1638570472702854e-118,2.867629598310777e-119,1.2256976926623404e-115,9.9735513366256659e-119,1.2114967143102826e-124
7e-15,0.002071595176424629,6.1385147470848011e-29,2.2706073290095679e-37,2.0298108698038725e-35,8.29525045897402e-37,7.5144099950568528e-43,0.0,0.0,3.7681684424311117e-24,6.9730608788479727e-36,1.5094089775103409e-42,1.0304001398593512e-48,5.8543775886853648e-52,9.8301691738397697e-66,2.4984554584906916e-54,2.4404999322451873e-42,3.2335822518222076e-24,2.0238825331920534e-35,9.6229411798969428e-90,5.9820459376941878e-86,2.7095481150948584e-56,2.128894741873543e-56,8.3716793899476928e-38,1.4621759416511933e-48,4.0216797859016414e-38,4.8857747387472364e-65,1.4526751472454789e-54,2.5305251033686769e-32,5.6499740006446163e-36,1.335018418559614e-24,1.0232406881836541e-47,5.2501948712378627e-65,2.2357403506900507e-61,1.1032199317583915e-47,7.9326070834988467e-80,3.0719578326785242e-60,6.4638129400106887e-31,4.6088799359351353e-42,9.9388095051234514e-45,5.9849978756774434e-48,6.8637918892791855e-31,9.0681689128733008e-65,5.4021376289284464e-65,5.8576650436073143e-58,4.9894698507611431e-51,2.8123013625720363e-44,8.7928031590943106e-61,7.4201511228334797e-63,3.8458533210009854e-62,1.4086731672573989e-93,9.4590922430493955e-86,6.2121626963508497e-123,3.6701546494595126e-110,1.1181677784978653e-58,3.0003591635973814e-56,3.8799802718196204e-64,5.6183308847092076e-74,5.5734702833870742e-60,2.1153042344352866e-71,7.6246478510329262e-79,6.0662812002566373e-41,2.6317404214458538e-44,1.1297560102538662e-53,2.9668154711769833e-55,8.7773763390178655e-72,1.6855405745501634e-82,7.4681215534653135e-85,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.4074742292389032e-24,1.3350187918856875e-24,1.4074743201962881e-24,3.5418285551278771e-31,2.6329365662389927e-31,3.359498585433041e-31,5.9433282455823139e-40,2.3118632601567942e-25,2.2415537705931251e-40,4.4897996943315317e-31,9.6085236063936161e-46,3.6238991547283989e-46,1.9537768561798726e-25,1.2460489903653236e-40,9.7688842820312608e-26,3.7943709296988743e-31,1.897185448780918e-31,1.8435018695201242e-39,2.9803724155043227e-45,1.6617250654776232e-54,6.2007131724130539e-60,1.0393030215944951e-26,2.5896693351869019e-54,1.1584266937003104e-53,2.6153467175883588e-33,7.2537758465155662e-43,2.2014567437295046e-40,1.0530474380140675e-40,3.9545219417628039e-49,2.1054375184013355e-54,3.3568724187301681e-60,1.2693457595725653e-40,1.5327200150209942e-68,9.8927217991815183e-41,1.5993471797930902e-46,1.1493414810549779e-69,2.7653817121665343e-75,8.4087022759685715e-56,9.826590539747448e-35,9.9079648873006797e-41,1.6018115193516655e-46,4.8832606317745999e-48,1.0900663386558103e-47,4.369118712078974e-65,9.4868758649053091e-67,9.2451090527956537e-74,8.3798432575133846e-81,1.5583115934614683e-90,2.4088357208919961e-71,1.2693522788881823e-73,6.852636655080626e-77,7.6890999786494108e-68,1.0622545305730606e-86,6.4837562326400052e-90,2.1281210758737498e-41,6.0276692650030177e-48,8.7868735539254703e-58,1.5833545925475554e-66,2.1918129312468942e-68,6.6774002580363969e-84,7.3601718452779907e-91,5.5270706143345196e-91,9.7735092402393084e-98,9.3188978145745133e-85,8.7712656449848204e-56,9.2098872900253175e-48,9.3864502569738617e-51,2.5350553531507277e-55,6.0606489084733637e-66,1.7866716898713685e-71,1.9196172479717556e-76,3.9962895432798948e-34,1.9405451596696721e-102,1.9724165662283808e-107,1.3781946787721668e-111,1.82686280887571e-112,2.1052676725766105e-109,1.7130383836394523e-112,7.7188071737097753e-118
1.5e-14,0.002071595176424629,1.2878840252097872e-28,7.0781392217985261e-37,8.9798811985956164e-35,3.4750866427408107e-36,6.9885407708056696e-42,0.0,0.0,7.9057652200146884e-24,3.084882151862835e-35,6.677327077523381e-42,9.5825022059680254e-48,5.4446670880254489e-51,9.1417577711154223e-65,1.1053149182635177e-53,1.0796270609342774e-41,6.7841808685488551e-24,8.9536546115373853e-35,1.7254802591856296e-88,1.1504973756545941e-84,2.5199301846684746e-55,1.979901191223578e-55,1.7563191450588019e-37,1.3598508117898876e-47,1.7791907889066514e-37,1.0146752061357203e-63,1.3510116727899056e-53,1.1195037544171583e-31,2.4995472238174946e-35,2.8009193449504287e-24,9.5163156007970666e-47,2.0589082086117525e-63,4.3005374828404356e-60,2.1208714125564348e-46,5.3952489282538533e-78,2.857003636048127e-59,2.8595902947544258e-30,4.2863440465117821e-41,9.241026502460225e-44,5.5671811302321676e-47,3.0365399823824161e-30,4.0117566730977948e-64,2.1197407150820571e-63,1.1267777059421253e-56,9.5960716452007082e-50,2.6154936175006392e-43,1.6910841771593338e-59,1.4263357352876414e-61,7.3965756951194909e-61,1.1185759000142463e-91,3.7149319164879184e-84,4.7172342368241607e-121,1.6482399706343963e-108,2.1508882240294394e-57,5.7714740686304674e-55,1.522463897852297e-62,2.2041786324363071e-72,2.1860623600810981e-58,1.677241030155786e-69,2.9860486299390552e-77,5.6417526605673314e-40,2.4464727765785082e-43,2.1723574233166645e-52,5.7045236246846343e-54,3.44338888261235e-70,2.6884211676080269e-80,5.1131828287397439e-83,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,2.9529353032457985e-24,2.8009209965437377e-24,2.9529357056411007e-24,1.5669045704539822e-30,1.1648109266222344e-30,1.4862418126236829e-30,5.5273952489717367e-39,4.850369329176887e-25,2.0846828820741526e-39,1.9862836438663384e-30,1.8479693751166588e-44,6.9697025443941738e-45,4.0990916384632244e-25,1.1588469152283199e-39,2.0495458197323916e-25,1.6786265446934932e-30,8.393132574027664e-31,1.7144847076225041e-38,5.7320226953332229e-44,6.5192988656392048e-53,4.9186100314971806e-58,2.1804979773721206e-26,5.4951996105269884e-53,5.0112318407570798e-52,1.1570291482991069e-32,6.7461463352111923e-42,2.0473914190029549e-39,9.793521676995157e-40,3.6779344017746225e-48,4.0494698886170904e-53,1.3170307758244992e-58,1.1805129738820669e-39,1.2158571515910509e-66,9.2003846808518049e-40,3.0759570524867622e-45,9.117339374546023e-68,4.4127408446753618e-73,3.2989228852040908e-54,4.3472766945433276e-34,9.2145608015090925e-40,3.0806965590603371e-45,9.3917695196028478e-47,1.0130050473647963e-46,3.7387260883498991e-63,1.6325125324501178e-64,3.1907343583044969e-71,5.7924308537719446e-78,2.1558566590651537e-87,3.8234632042486637e-69,4.0395090529784479e-71,4.3681178247115104e-74,3.0163124297826624e-66,3.3981377505451852e-84,4.1546014924088427e-87,1.9791921964848737e-40,5.6061024898189146e-47,1.6899439291320789e-56,6.2118615707928942e-65,8.6002102178422283e-67,8.5194094095419179e-81,1.8786554731981959e-87,1.4106818235493479e-87,4.0238541555567324e-94,7.392858892889351e-83,3.4411629214600384e-54,8.5564613312573452e-47,1.8034603485539072e-49,9.9456051940937762e-54,4.8075145233999997e-64,2.8508601363481729e-69,6.144273851174314e-74,1.7679576650297386e-33,5.3711943355343867e-99,1.0919921472645332e-103,1.525573069741989e-107,2.0228616388238994e-108,1.1656553001426301e-105,9.484638014497506e-109,8.5481473964702096e-114
3.1e-14,0.002071595176424629,2.6359477661336882e-28,2.3825309793046782e-36,3.7429686706891271e-34,1.4112125916890984e-35,5.8983146318996931e-41,0.0,0.0,1.6180958949246487e-23,1.2858324495337847e-34,2.7829828841171992e-41,8.0869327119760126e-47,4.5952671770787144e-50,7.7148264694645154e-64,4.6071299858610263e-53,4.4996647999563059e-41,1.3885373470397125e-23,3.732037278700598e-34,2.9521151296348758e-87,1.9560820538357875e-83,2.1268163432255136e-54,1.6710154041562196e-54,3.5943380218907895e-37,1.1477114811822873e-46,7.4159732347234594e-37,1.9769326063328586e-62,1.1402459203107625e-52,4.6662815008368367e-31,1.0418536366228129e-34,5.7327161102526717e-24,8.0317305094733773e-46,7.0227884272757958e-62,7.3139757850502733e-59,3.6029058274831935e-45,3.5425394414294403e-76,2.4113519528332488e-58,1.1919264288927017e-29,3.6176661903349948e-40,7.7956790202177727e-43,4.7005401942676272e-46,1.2656813161548936e-29,1.6721683533159252e-63,7.2390086944371579e-62,1.9165044223737277e-55,1.6315530993711938e-48,2.2074733647503536e-42,2.8752166627658769e-58,2.4225625106837159e-60,1.2575819139153999e-59,7.6685876482615133e-90,1.2708471145042463e-82,3.2872068826812978e-119,5.9736622249548193e-107,3.6583923399908011e-56,9.8165281454509856e-54,5.1992912097898971e-61,7.5244128104654079e-71,7.4590681250016058e-57,1.1465319100872539e-67,1.0158089832581298e-75,4.7616257143841602e-39,2.0630056226284702e-42,3.6919549714223768e-51,9.6941392463457141e-53,1.1753735163045232e-68,3.6793531660779203e-78,4.8809392129975741e-81,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,6.0438549095522079e-24,5.7327229943701818e-24,6.0438565868043012e-24,6.531127146957843e-30,4.8551324383867739e-30,6.1949109385466082e-30,4.6650935592154816e-38,9.9273492573289075e-25,1.7594620578265034e-38,8.2791445648073734e-30,3.1419594897686671e-43,1.1850048214443885e-43,8.38969400842874e-25,9.7806157078810538e-39,4.1948470063017532e-25,6.9967811434746221e-30,3.4983904456109428e-30,1.4470113534810755e-37,9.7456822054416316e-43,2.2255183372589035e-51,3.3650208343570778e-56,4.4628862897675979e-26,9.8219584203937009e-52,1.8000872893082376e-50,4.8226963968689831e-32,5.6937344717360876e-41,1.7279873343297332e-38,8.2656881945822294e-39,3.1044273505676214e-47,6.8855556365340892e-52,4.4963973529943663e-57,9.9634706959122698e-39,8.3188967023879986e-65,7.7650564416086041e-39,5.229797980465099e-44,6.2380655386171562e-66,6.0446631231919117e-71,1.1261736604489095e-52,1.812014723567817e-33,7.7770206711687386e-39,5.2378559944091763e-44,1.5968057151639854e-45,8.536892289931125e-46,2.5842122972712111e-61,2.2599995013939512e-62,8.8405993469625393e-69,3.2109778361166684e-75,2.3905846254177327e-84,5.1827201319747755e-67,1.0945314661740274e-68,2.3677561155938444e-71,1.0294976505460718e-64,9.3032087502062618e-82,2.2754460000761699e-84,1.6704344703845581e-39,4.7319675195282903e-46,2.8732785567969879e-55,2.1205853457993048e-63,2.9367442189070571e-65,9.2372381850747068e-78,4.0733956216763143e-84,3.058357747322891e-84,1.2577780389998495e-90,5.0591265464906548e-81,1.1747298515136131e-52,7.2069186648858462e-46,3.0602571272651151e-48,3.3952016316270633e-52,3.2890269042424323e-62,3.904768731774432e-67,1.6840246787519093e-71,7.3691477091767045e-33,1.1912834186686363e-95,4.8433342225318259e-100,1.3522678433742802e-103,1.7942018075797257e-104,5.171051624186762e-102,4.2073746552131656e-105,7.5840320040279415e-110
6.300000000000001e-14,0.002071595176424629,5.3320698076751184e-28,8.5848028137089029e-36,1.5252786493044105e-33,5.6769825638718881e-35,4.8274443686860238e-40,0.0,0.0,3.2731347103966262e-23,5.2398370885452848e-34,1.1338834050677669e-40,6.6175969261519117e-46,3.7609376167539605e-49,6.3128546382461509e-63,1.877418701744949e-52,1.8333064583910831e-40,2.8087740147697803e-23,1.5208242952155259e-33,4.8769172745668617e-86,3.2090895552672173e-82,1.7406819535345287e-53,1.3676054673570792e-53,7.269241984334695e-37,9.3933850854494049e-46,3.0220470054116023e-36,4.0656411796698897e-61,9.3321963371208237e-52,1.9015313698716082e-30,4.2456016409422113e-34,1.159628929101031e-23,6.5734928538505155e-45,2.3032163598766861e-60,1.2006216321362774e-57,5.9009776139955943e-44,2.3034381615212757e-74,1.9736347733318398e-57,4.8571611981937761e-29,2.9608601659991155e-39,6.374252522672299e-42,3.8501656041138725e-45,5.1577097516446746e-29,6.8141639259329456e-63,2.3798652023080917e-60,3.1466349004074373e-54,2.6767545486284919e-47,1.8066979983710892e-41,4.7170791163865519e-57,3.9662134128594703e-59,2.063190442501973e-58,5.0623330168216936e-88,4.1922863544405972e-81,2.1836168683237042e-117,2.0826591644754846e-105,6.0065940004065059e-55,1.6117349421126219e-52,1.709302658354659e-59,2.4717397608026054e-69,2.4479791248685889e-55,7.5250446114943093e-66,3.313896555073342e-74,3.8971234138300019e-38,1.685504334424186e-41,6.0520114046284064e-50,1.5888460163764869e-51,3.8604159951271058e-67,4.8312509003019892e-76,5.7003684462343896e-79,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.2225683955352247e-23,1.1596317344080379e-23,1.2225690790234258e-23,2.6614672014985803e-29,1.9784914069769418e-29,2.5244574106181126e-29,3.8180931426718235e-37,2.0081180275733672e-24,1.4400123051770162e-37,3.3737715621135641e-29,5.1547081970666103e-42,1.9441230345797556e-42,1.6970789971346474e-24,8.0048451086009567e-38,8.4853949941794817e-25,2.8512053920026777e-29,1.42560259277469e-29,1.184281865280285e-36,1.5988687690036526e-41,7.310889476745664e-50,2.2121720257112337e-54,9.027656517905072e-26,1.6531278783532534e-50,6.0707532972719594e-49,1.9652733504631949e-31,4.6600072536664522e-40,1.4142506748112754e-37,6.7649682470001064e-38,2.5412232633514442e-46,1.1298281493614285e-50,1.4773404827059317e-55,8.1544918139456878e-38,5.4698126443121548e-63,6.355187540490398e-38,8.5799763131144979e-43,4.1016058378183771e-64,7.9513006675974828e-69,3.6995613513017184e-51,7.3840122225430876e-33,6.3649789668387156e-38,8.5931956508325042e-43,2.6197102981925397e-44,6.9660915282469783e-45,1.6146272223843595e-59,2.826314127306413e-60,2.2120298639222549e-66,1.6071667989159811e-72,2.3933154770550345e-81,6.6778816662438471e-65,2.8150545543551012e-66,1.2180199159890545e-68,3.3806645885075127e-63,2.4419496370530897e-79,1.1946337721078184e-81,1.3671585035745821e-38,3.8735526110986651e-45,4.7139013191329446e-54,6.9663003127057429e-62,9.6529062744946066e-64,9.5040956981519173e-75,8.3791392732372077e-81,6.2897112300443666e-81,3.3200087952013232e-87,3.3277711281309044e-79,3.859064260011879e-51,5.8745838522390064e-45,5.0010405188607265e-47,1.1153540400343018e-50,2.162227930323208e-60,5.1353834049864805e-65,4.4301921140893421e-69,3.002962171086306e-32,2.3853063237712115e-92,1.9389955989384633e-96,1.0810885100673043e-99,1.436216395861082e-100,2.0709925499709247e-98,1.6849004848478592e-101,6.0742755780185996e-106
1.2700000000000001e-13,0.002071595176424629,1.0724292129600409e-27,3.2400657410344666e-35,6.1551775268896519e-33,2.2761936459095463e-34,3.9028748810529537e-39,0.0,0.0,6.5832126198411218e-23,2.1145111720701015e-33,4.5741422836318327e-40,5.3483773877488125e-45,3.040573634565888e-48,5.1016872530082473e-62,7.5761381521038412e-52,7.3955491421920689e-40,5.649239939690979e-23,6.137204190007606e-33,7.9240442113281186e-85,5.1932915586409116e-81,1.4073009098732573e-52,1.1056311184161794e-52,1.4614517542328863e-36,7.5943322629875342e-45,1.2195306842045297e-35,9.2242666224701334e-60,7.5447215788967053e-51,7.6735090291994968e-30,1.7132853376246207e-33,2.3323354253703852e-23,5.3144582279016705e-44,7.4336172933603568e-59,1.9452749724292339e-56,9.5179060134325764e-43,1.4864497564996179e-72,1.5957609966357103e-56,1.9600811205914638e-28,2.393786292133707e-38,5.1436342631551109e-41,3.1176707691457745e-44,2.0813607123657999e-28,2.7498126130291607e-62,7.7180874181267029e-59,5.1002323851611146e-53,4.3320608292000053e-46,1.4606777419789949e-40,7.6339560351834641e-56,6.3922755363417849e-58,3.3390022249599227e-57,3.3064472717148739e-86,1.3688640501764764e-79,1.422272024859016e-115,7.3454636932600333e-104,9.7358614847772866e-54,2.6123753844278998e-51,5.5434409112482301e-58,8.0033979162517239e-68,7.9116410553412278e-54,4.8586493894558834e-64,1.0584401532378442e-72,3.1507259840867459e-37,1.3579441748160907e-40,9.7782391627547529e-49,2.5662535811321294e-50,1.2495740459494764e-65,6.2395282608761301e-74,7.1171183574691109e-77,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,2.4589301379835112e-23,2.3323467459857422e-23,2.4589328961582412e-23,1.0740202563984405e-28,7.9840957530393444e-29,1.0187307246294664e-28,3.0867930225334181e-36,4.0388326974172704e-24,1.1641996577327833e-36,1.361449340346505e-28,8.3422349874440714e-41,3.1463159261382241e-41,3.4132546800260199e-24,6.4716508219515919e-37,1.7066273434456323e-24,1.1505734019881749e-28,5.7528661753906088e-29,9.5743661531882655e-36,2.587529409480116e-40,2.3673349142101697e-48,1.4329735121939665e-52,1.8157171387451007e-25,2.7102478934595485e-49,1.9922432920394827e-47,7.9307533591601028e-31,3.7675066239908744e-39,1.1433698708251258e-36,5.4692518127179356e-37,2.0551996462230826e-45,1.8290704528986662e-49,4.7854608485939011e-54,6.5926205058749563e-37,3.5444008062332414e-61,5.1378870341131801e-37,1.3885443878905602e-41,2.6577788376453947e-62,1.0305822260861284e-66,1.1979849717008612e-49,2.9797455083777825e-32,5.1458021467626177e-37,1.3906835534572846e-41,4.2396203900341461e-43,5.598479312111409e-44,9.225567873855633e-58,3.2322020068982826e-58,5.0612607982073516e-64,7.3559704962489555e-70,2.191036458073916e-78,8.3146182146871034e-63,6.9809163445328495e-64,6.0410571592117878e-66,1.0938736926201917e-61,6.2997993817457644e-77,6.1640947126547097e-79,1.105315814286243e-37,3.1328053475723077e-44,7.6288192069535065e-53,2.2558305071022046e-60,3.1293327695529088e-62,9.4278877384653721e-72,1.6611459697099347e-77,1.2463459406834547e-77,7.6652524553698865e-84,2.1580983163271857e-77,1.2496299383937813e-49,4.711337549745343e-44,8.030795998938721e-46,3.6117567360699639e-49,1.4006400990671519e-58,6.6533498387411538e-63,1.1480088353798831e-66,1.2118265275272392e-31,4.3672536329736537e-89,7.0959092373310861e-93,7.888462894487409e-96,1.0506260243398114e-96,7.5847801331136755e-95,6.169721864015361e-98,4.4484927518342742e-102
