Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),HOCO(37),HCOH(38),CH3OO(39),CH3OOH(40),CH2OOH(41),C2H5O(42),C2H5O2(43),H2CC(44),C2H4O(45),C2H5O(46),cC2H4O(47),C2H5O2(48),C2H3O2(49),CHCHO(50),OCHCHO(51),HCCOH(52),CHCHOH(53),C2(54),C2O(55),C2H6O(56),C2H5O(57),C2H5O3(58),cC2H3O(59),HOCHO(60),C2H3O3(61),OCHCO(62),C2H6O2(63),C2H5O2(64),C2H4O2(65),HOCH2O(66),OCHO(67),C2H4O3(68),C2H3O2(69),N2,Ne,C7H16(1),O2(2),CH4(3),C4H9(99),C5H11(101),C3H7(100),S(160),S(162),S(161),S(177),C7H15(105),S(194),S(267),S(266),S(268),C7H15(102),S(310),C7H15(103),S(829),S(830),S(859),S(882),S(752),S(926),C7H15(106),S(900),S(992),S(1016),S(1066),S(847),S(779),S(1065),S(1245),S(1588),S(184),S(1604),S(848),S(1887),S(1607),S(1912),S(1910),C7H14(241),S(303),S(1907),S(1869),S(306),S(1017),S(1020),S(2655),S(2670),S(2747),S(971)
0.0,0.0034290305867446915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0034290305867446915,3.2536958916673993e-26,2.209124140545198e-34,9.6106452968403208e-35,3.9022335636261227e-34,6.8081605664086119e-43,0.0,0.0,3.9470267878936995e-23,4.0299776989723093e-35,6.0424911276771011e-40,6.5152010459539737e-47,9.9759839104760041e-51,1.8976888661865867e-61,3.0528116094731246e-50,1.001623247951006e-39,3.206207491098686e-23,8.2170396375000935e-35,-9.4367184489482811e-84,1.4361600606055749e-81,3.9122921576929329e-54,3.0709584696376091e-52,2.7193234433649726e-34,5.7799015112097479e-48,5.2595119600832639e-37,1.5210184727479375e-62,1.3185936231035729e-51,1.0632276273637041e-30,3.7999638094247839e-34,2.1008016905457171e-22,3.2344247164536259e-46,5.4258669709245499e-63,3.4637018468736748e-59,2.3380412460786809e-46,4.6071481429895279e-76,3.5182495217773782e-57,5.5319712029017361e-31,2.7546063593258781e-42,8.3563558176043618e-44,4.0746924205514082e-45,1.1580214262549061e-29,3.6641368299037508e-58,1.6480661638047219e-62,6.9662151228833458e-55,9.0950030529929156e-50,1.0035550978895936e-42,7.6792352156967043e-59,1.6527076772965518e-60,6.9108025146251333e-60,1.3904861403471475e-89,2.8830458023865454e-81,-4.0838318077340863e-116,-3.1754559836999337e-109,3.1144440046605999e-56,3.8377097377034553e-53,4.1755234561747673e-62,2.6559296327088287e-71,7.2187427261472299e-59,2.5259798638618253e-70,6.0972582621143601e-76,5.0516356561784447e-40,3.4501318036563733e-42,5.3636736265193338e-53,4.4386696792167877e-54,1.9689803467742924e-79,1.2025670702050188e-81,-2.2698454896595678e-82,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,2.442149586676235e-22,2.100801741818511e-22,2.4421496086904437e-22,7.6046480484537127e-30,5.528917149095404e-30,6.5417196239706096e-30,1.6228431280632387e-38,3.2030536512701919e-24,4.8408421198674475e-39,7.6664200570608893e-31,3.8842300082682181e-45,1.158642126338913e-45,2.6657827676605959e-24,8.6593402356106584e-41,1.3328913838064744e-24,6.3804771484931479e-31,3.1902385450069444e-31,3.5219250324221246e-39,8.4296298004960018e-46,6.3955112356774307e-54,1.4852349160767129e-59,2.3899962503357315e-25,2.5888252627852363e-54,3.942829581878543e-54,7.4422469625593083e-33,8.4103898472932419e-43,5.9591139810787457e-40,7.2068477967987852e-41,3.4857937505564134e-47,7.6130826309650908e-53,1.8221702125353885e-59,4.4740548667494385e-39,1.0058100749432276e-67,4.8177552652069998e-40,1.1531163579942964e-46,1.6493230096612784e-68,5.9914802036069113e-75,2.6176572863147742e-56,6.3842979706109874e-34,4.8187087623455792e-40,1.1533445846147538e-46,1.7304746955845285e-47,6.696864888063654e-46,1.5116379696681676e-64,1.1451839945968548e-66,1.8803714483457254e-74,1.2837247119740659e-81,1.2511106152537334e-91,5.8350814656457846e-70
3.0000000000000002e-15,0.0034290305867446915,1.0690715234927493e-25,7.7337111616322294e-34,6.3155668733958014e-34,1.67082764488323e-33,6.4191227946579293e-42,0.0,0.0,1.2968802452556028e-22,2.6482710725958765e-34,3.9707698322486241e-39,6.1428925373322922e-46,9.4059274548037361e-50,1.7892454241531224e-60,2.0061331260479816e-49,6.5820782479624964e-39,1.0534681653609624e-22,5.3997688817561504e-34,5.5811456563108419e-82,1.7644646146575295e-80,3.6888405438690547e-53,2.89547447091064e-51,8.934867036076913e-34,5.4496214070042546e-47,3.4562507003122603e-36,1.8786922328469637e-61,1.2432453019483919e-50,6.9869242867548906e-30,2.4971190135124895e-33,6.9026337366515898e-22,3.0496001966956221e-45,8.2162070101324229e-62,4.2554321741272627e-58,2.87240520093834e-45,5.6850542566065532e-75,3.3172087789940759e-56,3.6352953441884251e-30,2.5972003292068078e-41,7.8787651278659439e-43,3.8428121341256586e-44,7.609854896131056e-29,2.4079593437518394e-57,2.4960291360345837e-61,8.5601327563968769e-54,1.1173860469408158e-48,9.4620904548144227e-42,9.4344883132133004e-58,2.030369050312657e-59,8.4904140168675281e-59,2.5030025827520993e-88,4.3660193991413342e-80,2.1819222879790561e-114,1.5246755227063013e-101,3.8278750018010182e-55,4.7158038546779419e-52,6.323918461581024e-61,4.0218285556665458e-70,1.0931132313589823e-57,4.5467144843029387e-69,9.2310973548579283e-75,4.762970686117012e-39,3.2529146333118417e-41,6.5896559194887363e-52,5.453157158310337e-53,2.45915300185522e-78,2.5081878646885632e-80,1.592330331488693e-80,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,8.0242055288997289e-22,6.9026340735870809e-22,8.024205673564516e-22,4.997340068396238e-29,3.6332883733587592e-29,4.2988442583697275e-29,1.5301090752931182e-37,1.052431661229949e-23,4.564222156968548e-38,5.0379325430540544e-30,4.7720535718190463e-44,1.4234744949745059e-44,8.7589984265427038e-24,8.16452007394255e-40,4.3794992131149289e-24,4.1928844678688013e-30,2.0964422063656393e-30,3.3206714591672479e-38,1.0356400476906492e-44,9.6846256714810626e-53,2.6734215418661124e-58,7.8528446722693626e-25,3.4737225139398231e-53,6.4170674816501978e-53,4.8906193862385618e-32,7.9297960979087041e-42,5.6185922466731692e-39,6.7950273408061601e-40,3.2866082978572203e-46,9.3532213057461414e-52,2.7592876135959482e-58,4.2183936456676884e-38,1.8104587840387667e-66,4.5424541954125736e-39,1.4166856105938542e-45,2.9687825252666753e-67,1.2496519877809367e-73,3.9638805759956662e-55,4.1953957340743446e-33,4.5433531874702285e-39,1.4169660013998944e-45,2.1260114891932114e-46,6.3134771918918181e-45,2.8888830833237181e-63,2.5157493867498828e-65,4.668063463641895e-73,3.5536533066545712e-80,3.8208299570307249e-90,1.2170307636076046e-68
7e-15,0.0034290305867446915,2.3705500043590015e-25,2.0206218029464324e-33,3.4323731736872264e-33,6.2058548498243376e-33,1.0367855527990675e-40,0.0,0.0,2.8756910747952485e-22,1.4392778037790975e-33,2.1579915355868932e-38,9.9215348088375876e-45,1.5191994542087555e-48,2.8898420811596836e-59,1.0902889738605209e-48,3.5771549705763527e-38,2.3359510830921e-22,2.9346569200160249e-33,1.0767955429058427e-80,8.9253930585850766e-79,5.958342681074728e-52,4.6766202430572394e-50,1.9811756406515929e-33,8.8019640082385603e-46,1.8783970620385029e-35,1.0110238783076004e-59,2.0080278433054519e-49,3.7972410300275404e-29,1.35712968202779e-32,1.530583751887044e-21,4.9255626734379636e-44,1.3566530812733815e-59,2.1526212109713893e-56,1.4526265689548086e-43,3.2710364224091048e-73,5.357795203564417e-55,1.9757039287451361e-29,4.1948718591574561e-40,1.2724146469324698e-41,6.2059556235365016e-43,4.1357900300508162e-28,1.3087176825400647e-56,4.1220950981997453e-59,4.3295548981267655e-52,5.65189196351732e-47,1.5282702803787156e-40,4.7720917876344712e-56,1.0263798797524429e-57,4.294566836812844e-57,1.3948073376617347e-85,7.2170390838659352e-78,7.9658676420490348e-112,1.4273677138814536e-99,1.9358541946151772e-53,2.3851646933853158e-50,1.04437155850231e-58,6.64189670104111e-68,1.8050236857904896e-55,2.5308735587486603e-66,1.5198687183114595e-72,7.6929180786599306e-38,5.2529615307943754e-40,3.3331383932916717e-50,2.7578847594824646e-51,1.8429269146393728e-76,4.8220956242040078e-77,2.9155813722057359e-78,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.7792801917462446e-21,1.530583935004112e-21,1.7792802703683992e-21,2.7159454144502574e-28,1.9746131088060463e-28,2.3363281680408189e-28,2.4713556264135715e-36,2.3336511875855708e-23,7.3719042150744064e-37,2.7380045630533301e-29,2.4137686217468954e-42,7.200125492117443e-43,1.9422113459999772e-23,1.3186926309423094e-38,9.7110567291501945e-24,2.2787397358084289e-29,1.1393698233766201e-29,5.3633769641127868e-37,5.2384006391486287e-43,1.5994111810160334e-50,1.4884037992330763e-55,1.7412828523777225e-24,2.2941839842329969e-51,1.4040512158009987e-50,2.6579451548653011e-31,1.280782139132368e-40,9.0748639305115068e-38,1.0974990086521177e-38,5.308411257031095e-45,4.7310232553211771e-50,4.5570213928556195e-56,6.8133309276365613e-37,1.0079722175039912e-63,7.3367403924188448e-38,7.1657813112409521e-44,1.6528689388624639e-64,2.40299423891015e-70,6.5463748767691917e-53,2.2801061113236587e-32,7.3381921116626892e-38,7.1671994517460992e-44,1.0753645783181744e-44,1.0186728356092282e-43,2.1084988665246637e-60,6.3919131227827576e-62,4.1986150127900043e-69,1.1465889244002844e-75,4.4698737151462645e-85,2.3402294868518972e-65
1.5e-14,0.0034290305867446915,4.9735072822344085e-25,5.4406531950540285e-33,1.5184817987840811e-32,2.2846432729630658e-32,9.6422996072856337e-40,0.0,0.0,6.0333130250289882e-22,6.3673653488356293e-33,9.5466933262264193e-38,9.2269692875270498e-44,1.4128834935580344e-47,2.687519256625322e-58,4.8234327722046164e-48,1.5824881872892708e-37,4.9009167182058844e-22,1.2982921619347146e-32,1.9308217908702725e-79,1.7166233640372628e-77,5.5415046842667951e-51,4.3493303613162563e-49,4.1564505817387452e-33,8.1859912820557803e-45,8.3100281784455322e-35,2.1193674355055962e-58,1.8675011025682753e-48,1.6798991155535697e-28,6.0039401213378557e-32,3.2112237497949481e-21,4.5808602922668895e-43,5.3209841795159905e-58,4.1405331617737295e-55,2.7929894252402472e-42,8.9043592262771944e-72,4.9828528539131845e-54,8.7405137202650546e-29,3.9013093380415017e-39,1.1831867113061086e-40,5.7718754090007532e-42,1.829673013697996e-27,5.7898240976059952e-56,1.6172474941428832e-57,8.327167464022358e-51,1.0870074997028099e-45,1.4213190224047737e-39,9.1779824330611859e-55,1.9722463287974242e-56,8.2595785949491596e-56,1.1078495701585458e-83,2.8351308093440151e-76,6.0488581015802046e-110,6.3505413336221017e-98,3.7232723525331678e-52,4.5874595964180785e-49,4.0974556827563332e-57,2.6056650662875554e-66,7.0800376776382669e-54,2.0070305551424201e-64,5.9364638757186652e-71,7.1545563449821139e-37,4.8839110784815085e-39,6.4105019242672177e-49,5.3029937723919528e-50,7.5013095614844361e-75,7.6922687696715167e-75,3.0838814532092809e-76,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,3.7329989710227476e-21,3.2112245599045173e-21,3.7329993188470632e-21,1.2015340493307129e-27,8.7356873822420991e-28,1.0335914101268235e-27,2.2984036486407724e-35,4.8960853170136877e-23,6.856000303465761e-36,1.2112915623513827e-28,4.6423075089243374e-41,1.384772425376278e-41,4.0748302705099796e-23,1.2264073324925393e-37,2.0374151348791598e-23,1.0081131195274738e-28,5.0405651835235097e-29,4.9880257727110404e-36,1.0074796918338963e-41,6.274791175624995e-49,1.1806440342270352e-53,3.6532793299929478e-24,4.7542419869975172e-50,5.9330451147069545e-49,1.1758748161768532e-30,1.1911513049206801e-39,8.4397735061640871e-37,1.0206934114577931e-37,4.9369817221477635e-44,9.0991047642178332e-49,1.7878459985322824e-54,6.3365052213758827e-36,7.9956938284143968e-62,6.8232896037699009e-37,1.3781656737211422e-42,1.311131266680375e-62,3.8343773310471079e-68,2.5682920673136666e-51,1.0087187482455612e-31,6.8246393079949475e-37,1.3784383863865871e-42,2.0682054801137415e-43,9.4585748700496458e-43,1.7486254615253441e-58,1.0661656113228129e-59,1.4046872907122072e-66,7.6832761533416565e-73,5.9949307665897023e-82,3.7341441025504018e-63
3.1e-14,0.0034290305867446915,1.0179423102551917e-24,1.5982836856838127e-32,6.3292949857713876e-32,8.6409689724884558e-32,8.13808439318366e-39,0.0,0.0,1.2348558090113219e-21,2.6540286949561544e-32,3.9790146895858138e-37,7.7871422948770515e-43,1.1924705566121064e-46,2.268115865122616e-57,2.010485911742365e-47,6.5957174751077681e-37,1.0030847187039524e-21,5.4115066279954974e-32,3.3035086509471491e-78,2.9187170242548577e-76,4.6771624408934579e-50,3.6708042526018714e-48,8.5065887709116408e-33,6.9089627914721199e-44,3.4637636601997066e-34,4.1897932485205593e-57,1.5761638285160008e-47,7.0021085660174897e-28,2.5025451730660776e-31,6.5725007114700995e-21,3.8662297306835998e-42,1.8154605831991717e-56,7.0414481685624101e-54,4.7460513126360185e-41,3.2866707682271585e-70,4.2055248296436654e-53,3.6431974774660194e-28,3.292698468308561e-38,9.9830477582622786e-40,4.8719010536505033e-41,7.6263907118225295e-27,2.4133094359633374e-55,5.5213894415267708e-56,1.4159338126329429e-49,1.8481597155938245e-44,1.1995892843232696e-38,1.5604637235650694e-53,3.3473924188675026e-55,1.4043149623258026e-54,7.5989158383221047e-82,9.7037213190893513e-75,4.2150362597709087e-108,2.2630201301541415e-96,6.3309787852730944e-51,7.8004125995117498e-48,1.3989032585335043e-55,8.8944395793928383e-65,2.4159557126613629e-52,1.3723531434639583e-62,2.0089471852332733e-69,6.0384310239573306e-36,4.1196248136370258e-38,1.0899309723876353e-47,9.0124505379084428e-49,3.9582670052500028e-73,1.0530508475139056e-72,3.7314964721256481e-74,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,7.6404345358326715e-21,6.5725040881446672e-21,7.6404359856240092e-21,5.0082008562132938e-27,3.6411853273836837e-27,4.3081870307872516e-27,1.9398432488174354e-34,1.0020933882829387e-22,5.7864383921647961e-35,5.0488600153711087e-28,7.8929623576786343e-40,2.3544240140153445e-40,8.3400517908778532e-23,1.0350832308509884e-36,4.1700258938725804e-23,4.2019795748940359e-28,2.1009894379372329e-28,4.2098601197883943e-35,1.7129358050355962e-40,2.1420246099672768e-47,8.0771710272484218e-52,7.4772711144711079e-24,8.3898758561032831e-49,2.1038006543391922e-47,4.9012493835566192e-30,1.0053295897901512e-38,7.1231217124049816e-36,8.6146150701561649e-37,4.1669035137149029e-43,1.5470890034781316e-47,6.1034435653492442e-53,5.3479664062508751e-35,5.4703506056334417e-60,5.758817873284465e-36,2.3431861200550477e-41,8.9702697523157675e-61,5.252138119445394e-66,8.767551178435378e-50,4.2045132627586147e-31,5.7599563219721938e-36,2.3436496824252399e-41,3.5164075022388008e-42,7.9578172358405163e-42,1.1753188252683012e-56,1.4352910264228412e-57,3.7847380700532678e-64,4.1418118495665003e-70,6.4645319962816598e-79,5.1146205107038312e-61
6.300000000000001e-14,0.0034290305867446915,2.0591259801414392e-24,5.1875694117860717e-32,2.5792214183513819e-31,3.3466466750505852e-31,6.6605762130347261e-38,0.0,0.0,2.4979052878740419e-21,1.0815313141378011e-31,1.6212973012855656e-36,6.3726898246435605e-42,9.7597067813746376e-46,1.8560905817459115e-56,8.1928017565497021e-47,2.6874918962397504e-36,2.0290704919131295e-21,2.2052179040712557e-31,5.4575164483303024e-77,4.7886614501267018e-75,3.8282024964752487e-49,3.0043143853853439e-47,1.7205218689202187e-32,5.6546077386071658e-43,1.4115021950139744e-33,8.7850536332559468e-56,1.2899973533513412e-46,2.8533951218340686e-27,1.0197996762324686e-30,1.3295042498280271e-20,3.1642832870452786e-41,5.9573868656443913e-55,1.1557527363933497e-52,7.777709964338477e-40,1.7019034877796559e-68,3.4420007665392619e-52,1.4846224244796158e-27,2.6948933825128462e-37,8.1656391232467144e-39,3.9881222514797559e-40,3.1077922945604674e-26,9.834381653181956e-55,1.8141443798464136e-54,2.3234167848987513e-48,3.0321123939160065e-43,9.8179558847098634e-38,2.5601090556884456e-52,5.4726242912978763e-54,2.3039320472875348e-53,5.0213978547643385e-80,3.2043288602820325e-73,2.7997815971397579e-106,7.6385077034727814e-95,1.0388567589121491e-49,1.2799738085560874e-46,4.5963616724054563e-54,2.9214409642952912e-63,7.9300272504911669e-51,9.0121972245290875e-61,6.4868079006311882e-68,4.9421211933290982e-35,3.3677954407468348e-37,1.7881534702015509e-46,1.4773351931708121e-47,2.4082737450711661e-71,1.3834974772520245e-70,4.7325311361499615e-72,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.5455297690488747e-20,1.3295056258389922e-20,1.5455303598460668e-20,2.0408676719689799e-26,1.4838020981790219e-26,1.7556084444072819e-26,1.5876464339825044e-33,2.0270552243034443e-22,4.7358596958922258e-34,2.0574268795737678e-27,1.2949236567466135e-38,3.862683299185812e-39,1.6870429517593211e-22,8.4715489434889442e-36,8.4352147524143131e-23,1.7123206027286914e-27,8.5616001531227529e-28,3.4454988645984801e-34,2.810234396320584e-39,7.0364449219881508e-46,5.3098260442343291e-50,1.5125250000363009e-23,1.4026640556612892e-47,7.0464880466310144e-46,1.9972849072105843e-29,8.2280706458232906e-38,5.8298314639273056e-35,7.0505579967752037e-36,3.410544460834156e-42,2.5382851738128104e-46,2.0051322846449227e-51,4.3769633403307112e-34,3.5964461926707456e-58,4.7132330086020539e-35,3.8442301765456322e-40,5.8974538855516379e-59,6.9080814867626536e-64,2.8802127688657086e-48,1.7133606630345303e-30,4.7141636247083344e-35,3.8449903383315308e-40,5.7690208257496016e-41,6.4722688918659207e-41,7.1054418435381854e-55,1.7368842534398887e-55,9.1637117883897006e-62,2.006074526421004e-67,6.2628118291009096e-76,6.7266192258158439e-59
1.2700000000000001e-13,0.0034290305867446915,4.1414953431734577e-24,1.8289541980627773e-31,1.04083191714389e-30,1.3156889489935571e-30,5.3849254544259226e-37,0.0,0.0,5.0240061089763625e-21,4.3644694715537467e-31,6.5412744499462529e-36,5.1511102238730415e-41,7.890484067699039e-45,1.5002227994360622e-55,3.3061356363084022e-46,1.084283578841081e-35,4.0810407561014657e-21,8.899047680052256e-31,8.8666914408900921e-76,7.750468075314551e-74,3.0953285110905966e-48,2.4288592637797839e-46,3.4595895180220176e-32,4.571622989841717e-42,5.6960469982427939e-33,2.0338959939130304e-54,1.0429234020699326e-45,1.1514721992847274e-26,4.1153440811529546e-30,2.6740077525920029e-20,2.5582290589811075e-40,1.924894470903195e-53,1.8721547826178513e-51,1.2559247374560573e-38,1.0268867357643313e-66,2.7827946057589658e-51,5.9911199748536323e-27,2.1787605677131226e-36,6.5937686675942918e-38,3.2254998416090272e-39,1.2541319980857554e-25,3.968616028320616e-54,5.876655700828805e-53,3.7615494741938752e-47,4.9071373249866871e-42,7.9375548766057427e-37,4.1432331068277151e-51,8.7955109318794501e-53,3.7286469920020542e-52,3.2862089548408818e-78,1.0483655376732134e-71,1.823373495348602e-104,2.5366397778503106e-93,1.6818851239768389e-48,2.0722369615082981e-45,1.4889450425254903e-52,9.45726630482281e-62,2.5636468499751486e-49,5.8253090320120905e-59,2.0311418063658321e-66,3.9955872658672951e-34,2.7165178054497403e-36,2.8939278929505342e-45,2.3868408955545163e-46,1.5259115973764403e-69,1.7887532719744009e-68,6.0453552132383569e-70,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,3.1084992100014427e-20,2.674013305400104e-20,3.1085015941299519e-20,8.2358126127793733e-26,5.987806650064934e-26,7.0846643445878042e-26,1.2835617591855641e-32,4.0769473883625335e-22,3.8287982569472945e-33,8.3025589149631052e-27,2.0956741524971562e-37,6.2512846270784025e-38,3.3930923719647314e-22,6.8489909978995463e-35,1.6965461834071907e-22,6.90991602093949e-27,3.4549556978441007e-27,2.7855417546224603e-33,4.5479615796724151e-38,2.2783601305933264e-44,3.439373299065843e-48,3.0421189039447142e-23,2.2917295319662138e-46,2.3042870791597126e-44,8.0599408181835148e-29,6.6522072475138086e-37,4.7132007596038152e-34,5.7001644220176891e-35,2.757610324044966e-41,4.1082980880115349e-45,6.4936758905564861e-50,3.5385884675744067e-33,2.3299540455910474e-56,3.8104714665372939e-34,6.2213681911144698e-39,3.8206709162265963e-57,8.9518426365271186e-62,9.3267104534041296e-47,6.914174174033704e-30,3.8112220034074356e-34,6.2225972506062226e-39,9.3363957056504983e-40,5.1679924982199779e-40,3.8845000921646668e-53,1.900761731092308e-53,2.0064719058662406e-59,8.786857771762692e-65,5.486979818737878e-73,8.7151742309747025e-57
2.55e-13,0.0034290305867446915,8.3062421620239119e-24,6.8187132716701554e-31,4.1812545275739343e-30,5.215798581721875e-30,4.3298419552997622e-36,0.0,0.0,1.0076215204635597e-20,1.7533080599810004e-30,2.6266603786297474e-35,4.1401262974205365e-40,6.3444496634615638e-44,1.2056620151850204e-54,1.3281256220364874e-45,4.3538799052964061e-35,8.1849761555595075e-21,3.5749471624049715e-30,1.4292404519793489e-74,1.2470332106580489e-72,2.4893509431289947e-47,1.9528678494820714e-45,6.9350934722152688e-32,3.6758925813393066e-41,2.2882297210872965e-32,5.2017428716479223e-53,8.3856388512276165e-45,4.6257119817526599e-26,1.6532204280491512e-29,5.3629953398716649e-20,2.0569518396226173e-39,6.1673822104567454e-52,3.0172940249067585e-50,2.0114879511885232e-37,6.4697292438126206e-65,2.2375775074392682e-50,2.4067670857859595e-26,1.7518700899941726e-35,5.2890728622951857e-37,2.5954364872774145e-38,5.0381120348871286e-25,1.5942794661812234e-53,1.8924832895395358e-51,6.0557681317064595e-46,7.8943695624687574e-41,6.3822619374540167e-36,6.6653749170603619e-50,1.3956478521634886e-51,5.9984336085427541e-51,2.158290827750548e-76,3.4428765475219594e-70,1.1769711263307891e-102,8.4570143291122997e-92,2.7077005158939863e-47,3.3361013020480826e-44,4.7950435552156809e-51,3.0415009293060463e-60,8.2226695570344245e-48,3.7333726057643132e-57,6.1308305483349241e-65,3.2127107969145577e-33,2.1742499115735721e-35,4.6556137997446137e-44,3.8268215931439796e-45,9.7322932478458795e-68,2.29293639230307e-66,7.6799663086338847e-68,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,6.2344253320468663e-20,5.3630176466191944e-20,6.2344349095914721e-20,3.3085044512982287e-25,2.4054336882583566e-25,2.8460633405159894e-25,1.0320465350552e-31,8.1766056892618081e-22,3.0785509860397553e-32,3.3352556357157006e-26,3.3713694777408903e-36,1.0056642818850134e-36,6.8050867155887265e-22,5.5069444114943453e-34,3.4025433474519563e-22,2.7758129070517331e-26,1.3879045940848555e-26,2.2396561791786353e-32,7.3162524409431768e-37,7.3307047251718866e-43,2.2134857939543662e-46,6.1012992183280966e-23,3.7043595749368816e-45,7.4519446101166092e-43,3.2378562545761601e-28,5.3488182805209525e-36,3.7895912876404196e-33,4.5832307773766143e-34,2.2177254167767729e-40,6.6104099434461891e-44,2.0901185491000578e-48,2.8451221190871098e-32,1.5000104076237255e-54,3.063760950775684e-33,1.000834704479827e-37,2.4597395844916895e-55,1.152692371534333e-59,3.0013837267248343e-45,2.7775725364443517e-29,3.064361465972507e-33,1.0010320507712034e-37,1.5019550908408789e-38,4.0550875133848356e-39,1.8903930180390278e-51,1.8521129440393508e-51,3.912159396249527e-57,3.4274321381088642e-62,4.281141849236443e-70,1.121826193399609e-54
5.11e-13,0.0034290305867446915,1.6635768168857143e-23,2.6275722561471652e-30,1.6760493000661301e-29,2.0768292252618875e-29,3.4724970531088366e-35,0.0,0.0,2.0180663209349009e-20,7.028132003609779e-30,1.0519991659757459e-34,3.3176029148265297e-39,5.0881474442677368e-43,9.6594087486809306e-54,5.3235860085554891e-45,1.743700706549153e-34,1.6392826438812687e-20,1.4330124296426268e-29,2.2967856440560511e-73,2.0011096836466933e-71,1.9972365231955266e-46,1.5660260507488276e-44,1.3875591934133873e-31,2.9480356624228654e-40,9.1723344262784788e-32,1.4292980453656258e-51,6.7249452451410931e-44,1.8542017756972989e-25,6.6268650572271599e-29,1.0740892842589381e-19,1.6495999292574561e-38,1.9617566495103339e-50,4.8580066490606178e-49,3.1984844021509161e-36,4.1058998960845149e-63,1.7945562341131556e-49,9.647489171000072e-26,1.4049853448974524e-34,4.2214814554855442e-36,2.0845932189980831e-37,2.0195058138123066e-24,6.3906197395710085e-53,6.0808730356764685e-50,9.7289612256128561e-45,1.2664532113161501e-39,5.1184151157340409e-35,1.0692720760222157e-48,2.1793758087347605e-50,9.6228593881017744e-50,1.4404354308862706e-74,1.1491643989507732e-68,7.5658835339462169e-101,2.8838255226032402e-90,4.3501221195095579e-46,5.3595851179139239e-43,1.5408144569414324e-49,9.7468448550411767e-59,2.6209724400706503e-46,2.3753397320683509e-55,1.7497729370949074e-63,2.5765511679797661e-32,1.7278816694274208e-34,7.4687623716223716e-43,6.0977625075953475e-44,6.1875812684244068e-66,2.9179063713620725e-64,9.6372437476927708e-66,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.2486226537137882e-19,1.0740982257833839e-19,1.2486264928309849e-19,1.3262041996112782e-24,9.6421253423184171e-25,1.1408361329156353e-24,8.2765513826812458e-31,1.6375418219852144e-21,2.4688755540904111e-31,1.3368774303990944e-25,5.4083495371142129e-35,1.6132948374139271e-35,1.362865744579779e-21,4.4163552609913759e-33,6.8143286814621202e-22,1.1126361785899334e-25,5.5631659814380221e-26,1.7960144596029696e-31,1.1736150946922712e-35,2.3513829149985679e-41,1.4200577066361484e-44,1.22196298705327e-22,5.9565077880948122e-44,2.3969190200943949e-41,1.2978877370172261e-27,4.2897017899766879e-35,3.03899759997777e-32,3.6755769993559048e-33,1.7792727186490158e-39,1.0608509834070643e-42,6.7090698266517983e-47,2.2815381660895878e-31,9.6299130162630767e-53,2.4569273643216945e-32,1.6054932150626379e-36,1.5791463593701086e-53,1.4800837609191109e-57,9.6302700002192528e-44,1.1133808299915191e-28,2.4574042143993667e-32,1.6058085918834136e-36,2.4093814128592525e-37,3.1021572508261503e-38,8.1283567316583217e-50,1.5949237083098668e-49,6.7414060248596868e-55,1.1816226346381251e-59,2.9523836092505708e-67,1.4394468825371283e-52
