Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),HOCO(37),HCOH(38),CH3OO(39),CH3OOH(40),CH2OOH(41),C2H5O(42),C2H5O2(43),H2CC(44),C2H4O(45),C2H5O(46),cC2H4O(47),C2H5O2(48),C2H3O2(49),CHCHO(50),OCHCHO(51),HCCOH(52),CHCHOH(53),C2(54),C2O(55),C2H6O(56),C2H5O(57),C2H5O3(58),cC2H3O(59),HOCHO(60),C2H3O3(61),OCHCO(62),C2H6O2(63),C2H5O2(64),C2H4O2(65),HOCH2O(66),OCHO(67),C2H4O3(68),C2H3O2(69),N2,Ne,C7H16(1),O2(2),CH4(3),C4H9(99),C5H11(101),C3H7(100),S(160),S(162),S(161),S(177),C7H15(105),S(194),S(267)
0.0,0.003237876070996407,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.003237876070996407,1.1115043324238282e-24,6.8826074348492156e-32,4.1895207253274164e-33,9.7696668644669561e-32,2.4305487559383531e-42,0.0,0.0,6.2674296629754109e-22,6.5254174356644633e-34,2.2307842707202911e-37,2.7138251986952488e-44,2.9482730639430516e-48,2.2073589770336695e-57,9.524157535128884e-47,3.7523594877741218e-37,5.5887142271473776e-22,3.1281953136268044e-33,-3.5117045934414414e-78,1.2147382625088178e-75,5.2725669015356347e-50,3.7377067419408344e-48,9.4796276060964978e-32,3.1998679613042604e-46,3.8499637979741891e-35,9.1685123515488725e-59,4.5845320754419069e-48,1.879806007079825e-28,1.6601829851868482e-32,1.2264973658361762e-20,9.3456545360750777e-44,2.1581586136323941e-59,1.3970979147466846e-55,1.135364934910618e-43,9.3447053479531742e-72,8.3000928368904503e-54,9.3798241254820684e-30,5.3553255363098391e-41,1.2580679935488317e-41,4.5689242684476493e-42,6.5227358445183651e-28,3.6119389347799437e-53,9.422440402775594e-59,2.7254491125069559e-51,3.7894445140759585e-47,2.4692700513421794e-40,2.5485145587460277e-55,7.1112371142005624e-57,2.6443084472197364e-56,4.7655266520525288e-84,5.8005632925595136e-76,-2.7011527365569735e-108,-1.5125638973374002e-101,7.2170141707486007e-53,1.431949814269809e-49,1.3853134618078626e-58,2.339976348162999e-67,7.104797634407342e-56,8.6251692783414014e-67,1.8101298306646446e-71,2.7808305666325456e-38,1.5032076903249707e-39,6.8259082358669103e-50,2.1150180112228084e-51,8.2561458496178479e-75,-3.6119679451418805e-86,-3.9642289736038643e-78,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.5067639249484049e-20,1.226497384720891e-20,1.5067639410142464e-20,4.9331468521792228e-28,3.541221929915911e-28,4.0155538749397613e-28,2.8443973136342162e-36,6.8983061493074799e-23,7.41209248589665e-37,1.7485656029329062e-29
3.0000000000000002e-15,0.003237876070996407,3.6520873993907489e-24,2.2975579506521195e-31,2.7531138578877874e-32,3.3053123614283139e-31,2.2916604212527351e-41,0.0,0.0,2.0592984099142901e-21,4.2881315410983407e-33,1.4659399868974505e-36,2.5587444307746671e-43,2.7798012902670299e-47,2.0812190794539254e-56,6.2587315635613232e-46,2.4658292628981486e-36,1.8362920132714164e-21,2.0556713014590844e-32,2.0769330815754643e-76,1.4926313308026668e-74,4.9723138014659903e-49,3.5241226494615444e-47,3.1147150952307889e-31,3.0170184614222834e-45,2.5299763276104235e-34,1.1322816808931092e-57,4.322558419398903e-47,1.2353010720297072e-27,1.0909773656834089e-31,4.029919707470695e-20,8.8116165375720611e-43,3.2680219500601676e-58,1.7164595402068153e-54,1.3948524052529839e-42,1.150992487338587e-70,7.825803905696479e-53,6.1638846950287257e-29,5.0493087410881999e-40,1.1861623142707702e-40,4.3087720880716944e-41,4.2863691633747638e-27,2.3742663078582766e-52,1.4270161275027551e-57,3.3489631558242581e-50,4.6556030022219647e-46,2.3281687374779946e-39,3.131031951132623e-54,8.7360751891688074e-56,3.2487216384640418e-55,8.5783083899553064e-83,8.7841480528032956e-75,1.4431351131791625e-106,7.3493816270816361e-95,8.8700988374362206e-52,1.7595437907817984e-48,2.0980420989655038e-57,3.543378865912448e-66,1.0758534528637137e-54,1.5525117613583378e-65,2.7401799128445195e-70,2.6219259947881122e-37,1.4172776472663469e-38,8.3861153677758299e-49,2.598403357461115e-50,1.0234566972168781e-73,1.8266316895943184e-84,3.5125355094510126e-76,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,4.9507955764540192e-20,4.0299198315702443e-20,4.9507956820295482e-20,3.2417821477409223e-27,2.3270886669940451e-27,2.6387924900174714e-27,2.6818601922350706e-35,2.2665857326813878e-22,6.988544162868874e-36,1.1490571653837387e-28
7e-15,0.003237876070996407,8.0981180110553015e-24,5.3270728591871049e-31,1.4962583749201079e-31,7.9422715690143308e-31,3.7013807063194965e-40,0.0,0.0,4.5662709797127711e-21,2.3305065671538549e-32,7.9669250169706809e-36,4.1326852956240223e-42,4.4898146683748844e-46,3.3614086628978746e-55,3.4014826676882093e-45,1.3400999435824651e-35,4.0717792022737678e-21,1.117213001086366e-31,4.0071457358102312e-75,7.552689897807366e-73,8.0336606969955414e-48,5.6919794515444929e-46,6.9064154726850052e-31,4.8729433886637983e-44,1.3749875501527075e-33,6.0830045617351962e-56,6.9815809365752092e-46,6.7135921342770223e-27,5.9292239441376765e-31,8.9359075726732165e-20,1.4232086971318341e-41,5.39601255195318e-56,8.6836074037258667e-53,7.05386972671797e-41,6.2878469698985586e-69,1.2639863220941631e-51,3.3499382880967073e-28,8.1553992735615574e-39,1.9155938379571908e-39,6.9583791645124132e-40,2.3295480839084304e-26,1.2906813596667906e-51,2.3566037184958615e-55,1.6938108753278392e-48,2.3548673942143782e-44,3.760342775569266e-38,1.5837183070503093e-52,4.4152643566260718e-54,1.6432477140791231e-53,4.7795253459932087e-80,1.4517901769130322e-72,5.2711969994690268e-104,6.8775555909585492e-93,4.4857243380512153e-50,8.8992726504856987e-47,3.4647562686003846e-55,5.8515809052873315e-64,1.7763898614827595e-52,8.6416789781383996e-63,4.5039911410775085e-68,4.2348069888591524e-36,2.2886376838037836e-37,4.2418113458656383e-47,1.3140212606487218e-48,6.5180979595141167e-72,2.8365403973738733e-81,9.3457815954618744e-74,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.0977849922211886e-19,8.9359082471271266e-20,1.097785049599181e-19,1.7618378783185013e-26,1.2647219962111388e-26,1.4341261539113141e-26,4.3316085979540708e-34,5.0259038037397881e-22,1.1287555014031276e-34,6.2448677355089992e-28
1.5e-14,0.003237876070996407,1.6990213043003913e-23,1.2089852625552839e-30,6.6194532551183285e-31,1.9072070316462487e-30,3.442356332456471e-39,0.0,0.0,9.580217912857316e-21,1.0310163219743203e-31,3.5244646503292652e-35,3.8433659393725332e-41,4.175632894284789e-45,3.1260629779383404e-54,1.5048145522379869e-44,5.9284209614554244e-35,8.5427573937327284e-21,4.9425527953019969e-31,7.185355138533555e-74,1.4527225965215132e-71,7.4721959857606043e-47,5.2936293170236534e-45,1.4489432740428565e-30,4.5319308913224018e-43,6.0829479760100596e-33,1.2722869854464137e-54,6.4929927303981522e-45,2.9700926836233673e-26,2.6230880339904667e-30,1.8747879235082282e-19,1.3236095016820645e-40,2.1163251833875006e-54,1.6705241906328889e-51,1.3562167630644312e-39,1.5172192262167507e-67,1.1755317962751092e-50,1.482013399637085e-27,7.5846775657514437e-38,1.781190996737073e-38,6.4713674353888815e-39,1.0305917971378676e-25,5.710392965562747e-51,9.2453922304881449e-54,3.2576135516073695e-47,4.529028034933311e-43,3.4971857009067587e-37,3.0459051178619454e-51,8.4814648384983563e-53,3.1603968286455223e-52,3.7953525502199785e-78,5.7018729854635777e-71,4.0029796089756493e-102,3.0576141198617907e-91,8.6271078021592503e-49,1.711547619552391e-45,1.3592925628386476e-53,2.2955189884785239e-62,6.9669647630166349e-51,6.8528006392382642e-61,1.7549400305718999e-66,3.9384489613216418e-35,2.1277752681238976e-36,8.1581164787747362e-46,2.5263820028798214e-47,2.1394024404885953e-70,4.3596705590055467e-79,1.1613005813217178e-71,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,2.30319551670926e-19,1.874788221886517e-19,2.303195770549405e-19,7.7943689698296325e-26,5.5951293365301864e-26,6.3445726398042323e-26,4.0284744118966157e-33,1.0544528774761024e-21,1.0497634027414098e-33,2.7627234869457393e-27
3.1e-14,0.003237876070996407,3.4774538341186126e-23,2.8430432976473585e-30,2.759108093493475e-30,4.8755245590853163e-30,2.9053478946855556e-38,0.0,0.0,1.9608118953331082e-20,4.2974567782092009e-31,1.4689741568930079e-34,3.2436140766121623e-40,3.5242622672122246e-44,2.6382095088617727e-53,6.2723170443061973e-44,2.4709211620644476e-34,1.7484729030456716e-20,2.060143826477112e-30,1.2293950281608752e-72,2.4701123736348312e-70,6.3069501317984393e-46,4.4677841534012681e-44,2.9653933482630489e-30,3.824945864924486e-42,2.5354808038464343e-32,2.5060509387302153e-53,5.4800612480153326e-44,1.2379858026205512e-25,1.0933481084572159e-29,3.8371806287931602e-19,1.1171221470002806e-39,7.2202133648081216e-53,2.8417431431201881e-50,2.3044394891934111e-38,4.6677692513269581e-66,9.9214830672527957e-50,6.1772948363108213e-27,6.4014611270503351e-37,1.5027469859514635e-37,5.4618121339325483e-38,4.2956832776678216e-25,2.3802704601904836e-50,3.1561455950066449e-52,5.5386742847059275e-46,7.7003718704967573e-42,2.9516130676772091e-36,5.1787247089704171e-50,1.4386084725181095e-51,5.3733899843748415e-51,2.6021109335178315e-76,1.9506706174811775e-69,2.7895232393174829e-100,1.0880855321408671e-89,1.4668032988784164e-47,2.9100128737345195e-44,4.6403166864336306e-52,7.8350820736406734e-61,2.3768567270354944e-49,4.6854680221519774e-59,5.9106804827291788e-65,3.3240429315468837e-34,1.7946782305496871e-35,1.3870642905840503e-44,4.2926470950515267e-46,9.6414660075279163e-69,6.0925034652058573e-77,1.4857765444514479e-69,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,4.7140151870323416e-19,3.8371818724846831e-19,4.7140162450813736e-19,3.248826826059652e-25,2.3321464069102342e-25,2.6445268234476402e-25,3.4000211725971987e-32,2.1581734032753353e-21,8.8599796951946752e-33,1.1515462219973223e-26
6.300000000000001e-14,0.003237876070996407,7.0343729873145755e-23,7.2371845118644494e-30,1.124355636565307e-29,1.3781635885944034e-29,2.3778763159310227e-37,0.0,0.0,3.9663949730972123e-20,1.751238375446392e-30,5.9854683218338561e-34,2.6544262478006744e-39,2.884473108477787e-43,2.1589323625870936e-52,2.5559940820053399e-43,1.0067939457572621e-33,3.536873331904131e-20,8.3952142107374643e-30,2.031139822927341e-71,4.0527504426395352e-69,5.1622938856156081e-45,3.6565876607043e-43,5.9976801036636074e-30,3.1305150550445097e-41,1.0332241977769107e-31,5.2269308369474341e-52,4.4851078132749445e-43,5.0448561289810062e-25,4.4554486078580317e-29,7.7619595305875642e-19,9.142999894725346e-39,2.3689979296641536e-51,4.6670210149372399e-49,3.7759906189316018e-37,2.1346923188755342e-64,8.120214523372358e-49,2.5172857822355493e-26,5.2392553768301059e-36,1.2289780958982925e-36,4.4701827073018111e-37,1.7505124107730396e-24,9.6998841151091582e-50,1.0368119770116239e-50,9.0868050169369728e-45,1.2633304293341006e-40,2.4157242957888587e-35,8.496256475835988e-49,2.3490284271744692e-50,8.8156375106365466e-50,1.7179355806058355e-74,6.4355796413700622e-68,1.8529631648135151e-98,3.6627601525000436e-88,2.406455734857688e-46,4.7741890784285939e-43,1.5243917029609974e-50,2.573045630037114e-59,7.7983184319185128e-48,3.0765490827934485e-57,1.8910553284715122e-63,2.7205449610864871e-33,1.4669547854574006e-34,2.2756310364162036e-43,7.0334843108953228e-45,5.5158101258196075e-67,8.0902942987432781e-75,1.9136030979123204e-67,0.88168480800000004,0.0,0.0094599999999999979,0.10885,0.001,9.5356490130738132e-19,7.7619645986900075e-19,9.5356533246748311e-19,1.3239133567369915e-24,9.5036179556027455e-25,1.0776580526419561e-24,2.782723950925767e-31,4.3655965815194458e-21,7.251399000801708e-32,4.6925736184974329e-26
1.2700000000000001e-13,0.003237876070996407,1.4148427666708851e-22,2.0529702049724147e-29,4.5373166298407868e-29,4.3472124906981755e-29,1.9224726991475616e-36,0.0,0.0,7.9775726072666688e-20,7.0670498449207654e-30,2.4148579109381565e-33,2.1455683957961667e-38,2.3321243296094446e-42,1.7449672717132273e-51,1.0314517640336408e-42,4.0619025009510856e-33,7.1136985956055536e-20,3.3878615653783476e-29,3.3006467707969451e-70,6.5595538402579675e-68,4.1741268537451925e-44,2.9561895209324178e-42,1.2059801036096716e-29,2.5309610953296952e-40,4.1695428788128082e-31,1.2018815567064952e-50,3.6260726788011154e-42,2.0358248988865927e-24,1.7979714609586516e-28,1.5611491299171106e-18,7.3918558364259482e-38,7.6525725430539321e-50,7.5686650647469918e-48,6.0958696824050535e-36,1.2293185098512134e-62,6.5650491698097537e-48,1.0158423170535801e-25,4.2358360612770666e-35,9.9208845571124069e-36,3.6140237009465674e-36,7.0640940099098292e-24,3.9143684386648192e-49,3.357356855634137e-49,1.4705959926507916e-43,2.0445549989553416e-39,1.9530435175909195e-34,1.3750184194582402e-47,3.7659987725647801e-49,1.4267101759821198e-48,1.1222828679315771e-72,2.1017556689522542e-66,1.2067981889193384e-96,1.2099276648548622e-86,3.8945831880059023e-45,7.7264576358222047e-42,4.936350575345452e-49,8.3265855206248011e-58,2.5188917098368318e-46,1.9881290046783624e-55,5.8198518659051673e-62,2.1994958192102856e-32,1.182954986533731e-33,3.6828470870691392e-42,1.1353607803285003e-43,3.4312725817645905e-65,1.0514372344250156e-72,2.4517183258868779e-65,0.88168480800000004,0.0,0.0094599999999999962,0.10885,0.001,1.9178894606798458e-18,1.5611511751190718e-18,1.9178912006007402e-18,5.3425790903326031e-24,3.8351352112984889e-24,4.3488294547736913e-24,2.2497579861696589e-30,8.7803714467157871e-21,5.8625778188628525e-31,1.8936335236552991e-25
2.55e-13,0.003237876070996407,2.8377402507620966e-22,6.5132753817270288e-29,1.8227704931631046e-28,1.5036905862048587e-28,1.5458190427893201e-35,0.0,0.0,1.5999973789881338e-19,2.8390038270053327e-29,9.6966252699053381e-33,1.7244173924355459e-37,1.8753341256679267e-41,1.4022983480019456e-50,4.143517027585214e-42,1.6309829984374501e-32,1.4267446746385297e-19,1.3609916149276276e-28,5.3243086412356135e-69,1.0554556896208347e-66,3.3570813173580325e-43,2.3768479378171177e-41,2.41742405313833e-29,2.0350794488000542e-39,1.675013227883693e-30,3.0476454312368579e-49,2.9155486630412525e-41,8.178350894433619e-24,7.2228326192401222e-28,3.1310450697089651e-18,5.9434633635428721e-37,2.4506759752079952e-48,1.2226326933409258e-46,9.7583525704537952e-35,7.6328763809538686e-61,5.2788035285607015e-47,4.0808995078244221e-25,3.4059231787447581e-34,7.952843376284123e-35,2.9058886365803261e-35,2.8377953225441689e-23,1.5724931798676208e-48,1.080383205496299e-47,2.3658167574763655e-42,3.2891667285965828e-38,1.5703540588571761e-33,2.2120438377550453e-46,5.9470012675172392e-48,2.2952139718778307e-47,7.3451518176848373e-71,6.8780154422436491e-65,7.7902576946239088e-95,3.9929962996158043e-85,6.2654231655206159e-44,1.2429837207439607e-40,1.5885833197608764e-47,2.6760340491504848e-56,8.0652160607499336e-45,1.2735411220975218e-53,1.7036628306745213e-60,1.768537044973379e-31,9.4631559329831158e-33,5.9247601602364414e-41,1.8171399750929694e-42,2.1747903250957922e-63,1.350762362435751e-70,3.1105277155100781e-63,0.88168480800000004,0.0,0.0094599999999999927,0.10885,0.001,3.8465297561298206e-18,3.1310532856985159e-18,3.8465367457475687e-18,2.1462277155801678e-23,1.5406576587880217e-23,1.7470173528821294e-23,1.8089381122070127e-29,1.7609635228944273e-20,4.7138831304751787e-30,7.6068991677189558e-25
5.11e-13,0.003237876070996407,5.6838814038854213e-22,2.2641953395706793e-28,7.3067841643365684e-28,5.5424986982181985e-28,1.2397697047443243e-34,0.0,0.0,3.2044959809899855e-19,1.1380196657320718e-28,3.883354811453237e-32,1.3817446967909952e-36,1.5042418463146082e-40,1.1233938905734084e-49,1.6608778029255403e-41,6.5315718944204403e-32,2.8575333536963508e-19,5.4556082939843582e-28,8.5785890427016599e-68,1.6937966201548176e-65,2.6936194785838285e-42,1.906008204761916e-40,4.8363973491935071e-29,1.6321432765732315e-38,6.7143809246553474e-30,8.2761777613168285e-48,2.3381533376911478e-40,3.2782684906629016e-23,2.8952442423808308e-27,6.2707952942112674e-18,4.7664704839440026e-36,7.7876050206047704e-47,1.9775170128540636e-45,1.5501800863361851e-33,4.8115252532902639e-59,4.233656754403158e-46,1.6358491113032401e-24,2.7315639417675161e-33,6.3396158729066122e-34,2.3304511542364531e-34,1.1375183401283594e-22,6.3033064711976412e-48,3.4663302267856568e-46,3.7953318125348414e-41,5.2765891910100185e-37,1.259371954899174e-32,3.5486026295448945e-45,9.2013190316602277e-47,3.682061279129231e-46,4.8694393705692457e-69,2.2803281703816293e-63,5.0083742484557036e-93,1.3361817905129081e-83,1.0051302816013512e-42,1.9940161122064187e-39,5.0974017922188223e-46,8.5639509928744722e-55,2.5619852357086462e-43,8.094950155787626e-52,4.628613054416498e-59,1.4183431514595051e-30,7.5125688451697455e-32,9.5046944936450506e-40,2.8854094970686631e-41,1.3763740980396538e-61,1.7194823830990936e-68,3.8861327248603162e-61,0.88168480800000004,0.0,0.0094599999999999858,0.10885,0.0009999999999999998,7.7037750542368963e-18,6.2708282275208179e-18,7.7038030717388958e-18,8.6030732141435215e-23,6.1756862491574241e-23,7.0028535749224983e-23,1.4507234678627818e-28,3.5267019136754932e-20,3.7804570283528531e-29,3.0490128621863167e-24
