Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),HOCO(37),HCOH(38),CH3OO(39),CH3OOH(40),CH2OOH(41),C2H5O(42),C2H5O2(43),H2CC(44),C2H4O(45),C2H5O(46),cC2H4O(47),C2H5O2(48),C2H3O2(49),CHCHO(50),OCHCHO(51),HCCOH(52),CHCHOH(53),C2(54),C2O(55),C2H6O(56),C2H5O(57),C2H5O3(58),cC2H3O(59),HOCHO(60),C2H3O3(61),OCHCO(62),C2H6O2(63),C2H5O2(64),C2H4O2(65),HOCH2O(66),OCHO(67),C2H4O3(68),C2H3O2(69),N2,Ne,C7H16(1),O2(2),CH4(3),C4H9(99),C5H11(101),C3H7(100),S(160),S(162),S(161),S(177),C7H15(105),S(194),S(267),S(266),S(268),C7H15(102),S(310),C7H15(103),S(829),S(830),S(859),S(882),S(752),S(926),C7H15(106),S(900),S(992),S(1016),S(1066),S(847),S(779),S(1065),S(1245),S(1588),S(184),S(1604),S(848),S(1887),S(1607),S(1912),S(1910),C7H14(241),S(303),S(1907),S(1869),S(306),S(1017),S(1020),S(2655),S(2670),S(2747),S(971),C3H5O(975),S(3034),S(276),S(1952),S(3263),S(199),C3H7O(185),CHO3(319),CH2O3(342),S(328),S(3183),S(3838),S(3842),S(3942),S(313),S(1908),S(850),C3H6O(87),S(756),S(4205),S(4320),S(4361),C3H6(89),S(2810),S(4680),S(5093),S(5094),S(4665),S(4674),S(5273),S(5708),S(2013),S(771),S(737),S(5810),C4H9(129),S(5714),S(2023),S(6093),S(6092),S(6115)
0.0,0.0025899962430984405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0025899962430984405,1.704280274134535e-22,7.8326887796748442e-30,4.4296117604210579e-31,1.1417658482195411e-29,6.0547094069217706e-39,0.0,0.0,8.4169453567787082e-21,5.837617141027203e-32,2.7039058067724453e-35,4.3213218409375702e-42,4.482396860676419e-46,4.7574938029619818e-54,6.643121105499383e-44,4.6009984218090492e-35,6.3125701388174566e-21,7.9049018507081251e-32,-1.1426895051583748e-73,7.1264429523579472e-70,1.0179620945655687e-45,7.1172603205309431e-45,9.1910294891389027e-30,5.2456119332632386e-44,1.5956898127992101e-33,1.4536756501295137e-55,3.9335484339127092e-45,1.3130504698271621e-26,2.8090419728838707e-30,2.8954007417316137e-19,1.1445998594731881e-41,2.4019758024345988e-56,1.6192771867413274e-52,2.0139493603888326e-41,1.7263535467639509e-67,5.2939965296523005e-51,1.3528323984579408e-28,5.1545582920302766e-39,1.0086221046383124e-39,1.2903044411643074e-39,1.7790471338128127e-26,2.9717663234099191e-49,1.3191039804439175e-55,2.1869043496591432e-48,6.1431351018248714e-45,2.4579072064452463e-38,2.8046816850308877e-52,8.3334260374212146e-54,2.8313361385938374e-53,2.206324506871815e-79,1.4532682567111187e-71,-5.592123477343751e-100,-2.1817930662742356e-95,4.4991713728810851e-50,1.0466488908258249e-46,1.2502870029394019e-55,4.9249373175726041e-64,2.4712625313361721e-53,9.8389722883941069e-64,1.1653913029908305e-67,4.3059109554760965e-36,2.0435282018983794e-37,2.6928592660820691e-46,4.1729488021830026e-49,3.3409028087586733e-63,2.7133069179228519e-74,-1.4924298939927436e-74,0.88168480800000004,0.0,0.0094599999999999979,0.10885,0.001,3.7078005710280141e-19,2.8954007455740182e-19,3.7078006210089121e-19,1.5000640796326244e-26,1.0668044768690825e-26,1.1713916567283924e-26,1.894462014285554e-34,9.4445818397360569e-22,4.4481995244707717e-35,2.9928372498367891e-28,6.0032477741741554e-41,1.4095634012875999e-41,7.7072284982277365e-22,1.5572672156782339e-37,3.8536142542195147e-22,2.4422979652934713e-28,1.2211489392253243e-28,6.9378067564061148e-36,2.198480113523469e-42,4.0041061695285748e-49,2.3952764232667384e-54,1.7426437018940351e-22,4.0835271160444131e-50,8.6925800613138758e-50,7.0502099006743762e-30,3.6757038758500772e-39,1.7264287177889459e-36,1.2708043356489873e-37,5.1457185655735805e-42,1.9158806010586794e-47,6.0711203514846067e-54,6.8528915653869163e-35,1.7246162262958527e-61,2.6765287421632156e-36,8.4814924347101808e-43,6.9390792721235093e-62,3.347430364001356e-68,8.8766119845943161e-52,1.3112746241815749e-30,2.6725044071113891e-36,8.4687409007044763e-43,2.9663216043980563e-43,4.8124911179240459e-41,1.4539886714216909e-58,1.5842686827537548e-60,3.9344531248460658e-68,8.5316647736223363e-75,4.0012191441558589e-84,4.1061629003044703e-63,1.571462427370094e-65,6.7670115996059409e-69,7.3658840286767194e-59,5.6459711676703476e-77,3.5457413065601765e-80,2.3624247477469451e-36,1.9628124995562506e-39,1.3186744329226686e-52,1.9121877640015745e-61,4.0214098980205052e-60,1.6805628087931982e-76,2.4161731697923266e-83,1.3004473755119363e-83,1.3393266844112123e-89,1.1230983240248745e-72,5.9864798889372321e-51,3.9262994964898403e-41,4.2638135966538833e-44,3.1582751315902283e-50,2.377035114726133e-58,6.4089895646670296e-64,1.1057160312464161e-68,3.7774694401262065e-28,3.4117793447905484e-93,3.935043832667284e-98,5.851732141426407e-103,9.5121577221054136e-104,4.7225627007889206e-99,1.4306628837521628e-101,1.4592716582741745e-107,1.1826315230090286e-113,1.3737151972519158e-55,2.5271657951103514e-43,3.7523849630144953e-50,3.5750633789816015e-35,1.128192527853943e-28,9.1998694067778594e-115,4.5812959309595884e-50,1.1077136796185827e-55,1.1077114547693794e-55,3.9488462517681132e-63
3.0000000000000002e-15,0.0025899962430984405,5.5997860444952572e-22,2.693684426528305e-29,2.910889397334262e-30,4.4830998981219499e-29,5.7087283914605004e-38,0.0,0.0,2.7655680924585108e-20,3.836148607526684e-31,1.7768463440440134e-34,4.0743790372699989e-41,4.2262814796028584e-45,4.4856231102746245e-53,4.3654804153415896e-43,3.0235024652405708e-34,2.0741320017993868e-20,5.1946517629123511e-31,6.7583217544952998e-72,8.7559377394381905e-69,9.5987765523970246e-45,6.7105576777697192e-44,3.0198856510560721e-29,4.9458640062528259e-43,1.0485965656951159e-32,1.7947160864779881e-54,3.708773819679382e-44,8.6286172068347513e-26,1.8459418252419984e-29,9.5134590743612543e-19,1.0791942866610261e-40,3.6372089484670195e-55,1.9898918825648766e-51,2.4742234010685441e-40,2.1233934630076846e-66,4.9914865066533024e-50,8.8900447787970631e-28,4.8600164965566871e-38,9.5105368574352237e-39,1.2169416920697323e-38,1.16908808171963e-25,1.9551766372874925e-48,1.9978707030300913e-54,2.6873934574480789e-47,7.5472974955086127e-44,2.317462258894876e-37,3.4457512704723751e-51,1.0237330511844727e-52,3.4784984956398927e-52,3.9721899464770752e-78,2.201174308617204e-70,2.9877488133298169e-98,2.2937599554798615e-89,5.5345921509539615e-49,1.2861821364440791e-45,1.8936492085998417e-54,7.4577256605122624e-63,3.7423201761648907e-52,1.7709868671878867e-62,1.7639714935057305e-66,4.0598591206003883e-35,1.9266976873718214e-36,3.3083054023574527e-45,5.1269727408522129e-48,5.0590857405295436e-62,5.6591058945021943e-73,1.8517183675187772e-72,0.88168480800000004,0.0,0.0094599999999999979,0.10885,0.001,1.2182772700328386e-18,9.5134590996113341e-19,1.2182773028774261e-18,9.8575635809670476e-26,7.0104292422618546e-26,7.6977163036842835e-26,1.7862067325475941e-33,3.1032187444481587e-21,4.1940161076121252e-34,1.9667207961070839e-27,7.3754166141079872e-40,1.7317488671255222e-40,2.5323742800910059e-21,1.4682800899086953e-36,1.2661871434006414e-21,1.6049380697978151e-27,8.0246899395874392e-28,6.5413575321118511e-35,2.7009884262361319e-41,6.0633518481569096e-48,4.3114922230126436e-53,5.7258289531898446e-22,5.3898120511058237e-49,1.3956855388836978e-48,4.632994885754907e-29,3.4656637315378197e-38,1.6277749293866736e-35,1.198186637845168e-36,4.8516798709283092e-41,2.3537968670283941e-46,9.1934120658099207e-53,6.4612952125425851e-34,3.1043092884269385e-60,2.5235832038534606e-35,1.0420114436622606e-41,1.249034375100148e-60,6.9817838409329141e-67,1.3441721641960822e-50,8.6169484808210852e-30,2.5197887383183439e-35,1.0404448244534053e-41,3.6443367677371431e-42,4.5364969922992388e-40,2.7454801534752644e-57,3.4441150524551849e-59,9.6774131311722736e-67,2.3422604640185751e-73,1.2128045658715027e-82,8.5597988748513821e-62,3.7246916217457738e-64,1.7972626343863129e-67,1.1153970929966018e-57,1.3388005768055752e-75,9.4209059057283085e-79,2.2274293997941634e-35,1.8506510511916869e-38,1.6200920303529111e-51,2.8956077479064194e-60,6.0907888162498944e-59,4.9435973202139182e-75,7.7977947119450071e-82,4.1969601068298828e-82,4.6879214146532815e-88,2.0203034204338087e-71,9.0652365222837795e-50,3.700864765248913e-40,5.2373637720735049e-43,4.7825298157644543e-49,4.2786605491014166e-57,1.3367282159788265e-62,2.6221198715700913e-67,2.4823370527054754e-27,1.131618350492274e-91,1.4176024947431112e-96,2.2750608707536342e-101,3.6984631411556045e-102,1.7013091776015808e-97,5.1539807896579587e-100,5.6739736090510207e-106,4.9362219055020739e-112,2.0796881532596037e-54,3.1048027484270418e-42,5.6821815797615709e-49,3.3707733638581566e-34,7.4138353495819879e-28,3.8399674956783204e-113,4.3195016744267864e-49,1.3608968289053262e-54,1.3608934598806977e-54,5.9796323090380225e-62
7e-15,0.0025899962430984405,1.2416968365368647e-21,6.7456889407836429e-29,1.5820110106123055e-29,1.4648396988980488e-28,9.2204949655506054e-37,0.0,0.0,6.1323487785540139e-20,2.0848640825225952e-30,9.6565598935500448e-34,6.5805895500083198e-40,6.8264044572148179e-44,7.2447551229189801e-52,2.3725466453278632e-42,1.6431697269596146e-33,4.5991739332460311e-20,2.8231872916630367e-30,1.3039420598258056e-70,4.4295420945795478e-67,1.5505594340329414e-43,1.0838537006259872e-42,6.6961135073370413e-29,7.9883393788801963e-42,5.6989086307982201e-32,9.6099213329078417e-53,5.9902254449856722e-43,4.6894652851026864e-25,1.0032291019977013e-28,2.1095058172242073e-18,1.7430642628143688e-39,6.0051854073679353e-53,1.0095150849834544e-49,1.2511491047746629e-38,1.1128898689523755e-64,8.0620271967706821e-49,4.8315577573262664e-27,7.8496784690567451e-37,1.5370894492910997e-37,1.9651820831932812e-37,6.3537383443514411e-25,1.0636399375736921e-47,3.2992660281081019e-52,1.3591686118522042e-45,3.8176329924434896e-42,3.7431547256197578e-36,1.7429059460586429e-49,5.1728558467144779e-51,1.7594719223981748e-50,2.2192268820902398e-75,3.6478607502060306e-68,1.0909497702007679e-95,2.1464110761831957e-87,2.797670577695136e-47,6.5049569169413545e-44,3.1271670700489355e-52,1.231560162340573e-60,6.1835010252311219e-50,9.857084451921118e-60,2.8945070144973518e-64,6.5572859980146621e-34,3.1110580679318847e-35,1.6729951836820427e-43,2.5945511420131727e-46,8.3552364195828855e-60,1.0878866856325844e-69,6.5957606784776232e-70,0.88168480800000004,0.0,0.0094599999999999945,0.10885,0.001,2.7013970358871273e-18,2.1095058309470837e-18,2.7013972143902497e-18,5.3573701996838611e-25,3.8100152659913062e-25,4.1835404166643452e-25,2.8849899284631348e-32,6.8810438060528281e-21,6.7739627820024672e-33,1.0688670795060593e-26,3.7305760068461207e-38,8.7593998139521472e-39,5.6152595737460101e-21,2.3714884424498678e-35,2.8076298051074498e-21,8.7224685343933802e-27,4.361233605954474e-27,1.0565237280058686e-33,1.3661889660716099e-39,1.0013462652542347e-45,2.4003529424026911e-50,1.2696401059291686e-21,3.3433707114661325e-47,2.8607622380682909e-46,2.5179313247126616e-28,5.5975702414051575e-37,2.6290925016265723e-34,1.9352483854186038e-35,7.8362331259619379e-40,1.190587549556062e-44,1.5183037540981319e-50,1.0435933013380212e-32,1.7283126862865922e-57,4.0759538567275695e-34,5.2706098878830979e-40,6.953959901223397e-58,1.3425416992659767e-63,2.2199004645415282e-48,4.6831275357591685e-29,4.0698238507334518e-34,5.2626855773266177e-40,1.8433490812112279e-40,7.3124402521052671e-39,1.8567323905033134e-54,8.0956614146373343e-56,8.0429055143082315e-63,6.976488557466642e-69,1.3087583221069031e-77,1.6281691792770278e-58,2.4895709412773594e-60,4.2882340983602664e-63,1.8418864740427978e-55,9.0419496132371006e-72,2.2714776988702118e-74,3.597634950190419e-34,2.9890709812557264e-37,8.1950340014606493e-50,4.7823488114796163e-58,1.0089214297156585e-56,4.2599161982276677e-70,2.4494799860986589e-76,1.3182010408811897e-76,4.7858745450606737e-82,1.1248367425770108e-68,1.4971213795545749e-47,5.9615965950321578e-39,2.6428617952255624e-41,7.8983659589946752e-47,2.3821007595090771e-54,2.5702619812933914e-59,1.7740081970873402e-63,1.3490961961850346e-26,4.4636723720965332e-86,2.0592009464320312e-90,1.2200123373256473e-94,1.9894363550687779e-95,2.4714405573149347e-91,7.4870154928192925e-94,3.0545747025753844e-99,9.9013324333308944e-105,3.4221160491324066e-52,1.5704468286996657e-40,9.384142828305476e-47,5.4442996507071626e-33,4.0292538789776943e-27,7.7029104517496712e-106,6.9765609118992069e-48,6.8830858704917299e-53,6.8830302388164222e-53,9.8742049493944712e-60
1.5e-14,0.0025899962430984405,2.6051488850726401e-21,1.7188822675184803e-28,6.9988601055527659e-29,4.9229239360060125e-28,8.5752825713475059e-36,0.0,0.0,1.2865916624811839e-19,9.2234439108231304e-30,4.2719050450166647e-33,6.1198529869847422e-39,6.3491504598841914e-43,6.7374578458258105e-51,1.0496167974935951e-41,7.2691026344964557e-33,9.6492931166422241e-20,1.2489831917207109e-29,2.3381993244913155e-69,8.5194710460115861e-66,1.442104365329391e-42,1.0079998414412669e-41,1.4048101047045114e-28,7.4293341492726529e-41,2.5212076521507626e-31,2.0012306615262771e-51,5.5710129918666912e-42,2.0746190098752647e-24,4.4382844386293106e-28,4.425824651953075e-18,1.6210853500361158e-38,2.3550091291766407e-51,1.9502083112473129e-48,2.4052890751634891e-37,2.3973198871882596e-63,7.4978688931171615e-48,2.1374897369197368e-26,7.3003752514745565e-36,1.4309713506088169e-36,1.8276482156918163e-36,2.810892939452568e-24,4.7069140469913234e-47,1.2943627486444501e-50,2.6140233824007366e-44,7.3426190813949684e-41,3.4813530278710745e-35,3.3520598895369514e-48,9.9334451289158667e-50,3.383926323618973e-49,1.7691074613973282e-73,1.4383212152294348e-66,8.2842553190583125e-94,9.5417599321403334e-86,5.3805068914205886e-46,1.251066401659425e-42,1.2268535324997583e-50,4.8311889395121128e-59,2.4276564517515928e-48,7.8158396522814639e-58,1.1250841006521162e-62,6.0983970879114298e-33,2.8921019828753971e-34,3.2164831051031382e-42,4.9936275614682865e-45,3.2780199524482729e-58,1.735186864638165e-67,8.8754384246309208e-68,0.88168480800000004,0.0,0.0094599999999999893,0.10885,0.001,5.667635390178888e-18,4.4258247126631338e-18,5.6676361798761945e-18,2.3700996123574542e-24,1.6855502932259827e-24,1.8507975066765931e-24,2.6830880749121479e-31,1.4436674394891135e-20,6.2998997999880601e-32,4.728646512566509e-26,7.1748474959292779e-37,1.6846561990369632e-37,1.1781014619566047e-20,2.2055194538525787e-34,5.8905073904522288e-21,3.8588046647942459e-26,1.9294017174345206e-26,9.825801406939104e-33,2.627517568699451e-38,3.9283940006049255e-44,1.903991525258549e-48,2.6637538395007117e-21,6.793812847795036e-46,1.1855635519789248e-44,1.1139323194820519e-27,5.2058430013925816e-36,2.4450898243881718e-33,1.7998106294157378e-34,7.2878949444850932e-39,2.289826864440054e-43,5.9566841451337353e-49,9.7055584306454663e-32,1.3709645639787229e-55,3.7906911185822663e-33,1.0136691461971442e-38,5.5161586128042927e-56,2.1422331033507748e-61,8.7091257917070406e-47,2.0718180921143699e-28,3.7849881000494544e-33,1.0121450537297855e-38,3.5452265395015152e-39,6.7793769543899787e-38,1.4922341750524916e-52,1.3088148594351834e-53,2.6082442893650757e-60,4.5316528292279659e-66,1.7015289547565932e-74,2.5590691331233897e-56,7.8361381018081953e-58,2.7035496130023331e-60,7.2250054712935479e-54,2.8869252362375529e-69,1.4526919286842317e-71,3.345867071617789e-33,2.7798762347758287e-36,1.5762319466867461e-48,1.8763575562981068e-56,3.9754533303684196e-55,5.3755855707385463e-67,6.1832499442937347e-73,3.3269678478016488e-73,2.0860445797818987e-78,8.9552338633563336e-67,5.873500499401289e-46,5.5214031903900349e-38,5.0649635222670653e-40,3.098701272717532e-45,1.8895433740214153e-52,4.1008911240641582e-57,5.6778161517117705e-61,5.9684013653314808e-26,1.1610358451664602e-82,1.0713600467278942e-86,1.2629236794120561e-90,2.0680508078871703e-91,1.2859310654439565e-87,3.8956048422437655e-90,3.1788207622136189e-95,2.060721046799846e-100,1.3355105101751015e-50,3.020367924510549e-39,3.6816031530483005e-45,5.0632861472841146e-32,1.7825386360539097e-26,1.6033158022383135e-101,6.4882031285719737e-47,1.3236494497958283e-51,1.3236276287737065e-51,3.8731934252247324e-58
3.1e-14,0.0025899962430984405,5.3321153194892755e-21,4.7431803326596019e-28,2.9172817628350333e-28,1.7539321990988504e-27,7.237606367675822e-35,0.0,0.0,2.6333078213584373e-19,3.8444957843305865e-29,1.7804762379382569e-32,5.1647833895461994e-38,5.3594457347422828e-42,5.685905645734509e-50,4.3750026353844649e-41,3.0296598692736435e-32,1.9749672765315989e-19,5.2060205936085717e-29,4.0008267217814999e-68,1.4485226721012027e-64,1.2171590824515842e-41,8.5074288625717038e-41,2.8750203674042591e-28,6.2703935355089181e-40,1.0508916507883827e-30,3.914491618016803e-50,4.7019109552147807e-41,8.6473686622400486e-24,1.8499530987612083e-27,9.0584583820261007e-18,1.3681981985946405e-37,8.0329372627794154e-50,3.3448273552201366e-47,4.086181664252245e-36,5.8209581359468794e-62,6.3282434348215175e-47,8.909498235285128e-26,6.1615499707770962e-35,1.2101386074619651e-35,1.5425509454058794e-35,1.1716282372550648e-23,1.9621852716714929e-46,4.4186574407156104e-49,4.4444866959122071e-43,1.2485151240892219e-39,2.9385032127564875e-34,5.699240803026488e-47,1.6837857541602213e-48,5.7534401191543502e-48,1.2222255078453097e-71,4.9587609902278915e-65,5.7727293387616037e-92,3.3951036953320653e-84,9.1482166383120523e-45,2.1271206208374942e-41,4.1882547698018748e-49,1.6489149360871757e-57,8.2991537544861662e-47,5.3428790311220704e-56,3.7715019186560187e-61,5.147034149839306e-32,2.4388754209846041e-33,5.4649693564426092e-41,8.5024594423841979e-44,1.1190873621220628e-56,2.3748129705236067e-65,1.1621990387797767e-65,0.88168480800000004,0.0,0.0094599999999999788,0.10885,0.001,1.1600107389100371e-17,9.0584586350766153e-18,1.1600110680691668e-17,9.8789787761513154e-24,7.0256624797723288e-24,7.7144390002608684e-24,2.2645109201455862e-30,2.9547857436294295e-20,5.3170842437038448e-31,1.9709644812405797e-25,1.2198764949084408e-35,2.8642754170643479e-36,2.4112462546092946e-20,1.8614394561794003e-33,1.2056231609289942e-20,1.60840421352295e-25,8.0420158774243048e-26,8.2928486434043674e-32,4.4672988710772197e-37,1.3409838447373812e-42,1.3025331163078694e-46,5.451978556043126e-21,1.1867241327509271e-44,4.1604324967407145e-43,4.6430592225425466e-27,4.3937192227679944e-35,2.0636261205737097e-32,1.519026195619602e-33,6.1510563153572365e-38,3.893272359523885e-42,2.0334953058349294e-47,8.1913843530444723e-31,9.3794613586607834e-54,3.1992999821865313e-32,1.7234416991998394e-37,3.7738941345410198e-54,2.9342808239278983e-59,2.9730590879792753e-45,8.635717598991363e-28,3.1944833313174686e-32,1.7208502643242492e-37,6.02762791911643e-38,5.6867380401600244e-37,9.711948346512867e-51,1.7061859763908719e-51,6.8050875514732929e-58,2.3655687190195495e-63,1.7767658757742037e-71,3.4034214952931668e-54,2.078400410702963e-55,1.4344176256924418e-57,2.4656792927305682e-52,7.8733358797264235e-67,7.9258141490974064e-69,2.8239049011685408e-32,2.3461847661220674e-35,2.6803266595649225e-47,6.4063506528154572e-55,1.3687967754884556e-53,5.7050753375650329e-64,1.3120491656512624e-69,7.0571630094547453e-70,6.9504835405567299e-75,6.1769278038507341e-65,2.0050438463113389e-44,4.6223857175205034e-37,8.5519379548118047e-39,1.0578192427668265e-43,1.29268955520183e-50,5.616129982855164e-55,1.5559614963977677e-58,2.4877331313364709e-25,2.4247254663260515e-79,4.4744966272345347e-83,1.0439298675759629e-86,1.7236828737921749e-87,5.3713962973958831e-84,1.6272028552138489e-86,2.6553884093594784e-91,3.4421930951508137e-96,4.5119619088222498e-49,5.1352631594028198e-38,1.2568068486101189e-43,4.2733810108612664e-31,7.4299037576182951e-26,2.6786279828778927e-97,5.4758185059023766e-46,2.2500040404027183e-50,2.2499295793704261e-50,1.3217555719698749e-56
6.300000000000001e-14,0.0025899962430984405,1.0786297536908441e-20,1.4534633222656031e-27,1.1888368829663415e-27,6.5574078860870601e-27,5.9237191306051948e-34,0.0,0.0,5.3267504976073667e-19,1.5666563270633283e-28,7.2544986427845242e-32,4.2265012313214594e-37,4.3876756293686111e-41,4.6527905897994434e-49,1.7828515982649825e-40,1.2344175059208325e-31,3.9950997189147135e-19,2.1215155863285661e-28,6.6110848526301506e-67,2.3764632263822041e-63,9.9619483285793388e-41,6.9627459338144678e-40,5.814692102984917e-28,5.1320522694019789e-39,4.282509751614424e-30,8.0844783873767079e-49,3.8482328503901734e-40,3.523846765122865e-23,7.53865186684162e-27,1.8323710084669136e-17,1.1198033181089655e-36,2.6346196656506049e-48,5.5824775451109544e-46,6.6928699707942987e-35,2.1019823643634935e-60,5.1794102633211481e-46,3.6307256373427503e-25,5.0429657558213313e-34,9.9434650442833354e-35,1.2625270018354018e-34,4.7744426235881566e-23,7.9965248761073705e-46,1.4515735453645681e-47,7.2918734937306166e-42,2.0486661118149666e-38,2.4054074636501233e-33,9.3501669867885788e-46,2.7457954062536078e-47,9.439149494369351e-47,8.1911547026234557e-70,1.6608867079774303e-63,3.8343851221521948e-90,1.1425863542035072e-82,1.5009126611957146e-43,3.4898668908861768e-40,1.3759222083420271e-47,5.4145880515121039e-56,2.7339951007648266e-45,3.5068435051907699e-54,1.1958503375682857e-59,4.2125612580427058e-31,1.9927411916337562e-32,8.9535297340879477e-40,1.3988930257619962e-42,3.6766069933766677e-55,3.1184268509957429e-63,1.5051816752939957e-63,0.88168480800000004,0.0,0.009459999999999958,0.10885,0.0009999999999999998,2.3465032548336962e-17,1.8323711115867381e-17,2.3465045961716148e-17,4.02573104817729e-23,2.8629925147735515e-23,3.1436706102258135e-23,1.853360438257194e-29,5.9769910983691938e-20,4.3517087984913492e-30,8.0316452781372966e-25,2.0013089150826408e-34,4.6990887382048845e-35,4.8775109745467455e-20,1.5234614044520952e-32,2.4387556242945997e-20,6.554232427751899e-25,3.2771119661256089e-25,6.7870611262871416e-31,7.3288472405490617e-36,4.404727727119674e-41,8.5620296589534659e-45,1.1028416986682274e-20,1.9735449177318584e-43,1.3859477446830682e-41,1.8920685144031361e-26,3.5960129508905983e-34,1.6889232656255872e-31,1.2432219210795918e-32,5.0344420558457316e-37,6.3875002081836485e-41,6.6803440885055154e-46,6.7040517548698032e-30,6.1662572045811338e-52,2.6183916007929674e-31,2.8274128811353835e-36,2.4810530277114852e-52,3.859315737388059e-57,9.7665227640963825e-44,3.5191180935067041e-27,2.6144440274757311e-31,2.8231609123449479e-36,9.8887913915301461e-37,4.5980804069259457e-36,5.6324919521740055e-49,1.9809000292719942e-49,1.5807654858982909e-55,1.0992634731565073e-60,1.6514970691748938e-68,4.2305589620327808e-52,5.1332181331005787e-53,7.0849275371944846e-55,8.0949135767836572e-51,2.0509556458833524e-64,4.1296092931850664e-66,2.3112095046431402e-31,1.9201812046750453e-34,4.3986012193527933e-46,2.1051316045583466e-53,4.5730601708571917e-52,5.6361178644125883e-61,2.5905048994000663e-66,1.3923917409871255e-66,1.9189225301370121e-71,4.12854985720917e-63,6.5865209512208175e-43,3.7230972908794649e-36,1.383943827513664e-37,3.4749890047713475e-42,8.4978566720155425e-49,7.3840354111394854e-53,4.0921567119666446e-56,1.0137646053238327e-24,4.5068807275345243e-76,1.6629772450137036e-79,7.6011820566176159e-83,1.2756645793618293e-83,1.9968601437968339e-80,6.0491832197115698e-83,1.9739195996790923e-87,5.1157304720921398e-92,1.4521978032312522e-47,8.4248136535414007e-37,4.1286696654909212e-42,3.4974892966109711e-30,3.0277043767123154e-25,3.9823497069750373e-93,4.4813085687354588e-45,3.6897434109848493e-49,3.6894990027388507e-49,4.3390422668195665e-55
