Time (s),Volume (m^3),H(4),O(5),OH(6),H2(7),H2O(8),Ar(9),He(10),HO2(11),H2O2(12),CO(13),CO2(14),HCO(15),C(T)(16),CH(17),CH2(T)(18),CH3(19),CH2O(20),HCCO(21),C2H(22),C2H2(23),H2CC(24),CH2(S)(25),CH3OH(26),CH3O(27),CH2CO(28),C2H3(29),C2H4(30),C2H6(31),C2H5(32),CH2OH(33),CH3CO(34),CH2CHO(35),CH3CHO(36),HOCO(37),HCOH(38),CH3OO(39),CH3OOH(40),CH2OOH(41),C2H5O(42),C2H5O2(43),H2CC(44),C2H4O(45),C2H5O(46),cC2H4O(47),C2H5O2(48),C2H3O2(49),CHCHO(50),OCHCHO(51),HCCOH(52),CHCHOH(53),C2(54),C2O(55),C2H6O(56),C2H5O(57),C2H5O3(58),cC2H3O(59),HOCHO(60),C2H3O3(61),OCHCO(62),C2H6O2(63),C2H5O2(64),C2H4O2(65),HOCH2O(66),OCHO(67),C2H4O3(68),C2H3O2(69),N2,Ne,C7H16(1),O2(2),CH4(3),C4H9(99),C5H11(101),C3H7(100),S(160),S(162),S(161),S(177),C7H15(105),S(194),S(267),S(266),S(268),C7H15(102),S(310),C7H15(103),S(829),S(830),S(859),S(882),S(752),S(926),C7H15(106),S(900),S(992),S(1016),S(1066),S(847),S(779),S(1065),S(1245),S(1588),S(184),S(1604),S(848),S(1887),S(1607)
0.0,0.002802032255116902,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.002802032255116902,4.1622814590212637e-24,8.7408543553981545e-32,8.9480160661743517e-33,1.325608769310835e-31,9.5138188199987863e-41,0.0,0.0,8.516947557651184e-22,2.6559522523967198e-33,2.7281473621395157e-37,3.8374767605491481e-44,4.8002055513467672e-48,3.2236769851150548e-57,1.2626058385170767e-46,4.5896168913329367e-37,6.6361592217812788e-22,4.3229270115604043e-33,-5.3038770408707288e-78,1.6532614149334727e-75,5.9692987398086604e-50,4.2021306104916082e-48,1.0032621538443818e-31,1.1363407107308734e-45,5.3535742558718141e-35,1.3465892570495754e-58,5.8720522571323267e-48,2.0254944158934803e-28,6.1373507727976457e-32,1.2756314277648402e-20,1.3170524540510998e-43,3.6086494626566736e-59,2.0696961277113691e-55,1.610539627169598e-43,3.783858259645882e-71,1.1938110008248126e-53,1.3842176317191034e-29,2.2462793723993027e-40,1.8963896604944444e-41,5.6556250253322954e-42,7.8436562960558953e-28,3.6118968469916458e-53,1.336021238790242e-58,3.4163153957587609e-51,5.3649276807949172e-47,3.2204069455428749e-40,4.1507772103040602e-55,1.0173062644518138e-56,3.7942347308904653e-56,8.5141495331492611e-84,8.9260240682438218e-76,-1.6028055816032257e-107,-2.3944092368112672e-101,1.0393159124109671e-52,1.7934323176297226e-49,2.131131606993349e-58,3.9407382336884879e-67,1.0906211660722862e-55,1.6627709083055329e-66,3.0602192502431317e-71,9.2395589725878495e-38,1.8438681659598067e-39,9.0454449883170213e-50,3.2239206670266263e-51,3.24155935665934e-74,-9.4906043881710771e-86,-7.7420011430657927e-78,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.5679498081304272e-20,1.2756314518437125e-20,1.5679498271245213e-20,5.931305742271227e-28,4.2572318416156846e-28,4.8255117109618191e-28,3.4531743353723715e-36,8.1913540607828011e-23,8.9867761032833474e-37,2.399287298793221e-29,1.0114514941241742e-42,2.6322702280434781e-43,6.7452628199087966e-23,6.5729207102828314e-39,3.3726314092033221e-23,1.9757202281462551e-29,9.8786009279843026e-30,2.7579187043863484e-37,8.0780773216995404e-44,3.6743860052329364e-51,1.4587692663085126e-56,9.1486030150877759e-24,6.8400231461589968e-52,1.2576061857921109e-51,3.4607716043367411e-31,9.493567087003346e-41,5.7856279457726649e-38,5.4125458061279101e-39,2.8367212322323142e-44,8.3823087512085835e-50,2.4552188985615303e-56,1.1090315984811623e-36,3.4272542544464729e-64,6.7220917157190341e-38,1.9689332343965317e-44,9.2309215270165756e-65
3.0000000000000002e-15,0.002802032255116902,1.3676069007220054e-23,3.025712285236652e-31,5.8801250596674192e-32,5.4146865595174447e-31,8.9701722793878916e-40,0.0,0.0,2.7984257371597942e-21,1.7453400816964251e-32,1.7927769521910883e-36,3.6181841342632752e-43,4.5259093323323512e-47,3.03945826561396e-56,8.2971231422218561e-46,3.0160241021145171e-36,2.1804525094690691e-21,2.8407807174494613e-32,3.1368797750807058e-76,2.031436994989161e-74,5.6292340396270176e-49,3.9620077565882411e-47,3.2964087095651344e-31,1.0714069848753885e-44,3.5180632188595353e-34,1.6627958399139572e-57,5.5365058220025371e-47,1.3310391646520077e-27,4.0331161161412404e-31,4.1913601521879416e-20,1.241792203547407e-42,5.4644358290112858e-58,2.5428053673147773e-54,1.9786227559500615e-42,4.6540638642245461e-70,1.1255937643090372e-52,9.0962876197291548e-29,2.1179209121011627e-39,1.7880046428101276e-40,5.3339764419158464e-41,5.1544025618561934e-27,2.3741562213451488e-52,2.0234751008754744e-57,4.1981116211070378e-50,6.5911964610998106e-46,3.0363834490729111e-39,5.0995258655989227e-54,1.2497490740359728e-55,4.6614880998586841e-55,1.5326157012415867e-82,1.3517270007346891e-74,8.5632845563456696e-106,1.3955068633069769e-94,1.2776841053723664e-51,2.2038447847200056e-48,3.2277186276356635e-57,5.9673800303591942e-66,1.6514900636214862e-54,2.9929459312552355e-65,4.6326139950307339e-70,8.7115841259056778e-37,1.7384582250562929e-38,1.1112974590043922e-48,3.9607518224802944e-50,4.002325652851536e-73,4.7995572820536241e-84,6.8876052091668431e-76,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,5.1518348733001434e-20,4.1913603104205174e-20,5.1518349981184774e-20,3.8977151096398266e-27,2.7976094523629342e-27,3.1710504778601969e-27,3.2558496325789424e-35,2.691444116164624e-22,8.4732450547382401e-36,1.5766741640949913e-28,1.2426402117748667e-41,3.2339315343578354e-42,2.2162999932461772e-22,6.1973242936614257e-38,1.1081499961295575e-22,1.2983301684715178e-28,6.4916506417677326e-29,2.6003225154031129e-36,9.9244920016381541e-43,5.5640648521001243e-50,2.6257825416946059e-55,3.0059694705291384e-23,9.0919248095458234e-51,2.0309567240163303e-50,2.2742212987774129e-30,8.9510775126740152e-40,5.4550191505979278e-37,5.1032567441723857e-38,2.6746248031218621e-43,1.0298270010501678e-48,3.717904224427993e-55,1.045658044520878e-35,6.1690591356785424e-63,6.3379706044600028e-37,2.4189745319913226e-43,1.6615664522406718e-63
7e-15,0.002802032255116902,3.0325205220796949e-23,7.698325829920769e-31,3.1957209062196971e-31,1.8821655896636455e-30,1.4488190715500317e-38,0.0,0.0,6.2052056101807618e-21,9.4855449874431695e-32,9.7431549583278523e-36,5.8437935980412332e-42,7.3100476891436729e-46,4.9090582147221173e-55,4.5093027331125446e-45,1.6391086820599085e-35,4.8349176807206091e-21,1.5439029523308947e-31,6.0521302914562284e-75,1.027861913308746e-72,9.0947096871882077e-48,6.399226475747609e-46,7.3092730529873123e-31,1.7304850449352636e-43,1.9119913622900167e-33,8.9211313189444965e-56,8.9422869977138068e-46,7.2339076924375693e-27,2.1919105578742128e-30,9.293883924760013e-20,2.005680926490827e-41,9.0223314447001478e-56,1.2864040517648904e-52,1.0005708524905093e-40,2.4386824017343934e-68,1.8180050513066805e-51,4.943635727342725e-28,3.4207636403098964e-38,2.8876039274208243e-39,8.6138276167143528e-40,2.801305220339482e-26,1.2905842121419815e-51,3.3416236139523583e-55,2.1232750944325988e-48,3.333916687755221e-44,4.9042157390818e-38,2.579408778561807e-52,6.3162889429489634e-54,2.3578439992716989e-53,8.5396144309563088e-80,2.234163175797016e-72,3.1276252240622213e-103,1.3061713651412605e-92,6.4607620606200723e-50,1.1146362430468415e-46,5.3303577617123104e-55,9.8546025557978285e-64,2.7269090741303984e-52,1.6658942684025967e-62,7.6156545755067686e-68,1.4070525581341396e-35,2.8071919349798119e-37,5.6210934753252588e-47,2.0030089419558562e-48,2.2703680821436445e-71,7.4529418698508162e-81,1.8412838224426401e-73,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,1.1423632494603552e-19,9.2938847847194316e-20,1.1423633172963907e-19,2.1183231022922237e-26,1.5204397657259773e-26,1.723396733394385e-26,5.2586837301149983e-34,5.9679796989358487e-22,1.36855599982516e-34,8.5688690711429257e-28,6.2854357243453797e-40,1.6357649009233248e-40,4.9144001658157913e-22,1.0009603665796368e-36,2.4572000802257697e-22,7.0561327715346516e-28,3.5280660617853819e-28,4.1999024968116466e-35,5.0199283581158079e-41,9.1889727606926551e-48,1.4618726916202908e-52,6.6654099758449992e-23,5.7877977620196933e-49,4.2768859630186387e-48,1.2359896905331136e-29,1.4457344576780303e-38,8.8106604761048308e-36,8.2425220277279762e-37,4.3199528321285055e-42,5.209038866548854e-47,6.1401864878076576e-53,1.6888914409351913e-34,3.434613930055691e-60,1.0236759364382561e-35,1.2235475219086117e-41,9.2507628692039767e-61
1.5e-14,0.002802032255116902,6.3623504063348684e-23,2.0037702192977833e-30,1.4137874920149077e-30,6.6265338113596032e-30,1.3474294138544042e-37,0.0,0.0,1.3018767519757285e-20,4.1964058852547689e-31,4.3102262183061485e-35,5.4346596902300312e-41,6.7985083104670241e-45,4.5653303389943863e-54,1.9949130874553606e-44,7.2511606954598499e-35,1.0143851796957368e-20,6.8302295162663036e-31,1.0852198654724195e-73,1.9770247041078436e-71,8.4590254872458179e-47,5.9513768175568711e-45,1.5334532717449744e-30,1.6093841860845905e-42,8.4586533325097637e-33,1.8626480902313137e-54,8.31648188499871e-45,3.2002801670486546e-26,9.6970095535299169e-30,1.9498926535576091e-19,1.8653185094456186e-40,3.5384015360447435e-54,2.4747224456264668e-51,1.9236588283248173e-39,5.2493270460425334e-67,1.6907801751156516e-50,2.1870652919479928e-27,3.1813754876547246e-37,2.6850962759484731e-38,8.0111982756954507e-39,1.2392970474748527e-25,5.7099140356128226e-51,1.3110165443120692e-53,4.083696789688293e-47,6.4119961005613603e-43,4.5610074114788394e-37,4.9608776124113429e-51,1.2133172541922155e-52,4.5347523705056625e-52,6.7816713601201178e-78,8.7752611957175489e-71,2.3751124667399551e-101,5.8090754411199328e-91,1.2425882772390754e-48,2.1437798847179997e-45,2.0912640851284352e-53,3.865863264049135e-62,1.0695222539089083e-50,1.3209808792477497e-60,2.9679873199353581e-66,1.3085848990083229e-34,2.6097473169430572e-36,1.0810836862305446e-45,3.8511785961285905e-47,5.9890366464330944e-70,1.1454530011489844e-78,2.2914210174127068e-71,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,2.3967223635929368e-19,1.949893034003477e-19,2.3967226636994349e-19,9.3714590024319503e-26,6.7264243915504713e-26,7.624305197785604e-26,4.890664700388514e-33,1.2521035486084801e-21,1.2727806273355243e-33,3.7908586705045293e-27,1.2088520377676096e-38,3.1460002937888507e-39,1.0310587897282931e-21,9.3090986975568476e-36,5.1552939367759915e-22,3.121626194457798e-27,1.5608127959209368e-27,3.9059700929786484e-34,9.654596935509923e-40,3.6049767668528287e-46,1.1595891912608172e-50,1.3984289202820831e-22,1.1854595563729646e-47,1.786436960447291e-46,5.468017319726364e-29,1.3445599159551842e-37,8.1940474874717782e-35,7.6656843219122448e-36,4.0176788118912287e-41,1.0018445900780074e-45,2.4089597139648432e-51,1.570693818822601e-33,2.7244836279354975e-58,9.5203440351290638e-35,2.3531951182471734e-40,7.3381235544372836e-59
3.1e-14,0.002802032255116902,1.3022020740980921e-22,5.6693070809765154e-30,5.8929162987328695e-30,2.4367180764279273e-29,1.1372290737167047e-36,0.0,0.0,2.6645899993040711e-20,1.749135459765895e-30,1.7964585493835259e-34,4.5865489255941348e-40,5.7379744922786106e-44,3.8528232485731965e-53,8.3151241691412046e-44,3.0222010084434637e-34,2.0761735124352349e-20,2.8469605604842863e-30,1.8567531631737582e-72,3.3615949804129078e-70,7.1398891144607521e-46,5.0229128617994788e-44,3.1383176176452613e-30,1.3583186959194053e-41,3.5257164388701529e-32,3.6588957512259347e-53,7.0190760747406157e-44,1.3339318443673171e-25,4.0418796763685634e-29,3.9908992019917025e-19,1.5743218619608539e-39,1.207071086976461e-52,4.2097048989938927e-50,3.2682994766217329e-38,1.2717291372364042e-65,1.4270181120305164e-49,9.1160747023693385e-27,2.6850776654923159e-36,2.2655052009961483e-37,6.7618639061601778e-38,5.1656021216882823e-25,2.3800613361275061e-50,4.4757490419757711e-52,6.9436359728411359e-46,1.0901841125350532e-41,3.8494742109775249e-36,8.4346056254558539e-50,2.0579870315283805e-51,7.7101029787822985e-51,4.6502071794591984e-76,3.002540349531507e-69,1.6551155618972443e-99,2.0686050825159466e-89,2.1128141196561466e-47,3.6451320690673736e-44,7.1395405527794971e-52,1.3194974443206981e-60,3.6490240073258554e-49,9.0310836023570776e-59,1.0000291060018063e-64,1.10444291594904e-33,2.2009765602986676e-35,1.8380863606561814e-44,6.5440679455848175e-46,2.1169195698242429e-68,1.6006236266270804e-76,2.9327906591411625e-69,0.88168480800000004,0.0,0.0094599999999999997,0.10885,0.001,4.905438951346962e-19,3.9909007877546706e-19,4.9054402022419391e-19,3.9061848422745913e-25,2.8036895338418707e-25,3.1779411739029657e-25,4.127696815578955e-32,2.5627085547312091e-21,1.0742212656298406e-32,1.5800883645894164e-26,2.0553143980096162e-37,5.3488954170129768e-38,2.1102912905908078e-21,7.8568302741855196e-35,1.0551456403497764e-21,1.3011423315239782e-26,6.5057091146069179e-27,3.2966025679014293e-33,1.6414854320647279e-38,1.2306099192995555e-44,7.9329968744501499e-49,2.8622040522103828e-22,2.0792207029358969e-46,6.2952097058719085e-45,2.2791636700968903e-28,1.1348059785132162e-36,6.915709704040312e-34,6.4697989878131417e-35,3.3909834483995453e-40,1.7033949835903364e-44,8.2237945129499716e-50,1.3256515955354637e-32,1.8639771394788477e-56,8.0350982445707637e-34,4.0009373505984219e-39,5.0204631298002814e-57
6.300000000000001e-14,0.002802032255116902,2.634140367462799e-22,1.7791042197268922e-29,2.4013991045431673e-29,9.2856221447277008e-29,9.3076124946902038e-36,0.0,0.0,5.3900199556065352e-20,7.1278270323447838e-30,7.3197035634422719e-34,3.753358186029541e-39,4.6962913691443659e-43,3.1528223937801809e-52,3.3884420402711092e-43,1.2313939282515837e-33,4.1997562158721972e-20,1.1601537563232623e-29,3.0675342459525061e-71,5.5154404007987856e-69,5.8441011834233981e-45,4.1109153061934997e-43,6.3472961371204695e-30,1.1117113801719235e-40,1.4367509142869277e-31,7.6033214346809641e-52,5.7446958578614541e-43,5.4358406617211183e-25,1.6470860651005124e-28,8.072904403960244e-19,1.2884900304633939e-38,3.9597150131103038e-51,6.9134183111841624e-49,5.3543027573649111e-37,4.572860315973957e-64,1.1679402937135481e-48,3.7148554750587951e-26,2.1975925360871489e-35,1.853031825759767e-36,5.5349216582057812e-37,2.1050083506606293e-24,9.6990123805101284e-50,1.4704854990006554e-50,1.1393231731118385e-44,1.7885658139624564e-40,3.1505702656142769e-35,1.3837868445639654e-48,3.3603256988914276e-50,1.2649264013317477e-49,3.0709767493731691e-74,9.9087008260045927e-68,1.0994193725359433e-97,6.9725915321341265e-88,3.4667469683481863e-46,5.9809820253017756e-43,2.3457025458570966e-50,4.3332256037496763e-59,1.1973736160405467e-47,5.92881406619679e-57,3.2019648946319241e-63,9.0392519543786273e-33,1.798697746481999e-34,3.0155809302997557e-43,1.0723808207353422e-44,1.0668243747066389e-66,2.1251894259946506e-74,3.7770424744059587e-67,0.88168480800000004,0.0,0.0094599999999999979,0.10885,0.001,9.9228655648205655e-19,8.0729108660185207e-19,9.9228706622772847e-19,1.5917899174453388e-24,1.1425179405990719e-24,1.2950269718962093e-24,3.3782678429284918e-31,5.1838939621510968e-21,8.7918568576273589e-32,6.4388861963075232e-26,3.3719442308099971e-36,8.7753952077812956e-37,4.2687361108955453e-21,6.4303310468856592e-34,2.134368035294771e-21,5.3021796301397834e-26,2.6510877337873015e-26,2.6980403995569361e-32,2.692989708213319e-37,4.0423581140502963e-43,5.2148755727534822e-47,5.7897514621634443e-22,3.4651128284353454e-45,2.1016573982031915e-43,9.287708468506666e-28,9.2877604098458045e-36,5.6600439890636338e-33,5.295134402421266e-34,2.7754474540149901e-39,2.7947130844791789e-43,2.7016937799264178e-48,1.0849547469641983e-31,1.2254447482006591e-54,6.5761964998340808e-33,6.5638895187499049e-38,3.300666906989673e-55
1.2700000000000001e-13,0.002802032255116902,5.2980338597839288e-22,6.1197278293820687e-29,9.6907612701695022e-29,3.6186612782683494e-28,7.5250198893361055e-35,0.0,0.0,1.0840893714743572e-19,2.876404513255095e-29,2.9530552843866848e-33,3.033728505460015e-38,3.7969644702134188e-42,2.548174122717913e-51,1.367376472217404e-42,4.9678655660523019e-33,8.446945774493068e-20,4.6817599531298956e-29,4.9845252978857708e-70,8.9270812366902392e-68,4.7255019484490404e-44,3.3234792616951438e-42,1.276225389125917e-29,8.987966865321877e-40,5.797958169319289e-31,1.7412256621518066e-50,4.6444029450568162e-42,2.1936041901594734e-24,6.6467219491656404e-28,1.6236883228433498e-18,1.0417051305711388e-37,1.2786163131200009e-49,1.1211015223232341e-47,8.6405096413549425e-36,2.3459642318028777e-62,9.4426006174818242e-48,1.4991165847047268e-25,1.7767097073925333e-34,1.4962642889945358e-35,4.4760010615050388e-36,8.4946396368298809e-24,3.9140121639417591e-49,4.7627998322522846e-49,1.844328424607368e-43,2.8945856444196686e-39,2.5471431236852913e-34,2.2394911738703024e-47,5.3871568295327609e-49,2.0471361209738786e-48,2.0073178313965275e-72,3.2378545099418323e-66,7.1602690117630939e-96,2.309217473117627e-86,5.6119613416963402e-45,9.6819383311546976e-42,7.5978335407298161e-49,1.4022594665392455e-57,3.8685512679698265e-46,3.829864361632436e-55,9.8684671811436765e-62,7.3080177579982173e-32,1.4498922329092935e-33,4.8803668069986188e-42,1.7315073231808781e-43,6.3694068232575002e-65,2.7611951997149583e-72,4.8374454848337178e-65,0.88168480800000004,0.0,0.0094599999999999962,0.10885,0.001,1.995769254371085e-18,1.6236909305663777e-18,1.9957713114186663e-18,6.4235788832428555e-24,4.6105701919153175e-24,5.226008689116287e-24,2.7312114623890811e-30,1.0426166360909934e-20,7.1079277306403384e-31,2.5983335274232583e-25,5.4570250401378836e-35,1.4201792608881304e-35,8.5855450282507054e-21,5.198690015629538e-33,4.2927724328041555e-21,2.1396320612567817e-25,1.0698143480136137e-25,2.1812268432970254e-31,4.3581416765151437e-36,1.3088050087610061e-41,3.3776471997596942e-45,1.1644834866166838e-21,5.6521937626893025e-44,6.861122264253972e-42,3.7480043937450578e-27,7.508936764026339e-35,4.5758795294418863e-32,4.2809293245188565e-33,2.2440696381805856e-38,4.5232674295267657e-42,8.7493392422686636e-47,8.7713158243735544e-31,7.9388394725822769e-53,5.3165589601348865e-32,1.0622619209989578e-36,2.1383289254496147e-53
2.55e-13,0.002802032255116902,1.0625888465590897e-21,2.2466177626303787e-28,3.8930241626246611e-28,1.428019943760427e-27,6.0506631325896424e-34,0.0,0.0,2.174269661873807e-19,1.1555204222877747e-28,1.185686597537055e-32,2.4380733461280801e-37,3.0532058133800378e-41,2.0475992020730212e-50,5.4929574312788128e-42,1.9946084536651656e-32,1.6941421498043234e-19,1.8807816215889854e-28,8.0397728341419066e-69,1.4364339195999708e-66,3.8006639698447498e-43,2.6721351409183734e-41,2.5580183485694109e-29,7.2269797698029364e-39,2.3291867672705314e-30,4.399525070285738e-49,3.7343253181288073e-41,8.8121810459470754e-24,2.6701274683276238e-27,3.2564714560602635e-18,8.375849000655875e-37,4.0915543426038546e-48,1.8107859338400497e-46,1.3821212532654549e-34,1.4055423262092527e-60,7.5925932581600523e-47,6.0223283009544637e-25,1.4286032591413288e-33,1.2001051971626947e-34,3.6008406413245516e-35,3.4124734363544015e-23,1.5723486846482663e-48,1.5333832697740505e-47,2.9685482832970601e-42,4.6566411340267328e-38,2.0480391809805088e-33,3.6027413172926457e-46,8.5064990200194171e-48,3.2933128681890375e-47,1.3152083776967325e-70,1.0607715882703603e-64,4.6221439717976237e-94,7.6588196816999764e-85,9.0328042369331339e-44,1.5583504897258111e-40,2.446292782186345e-47,4.506592802263023e-56,1.2392979707938795e-44,2.4514557026652153e-53,2.896056161723345e-60,5.8761158914493855e-31,1.1589329327690407e-32,7.8512503711883289e-41,2.7727026673647785e-42,3.9938269002236134e-63,3.5453255100099275e-70,6.1326428657091075e-63,0.88168480800000004,0.0,0.0094599999999999927,0.10885,0.001,4.0027241509910558e-18,3.2564819317998134e-18,4.0027324145659008e-18,2.5804873373745084e-23,1.8521659832727215e-23,2.0993981064639771e-23,2.1960103194958836e-29,2.0910317519872924e-20,5.7151067758268688e-30,1.0437710379714846e-24,8.7787055830950265e-34,2.2846492805745308e-34,1.7218839989357329e-20,4.1799555088484645e-32,8.6094196680345886e-21,8.5950907336082333e-25,4.2975318383378706e-25,1.7537277034911927e-30,7.0106463195701112e-35,4.2105660990652885e-40,2.1734735112367025e-43,2.3354956008254261e-21,9.1284456386954266e-43,2.2169061193741835e-40,1.5056539582092715e-26,6.0376771663597263e-34,3.6790923619798484e-31,3.4420466636584826e-32,1.8046770170785612e-37,7.2778938530620208e-41,2.8160390689940715e-45,7.0522476688755101e-30,5.1107299345386994e-51,4.2746336228404697e-31,1.7088176731599715e-35,1.3766371145563222e-51
5.11e-13,0.002802032255116902,2.1281868152246623e-21,8.5820657358676054e-28,1.560536303236275e-27,5.6729172113800928e-27,4.852649650449953e-33,0.0,0.0,4.3546523966344764e-19,4.6319204858339531e-28,4.7478289106324891e-32,1.953315078419082e-36,2.4489520155649464e-40,1.6400689108842057e-49,2.2017633475642787e-41,7.9865971435831612e-32,3.3930759364942418e-19,7.5391950105797208e-28,1.2951791196185097e-67,2.3053038833909523e-65,3.0497539170869148e-42,2.1427644296096143e-40,5.1168188654526188e-29,5.7960577654127958e-38,9.3366467733737964e-30,1.1916107042457627e-47,2.9947583088149666e-40,3.5323346516443804e-23,1.0703088170147347e-26,6.5219871966455029e-18,6.717103288889028e-36,1.2982421406727663e-46,2.9280832101346883e-45,2.1922694631044947e-33,8.7839118995110664e-59,6.0893688158787737e-46,2.4140741472953473e-24,1.1457426311951255e-32,9.5772380018917156e-34,2.8907844768187692e-34,1.3678738939025033e-22,6.3027207239252453e-48,4.9244600852063958e-46,4.767035055438917e-41,7.4703115740444112e-37,1.6424539413887127e-32,5.7795462558020225e-45,1.3159890503639412e-46,5.2832174820782601e-46,8.7377843022370866e-69,3.5244504950152548e-63,2.9715476154458938e-92,2.586688543099899e-83,1.4505436204535571e-42,2.502437935849301e-39,7.8573473935895617e-46,1.4421863778647349e-54,3.9407642532614596e-43,1.5558930190791213e-51,7.8987202211524701e-59,4.7125609859921049e-30,9.186095263493066e-32,1.2595191203252304e-39,4.407311870713349e-41,2.5226701550869331e-61,4.5082884046095873e-68,7.6501767266433786e-61,0.88168480800000004,0.0,0.0094599999999999858,0.10885,0.0009999999999999998,8.0165919481161285e-18,6.5220291879431071e-18,8.0166250721608428e-18,1.0343778589065707e-22,7.4243523918892451e-23,8.4153520852060062e-23,1.7610739502168596e-28,4.1877045489705758e-20,4.5832353077333538e-29,4.1836377863474566e-24,1.4082273483199745e-32,3.6649284778376273e-33,3.4484138572445763e-20,3.3520635899707809e-31,1.7242067977205186e-20,3.4450961546453606e-24,1.722537229029491e-24,1.406273973779445e-29,1.1245135756809915e-33,1.3502138728909528e-38,1.3940198664659316e-41,4.6775015610287765e-21,1.4671237151569556e-41,7.1271694084263511e-39,6.035364028551118e-26,4.8421460282662932e-33,2.9502446068071506e-30,2.7603189119554156e-31,1.4478074067738989e-36,1.1679001666343084e-39,9.0384984213776625e-44,5.6550739819797002e-29,3.2807188576457032e-49,3.4278399879907254e-30,2.7410513418944228e-34,8.8377895473168168e-50
