Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9),CH3O2(17),OH(11),CH2O(24),H2O(33),H2O2(13),CH3OOH(15),CH3O(19),H(4),C2H6O2(21),HCO(39),CO(40),CHO3(66),acetyl(76),CH3OH(35),CH2OH(41),O(12),CHO3(77),CO2(174),CHO3(176),HOCO(82)
0.0,0.0022915506178575983,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0022915506178575983,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.446496460401949e-23,2.4464944552605998e-23,1.766221079483996e-30,2.797827337428861e-44,1.4467483285364854e-41,3.9299833108058306e-45,1.4487382093118884e-49,7.9223024576481071e-37,2.5085220894972747e-44,2.1358098624652408e-47,2.1817632989157982e-29,-2.2816320162707212e-58,2.8260518367121185e-61,2.283609964239087e-67,9.08709573158751e-68,-3.4651478223524796e-98,2.8213969239442621e-57,5.3578138194679263e-57,1.4463574678582371e-41,1.4046441515014744e-81,6.2433268252951123e-82,3.9160530579611382e-92,8.0908180457815593e-115
3.0000000000000002e-15,0.0022915506178575983,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,8.0384877895626346e-23,8.0384817815875635e-23,1.1606595298823108e-29,2.5394958154779932e-43,9.5093106934180682e-41,4.6899689149821632e-44,1.3661641977944782e-48,5.2060844721734859e-36,2.3651819092224207e-43,2.0137635349804391e-46,7.1686335539911587e-29,1.3494223008726691e-56,4.1800001165393171e-60,4.0301368577890692e-66,1.6036994058751784e-66,1.665564524412888e-96,3.4662875839232646e-56,6.582455244576919e-56,9.5046408795361832e-41,2.7567635476899747e-80,1.4037000609995002e-80,8.7853393335495336e-91,2.0552213480771684e-113
7e-15,0.0022915506178575983,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.7824469190389452e-22,1.7824459602760242e-22,6.307930931990525e-29,3.0811111208303502e-42,5.183335275959402e-40,1.7780594532808104e-42,2.2128022270380983e-47,2.8293937348936183e-35,3.8201223481071364e-42,3.2525324899212391e-45,1.5895554480671409e-28,2.6035737130927568e-55,5.1561942084115093e-58,1.670628932947721e-63,6.6478799853169544e-64,7.9647795031759952e-93,1.7532962286391957e-54,3.3294871840516667e-54,5.1655872354765372e-40,2.1383379971323525e-77,3.8031759752139935e-77,2.2686663960259028e-87,1.987208467118346e-109
1.5e-14,0.0022915506178575983,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.7396420688244979e-22,3.7396415245437205e-22,2.7906276921474052e-28,2.0441977166976099e-41,2.3099905521636177e-39,2.474920653887996e-41,2.0718144227767441e-46,1.2517237883292277e-34,3.5527841118664453e-41,3.0249151665972732e-44,3.3349059657282562e-28,4.6687258851464957e-54,1.4753229940481561e-56,9.7042192777977328e-62,3.861568744214065e-62,1.8086280760495185e-90,3.3720510150807737e-53,6.4034537160387406e-53,2.2852716228794309e-39,1.5187289618971304e-75,5.4383582456275376e-75,3.0438851574536885e-85,5.7398125051271489e-107
3.1e-14,0.0022915506178575983,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,7.6540278468816101e-22,7.6540326532117508e-22,1.163181291206183e-27,1.0982880870591882e-40,9.7968660654837343e-39,2.7158381539942102e-40,1.7768359753432711e-45,5.2174020472952001e-34,2.9985421757181526e-40,2.5530217411775146e-43,6.8254723355518878e-28,7.9885281853250823e-53,3.2722123611806629e-55,4.3276548976274776e-60,1.7220897633807987e-60,3.305169461431618e-88,5.7332567362425748e-52,1.0887238866533018e-51,9.5255378177005846e-39,7.6030186279748446e-74,5.4613763902080571e-73,2.7208935265622415e-83,1.1706978956261439e-104
6.300000000000001e-14,0.0022915506178575983,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.5482781316981875e-21,1.5482814911078319e-21,4.7400205423346235e-27,5.1867509221497564e-40,4.1419013236198903e-38,2.6029750967364201e-39,1.5049150090233324e-44,2.1261196282914405e-33,2.4541399934415441e-39,2.0895059859069463e-42,1.3806066454810661e-27,1.3199241287687348e-51,6.3167594987339685e-54,1.6766523839835329e-58,6.6718486186978765e-59,5.1851289244856221e-86,9.4060606317390965e-51,1.7861445100972132e-50,3.8818130325075351e-38,3.1363738635363418e-72,4.515565854777589e-71,1.843800867455109e-81,1.9914520587917857e-102
1.2700000000000001e-13,0.0022915506178575983,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.1140215913462694e-21,3.1140379428933154e-21,1.9128074260037646e-26,2.2657933554966553e-39,1.7961221280214216e-37,2.2971992059019813e-38,1.3015907284894746e-43,8.5798535629239541e-33,1.984112722134085e-38,1.6893144578534334e-41,2.776510054457008e-27,2.1449245747959392e-50,1.1203143172967637e-52,5.9614407774289059e-57,2.3722167342671698e-57,7.420330175534675e-84,1.5222706203425418e-49,2.8905840683894712e-49,1.5665714404855462e-37,1.152255997892506e-70,3.3229273954176241e-69,9.9652774412979294e-80,3.0905515587149044e-100
2.55e-13,0.0022915506178575983,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,6.2454795734234539e-21,6.2455508473126952e-21,7.6841413654638361e-26,9.4815504472428632e-39,8.2270535439854015e-37,1.9344637491983827e-37,1.1846703259597606e-42,3.4467221785692733e-32,1.5953534419330781e-37,1.3583159857821246e-40,5.5674554790600674e-27,3.4580961013509722e-49,1.8923336488159819e-51,2.016878764200476e-55,8.0256992489512737e-56,1.0073048571335265e-81,2.4489699616180319e-48,4.6499366946565224e-48,6.2939519180057274e-37,3.9639801649092049e-69,2.2884611276311182e-67,4.4794811400374691e-78,4.6922962146529357e-98
5.11e-13,0.0022915506178575983,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.2508279790853086e-20,1.2508576659542981e-20,3.0801486909987988e-25,3.8799704083106429e-38,4.1110262442807649e-36,1.5886518641708425e-36,1.1723372701604936e-41,1.3816155967298005e-31,1.279449565032788e-36,1.0893477771006974e-39,1.1145902882791345e-26,5.553757824438117e-48,3.1128802193799483e-50,6.6410697507831388e-54,2.6426584878038144e-54,1.3286589939464011e-79,3.9287994142454719e-47,7.4586998600990014e-47,2.5234690053699512e-36,1.3162929015086681e-67,1.52064471943918e-65,1.7554677234760641e-76,7.3883223413547954e-96
