Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9),CH3O2(17),OH(11),CH2O(24),H2O(33),H2O2(13),CH3OOH(15),CH3O(19)
1.6383e-11,0.0025151084869230915,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.2453707226847377e-21,2.2466903577498129e-21,1.3196352404896121e-24,5.3621647572644885e-39,5.0118154551802379e-36,5.0120594492431649e-36,2.4467810330190717e-40,8.7709859581941676e-32,1.6167259177239932e-35,5.1927506646179964e-45
3.2767e-11,0.0025151084869230915,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,4.4882026123545732e-21,4.4934786675210254e-21,5.2760558681134985e-24,2.1448389973504151e-38,4.009668339979601e-35,4.0100593171593293e-35,3.9152858351229281e-39,3.5085091242479529e-31,1.2928222787319538e-34,8.3049609348740735e-44
6.5535e-11,0.0025151084869230915,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,8.9659719530221934e-21,8.9870552865371585e-21,2.1083336321495818e-23,8.5728295612168534e-38,3.2053276833814403e-34,3.2059532450230447e-34,6.2600940507996602e-38,1.403426595994173e-30,1.033306364834982e-33,1.3276129619395002e-42
9.999999999999999e-11,0.0025151084869230915,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.3659089308049883e-20,1.3713346733623142e-20,5.4257432806985229e-23,2.2064022813496868e-37,1.4978988901629681e-33,1.4984541236718655e-33,5.5544868563934741e-37,3.6176123030336453e-30,4.829066628825574e-33,1.178021192054663e-41
1.31071e-10,0.0025151084869230915,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.789004388045857e-20,1.7974208522464249e-20,8.4164653230622035e-23,3.4226647666002097e-37,2.5593218633595191e-33,2.5603212569664383e-33,9.9976240358439928e-37,5.6137522741180338e-30,8.2510328891607469e-33,2.1203473265182701e-41
2.62143e-10,0.0025151084869230915,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.5613202504954151e-20,3.5948514985897732e-20,3.3531252583339004e-22,1.3636700112110454e-36,2.0391578870105763e-32,2.0407509314866572e-32,1.5933563549846625e-35,2.2455100869909552e-29,6.5761971556732687e-32,3.3803024579168898e-40
5.24287e-10,0.0025151084869230915,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,7.0566534961595676e-20,7.1897127879081905e-20,1.3305930969655963e-21,5.4114945132815772e-36,1.61801725174325e-31,1.6205462255903608e-31,2.5292500048245991e-34,8.9820586984494729e-29,5.2219381750612054e-31,5.3696479864953229e-39
9.999999999999999e-10,0.0025151084869230915,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.322562524093775e-19,1.3713311441018172e-19,4.8768626682680898e-21,1.9834376230245846e-35,1.1705086185662149e-30,1.1741462828793359e-30,3.6379052022777841e-33,3.3431719405143057e-28,3.7834268300106808e-30,7.7347616674166034e-38
1.0485750000000002e-09,0.0025151084869230915,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.3855538239957331e-19,1.4379435353071909e-19,5.238971848437688e-21,2.1307095032131739e-35,1.273507564036512e-30,1.2774908465134156e-30,3.9835451433813675e-33,3.5928271462428963e-28,4.1164309597746562e-30,8.4697278821308592e-38
2.0971510000000003e-09,0.0025151084869230915,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.6727164908281583e-19,2.8758880429506888e-19,2.0317158076648851e-20,8.2631235861743623e-35,9.8672659932237789e-30,9.9290572446092251e-30,6.1793992932141639e-32,1.4371315892953052e-27,3.1993917105857622e-29,1.3177922589083064e-36
4.194303e-09,0.0025151084869230915,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,4.9860463479108054e-19,5.7517770366806993e-19,7.6573080299833172e-20,3.1142893535876887e-34,7.4211504212967137e-29,7.5142849207662539e-29,9.3137636611947427e-31,5.7485277981944554e-27,2.4212811813741163e-28,1.9981385219753379e-35
8.388607e-09,0.0025151084869230915,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,8.7610069021612345e-19,1.1503554937912784e-18,2.7425484903442484e-19,1.115418734305185e-33,5.2895708445509208e-28,5.4228431895913416e-28,1.3327614973403744e-29,2.2994113910152584e-26,1.7473651583592262e-27,2.8934903813516755e-34
9.999999999999999e-09,0.0025151084869230915,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,9.7604435152991661e-19,1.3713307585719402e-18,3.9528647844261197e-19,1.6076657070387727e-33,1.0896924107024987e-27,1.134063231985401e-27,4.4372015611158959e-29,3.6245140686353891e-26,3.6542106025869494e-27,9.8068288128287548e-34
1.6777215e-08,0.0025151084869230915,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.3963885385846948e-18,2.3007110395465213e-18,9.0432268146670809e-19,3.6779636215231144e-33,3.4480394210679549e-27,3.6229737125728922e-27,1.7493890877018624e-28,9.1976459758158992e-26,1.1674042851642144e-26,3.8883026188567022e-33
3.3554431e-08,0.0025151084869230915,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.9436431466108184e-18,4.6014219930923188e-18,2.657779562584517e-18,1.0809438961238004e-32,1.9708705593594401e-26,2.1731104953660133e-26,2.0224522466856471e-27,3.6790583673013944e-25,7.002248787225071e-26,4.7054918862300587e-32
6.7108863e-08,0.0025151084869230915,0.84210526299999999,0.0,0.0,0.0,0.052631578999999991,0.10526315799999998,2.3349423402975047e-18,9.202843348325228e-18,6.86790385586722e-18,2.7932415547440158e-32,9.5407590250905543e-26,1.1531669246112185e-25,1.9909653888604759e-26,1.4716232580148367e-24,3.7157586247103814e-25,5.0502478252774485e-31
9.999999999999998e-08,0.0025151084869230915,0.84210526299999999,0.0,0.0,0.0,0.052631578999999991,0.10526315799999998,2.4196007980576843e-18,1.3713303960121032e-17,1.1293710195810581e-17,4.5932592280706364e-32,2.370992662743095e-25,3.2766895173470402e-25,9.0572531285203929e-26,3.6354217473599625e-24,1.0558204398422584e-24,2.6391114328588154e-30
1.34217727e-07,0.0025151084869230915,0.84210526299999999,0.0,0.0,0.0,0.052631578999999984,0.10526315799999997,2.5076737642150681e-18,1.8405683851356837e-17,1.5898021475625909e-17,6.4658765638916989e-32,3.8450575721870242e-25,5.4858596155581979e-25,1.6408543683758128e-25,5.8864921798422466e-24,1.767662482570025e-24,4.8592716661573219e-30
2.68435455e-07,0.002515108486923091,0.84210526299999999,0.0,0.0,0.0,0.052631578999999963,0.10526315799999993,2.5565245459692236e-18,3.6811356027687487e-17,3.425487728698297e-17,1.3931785065610718e-31,1.2867075140473342e-24,2.4156845789326126e-24,1.1290232032106785e-24,2.3545961619691998e-23,7.7838350158896375e-24,4.3152495855951611e-29
5.36870911e-07,0.0025151084869230915,0.84210526299999999,0.0,0.0,0.0,0.052631578999999928,0.10526315799999986,2.5774278201078083e-18,7.3622665061453487e-17,7.1045421996381487e-17,2.8894850835763762e-31,3.6129542713417111e-24,1.0160499094609265e-23,6.5479330743911766e-24,9.4183789117511808e-23,3.2739038361781187e-23,3.6436450083583318e-28
9.999999999999997e-07,0.002515108486923091,0.84210526299999999,0.0,0.0,0.0,0.052631578999999859,0.10526315799999972,2.6046286325758909e-18,1.371327376777806e-16,1.3452877682075801e-16,5.4714137316074296e-31,8.0773265964770071e-24,3.7363486626357471e-23,2.9288953820142252e-23,3.3792495926754934e-22,1.2039080553379838e-22,2.6256640715677638e-27
1.0737418230000002e-06,0.002515108486923091,0.84210526299999999,0.0,0.0,0.0,0.052631578999999852,0.1052631579999997,2.6089596874504802e-18,1.4724514185369357e-16,1.4463692685083614e-16,5.8825218435440921e-31,8.7881671841780917e-24,4.1694887825899477e-23,3.2909897454439674e-23,3.7673469645297816e-22,1.3434717591509427e-22,2.9857199537300074e-27
2.1474836470000003e-06,0.002515108486923091,0.84210526299999999,0.0,0.0,0.0,0.052631578999999706,0.10526315799999941,2.6713246764589595e-18,2.9448953033947797e-16,2.9182120012164206e-16,1.1868646753763757e-30,1.9438630819492243e-23,1.6894356979835818e-22,1.495304583793493e-22,1.5069351034325187e-21,5.4434799537008133e-22,2.3990661853389932e-26
4.294967295e-06,0.0025151084869230902,0.84210526299999999,0.0,0.0,0.0,0.052631578999999415,0.10526315799999883,2.796031640671925e-18,5.8897604693844737e-16,5.8619203009617013e-16,2.3840989443601337e-30,4.08373699163686e-23,6.8016747142608745e-22,6.3953173784902295e-22,6.0277109504075115e-21,2.1914289972903573e-21,1.8940648605716994e-25
8.589934591e-06,0.002515108486923089,0.84210526299999999,0.0,0.0,0.0,0.052631578999998825,0.10526315799999765,3.0454489879423754e-18,1.1779400388591627e-15,1.1749427290707027e-15,4.7786042449076275e-30,8.3673304607076323e-23,2.7296123255204078e-21,2.6474977943745662e-21,2.4110608090214333e-20,8.793437480193704e-21,1.4609355279789314e-24
9.999999999999997e-06,0.0025151084869230855,0.84210526299999999,0.0,0.0,0.0,0.052631578999998631,0.10526315799999726,3.1273368231896547e-18,1.3712947721751445e-15,1.3682393086227996e-15,5.5647598879013978e-30,9.7752408858055403e-23,4.0769979618284428e-21,3.9824579446656415e-21,3.5983800304463169e-20,1.313227564718589e-20,3.0021332252411811e-24
