Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9),CH3O2(17),OH(11),CH2O(24)
0.0,0.0016777123324351157,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0016777123324351157,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.690265695535761e-23,1.6902658576204465e-23,1.6208468420190531e-30,1.554338176502291e-44,2.0839410099205269e-45,2.0839410099205269e-45
3.0000000000000002e-15,0.0016777123324351157,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,5.5537296099107257e-23,5.5537306750386113e-23,1.0651278802197475e-29,1.4130167264610898e-43,2.4898794388113317e-44,2.4898794388113317e-44
7e-15,0.0016777123324351157,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.2314788316783487e-22,1.2314794105520394e-22,5.7887369044434381e-29,1.7311115890349989e-42,9.5327705535490387e-43,9.5327705535490387e-43
1.5e-14,0.0016777123324351157,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.5836895357123468e-22,2.5836920966483963e-22,2.5609360490423441e-28,1.1585571991246664e-41,1.3379735575611138e-41,1.3379735575611138e-41
3.1e-14,0.0016777123324351157,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,5.2881067944245128e-22,5.2881174688411102e-22,1.0674416596641444e-27,6.2739835815803843e-41,1.4796678365952371e-40,1.4796678365952371e-40
6.300000000000001e-14,0.0016777123324351157,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.06969247144766e-21,1.0696968213226539e-21,4.3498749936729607e-27,2.9800624930029879e-40,1.4265095430520437e-39,1.4265095430520437e-39
1.2700000000000001e-13,0.0016777123324351157,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.1514494165500405e-21,2.1514669701997395e-21,1.7553649698520117e-26,1.3063601616528233e-39,1.2635920954803834e-38,1.2635920954803834e-38
2.55e-13,0.0016777123324351157,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,4.3149367514495394e-21,4.3150072679539106e-21,7.0516504370544711e-26,5.4769656500793291e-39,1.066277052451268e-37,1.066277052451268e-37
5.11e-13,0.0016777123324351157,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,8.6418052026425007e-21,8.6420878634622528e-21,2.8266081974839196e-25,2.2434153044199458e-38,8.7662562321123499e-37,8.7662562321123499e-37
1e-12,0.0016777123324351157,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.690639424932756e-20,1.6907487907226234e-20,1.0936578986636226e-24,8.773919788638313e-38,6.830316659795935e-36,6.830316659795935e-36
1.023e-12,0.0016777123324351157,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.7295117251523382e-20,1.7296249054478937e-20,1.1318029555451161e-24,9.0810805312498112e-38,7.1103471175494077e-36,7.1103471175494077e-36
2.047e-12,0.0016777123324351157,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.4600042102601209e-20,3.4604571436512306e-20,4.529333911028112e-24,3.6539965014754768e-37,5.7276175849274728e-35,5.7276175849274728e-35
4.095e-12,0.0016777123324351157,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,6.9203096156447616e-20,6.9221216200579044e-20,1.8120044130963473e-23,1.4658109337517229e-36,4.5975943069632541e-34,4.5975943069632541e-34
