Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9),CH3O2(17),OH(11),CH2O(24),H2O(33),H2O2(13),CH3OOH(15),CH3O(19),H(4),C2H6O2(21),HCO(39),CO(40),CHO3(66),acetyl(76),CH3OH(35),CH2OH(41),O(12),CHO3(77)
1e-12,0.0024674767679135788,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.5350890813112273e-18,1.5351355498029903e-18,8.3268207062256389e-23,1.8143994068325477e-34,8.2913408707008587e-32,1.9882851499827512e-32,6.7989852658190562e-37,1.8193490955923114e-28,4.4577709439389684e-33,4.400369036569438e-35,3.6799351386467872e-23,3.471102171005389e-43,1.4126961951283609e-44,6.3193248732339163e-48,2.2255742125614643e-48,5.3505849157323897e-71,7.813747579500366e-42,4.5786467001710114e-41,6.3074644407344488e-32,4.2774995900412303e-58
1.023e-12,0.0024674767679135788,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.5703850556917597e-18,1.5704335830603052e-18,8.6172473713900645e-23,1.8778510077124794e-34,8.5926564094297877e-32,2.0697581672796871e-32,7.0819822674161937e-37,1.8828057284916397e-28,4.6401928224612318e-33,4.5804414067078055e-35,3.764472856303045e-23,3.6237315438141003e-43,1.4748520950502294e-44,6.6069473556701117e-48,2.326870649772708e-48,5.6002123440576587e-71,8.1573162386582327e-42,4.7799651191375277e-41,6.5274874248368143e-32,4.4754330494872493e-58
2.047e-12,0.0024674767679135788,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.1416938413975373e-18,3.1419635111433005e-18,3.4485377734748576e-22,7.5441680105633156e-34,4.2747371395775374e-31,1.6642329151591896e-31,6.9762983200082287e-36,7.5351773544988521e-28,3.7142595278462177e-32,3.6662955659257907e-34,7.5182524455577852e-23,5.8028584353376076e-42,2.3711907919352738e-43,2.1248638877818554e-46,7.4834018619100683e-47,7.1915083769534677e-69,1.3059237739933036e-40,7.6484132955174875e-40,2.6141908347077278e-31,2.8701356708542223e-56
4.095e-12,0.0024674767679135788,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,6.2837939904973017e-18,6.2850237635258103e-18,1.3796398263951748e-21,3.0240196192364361e-33,2.3791227838350558e-30,1.3346832844665656e-30,7.6747043310063922e-35,3.014860989074472e-27,2.9720416450333957e-31,2.9334451147552871e-33,1.4986076846037493e-22,9.2871742393186316e-41,3.7994025922921703e-42,6.8101746566542145e-45,2.3983872976241609e-45,9.1813354187599506e-67,2.0898263023326105e-39,1.2226896233777108e-38,1.0474105129074771e-30,1.8286381738979271e-54
8.191e-12,0.0024674767679135788,0.84210526299999999,0.0,0.0,0.0,0.052631578999999991,0.105263158,1.2565925317307755e-17,1.2571145836398399e-17,5.5181878300053218e-21,1.2107006394370428e-32,1.4866975016165158e-29,1.0689210024528369e-29,9.4873223858807486e-34,1.2061024321445841e-26,2.3775565200136897e-30,2.3463329026849256e-32,2.976446238562954e-22,1.4857376797865812e-39,6.0716394433805298e-41,2.1767903285047936e-43,7.6659130842590876e-44,1.1639014151621844e-64,3.3431916276126739e-38,1.9519723813174778e-37,4.2018698475726121e-30,1.1549698607882278e-52
1e-11,0.0024674767679135788,0.84210526299999999,0.0,0.0,0.0,0.052631578999999984,0.105263158,1.5338604814996604e-17,1.5347415461521855e-17,9.1722399101232572e-21,2.0129253309373121e-32,3.4161319721529994e-29,2.7217494172890185e-29,3.5971677987851372e-33,2.0051858426176106e-26,6.0514937786933567e-30,5.9707951198591771e-32,3.6155330150161839e-22,6.403738714100152e-39,2.6087249550093758e-40,1.701099033038373e-42,5.9903484965681678e-43,3.3109064582943121e-63,1.4410460086772331e-37,8.3855379797234099e-37,7.0063706897617806e-30,1.6769927371977534e-51
1.6383e-11,0.0024674767679135788,0.84210526299999999,0.0,0.0,0.0,0.052631578999999977,0.10526315799999998,2.5121917824254707e-17,2.5143396123303505e-17,2.206544854881467e-20,4.8435500992326198e-32,1.0224081239944243e-28,8.5537028567026927e-29,1.2942089955080236e-32,4.8247266989190619e-26,1.9014866648871514e-29,1.8759596851325865e-31,5.8705307453096965e-22,2.3756751761100432e-38,9.6711704669579944e-40,6.9353001724520377e-42,2.4422212582755019e-42,1.4582657508595345e-62,5.3460971183961966e-37,3.1086173255911937e-36,1.6901964319221956e-29,7.1866817252531014e-51
3.2767e-11,0.0024674767679135788,0.84210526299999999,0.0,0.0,0.0,0.052631578999999949,0.10526315799999995,5.0200868098882158e-17,5.0287920254524151e-17,8.8194781178935652e-20,1.936418860605397e-31,7.5069665162114503e-28,6.8401099471820027e-28,1.8906301990798777e-31,1.9299548305759521e-25,1.5201225330183124e-28,1.4988279871338118e-30,1.1422401646062042e-21,3.7956058340682445e-37,1.5320972706364212e-38,2.1977508104145793e-40,7.7382560696282418e-41,1.7879556289792554e-60,8.5430900793347302e-36,4.9272255114845031e-35,6.8356287833901024e-29,4.3503372706217795e-49
6.5535e-11,0.0024674767679135788,0.84210526299999999,0.0,0.0,0.0,0.052631578999999901,0.1052631579999999,1.0022699545525111e-16,1.0057705532174779e-16,3.5222692523878694e-19,7.7344896280263213e-31,5.7295633592614679e-27,5.4649019703588029e-27,2.8774885640424133e-30,7.7199532915002913e-25,1.2143252943656257e-27,1.1958993524082134e-29,2.1655199586614357e-21,6.054974354313139e-36,2.4025451297336166e-37,6.8950324424858399e-39,2.427117291553798e-39,2.1055813937527513e-58,1.3634076652540608e-34,7.7376611757261448e-34,2.7938531234035575e-28,2.5045921496897121e-47
9.999999999999999e-11,0.0024674767679135788,0.84210526299999999,0.0,0.0,0.0,0.052631578999999852,0.10526315799999984,1.5256822772517493e-16,1.5347073662839094e-16,9.055981295903263e-19,1.9886855372682052e-30,2.6181700298007433e-26,2.5516892333408564e-26,2.489824531496134e-29,1.9899749935669087e-24,5.6695730578504745e-27,5.5717124553803675e-29,3.085271284307252e-21,5.3515934649458771e-35,2.0572447063239471e-36,1.1488289434811357e-37,4.041994126314097e-38,1.2233439618971202e-56,1.2059840279080189e-33,6.6432643053486641e-33,7.4510958495088903e-28,7.0780052392629087e-46
1.31071e-10,0.0024674767679135788,0.84210526299999999,0.0,0.0,0.0,0.052631578999999803,0.1052631579999998,1.9975506735548984e-16,2.0115562192880325e-16,1.4044751552803507e-18,3.0842496053146247e-30,4.4619777965895909e-26,4.359422854609736e-26,4.4750470268038439e-29,3.0880120210758856e-24,9.6860826548108052e-27,9.5166098562928241e-29,3.9144485203188917e-21,9.6303095459859781e-35,3.6953036733222372e-36,2.1223646629849107e-37,7.4671356717114147e-38,2.3072347219508709e-56,2.1702923341438864e-33,1.1934753589909515e-32,1.164970860862158e-27,1.3233196956101355e-45
2.62143e-10,0.0024674767679135788,0.84210526299999999,0.0,0.0,0.0,0.052631578999999602,0.10526315799999959,3.9673750394625471e-16,4.0231363829561623e-16,5.5826832303677647e-18,1.2260032356830128e-29,3.5030695368433119e-25,3.4672923669806619e-25,7.0223454262796757e-28,1.2352133184060097e-23,7.7035122682270452e-26,7.5331867615786458e-28,6.5245192526900739e-21,1.5198321474712064e-33,5.4834764894220392e-35,6.3063766528866918e-36,2.2165271732762436e-36,2.2342281270627555e-54,3.4371125412562415e-32,1.7795033760115538e-31,5.03569767406044e-27,6.1236015862677232e-44
5.24287e-10,0.0024674767679135788,0.84210526299999999,0.0,0.0,0.0,0.0526315789999992,0.10526315799999916,7.8258773934877321e-16,8.0463176375091656e-16,2.2053753904359092e-17,4.8432595230930634e-29,2.7478756086148838e-24,2.7418193486155549e-24,1.1017099414643386e-26,4.9408818554895397e-23,6.0914203658709457e-25,5.9012957350357829e-27,9.6334042600488956e-21,2.370401748273661e-32,7.643849125401021e-34,1.7620840458956791e-34,6.1807039923747829e-35,1.8168749546383729e-52,5.3887651323652853e-31,2.4967815598254423e-30,2.3093219678161085e-26,2.3687556181594724e-42
9.999999999999999e-10,0.0024674767679135788,0.84210526299999999,0.0,0.0,0.0,0.052631578999998471,0.10526315799999839,1.4545916474692034e-15,1.5347220747322332e-15,8.0142809287452975e-17,1.7600418242716927e-28,1.9612648308657222e-23,1.9706277959231527e-23,1.5634810592653684e-25,1.8390305680659609e-22,4.3778350416778799e-24,4.1646314469402057e-26,1.203374737327571e-20,3.2949290787309461e-31,8.8330222689629291e-33,4.0714082805687012e-33,1.4223290495999507e-33,1.0690204146945835e-50,7.5661315839423201e-30,2.8981007814835186e-29,1.0658943016964324e-25,6.7506918085760452e-41
1.0485750000000002e-09,0.0024674767679135788,0.84210526299999999,0.0,0.0,0.0,0.052631578999998395,0.1052631579999983,1.5232098896382215e-15,1.6092715128512623e-15,8.6074276086203072e-17,1.890305025993263e-28,2.1334708319429604e-23,2.1438516886926748e-23,1.71187838373023e-25,1.9763624808595236e-22,4.7626558532224163e-24,4.5296234242504443e-26,1.2278846133925499e-20,3.6071697648318463e-31,9.6569099062321258e-33,4.4691466942250187e-33,1.5612517963401533e-33,1.1763227579868084e-50,8.2836837951695434e-30,3.1685309127469293e-29,1.1511521866948196e-25,7.4158168402366771e-41
2.0971510000000003e-09,0.002467476767913578,0.84210526299999999,0.0,0.0,0.0,0.052631578999996785,0.10526315799999646,2.8902819946533727e-15,3.2185545474555483e-15,3.2828770913425782e-16,7.2096599240440892e-28,1.6172473763988112e-22,1.6406953016263373e-22,2.5994910846881959e-24,7.9054770894692998e-22,3.6445099802201345e-23,3.34371695955308e-25,1.3736787455462316e-20,5.2376745800131039e-30,1.0669922479801696e-31,9.9334527725235167e-32,3.4421525758405779e-32,5.874611820816588e-49,1.2262630462317281e-28,3.4692129114890072e-28,6.2964675860592233e-25,1.8562171781169299e-39
3.1457270000000003e-09,0.0024674767679135775,0.84210526299999999,0.0,0.0,0.0,0.052631578999995175,0.1052631579999945,4.1524957132672019e-15,4.8278383136800301e-15,6.7535967825759012e-16,1.4831865412034021e-27,4.4868474509736682e-22,4.5750968924060983e-22,9.3365100404285328e-24,1.6799156216205284e-21,1.0162195347426003e-22,9.1316820829722307e-25,1.4166590901235686e-20,1.9223860525084212e-29,3.3405138102801273e-31,3.9633680487187354e-31,1.368350482224062e-31,3.0296289208243784e-48,4.3489573767741303e-28,1.0761139985076657e-27,1.5720871973042933e-24,7.5942307149211372e-39
4.194303e-09,0.002467476767913576,0.84210526299999999,0.0,0.0,0.0,0.052631578999993565,0.10526315799999245,5.318405063932693e-15,6.4371220591925697e-15,1.1187361258673238e-15,2.4569061566468185e-27,9.212669380528178e-22,9.4361961616604869e-22,2.3169369063999023e-23,2.8657396975284382e-21,2.0958633581123275e-22,1.8483169074482455e-24,1.4320614851506914e-20,4.9053895001184783e-29,7.4133089253067006e-31,1.0554478978706473e-30,3.6316141165656571e-31,1.0430333760002441e-47,1.0669511806155303e-27,2.3629061813156349e-27,3.0311937496574682e-24,2.0522937617000282e-38
6.291455e-09,0.0024674767679135736,0.84210526299999999,0.0,0.0,0.0,0.052631578999990346,0.10526315799998814,7.4480504200232824e-15,9.6556889962271764e-15,2.2076625195493676e-15,4.8483486872464306e-27,2.4080529470464508e-21,2.4847474446342505e-21,7.8156008641266135e-23,5.9331512956522266e-21,5.5184088105584444e-22,4.7183678994376056e-24,1.448690302343841e-20,1.7626062083916807e-28,2.1212842490692691e-30,3.881071524984152e-30,1.3276491206193595e-30,6.3454168553070892e-47,3.5309149036931363e-27,6.6200226849316291e-27,7.4066885759956427e-24,7.6589225603040115e-38
8.388607e-09,0.00246747676791357,0.84210526299999999,0.0,0.0,0.0,0.052631578999987126,0.10526315799998355,9.2849358245347927e-15,1.2874254909967222e-14,3.5893490008347931e-15,7.8827362423354121e-27,4.8473267303845615e-21,5.0348754157763465e-21,1.8961198951441456e-22,1.0090735184309616e-20,1.1181244416449338e-21,9.2985314498099197e-24,1.4586453331441173e-20,4.3885587459343559e-28,4.5338065669729151e-30,9.950600127610825e-30,3.3875554305263328e-30,1.9443234625312978e-46,8.4310225464077337e-27,1.3857887990616956e-26,1.430924325062727e-23,1.9782580866213044e-37
9.999999999999999e-09,0.002467476767913562,0.84210526299999999,0.0,0.0,0.0,0.052631578999984649,0.10526315799997985,1.0532035795000439e-14,1.5347310217469057e-14,4.8153096216731288e-15,1.0575127169194687e-26,7.6457862625029493e-21,8.0061152957298789e-21,3.625293329610943e-22,1.4095976874970837e-20,1.7778217834417883e-21,1.4315461662585568e-23,1.4662986441814739e-20,8.1959338180344698e-28,7.488530819762197e-30,2.0172046800294546e-29,6.8041041600213493e-30,4.9415184134393709e-46,1.5710313568780114e-26,2.2215599225082017e-26,2.201917105750259e-23,4.019503957722082e-37
1.2582911e-08,0.002467476767913562,0.84210526299999999,0.0,0.0,0.0,0.052631578999980687,0.10526315799997363,1.2233145735296174e-14,1.9311383159607061e-14,7.0782823529631823e-15,1.554495069819645e-26,1.3806879726611055e-20,1.4602971514219208e-20,7.9792176393795702e-22,2.1985633670483853e-20,3.2423881411091643e-21,2.5072176800512222e-23,1.4785736915822159e-20,1.7543212205684186e-27,1.4220651474085365e-29,4.6631559087883444e-29,1.5604885990079222e-29,1.3354772728469016e-45,3.374905714731582e-26,4.0681591590145227e-26,3.8739558200495193e-23,9.3031556480319684e-37
1.6777215e-08,0.0024674767679135506,0.84210526299999999,0.0,0.0,0.0,0.052631578999974248,0.10526315799996293,1.440489848943711e-14,2.5748506686182251e-14,1.1343671548330515e-14,2.4912378543059567e-26,2.8787542714790223e-20,3.0942553369073057e-20,2.1533478945580258e-21,3.8599329532285722e-20,6.8693376818238137e-21,4.9855153563634354e-23,1.4993768986046834e-20,4.4237250964938499e-27,3.1471879218158881e-29,1.3347560033024524e-28,4.4077794216749874e-29,4.4378238224809841e-45,8.7651375964470388e-26,8.4767609263349142e-26,7.886597448932644e-23,2.6531702871686478e-36
2.0971519e-08,0.002467476767913539,0.84210526299999999,0.0,0.0,0.0,0.052631578999967808,0.10526315799995166,1.6014069090869657e-14,3.2185625480385543e-14,1.6171640886203946e-14,3.5515316687371578e-26,5.050107498375528e-20,5.5138641432741252e-20,4.6272249020459878e-21,5.9948106441559889e-20,1.2239262243655383e-20,8.3665969359785557e-23,1.5206100673870356e-20,8.8402628312263537e-27,5.7732047890370705e-29,2.9930123445688821e-28,9.7614695158385953e-29,1.1103226910634443e-44,1.8191392288084378e-25,1.4659534232574923e-25,1.3669216746195008e-22,5.9111511367934035e-36
2.5165823e-08,0.002467476767913526,0.84210526299999999,0.0,0.0,0.0,0.052631578999961369,0.10526315799993999,1.722603224555496e-14,3.8622739543080186e-14,2.1396815253593422e-14,4.6990576600408826e-26,7.9359263510201196e-20,8.8014712469304584e-20,8.6294037399514837e-21,8.603737782190016e-20,1.9534316332638114e-20,1.2599717758156808e-22,1.5418969900806416e-20,1.5330003189755322e-26,9.4142546336457744e-29,5.7778019154129418e-28,1.8613614306748934e-28,2.3402856760834002e-44,3.2823177679814601e-25,2.2543598223160655e-25,2.1360024533016298e-22,1.1319335399961073e-35
2.9360127000000004e-08,0.0024674767679135124,0.84210526299999999,0.0,0.0,0.0,0.05263157899995493,0.10526315799992804,1.8143289682080614e-14,4.5059848875165167e-14,2.6916692769668487e-14,5.9113048791256045e-26,1.1551574532662932e-19,1.300774318898908e-19,1.4511551587993228e-20,1.1686864771047759e-19,2.8866419503635267e-20,1.7619019901045723e-22,1.5631926813100635e-20,2.4114767611128757e-26,1.4144005848776252e-28,9.9927155476409042e-28,3.1828315435719475e-28,4.3917618566931331e-44,5.3568565558081551e-25,3.201112451825538e-25,3.103315781439583e-22,1.9414283334945281e-35
3.3554431000000006e-08,0.002467476767913498,0.84210526299999999,0.0,0.0,0.0,0.05263157899994849,0.10526315799991588,1.8867810749764021e-14,5.1496953478165476e-14,3.2629304057593221e-14,7.1658793227569305e-26,1.5899911243801502e-19,1.8182971747596819e-19,2.2746447134782193e-20,1.5244271863083253e-19,4.0346482636332634e-20,2.3324493627167341e-22,1.5845007408711823e-20,3.5401212738566498e-26,2.0039880625963485e-28,1.6067576775608672e-27,5.0582684526702885e-28,7.3847645486136282e-44,8.152683808226398e-25,4.2872024433519529e-25,4.2748246889877889e-22,3.0927643171487023e-35
