Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9),CH3O2(17),OH(11),CH2O(24),H2O(33),H2O2(13),CH3OOH(15),CH3O(19),H(4),C2H6O2(21),HCO(39),CO(40),CHO3(66),acetyl(76),CH3OH(35),CH2OH(41),O(12),CHO3(77),CO2(174)
0.0,0.0028595427691403574,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0028595427691403574,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.0623254031035632e-22,1.0623211373750446e-22,6.5973848323230268e-30,3.6197588134085059e-43,4.0467787250780054e-40,5.7143654975266776e-44,3.8492354613398791e-48,5.5834917602180245e-36,1.6276756961100839e-43,4.5283304238343236e-46,4.3317022551630787e-28,-2.9656383231086381e-57,1.0852376144832704e-59,7.3814191678163108e-66,2.7964217737521941e-66,-4.9464904142948316e-96,7.0449150009039287e-56,2.5613929047869953e-55,4.0462118179341693e-40,1.3227918674953986e-79,6.0389184740806211e-80
3.0000000000000002e-15,0.0028595427691403574,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.4904975362835445e-22,3.4904837371183979e-22,4.3354241993487766e-29,3.2719080538879117e-42,2.6596160047326364e-39,6.7979035575465261e-43,3.6295685673970537e-47,3.6691517281563332e-35,1.5346716575056899e-42,4.269568576878223e-45,1.4232706833264518e-27,1.7539631663922274e-55,1.6010841858457294e-58,1.2999009964178956e-64,4.9246240664172957e-65,2.3794518571586364e-94,8.6551811187506669e-55,3.1468534623523551e-54,2.6589404849624333e-39,2.5889749986306688e-78,1.3544807356858331e-78
7e-15,0.0028595427691403574,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,7.7397974899286315e-22,7.7397682868402153e-22,2.3562083830243914e-28,3.8705192273085539e-41,1.4475860873684532e-38,2.5120713269995983e-41,5.8706458898073467e-46,1.9941042001311243e-34,2.4787207351343959e-41,6.8959985503833124e-44,3.1559292810132498e-27,3.3840945515455942e-54,1.9243147748079099e-56,5.2484142864398205e-62,1.988341196102411e-62,1.1050327934010189e-90,4.3779103551561307e-53,1.5917182750349921e-52,1.4450809137666612e-38,1.9398681282886801e-75,3.5437728354489088e-75
1.5e-14,0.0028595427691403574,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.6238393174899897e-21,1.6238337386848017e-21,1.0423862792774703e-27,2.5121090179140466e-40,6.4272455291972599e-38,3.4238183127373902e-40,5.4778645245264866e-45,8.8219169817193468e-34,2.3052558220540015e-40,6.4134056898103499e-43,6.6211897027418954e-27,6.0683556658303947e-53,5.394242241188693e-55,2.987669030934342e-60,1.1318666927671543e-60,2.4593213817626622e-88,8.4198760379508889e-52,3.0612831764060629e-51,6.3930714980000624e-38,1.3451712993107557e-73,4.9483072491456808e-73
3.1e-14,0.0028595427691403574,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.3235567655583849e-21,3.3235475589120193e-21,4.3448444481745117e-27,1.3238005958324749e-39,2.701577456249464e-37,3.6861097836984874e-39,4.6593066328702699e-44,3.6771281454595959e-33,1.9456311154200842e-39,5.4129001673419785e-42,1.3551483459069366e-26,1.0383397935652802e-51,1.1739956147171463e-53,1.3074960603355597e-58,4.9533973798590002e-59,4.4104137341561442e-86,1.4315711654711598e-50,5.2048440643268315e-50,2.6647705061149829e-37,6.5915107380513123e-72,4.8642203803024081e-71
6.300000000000001e-14,0.0028595427691403574,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,6.7229849060053971e-21,6.7229752002690254e-21,1.7705456281931816e-26,6.1663943822169791e-39,1.1207232349643198e-36,3.4836942220569662e-38,3.8771792925347162e-43,1.4984496605411859e-32,1.5923911098146496e-38,4.4301568751360699e-41,2.7411162682801046e-26,1.715622940395572e-50,2.2344610930775745e-52,4.9941251387840319e-57,1.8920045395973787e-57,6.8212327528247774e-84,2.3486554406546959e-49,8.5390202702446421e-49,1.0859306160234025e-36,2.6766362193728291e-70,3.9589143028703684e-69
1.2700000000000001e-13,0.0028595427691403574,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.3521814164249522e-20,1.3521830486592847e-20,7.144935271914319e-26,2.671836591441051e-38,4.6868250430168391e-36,3.0478378269569338e-37,3.2408622212113216e-42,6.046921579879756e-32,1.2874100452602021e-37,3.5816731193857037e-40,5.5126888451276933e-26,2.7879514198256832e-49,3.9277057552385739e-51,1.7596965144397481e-55,6.6665397458650506e-56,9.6732819256993019e-82,3.8010480902066456e-48,1.3819108146837364e-47,4.3823997098327668e-36,9.7368045196749875e-69,2.8844699506476818e-67
2.55e-13,0.0028595427691403574,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.711936459101188e-20,2.7119541073675904e-20,2.8702696296616614e-25,1.1131820470574217e-37,2.0157821610968971e-35,2.5541726708969182e-36,2.7783350212450845e-41,2.429185833752551e-31,1.0351606282566226e-36,2.8798919010650688e-39,1.1054381308492263e-25,4.4948047918188449e-48,6.6009180420898127e-50,5.9228127536212295e-54,2.2438333163838326e-54,1.3062926666403163e-79,6.1149778084451495e-47,2.2230404710884511e-46,1.7606532832468267e-35,3.3309723848093536e-67,1.9753189024350703e-65
5.11e-13,0.0028595427691403574,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,5.4314033092622541e-20,5.4314962305553208e-20,1.1505344634141126e-24,4.5450427602788546e-37,9.1486360112900435e-35,2.0922360953486116e-35,2.5055572490310508e-40,9.737370360525962e-31,8.3018438984892529e-36,2.3096266297244877e-38,2.2131958522413881e-25,7.2187485627619662e-47,1.0829527705115392e-48,1.9448930061225993e-52,7.3681436526853113e-53,1.7181133218670812e-77,9.8100481800516544e-46,3.5659503657806296e-45,7.0587155353687844e-35,1.1028211143924459e-65,1.3086337930181418e-63
