Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9),CH3O2(17),OH(11),CH2O(24),H2O(33),H2O2(13),CH3OOH(15),CH3O(19),H(4),C2H6O2(21),HCO(39),CO(40),CHO3(66),acetyl(76),CH3OH(35),CH2OH(41),O(12),CHO3(77),CO2(174),CHO3(176),HOCO(82),CH2O2(18),C1OO1(327),CH2O2(169),CH2O2(71)
0.0,0.0019278029962898216,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0019278029962898216,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,6.0317246175147651e-24,6.0317237626826065e-24,4.8557011968323766e-31,2.4135600718849739e-45,6.2708400144340447e-43,3.0459690062953957e-46,6.3935456198838249e-51,1.2065342195162196e-37,4.0141583214655586e-45,1.1616754212655748e-48,1.3404020377578524e-30,-1.8382992649290589e-59,8.5807050715550176e-63,7.8779052351717308e-69,3.2797048266762709e-69,-2.8118478417860483e-100,1.2847352456377591e-58,1.3696014570732098e-58,6.2678056756512455e-43,1.7907342960501814e-83,7.7627500509719882e-84,2.7550848754753832e-94,5.8159763390145389e-89,4.3892604369523113e-53,1.2020262742059199e-54,7.8914487473677337e-57,4.2195508858707564e-60
3.0000000000000002e-15,0.0019278029962898216,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.981852214781864e-23,1.9818520934540151e-23,3.1908892460022435e-30,2.1983669418751748e-44,4.1224807457294289e-42,3.6446671248213865e-45,6.0298753279283167e-50,7.9286534425371477e-37,3.7847806371982631e-44,1.0952939406757677e-47,4.4041661464753809e-30,1.0872226514662111e-57,1.2718905855244635e-61,1.3927998107251219e-67,5.798460536129494e-68,1.3506559266249801e-98,1.5783889851712402e-57,1.6826526967927047e-57,4.1188470442617188e-42,3.5229016473728043e-82,1.748954370104746e-82,6.1946256206328154e-93,1.0613723313727688e-87,4.0983041851417025e-52,1.465628937133442e-53,9.7749874366328891e-56,6.4322633770849936e-59
7e-15,0.0019278029962898216,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,4.3945408409265043e-23,4.3945415985359189e-23,1.7341785422508179e-29,2.7265361966364384e-43,2.2526261140266518e-41,1.412827536640791e-43,9.7898063905026639e-49,4.3090507839946083e-36,6.1129899021198108e-43,1.7690652540816408e-46,9.7656826438461684e-30,2.0976859334664763e-56,1.6047257304792835e-59,5.9070927801609423e-65,2.4592223550264162e-65,6.6244835595845706e-95,7.9837098506006212e-56,8.5110604386822826e-56,2.2385155503781804e-41,2.8174173455565359e-79,4.8870983198591411e-79,1.65497170014999e-89,5.7074836640612342e-85,6.0829600877586674e-51,6.8075295645758332e-52,4.7105508315111558e-54,1.0139232613093512e-56
1.5e-14,0.0019278029962898216,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,9.2199149855713724e-23,9.2199206087222859e-23,7.6720029622096738e-29,1.8453261617244519e-42,1.0103550048271489e-40,2.0043584194860387e-42,9.2199828662114667e-48,1.9063240668443807e-35,5.6851931416224079e-42,1.6452632732927924e-45,2.0488482344561424e-29,3.7615681118847301e-55,4.6775626730814701e-58,3.4946296762425689e-63,1.4548732717814625e-63,1.5319256933734381e-92,1.5354779268232723e-54,1.6368927913073811e-54,9.9032789403057609e-41,2.0452007203400797e-77,7.1415511338261294e-77,2.2781940109880814e-87,4.1481757174288309e-83,5.0135148690641532e-50,1.1659701716567916e-50,8.1420297206606409e-53,3.5842213802570787e-55
3.1e-14,0.0019278029962898216,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.8870650844299503e-22,1.8870678629185245e-22,3.1978216496492886e-28,1.0097548592207177e-41,4.3517267565024232e-40,2.2393704718173806e-41,8.0210060058868762e-47,7.9458896457496775e-35,4.7982905100594032e-41,1.388598546460316e-44,4.1933148610532748e-29,6.4363145811115364e-54,1.0561087731285835e-56,1.5863199451507008e-61,6.6041174328118502e-62,2.8495350161156559e-90,2.6106630412650954e-53,2.7830626942470746e-53,4.1279287686330713e-40,1.0447162936025367e-75,7.317490133785308e-75,2.091717281127773e-85,2.4311831358031304e-81,3.4526177639796576e-49,1.6286618559142312e-49,1.1422253163047493e-51,1.0130372510277158e-53
6.300000000000001e-14,0.0019278029962898216,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.8172072839637687e-22,3.8172194670472028e-22,1.303127739887312e-27,4.8333894537687937e-41,1.8996853940589746e-39,2.1758890582934866e-40,7.000045476815204e-46,3.2379931211850025e-34,3.9271333628192967e-40,1.1364904520351377e-43,8.4818748925779001e-29,1.0634555267223282e-52,2.0670089436254139e-55,6.2313080061916603e-60,2.5941985743550964e-60,4.5325704233371993e-88,4.2830898424411923e-52,4.5658368383107137e-52,1.682210344307445e-39,4.3759667225270665e-74,6.1434509392247477e-73,1.453487183251642e-83,1.2630983949040488e-79,2.0597851208118654e-48,1.966876955766047e-48,1.3823678206411829e-50,2.4665865719590462e-52
1.2700000000000001e-13,0.0019278029962898216,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,7.677471794286862e-22,7.6775226754488801e-22,5.2586938384287633e-27,2.1288341556080882e-40,8.7250547262579442e-39,1.9370374016951285e-39,6.3933060179698776e-45,1.3066765597903285e-33,3.1749912960341897e-39,9.1882462971622941e-43,1.7057502329015564e-28,1.7281527934388625e-51,3.6987292423010486e-54,2.2356161432011028e-58,9.3072467035573198e-59,6.5453795025188459e-86,6.9317235649651463e-51,7.3890144018563388e-51,6.7889385589513388e-39,1.6235056809008006e-72,4.5656404402137002e-71,8.029138853342579e-82,6.0405216916697673e-78,1.0746233952668379e-47,2.0787864914439541e-47,1.4625627357600105e-49,5.2516573264209725e-51
2.55e-13,0.0019278029962898216,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.5397921260776318e-21,1.5398129092829311e-21,2.1125243685145071e-26,8.9482230260978171e-40,4.3660887330442943e-38,1.6391905657731707e-38,6.3372798257582519e-44,5.249216720679062e-33,2.5528945228293539e-38,7.3879314322986376e-42,3.4202788775255563e-28,2.7861639407103058e-50,6.2795081392186052e-53,7.6030010812460173e-57,3.1652573273514483e-57,8.9321184543718751e-84,1.1151486042138203e-49,1.188617655440616e-49,2.7276400959426127e-38,5.6166507323057617e-71,3.1621901915154426e-69,3.6721625288176323e-80,2.8032566203032272e-76,5.0310992816924025e-47,1.9696924965954697e-46,1.3865296642189653e-48,1.0014781397779221e-49
5.11e-13,0.0019278029962898216,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.0838501983699798e-21,3.0839341929896805e-21,8.4679356829455714e-26,3.6701590880403144e-39,2.4427377503089204e-37,1.349666572394352e-37,7.0095011377900721e-43,2.104143970580234e-32,2.0473809138225732e-37,5.9250009680361634e-41,6.8469504588094496e-28,4.4746136136944884e-49,1.035790165082862e-51,2.5104725353657979e-55,1.0451518862777212e-55,1.1815464362828117e-81,1.7889943898317798e-48,1.9065435366161454e-48,1.0936681204875021e-37,1.8706959373288001e-69,2.1076231959978103e-67,1.4565684855606239e-78,1.3405855830867238e-74,2.1918863524829992e-46,1.731260945608788e-45,1.2190027408543526e-47,1.7687551007858611e-48
