Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7)
0.0,0.0027680113595850656,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,0.0,0.0
1e-15,0.0027680113595850656,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.6028706937108835e-25,3.6028706937108835e-25
3.0000000000000002e-15,0.0027680113595850656,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.1838003707907188e-24,1.1838003707907188e-24
7e-15,0.0027680113595850656,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.6249486482750717e-24,2.6249486482750717e-24
1.5e-14,0.0027680113595850656,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,5.5072452032437785e-24,5.5072452032437785e-24
3.1e-14,0.0027680113595850656,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.1271838313181191e-23,1.1271838313181191e-23
6.300000000000001e-14,0.0027680113595850656,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.2801024533056016e-23,2.2801024533056016e-23
1.2700000000000001e-13,0.0027680113595850656,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,4.5859396972805665e-23,4.5859396972805665e-23
2.55e-13,0.0027680113595850656,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,9.1976141852304969e-23,9.1976141852304969e-23
5.11e-13,0.0027680113595850656,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.8420963161130359e-22,1.8420963161130359e-22
1e-12,0.0027680113595850656,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.6039000853376576e-22,3.6039000853376576e-22
1.023e-12,0.0027680113595850656,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.686766111293008e-22,3.686766111293008e-22
2.047e-12,0.0027680113595850656,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,7.3761057016529527e-22,7.3761057016529527e-22
4.095e-12,0.0027680113595850656,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.4754784882372841e-21,1.4754784882372841e-21
8.191e-12,0.0027680113595850656,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.9512143243812616e-21,2.9512143243812616e-21
1e-11,0.0027680113595850656,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.6029736328735604e-21,3.6029736328735604e-21
1.6383e-11,0.0027680113595850656,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,5.9026859966692171e-21,5.9026859966692171e-21
3.2767e-11,0.0027680113595850656,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.1805629341245128e-20,1.1805629341245128e-20
6.5535e-11,0.0027680113595850656,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.3611516030396951e-20,2.3611516030396951e-20
9.999999999999999e-11,0.0027680113595850656,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.6028809876271508e-20,3.6028809876271508e-20
1.31071e-10,0.0027680113595850656,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,4.7223289408700594e-20,4.7223289408700594e-20
2.62143e-10,0.0027680113595850656,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,9.4446836165307875e-20,9.4446836165307875e-20
5.24287e-10,0.0027680113595850656,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.8889392967852245e-19,1.8889392967852245e-19
9.999999999999999e-10,0.0027680113595850656,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.6028717231025087e-19,3.6028717231025087e-19
1.0485750000000002e-09,0.0027680113595850656,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.7778811670495159e-19,3.7778811670495159e-19
2.0971510000000003e-09,0.0027680113595850656,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,7.5557649075780989e-19,7.5557649075780989e-19
4.194303e-09,0.0027680113595850656,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.5111532388635264e-18,1.5111532388635264e-18
