Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9),CH3O2(17),OH(11),CH2O(24),H2O(33),H2O2(13),CH3OOH(15),CH3O(19),H(4),C2H6O2(21),HCO(39),CO(40),CHO3(66),acetyl(76),CH3OH(35),CH2OH(41)
0.0,0.003314844571790112,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.003314844571790112,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.2606185890488153e-21,1.2605748554088334e-21,7.5790672176597929e-29,2.8386673904792942e-41,5.3929524284847235e-42,5.3926110366507668e-42,5.80850780735215e-50,1.7183107611636388e-34,5.4369493155078004e-42,1.8253625213666246e-52,4.3809430310470032e-26,-3.4875600339946551e-55,5.6219023357830202e-57,3.565092611901803e-63,1.2496677296732059e-63,-3.5570499398966857e-92,4.5369314083083025e-62,3.6672023635328259e-61
3.0000000000000002e-15,0.003314844571790112,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,4.1420322578487637e-21,4.1418888109078501e-21,4.980529745863599e-28,2.5469800332642842e-40,6.3795609832565176e-41,6.3792391300163978e-41,8.5307134050721431e-49,1.129175643082959e-33,5.1263396505552627e-41,2.2426127618042281e-51,1.439449916279462e-25,2.0626425688913313e-53,8.2567378288077188e-56,6.2545542031429193e-62,2.1924015394742646e-62,1.7134458874829761e-90,6.8703567325561742e-61,5.5529237913168126e-60
7e-15,0.003314844571790112,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,9.184504708454861e-21,9.1841882346768064e-21,2.7068091492822377e-27,2.8867373439927357e-39,2.2574160655476133e-39,2.2573641656246905e-39,9.8107545694249421e-47,6.1368241483415444e-33,8.279739875997013e-40,1.1343381598782785e-49,3.1918057492753483e-25,3.9796602397267274e-52,9.495927846506294e-54,2.4149667791206547e-59,8.4651543030617926e-60,7.5702709369581455e-87,1.1346468297709755e-58,9.1655381816933074e-58
1.5e-14,0.003314844571790112,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.9269444759079513e-20,1.9268787087645655e-20,1.1974920037110966e-26,1.8090516185795443e-38,2.9751060418528508e-38,2.975057948755289e-38,2.661590446901048e-45,2.7149310040725795e-32,7.7003072202791336e-39,2.1816295839546842e-48,6.6964629959505343e-25,7.1363235979279731e-51,2.576188569926094e-52,1.3310881791988674e-57,4.6658472440860217e-58,1.6315789015279959e-84,4.4515053756690488e-57,3.5944238964676182e-56
3.1e-14,0.003314844571790112,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.9439305457998717e-20,3.9437984815306412e-20,4.9913515892266138e-26,9.2592078863435381e-38,3.1118979819411482e-37,3.1118577295054464e-37,5.628856813968901e-44,1.1316303739964136e-31,6.4990429505374257e-38,3.709266421138041e-47,1.3705559818803721e-24,1.2210768768913562e-49,5.4482245897370545e-51,5.6610384254406845e-56,1.9843566717029858e-56,2.8434905222273269e-82,1.5196535455151744e-55,1.2266366234954917e-54
6.300000000000001e-14,0.003314844571790112,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,7.9778949246677373e-20,7.977638035751474e-20,2.0340004332689826e-25,4.2287010514995793e-37,2.881859836266578e-36,2.8818274803933859e-36,1.0495437072866769e-42,4.61145514787467e-31,5.3191058993548924e-37,6.085468204656644e-46,2.7722882836671342e-24,2.0175548715554403e-48,1.0158508889798197e-49,2.1180350239786987e-54,7.4243195641733979e-55,4.3074980417004934e-80,4.992242757616621e-54,4.0286296442611645e-53
1.2700000000000001e-13,0.003314844571790112,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.6045792638868033e-19,1.6045317178943543e-19,8.2080915634941421e-25,1.811501456798759e-36,2.4906436899504535e-35,2.4906185037136826e-35,1.8217933465146295e-41,1.8609305632299693e-30,4.3003694133666569e-36,9.8486627557951526e-45,5.5754046794197547e-24,3.2786021175182097e-47,1.7632616652481466e-48,7.3680329893339652e-53,2.5827053037589886e-53,6.0300836772422345e-78,1.6166172422973828e-52,1.304352325927878e-51
2.55e-13,0.003314844571790112,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.2181463894154665e-19,3.218067560429463e-19,3.297361337140238e-24,7.5019825273941884e-36,2.0732727731326152e-34,2.0732540965067239e-34,3.0404569106147503e-40,7.4757810586713091e-30,3.457773736007382e-35,1.5844086739553783e-43,1.1180244986071953e-23,5.2858441486705175e-46,2.9426080593326671e-47,2.4622059784366842e-51,8.6307238369195558e-52,8.0833076372491033e-76,5.2025240216033662e-51,4.197066712718785e-50
5.11e-13,0.003314844571790112,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,6.4452309720494187e-19,6.445139301058765e-19,1.3217319296128424e-23,3.0535776957379582e-35,1.6923620455314409e-33,1.6923495976425308e-33,4.9703303669992588e-39,2.9966603834794156e-29,2.7730857401854075e-34,2.541793781748474e-42,2.2384358430030525e-23,8.4891741926895188e-45,4.8098373666746576e-46,8.0545455150465221e-50,2.8233386364457475e-50,1.0587773455253007e-73,1.6693907822553749e-49,1.3465734367602578e-48
