Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9),CH3O2(17),OH(11),CH2O(24),H2O(33),H2O2(13),CH3OOH(15),CH3O(19),H(4),C2H6O2(21),HCO(39),CO(40),CHO3(66),acetyl(76),CH3OH(35),CH2OH(41),O(12)
0.0,0.00290145619347446,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.00290145619347446,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,6.398582750916787e-20,6.3952645089562726e-20,5.2686559316516692e-27,3.1267365594047012e-38,2.7204644016418324e-34,7.8414385200514226e-39,5.0650541167841513e-42,4.9696387143353496e-32,2.5998403472714428e-39,2.5076561713315437e-40,3.3187688161415239e-23,-1.4058954176313613e-51,1.3609530548635167e-52,1.1070087666720683e-58,3.456221040780032e-59,-1.114827432957185e-85,1.8207742834501081e-49,3.169482968228847e-48,2.7203884714578791e-34
3.0000000000000002e-15,0.00290145619347446,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.1023913021899003e-19,2.1013011985959107e-19,3.4622594318422723e-26,2.7689456395598053e-37,1.7877740659716397e-33,9.1845575955103047e-38,4.7756975152804422e-41,3.2657625855650631e-31,2.4514934616212993e-38,2.3643611515026135e-39,1.0904498133828495e-22,8.3148667576857679e-50,1.9829069150169843e-51,1.9291986207518884e-57,6.0232013820703722e-58,5.3831885936160756e-84,2.2369510113940598e-48,3.8939349840973956e-47,1.7876845626435114e-33
7e-15,0.00290145619347446,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,4.661823077879193e-19,4.6594070235736463e-19,1.8816620967582598e-25,2.9273265217598316e-36,9.7186926315801754e-33,3.0283834899584378e-36,7.7154081284811368e-40,1.7748709769894312e-30,3.9593146746055281e-37,3.8187958486453623e-38,2.4179359320502664e-22,1.6042690525473352e-48,2.1222363701291602e-49,6.92425981970532e-55,2.1618404980295127e-55,2.1907312048737385e-80,1.1314793463201534e-46,1.9695991557150638e-45,9.7157020791623881e-33
1.5e-14,0.00290145619347446,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,9.7806832573555602e-19,9.7756187279883216e-19,8.324468427818667e-25,1.7417065338411069e-35,4.3020070806628181e-32,3.797212682879907e-35,7.1792405162356124e-39,7.8520292505107014e-30,3.6822231279951548e-36,3.5515435455885492e-37,5.0728536781980311e-22,2.8767729226679974e-47,5.4845091239106988e-48,3.6381531697205995e-53,1.135876355241095e-53,4.5018294318119215e-78,2.1761290605881089e-45,3.7880382724980397e-44,4.2982450520037228e-32
3.1e-14,0.00290145619347446,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.0018390128725281e-18,2.0008042354645545e-18,3.4697791325547397e-24,8.5686552623110623e-35,1.7953864610718607e-31,3.8179686592388135e-34,6.0662635956410509e-38,3.2728621410634601e-29,3.1077862454705151e-35,2.9974833578073336e-36,1.0382471214707623e-21,4.9223641870615785e-46,1.1150563403019668e-46,1.4875729768526335e-51,4.6443820298477429e-52,7.5423908567658553e-76,3.699902515709102e-44,6.4404617846175672e-43,1.7915981884382935e-31
6.300000000000001e-14,0.00290145619347446,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,4.0493749921339521e-18,4.0472890479199758e-18,1.4139507118389811e-23,3.8163163525569137e-34,7.3351833504876092e-31,3.4444572158698356e-33,4.976833223284167e-37,1.3337091031470698e-28,2.5435481153841559e-34,2.4532541457076791e-35,2.1000834536275932e-21,8.1330879617375686e-45,2.0244526514560193e-45,5.4182100826801423e-50,1.6916271504533097e-50,1.1120741691752646e-73,6.0700662179577184e-43,1.0566087361358022e-41,7.3009818371012487e-31
1.2700000000000001e-13,0.00290145619347446,0.84210526299999999,0.0,0.0,0.0,0.052631578999999991,0.105263158,8.1444253707722149e-18,8.140259021269383e-18,5.7059051212855705e-23,1.6121954742475929e-33,2.9754987951237564e-30,2.9320758689962381e-32,4.0432103081197661e-36,5.3821192350729061e-28,2.0563937142601697e-33,1.9833654014768193e-34,4.2234074747057667e-21,1.3216534342571775e-43,3.4590986218895314e-44,1.8549213627283525e-48,5.7912539795553491e-49,1.5315135325692957e-71,9.8236085649878949e-42,1.7099361954316601e-40,2.9463745653617163e-30
2.55e-13,0.00290145619347446,0.84210526299999999,0.0,0.0,0.0,0.052631578999999984,0.10526315799999998,1.6334439809834303e-17,1.6326200361263848e-17,2.2921716789438566e-22,6.6282334304241304e-33,1.2077558200344806e-29,2.4209173062017243e-31,3.2825818852249319e-35,2.162119827777724e-27,1.6534666147008928e-32,1.5947024886452534e-33,8.468661402528194e-21,2.1307904773845547e-42,5.7233383666294673e-43,6.1444087399904809e-47,1.9183321725706575e-47,2.0336600280330882e-69,1.5803369692575252e-40,2.7506462076880782e-39,1.183704703973155e-29
5.11e-13,0.00290145619347446,0.84210526299999999,0.0,0.0,0.0,0.05263157899999997,0.10526315799999997,3.2714123425691759e-17,3.2698088610768927e-17,9.1879892356406652e-22,2.687966821731143e-32,4.9410162966167859e-29,1.9678050327851542e-30,2.6832927992706402e-34,8.666840237910351e-27,1.3260468285840247e-31,1.2788472251270874e-32,1.6953596467289419e-20,3.4220541524373795e-41,9.31297878162545e-42,2.0007061172483981e-45,6.2462623204690064e-46,2.6480804433419905e-67,2.5351298883374618e-39,4.4120214057240194e-38,4.7455039516468477e-29
1e-12,0.00290145619347446,0.84210526299999999,0.0,0.0,0.0,0.052631578999999935,0.10526315799999994,6.4000559528708034e-17,6.3970974524177558e-17,3.5549490927631689e-21,1.0460182407006513e-31,1.9881066343137815e-28,1.5243945199010683e-29,2.1423516972965481e-33,3.3534274262133628e-26,1.0203555040036929e-30,9.8392667682420094e-32,3.3139886386586206e-20,5.2542211627051821e-40,1.4391033189461011e-40,6.1760004630938789e-44,1.9281049631143267e-44,3.2570316009380325e-65,3.8899635768633693e-38,6.7684300643365336e-37,1.8366438712575597e-28
1.023e-12,0.00290145619347446,0.84210526299999999,0.0,0.0,0.0,0.052631578999999935,0.10526315799999994,6.5472109693062588e-17,6.5441887358550561e-17,3.6789397960179328e-21,1.0825746739238277e-31,2.058376808356723e-28,1.5868385329528448e-29,2.2304959009765032e-33,3.4703908173293416e-26,1.0621106551005062e-30,1.0241904088265819e-31,3.3901204726348634e-20,5.4852566682095033e-40,1.5024108674450509e-40,6.4570769182707461e-44,2.0158550118217329e-44,3.4089797979106421e-65,4.0610031750733517e-38,7.0660297417323922e-37,1.9007096175768565e-28
2.047e-12,0.00290145619347446,0.84210526299999999,0.0,0.0,0.0,0.052631578999999873,0.10526315799999987,1.3098255904812754e-16,1.3092957361547029e-16,1.4722453243648821e-20,4.3449272403400307e-31,8.8772291717850951e-28,1.2744886658858617e-28,1.9155096583967055e-32,1.3888862198854946e-25,8.5015388844211202e-30,8.1961664880212994e-31,6.7707607492083271e-20,8.7836090776083751e-39,2.4126854824092653e-39,2.0741659613179556e-42,6.4749983842302976e-43,4.3507778219944512e-63,6.5000499277425152e-37,1.1304942494568863e-35,7.6108929609877158e-28
4.095e-12,0.00290145619347446,0.84210526299999999,0.0,0.0,0.0,0.052631578999999741,0.10526315799999975,2.6198137045981688e-16,2.6190529931468923e-16,5.8896986346172997e-20,1.7407214284680924e-30,4.063366771919092e-27,1.0215081342235032e-27,1.7409276623845884e-31,5.5570091430895244e-25,6.8024179957993081e-29,6.5551280402696147e-30,1.3496701805967842e-19,1.4057069503381251e-37,3.8637678328921248e-38,6.6439035042830599e-41,2.0737917341515185e-41,5.497552081344606e-61,1.039764022004443e-35,1.8067819956377587e-34,3.0484052629298748e-27
