Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9)
0.0,0.003397624842873433,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,0.0,0.0,0.0
1e-15,0.003397624842873433,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.5943769583674566e-20,2.5943771341454528e-20,1.7577799493224853e-27
3.0000000000000002e-15,0.003397624842873433,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,8.5243808570797052e-20,8.5243820121922019e-20,1.1551124916393311e-26
7e-15,0.003397624842873433,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.8901884270990371e-19,1.8901890548774012e-19,6.2777836366306873e-26
1.5e-14,0.003397624842873433,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.9656879849034901e-19,3.9656907621937631e-19,2.7772902726490222e-25
3.1e-14,0.003397624842873433,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,8.1166826006083393e-19,8.1166941768264875e-19,1.1576218146231553e-24
6.300000000000001e-14,0.003397624842873433,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.6418653832455134e-18,1.6418701006091935e-18,4.7173636801276262e-24
1.2700000000000001e-13,0.003397624842873433,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.30225242983236e-18,3.3022714664622833e-18,1.9036629922890801e-23
2.55e-13,0.003397624842873433,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,6.6229977242172138e-18,6.6230741981684624e-18,7.6473951248295684e-23
5.11e-13,0.003397624842873433,0.84210526299999999,0.0,0.0,0.0,0.052631578999999991,0.105263158,1.3264373120561154e-17,1.326467966158082e-17,3.0654101966619247e-22
1e-12,0.003397624842873433,0.84210526299999999,0.0,0.0,0.0,0.052631578999999977,0.10526315799999998,2.5949997792274493e-17,2.5951183847552078e-17,1.1860552775833514e-21
1.023e-12,0.003397624842873433,0.84210526299999999,0.0,0.0,0.0,0.052631578999999977,0.10526315799999998,2.6546663165381665e-17,2.654789058840553e-17,1.2274230238657535e-21
2.047e-12,0.003397624842873433,0.84210526299999999,0.0,0.0,0.0,0.052631578999999949,0.10526315799999995,5.310940043822229e-17,5.3114312442054933e-17,4.9120038326390833e-21
4.095e-12,0.003397624842873433,0.84210526299999999,0.0,0.0,0.0,0.052631578999999894,0.1052631579999999,1.0622750511378977e-16,1.0624715614935363e-16,1.9651035563878131e-20
8.191e-12,0.003397624842873433,0.84210526299999999,0.0,0.0,0.0,0.05263157899999979,0.10526315799999979,2.1243424615693619e-16,2.1251284356395074e-16,7.859740701456318e-20
1e-11,0.003397624842873433,0.84210526299999999,0.0,0.0,0.0,0.052631578999999741,0.10526315799999975,2.5931448516852361e-16,2.594451259206414e-16,1.3064075211775668e-19
1.6383e-11,0.003397624842873433,0.84210526299999999,0.0,0.0,0.0,0.052631578999999575,0.10526315799999958,4.2472994432328476e-16,4.2504421839314361e-16,3.1427406985887555e-19
3.2767e-11,0.003397624842873433,0.84210526299999999,0.0,0.0,0.0,0.052631578999999151,0.10526315799999915,8.4885091839036306e-16,8.5010696805152429e-16,1.2560496611612563e-18
6.5535e-11,0.003397624842873433,0.84210526299999999,0.0,0.0,0.0,0.052631578999998298,0.1052631579999983,1.6952168675169171e-15,1.7002324673682649e-15,5.0155998513479675e-18
9.999999999999999e-11,0.003397624842873433,0.84210526299999999,0.0,0.0,0.0,0.052631578999997403,0.10526315799999739,2.581492182648311e-15,2.5943845466514079e-15,1.2892364003096941e-17
1.31071e-10,0.003397624842873433,0.84210526299999999,0.0,0.0,0.0,0.052631578999996598,0.10526315799999657,3.3804900157093163e-15,3.400483466001663e-15,1.9993450292346684e-17
2.62143e-10,0.0033976248428734326,0.84210526299999999,0.0,0.0,0.0,0.052631578999993198,0.10526315799999311,6.7215589407409223e-15,6.8009854632681278e-15,7.9426522527205484e-17
5.24287e-10,0.0033976248428734318,0.84210526299999999,0.0,0.0,0.0,0.052631578999986398,0.10526315799998608,1.328858055921242e-14,1.360198945779972e-14,3.1340889858730089e-16
7.864310000000001e-10,0.003397624842873431,0.84210526299999999,0.0,0.0,0.0,0.052631578999979597,0.10526315799997893,1.9743213028248773e-14,2.0402993452329966e-14,6.5978042408119257e-16
9.999999999999999e-10,0.0033976248428734296,0.84210526299999999,0.0,0.0,0.0,0.05263157899997406,0.10526315799997302,2.4912414636167974e-14,2.5943778753948685e-14,1.0313641177807127e-15
1.0485750000000002e-09,0.0033976248428734296,0.84210526299999999,0.0,0.0,0.0,0.052631578999972797,0.10526315799997167,2.6088118825936513e-14,2.7203997446858852e-14,1.1158786209223407e-15
