Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9),CH3O2(17),OH(11),CH2O(24),H2O(33),H2O2(13),CH3OOH(15),CH3O(19),H(4),C2H6O2(21),HCO(39),CO(40),CHO3(66),acetyl(76),CH3OH(35),CH2OH(41),O(12),CHO3(77),CO2(174),CHO3(176),HOCO(82),CH2O2(18),C1OO1(327)
0.0,0.0034433917939752133,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0034433917939752133,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,9.4913747528454587e-23,9.4913259564801793e-23,4.9103271530281179e-30,2.8427460291876693e-43,3.918618750944074e-40,4.5106612242386307e-44,3.1184800835408822e-48,4.2714981379133832e-36,1.0404675939585636e-43,3.632988103080195e-46,4.9287397139268474e-28,-1.6377156606293604e-57,7.4907417936690892e-60,4.2427261231463779e-66,1.60292359007558e-66,-2.1315082117754213e-96,4.7735152132460276e-56,2.1286522892649835e-55,3.9181713185395831e-40,7.9584644219403575e-80,3.6374658487922316e-80,4.3101017913421827e-90,6.7537288871873189e-112,5.4604972226348189e-51,1.6191054561813441e-52
3.0000000000000002e-15,0.0034433917939752133,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.1185944003100495e-22,3.1185785285852471e-22,3.2267863407363974e-29,2.5690760547969602e-42,2.5753324223278114e-39,5.3651820997102626e-43,2.9404722960780999e-47,2.8069844906393989e-35,9.8101628486105521e-43,3.4253887055641229e-45,1.6194402876014267e-27,9.685918011888547e-56,1.1050033418074217e-58,7.4709020945238086e-65,2.8225449512921083e-65,1.0253739332048538e-94,5.8646043036908207e-55,2.6152009131861869e-54,2.5747993301968324e-39,1.5574414527904554e-78,8.1576593479485537e-79,9.64332464219793e-89,1.7134306322674446e-110,5.0932218716667337e-50,1.9728052978238103e-51
7e-15,0.0034433917939752133,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,6.9151430668530604e-22,6.91510891138754e-22,1.7536879665672046e-28,3.0356523726721386e-41,1.4013259413986044e-38,1.9803521750194873e-41,4.7548098774136515e-46,1.5255350492980326e-34,1.5844856739530807e-41,5.5325206127668338e-44,3.5909150436602755e-27,1.8688000411931874e-54,1.3265353645439307e-56,3.0128481528147289e-62,1.1382694000651753e-62,4.7556383375416156e-91,2.966398071321674e-53,1.3228022544801056e-52,1.3993511229175204e-38,1.1651641598463462e-75,2.1309979794884648e-75,2.3919506174053182e-85,1.600386812883657e-106,7.495695519152409e-49,9.0875489563418636e-50
1.5e-14,0.0034433917939752133,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.4508237257334811e-21,1.4508169677527227e-21,7.758313637952619e-28,1.9683522636650125e-40,6.21767105601448e-38,2.6966250026053424e-40,4.4339540286858869e-45,6.7489670583700137e-34,1.4736008449541549e-40,5.1453462987255732e-43,7.5338107724622809e-27,3.3511310804309736e-53,3.7152070630908625e-55,1.7135511911770674e-60,6.4738836986077084e-61,1.0574655169024313e-88,5.705165932395007e-52,2.5440902006069099e-51,6.1907562715942236e-38,8.0712033036355613e-74,2.9725050666358493e-73,3.1158764681707316e-83,4.5212581009548913e-104,6.1104368146601072e-48,1.5403320035589637e-48
3.1e-14,0.0034433917939752133,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.9694413067891843e-21,2.9694291211946931e-21,3.2337982381830069e-27,1.0363986446055017e-39,2.6094014937842384e-37,2.9008328614970907e-39,3.7659402506387457e-44,2.8130866312448841e-33,1.2437161551528715e-39,4.342661202070013e-42,1.5419387102679522e-26,5.7340300882571715e-52,8.0791702729521072e-54,7.4929705670023199e-59,2.8308823609345478e-59,1.8948699913808704e-86,9.7000854117451643e-51,4.3255094953982222e-50,2.5804366044518104e-37,3.9513633777348412e-72,2.9193175310305643e-71,2.7026360080451e-81,9.0679699771382851e-102,4.1427135264860057e-47,2.1194190765885468e-47
6.300000000000001e-14,0.0034433917939752133,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,6.0066714407465043e-21,6.0066534289347234e-21,1.3177890447826303e-26,4.8248628851319587e-39,1.0789233480629169e-36,2.7399198037891114e-38,3.1241752001222371e-43,1.1463480577650288e-32,1.0179128417956578e-38,3.5542265414305976e-41,3.1189679300572413e-26,9.4741983626031704e-51,1.5367915803097573e-52,2.8603139950058515e-57,1.0806410930346655e-57,2.9288901693705815e-84,1.5914096646072519e-49,7.0964097378640731e-49,1.0515597069163535e-36,1.6034800228097075e-70,2.3744109512887245e-69,1.7812744564225774e-79,1.5332090710417073e-99,2.4259301560890025e-46,2.5137611548768882e-46
1.2700000000000001e-13,0.0034433917939752133,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.2081111596112792e-20,1.208110204783876e-20,5.3178640714215229e-26,2.0898577275885038e-38,4.4829999638651738e-36,2.3962532368532657e-37,2.5956948873280319e-42,4.6260324862544046e-32,8.2295842495994435e-38,2.8735058532268792e-40,6.2726822222194523e-26,1.5395937841338739e-49,2.7003607156543597e-51,1.0074661698226266e-55,3.8062576410300802e-56,4.1519435825032563e-82,2.5755274370732691e-48,1.1484519695147061e-47,4.2436621795256348e-36,5.8306037406181183e-69,1.7292889673162178e-67,9.4003460742906554e-78,2.3996570585796061e-97,1.2438463451384454e-45,2.6117981174282172e-45
2.55e-13,0.0034433917939752133,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.422991145719593e-20,2.4229999299339729e-20,2.1362986066812956e-25,8.7055243431382804e-38,1.9054321565959538e-35,2.0077262643124513e-36,2.2005153522970065e-41,1.8583823907844137e-31,6.6171206587116239e-37,2.3104820625982858e-39,1.2578734517614872e-25,2.4821751260586034e-48,4.5373373089053816e-50,3.3902565850405146e-54,1.2808555787790938e-54,5.6056823947252553e-80,4.1434105647417038e-47,1.8475004600428969e-46,1.7048908443037877e-35,1.9942146146385038e-67,1.1839722363502597e-65,4.1474339103385182e-76,3.7381460133972794e-95,5.7498206498319324e-45,2.4434434364955436e-44
5.11e-13,0.0034433917939752133,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,4.852718938511612e-20,4.852779385708922e-20,8.5632682658116954e-25,3.5540797648901619e-37,8.4775546545011195e-35,1.6444471373704275e-35,1.9471636323813789e-40,7.4493097071662194e-31,5.3068459815331485e-36,1.8529715242108963e-38,2.5185336357530371e-25,3.9864357864355862e-47,7.4433358318059997e-49,1.1131667134056116e-52,4.205596271884892e-53,7.3722055095881722e-78,6.647138970273233e-46,2.9636110677744895e-45,6.834964455398389e-35,6.6017907069151419e-66,7.8429147478941863e-64,1.6046340406956182e-74,6.1453940020076008e-93,2.4858440054819817e-44,2.1312786604545606e-43
