Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9),CH3O2(17),OH(11),CH2O(24),H2O(33),H2O2(13),CH3OOH(15),CH3O(19),H(4),C2H6O2(21),HCO(39),CO(40)
2.8521267100000005e-07,0.0025291708658349158,0.84210526299999999,0.0,0.0,0.0,0.052631578999992656,0.10526315799998576,4.3463096169182674e-16,7.343535831266383e-15,6.9089798181972498e-15,9.8324573473687662e-28,1.0026631432067691e-20,2.5183498051401856e-20,1.5159008563332942e-20,4.2475349144654782e-20,1.7173357372884906e-20,1.7105162223545807e-24,2.1989632247546306e-23,2.5300430555598816e-27,2.4612709041489566e-30,2.7884622200197248e-28
5.536481270000001e-07,0.0025291708658348984,0.84210526299999999,0.0,0.0,0.0,0.052631578999985745,0.10526315799997198,4.8074620923993958e-16,1.4255019490367795e-14,1.3774572876878423e-14,1.9603169442270485e-27,2.4405837912875681e-20,9.9886598377921331e-20,7.5492322161456118e-20,1.619781282719748e-19,6.8087148877368015e-20,8.3041356434666955e-24,3.0545416463508142e-23,1.0947232925672281e-26,9.7988414935951251e-30,2.2132361330407085e-27
9.999999999999997e-07,0.0025291708658348633,0.84210526299999999,0.0,0.0,0.0,0.052631578999974254,0.10526315799994906,5.5713336133328757e-16,2.5747174947232357e-14,2.5191099152362573e-14,3.5850504582821284e-27,4.9281524439836443e-20,3.4803122081538034e-19,2.9880360982933558e-19,5.5336388825674963e-19,2.3704048598122092e-19,3.2299069137494503e-23,4.4835367051359088e-23,4.3912069425949938e-26,3.4203176992933312e-29,1.5065043706968442e-26
1.0905190390000001e-06,0.0025291708658348633,0.84210526299999999,0.0,0.0,0.0,0.052631578999971923,0.10526315799994442,5.7262448396029336e-16,2.8077755215670014e-14,2.7506342012730451e-14,3.9145423350270021e-27,5.4326251201598563e-20,3.9835432712405878e-19,3.4409057820629833e-19,6.3273593756392623e-19,2.7130379848329234e-19,3.7165181395856907e-23,4.7733333146753422e-23,5.0597255489451169e-26,3.9152314949913922e-29,1.7671358010492973e-26
2.164260863e-06,0.002529170865834794,0.84210526299999999,0.0,0.0,0.0,0.052631578999944272,0.10526315799988931,7.5636765449537261e-16,5.5722301055936376e-14,5.4970821765953182e-14,7.8231271027972623e-27,1.1466887351854479e-19,1.59228676858445e-18,1.4779755332126551e-18,2.5011972614054454e-18,1.0825768738102715e-18,1.5774293890609613e-22,8.2415351474197898e-23,2.5602920546239838e-25,1.5664655335565012e-28,1.4136578152294855e-25
4.311744511e-06,0.002529170865834655,0.84210526299999999,0.0,0.0,0.0,0.052631578999888962,0.10526315799977906,1.123878224293195e-15,1.1100769636632697e-13,1.099034771430808e-13,1.5640822613138635e-26,2.3576367471152038e-19,6.3741250110670336e-18,6.140598884944449e-18,9.9453967813670716e-18,4.3187687570048013e-18,6.4952478823544888e-22,1.5300024404738375e-22,1.4337270380069294e-24,6.2737374374811979e-28,1.1321649009079266e-24
8.606711807e-06,0.002529170865834377,0.84210526299999999,0.0,0.0,0.0,0.052631578999778321,0.10526315799955858,1.85899873466975e-15,2.2156374974332916e-13,2.1978361765577414e-13,3.1278324118713784e-26,4.7926833146436031e-19,2.5561255866856808e-17,2.5097274180760861e-17,3.965886275286028e-17,1.7200358800225767e-17,2.6285713738508706e-21,2.9901917709784936e-22,8.7184937250628976e-24,2.5164676125131868e-27,9.0805813569123733e-24
9.999999999999997e-06,0.002529170865833821,0.84210526299999999,0.0,0.0,0.0,0.052631578999742398,0.10526315799948702,2.0975368520952287e-15,2.5741865431682697e-13,2.554384389047124e-13,3.6352510576467117e-26,5.5909889720724226e-19,3.8090154173754634e-17,3.7561958213362904e-17,5.8911200612854634e-17,2.5479408894645664e-17,3.9074409981867381e-21,3.4948993141085476e-22,1.6207071036556743e-23,3.7501162916104926e-27,1.9452158348162218e-23
1.7196646399000003e-05,0.002529170865833821,0.84210526299999999,0.0,0.0,0.0,0.052631578999556894,0.10526315799911745,3.3296397956348648e-15,4.4261728815420741e-13,4.3960359743926246e-13,6.2561823109588725e-26,9.7144169632808909e-19,1.0280472746647032e-16,1.0194485035913642e-16,1.5835384903875735e-16,6.8242561807653843e-17,1.0513089795762703e-20,6.1018271134422017e-22,5.4887254514143646e-23,1.0122188752039914e-26,7.3023682589184589e-23
2.5786580991000003e-05,0.002529170865833265,0.84210526299999999,0.0,0.0,0.0,0.052631578999335349,0.10526315799867621,4.8006833945477412e-15,6.6361263360543682e-13,6.5948365066993968e-13,9.3853871403754782e-26,1.4687149429974484e-18,2.1928778149698078e-16,2.18130087098048e-16,3.3628479737433109e-16,1.4421116180130542e-16,2.2269345287463713e-20,9.4020498385604114e-22,1.4742704388143422e-22,2.1591928686514631e-26,2.0942253027133695e-22
3.4376515583000004e-05,0.0025291708658327083,0.84210526299999999,0.0,0.0,0.0,0.052631578999113679,0.10526315799823484,6.2721319964827406e-15,8.8455015636867163e-13,8.7942414713140072e-13,1.2515452162665822e-25,1.9710252038514411e-18,3.7537584141033702e-16,3.7405144611935371e-16,5.7341972367331602e-16,2.4475859488836057e-16,3.7843419969607922e-20,1.2888228247767297e-21,2.9813356345616223e-22,3.6961694110367312e-26,4.4291406121424101e-22
5.1556384767000005e-05,0.0025291708658315946,0.84210526299999999,0.0,0.0,0.0,0.052631578998670041,0.10526315799735181,9.2159872373356544e-15,1.3262906243002153e-12,1.3194481246391161e-12,1.8777617080619064e-25,2.9872758298044457e-18,7.8161699451114824e-16,7.8036930817986441e-16,1.1865389265961805e-15,5.0247994224420105e-16,7.7787590640095363e-20,2.0288998817445387e-21,7.8036719733954409e-22,7.6964199204705074e-26,1.2150697690193744e-21
6.8736253951e-05,0.0025291708658304805,0.84210526299999999,0.0,0.0,0.0,0.052631578998225952,0.10526315799646828,1.2161351830648171e-14,1.7678214606003531e-12,1.7596973754109136e-12,2.5042987956522828e-25,4.0215401515709026e-18,1.3364653450794527e-15,1.3360506320471928e-15,2.0171081892989189e-15,8.4777119702688368e-16,1.3133451159714476e-19,2.8352278160610774e-21,1.571451023905479e-21,1.3160068270321488e-25,2.5521612475866054e-21
9.999999999999998e-05,0.0025291708658282492,0.84210526299999999,0.0,0.0,0.0,0.052631578997416481,0.10526315799485912,1.7525615988599858e-14,2.5707381970270375e-12,2.5615032570908517e-12,3.6453822183957434e-25,5.9521989247262733e-18,2.7756143029487863e-15,2.7800051536086853e-15,4.1381203932248423e-15,1.7105939676409861e-15,2.652003626746712e-19,4.479944734028196e-21,3.9917469237986433e-21,2.7331700682322961e-25,7.4822959259032918e-21
0.000103095992319,0.0025291708658282492,0.84210526299999999,0.0,0.0,0.0,0.052631578997336226,0.10526315799469968,1.8057132846188752e-14,2.6502091024967253e-12,2.6409499425923173e-12,3.7584461131491936e-25,6.146796201069757e-18,2.948293756282447e-15,2.9533915571386522e-15,4.3909740445403336e-15,1.8125061276171027e-15,2.8101504546126548e-19,4.6552761803690779e-21,4.3003061532546562e-21,2.903212432141219e-25,8.1458962081750142e-21
0.000137455730687,0.0025291708658260145,0.84210526299999999,0.0,0.0,0.0,0.05263157899644446,0.10526315799292899,2.3959665813495719e-14,3.5317220795776254e-12,3.5232104140187474e-12,5.0140278212894096e-25,8.3444949891988964e-18,5.2357285462564636e-15,5.2527871021740001e-15,7.7030543717954352e-15,3.1257194344584887e-15,4.8482869568048428e-19,6.7389247987759391e-21,8.6106971993537294e-21,5.1557327563393078e-25,1.869564594420042e-20
0.000206175207423,0.0025291708658215345,0.84210526299999999,0.0,0.0,0.0,0.052631578994654683,0.10526315798938106,3.5785760812850359e-14,5.2922132668229093e-12,5.2908709831015368e-12,7.5296593708284292e-25,1.2941200079399688e-17,1.1947126074509151e-14,1.2018291382075356e-14,1.714476698793064e-14,6.7083160803343429e-15,1.0409923648485245e-18,1.1629351074914915e-20,2.2238205707037486e-20,1.1764801027401686e-24,6.3713971972454971e-20
0.000274894684159,0.002529170865817041,0.84210526299999999,0.0,0.0,0.0,0.052631578992856448,0.10526315798582427,4.7640541900745246e-14,7.0494207797748138e-12,7.0628148168844848e-12,1.0051386613307636e-24,1.7790283235081555e-17,2.160256378143377e-14,2.1779225533843061e-14,3.033295803183231e-14,1.1477214122278917e-14,1.7814450766623425e-18,1.7416792257254605e-20,4.2618199846418085e-20,2.1273204051261139e-24,1.5039230745891167e-19
