Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9),CH3O2(17),OH(11),CH2O(24),H2O(33),H2O2(13)
0.0,0.001763001113834855,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.001763001113834855,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,5.6884690672870094e-22,5.6884696706670221e-22,6.0338161500979068e-29,7.9507647711218687e-42,1.3648049441487998e-42,1.3647555259234179e-42,2.3803226433101141e-50,7.9999434316113973e-35
3.0000000000000002e-15,0.001763001113834855,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.8690682095691964e-21,1.8690686060760448e-21,3.9650789979649647e-28,7.1636310578640786e-41,1.619620087478196e-41,1.6195735057566819e-41,3.5048316341634519e-49,5.2571056836293461e-34
7e-15,0.001763001113834855,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,4.1444543194129785e-21,4.1444564743408427e-21,2.1549335788697699e-27,8.3150814047687579e-40,5.8711953727059549e-40,5.8711204926566473e-40,4.1309711363357193e-47,2.8571226541427447e-33
1.5e-14,0.001763001113834855,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,8.6952226774692898e-21,8.6952322108653183e-21,9.5334213087619474e-27,5.3119330702182881e-39,7.8815635177420601e-39,7.8814946346962117e-39,1.1409929554136767e-45,1.2639910621900809e-32
3.1e-14,0.001763001113834855,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.7796743947083628e-20,1.7796783683893788e-20,3.9736915535447202e-26,2.761860556057011e-38,8.3734174765412492e-38,8.3733608270841523e-38,2.4507186410969301e-44,5.2685341742063498e-32
6.300000000000001e-14,0.001763001113834855,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.5999724700532908e-20,3.5999886629868807e-20,1.6192976529650765e-25,1.2746708834279203e-37,7.8389267058824257e-37,7.8388829556247979e-37,4.6200090604628653e-43,2.1469562471979746e-31
1.2700000000000001e-13,0.001763001113834855,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,7.2405439066023991e-20,7.2406092521491184e-20,6.5345719998191188e-25,5.4933923785251611e-37,6.8187703211382867e-36,6.8187392880211105e-36,8.073168360629295e-42,8.6639387361547836e-31
2.55e-13,0.001763001113834855,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.452158792450565e-19,1.4521850430342522e-19,2.6250653296553611e-24,2.2822024775801091e-36,5.6961893681634707e-35,5.6961714476381892e-35,1.3523583579850295e-40,3.4805011030923215e-30
5.11e-13,0.001763001113834855,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.9083280550476267e-19,2.9084332786205046e-19,1.0522385190437909e-23,9.3043829187419029e-36,4.6582096027073778e-34,4.6582065352387617e-34,2.21504856771254e-39,1.3951558488184959e-29
1e-12,0.001763001113834855,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,5.6896878225028352e-19,5.6900949471767625e-19,4.0712575353624917e-23,3.6303864835388347e-35,3.6196459755301065e-33,3.6196609208132633e-33,3.435041900399075e-38,5.3982212558086454e-29
1.023e-12,0.001763001113834855,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,5.820508425062078e-19,5.8209297495832943e-19,4.2132563848007943e-23,3.7573779117766399e-35,3.7679853934257418e-33,3.768001056084543e-33,3.5861898595063138e-38,5.5865044958102266e-29
2.047e-12,0.001763001113834855,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.1644236614402021e-18,1.1645922690670022e-18,1.6860807392456712e-22,1.5100641437324809e-34,3.0310053956802192e-32,3.0310469442955596e-32,5.7717919859564583e-37,2.235775046582749e-28
4.095e-12,0.001763001113834855,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.3289163350439859e-18,2.3295908569488055e-18,6.7452369366462083e-22,6.0539667770374603e-34,2.4312421895972879e-31,2.4313218627083541e-31,9.2612512203477241e-36,8.9454437079125135e-28
8.191e-12,0.001763001113834855,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,4.6568902730874188e-18,4.659588031370244e-18,2.6977654381677322e-21,2.4238743251031568e-33,1.9471762918298649e-30,1.9473143010458613e-30,1.4836231840032762e-34,3.578645887517962e-27
1e-11,0.001763001113834855,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,5.6841482842320216e-18,5.6886321924230817e-18,4.4839200853340197e-21,4.0298308192361198e-33,4.9575912662004413e-30,4.9582048164705572e-30,6.3990834978562905e-34,5.9496182190771444e-27
1.6383e-11,0.001763001113834855,0.84210526299999999,0.0,0.0,0.0,0.052631578999999991,0.105263158,9.3087960924885175e-18,9.3195823748444511e-18,1.0786310971382892e-20,9.6963981503863136e-33,1.5579746479803196e-29,1.558203796183033e-29,2.374313169206512e-33,1.4315520039056271e-26
3.2767e-11,0.001763001113834855,0.84210526299999999,0.0,0.0,0.0,0.052631578999999984,0.10526315799999998,1.8596468093672183e-17,1.8639571040318179e-17,4.3103061049316762e-20,3.875800585203758e-32,1.2454494400367363e-28,1.2458224427339678e-28,3.7962944143141056e-32,5.7263952656407318e-26
6.5535e-11,0.001763001113834855,0.84210526299999999,0.0,0.0,0.0,0.052631578999999963,0.10526315799999997,3.7107481451155646e-17,3.727954828536688e-17,1.7206729133584072e-19,1.5474247510253737e-31,9.9435435185775412e-28,9.9495528543192594e-28,6.0623507062219994e-31,2.2905955388368598e-25
9.999999999999999e-11,0.001763001113834855,0.84210526299999999,0.0,0.0,0.0,0.052631578999999949,0.10526315799999994,5.6442776923164227e-17,5.6884858643936307e-17,4.4208289702824592e-19,3.9759282797734727e-31,4.6369598042409991e-27,4.6423024112917064e-27,5.3674249418784076e-30,5.9044673326416661e-25
1.31071e-10,0.001763001113834855,0.84210526299999999,0.0,0.0,0.0,0.052631578999999928,0.10526315799999993,7.3873996003703279e-17,7.4559502431869302e-17,6.8550825273602842e-19,6.1652807574096889e-31,7.9208534357802364e-27,7.9304707718774966e-27,9.6597484727010293e-30,9.1624569019238122e-25
2.62143e-10,0.001763001113834855,0.84210526299999999,0.0,0.0,0.0,0.052631578999999852,0.10526315799999986,1.4639925742216936e-16,1.4911940935049421e-16,2.7201591954974435e-18,2.4465211218325465e-30,6.2820891465760285e-26,6.297382012135558e-26,1.5326795620613332e-28,3.6649976172969818e-24
