Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9),CH3O2(17),OH(11),CH2O(24),H2O(33)
0.0,0.0017928458853216642,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0017928458853216642,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.2005026231368388e-24,1.20050272035773e-24,9.7220891271749643e-32,1.3909001538950695e-46,1.5675109738693803e-47,1.567510988474593e-47,1.4605212820990715e-55
3.0000000000000002e-15,0.0017928458853216642,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.9445082994381351e-24,3.9445089383182568e-24,6.3888012012996586e-31,1.2711701577007164e-45,1.8804384259084118e-46,1.8804384476022297e-46,2.1693818194526202e-54
7e-15,0.0017928458853216642,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,8.7465163475754065e-24,8.7465198197491785e-24,3.4721737697482089e-30,1.6115676253740872e-44,7.4528352304800123e-45,7.4528355104152193e-45,2.7993520668571828e-52
1.5e-14,0.0017928458853216642,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.8350526221720113e-23,1.835054158261102e-23,1.536089090623454e-29,1.1134876569699783e-43,1.0784272982833747e-43,1.0784273814683084e-43,8.3184933876288069e-51
3.1e-14,0.0017928458853216642,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.7558521081522453e-23,3.7558585108334701e-23,6.4026812253702929e-29,6.2148711193874395e-43,1.2284841679346957e-42,1.2284843593947229e-42,1.9146002687866303e-49
6.300000000000001e-14,0.0017928458853216642,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,7.5974411247437014e-23,7.5974672159782062e-23,2.609123450512628e-28,3.0203051585031024e-42,1.2120676400010845e-41,1.2120680205354259e-41,3.8053434138798308e-48
1.2700000000000001e-13,0.0017928458853216642,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.5280579336657132e-22,1.5280684626267678e-22,1.0528961055047115e-27,1.3429348293121942e-41,1.0898174564605318e-40,1.0898181443907666e-40,6.8793023486966512e-47
2.55e-13,0.0017928458853216642,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.0646696477058472e-22,3.0647119446846628e-22,4.2296978815990409e-27,5.6743276753010528e-41,9.2751896707449188e-40,9.2752014205838318e-40,1.1749838912626263e-45
5.11e-13,0.0017928458853216642,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,6.1378293637378188e-22,6.1379989088004517e-22,1.6954506263313083e-26,2.3336615517457238e-40,7.6602504873709286e-39,7.6602699341086811e-39,1.9446737752492768e-44
