Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9),CH3O2(17),OH(11),CH2O(24),H2O(33),H2O2(13),CH3OOH(15),CH3O(19),H(4),C2H6O2(21),HCO(39),CO(40),CHO3(66),acetyl(76)
1e-12,0.0017864769177891834,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.7174569588808998e-19,2.7176330041827078e-19,1.8593101120370152e-23,1.0167655150830271e-35,9.6329356769257512e-34,9.6329821994700377e-34,8.3713291142269891e-39,1.8767159184733876e-29,5.299551359938992e-34,2.0687439210134695e-42,9.8853340623084294e-25,1.8950729960815324e-44,2.216167444734745e-46,1.2885885070179722e-49,4.8220864974082713e-50,1.9902747972956609e-73
1.023e-12,0.0017864769177891834,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.7799384066804453e-19,2.7801207099104925e-19,1.9241598632897186e-23,1.052337497015369e-35,1.0027739862169586e-33,1.0027788546389318e-33,8.7396962752577462e-39,1.9421734344561335e-29,5.5164206021704667e-34,2.1597061467673376e-42,1.0112367857538389e-24,1.9784020273982685e-44,2.3136837533577016e-46,1.3472410686157281e-49,5.0415729443972487e-50,2.0831310027105134e-73
2.047e-12,0.0017864769177891834,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,5.5614322430154344e-19,5.5621820772660359e-19,7.7002173696196601e-23,4.2302250225284215e-35,8.0685233443086578e-33,8.0686330380460366e-33,1.4070021938412987e-37,7.772772643967186e-29,4.4155957669276148e-33,3.4575653850584661e-41,2.0185931886882114e-24,3.1680420751946048e-43,3.7218498833112978e-45,4.3353495666803817e-48,1.6223469263631701e-48,2.6792814565815671e-71
4.095e-12,0.0017864769177891834,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.1123264626527939e-18,1.1126304947378882e-18,3.0805235618017458e-22,1.6961302135494477e-34,6.472842610663747e-32,6.4730435666442518e-32,2.2579642104639571e-36,3.1099238378003911e-28,3.5331607002679639e-32,5.5331593878138767e-40,4.0196491659386104e-24,5.0700638301495822e-42,5.9634112817503269e-44,1.3894613744297334e-46,5.1995268096423931e-47,3.4274160504813012e-69
8.191e-12,0.0017864769177891834,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.2242310181668823e-18,2.2254551221846536e-18,1.232074375830257e-21,6.7913932802364101e-34,5.1844984138368839e-31,5.1848402432698343e-31,3.617490754952563e-35,1.2441324131373934e-27,2.8263258583560761e-31,8.8520751387439827e-39,7.9678703135829209e-24,8.1102401819762549e-41,9.5239169870362479e-43,4.4385723370200456e-45,1.6609482985145755e-45,4.3594485201367173e-67
1e-11,0.0017864769177891834,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.7148964273708467e-18,2.7169345995167745e-18,2.0478415498614169e-21,1.1291399691814035e-33,1.3200516860077781e-30,1.3202026348035831e-30,1.5603578414202064e-34,2.068411718361839e-27,7.1933340859528973e-31,3.8158895530511097e-38,9.6652684318165037e-24,3.495123534763846e-40,4.0869545054363363e-42,3.4639826147323837e-44,1.2962248912102854e-44,1.2476927942780022e-65
1.6383e-11,0.0017864769177891834,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,4.4461939989291114e-18,4.4511045850396735e-18,4.9262505447983374e-21,2.7169531767601741e-33,4.1484787585536936e-30,4.149041712013164e-30,5.7896114361681053e-34,4.9768555023572122e-27,2.2602186223460086e-30,1.4156709595099165e-37,1.5654484677634612e-23,1.2965884847224968e-39,1.5147161468053736e-41,1.412040069495178e-43,5.2838535156731898e-44,5.4963160705832291e-65
3.2767e-11,0.0017864769177891834,0.84210526299999999,0.0,0.0,0.0,0.052631578999999991,0.105263158,8.8827478543839076e-18,8.9024042990915178e-18,1.9686716396408729e-20,1.0860774775416486e-32,3.3165565673420813e-29,3.317469419160461e-29,9.2577147815862591e-33,1.9908075104240636e-26,1.8066224622397987e-29,2.2626832534506052e-36,3.0231905824052044e-23,2.0708249126723027e-38,2.392121443740957e-40,4.460951037957362e-42,1.6692180614516253e-42,6.819220276091766e-63
6.5535e-11,0.0017864769177891834,0.84210526299999999,0.0,0.0,0.0,0.052631578999999984,0.10526315799999998,1.7726466127571362e-17,1.7805006566830627e-17,7.8597115511229699e-20,4.3366569234389013e-32,2.648240544122767e-28,2.6497085864187247e-28,1.4785584684928555e-31,7.9633617360779861e-26,1.4427379396589972e-28,3.6124432191875824e-35,5.6517249595735123e-23,3.3011818915003936e-37,3.7282806244129652e-39,1.3911322130802829e-40,5.204964333104885e-41,8.2065034453862283e-61
9.999999999999999e-11,0.0017864769177891834,0.84210526299999999,0.0,0.0,0.0,0.05263157899999997,0.10526315799999998,2.6966776531650915e-17,2.7168664629672859e-17,2.0196771807070258e-19,1.1144363369263112e-31,1.2352167068568989e-27,1.2365209930335702e-27,1.3093597857446916e-30,2.0527160440394084e-25,6.7322277875297907e-28,3.1976562115863687e-34,7.9210740871835134e-23,2.9138334289567896e-36,3.1577075801295501e-38,2.2923382870380186e-39,8.5754629867332483e-40,4.945076275628603e-59
1.31071e-10,0.0017864769177891834,0.84210526299999999,0.0,0.0,0.0,0.052631578999999963,0.10526315799999997,3.5297131516857821e-17,3.5610220401341834e-17,3.131891888998157e-19,1.7281669244156604e-31,2.1100482781352064e-27,2.1123960612385449e-27,2.3564826316875083e-30,3.1853717513999357e-25,1.1500826048466784e-27,5.7547475745302927e-34,9.9669451663644329e-23,5.2431128781381496e-36,5.6683413098290064e-38,4.2335208205443746e-39,1.5837202890444221e-39,9.3291941422916066e-59
2.62143e-10,0.0017864769177891834,0.84210526299999999,0.0,0.0,0.0,0.052631578999999928,0.10526315799999993,6.9977586766031853e-17,7.1220673803553318e-17,1.2432493319435514e-18,6.8604467183719475e-31,1.6742815964601275e-26,1.6780148360029912e-26,3.7406516487515584e-29,1.2741545183970339e-24,9.1354825062825991e-27,9.1277990774343585e-33,1.5976285642720194e-22,8.2665730049512743e-35,8.2385426712022241e-37,1.2325229501154629e-37,4.6092103775972104e-38,9.5853249866372426e-57
5.24287e-10,0.0017864769177891834,0.84210526299999999,0.0,0.0,0.0,0.052631578999999859,0.10526315799999986,1.3754336463259498e-16,1.4244163462347761e-16,4.8985040752881338e-18,2.7031195402900193e-30,1.3177798346300494e-25,1.3236646434690945e-25,5.8914438323543651e-28,5.0966314800643168e-24,7.2061672419487382e-26,1.4354403826496848e-31,2.2402292203793214e-22,1.2789061389269065e-33,1.1100998954621792e-35,3.3306819111571868e-36,1.2447259055729786e-36,8.2628456016753319e-55
9.999999999999999e-10,0.0017864769177891834,0.84210526299999999,0.0,0.0,0.0,0.052631578999999727,0.10526315799999972,2.5397294771650665e-16,2.7168645605735867e-16,1.7713812148872421e-17,9.7750170519761598e-30,9.3857416821639039e-25,9.469146103779285e-25,8.3462922859562735e-27,1.8969954366810067e-23,5.1550386758148719e-25,2.0275842018307239e-30,2.6680668595331496e-22,1.7572928537721803e-32,1.2226027936699685e-34,7.3386069927290213e-35,2.7388834768984348e-35,5.1312461863483637e-53
1.0485750000000002e-09,0.0017864769177891834,0.84210526299999999,0.0,0.0,0.0,0.052631578999999713,0.1052631579999997,2.6586155912359675e-16,2.8488362998607369e-16,1.9022381789967705e-17,1.0497127697744001e-29,1.0209560343297737e-24,1.0300880283704093e-24,9.1383737707478756e-27,2.038655777942162e-23,5.6078369939183143e-25,2.219963327364832e-30,2.7117533119149373e-22,1.923670930053776e-32,1.3361074077131238e-34,8.0539417582039366e-35,3.0058406733677801e-35,5.6467599651411645e-53
2.0971510000000003e-09,0.0017864769177891834,0.84210526299999999,0.0,0.0,0.0,0.052631578999999429,0.10526315799999936,4.9789607336300977e-16,5.6976766247966979e-16,7.1872037664969588e-17,3.9661345893542196e-29,7.6761909384068803e-24,7.8138197659622871e-24,1.3769536339247159e-25,8.1546298914930681e-23,4.2538328175548017e-24,3.3255957698852157e-29,2.9313184310073672e-22,2.7335510132067682e-31,1.3924712548589906e-33,1.6898553217536266e-33,6.2898197976185317e-34,2.8845568207340721e-51
4.194303e-09,0.0017864769177891827,0.84210526299999999,0.0,0.0,0.0,0.05263157899999886,0.10526315799999861,8.8100848192835921e-16,1.1395356413335031e-15,2.5852805798570549e-16,1.4266456753585687e-28,5.464948810174053e-23,5.6616931528359909e-23,1.9681797093657616e-24,3.2618527323550827e-22,3.0821840505324368e-23,4.7002044702326186e-28,3.0085865050673424e-22,3.5078312533344464e-30,1.2391910969447526e-32,3.0333174652937878e-32,1.1229655460642927e-32,1.0773857943043891e-49
6.291455e-09,0.0017864769177891827,0.84210526299999999,0.0,0.0,0.0,0.052631578999998291,0.10526315799999778,1.1975205365664224e-15,1.7093035023926023e-15,5.117845098170373e-16,2.8242027118824957e-28,1.4636000771263517e-22,1.5322812213043364e-22,6.8705074767501775e-24,6.9314367073445254e-22,8.3415776390843336e-23,1.6316818903774385e-27,3.0406067681192355e-22,1.2240899144317324e-29,3.5630491950533854e-32,1.1269138085556353e-31,4.1611746243648842e-32,5.2425886106436586e-49
9.999999999999999e-09,0.0017864769177891814,0.84210526299999999,0.0,0.0,0.0,0.052631578999997285,0.10526315799999617,1.5926409897905168e-15,2.7168646363859273e-15,1.1242269895436663e-15,6.2038742369236777e-28,5.1507190258100164e-22,5.5529898547805197e-22,4.0239653279938049e-23,1.7746746543112859e-21,3.0229410051688429e-22,9.3881137436606079e-27,3.0865584592282432e-22,6.1963875754416708e-29,1.3892351907087688e-31,7.3584527877232355e-31,2.6924370513781478e-31,5.3386821993535901e-48
1.0485759000000001e-08,0.0017864769177891814,0.84210526299999999,0.0,0.0,0.0,0.052631578999997153,0.10526315799999596,1.6443953344830266e-15,2.8488387364406566e-15,1.2044469805400085e-15,6.6465561675278607e-28,5.6336715620185943e-22,6.0796372070679455e-22,4.4610467951517018e-23,1.916337600035634e-21,3.3096359646452473e-22,1.0404080000135588e-26,3.0925773824235718e-22,6.8476775933636702e-29,1.5245322345924241e-31,8.174682911122437e-31,2.9905978468396341e-31,5.9692932520397651e-48
1.4680063000000002e-08,0.0017864769177891799,0.84210526299999999,0.0,0.0,0.0,0.052631578999996015,0.105263157999994,1.96119738218449e-15,3.9883734812933555e-15,2.0271824258191227e-15,1.1186698464617941e-27,1.2453257371411765e-21,1.3733223446359753e-21,1.2803482732449616e-22,3.6288081049357224e-21,7.4760102583189667e-22,2.9535414416989854e-26,3.1437438073825533e-22,1.8410554003091044e-28,3.5478759134349423e-31,2.4576179498128233e-30,8.9402431467180695e-31,2.1975949539181869e-47
1.8874367000000002e-08,0.0017864769177891786,0.84210526299999999,0.0,0.0,0.0,0.052631578999994877,0.10526315799999195,2.1871104582561154e-15,5.1279077368773696e-15,2.9408070515435025e-15,1.6228399519430525e-27,2.2077674512129436e-21,2.4836205416977238e-21,2.7593314803596462e-22,5.8305546266992444e-21,1.3520034555972268e-21,6.3041678537708316e-26,3.1948576600640372e-22,3.7047375273472519e-28,6.5342651093743359e-31,5.478347239813105e-30,1.9827234060714637e-30,5.4251139108966898e-47
2.7262975000000003e-08,0.0017864769177891747,0.84210526299999999,0.0,0.0,0.0,0.052631578999992601,0.1052631579999877,2.5038261081747366e-15,7.4069750997573641e-15,4.903167285986865e-15,2.7057391989243918e-27,4.8002551210650815e-21,5.5822592627355024e-21,7.8222331940989627e-22,1.1382346793524295e-20,3.0387447100851612e-21,1.7594498272295091e-25,3.2970802125044686e-22,9.3322707491423983e-28,1.4989591102587052e-30,1.6272953180492152e-29,5.8390696243524583e-30,1.8969107735480737e-46
3.5651583e-08,0.0017864769177891708,0.84210526299999999,0.0,0.0,0.0,0.052631578999990325,0.1052631579999833,2.666964179335325e-15,9.6860406634230968e-15,7.019105866224248e-15,3.8733884281941213e-27,8.4250878464836988e-21,1.010759003772223e-20,1.6829625498812912e-21,1.8733376737809991e-20,5.5020406277598148e-21,3.7352855395483062e-25,3.3993134806249425e-22,1.8130888602020022e-27,2.7507027278706065e-30,3.6287753617421623e-29,1.2923720827294193e-29,4.3836240782939834e-46
5.2428799000000005e-08,0.0017864769177891632,0.84210526299999999,0.0,0.0,0.0,0.052631578999985766,0.10526315799997435,2.8295584493979418e-15,1.4244165882921176e-14,1.1414667824674739e-14,6.299013968051646e-27,1.8657870843457799e-20,2.4141449408557355e-20,5.4850139282011138e-21,3.9343481450372237e-20,1.3140680494711848e-20,1.1753142131677487e-24,3.6038047125521609e-22,4.7353077027868066e-27,6.7015336329902785e-30,1.2917238120771013e-28,4.4964375938562817e-29,1.7353494410844665e-45
6.9206015e-08,0.0017864769177891552,0.84210526299999999,0.0,0.0,0.0,0.052631578999981207,0.10526315799996527,2.8692461157307512e-15,1.8802279888488616e-14,1.5933142895490206e-14,8.792467325964017e-27,3.3598835309955527e-20,4.7799321604017792e-20,1.4204065703667296e-20,7.1168264128500703e-20,2.6016345219991192e-20,2.9263839038014697e-24,3.8083730343735886e-22,9.8339647082529576e-27,1.3494921614721509e-29,3.6863588458711174e-28,1.2474050653111053e-28,5.0240599663893547e-45
8.5983231e-08,0.0017864769177891471,0.84210526299999999,0.0,0.0,0.0,0.052631578999976648,0.10526315799995621,2.9221801992992301e-15,2.3360387258410033e-14,2.0438376200671574e-14,1.1278613407597506e-26,5.052650275726263e-20,7.7228068438224826e-20,2.6708158961137473e-20,1.096294950594416e-19,4.2031596680151032e-20,5.36528198706666e-24,4.0129965258365235e-22,1.6249038515887674e-26,2.203378604135642e-29,7.3817741035751715e-28,2.450237820656235e-28,1.0123937417751062e-44
9.999999999999998e-08,0.0017864769177891309,0.84210526299999999,0.0,0.0,0.0,0.052631578999972839,0.10526315799994865,2.9711255254321114e-15,2.7168509859257501e-14,2.4197629873268187e-14,1.3353101707651268e-26,6.7350496423394783e-20,1.1437504231071958e-19,4.7035893389782436e-20,1.5622898441771257e-19,6.2242404734023235e-20,9.06293092882472e-24,4.1840849845706377e-22,2.4690544810001435e-26,3.3087726844576906e-29,1.4873901102578102e-27,4.702652620247487e-28,2.1419321201024895e-44
1.1953766300000002e-07,0.0017864769177891309,0.84210526299999999,0.0,0.0,0.0,0.052631578999967531,0.1052631579999381,3.0393493284647028e-15,3.2476567375083125e-14,2.9437570075372202e-14,1.6244684875205316e-26,9.0801087537725476e-20,1.6615338416615079e-19,7.5370270935732188e-20,2.211829776706504e-19,9.041380120308415e-20,1.4217001664839269e-23,4.4225613873662143e-22,3.6456972949523043e-26,4.8495569424794363e-29,2.5317010528132683e-27,7.8422435838016853e-28,3.716370578874765e-44
1.8664652700000002e-07,0.0017864769177890986,0.84210526299999999,0.0,0.0,0.0,0.052631578999949295,0.10526315799990187,3.2799157957421038e-15,5.0708802415091673e-14,4.7429844123565862e-14,2.617345405306088e-26,1.8217825368000544e-19,4.527505028589263e-19,2.7063618283853245e-19,5.6953888097780336e-19,2.4627233481187368e-19,4.7150053335221468e-23,5.2429111266539903e-22,1.0643178779566178e-25,1.3695193363570718e-28,1.266155554340006e-26,3.4229817493054351e-27,2.0143380477583711e-43
3.20864255e-07,0.0017864769177890344,0.84210526299999999,0.0,0.0,0.0,0.052631578999912831,0.10526315799982942,3.7627405436391905e-15,8.7172771954459314e-14,8.3413188140254901e-14,4.6030327954706133e-26,3.787850038559005e-19,1.4611420218432553e-18,1.0826299054581597e-18,1.7672281325140835e-18,7.9413083147529272e-19,1.7526333130962756e-22,6.8885983060712403e-22,3.8641479073522871e-25,4.6423373609814305e-28,8.1337040021096698e-26,1.740633859314693e-26,1.4883025033852901e-42
5.89299711e-07,0.0017864769177889058,0.84210526299999999,0.0,0.0,0.0,0.052631578999839883,0.10526315799968453,4.7286538791189577e-15,1.6009871073856539e-13,1.5538160975438039e-13,8.5745032408764372e-26,7.8286387213324924e-19,5.2205694339165273e-18,4.4390486832141311e-18,6.1663700139514795e-18,2.8326225980579493e-18,6.8134952288280796e-22,1.019999453766355e-21,1.6759654190133687e-24,1.7539567703291497e-27,6.0027317752645056e-25,9.018908946930276e-26,1.3822788616052288e-41
9.999999999999997e-07,0.0017864769177886488,0.84210526299999999,0.0,0.0,0.0,0.052631578999728271,0.10526315799946281,6.2065749522021487e-15,2.7166766886627573e-13,2.6549775450213515e-13,1.4651099123080742e-25,1.4058709540321266e-18,1.631618050049339e-17,1.491640544035254e-17,1.9027491165687067e-17,8.8254200282440865e-18,2.21785654636694e-21,1.5327434769809829e-21,6.8641952305855796e-24,5.743352616635685e-27,3.7548869664332479e-24,3.5959570413962492e-25,1.2055130789719633e-40
1.1261706230000002e-06,0.0017864769177886488,0.84210526299999999,0.0,0.0,0.0,0.052631578999693986,0.1052631579993947,6.6606048799379325e-15,3.0594260202668115e-13,2.9932637103174871e-13,1.6517881077492648e-25,1.5972640301071078e-18,1.9724846621095278e-17,1.8135138577015657e-17,2.2978537005328451e-17,1.066645838524263e-17,2.6898845765124691e-21,1.6902628033151223e-21,8.4580635699215705e-24,6.9689289622177303e-27,4.7240111616946811e-24,4.4235970826545506e-25,1.5333921706170514e-40
2.1999124470000003e-06,0.0017864769177881343,0.84210526299999999,0.0,0.0,0.0,0.052631578999402108,0.10526315799881497,1.0524936616402319e-14,5.9759855779378638e-13,5.8724777278475395e-13,3.2406395957031958e-25,3.2345813779460139e-18,7.6793005912851499e-17,7.3606390024391886e-17,8.8649056333491762e-17,4.1248445759411527e-17,1.0662666282563665e-20,3.0624870823933375e-21,4.8091213400357648e-23,2.8131452546739169e-26,3.8016570189176216e-23,2.02059136816353e-24,1.9506762118055275e-39
4.347396095000001e-06,0.001786476917787105,0.84210526299999999,0.0,0.0,0.0,0.052631578998818061,0.1052631579976552,1.8255328797705224e-14,1.1807840946864174e-12,1.1632190575781496e-12,6.4190515765519598e-25,6.5391705813072252e-18,3.0409756135799367e-16,2.9789258547635891e-16,3.4810028806032526e-16,1.6117875638763716e-16,4.219527503044107e-20,5.9318321352027639e-21,2.9232104190945376e-22,1.1387562184852263e-25,3.075519492003817e-22,8.741669083080368e-24,2.7376909749955286e-38
6.494879743000001e-06,0.001786476917786076,0.84210526299999999,0.0,0.0,0.0,0.052631578998233716,0.10526315799649513,2.5987462272227477e-14,1.7638441756943421e-12,1.7393197681849114e-12,9.5981777745675856e-25,9.8732187793640827e-18,6.4548687691253246e-16,6.3653288386502616e-16,7.3558741893518092e-16,3.3899819112056761e-16,8.908285539794956e-20,8.9242097954954974e-21,7.7776673216107805e-22,2.4340603235300926e-25,8.836764622311794e-22,1.9060856734149864e-23,1.0041652528662581e-37
8.642363391000001e-06,0.001786476917785046,0.84210526299999999,0.0,0.0,0.0,0.052631578997649059,0.10526315799533476,3.3721349479670847e-14,2.3467797061019305e-12,2.3155508360130239e-12,1.2778023329586446e-24,1.3236338734698154e-17,1.1018643798370299e-15,1.0905244137619913e-15,1.2510363810459491e-15,5.7384293568173314e-16,1.5109678627517593e-19,1.203778390662564e-20,1.566969184716952e-21,4.1707166392581826e-25,1.8708549924999919e-21,3.3007263620060551e-23,2.7662730025867451e-37
9.999999999999997e-06,0.0017864769177829854,0.84210526299999999,0.0,0.0,0.0,0.05263157899727932,0.10526315799460105,3.8611418146678477e-14,2.7152610576576141e-12,2.6798965355180025e-12,1.4788610952772544e-24,1.5374032171254875e-17,1.4372710228799848e-15,1.4246191079327455e-15,1.6285117489385989e-15,7.4487639169218183e-16,1.9628773395265096e-19,1.4054139447733509e-20,2.228964495514719e-21,5.448590145280632e-25,2.7171349271982473e-21,4.3303212911080939e-23,4.9123404815278711e-37
1.2937330687000002e-05,0.0017864769177829854,0.84210526299999999,0.0,0.0,0.0,0.05263157899647903,0.10526315799301328,4.9193277713445878e-14,3.5123612101943949e-12,3.4683217508246992e-12,1.9139418391622308e-24,2.0029639145475301e-17,2.2872417500153679e-15,2.2722721890494204e-15,2.5820240807881684e-15,1.1747396331765369e-15,3.0993013853621922e-19,1.8543789914378023e-20,4.0935272671061449e-21,8.6904443694457797e-25,5.1371535677918179e-21,6.9500239200466499e-23,1.2291598561299229e-36
1.7232297983000004e-05,0.001786476917780924,0.84210526299999999,0.0,0.0,0.0,0.052631578995307869,0.10526315799069065,6.4671755921320228e-14,4.6774920258817851e-12,4.6215795879249329e-12,2.5503500462126902e-24,2.6926738923510356e-17,3.9027912372539809e-15,3.8863042461564086e-15,4.3829611569125589e-15,1.9783533002139187e-15,5.2253974054513541e-19,2.5480630521496978e-20,8.251628906666939e-21,1.4861326758869524e-24,1.0794504557030578e-20,1.1956376294087955e-22,3.2832759940264191e-36
2.1527265279000006e-05,0.0017864769177788607,0.84210526299999999,0.0,0.0,0.0,0.052631578994135508,0.10526315798836682,8.0157331355535549e-14,5.8421457202769171e-12,5.7753650717742887e-12,3.1870494272995771e-24,3.3932612750472805e-17,5.9849944344828822e-15,5.969877591375937e-15,6.6869252739489439e-15,2.9936800222113761e-15,7.9131382473381292e-19,3.2867410548743954e-20,1.4346411531622936e-20,2.2823429412028677e-24,1.9729801863168578e-20,1.8434936901621263e-22,7.5770446077100676e-36
3.0117199871000006e-05,0.0017864769177747305,0.84210526299999999,0.0,0.0,0.0,0.052631578991787012,0.10526315798371527,1.1115073457916544e-13,8.1700289995531657e-12,8.0845906698990801e-12,4.4613612727418626e-24,4.8261778006527625e-17,1.1615920866958265e-14,1.1616611922600495e-14,1.283224065771002e-14,5.637401072029113e-15,1.4915074121742277e-18,4.894374947148474e-20,3.3101043476014838e-20,4.437693271846147e-24,5.2603883894524085e-20,3.6019033576629047e-22,2.8514691808891748e-35
3.870713446300001e-05,0.0017864769177705951,0.84210526299999999,0.0,0.0,0.0,0.052631578989433499,0.10526315797905855,1.4217408599775577e-13,1.0496055464533387e-11,1.0396043365005093e-11,5.7369021086319697e-24,6.2998510675694665e-17,1.9223305955855991e-14,1.9260931507551381e-14,2.1013316459259903e-14,9.0640895147482739e-15,2.3994248051494823e-18,6.6683771693818893e-20,6.082024195523163e-20,7.3517365696315777e-24,1.0996465768110219e-19,5.9839363780196439e-22,7.5567688738048376e-35
5.588700364700001e-05,0.0017864769177623082,0.84210526299999999,0.0,0.0,0.0,0.052631578984711165,0.10526315796972908,2.0431395834662379e-13,1.5142777743643231e-11,1.5025878960388726e-11,8.2918081113642765e-24,9.3594042887486586e-17,4.060670384081099e-14,4.0812191573163086e-14,4.3458457554158118e-14,1.80403071820154e-14,4.778484203917235e-18,1.0667341771567249e-19,1.442984706869812e-19,1.5547863348460683e-23,3.3631318572357317e-19,1.2694607859264648e-21,3.3511276874748949e-34
