Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9),CH3O2(17),OH(11),CH2O(24),H2O(33),H2O2(13),CH3OOH(15),CH3O(19),H(4),C2H6O2(21),HCO(39),CO(40),CHO3(66),acetyl(76)
0.0,0.0017864769177891834,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0017864769177891834,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.7168663665340815e-22,2.7168567373913648e-22,2.755586099010713e-29,2.1325582376752702e-42,3.478675840343859e-43,3.4785811908264037e-43,5.5560222077300792e-51,2.7812163240949993e-35,1.3503372191354856e-42,9.6810956154099976e-54,9.9047007722091107e-28,-5.0707274471672577e-56,1.4719889505729183e-58,1.6224065884281466e-64,6.0712983308612792e-65,-4.7568008740132812e-94
3.0000000000000002e-15,0.0017864769177891834,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,8.9268457274918304e-22,8.9268149943934533e-22,1.8108136412823876e-28,1.9252480296521083e-41,4.1343909785758625e-42,4.1343017670966764e-42,8.1907429413477477e-50,1.8276564415575863e-34,1.2731813662720008e-41,1.1893962376001046e-52,3.2543908370889973e-27,2.9989728934909357e-54,2.1700298968261993e-57,2.8553227487041487e-63,1.0685062762817968e-63,2.2887339516695053e-92
7e-15,0.0017864769177891834,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.9794304265307613e-21,1.9794241944781802e-21,9.8413756233134761e-28,2.2608417802436556e-40,1.51649111411498e-40,1.5164767895417449e-40,9.770258623430226e-48,9.9329154435814921e-34,2.0563738572103626e-40,6.0161184891379452e-51,7.2161881575642889e-27,5.7862135601593683e-53,2.5885247577439835e-55,1.1440703079939813e-60,4.2812893489537005e-61,1.0538926610332156e-88
1.5e-14,0.0017864769177891834,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,4.1529203705231847e-21,4.1529095847653061e-21,4.3538224725179418e-27,1.4583133934851601e-39,2.0546753123528735e-39,2.0546621716088478e-39,2.7230283570836776e-46,4.3943217924857241e-33,1.9124650637677917e-39,1.1570577619752815e-49,1.5139571562174693e-26,1.0375829682484275e-51,7.2143470704036353e-54,6.475652725571527e-59,2.4232900969658137e-59,2.3322464209072057e-86
3.1e-14,0.0017864769177891834,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,8.4998932042366945e-21,8.4998803661773396e-21,1.8147470746689398e-26,7.6442256319183429e-39,2.2005312661873499e-38,2.2005205350667856e-38,5.8956842117817525e-45,1.8316296080984895e-32,1.6141159796127478e-38,1.9672615685365651e-48,3.0985493471140126e-26,1.7753786762588108e-50,1.5619759485370355e-52,2.8192990190443494e-57,1.0550255556838915e-57,4.1609117229598396e-84
6.300000000000001e-14,0.0017864769177891834,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.7193810654671191e-20,1.7193821932352167e-20,7.3951788299944818e-26,3.5477008452145377e-38,2.0718778294390324e-37,2.0718696817907388e-37,1.1178792376858032e-43,7.4639899837780831e-32,1.3210634718439155e-37,3.2275140616238275e-47,6.2673958048853722e-26,2.9334097902745054e-49,2.9615876688873995e-51,1.0727441671465672e-55,4.0143752444526789e-56,6.4106772717314528e-82
1.2700000000000001e-13,0.0017864769177891834,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.4581532688312559e-20,3.4581705078101981e-20,2.9842776494874522e-25,1.5338824783376553e-37,1.8084947153051526e-36,1.8084891844767961e-36,1.9604061473840934e-42,3.0120572815711634e-31,1.0680467082550283e-36,5.2233790085957185e-46,1.2603737312922973e-25,4.7668872336253257e-48,5.1934317200830984e-50,3.770718367838373e-54,1.4110611333377224e-54,9.0689380717073936e-80
2.55e-13,0.0017864769177891834,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,6.9356525292624547e-20,6.9357471423179151e-20,1.198843144674768e-24,6.3833722502127448e-37,1.5136406074613208e-35,1.5136378740652603e-35,3.2904855000642845e-41,1.210011868710885e-30,8.5877604728952424e-36,8.4031427401637233e-45,2.5271017006646364e-25,7.6852514280808315e-47,8.7161650024465263e-49,1.2673828076682201e-52,4.7427409407776344e-53,1.222937578446934e-77
5.11e-13,0.0017864769177891834,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.3890470469688208e-19,1.3890900432745926e-19,4.8054800931649285e-24,2.6047424704323491e-36,1.2390553906546534e-34,1.2390559540992621e-34,5.3952295144263125e-40,4.8503220910109674e-30,6.8872268814806477e-35,1.348079038986204e-43,5.0583981550279776e-25,1.2342533026049083e-45,1.4288592662057938e-47,4.1584045222206947e-51,1.5561377664263196e-51,1.6071125649451759e-75
