Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9),CH3O2(17),OH(11),CH2O(24),H2O(33),H2O2(13),CH3OOH(15)
0.0,0.00272734179028733,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.00272734179028733,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,8.7815260615265981e-25,8.7815265309657001e-25,4.6943922753850057e-32,7.2678514998466337e-47,8.2492481070848713e-48,8.2492212231920889e-48,5.1044176476472088e-56,6.4477347956989606e-39,1.3464371889134142e-46
3.0000000000000002e-15,0.00272734179028733,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.8853584088287357e-24,2.8853587173172799e-24,3.0848862806040176e-31,6.6408783915611883e-46,9.8945343185332438e-47,9.8945089985443631e-47,7.580882501360265e-55,4.2370828657450143e-38,1.2694983324403394e-45
7e-15,0.00272734179028733,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,6.3979676531354801e-24,6.3979693297033968e-24,1.6765683768696902e-30,8.407905036701643e-45,3.9162350511870377e-45,3.9162310470695398e-45,9.7688615969117737e-53,2.3027624270352717e-37,2.050431414464556e-44
1.5e-14,0.00272734179028733,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.3423183137340624e-23,1.3423190554475219e-23,7.4171366333968282e-30,5.801843834047926e-44,5.6598347970098448e-44,5.6598312721946094e-44,2.8994140819118843e-51,1.0187420977203592e-36,1.9069392164495424e-43
3.1e-14,0.00272734179028733,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.7473602088127814e-23,2.7473633004017213e-23,3.0915897890022986e-29,3.2341968660558424e-43,6.4394365460954344e-43,6.4394339929697451e-43,6.6652276151489106e-50,4.2462939154524858e-36,1.6094528817334183e-42
6.300000000000001e-14,0.00272734179028733,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,5.5574391919292171e-23,5.5574517903094587e-23,1.2598383704120505e-28,1.5702165303097063e-42,6.3471161759875788e-42,6.3471148643105171e-42,1.3234293845544814e-48,1.7303877981708602e-35,1.3172480958239787e-41
1.2700000000000001e-13,0.00272734179028733,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.117757793006394e-22,1.1177628770122297e-22,5.0840072320668218e-28,6.977413347400846e-42,5.7032331698150904e-41,5.7032334302998196e-41,2.3909097246835206e-47,6.9828967837372355e-35,1.0649638623309329e-40
2.55e-13,0.00272734179028733,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.2417778494467755e-22,2.2417982729737404e-22,2.042353257517343e-27,2.9471711111378458e-41,4.8520800458002486e-40,4.8520824148793646e-40,4.0820854667368492e-46,2.805188344411786e-34,8.5630012667477111e-40
5.11e-13,0.00272734179028733,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,4.4897871980028366e-22,4.4898690648925369e-22,8.1866912188531669e-27,1.2118608912240095e-40,4.0064754091845935e-39,4.0064807900740605e-39,6.7547085192969208e-45,1.1244573152176866e-33,6.86741664170577e-39
1e-12,0.00272734179028733,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,8.7837187790922465e-22,8.7840355385025321e-22,3.1675949729978151e-26,4.7487796019522989e-40,3.1286831512930279e-38,3.1286926246427658e-38,1.0530499142193333e-43,4.3508181442024485e-33,5.2843785403769459e-38
1.023e-12,0.00272734179028733,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,8.9856828411884768e-22,8.9860106487132274e-22,3.2780761479990166e-26,4.9151377417207056e-40,3.2569956646644287e-38,3.257005558282057e-38,1.0994028080181195e-43,4.5025692670381324e-33,5.5006273096054667e-38
2.047e-12,0.00272734179028733,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.7976981938830939e-21,1.7978293816286996e-21,1.3118778164484718e-25,1.9797239493908903e-39,2.6266565689360063e-37,2.6266734306034996e-37,1.7742535876677822e-42,1.8019733131683529e-32,4.4030725477467894e-37
4.095e-12,0.00272734179028733,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.5957611594993829e-21,3.5962860151164097e-21,5.2485576122021378e-25,7.946035767583047e-39,2.109726630236543e-36,2.1097544350590366e-36,2.8509732797837237e-41,7.2097820704470563e-32,3.5233297360285099e-36
8.191e-12,0.00272734179028733,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,7.1910998476799005e-21,7.1931992819836568e-21,2.0994348805965802e-24,3.1835603810737648e-38,1.6909924220687291e-35,1.6910375671800315e-35,4.5709125702786215e-40,2.8842903521985564e-31,2.8187648632964415e-35
1e-11,0.00272734179028733,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,8.7782875161171314e-21,8.7817774312442701e-21,3.4899160861390186e-24,5.2943390151586835e-38,4.3071467639539867e-35,4.3073425781761406e-35,1.9725015274940375e-39,4.7952289739468585e-31,7.1751610297958155e-35
1.6383e-11,0.00272734179028733,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.4378629632001515e-20,1.4387025815285447e-20,8.3961855913780359e-24,1.2742155500158146e-37,1.3538165649666308e-34,1.3538893095140288e-34,7.3195793364412974e-39,1.1537916216964773e-30,2.2546568841164245e-34
3.2767e-11,0.00272734179028733,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.874110986416328e-20,2.877467888015823e-20,3.3569025224493265e-23,5.0965316455987225e-37,1.0830391452978047e-33,1.0831559022457303e-33,1.1711795847397966e-37,4.6153174241659871e-30,1.8029514220183266e-33
6.5535e-11,0.00272734179028733,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,5.7415841081450809e-20,5.754998500298059e-20,1.3414395844426096e-22,2.0370171333557008e-36,8.6574878766162969e-33,8.6593574966081788e-33,1.8725081313637632e-36,1.8461571545032958e-29,1.4410417934928213e-32
9.999999999999999e-11,0.00272734179028733,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,8.7470297022103179e-20,8.7815516162827262e-20,3.4521923586040675e-22,5.2426911174854044e-36,4.0456803961030706e-32,4.0473404491275063e-32,1.6614050489646043e-35,4.7588387261706866e-29,6.734645586329978e-32
1.31071e-10,0.00272734179028733,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.1456508885532558e-19,1.1510059722093248e-19,5.3550851323156792e-22,8.1326808566670101e-36,6.91246278420358e-32,6.915450863087452e-32,2.9903894174955453e-35,7.3846889833381763e-29,1.1506952664445264e-31
2.62143e-10,0.00272734179028733,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.2806830523565112e-19,2.3020182154606504e-19,2.1335169006407198e-21,3.2403008278594115e-35,5.5073930289326527e-31,5.5121569302162346e-31,4.7657497192914499e-34,2.9538876645976366e-28,9.1714047164317616e-31
5.24287e-10,0.00272734179028733,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,4.5193763948926815e-19,4.6040426975324522e-19,8.4666326227222619e-21,1.2859109863679878e-34,4.3697649847212149e-30,4.3773281809731509e-30,7.5646750040280625e-33,1.1815574788170616e-27,7.2830052336010998e-30
9.999999999999999e-10,0.00272734179028733,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,8.4711856744157589e-19,8.781528995995118e-19,3.1034340921971158e-20,4.7135492893943498e-34,3.1609052549415949e-29,3.1717837639206473e-29,1.0879596078094484e-31,4.3978222984601276e-27,5.2771420123140565e-29
1.0485750000000002e-09,0.00272734179028733,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,8.8747044677908289e-19,9.2080916439526575e-19,3.3338727034261598e-20,5.0635450443337919e-34,3.439045308598959e-29,3.4509573931747758e-29,1.1913267578897229e-31,4.7262347311961746e-27,5.7416236962830455e-29
2.0971510000000003e-09,0.00272734179028733,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.7123072525478307e-18,1.8416189465899473e-18,1.2931173158559993e-19,1.9640219094045797e-33,2.6641278857534047e-28,2.6826039599783534e-28,1.8477020627972376e-30,1.8904948476583504e-26,4.4632220792646685e-28
4.194303e-09,0.00272734179028733,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.1957278476069945e-18,3.6832384826218752e-18,4.8751078425157038e-19,7.4044703053105641e-33,2.0029290288818421e-27,2.0307672321410172e-27,2.7838960381811817e-29,7.5619812369642915e-26,3.3787066486749783e-27
8.388607e-09,0.00272734179028733,0.84210526299999999,0.0,0.0,0.0,0.052631578999999991,0.105263158,5.619482071291985e-18,7.3664774412559854e-18,1.7469959606579132e-18,2.6533977240665792e-32,1.426463476453955e-26,1.4662681291732767e-26,3.9805258417508386e-28,3.0247928128304716e-25,2.4395118740912899e-26
9.999999999999999e-09,0.00272734179028733,0.84210526299999999,0.0,0.0,0.0,0.052631578999999991,0.105263158,6.2626693177710248e-18,8.7815263050747499e-18,2.5188579115329298e-18,3.8257295947995661e-32,2.9354302818732967e-26,3.0677823940629318e-26,1.323535323405858e-27,4.7679175672386134e-25,5.1040373960946112e-26
1.6777215e-08,0.00272734179028733,0.84210526299999999,0.0,0.0,0.0,0.052631578999999984,0.10526315799999998,8.9677935516769993e-18,1.4732954904805251e-17,5.765163680143959e-18,8.756336305459019e-32,9.2818600281797902e-26,9.8034492976203823e-26,5.2159411502624359e-27,1.2099171477641719e-24,1.6310529130639668e-25
3.3554431e-08,0.00272734179028733,0.84210526299999999,0.0,0.0,0.0,0.05263157899999997,0.10526315799999995,1.2504912010578943e-17,2.9465908017028206e-17,1.6961005157276776e-17,2.5760989749807211e-31,5.2850962314254371e-25,5.8859134490696764e-25,6.008210941125778e-26,4.8396683085051204e-24,9.7927082638776863e-25
6.7108863e-08,0.0027273417902873294,0.84210526299999999,0.0,0.0,0.0,0.052631578999999942,0.1052631579999999,1.5059163384088433e-17,5.8931806981973568e-17,4.3872679776084312e-17,6.6635429520251738e-31,2.5391464415103911e-24,3.1264182568371367e-24,5.872749165009505e-25,1.9358670046393886e-23,5.2015877010228795e-24
9.999999999999998e-08,0.0027273417902873294,0.84210526299999999,0.0,0.0,0.0,0.052631578999999915,0.10526315799999984,1.5633229489989948e-17,8.7815217737904488e-17,7.2182077647306109e-17,1.0963278421071989e-30,6.2459272878241487e-24,8.889207989903576e-24,2.6432944427982369e-24,4.7822646223221969e-23,1.478944499230922e-23
