Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9),CH3O2(17),OH(11),CH2O(24),H2O(33),H2O2(13),CH3OOH(15),CH3O(19),H(4),C2H6O2(21),HCO(39),CO(40),CHO3(66),acetyl(76),CH3OH(35)
0.0,0.0034963099562058527,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0034963099562058527,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.4279204022266719e-22,1.4279100664310152e-22,7.4091017017802509e-30,5.853803377393851e-43,9.5677260410987479e-44,9.5674627315020841e-44,7.8307164718245732e-52,7.557666205320609e-36,1.8794459882856538e-43,1.375077601116132e-54,1.0409886522239937e-27,-3.6613818215852834e-57,2.1102378722747769e-59,1.1918692701624417e-65,4.4472948037389774e-66,-9.4221082135997836e-96,1.9627920991942988e-64
3.0000000000000002e-15,0.0034963099562058527,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,4.6917382210174111e-22,4.691704504045671e-22,4.8688381484030277e-29,5.2843452322722243e-42,1.1370548709822083e-42,1.1370300488052189e-42,1.1543586338737678e-50,4.9664663635227491e-35,1.7720579572271985e-42,1.6893875408574799e-53,3.4203854559551796e-27,2.1654457476154426e-55,3.1108036221895387e-58,2.0975261639633353e-64,7.8266278320246911e-65,4.5335099167990967e-94,2.9722535487027737e-63
7e-15,0.0034963099562058527,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.040341796706659e-21,1.0403344770213944e-21,2.6461072905471351e-28,6.2027057874693896e-41,4.16882666450241e-41,4.1687866918564248e-41,1.3763359932146186e-48,2.6991665020076923e-34,2.8621326824266271e-41,8.5451394746569705e-52,7.5842954535395653e-27,4.1780088264062589e-54,3.7090364930414442e-56,8.4004791574763492e-62,3.1345221887933814e-62,2.0864687591812789e-90,4.9087090499813244e-61
1.5e-14,0.0034963099562058527,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.1826772717348302e-21,2.1826625303681202e-21,1.1706375722562735e-27,3.9994444840329523e-40,5.6462727889869293e-40,5.6462358690487362e-40,3.8345924079837794e-47,1.1941112605566641e-33,2.6618359842544323e-40,1.6434553237704297e-50,1.5912001894534421e-26,7.4920028273320065e-53,1.0333698312816927e-54,4.7532101462864449e-60,1.773594349035637e-60,4.615755974722832e-88,1.9258069042816795e-59
3.1e-14,0.0034963099562058527,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,4.4673463250661328e-21,4.467318637513841e-21,4.8794182342771523e-27,2.0957742189802278e-39,6.0451913732029603e-39,6.045160719031941e-39,8.2997694625799309e-46,4.9772630305453152e-33,2.2465842116555652e-39,2.7942492733257569e-49,3.2566960572230562e-26,1.2819364078726559e-51,2.2366626320311651e-53,2.0687711239356618e-58,7.7193317995889085e-59,8.2323704956151295e-86,6.5743017193452908e-58
6.300000000000001e-14,0.0034963099562058527,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,9.0366768448415058e-21,9.0366308536142598e-21,1.9883874527827851e-26,9.7244098448932177e-39,5.6904878617828463e-38,5.690463666858496e-38,1.5733613389213982e-44,2.0282616770650806e-32,1.8387048301006044e-38,4.5842842067019206e-48,6.5875061209659702e-26,2.1181123042384813e-50,4.2399207660591059e-52,7.8699847995541459e-57,2.9365751579929483e-57,1.2680803674094343e-83,2.1597349941253144e-56
1.2700000000000001e-13,0.0034963099562058527,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.8175307536946795e-20,1.8175255293050217e-20,8.0240263529620997e-26,4.2039126625758118e-38,4.9664273326012294e-37,4.9664092579378282e-37,2.7587941875170321e-43,8.1849525075537859e-32,1.4865492860050853e-37,7.4191753429165117e-47,1.3248399640626815e-25,3.4420141327116288e-49,7.4342595722670973e-51,2.7659921263151105e-55,1.032091246426336e-55,1.7936945759354216e-81,6.9937869000026019e-55
2.55e-13,0.0034963099562058527,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.6452447532203231e-20,3.6452504200856277e-20,3.2234211949086606e-25,1.7493787595453182e-37,4.1564118759185859e-36,4.1563997540161833e-36,4.6302091711724426e-42,3.2880814517727979e-31,1.195282215167007e-36,1.1935682171473357e-45,2.6567280883392061e-25,5.5493088997040428e-48,1.2476624208552747e-49,9.2965521936152608e-54,3.4688771790861697e-54,2.4187111191513752e-79,2.2507160384174965e-53
5.11e-13,0.0034963099562058527,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,7.3006241973521072e-20,7.3007002132154207e-20,1.2920955217254243e-24,7.1381638301037244e-37,3.4023012769924067e-35,3.4022954326004996e-35,7.5916415251665783e-41,1.318024600894056e-30,9.5860096267164871e-36,1.9148011477313966e-44,5.3193425258427274e-25,8.9123291144542815e-47,2.0454468047917592e-48,3.0504696826654178e-52,1.1382389342252493e-52,3.1787247026114573e-77,7.2221713672113628e-52
