Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9),CH3O2(17),OH(11)
0.0,0.0019099097232112203,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,0.0,0.0,0.0,0.0,0.0
1e-15,0.0019099097232112203,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.9187385319071874e-23,2.9187387846685114e-23,2.5276132415869242e-30,4.547084041946664e-44,0.0
3.0000000000000002e-15,0.0019099097232112203,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,9.5901400600507543e-23,9.5901417210536782e-23,1.6610029244972149e-29,4.2872505550712191e-43,0.0
7e-15,0.0019099097232112203,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.126508783254014e-22,2.1265096859727726e-22,9.0271875850068999e-29,6.9245575561709718e-42,0.0
1.5e-14,0.0019099097232112203,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,4.4614967200814272e-22,4.4615007137075813e-22,3.9936261546170817e-28,6.4399660016653828e-41,0.0
3.1e-14,0.0019099097232112203,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,9.1314661230634044e-22,9.1314827691771995e-22,1.6646113795430315e-27,5.4353168629758775e-40,0.0
6.300000000000001e-14,0.0019099097232112203,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.8471379046408025e-21,1.8471446880116438e-21,6.7833708411760231e-27,4.4485034475580036e-39,0.0
1.2700000000000001e-13,0.0019099097232112203,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.7151101363196402e-21,3.7151375101994911e-21,2.737387985094969e-26,3.5965054808462346e-38,0.0
2.55e-13,0.0019099097232112203,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,7.4510131881781436e-21,7.4511231545751857e-21,1.0996639704267414e-25,2.8918174280466665e-37,0.0
5.11e-13,0.0019099097232112203,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.4922653649587767e-20,1.4923094443326576e-20,4.407937388061729e-25,2.3191896979143901e-36,0.0
1e-12,0.0019099097232112203,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.9194021597512187e-20,2.9195727100355597e-20,1.7055028433911058e-24,1.7845669615801329e-35,0.0
1.023e-12,0.0019099097232112203,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.9865272032690634e-20,2.9867037020829355e-20,1.7649881386987815e-24,1.8575953947317485e-35,0.0
2.047e-12,0.0019099097232112203,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,5.9747858876115023e-20,5.9754922175834918e-20,7.0632997197426919e-24,1.4869172626899808e-34,0.0
4.095e-12,0.0019099097232112203,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.1950243476017515e-19,1.1953069248584603e-19,2.8257725669702836e-23,1.189784666882213e-33,0.0
8.191e-12,0.0019099097232112203,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.3896921041845334e-19,2.3908223310586823e-19,1.1302268740537537e-22,9.5179225652114871e-33,0.0
1e-11,0.0019099097232112203,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.9169435436271329e-19,2.9188221772052162e-19,1.8786335778413902e-22,2.4225397546457011e-32,0.0
