Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9),CH3O2(17),OH(11),CH2O(24),H2O(33),H2O2(13),CH3OOH(15),CH3O(19),H(4),C2H6O2(21),HCO(39),CO(40),CHO3(66),acetyl(76),CH3OH(35),CH2OH(41),O(12),CHO3(77),CO2(174),CHO3(176)
0.0,0.002799344916513253,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.002799344916513253,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,5.2034481425910582e-23,5.2034366419985256e-23,3.1998201240061759e-30,1.0231075549615284e-43,8.8211182808152769e-41,1.534788022672563e-44,7.9561389391338146e-49,2.0545263970715889e-36,5.7549246934360683e-44,1.0326722853800484e-46,1.1820574136998524e-28,-7.1969051748292697e-58,1.7723669946559069e-60,1.2054718455080346e-66,4.6652151289016584e-67,-3.6428425243974933e-97,1.3865293164663224e-56,4.1001577763184768e-56,8.8195938252765768e-41,1.3565978914215393e-80,6.1216784256358188e-81,5.4206450736038939e-91
3.0000000000000002e-15,0.002799344916513253,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.7097042845716173e-22,1.709700610950225e-22,2.1027388817794633e-29,9.2651327906510108e-43,5.7975546822981175e-40,1.8283955112967162e-43,7.5022418514186677e-48,1.350117346649705e-35,5.4260865312251111e-43,9.7366241788864786e-46,3.8838950103229503e-28,4.2564551769683674e-56,2.6178138259744344e-59,2.1249213341237343e-65,8.223514459042613e-66,1.7517332462029566e-95,1.7034502727969016e-55,5.0373355988008227e-55,5.7957360288503747e-40,2.658393785885773e-79,1.3745112589059849e-79,1.2143347335585973e-89
7e-15,0.002799344916513253,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.7910827370825816e-22,3.7910752678097267e-22,1.1427926694699006e-28,1.1083960870810059e-41,3.1566849777220296e-39,6.8337650795428114e-42,1.2138813917332506e-46,7.3375942753641737e-35,8.7639354603133949e-42,1.5726119947237057e-44,8.6120640572568332e-28,8.2123998490609211e-55,3.182810804235148e-57,8.6803786727659612e-63,3.3593346658119756e-63,8.2416405840437916e-92,8.6162873267884081e-54,2.547947968133048e-53,3.1498669477644152e-39,2.0225663632425706e-76,3.6521249506128783e-76,3.0690632556785236e-86
1.5e-14,0.002799344916513253,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,7.9538375942227647e-22,7.9538245816816865e-22,5.0557132921174449e-28,7.2635094232626152e-41,1.4028944612393676e-38,9.4003073623851647e-41,1.1336519266195666e-45,3.2461517074902207e-34,8.1506213814036026e-41,1.4625581715079548e-43,1.8068247879632866e-27,1.4726469006160061e-53,9.0025708373961381e-56,4.9852681406205242e-61,1.9293148994402304e-61,1.8504669949309177e-89,1.6571393083554763e-52,4.9003583201539688e-52,1.3935087883041186e-38,1.4172820430687683e-74,5.1529348668617394e-74,4.0528228138300744e-84
3.1e-14,0.002799344916513253,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.6279339116984303e-21,1.6279323210037412e-21,2.107307862721195e-27,3.8598327985917556e-40,5.9103692920410453e-38,1.0204394188807658e-39,9.6629504163747559e-45,1.3530523844622664e-33,6.8791075654578919e-40,1.2343959264478604e-42,3.6979998458575432e-27,2.5198059981902132e-52,1.9754365651553412e-54,2.1995954099152574e-59,8.5125052211990269e-60,3.3457273056137629e-87,2.8175153426341405e-51,8.3316691529108954e-51,5.8084488739197365e-38,7.0095789370270786e-73,5.1124705072826727e-72,3.5641967276452852e-82
6.300000000000001e-14,0.002799344916513253,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.2930309396497263e-21,3.2930320469195921e-21,8.5873840453087377e-27,1.8085575043828175e-39,2.4639462307596889e-37,9.7022320891474956e-39,8.0777738093539287e-44,5.5137618430836264e-33,5.6301679308120201e-39,1.0102843396278812e-41,7.4801031514471451e-27,4.1634127143966232e-51,3.7827443133888598e-53,8.4530025300254003e-58,3.2713391203981038e-58,5.2062924484716771e-85,4.6224551622505789e-50,1.3668858865900165e-49,2.3670250241513701e-37,2.8657158274679881e-71,4.1892389372135898e-70,2.3790836373237374e-80
1.2700000000000001e-13,0.002799344916513253,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,6.6232118892004324e-21,6.6232314997299906e-21,3.4653896710156933e-26,7.8635390463889853e-39,1.0403590478294563e-36,8.5198438899198846e-38,6.8131773260143609e-43,2.2250520887545005e-32,4.5518559747494074e-38,8.1679029693946781e-41,1.5043322650812999e-26,6.7657017008398897e-50,6.6746333740241072e-52,2.9899626399170299e-56,1.1571250442329861e-56,7.4118512756469479e-83,7.4809519658561575e-49,2.212096525551624e-48,9.5524238567881807e-37,1.0468724717337549e-69,3.0652751219247389e-68,1.2692212015479161e-78
2.55e-13,0.002799344916513253,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.3283521363311606e-20,1.328363040926454e-20,1.3921194594105604e-25,3.2823160889120441e-38,4.5525507956475372e-36,7.1545515422939134e-37,5.9371740362864508e-42,8.9385399504850557e-32,3.6599857344931321e-37,6.5675142207779648e-40,3.0165814233880003e-26,1.0907834208536235e-48,1.1241536244360211e-50,1.0085758835811961e-54,3.9032200641981961e-55,1.0031402209475679e-80,1.2035069244332592e-47,3.5585339515321866e-47,3.8377536385126627e-36,3.589903050734723e-68,2.1041910643076357e-66,5.6473598463872852e-77
5.11e-13,0.002799344916513253,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.6603930614911321e-20,2.6604428243980409e-20,5.580248016808923e-25,1.3414233865952974e-37,2.1247892340747423e-35,5.866946212945357e-36,5.4997963871253471e-41,3.5830059900897489e-31,2.9352579116158676e-36,5.267045129931365e-39,6.0395015985753686e-26,1.7518209131698341e-47,1.8464032761914863e-49,3.3157759203579589e-53,1.2832151688284494e-53,1.3210124469302371e-78,1.9307465193258478e-46,5.7081898840945221e-46,1.5386230561895962e-35,1.1900556379745494e-66,1.3958010198448155e-64,2.1976346718993881e-75
