Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9),CH3O2(17),OH(11),CH2O(24),H2O(33),H2O2(13),CH3OOH(15),CH3O(19),H(4),C2H6O2(21)
0.0,0.003552184154497359,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.003552184154497359,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.9756652841104871e-21,2.9754423416226248e-21,1.7421945156151782e-28,1.2852286264951876e-40,2.6104259985388738e-41,2.6101890273809296e-41,2.8965554535759485e-49,5.5987573129566531e-34,1.8016537523063684e-41,1.1723107299830788e-51,2.2311670619499046e-25,-1.7659184472087936e-54
3.0000000000000002e-15,0.003552184154497359,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,9.7771853610724171e-21,9.7764534095613014e-21,1.1448706487511281e-27,1.1497992999784887e-39,3.0811353976861169e-40,3.0809119828577793e-40,4.246446701665658e-48,3.6791833773070474e-33,1.6987401624889206e-40,1.4402921922312031e-50,7.3309637440783271e-25,1.0444145853272774e-52
7e-15,0.003552184154497359,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.1679842117154973e-20,2.1678222786555707e-20,6.2221219261495596e-27,1.2822492368604261e-38,1.0725004206929606e-38,1.0724643769317969e-38,4.8026943210857124e-46,1.9995561841013674e-32,2.7436838244128585e-39,7.2851325458291903e-49,1.6255526812048432e-24,2.0150923165743362e-51
1.5e-14,0.003552184154497359,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,4.5485144479321548e-20,4.5481761567281233e-20,2.7526658840459122e-26,7.9348340990758999e-38,1.3964772347947283e-37,1.3964437974485964e-37,1.2876633098432498e-44,8.8460365642137543e-32,2.5516745981821717e-38,1.4011212299797112e-47,3.4104385222421392e-24,3.613461949423552e-50
3.1e-14,0.003552184154497359,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,9.3095704603707814e-20,9.3088839235675981e-20,1.1473582288609093e-25,4.0208603638693178e-37,1.4462360052134785e-36,1.4462079449866908e-36,2.6963796112098507e-43,3.6871816105634528e-31,2.1536078570738575e-37,2.3822238879831245e-46,6.9801031173070193e-24,6.1828962261797607e-49
6.300000000000001e-14,0.003552184154497359,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.8831664645307057e-19,1.8830299500021446e-19,4.6755413407790055e-25,1.8244016736485996e-36,1.3303085084256717e-35,1.3302858211058714e-35,4.9932346365150158e-42,1.5025465056693873e-30,1.7626084399435151e-36,3.9083034670894558e-45,1.4119003985133853e-23,1.0215845203800031e-47
1.2700000000000001e-13,0.003552184154497359,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.7875781655717894e-19,3.7873130824008147e-19,1.8867876667364642e-24,7.7867239748324364e-36,1.1451532201644575e-34,1.1451353371256503e-34,8.6316354940196518e-41,6.0634542303257882e-30,1.4250265331151439e-35,6.3251527156484551e-44,2.8395092637438535e-23,1.6601130381057252e-46
2.55e-13,0.003552184154497359,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,7.5963730241110368e-19,7.5958794156132942e-19,7.5796181963402331e-24,3.2185092182857329e-35,9.5120121468183018e-34,9.5118757826167338e-34,1.4373085095702887e-39,2.4358273983654702e-29,1.1458129137132008e-34,1.0175596986943706e-42,5.6940419255157894e-23,2.6764756277806556e-45
5.11e-13,0.003552184154497359,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.5213848568951944e-18,1.5213012355567152e-18,3.0382539701465649e-23,1.3087634053577324e-34,7.7557295350812368e-33,7.7556321049224037e-33,2.3468251266161361e-38,9.763993200410152e-29,9.1892559451267918e-34,1.632416115919176e-41,1.1400368290875563e-22,4.298474666558013e-44
1e-12,0.003552184154497359,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.9763980931302661e-18,2.9762927491861777e-18,1.1755570779743264e-22,5.0999824887640348e-34,6.0175911048337941e-32,6.0175343974545454e-32,3.6336056521923433e-37,3.7779433596642453e-28,7.0709761660741878e-33,2.5050533991415778e-40,2.228988963579027e-22,6.6000269602222508e-43
1.023e-12,0.003552184154497359,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.0448342985155558e-18,3.0447279328538213e-18,1.2165587725797914e-22,5.2783015867565606e-34,6.2641481957959418e-32,6.2640892794589072e-32,3.7934732027224188e-37,3.9097133247180988e-28,7.3603364179063244e-33,2.6151999658361424e-40,2.2802075711317955e-22,6.8902399016374412e-43
2.047e-12,0.003552184154497359,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,6.0915505247418953e-18,6.0915817638331914e-18,4.8686015349546062e-22,2.1199689931022428e-33,5.0352319379827289e-31,5.0352153944978773e-31,6.1005837862983706e-36,1.5647065539258683e-27,5.8916680670999488e-32,4.1866829994804023e-39,4.5561793329223592e-22,1.1033928803628742e-41
4.095e-12,0.003552184154497359,0.84210526299999999,0.0,0.0,0.0,0.052631578999999991,0.105263158,1.2184252448138779e-17,1.2185291164636854e-17,1.9478001074004436e-21,8.496738801687246e-33,4.0375447287740048e-30,4.0375804898860247e-30,9.7853052868101523e-35,6.2604673388193314e-27,4.7144354090853963e-31,6.6996441942815974e-38,9.0907109243343646e-22,1.7660034305207805e-40
8.191e-12,0.003552184154497359,0.84210526299999999,0.0,0.0,0.0,0.052631578999999977,0.10526315799999998,2.4366734970508671e-17,2.4372716868467088e-17,7.7910138110014765e-21,3.4016786692614888e-32,3.2333797721304456e-29,3.2334867786460611e-29,1.5674123890551206e-33,2.5045155514864525e-26,3.7715788722057255e-30,1.0717202044865336e-36,1.8090657946407539e-21,2.8254626823471524e-39
1e-11,0.003552184154497359,0.84210526299999999,0.0,0.0,0.0,0.05263157899999997,0.10526315799999997,2.9744554125185744e-17,2.975530419553146e-17,1.295068979502054e-20,5.6558282911197376e-32,8.2329731079461816e-29,8.2335224024169761e-29,6.7610377868452602e-33,4.1638420898761531e-26,9.6001777074794104e-30,4.6191594128302906e-36,2.2005362548436141e-21,1.2179956027147365e-38
1.6383e-11,0.003552184154497359,0.84210526299999999,0.0,0.0,0.0,0.052631578999999949,0.10526315799999995,4.8720021048515602e-17,4.8747595466206902e-17,3.1156445353889336e-20,1.3609524828610723e-31,2.5873882042446913e-28,2.5875991936153702e-28,2.5086582791872582e-32,1.0018723955294316e-25,3.0166206654716505e-29,1.7136187863277047e-35,3.5818275469800722e-21,4.5186993627954278e-38
3.2767e-11,0.003552184154497359,0.84210526299999999,0.0,0.0,0.0,0.052631578999999901,0.1052631579999999,9.7379927930448084e-17,9.7497458171503346e-17,1.2455273145436983e-19,5.4418453616006114e-31,2.0691374179382321e-27,2.0695066315825352e-27,4.0125275251854526e-31,4.007625584397008e-25,2.4119932970818593e-28,2.7378326294482847e-34,7.0216909436081064e-21,7.2221297282908845e-37
6.5535e-11,0.003552184154497359,0.84210526299999999,0.0,0.0,0.0,0.052631578999999803,0.1052631579999998,1.9451348446507161e-16,1.9499758112458411e-16,4.9760312321960446e-19,2.1743276092020851e-30,1.6533284258794876e-26,1.653943846990762e-26,6.4127067610495588e-30,1.6030802089461658e-24,1.9274026258419863e-27,4.3676425581598396e-33,1.3503274081638032e-20,1.1529530860148754e-35
9.999999999999999e-11,0.003552184154497359,0.84210526299999999,0.0,0.0,0.0,0.052631578999999699,0.1052631579999997,2.9628731112097087e-16,2.975478171198482e-16,1.2800889571513278e-18,5.5937363877477081e-30,7.7214753590031614e-26,7.7270388026675769e-26,5.6862695000484142e-29,4.1322737850705218e-24,9.0040570509415932e-27,3.8604816764137896e-32,1.9574770944375311e-20,1.0204161232967148e-34
1.31071e-10,0.003552184154497359,0.84210526299999999,0.0,0.0,0.0,0.052631578999999609,0.10526315799999961,3.8803878560306712e-16,3.8999924269967851e-16,1.9855181562255361e-18,8.6764130208012727e-30,1.319205111292992e-25,1.3202075314138182e-25,1.0234453410065744e-28,6.4124006849329876e-24,1.5383825791468794e-26,6.9470426506019363e-32,2.5048366737850142e-20,1.8364036130223908e-34
2.62143e-10,0.003552184154497359,0.84210526299999999,0.0,0.0,0.0,0.052631578999999221,0.10526315799999922,7.7214765474380624e-16,7.8000710823266783e-16,7.9030902892830248e-18,3.4536278216313291e-29,1.0497508911256313e-24,1.0513626180222612e-24,1.629090001882531e-27,2.5649891699059499e-23,1.2250629971047493e-25,1.0985050375894875e-30,4.3586550389835303e-20,2.9079451889245814e-33
5.24287e-10,0.0035521841544973584,0.84210526299999999,0.0,0.0,0.0,0.052631578999998443,0.1052631579999984,1.5287990968396115e-15,1.5600350027823056e-15,3.1304563793594367e-17,1.3680197433340367e-28,8.3089396365978818e-24,8.3345902881072516e-24,2.5797940039525671e-26,1.0260085261652473e-22,9.7113372163894427e-25,1.7170126263762568e-29,6.8460957994538323e-20,4.5635200788548686e-32
9.999999999999999e-10,0.003552184154497358,0.84210526299999999,0.0,0.0,0.0,0.052631578999997028,0.1052631579999969,2.8613240935264498e-15,2.9755746425909552e-15,1.1434253706228861e-16,4.9968408129562308e-28,5.9822444206071419e-23,6.0190587706419546e-23,3.6933974222743043e-25,3.8189067834061027e-22,7.0131309842635628e-24,2.3967021494435602e-28,9.1284037219394602e-20,6.4196487965003033e-31
1.0485750000000002e-09,0.003552184154497358,0.84210526299999999,0.0,0.0,0.0,0.052631578999996882,0.10526315799999675,2.9973880684736629e-15,3.1201152332489899e-15,1.228215350117389e-16,5.3673793171738989e-28,6.5082482263602313e-23,6.5485597669558117e-23,4.0441875634156565e-25,4.104089304895899e-22,7.6300786334385753e-24,2.6238967354157727e-28,9.3614499227679849e-20,7.0285603492789049e-31
