Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9),CH3O2(17),OH(11),CH2O(24),H2O(33),H2O2(13),CH3OOH(15),CH3O(19),H(4),C2H6O2(21),HCO(39),CO(40),CHO3(66),acetyl(76),CH3OH(35),CH2OH(41),O(12),CHO3(77),CO2(174),CHO3(176),HOCO(82),CH2O2(18)
1e-12,0.0022505015677711025,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,9.4921962077690784e-19,9.4926119197436398e-19,5.5017847213192518e-23,8.1585558709100011e-35,2.938249463461989e-32,8.5822572256122803e-33,2.478684530114597e-37,9.692385716342602e-29,2.4727335301668419e-33,1.6192686500617799e-35,1.344645589718433e-23,1.5548874816803246e-43,4.4617049964501437e-45,2.150961457903519e-48,7.70661698621113e-49,1.1375303684462975e-71,2.7502206709857591e-42,1.2772817821118937e-41,2.0816482438390269e-32,4.1267088251132179e-61,1.009577661723031e-58,2.0546193321202611e-69,1.0839462528781345e-85,5.6745421412391929e-41
1.023e-12,0.0022505015677711025,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,9.7104478222090657e-19,9.7108796346884821e-19,5.693678404112163e-23,8.4439009350812511e-35,3.0459670270031681e-32,8.9339473859884351e-33,2.5822427794445524e-37,1.0030444070521442e-28,2.5739232553140016e-33,1.6855325661187266e-35,1.3755335478065961e-23,1.623258115525615e-43,4.6580163597458902e-45,2.2488631700975311e-48,8.0573861374520422e-49,1.1906012148238564e-71,2.8711472590645139e-42,1.333442472759065e-41,2.1542632909966743e-32,4.3145623029061573e-61,1.0562986035907806e-58,2.1483915102153675e-69,1.134650739252135e-85,5.8822034280774552e-41
2.047e-12,0.0022505015677711025,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.9426534430090409e-18,1.9428538290249005e-18,2.2785484067056127e-22,3.3928314593005231e-34,1.5799558236967919e-31,7.1848559236415365e-32,2.6497583187195894e-36,4.0142842611763008e-28,2.060301537833505e-32,1.34914961199334e-34,2.746802194043883e-23,2.5993881968912238e-42,7.4900217962883973e-44,7.2336994294607013e-47,2.5917259376151985e-47,1.5296779311364114e-69,4.5965154990298712e-41,2.1335462798063868e-40,8.6282965760365217e-32,1.3906003328058956e-59,6.8098658685210375e-57,7.2304209787267125e-68,2.3886245188854566e-83,2.5600649568492823e-40
4.095e-12,0.0022505015677711025,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.8855288929230232e-18,3.8863857153218703e-18,9.1156321829516919e-22,1.3600924186935324e-33,9.2092597210467828e-31,5.7626322097333757e-31,3.0529345561469437e-35,1.6061345517641992e-27,1.6485851411739111e-31,1.0794841059166765e-33,5.4737607413259375e-23,4.1601401495957273e-41,1.2001353151336389e-42,2.3183983175319719e-45,8.3063764646685092e-46,1.9542746387197547e-67,7.3557431386860538e-40,3.4104315736173857e-39,3.4575989254178893e-31,4.4612925301183891e-58,4.3697743188896781e-55,2.3719665730073484e-66,5.3718608966615891e-81,1.0697400167625072e-39
8.191e-12,0.0022505015677711025,0.84210526299999999,0.0,0.0,0.0,0.052631578999999991,0.105263158,7.7699128046601553e-18,7.7734501016063947e-18,3.645970471169324e-21,5.4454495836516992e-33,5.9939432478044782e-30,4.6153494046987126e-30,3.934437790057716e-34,6.4253797971474708e-27,1.3188130673326938e-30,8.6345400176943281e-33,1.0866067742044522e-22,6.6551356222653581e-40,1.9175752653103857e-41,7.4093498733283002e-44,2.654566097526222e-44,2.4803939464448121e-65,1.1767617970825546e-38,5.4436705975179255e-38,1.3875205501233507e-30,1.4264635399667673e-56,2.7945523211546837e-53,7.6705848707880404e-65,1.243676547582939e-78,4.3741747978897745e-39
1e-11,0.0022505015677711025,0.84210526299999999,0.0,0.0,0.0,0.052631578999999991,0.10526315799999998,9.484245895079669e-18,9.4901741360928837e-18,6.0602061624321943e-21,9.053669262725134e-33,1.4043051062938624e-29,1.1751909823463825e-29,1.5284214635302518e-33,1.0682409355683586e-26,3.356675028887178e-30,2.19734073650143e-32,1.3194379388874525e-22,2.8683534130518988e-39,8.236388198315974e-41,5.7882103791209639e-43,2.0736694629587801e-43,7.0715328122433691e-64,5.072511415224119e-38,2.337907210305909e-37,2.314391260507061e-30,1.1145635594532717e-55,4.1495219888591524e-52,6.024285349931072e-64,6.3949356142938074e-77,7.3137706512089043e-39
1.6383e-11,0.0022505015677711025,0.84210526299999999,0.0,0.0,0.0,0.052631578999999984,0.10526315799999998,1.5533216661330491e-17,1.5547581273808327e-17,1.457876139589316e-20,2.1785159705801823e-32,4.2444076593066432e-29,3.6933040366845625e-29,5.5331547749286797e-33,2.5703205194343619e-26,1.0547207312249408e-29,6.903918419085363e-32,2.1409754315196177e-22,1.0641005025997329e-38,3.0532122278677859e-40,2.3597363958879751e-42,8.4538920400814425e-43,3.1148016219945783e-63,1.88185422679591e-37,8.6663576143893337e-37,5.5848256133977319e-30,4.5439430632838101e-55,1.7804931667297475e-51,2.4574246137983034e-63,2.8520438812588537e-76,1.7686042808055773e-38
3.2767e-11,0.0022505015677711025,0.84210526299999999,0.0,0.0,0.0,0.05263157899999997,0.10526315799999997,3.1038000345483603e-17,3.109585279500835e-17,5.8268410796162944e-20,8.7092963076528367e-32,3.173198857832664e-28,2.953333562604403e-28,8.238404361964821e-32,1.0281621800916683e-25,8.4315307031019941e-29,5.5165691126949899e-31,4.1575591279666277e-22,1.6999586393415401e-37,4.8329885594386056e-39,7.4719501446515852e-41,2.6766198896365768e-41,3.8354232542467894e-61,3.0075148571899362e-36,1.3727084935546393e-35,2.2614742680569934e-29,1.4388562833481453e-53,1.1277062458455185e-49,7.8038593844887105e-62,6.209195862523878e-74,7.1082736925350865e-38
6.5535e-11,0.0022505015677711025,0.84210526299999999,0.0,0.0,0.0,0.052631578999999942,0.10526315799999994,6.1960525560275705e-17,6.2192429453623091e-17,2.3269001579117926e-19,3.4784240981400548e-31,2.4464205353223591e-27,2.3593980508668504e-27,1.2673686667132716e-30,4.1127185554795646e-25,6.7348852703296303e-28,4.4025269904632703e-30,7.8530217468519461e-22,2.7113962661122873e-36,7.5668417970716981e-38,2.34054276122676e-39,8.3827857007587616e-40,4.5518870119933487e-59,4.8007129225646735e-35,2.1528558648654365e-34,9.2652708621127457e-29,4.5065723647392693e-52,7.065307369152284e-48,2.4477212136590107e-60,1.2210275972134936e-71,2.8465657331486695e-37
9.999999999999999e-11,0.0022505015677711025,0.84210526299999999,0.0,0.0,0.0,0.052631578999999908,0.1052631579999999,9.4302439138692307e-17,9.4899505610804388e-17,5.9818252143257685e-19,8.9425398642087456e-31,1.1231693344969523e-26,1.1015100788118378e-26,1.1024452374068116e-29,1.0601362875880081e-24,3.1440327658288205e-27,2.0519066682665726e-29,1.1139398457891336e-21,2.3956276660652218e-35,6.460940152598951e-37,3.8885480302858199e-38,1.3922009809901073e-38,2.6784625767178266e-57,4.2480166231640809e-34,1.8440248772384973e-33,2.4800845613833976e-28,7.4846787714989159e-51,2.3141333275716883e-46,4.0681031875109295e-59,1.0869914652938655e-69,7.3260945519855361e-37
