Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9),CH3O2(17),OH(11),CH2O(24),H2O(33),H2O2(13),CH3OOH(15),CH3O(19),H(4),C2H6O2(21),HCO(39)
0.0,0.0022817276356791693,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1e-15,0.0022817276356791693,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,4.4997674039539906e-20,4.4985834954931204e-20,4.5740696799314552e-27,1.7662645544219179e-38,4.2389111447536898e-39,4.2379895945429518e-39,9.3909105682505345e-47,3.4545453801454259e-32,2.1618672417215669e-39,7.0394752057285631e-49,1.184365860929112e-23,-1.0914766578739713e-51,6.1561821308088888e-53
3.0000000000000002e-15,0.0022817276356791693,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.4784948538666022e-19,1.4781060069008516e-19,3.0058170501088126e-26,1.5676808954444577e-37,4.9732293534357066e-38,4.972360511501129e-38,1.3700841078763109e-45,2.2701298220525915e-31,2.0384674542812065e-38,8.6489386506072633e-48,3.8914754291571812e-23,6.4553043896274639e-50,8.9818520983214902e-52
7e-15,0.0022817276356791693,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.2784006654057477e-19,3.2775394145777001e-19,1.6335956282835269e-25,1.6764417377407356e-36,1.6588510082027992e-36,1.6587108030102295e-36,1.4837124485044165e-43,1.2337662105161868e-30,3.2922958773037177e-37,4.3746367244962497e-46,8.6288439900084922e-23,1.245485293389169e-48,9.727714582663677e-50
1.5e-14,0.0022817276356791693,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,6.8782093611069336e-19,6.8764062540605374e-19,7.2270226897717762e-25,1.0056019640526406e-35,2.0962808769545848e-35,2.0961507314380633e-35,3.8636623786650812e-42,5.4581817364805966e-30,3.061887746018589e-36,8.4135439526862692e-45,1.8103339599216323e-22,2.2334021170472746e-47,2.5332030278493971e-48
3.1e-14,0.0022817276356791693,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.4077815043024979e-18,1.4074140029537843e-18,3.0123449569228028e-24,4.9767098631656213e-35,2.1203097777351781e-34,2.1202003985275763e-34,7.9021225515951294e-41,2.2750649182473526e-29,2.5842248773303625e-35,1.4304898643394462e-43,3.7051364816982875e-22,3.8215098064128421e-46,5.1810680533542229e-47
6.300000000000001e-14,0.0022817276356791693,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.8476979569116609e-18,2.8469607966499505e-18,1.2275440152851676e-23,2.2246328906937182e-34,1.9202055118787359e-33,1.9201167833590458e-33,1.4403125661590643e-39,9.2710130584169957e-29,2.1150422925261433e-34,2.3468676656272125e-42,7.4943551644519535e-22,6.3141732897196319e-45,9.4435377849745124e-46
1.2700000000000001e-13,0.0022817276356791693,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,5.7275121271864522e-18,5.7260545384135423e-18,4.9536715565695759e-23,9.4166611232064613e-34,1.6381245829597793e-32,1.6380541482220327e-32,2.4666626581849536e-38,3.7412728689248716e-28,1.7099571825210133e-33,3.7981103964234482e-41,1.5071247402376292e-21,1.0260728575781524e-43,1.6172947546944069e-44
2.55e-13,0.0022817276356791693,0.84210526299999999,0.0,0.0,0.0,0.052631578999999991,0.105263158,1.1487065529195906e-17,1.1484242639173378e-17,1.9899837242233735e-22,3.8754698769565673e-33,1.3541107097696041e-31,1.3540561755780943e-31,4.0865452206037717e-37,1.5029544332326666e-27,1.3749095879700032e-32,6.1101089094351392e-40,3.021885389178647e-21,1.6542476439238295e-42,2.6793961179233033e-43
5.11e-13,0.0022817276356791693,0.84210526299999999,0.0,0.0,0.0,0.052631578999999977,0.10526315799999998,2.3005872588926016e-17,2.3000621307606185e-17,7.976682381606263e-22,1.5724496074367721e-32,1.101320778753054e-30,1.1012804151546641e-30,6.6547294556544213e-36,6.0245805380413779e-27,1.1026484148755402e-31,9.8017787135651938e-39,6.0489375099516941e-21,2.6567151302898512e-41,4.3632748205332399e-42
