Time (s),Volume (m^3),N2,Ar,He,Ne,CH4(1),O2(2),CH3(3),HO2(7),CH3OO(9),CH3O2(17),OH(11),CH2O(24),H2O(33),H2O2(13),CH3OOH(15),CH3O(19),H(4),C2H6O2(21),HCO(39),CO(40),CHO3(66),acetyl(76),CH3OH(35),CH2OH(41),O(12),CHO3(77),CO2(174),CHO3(176),HOCO(82),CH2O2(18),C1OO1(327),CH2O2(169)
1e-12,0.0016784093191612723,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.8962898392584754e-20,1.8964122360429954e-20,1.2319511728966488e-24,1.0685513627595258e-37,1.2430355478405826e-35,8.3841491466894054e-36,8.9377924378260993e-41,4.4673293089586862e-31,1.0737979101793695e-35,4.8372589561835243e-39,7.9824342366651513e-27,9.3262899524112679e-47,3.0004494693113075e-49,1.7174646176103629e-52,6.9484590074309701e-53,1.3425537477740221e-77,4.1835643186064039e-46,5.0296544078756543e-46,4.0511074283440188e-36,2.4042633037356963e-66,5.5029018676100177e-64,2.9084643254788482e-75,3.3949969235900972e-94,9.441298471893796e-45,1.524367468416789e-43,1.3291333990725893e-45
1.023e-12,0.0016784093191612723,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.939890583615888e-20,1.940017258914154e-20,1.2749196784850465e-24,1.1059585421963484e-37,1.2915211354665513e-35,8.7278789979386197e-36,9.3217532181941686e-41,4.6231441962585536e-31,1.1177400822151683e-35,5.035210183036396e-39,8.1657712033751526e-27,9.7363801617907229e-47,3.1324963347158825e-49,1.7956443186594949e-52,7.2647557375646983e-53,1.4051919029521511e-77,4.3675148349639864e-46,5.2508015150439652e-46,4.1924341990776243e-36,2.5137218753183757e-66,5.7575788963308706e-64,3.0412787998568831e-75,3.5536867340732431e-94,9.7752514682160359e-45,1.5871772476939402e-43,1.3838997513143518e-45
2.047e-12,0.0016784093191612723,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.8808801383004302e-20,3.8813887145818372e-20,5.1020678588403225e-24,4.4499063859412502e-37,8.7059774207313371e-35,7.0302450635621531e-35,1.2455425877193522e-39,1.8502286088010474e-30,8.9469339345974254e-35,4.0304133768794793e-38,1.6301344370061523e-26,1.5591098617514526e-45,5.0447719388705915e-48,5.7850997368548581e-51,2.3405142913320272e-51,1.8106559041533768e-75,6.9922408851530044e-45,8.3999855591713861e-45,1.6798660551324871e-35,8.1159259238182167e-65,3.7184326208949574e-62,1.0338720144693674e-73,6.6534920004874415e-92,3.9958878964835898e-44,1.3018185563787283e-42,1.1351587928016098e-44
4.095e-12,0.0016784093191612723,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,7.7620937531541194e-20,7.7641316363316915e-20,2.0411312149914109e-23,1.7850534708909869e-36,6.31342379038481e-34,5.643079144196245e-34,1.7958465372385262e-38,7.4028538451974545e-30,7.1589816718252294e-34,3.2249558704575607e-37,3.2465568982336027e-26,2.4951968327052491e-44,8.0877250629271937e-47,1.8551979905185195e-49,7.5056827419620428e-50,2.3206414540158363e-73,1.1190040813583672e-43,1.3422593566897379e-43,6.7373218285986304e-35,2.6054503487589365e-63,2.3876692367558539e-60,3.4090064285276462e-72,1.3847828166848961e-89,1.6157596131079106e-43,1.0546200573583202e-41,9.1963523350932013e-44
8.191e-12,0.0016784093191612723,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.5521460215844229e-19,1.5529617520930341e-19,8.1637482008954865e-23,7.149210207582828e-36,4.7893089633678602e-33,4.5213310500318491e-33,2.7152405372582173e-37,2.9615291808145755e-29,5.7268520605137153e-33,2.5797808769415897e-36,6.4371921537857554e-26,3.9915016020951352e-43,1.2920222069532771e-45,5.9280795687826582e-48,2.3983521183381121e-48,2.9602233612896957e-71,1.7903114911368374e-42,2.1410236700271616e-42,2.7081563979536014e-34,8.3298769687916891e-62,1.5268222488773494e-58,1.1048477584901621e-70,3.1295463212079095e-87,6.4971256043238188e-43,8.4891297857645045e-41,7.4026878883842502e-43
1e-11,0.0016784093191612723,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.8945686004937364e-19,1.8959247430596898e-19,1.3569245521419324e-22,1.1887224252818079e-35,1.1958686915847167e-32,1.1513847781616361e-32,1.1426637287687201e-36,4.9236411198420214e-29,1.457579019411194e-32,6.5658520710685726e-36,7.810015713759419e-26,1.7202179552030486e-42,5.544993022230107e-45,4.6270040811520941e-47,1.8719617569676792e-47,8.5157821730730583e-70,7.7182756842886803e-42,9.1848929395995463e-42,4.5251317413125275e-34,6.5032063549172404e-61,2.2651957218364618e-57,8.6792437560098596e-70,1.6704516002392424e-85,1.0814497770700596e-42,2.1653119666373853e-40,1.8882046470440836e-42
1.6383e-11,0.0016784093191612723,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,3.1027959753849178e-19,3.106058945016662e-19,3.2642373988474952e-22,2.8605158830339684e-35,3.7255613101958482e-32,3.6186724673658313e-32,4.2164528640914482e-36,1.1846891814597229e-28,4.579899202205967e-32,2.0630579783679134e-35,1.2653980768105401e-25,6.3815644092902394e-42,2.0551467712065373e-44,1.8861539106713081e-46,7.6308692957125516e-47,3.7518948032229536e-69,2.8634912193347933e-41,3.4038965658051998e-41,1.0936272491262783e-33,2.6510395793423029e-60,9.7191336162663769e-57,3.5405263464228881e-69,7.4541628344262942e-85,2.6048210616462315e-42,6.8101846812824603e-40,5.9386604695574669e-42
3.2767e-11,0.0016784093191612723,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,6.1992102603531478e-19,6.2122533915694464e-19,1.3045586964373907e-21,1.1435979087524117e-34,2.9360163554858565e-31,2.8937517686821861e-31,6.6394334499071001e-35,4.738911758904292e-28,3.6609713087601414e-31,1.6490322764978353e-34,2.446273104716789e-25,1.0193260837956236e-40,3.2457519295399229e-43,5.9590810542091441e-45,2.4108606565679828e-45,4.7022351159877559e-67,4.5778051550412641e-40,5.3772245142437453e-40,4.4568972874704236e-33,8.3766928654733624e-59,6.1427612131657302e-55,1.1226005893902861e-67,1.8251328964607365e-82,1.0424193584404768e-41,5.4522823014776523e-39,4.754552093318832e-41
6.5535e-11,0.0016784093191612723,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.2372558003112164e-18,1.2424642503553484e-18,5.2089120366309891e-21,4.5669925938473564e-34,2.3277284120434935e-30,2.3116067219772575e-30,1.0523099709156712e-33,1.895595736283453e-27,2.9239043097164853e-30,1.3168934074041798e-33,4.582036028333738e-25,1.6252812790961506e-39,5.0586714856865803e-42,1.8583043747920734e-43,7.5179862141562926e-44,5.769558936731745e-65,7.3119703899264531e-39,8.3898022735909324e-39,1.8484129834349874e-32,2.6123487331722711e-57,3.8321607792960383e-53,3.5070031230798145e-66,4.5098788841766245e-80,4.1650231289459687e-41,4.3579778755145325e-38,3.8002934356167373e-40
9.999999999999999e-11,0.0016784093191612723,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,1.8824891498255705e-18,1.895876125074931e-18,1.338762862580192e-20,1.1738617054243879e-33,1.0824647107104278e-29,1.0789655372663773e-29,9.2870701148672674e-33,4.8862766854166867e-27,1.3646401901638805e-29,6.1450316643102474e-33,6.4361463135253762e-25,1.4351328533169192e-38,4.2842673101648023e-41,3.0619911273671977e-42,1.2387189474102303e-42,3.6031362421149296e-63,6.4780284608811566e-38,7.1209419983347348e-38,5.0393080914241531e-32,4.3044390335144086e-56,1.245195276575342e-51,5.7834546658359085e-65,5.8456855102569022e-78,1.0707624723625407e-40,2.0346647134931715e-37,1.7742929972775735e-39
1.31071e-10,0.0016784093191612723,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,2.4641820383432113e-18,2.4849421444978865e-18,2.0760932068196529e-20,1.8204003492920229e-33,1.8484817157132821e-29,1.8432813638309526e-29,1.6710898126842319e-32,7.5824451975454767e-27,2.3312983148660961e-29,1.0497710723655336e-32,8.1076699076408381e-25,2.5824156452255326e-38,7.6905830339702238e-41,5.654916959240397e-42,2.2876765251958905e-42,6.7994335443496926e-63,1.1658930799761122e-37,1.278427680715482e-37,7.9159743296464499e-32,7.9494817278851241e-56,2.3332199904223576e-51,1.0681209214463974e-64,1.1075049503324937e-77,1.6605932402380227e-40,3.4760804760329992e-37,3.0312541458226696e-39
2.62143e-10,0.0016784093191612723,0.84210526299999999,0.0,0.0,0.0,0.052631578999999998,0.105263158,4.8874485319113897e-18,4.9698981309579348e-18,8.2450965905248964e-20,7.2299317932459137e-33,1.4649743835087206e-28,1.4648735476869242e-28,2.6490843598015941e-31,3.0329906362371461e-26,1.8526131112939843e-28,8.3387333507364237e-32,1.3063449299275328e-24,4.0748820016565305e-37,1.1176813070794561e-39,1.6462064804028372e-40,6.659169558178989e-41,7.4401954056517959e-61,1.8526527372727369e-36,1.8656438307126487e-36,3.5798768397479614e-31,2.314043712636279e-54,1.3593929281991844e-49,3.1105813434277442e-63,2.6541934359351851e-75,6.5960756880802556e-40,2.7628797772147029e-36,2.4093213199205758e-38
5.24287e-10,0.0016784093191612723,0.84210526299999999,0.0,0.0,0.0,0.052631578999999991,0.105263158,9.614659151658728e-18,9.9398105120469695e-18,3.2515344571249483e-19,2.8512546587152695e-32,1.1534283028804801e-27,1.1565006286735498e-27,4.1732097426502234e-30,1.2131988118438231e-25,1.4625792507889354e-27,6.5776704130567889e-31,1.843836404867977e-24,6.3424888347659739e-36,1.5060078362051182e-38,4.4485544524214421e-39,1.7992409346085535e-39,7.1640457945999572e-59,2.9241112503382914e-35,2.5299807218383691e-35,1.7559493162810686e-30,6.2523668275765656e-53,7.355804441955331e-48,8.4063728905004397e-62,6.0262681304169942e-73,2.6014521865977731e-39,2.1814220973799068e-35,1.9022717065421326e-37
9.999999999999999e-10,0.0016784093191612723,0.84210526299999999,0.0,0.0,0.0,0.052631578999999984,0.10526315799999998,1.7780940187586578e-17,1.895871632490211e-17,1.1777792405218629e-18,1.0327995067667241e-31,8.2312948062716395e-27,8.2864239588810458e-27,5.9231198984983771e-29,4.5155933522025926e-25,1.0479359205313816e-26,4.7051350457022077e-30,2.2083155585102767e-24,8.7796432718715327e-35,1.6592662340986456e-37,9.8052484854618723e-38,3.9645919149622546e-38,5.1385579521932641e-57,4.1599597984993043e-34,2.8097276764627123e-34,8.7933653539876054e-30,1.3777024457284428e-51,3.2419590762073559e-46,1.852535289174358e-60,1.1225010470394056e-70,9.4234801947517808e-39,1.5630648141665889e-34,1.3630440103013375e-36
1.0485750000000002e-09,0.0016784093191612723,0.84210526299999999,0.0,0.0,0.0,0.052631578999999984,0.10526315799999998,1.8614798209797864e-17,1.9879635765530054e-17,1.264840762874343e-18,1.1091444175353693e-31,8.954014945099521e-27,9.0144596143389191e-27,6.4853163966908525e-29,4.8528004808661537e-25,1.1400061574790894e-26,5.1184113295404943e-30,2.2455324831858159e-24,9.6113685608930369e-35,1.8133158906288979e-37,1.0761037147803823e-37,4.3510439131826769e-38,5.6559403177856749e-57,4.5548747510307398e-34,3.0707950438204414e-34,9.5119551003926803e-30,1.5119952002143709e-51,3.5654841430419675e-46,2.0331137178489673e-60,1.2365041589692973e-70,1.0120076694103456e-38,1.7003947074218072e-34,1.4828002036066696e-36
