Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207)
0.0,0.23071211430258373,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.6646444998000713e-22,0.23071211430258373,76.950000000000003,0.0,0.0,0.0,0.99999999999999967,9.5,1.5733450206011981e-17,1.5952791177899837e-16,1.5952791177915604e-16,2.4480455391975754e-28,2.4480381465453661e-28,3.67987672285641e-17,9.6834078456094886e-27,1.5763434887329412e-28,2.6764458623012616e-41,6.1536701324653477e-46,3.3862973231349247e-46,1.2687947819321663e-26,5.1663051706666945e-31,3.4467816351837703e-41,4.118797594497335e-46
1.02610045994402e-21,0.23071211430258373,76.950000000000003,0.0,0.0,0.0,0.999999999999999,9.5,4.4053660576833505e-17,4.4667815297989133e-16,4.4667815298084339e-16,1.4786195056661879e-27,1.4786107291329223e-27,1.0303654816601145e-16,5.8487783352445543e-26,9.5211146692039989e-28,3.1774569289816896e-40,7.3056371814555167e-45,5.117372733945973e-45,7.6635204782796281e-26,3.1204483230750792e-30,4.0919434860261627e-40,4.8898361859055009e-45
2.3453724798720455e-21,0.23071211430258373,76.950000000000003,0.0,0.0,0.0,0.99999999999999767,9.5,1.0069408131847636e-16,1.0209786353764599e-15,1.0209786353810436e-15,7.1189164278493389e-27,7.1188302598216969e-27,2.3551210974503396e-16,2.8159349962478743e-25,4.5840068611209431e-27,3.1196045417844643e-39,7.1727179069728026e-44,5.505036676249757e-44,3.6896552189727562e-25,1.5023615436184677e-29,4.0173341021668018e-39,4.8008694894728458e-44
4.983916519728097e-21,0.23071211430258373,76.950000000000003,0.0,0.0,0.0,0.999999999999995,9.5,2.1397492280176139e-16,2.1695796001487292e-15,2.1695796001687477e-15,3.1090178346391393e-26,3.1089416208775535e-26,5.0046323171959022e-16,1.2297927909618611e-24,2.0019562264392376e-26,2.7591810433461244e-38,6.344187760944906e-43,5.060078288219521e-43,1.6113693659383343e-24,6.56120756662883e-29,3.5530014321006551e-38,4.2463134960097141e-43
1.02610045994402e-20,0.23071211430258373,76.950000000000003,0.0,0.0,0.0,0.99999999999998967,9.5,4.4053660576832856e-16,4.4667815296097972e-15,4.4667815296933683e-15,1.2979537447549514e-25,1.2978896839815845e-25,1.0303654709347476e-15,5.1341427908672541e-24,8.3577731389976803e-26,2.3191337013901378e-37,5.3326720801936753e-42,4.3290054828768278e-42,6.7271498697646925e-24,2.7391750013813982e-28,2.986032306286972e-37,3.5692803354078747e-42
2.0815180758864407e-20,0.23071211430258373,76.950000000000003,0.0,0.0,0.0,0.99999999999997902,9.5,8.936599717014517e-16,9.0611853881980722e-15,9.0611853885394612e-15,5.3025645586431473e-25,5.3020393740779575e-25,2.0901699304292427e-15,2.097464831609652e-23,3.4144230179379449e-25,1.9011622484633619e-36,4.3720467596731378e-41,3.5793087161569861e-41,2.7482601952361095e-23,1.1190423650972746e-27,2.447343751347839e-36,2.9263083571690382e-41
4.1923533077712816e-20,0.23071211430258373,76.950000000000003,0.0,0.0,0.0,0.99999999999995759,9.5,1.7999067035676529e-15,1.8249993104039314e-14,1.8249993105419051e-14,2.1433813748646709e-24,2.1429561062358023e-24,4.209778773674958e-15,8.4782880320177004e-23,1.3801643622239008e-24,1.5392806900471648e-35,3.5405968219527137e-40,2.910639720774289e-40,1.110890689130625e-22,4.523348158828132e-27,1.9806506245452774e-35,2.3697950183580308e-40
8.414023771540965e-20,0.23071211430258376,76.950000000000003,0.0,0.0,0.0,0.99999999999991473,9.5,3.6124001672998743e-15,3.6627608530381686e-14,3.6627608535927845e-14,8.6184422353584436e-24,8.61501993831973e-24,8.4489961571933092e-15,3.4090821895841064e-22,5.5495800896692645e-24,1.2384164539559409e-34,2.8497803521027878e-39,2.3475449562179711e-39,4.4668424198237156e-22,1.8188183999547497e-26,1.5921564280500316e-34,1.9074085716006894e-39
1.685736469908033e-19,0.23071211430258373,76.950000000000003,0.0,0.0,0.0,0.99999999999982914,9.5,7.2373870947635945e-15,7.3382839361715039e-14,7.3382839383943903e-14,3.4563808027136269e-23,3.4536356431948569e-23,1.6927429712337856e-14,1.3671943212798572e-21,2.2256297395666832e-23,9.9290078659121918e-34,2.2867692674216036e-38,1.8856895516347554e-38,1.791403448439602e-21,7.294275267808205e-26,1.2743378625646202e-33,1.5305614097406315e-38
