Time (s),Volume (m^3),N2,Ne,He,Ar,C7H10(1),O2(2),C7H10(146),C7H10(153),C7H9(5),C5H7(210),C2H4(115),C7H11(22),C7H10(21),C7H10(65),C7H10(18),C7H10(238),S(66),C7H11(46),C7H10(187),C7H12(16),C7H8(58),C5H8(336),S(388),C7H9O2(68),s(399),OH(22),H2O(23)
0.0,0.3481946479036531,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.1633201318852505e-20,0.3481946479036531,76.950000000000003,0.0,0.0,0.0,0.99999999999999967,9.5,7.0975272752983404e-27,2.101280340126098e-26,1.8304864486790468e-16,0.0,0.0,1.830486448679035e-16,2.2034973039553926e-17,5.4773165381582108e-30,9.2042101930583943e-19,0.0,1.6779981554333387e-26,9.3751813459694282e-32,0.0,1.986180381771296e-34,7.2697365596442309e-44,0.0,0.0,1.6778863047463982e-26,0.0,0.0,0.0
1.16572963692787e-19,0.3481946479036531,76.950000000000003,0.0,0.0,0.0,0.99999999999999889,9.5,4.286906339193252e-26,1.2691732854425805e-25,5.1253620557577551e-16,0.0,0.0,5.125362055757617e-16,6.1697924510750464e-17,3.3082991887547821e-29,2.5771787567322642e-18,0.0,1.0135108857634914e-25,5.662609532463686e-31,0.0,1.199652951142564e-33,1.0986025886758205e-42,0.0,0.0,1.0133781044542158e-25,0.0,0.0,0.0
2.6645248844065602e-19,0.3481946479036531,76.950000000000003,0.0,0.0,0.0,0.99999999999999745,9.5,2.0639607290263512e-25,6.1105226291829898e-25,1.1715113267741394e-15,0.0,0.0,1.1715113267740065e-15,1.4102382745314149e-16,1.5928036488572989e-28,5.8906938422888136e-18,0.0,4.8796186342264747e-25,2.7263027346551352e-30,0.0,5.7758125582932021e-33,1.1818265323101803e-41,0.0,0.0,4.8783151452035152e-25,0.0,0.0,0.0
5.66211537936394e-19,0.3481946479036531,76.950000000000003,0.0,0.0,0.0,0.99999999999999467,9.5,9.0138575457816241e-25,2.6686254120597292e-24,2.4894615683017743e-15,0.0,0.0,2.4894615683006099e-15,2.9967563333791515e-16,6.956191998924639e-28,1.2517722456217076e-17,0.0,2.1310576555675443e-24,1.1906480301602507e-29,0.0,2.5224490931340453e-32,1.0863021930833747e-40,0.0,0.0,2.1299050290257615e-24,0.0,0.0,0.0
1.16572963692787e-18,0.34819464790365307,76.950000000000003,0.0,0.0,0.0,0.99999999999998912,9.5,3.7631070769011109e-24,1.1140982784246235e-23,5.1253620478840034e-15,0.0,0.0,5.1253620478742705e-15,6.169792451074292e-16,2.9040732244509129e-27,2.5771773455337195e-17,0.0,8.8967462036124088e-24,4.9707211426321927e-29,0.0,1.0530728458335409e-31,9.2935439524942558e-40,0.0,0.0,8.8870626376321707e-24,0.0,0.0,0.0
2.3647658349108224e-18,0.3481946479036531,76.950000000000003,0.0,0.0,0.0,0.99999999999997791,9.5,1.5373512024283026e-23,4.5514525442891234e-23,1.0397162993182919e-14,0.0,0.0,1.0397162993103405e-14,1.2515864686463241e-15,1.1864086679798685e-26,5.2279850538655191e-17,0.0,3.6346111106289323e-23,2.0307017743350194e-28,0.0,4.302146216785392e-31,7.6840818342564019e-39,0.0,0.0,3.6266800512617338e-23,0.0,0.0,0.0
4.762838230876727e-18,0.34819464790365307,76.950000000000003,0.0,0.0,0.0,0.99999999999995548,9.5,6.2142126864861699e-23,1.8397679136677473e-22,2.094076482853074e-14,0.0,0.0,2.0940764827888948e-14,2.5208009157235816e-15,4.7956535120191021e-26,1.0529590504578959e-16,0.0,1.4691679175052738e-22,8.2084212283436746e-28,0.0,1.7389963123733938e-30,6.2485676927521476e-38,0.0,0.0,1.4627582417713103e-22,0.0,0.0,0.0
9.558983022808536e-18,0.3481946479036531,76.950000000000003,0.0,0.0,0.0,0.99999999999991063,9.5,2.4987022220957579e-22,7.3976099724090183e-22,4.2027968279910497e-14,0.0,0.0,4.2027968274769074e-14,5.0592298098759658e-15,1.9283111736375461e-25,2.1132761542355072e-16,0.0,5.9074595329482349e-22,3.3005700540264431e-27,0.0,6.9924278984998537e-30,5.0396961485104407e-37,0.0,0.0,5.8560785520123288e-22,0.0,0.0,0.0
1.9151272606672153e-17,0.3481946479036531,76.950000000000003,0.0,0.0,0.0,0.99999999999982103,9.5,1.002087042616912e-21,2.9667597179575511e-21,8.4202374318676366e-14,0.0,0.0,8.4202374277765623e-14,1.0136087598172216e-14,7.733390173454172e-25,4.2338944164503197e-16,0.0,2.3691554526089644e-21,1.3236761972726567e-26,0.0,2.8042764999450249e-29,4.0481579125118095e-36,0.0,0.0,2.3282579983408421e-21,0.0,0.0,0.0
