Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995),S(1218),S(2281),S(2282),S(1827),S(971),S(805),S(887),S(3335),S(1971),C7H8(1663),S(3456),C7H9(2067),C7H9(2027),S(3692),S(3691),S(2237),S(2209),S(3466),S(3552),S(1954),S(2383),S(4082),C7H9(2044),S(2993),C7H10(115),S(1242),C5H6(500),S(4282),S(4155),S(4335),S(4374),S(4387),S(4887),C7H10(297),C7H10(987),C7H10(986),S(4381),S(4372),S(4886),S(3690),S(1588),S(206),S(2669),C7H9(279),S(6788),C7H8O(364),S(4083),C6H7(1171),CH2O(6985),C6H7(7018),S(7026),S(7027),S(1436),C7H8(3538),C6H6(7011),S(4021),C7H8(8697),C7H10(194),S(4081),S(8888),S(3479),S(8086),S(9026),S(9133),S(9134),S(9132),S(1976),S(1202),S(9091)
0.0,0.16809235138668663,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.1735218667684536e-21,0.16809235138668663,76.950000000000003,0.0,0.0,0.0,0.999999999999999,9.5,3.4568841908449174e-17,4.3041967180611495e-16,4.3041954861975116e-16,5.1005594426612838e-27,5.1004973241624758e-27,2.7980590423716759e-17,4.1090100883441738e-26,3.4890758122336317e-27,2.1694259143274725e-39,6.20356113841221e-44,2.5066079333539231e-31,4.6245962901985348e-26,6.9185331088236317e-30,2.9678968708600262e-39,3.0834850366209664e-44,1.7330106674803637e-47,4.9967889635522523e-60,1.5986693804614236e-42,6.0970866159918383e-31,3.739753167330654e-42,3.7397531673647417e-42,3.0315255209743177e-53,3.7722384042624166e-54,1.3127102077322741e-49,3.7113042259301601e-31,6.0169283763557089e-42,3.7435423419596638e-43,4.5210774543952588e-96,1.1926099473961508e-53,4.9399654984419705e-47,4.3152975652059168e-96,4.7515762753090931e-28,7.0663333804610226e-65,7.0663274796137456e-65,1.0708552505186003e-39,3.2726036249027923e-40,7.2919515709237812e-31,1.0708389793184706e-39,5.1719987657374508e-51,4.3152975652059118e-96,1.9166005433594425e-57,7.0164562971278058e-55,3.3614335942692782e-68,2.4772365000059959e-80,1.2829557620025982e-47,6.7614624352788251e-92,1.5497484709152093e-36,9.337248351878187e-68,1.0906235863429813e-93,1.3693678490916021e-47,1.0101500698871472e-105,2.6414046042865902e-98,8.2236364519375522e-109,1.2813284579617106e-66,3.650407986922261e-49,9.0075858769779992e-69,7.4850629585514922e-48,4.4349761161733418e-59,6.0615697471286413e-40,6.0675553957488833e-59,3.9828531760766237e-60,7.1830837867116203e-51,2.8555865929069902e-52,6.5430311127490967e-71,3.4025000071997927e-52,4.4382269020265009e-57,1.3227834249460253e-77,2.5859706959452848e-59,9.7141454329607403e-44,1.2353321511506736e-78,1.2318985306238438e-22,6.0670202029340281e-42,9.1159518099465914e-40,6.0670202029340243e-42,3.0020804864209323e-71,5.7898978639757772e-63,3.0551745845163478e-63,6.77531241402683e-107,3.538002182733881e-112,4.3026601900785048e-50,1.2986612314290577e-60,1.1552610166578291e-60,2.2315697665072343e-84,3.8074208060655554e-51,3.2771083611248147e-93,7.6714676725320135e-65,1.2883494674263952e-76,3.8040550849291789e-87,1.044364190968514e-87,7.7404102745483356e-77,2.659347391192266e-65,3.0604536206234191e-94,2.6593484457133538e-65,1.0735387709218937e-86,1.2322117146996522e-70,1.04821707905142e-82,3.1442650973702803e-79,1.4988615103612381e-87,1.9682142983392598e-27,1.7879000768347087e-67,1.6627904493813071e-58,4.1678871210923037e-71,9.2839388190068023e-90,5.0719371430123736e-88,4.5717586986066184e-96,6.1068356099872763e-99,6.7137263086002072e-105,1.786157826697198e-51,5.5731399632074043e-52,5.5731399632074043e-52,2.1173449380299537e-99,7.5374140856403887e-102,2.2416464944284114e-106,6.4977033568929834e-89,7.3300659062254729e-95,4.863951869536485e-43,2.8819377896342174e-54,6.6141427010749141e-49,2.8819396171842637e-54,7.0113694485223342e-55,3.3055978003048457e-103,1.9312336964456569e-112,1.6174993824446659e-102,9.0979708956074912e-125,2.2885510856039247e-123,1.5655001842849687e-123,5.2251353574234884e-108,1.5653602168938455e-66,9.4893068071572013e-127,1.1377291943187902e-76,8.5464031961294169e-80,8.8328511929845498e-37,1.7752705453906853e-85,9.0644367286425574e-96,9.3229268622913162e-95,1.6174993807863906e-102,1.4651519816512726e-111,1.1876841670478095e-122,1.657650277165588e-123,7.389394869365885e-124,4.4294040896075418e-83,3.7017663385465348e-56,1.2771213413609649e-125
6.0858612269516705e-21,0.16809235138668663,76.950000000000003,0.0,0.0,0.0,0.99999999999999745,9.5,9.6792757343657407e-17,1.2051750810292888e-15,1.2051747361187725e-15,3.0807379032870828e-26,3.0806633056683945e-26,7.8345652889262982e-17,2.4818420855053678e-25,2.1074017879367602e-26,2.5754956463569442e-38,7.3648683202294963e-43,1.5139911917203886e-30,2.7932561504398325e-25,4.1787939976489395e-29,3.5232896730505249e-38,3.6607122532169941e-43,2.0574302643893792e-46,1.1177617754534092e-58,1.8979402829817718e-41,3.6826403159948054e-30,4.4398349601482167e-41,4.4398349602244689e-41,6.7814012684367189e-52,8.4383464065800167e-53,1.5584495485691083e-48,2.2416277454512838e-30,7.1432972806397317e-41,4.4443334477520935e-42,4.8175588631384395e-94,2.6678207360748471e-52,5.8647270117397213e-46,4.5982844226938945e-94,2.8699520612038884e-27,2.9159414994796955e-63,2.9159370574744195e-63,1.2713193458988721e-38,3.8852350004620648e-39,4.4043387204226431e-30,1.2713000287303264e-38,1.1569554293645618e-49,4.5982844226938871e-94,4.2873587245092728e-56,1.5690244545113128e-53,1.3871050712220626e-66,1.8648019201651597e-78,1.5231250756955911e-46,9.2293634675647023e-90,9.3604807640581372e-36,3.8517751139593661e-66,1.4886959117253504e-91,1.6257135101003448e-46,2.4920314136230591e-103,3.6055044950433412e-96,2.0287642599142873e-106,5.2874377298300051e-65,4.3337643068936926e-48,3.7170055078172142e-67,8.8862667440436157e-47,9.9208641304360355e-58,3.6611881271715845e-39,1.3572878658645876e-57,8.9094832392660707e-59,8.5277570714364511e-50,3.3901526527603277e-51,2.6999421119416698e-69,4.0394477087749516e-51,5.4579073370983027e-56,9.9575833864300953e-76,5.7847129788305995e-58,1.1532632415957514e-42,9.2992720316451951e-77,3.4493159138078371e-22,7.202766296050074e-41,5.5060349318282999e-39,7.2027662960500659e-41,1.2388169117349736e-69,1.2951476988820377e-61,6.8341593183585168e-62,1.6714634013624289e-104,6.6365458981869763e-110,5.1081181772721173e-49,2.7814182839512049e-59,2.584272380711071e-59,1.6798700087908435e-82,4.5201699808441046e-50,4.4732367323650758e-91,1.7160766324063569e-63,5.3164101575435803e-75,2.8635977219242025e-85,7.8617128987673046e-86,3.1941019727889432e-75,5.9488497547787216e-64,4.1775040817369266e-92,5.9488541062852514e-64,8.0813318683149151e-85,2.8507823152671369e-69,4.470004473512153e-81,1.2974898042385953e-77,6.3920998369871126e-86,1.1888009965388824e-26,7.3778196875919392e-66,3.7195957235631776e-57,1.7198897464379519e-69,6.9887174576411414e-88,3.8190808610643647e-86,6.2421365298745166e-94,8.3384047113536949e-97,1.6567219219006528e-102,2.120526561942536e-50,6.6164317333967886e-51,6.6164317333967886e-51,2.8909574685509143e-97,1.0291597404195721e-99,5.5316298566227575e-104,4.8913089024892689e-87,1.0005504450789299e-92,5.7744836527871273e-42,6.4467733199497147e-53,7.8523101922036029e-48,6.4467808613758601e-53,1.5684152984113089e-53,2.570547254391133e-101,2.72254182719535e-110,2.2801268281039531e-100,2.3177389072414466e-122,5.8301661038340066e-121,3.9881682731546114e-121,8.3303122365354651e-106,3.5016481904755464e-65,2.4174351982870862e-124,4.6948689365480797e-75,3.5289141559331596e-78,1.0486357384774495e-35,7.5704431148561544e-84,7.0484135303226433e-94,1.272574909661484e-92,2.2801268240993842e-100,3.7323148920095361e-109,5.4577694043054436e-120,7.6174064442226255e-121,3.3956513546964682e-121,3.3343448225948095e-81,8.2807031819040566e-55,5.8687604086812951e-123
1.3910539947318104e-20,0.16809235138668663,76.950000000000003,0.0,0.0,0.0,0.99999999999999412,9.5,2.2124058821407262e-16,2.7546858993643061e-15,2.7546851110506897e-15,1.4832426858054015e-25,1.4831690060088671e-25,1.7907577663177955e-16,1.1949001219087148e-24,1.0146232422190105e-25,2.5285377739681392e-37,7.2308716265035333e-42,7.2892158698124404e-30,1.344832587929609e-24,2.0119094279251118e-28,3.4587684394656896e-37,3.5941064936836707e-42,2.0199972338808417e-45,2.2085089573071533e-57,1.8634090128095421e-40,1.7730327878340284e-29,4.3590562915097255e-40,4.3590562916603883e-40,1.3398905878970914e-50,1.6672750454930983e-51,1.530094986975731e-47,1.0792472583846894e-29,7.0133314433939369e-40,4.3634728898586771e-41,1.0963636801161267e-91,5.2711641569870778e-51,5.7580236981510607e-45,1.0464619478674124e-91,1.3817583672356787e-26,1.1535167984385465e-61,1.1535132862878135e-61,1.2481888567023679e-37,3.8145467138168476e-38,2.1204994742016525e-29,1.2481698909922663e-37,2.2859489364979127e-48,1.0464619478674088e-91,8.4710982412964857e-55,3.0995335054479571e-52,5.4872498437443027e-65,1.4744428394337122e-76,1.4954132208331552e-45,1.458013261893965e-87,4.5066685530168365e-35,1.5234270330211054e-64,2.3517747349135994e-89,1.596135163843435e-45,7.8666024428559719e-101,5.6958135930287276e-94,6.4042061567410106e-104,2.0916577588159832e-63,4.2549153784973003e-47,1.4704103922943744e-65,8.7245893834066067e-46,1.9601955529811235e-56,1.7627044823238365e-38,2.6817720746833261e-56,1.7603637498018261e-57,8.3726024613335571e-49,3.328472506641934e-50,1.0680195417984291e-67,3.965953079097034e-50,5.7586147623679385e-55,7.873161644447708e-74,1.1429617912519607e-56,1.1322804686293856e-41,7.35265466255247e-75,7.8841507924201135e-22,7.0717184730329657e-40,2.6509188442277769e-38,7.0717184730329494e-40,4.9006364474830379e-68,2.5588669400867343e-60,1.3502524432417322e-60,5.2763112736076552e-102,3.0156325002664789e-107,5.0151807163823234e-48,5.0267878652535625e-58,5.1060854264690581e-58,1.3282226834855197e-80,4.4379296911875349e-49,7.0666175929341673e-89,3.3906782416939713e-62,2.1031189942014988e-73,2.2641606183284543e-83,6.2160198925622275e-84,1.2635549761353908e-73,1.1753907414918664e-62,6.5994324941069266e-90,1.1753924629008441e-62,6.3896660320074666e-83,6.040754500027369e-68,1.8946479448162544e-79,5.1327407037744045e-76,2.7094142509849759e-84,5.7235605847049171e-26,2.9185920631528384e-64,7.3492943439057933e-56,6.8037080419863725e-68,5.5257688223053928e-86,3.0199876457032855e-84,9.8622172411857644e-92,1.3175337861578032e-94,5.2304035984372138e-100,2.0819455320698826e-49,6.4960518452531211e-50,6.4960518452531211e-50,4.5675496887918753e-95,1.6261007204783241e-97,1.746379784546863e-101,3.867410868201862e-85,1.5806245178865215e-90,5.6694222782793075e-41,1.2737710732135955e-51,7.7094446625839297e-47,1.2737740565177842e-51,3.0989243215311513e-52,2.1768342702843097e-99,4.6056143854525298e-108,3.8570950705724549e-98,7.8340316917625735e-120,1.970618350934258e-118,1.348016306419789e-118,3.8171612780484935e-103,6.9186667448634856e-64,8.1710245685086212e-122,1.8572413288030753e-73,1.3979418637252223e-76,1.0295560340786587e-34,3.2087946507720299e-82,5.9686977227375064e-92,2.0103564200960707e-90,3.8570950574968662e-98,1.2615027920876806e-106,3.686823754554122e-117,5.1456984306826898e-118,2.2938250665875475e-118,2.6363661583052153e-79,1.6361273867365616e-53,3.9644557925362718e-120
2.955989738805097e-20,0.16809235138668663,76.950000000000003,0.0,0.0,0.0,0.99999999999998745,9.5,4.7013624995489813e-16,5.8537075355890447e-15,5.8537058606500263e-15,6.4777104909346643e-25,6.4770569319973898e-25,3.8053601936250976e-16,5.2184426904521373e-24,4.4311262404252654e-25,2.2362867131759249e-36,6.3956241631373628e-41,3.1833920749660073e-29,5.873237151530851e-24,8.7865370469577839e-28,3.0584977389506058e-36,3.1789420368615383e-41,1.7866646774635799e-44,3.9299236538788927e-56,1.6481641486622943e-39,7.7433000013135156e-29,3.8555359246963521e-39,3.8555359249644481e-39,2.3842636168393388e-49,2.9668268393094866e-50,1.3533516503339503e-46,4.7133562582680246e-29,6.2032119075065197e-39,3.8594422786147713e-40,1.8528061505412876e-89,9.3797547968957956e-50,5.0929066479245879e-44,1.7684744291338828e-89,6.0345017288590912e-26,4.1168147860589244e-60,4.1167896828068837e-60,1.1040088801402212e-36,3.3739232832531094e-37,9.2607780546357291e-29,1.1039921051853513e-36,4.0677238936742032e-47,1.7684744291338713e-89,1.5073866294492532e-53,5.5149288098037717e-51,1.958360476884486e-63,1.0538700813357305e-74,1.3226760401443443e-44,2.0856404192734327e-85,1.9681805576442447e-34,5.4364726952508645e-63,3.3641370571942556e-87,1.4117634754782368e-44,2.2513207095299422e-98,8.1476756418939754e-92,1.8328017107243204e-101,7.4649777869150566e-62,3.7634242589729021e-46,5.2477900858603566e-64,7.7168005054781451e-45,3.4880631881365701e-55,7.69819357739462e-38,4.7720700284933391e-55,3.1324732345994292e-56,7.4054720597874793e-48,2.9439971791173998e-49,3.8113227921779942e-66,3.5078394559037254e-49,5.8050110103761592e-54,5.6274065605949256e-72,2.0338393942215462e-55,1.0014888591800819e-40,5.2553699507209996e-73,1.6753820998621833e-21,6.2548545698523202e-39,1.1577259396717866e-37,6.2548545698522915e-39,1.7490022959159953e-66,4.552914233278291e-59,2.4024794763633017e-59,1.5100115386128854e-99,1.0217544259787332e-104,4.4358705472080851e-47,7.6319795845366527e-57,9.0860015136461414e-57,9.4935800723576456e-79,3.9252985534601472e-48,1.0108565758591011e-86,6.0335307667942102e-61,7.5058823446584239e-72,1.6183273448880272e-81,4.4429509587036815e-82,4.5095379577642881e-72,2.0915388623792432e-61,9.4402727315761033e-88,2.0915450059388898e-61,4.5670659927420687e-81,1.2208173133022592e-66,7.666834713075898e-78,1.8318387482584491e-74,1.0963989822590936e-82,2.4996253442062937e-25,1.041624750926497e-62,1.3077676612377035e-54,2.4281916652163167e-66,3.9495886061492949e-84,2.1586796225331186e-82,1.4108358048830768e-89,1.8851189260764119e-92,1.4969572339895221e-97,1.8414572084821652e-48,5.7456841751593044e-49,5.7456841751593044e-49,6.5340994952566147e-93,2.3264628560777835e-95,4.9981914525656849e-99,2.7642635726262145e-83,2.2610318221487319e-88,5.0145397756272791e-40,2.2665979239949435e-50,6.8189164125432211e-46,2.2666085711312415e-50,5.5143702282913863e-51,1.762731666172601e-97,7.4609258214188427e-106,6.2482672447089809e-96,2.5384832663817921e-117,6.3854729304745619e-116,4.3680323390828529e-116,1.3072559888800875e-100,1.2311397804787825e-62,2.647690535178161e-119,6.6283470997313474e-72,5.003038687432596e-75,9.1062931454639561e-34,1.2984631262239482e-80,4.8331977203675654e-90,2.8757491862926811e-88,6.248267203086453e-96,4.0876434647339064e-104,2.3894304212163049e-114,3.3349271800824574e-115,1.4866280372737432e-115,1.8843642477378935e-77,2.9114011944412819e-52,2.569363799107043e-117
6.08586122695167e-20,0.16809235138668663,76.950000000000003,0.0,0.0,0.0,0.99999999999997413,9.5,9.6792757343652953e-16,1.2051750806257526e-14,1.2051747358790701e-14,2.7043166153783651e-24,2.703766528054895e-24,7.834564858067614e-16,2.1785970392696229e-23,1.849907958646012e-24,1.8794371896830701e-35,5.3759075168458037e-40,1.3290035259101291e-28,2.4519608297441136e-23,3.6682062531749431e-27,2.5696012850404662e-35,2.6720848333752763e-40,1.501799315756225e-43,6.6283903757835082e-55,1.385381241413313e-38,3.2326753229023642e-28,3.2408102574973936e-38,3.2408102579495774e-38,4.0214087630442595e-48,5.0039870308398334e-49,1.1375735439492755e-45,1.9677334027912254e-28,5.2141728234472525e-38,3.2440936532933658e-39,2.7129163344459996e-87,1.5820326820323179e-48,4.2808947306683568e-43,2.5894361179918316e-87,2.519285614463781e-25,1.390975472705811e-58,1.3909584955439996e-58,9.279859376343699e-36,2.8359856677636716e-36,3.8661923265100883e-28,9.2797183727560846e-36,6.8608105567159668e-46,2.5894361179917976e-87,2.5424277341499108e-52,9.3012940682133656e-50,6.6168571706987636e-62,7.1273281767187626e-73,1.1117888775488128e-43,2.8221744409560263e-83,8.2167663890299379e-34,1.8367720306484255e-61,4.5521661026362522e-85,1.1866722641072485e-43,6.0939517754105331e-96,1.1024988815256972e-89,4.9610903424752658e-99,2.5222471538985181e-60,3.1633845032033296e-45,1.7731095558438581e-62,6.4864357947548754e-44,5.8831281716208381e-54,3.2138442786147793e-37,8.0487932934214218e-54,5.2833739543210744e-55,6.2247454784807671e-47,2.4746086007752856e-48,1.2875144977638925e-64,2.9485485256284856e-48,6.0765364105978187e-53,3.8058175437861666e-70,3.4303672583777445e-54,8.4181106981991163e-40,3.5542090265727062e-71,3.4493163206933885e-21,5.2575815858580816e-38,4.8332781878397391e-37,5.2575815858580335e-38,5.9094831752838905e-65,7.6776277888128111e-58,4.0513817642775308e-58,4.0873450286642417e-97,2.99641489683251e-102,3.7286164741464254e-46,9.9377894021526126e-56,1.5324853778415215e-55,6.4205124093917051e-77,3.2994499504225244e-47,1.3678357509204115e-84,1.0176431514028263e-59,2.5360680300343332e-70,1.0944755779181077e-79,3.004769688552622e-80,1.5236709546346402e-70,3.527665204658585e-60,1.277406000125457e-85,3.5276859621774957e-60,3.088708792666723e-79,2.5514560066420908e-65,3.2021433283066291e-76,6.1893694471094745e-73,4.5792732815936306e-81,1.0435410877812568e-24,3.5194144422767779e-61,2.2057413075740202e-53,8.2042878039034237e-65,2.6711088294139091e-82,1.4599526442222283e-80,1.9091131561656891e-87,2.5517850694664362e-90,4.0521159197664541e-95,1.5478556770154808e-47,4.8295935566441032e-48,4.8295935566441032e-48,8.8418277488233662e-91,3.1487984134460046e-93,1.3529612442746745e-96,1.8694727862133326e-81,3.0595044859676564e-86,4.2150227874628279e-39,3.8229161477196132e-49,5.7317099725720221e-45,3.8229521215512013e-49,9.3007912962521624e-50,1.4719057183150556e-95,1.2457650065610912e-103,1.0432763443580375e-93,8.4762641137436515e-115,2.1321923094125087e-113,1.4585437385825313e-113,3.8570235373345166e-98,2.0764971853474562e-61,8.8409889891349285e-117,2.2395583476070335e-70,1.6997978422080427e-73,7.6543655712278016e-33,5.4231863091757309e-79,4.0357543275518736e-88,3.891306179325947e-86,1.0432763305843935e-93,1.364906755741483e-101,1.5956386156346673e-111,2.2270323794619422e-112,9.9275594166683565e-113,1.274396391364377e-75,4.9105034097554532e-51,1.7157964695779404e-114
1.2345604203244817e-19,0.16809235138668663,76.950000000000003,0.0,0.0,0.0,0.99999999999994749,9.5,1.963510220399714e-15,2.4447837340472014e-14,2.4447830350840071e-14,1.1048015765693942e-23,1.104350349816802e-23,1.5892973426264557e-15,8.9002792840606312e-23,7.5574774590624197e-24,1.5403900833386135e-34,4.407493804684374e-39,5.4294130449639725e-28,1.001705950431968e-22,1.4985819445526414e-26,2.1046668056226959e-34,2.1907242971784207e-39,1.2312658134996302e-42,1.0887150067772736e-53,1.135819185724341e-37,1.320653348611252e-27,2.657012049495349e-37,2.657012050238061e-37,6.6051749239628737e-47,8.219063480479609e-48,9.326514161484986e-45,8.0388325775197734e-28,4.2748929953199387e-37,2.6597037624760937e-38,3.7096836097331072e-85,2.5984932276112095e-47,3.5097358497879405e-42,3.5408348585631656e-85,1.0292103202600849e-24,4.5732019920207328e-57,4.5730903129440094e-57,7.6081886008178506e-35,2.3251121541430054e-35,1.5794655424550883e-27,7.6080729975834485e-35,1.1268900820904525e-44,3.5408348585630736e-85,4.1759447256153144e-51,1.5277044064269101e-48,2.1754776675975057e-60,4.6885941036421656e-71,9.115116417718769e-43,3.7138225482580649e-81,3.356817174755834e-33,6.0387581669276844e-60,5.9903940985432979e-83,9.7290561428662572e-43,1.6040281637120586e-93,1.450826451129589e-87,1.3058404478241041e-96,8.2925959957137213e-59,2.5935331657496103e-44,5.8295955747803911e-61,5.317971954859585e-43,9.6630549611071402e-53,1.3129602523956207e-36,1.3220166134869738e-52,8.67795755955078e-54,5.1034224250059906e-46,2.0288362357789e-47,4.2314537446471893e-63,2.4173951088847104e-47,6.9450087703197178e-52,2.5035935854190945e-68,5.6343880226475612e-53,6.9016649187661735e-39,2.338077128004311e-69,6.9971854807192186e-21,4.3104821099206448e-37,1.9745520814934181e-36,4.3104821099205646e-37,1.9429085865787128e-63,1.2605511350039906e-56,6.6519407712081941e-57,1.0758532848535335e-94,8.2007774272688022e-100,3.0569450559642005e-45,1.118717255284088e-54,2.5171066404223582e-54,4.2236270009616549e-75,2.7050884125106652e-46,1.7999947189929145e-82,1.6714819307985991e-58,8.3380370026952563e-69,7.1998260618992544e-78,1.9766376054830658e-78,5.0094967351213111e-69,5.7941323847134365e-59,1.6809942692033039e-83,5.7942006297064361e-59,2.031855612996716e-77,5.8083175091837934e-64,1.4550309622639805e-74,2.0349294777824491e-71,2.0808000532043652e-79,4.2631789713328144e-24,1.1571063551867714e-59,3.6229367196608862e-52,2.6973751840711992e-63,1.7571447934603055e-80,9.6041348789145315e-79,2.5123041053196176e-85,3.3603518652399287e-88,1.0665914677826578e-92,1.2690254984759302e-46,3.9595922680341197e-47,3.9595922680341197e-47,1.1635493445418283e-88,4.1454569688025155e-91,3.5612429582830385e-94,1.2298016326239157e-79,4.0261355153651324e-84,3.4557302721878351e-38,6.2790443403507177e-48,4.6992018968192227e-44,6.2791626115740979e-48,1.5276577333476544e-48,1.3363534579868422e-93,2.2609874563641454e-101,1.8934698697177377e-91,3.0759934859841101e-112,7.7377297918060184e-111,5.2930653961522578e-111,1.0589132803896406e-95,3.4106528569968188e-60,3.2084012833418694e-114,7.3631099383200593e-69,5.650270816674724e-72,6.2754744337748176e-32,2.4642596478092856e-77,3.6640643191361714e-86,5.120739229632063e-84,1.8934698199594169e-91,4.9532223016476785e-99,1.1579700475601397e-108,1.6161786777017483e-109,7.2045247198731835e-110,8.3834043107464375e-74,8.0655157941996766e-50,1.2451698522738648e-111
2.486509015583111e-19,0.1680923513866866,76.950000000000003,0.0,0.0,0.0,0.99999999999989431,9.5,3.9546755143257691e-15,4.9240010380423273e-14,4.9239996318010891e-14,4.4657846110985474e-23,4.4621305765497878e-23,3.2009787519908069e-15,3.5976348017247424e-22,3.0548530915624758e-23,1.2466612552732587e-33,3.5693027754907777e-38,2.1946555603665897e-27,4.0490551738329876e-22,6.0575078185434089e-26,1.7011066464914913e-33,1.7740854288844205e-38,9.9711097776491213e-42,1.764853599033658e-52,9.1981573206179175e-37,5.3382919862146703e-27,2.1517172435735258e-36,2.1517172447774937e-36,1.0707269800445932e-45,1.3323455295216601e-46,7.5528512819310882e-44,3.2494243112966699e-27,3.4619177038985203e-36,2.1538967171059124e-37,4.906411694812369e-83,4.2122688399022469e-46,2.8422746155844057e-41,4.6830930578274665e-83,4.1602322222550775e-24,1.4832934589432104e-55,1.4832210008156332e-55,6.1613071189315613e-34,1.8829357173933842e-34,6.3844508533300025e-27,6.1612135004769184e-34,1.8267370208673057e-43,4.6830930578272207e-83,6.7693848555201463e-50,2.476445548917438e-47,7.0561083195210824e-59,3.0421192498171254e-69,7.3816567663234394e-42,4.8198244223096427e-79,1.3568791715930641e-32,1.9586329661187929e-58,7.7743746242297196e-81,7.8788418498610164e-42,4.1636602825827011e-91,1.8828926506195161e-85,3.3896387735511495e-94,2.6896831073870244e-57,2.1003094704294172e-43,1.8908148895072311e-59,4.3066315609093432e-42,1.5664226145183267e-51,5.3071952598181234e-36,2.143045569786717e-51,1.4067343080352532e-52,4.1328837924483735e-45,1.6430083884624282e-46,1.3714172594082321e-61,1.9576641870754467e-46,8.8038548790914044e-51,1.6244165329837875e-66,9.1335841659558695e-52,5.5891296438320799e-38,1.5170238459745605e-67,1.4092926674224337e-20,3.4907386730332575e-36,7.9814571232786923e-36,3.4907386730331279e-36,6.3017761985774412e-62,2.041783578039617e-55,1.0775096479463895e-55,2.7926332006069908e-92,2.1700811869383518e-97,2.4755933583049323e-44,1.1103999049645011e-53,4.0803214931116847e-53,2.740432639218862e-73,2.1906507286364145e-45,2.336045376973891e-80,2.7095442350726216e-57,2.7044224313404623e-67,4.6714929897830125e-76,1.2825095852366551e-76,1.6248182554074905e-67,9.3923168297993732e-58,2.1816057927570016e-81,9.3925381730939973e-58,1.318336991900797e-75,1.4659811696614786e-62,7.3286523766300667e-73,6.6002464038712007e-70,1.0480556934340381e-77,1.7232233784720526e-23,3.7530459925984433e-58,5.872936540791678e-51,8.7487734981482229e-62,1.1400957382542267e-78,6.2314626505458592e-77,3.2604657700862477e-83,4.3670866555489231e-86,2.768590908493323e-90,1.0276895834769588e-45,3.206579957358521e-46,3.206579957358521e-46,1.5100686087508109e-86,5.384602389375813e-89,9.2440501355896317e-92,7.9793724834052936e-78,5.2251463377909548e-82,2.79853985701993e-37,1.0178254853709243e-46,3.805535152031598e-43,1.0178638445007792e-46,2.4763989200111208e-47,1.3447230111936049e-91,4.5478344729302235e-99,3.8085658871367462e-89,1.2370604440135703e-109,3.111942607099007e-108,2.1287590606062294e-108,2.8064960141536063e-93,5.5288152391254831e-59,1.2903513762665349e-111,2.3881629990207803e-67,1.8726802732063693e-70,5.081982103093835e-31,1.2411929432833936e-75,3.6869832182227291e-84,6.6457294393590892e-82,3.8085656874753772e-89,1.9920658687801083e-96,9.3128917013921666e-106,1.2998005201971085e-106,5.7941891470915137e-107,5.4394376981970416e-72,1.3074546070041128e-48,1.0014191737949572e-108
