Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751)
7.433062444772854e-20,0.20169464657853056,76.950000000000003,0.0,0.0,0.0,0.99999999999902678,9.5,2.0880824780901871e-14,2.9606225464663907e-13,2.9606225469092049e-13,7.7746450679518759e-23,7.7693699425266309e-23,3.6021888221783894e-13,1.4385065974362935e-20,4.4602706526586688e-23,2.189817794420014e-33,7.2394753638784383e-38,2.4004005669747221e-37,2.5249658141605607e-20,3.9148360789038874e-25,2.4999132064646811e-33,8.2203012844628687e-38,5.3483172908074167e-51,0.0,3.0137451570736731e-34,2.7315029664724864e-25,1.3699773986883908e-34,1.3699773988767754e-34,1.6513993965976717e-44,2.3244720258044605e-45,5.1935441950462681e-39,4.5267903840720118e-27,1.1692267883104722e-36,8.2288844891037894e-38,4.9608111789160195e-80,4.1632472694067402e-46,9.5970921226391264e-41
1.486935244596984e-19,0.2016946465785306,76.950000000000003,0.0,0.0,0.0,0.99999999999805311,9.5,4.1770716354987507e-14,5.9225306408693811e-13,5.9225306426391033e-13,3.1108707150147524e-22,3.1066516837119592e-22,7.2059409663820037e-13,5.7558995789330789e-20,1.7846891286591572e-22,1.7477030720672447e-32,5.793780623898258e-37,1.9213006027196915e-36,1.0103151207265583e-19,1.5664443620183773e-24,1.985236695294553e-32,6.5786656796701988e-37,8.5619839785476804e-50,0.0,2.4119118480654533e-33,1.0929569805228144e-24,1.0963982821462988e-33,1.096398282447837e-33,2.6433135679649705e-43,3.7206687322454703e-44,4.1564129176280933e-38,1.8113057945141603e-26,9.3573643877448154e-36,6.5856079077652113e-37,6.3562806475523759e-78,6.6639063348697824e-45,7.6805904455801221e-40
2.9741932448363807e-19,0.20169464657853053,76.950000000000003,0.0,0.0,0.0,0.99999999999610578,9.5,8.3550499503056271e-14,1.1846346822328407e-12,1.1846346829391608e-12,1.2445508484752003e-21,1.2411792509863257e-21,1.4413442833685354e-12,2.3027341912325521e-19,7.1399177577984808e-22,1.3907810143137643e-31,4.6359049505064334e-36,1.5374413462836285e-35,4.0419175847536033e-19,6.266797450936337e-24,1.5643071773335063e-31,5.2638141900692354e-36,1.3702991592160116e-48,0.0,1.9298955860911468e-32,4.3725396065035415e-24,8.7728520550410137e-33,8.7728520598666026e-33,4.2301593040711663e-42,5.9542803115146738e-43,3.3257604582629826e-37,7.2464026226211573e-26,7.4873077197514787e-35,5.2694859349217897e-36,8.1401648579551109e-76,1.066441780318915e-43,6.1456392990982769e-39
5.948709245315174e-19,0.20169464657853056,76.950000000000003,0.0,0.0,0.0,0.99999999999221123,9.5,1.671100657987837e-13,2.3693979155946539e-12,2.3693979184067441e-12,4.97860851609716e-21,4.9517012285640592e-21,2.8828436883883055e-12,9.2116828851285196e-19,2.8561988422914748e-21,1.100686429209445e-30,3.7090763868717646e-35,1.2301273756608614e-34,1.6168979980556894e-18,2.506922992814106e-23,1.2145301200948023e-30,4.2112625790929192e-35,2.1928081108343004e-47,0.0,1.5440625121900714e-31,1.7491581857604838e-23,7.0189480170134553e-32,7.0189480247351704e-32,6.768933861606657e-41,9.527814475717612e-42,2.6608587866074023e-36,2.898796950607862e-25,5.9904061176488788e-34,4.215987463506685e-35,1.042205219442884e-73,1.7064798238554525e-42,4.9169782571002057e-38
1.189774124627276e-18,0.20169464657853056,76.950000000000003,0.0,0.0,0.0,0.99999999998442202,9.5,3.3422919838859832e-13,4.7389243706679815e-12,4.73892438181024e-12,1.9915244084994006e-20,1.9701056534857992e-20,5.7658386246694468e-12,3.6848202614278747e-18,1.1425254656437938e-20,8.6191321880861941e-30,2.9674024208935806e-34,9.8419391475824129e-34,6.467850205220441e-18,1.0028099989489827e-22,9.1723737276750868e-30,3.3688682381832177e-34,3.5088334615756513e-46,0.0,1.2353077655743414e-30,6.9969174086138499e-23,5.6154249492735134e-31,5.6154249616288548e-31,1.0830814394734675e-39,1.524526826191906e-40,2.1287845520415167e-35,1.1595659589261589e-24,4.7925383187449581e-33,3.3729475925454779e-34,2.3356053615347434e-71,2.7305046361492631e-41,3.9337693282636165e-37
2.3795805248187935e-18,0.20169464657853056,76.950000000000003,0.0,0.0,0.0,0.9999999999688437,9.5,6.6846746356166625e-13,9.4779772347603826e-12,9.4779772784905475e-12,7.9662594390705192e-20,7.7966099421261042e-20,1.1531813002239783e-11,1.4739558289831857e-17,4.5701903562472876e-20,6.6143229489848699e-29,2.3739789960831337e-33,7.8742759295694207e-33,2.5871887458871678e-17,4.0113215841414639e-22,6.5954057705983133e-29,2.694675852730805e-33,5.6146519467019923e-45,0.0,9.8826825199885141e-30,2.7988238728670387e-22,4.4924465321045368e-30,4.4924465518734845e-30,1.7329645624598047e-38,2.4393016585053066e-39,1.7030624108080569e-34,4.638358168494538e-24,3.8340991247820068e-32,2.6984181277001252e-33,2.9997319018645079e-69,4.3689122488325309e-40,3.1470901305404108e-36
4.759193325201829e-18,0.20169464657853056,76.950000000000003,0.0,0.0,0.0,0.99999999993768696,9.5,1.3369439938815575e-12,1.8956082782943435e-11,1.8956082951344453e-11,3.1865359756311838e-19,3.0534648376563575e-19,2.3063699777745771e-11,5.8958651845819206e-17,1.8280911498758128e-19,4.891175685501898e-28,1.8992068743338318e-32,6.3002807175738904e-32,1.0348828474302497e-16,1.604544938353918e-21,4.3819240446536656e-28,2.1549943225685907e-32,8.9846446170030906e-44,0.0,7.9062171608287741e-29,1.1195409113672183e-21,3.5939997842446988e-29,3.5939998158750914e-29,2.7727471584206526e-37,3.9029217288295046e-38,1.3624570509788917e-33,1.8553621134499872e-23,3.0672796452675372e-31,2.1587537295516768e-32,3.8398486308282947e-67,6.9903284035334945e-39,2.5177019354515836e-35
9.518418925967899e-18,0.20169464657853056,76.950000000000003,0.0,0.0,0.0,0.99999999987537358,9.5,2.6738970544163614e-12,3.7912293190641531e-11,3.7912293815025523e-11,1.2746207015413458e-18,1.1721713581965472e-18,4.612722541288394e-11,2.3583435831579921e-16,7.3123730914194007e-19,3.3957452131751384e-27,1.5193763363024504e-31,5.0414796577763866e-31,4.1395270179318276e-16,6.4182122622843588e-21,2.6098391721391078e-27,1.7227718493786869e-31,1.4378907246812703e-42,0.0,6.3249749637973251e-28,4.478186211888945e-21,2.8752167372024446e-28,2.875216787810357e-28,4.4363231849950352e-36,6.2446806993902622e-37,1.0899576330581378e-32,7.4214859856167913e-23,2.4537805889522811e-30,1.7270030047170518e-31,4.9150655202518807e-65,1.1184532302932325e-37,2.0141734235789029e-34
1.4277644526733968e-17,0.20169464657853056,76.950000000000003,0.0,0.0,0.0,0.9999999998130602,9.5,4.0108501148461856e-12,5.6868502938795842e-11,5.6868504196679964e-11,2.7085727907488471e-18,2.4219379775438303e-18,6.9190503134813155e-11,5.0114663351529079e-16,1.5538773920768398e-18,8.9856165123900692e-27,4.3444768546140071e-31,1.4968651594911449e-30,8.7964707271757547e-16,1.3638721266370998e-20,6.4108786742969833e-27,4.9240332017370536e-31,5.4403674359560818e-42,0.0,1.8085443229106978e-27,9.5161596265066982e-21,8.2213351384401809e-28,8.2213353247093321e-28,1.6328460650169466e-35,2.2984544669203166e-36,3.1165785797808323e-32,1.5770681016169569e-22,7.0161948158497565e-30,4.9381399484729856e-31,2.5359930004992307e-64,4.1166450808834794e-37,5.7592857893727922e-34
1.9036870127500038e-17,0.20169464657853056,76.950000000000003,0.0,0.0,0.0,0.99999999975074683,9.5,5.3478031751710322e-12,7.5824712054472411e-11,7.5824714096307899e-11,4.6205097529365382e-18,4.0275821843037176e-18,9.2253532946198268e-11,8.5489452682601829e-16,2.6507274817710948e-18,1.7726281177411557e-26,9.1637759702111901e-31,3.2619118714997152e-30,1.5005697289265231e-15,2.3266071870155668e-20,1.1945504405402451e-26,1.0382348735994685e-30,1.41624130317655e-41,0.0,3.8147355732775734e-27,1.6233461016955827e-20,1.7341190998783977e-27,1.7341191471199053e-27,4.1412138007219283e-35,5.8293692907911266e-36,6.5737268925272536e-32,2.6902947088504138e-22,1.4799018088955695e-29,1.0415943981110426e-30,1.383475518252711e-63,1.0440685803006053e-36,1.2148011739870393e-33
2.855532132903218e-17,0.2016946465785306,76.950000000000003,0.0,0.0,0.0,0.99999999962612007,9.5,8.0217092955743444e-12,1.1373712887801451e-10,1.1373713276427735e-10,9.5661845620478035e-18,7.9975238560050018e-18,1.3837901074636602e-10,1.769940345912294e-15,5.4879759221825654e-18,4.3620185481263604e-26,2.5029187323874487e-30,9.4696652708716072e-30,3.1067211471716867e-15,4.8169482717187304e-20,2.7228653125417712e-26,2.8339839234976878e-30,5.1980507612510104e-41,0.0,1.0419183056651313e-26,3.3609343312530125e-20,4.73642095365122e-27,4.7364211188547183e-27,1.4481797469652118e-34,2.0385524027586404e-35,1.7954695478332891e-31,5.5699176277410037e-22,4.0419918530505713e-29,2.8449051863396901e-30,1.9214102763547851e-62,3.6511462657021424e-36,3.3180015302894851e-33
3.807377253056432e-17,0.20169464657853053,76.950000000000003,0.0,0.0,0.0,0.99999999950149332,9.5,1.0695615415591613e-11,1.5164954357387562e-10,1.5164954965966437e-10,1.626957929474101e-17,1.3078004767614681e-17,1.8450357691318075e-10,3.0101875772437742e-15,9.3335767280448296e-18,8.3513742283310407e-26,5.2369556368576909e-30,2.0711540944835273e-29,5.2836884727829348e-15,8.1923707919004469e-20,4.9193264993307796e-26,5.9263813999220827e-30,1.3480207276153238e-40,0.0,2.1800330840814512e-26,5.716071237125087e-20,9.9101815553210195e-27,9.9101819681146612e-27,3.6185590974374813e-34,5.0937733389431094e-35,3.7566863631228341e-31,9.4729749468683092e-22,8.4570502417546889e-29,5.9524691551446696e-30,8.8324582084090859e-62,9.1231933646973708e-36,6.9423723905794125e-33
4.759222373209646e-17,0.20169464657853056,76.950000000000003,0.0,0.0,0.0,0.99999999937686657,9.5,1.3369521535195262e-11,1.8956195613174509e-10,1.8956196465585655e-10,2.4856244625746381e-17,1.920669510662642e-17,2.3062716634778596e-10,4.5988585392686362e-15,1.4259542496957824e-17,1.3962468504298034e-25,9.5336993027896385e-30,3.8862478485788689e-29,8.0722331178547457e-15,1.251609480286579e-19,7.8398340480186634e-26,1.0782716171888793e-29,2.9476944708534889e-40,0.0,3.9686504884862823e-26,8.7328673466366939e-20,1.8041112428401558e-26,1.804111330417756e-26,7.6770636305169186e-34,1.080696354590333e-34,6.8388352624477736e-31,1.4472569054066429e-21,1.5395458897375646e-28,1.0836196253356097e-29,3.2609607799070307e-61,1.9355788220775968e-35,1.2638327774101048e-32
6.662912613516073e-17,0.20169464657853056,76.950000000000003,0.0,0.0,0.0,0.99999999912761317,9.5,1.871733377313572e-11,2.653867754630142e-10,2.653867888313653e-10,4.779767812971146e-17,3.3910830407250278e-17,3.228713537884321e-10,8.8433145505437584e-15,2.7420346015562701e-17,3.0511181502161368e-25,2.5171909284578443e-29,1.0637331770563613e-28,1.5522394519763967e-14,2.4068013798361803e-19,1.5907090262698039e-25,2.8426131651444318e-29,1.1341850224291203e-39,0.0,1.0478284341721304e-25,1.6792998136133779e-19,4.7633875692389056e-26,4.7633878900830184e-26,2.8125115957220948e-33,3.9592952605392781e-34,1.805603822500914e-30,2.7830245262877761e-21,4.0646529592838847e-28,2.8610406241536246e-29,3.9976855024528585e-60,7.0912823338836275e-35,3.3368926882792075e-32
8.566602853822501e-17,0.2016946465785306,76.950000000000003,0.0,0.0,0.0,0.99999999887835989,9.5,2.4065146009396252e-11,3.4121158764003686e-10,3.4121160529324883e-10,7.838806043640809e-17,5.1343218712274144e-17,4.151115744707499e-10,1.4502808093525617e-14,4.4968894618901582e-17,5.4220976453715818e-25,5.218790410371209e-29,2.2432202013529465e-28,2.5456327216151133e-14,3.9471487164001801e-19,2.6925790645116705e-25,5.8853289328128031e-29,3.0134993104285664e-39,0.0,2.1723872217853317e-25,2.7540476255013224e-19,9.8756968663560467e-26,9.8756976994513779e-26,7.3028675470589376e-33,1.0280857727051902e-33,3.7433737989412795e-30,4.5641537621040259e-21,8.4266629997916008e-28,5.9315874438122885e-29,1.9929105445947073e-59,1.8413485289999175e-34,6.9182155737220347e-32
1.2373983334435357e-16,0.2016946465785306,76.950000000000003,0.0,0.0,0.0,0.99999999837985343,9.5,3.4760770476878254e-11,4.9286119362289828e-10,4.928612150794286e-10,1.6251240999068278e-16,9.1303685275199071e-17,5.9958011811241389e-10,3.0065997408605222e-14,9.3226757136371046e-17,1.2348811532598928e-24,1.5681107266766018e-28,6.8479409593934146e-28,5.2773908555591759e-14,8.1831471632145848e-19,5.7815812150957957e-25,1.7626459920748485e-28,1.368547389220611e-38,0.0,6.5272269570780723e-25,5.7096337014984574e-19,2.9673616125401157e-25,2.9673619817819072e-25,3.2367232652074685e-32,4.5569464936187021e-33,1.1247079094891041e-29,9.462309056250719e-21,2.5316983941876631e-27,1.7822230920198607e-28,3.0349012290663856e-58,8.1616874650046484e-34,2.0787241424737266e-31
1.9988744295661068e-16,0.2016946465785306,76.950000000000003,0.0,0.0,0.0,0.99999999738284129,9.5,5.615201939168616e-11,7.9616034161626422e-10,7.9616034210239981e-10,4.2253449516215096e-16,1.8209939565331466e-16,9.6846962052696268e-10,7.8167036356252917e-14,2.4238114994220011e-16,3.4957176330305055e-24,6.7419455532229514e-28,2.9766107698534893e-27,1.3720416365433745e-13,2.1276322162636025e-18,1.5500125721389354e-24,7.5240626214234215e-28,1.0262538089127732e-37,0.0,2.8061029833744355e-24,1.4845139553683644e-18,1.2757640241994481e-24,1.2757642964777773e-24,2.3867037900127927e-31,3.3607949955685054e-32,4.8348332518434274e-29,2.4602163665094459e-20,1.0882003056579227e-26,7.6618950781903239e-28,1.0621876616308171e-56,6.0193088441777237e-33,8.9371047385666556e-31
3.521826621811249e-16,0.20169464657853053,76.950000000000003,0.0,0.0,0.0,0.99999999538882045,9.4999999999999982,9.8934517140678301e-11,1.4027584105118006e-09,1.4027582259557601e-09,1.3096672673338151e-15,3.7842562838017478e-16,1.7060583331249827e-09,2.4225090234219943e-13,7.5121069186576747e-16,1.1520544127102918e-23,3.7966192239947824e-27,1.6889614028986773e-26,4.2521546168720895e-13,6.594722571094817e-18,4.909701164239851e-24,4.1741509295920522e-27,1.0953149744644181e-36,0.0,1.5799578204343918e-23,4.6013356051252851e-18,7.1839743166389843e-24,7.1839771932690205e-24,2.5214473601611316e-30,3.551826765780022e-31,2.7217843302827256e-28,7.6255861235643804e-20,6.1247275811041384e-26,4.3139639602365556e-27,6.6265346105317142e-55,6.3614100848731481e-32,5.0325896254681101e-30
5.044778814056392e-16,0.2016946465785306,76.950000000000003,0.0,0.0,0.0,0.99999999339480405,9.4999999999999964,1.4171701478217245e-10,2.0093561896213969e-09,2.0093556162216715e-09,2.6862488548111625e-15,5.8143791774625606e-16,2.4433933822558737e-09,4.9682259118563537e-13,1.5406926187514092e-15,2.4215865058984495e-23,1.0815510073695674e-26,4.8279623885518188e-26,8.7205721613112551e-13,1.3526418455591613e-17,1.0157080050733198e-23,1.1764547732363856e-26,4.180238745000029e-36,0.0,4.5003250183491777e-23,9.4377809156018494e-18,2.0464487076725244e-23,2.0464498016597844e-23,9.5888515542915865e-30,1.3510210480782332e-30,7.7517914770527033e-28,1.5640818610070324e-19,1.7440844423450604e-25,1.2287789836971925e-26,5.4166706269144143e-54,2.4197024824222988e-31,1.4335993528621009e-29
8.090683198546676e-16,0.20169464657853053,76.950000000000003,0.0,0.0,0.0,0.99999998940678403,9.4999999999999893,2.2728200974266791e-10,3.2225509012153414e-09,3.2225489160115786e-09,6.9077380896559037e-15,9.8510491763526546e-16,3.917302939266182e-09,1.2772692139384277e-12,3.9612968353783492e-15,6.3617520511087473e-23,4.4944236094470797e-26,2.0197231191138606e-25,2.2419508590846995e-12,3.4783612998925653e-17,2.6312778460319987e-23,4.7611301823670521e-26,2.8581744697664781e-35,0.0,1.8695722299090331e-22,2.4269513758338404e-17,8.5034364170671516e-23,8.5034438412311683e-23,6.5068019026865387e-29,9.1736211485320878e-30,3.2193940122293979e-27,4.0220851873408906e-19,7.2405060819388102e-25,5.1046893178457082e-26,1.8921371768752e-52,1.6429919658344086e-30,5.9569215688207277e-29
1.0831997144587933e-15,0.20169464657853048,76.950000000000003,0.0,0.0,0.0,0.99999998581758087,9.4999999999999805,3.042905048394728e-10,4.314425174687966e-09,4.3144211977915262e-09,1.2380955322435362e-14,1.3477749894959399e-15,5.2429548758128409e-09,2.2888312119986445e-12,7.0990623983604774e-15,1.1505139882272411e-22,1.0517037754650694e-25,4.7459887134455039e-25,4.0175141204757702e-12,6.2344018666350284e-17,4.7304709765947141e-23,1.0942416671114623e-25,8.4929101335862917e-35,0.0,4.3739321434311284e-22,4.3499135194665437e-17,1.9897082910962691e-22,1.9897104886214279e-22,1.925902486321889e-28,2.7162267214077345e-29,7.5303906044116713e-27,7.2089381289247524e-19,1.6931507326427701e-24,1.1942552977099438e-25,1.1508023615521559e-51,4.864718128999211e-30,1.3938535811136933e-28
1.357331109062919e-15,0.20169464657853048,76.950000000000003,0.0,0.0,0.0,0.99999998222839181,9.4999999999999698,3.812989995879875e-10,5.4062985324020673e-09,5.4062918804075118e-09,1.9439927461423516e-14,1.7099243108167126e-15,6.5677863104751789e-09,3.5930858442560465e-12,1.1145177428045377e-14,1.8161678720005534e-22,2.0365275487721936e-25,9.2269888461896261e-25,6.3068316446432901e-12,9.7889718923136899e-17,7.4406272626463852e-23,2.0811514467990371e-25,2.0003650045553885e-34,0.0,8.4679416927002218e-22,6.8300259844018186e-17,3.8526640214824934e-22,3.8526691775719711e-22,4.5185629526880587e-28,6.3752652546742381e-29,1.4575917116594369e-26,1.1319142243517343e-18,3.2763935977459742e-24,2.3120703405623899e-25,4.6561795149747096e-51,1.1417914976719971e-29,2.6989150854666997e-28
1.6314625036670446e-15,0.20169464657853042,76.950000000000003,0.0,0.0,0.0,0.99999997863921686,9.4999999999999574,4.5830749398821289e-10,6.4981709743216623e-09,6.4981609638799539e-09,2.8084634127593285e-14,2.0719298341463651e-15,7.8917977268554415e-09,5.1898605971557805e-12,1.6099300985180145e-14,2.6331349291104462e-22,3.4947320208832197e-25,1.5893325576371685e-24,9.1096006240936906e-12,1.4142070716584454e-16,1.0761517385471316e-22,3.5096317136126902e-25,4.033104947981059e-34,0.0,1.4528204643884098e-21,9.86728624099977e-17,6.6108864719728285e-22,6.6108968306582346e-22,9.0774692430583559e-28,1.2812161632585461e-28,2.500255845506593e-26,1.6352696349359682e-18,5.6186157406515943e-24,3.9667353307716094e-25,1.5514289035532781e-50,2.2946051194217546e-29,4.6311421790902975e-28
