Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532)
2.549083521317246e-23,0.28977552948937907,76.950000000000003,0.0,0.0,0.0,0.99999999999972322,9.5,3.0215943449017336e-16,3.9978426745061816e-15,3.9978426745062178e-15,3.081490037637027e-28,3.0814877286887699e-28,2.6839731294657833e-13,4.6237209141386805e-24,1.3964154904260845e-28,1.5006686894210805e-41,6.6580027187174116e-46,2.0884728920376723e-43,1.4905122120362398e-23,1.0160333243905729e-29,1.3600713198532578e-41,1.7069940170890827e-45,6.7360927774428859e-59,0.0,2.5752333308239045e-39,1.0614094777373866e-28,1.2555377661491396e-40,1.2555377661491806e-40,3.5095392786820139e-54,5.9904742916406186e-55,5.0850616112288237e-41,3.2121579932308066e-30,1.9238150968066268e-43,1.6418914228099366e-44,9.9449337740188976e-96
5.1003817112021006e-23,0.2897755294893791,76.950000000000003,0.0,0.0,0.0,0.99999999999944633,9.5,6.0458138803713342e-16,7.999158713625801e-15,7.9991587136259493e-15,1.233399074526349e-27,1.2333972259650965e-27,5.3702781205068112e-13,1.8506933419843564e-23,5.5893011251562046e-28,1.20143475287052e-40,5.3304505295331742e-45,1.67247213967119e-42,5.9659332346959178e-23,4.0667811568207465e-29,1.0888549427037966e-40,1.3666331282879658e-44,1.0789455112386322e-57,0.0,2.0617525166496123e-38,4.2484040238732016e-28,1.0051936336304061e-39,1.005193633630472e-39,5.6198354388231598e-53,9.592563881451996e-54,4.0711412235839471e-40,1.2857003098354255e-29,1.5402218389870509e-42,1.3145114784159026e-43,1.2755365638793842e-93
1.020297809097181e-22,0.28977552948937907,76.950000000000003,0.0,0.0,0.0,0.99999999999889244,9.5,1.2094252951307177e-15,1.6001790791853466e-14,1.6001790791854053e-14,4.9352028747291688e-27,4.9351880806416913e-27,1.0742888101398881e-12,7.4051840067118836e-23,2.236448489974253e-27,9.6149266460519012e-40,4.2659804625592386e-44,1.3386555732678353e-41,2.3871503923665628e-22,1.6272421855028083e-28,8.7136831370799251e-40,1.0937218330133148e-43,1.7272498854989098e-56,0.0,1.6500286218035326e-37,1.6999149897951826e-27,8.0446040576821587e-39,8.0446040576832119e-39,8.9953965982363334e-52,1.5354349335693945e-52,3.2581502809088645e-39,5.1444759416358102e-29,1.2326455754139357e-41,1.0520086894338058e-42,1.6343432746670324e-91
2.0408170850511228e-22,0.289775529489379,76.950000000000003,0.0,0.0,0.0,0.99999999999778466,9.5,2.4191131093165437e-15,3.2007054948262502e-14,3.2007054948264849e-14,1.9744025109480285e-26,1.9743906734634295e-26,2.1488108058423077e-12,2.9625557985590692e-22,8.9472502455006493e-27,7.6930776667857981e-39,3.4134325315508665e-43,1.0711956694435938e-40,9.5501559860339204e-22,6.5100283384726249e-28,6.9715253456753981e-39,8.7514361327356881e-43,2.7643496844164411e-55,0.0,1.3202735941676135e-36,6.8007668773096458e-27,6.4369055027363664e-38,6.4369055027380515e-38,1.4395563193056215e-50,2.4571957877133096e-51,2.6070152502513234e-38,2.0581253648796822e-28,9.8630374127432715e-41,8.4176678817275944e-42,2.0930201896053681e-89
4.0818556369590064e-22,0.28977552948937907,76.950000000000003,0.0,0.0,0.0,0.99999999999556921,9.5,4.8384887376828241e-15,6.4017583260895399e-14,6.4017583260904802e-14,7.8982528113447341e-26,7.8981581030060394e-26,4.2978547953431709e-12,1.1851187650166377e-21,3.5791913747459524e-26,6.1545273331620602e-38,2.7310053294435224e-42,8.5706503311631575e-40,3.8203732984168576e-21,2.6042232697642047e-27,5.5765579750008594e-38,7.0018132319036485e-42,4.4235594745266337e-54,0.0,1.0563191643608332e-35,2.7205281502941063e-26,5.1500133570172702e-37,5.1500133570199663e-37,2.3035244274085891e-49,3.9319132233198617e-50,2.0858102298611399e-37,8.2331714841019408e-28,7.8911791217899603e-40,6.7347737168754777e-41,2.6797449631857879e-87
8.163932740774774e-22,0.28977552948937907,76.950000000000003,0.0,0.0,0.0,0.9999999999911382,9.5,9.6772399943938995e-15,1.2803863988542044e-13,1.2803863988545807e-13,3.1594296823590411e-25,3.1593539129391683e-25,8.5959427667289898e-12,4.7406679545203549e-21,1.4317348062275811e-25,4.9230250926057836e-37,2.1849080098209757e-41,6.8569542814125512e-39,1.528211501220875e-20,1.0417316962823107e-26,4.4595522773936777e-37,5.601715797612492e-41,7.078175176705762e-53,0.0,8.4509544863971397e-35,1.0882555415507403e-25,4.1202062779276222e-36,4.1202062779319374e-36,3.6858265373778106e-48,6.2913811410068449e-49,1.6687273972573471e-36,3.2934026036634364e-27,6.3132429705402296e-39,5.3880747464562204e-40,3.4305082570309289e-85
1.6328086948406308e-21,0.28977552948937907,76.950000000000003,0.0,0.0,0.0,0.99999999998227629,9.5,1.935474250773011e-14,2.5608075313150762e-13,2.5608075313165807e-13,1.2637975847522163e-24,1.2637369691343318e-24,1.7192118679036997e-11,1.8963057585053889e-20,5.7270557312093359e-25,3.9371853501070095e-36,1.7479679379438477e-40,5.4857370366126298e-38,6.1129703615212315e-20,4.1670115633305908e-26,3.5646807799445915e-36,4.4814778739282853e-40,1.1325464309451504e-51,0.0,6.7609240523704263e-34,4.353110730505022e-25,3.2962432612548032e-35,3.2962432612617069e-35,5.8974723909029025e-47,1.0066465799336913e-47,1.3350135996370666e-35,1.3173878442147239e-26,5.0507142176185259e-38,4.3105621005956385e-39,4.391328800876294e-83
3.2656395363669377e-21,0.28977552948937907,76.950000000000003,0.0,0.0,0.0,0.99999999996455247,9.5,3.8709747534058765e-14,5.1216497961183055e-13,5.1216497961243216e-13,5.0552417613769146e-24,5.0547568523864685e-24,3.4384470381798489e-11,7.5853001650602075e-20,2.2908455872040639e-24,3.1476625831289794e-35,1.3983910113677891e-39,4.3886590742890834e-37,2.4452130087297813e-19,1.6668215810745069e-25,2.8469173098343117e-35,3.5852230311063811e-39,1.8121050119020768e-50,0.0,5.4088034126356584e-33,1.7412620051074623e-24,2.6370259048234437e-34,2.637025904834491e-34,9.4360756557335951e-46,1.6106549993251907e-46,1.0680235456315869e-34,5.2696049849761312e-26,4.0406192611963854e-37,3.4484905888210515e-38,5.6210789397102299e-81
6.531301219419552e-21,0.28977552948937907,76.950000000000003,0.0,0.0,0.0,0.99999999992910471,9.5,7.7419757585341014e-14,1.0243334325250718e-12,1.024333432527477e-12,2.0221069877046644e-23,2.0217190929384458e-23,6.8769173299903449e-11,3.0341354738663655e-19,9.163428884489662e-24,2.5147547026270396e-34,1.1187195515537221e-38,3.5109550365967993e-36,9.7809017039618083e-19,6.6673202355421173e-25,2.2698078324453945e-34,2.8681925370846227e-38,2.8993925962303306e-49,0.0,4.3270683739055433e-32,6.9650834454974307e-24,2.1096332420088334e-33,2.1096332420265084e-33,1.5097816541484436e-44,2.5770643544783338e-45,8.5442389174024828e-34,2.1078527173747325e-25,3.2325144839046215e-36,2.7588088127852965e-37,7.195095011002711e-79
1.306262458552478e-20,0.289775529489379,76.950000000000003,0.0,0.0,0.0,0.9999999998582092,9.5,1.5483977768240531e-13,2.0486703381619454e-12,2.0486703381715509e-12,8.0884485062487025e-23,8.0853458944187663e-23,1.3753857718644118e-10,1.2136572563745668e-18,3.6653808177723603e-23,2.0064063747761305e-33,8.9497846305181122e-38,2.8087751385123375e-35,3.9123705678783615e-18,2.6669348761676651e-24,1.8035897704259741e-33,2.2945561854632202e-37,4.6390478127858426e-48,0.0,3.4616649172053296e-31,2.7860404625074612e-23,1.6877116004656778e-32,1.6877116004939578e-32,2.4156581667984961e-43,4.1233159821760554e-44,6.8354111762473315e-33,8.4314323300201818e-25,2.5860190890944729e-35,2.2070535521916474e-36,1.6121984988406451e-76
