Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617)
0.0,0.4738926259150056,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.795965653009082e-27,0.4738926259150056,76.950000000000003,0.0,0.0,0.0,0.99999999999999967,9.5,2.1078769069910969e-19,1.7697570589970519e-18,1.7697570589970519e-18,4.4915940924784885e-35,4.49159409001673e-35,3.905044064904263e-16,3.6337227584038185e-30,1.9448010696366453e-35,1.7952644686839554e-51,5.7537665744652434e-56,4.7995998626761059e-53,1.3200886377171973e-29,2.17543491520241e-36,1.5546517042600139e-51,1.6387099422513434e-55,2.0233931426665206e-71,8.0288943722236444e-73,2.7825843546254166e-48,5.6505404151346599e-35,5.8746491687450658e-50,5.8746491687450658e-50,6.4557018880254966e-67,1.1492867488989599e-67,2.1018009537222438e-49,1.916721839702279e-36,4.2126038318059978e-53,3.7497779840452493e-54,1.6014281355799778e-117,1.1475278711739064e-67,1.2738599326157936e-54,1.4326798920781782e-117,1.6126283289544713e-31,1.4561968776724138e-84,1.4561968776651752e-84,2.4670423962936425e-46,7.1106279565404702e-47,2.6508851931702724e-32,2.4667380149701567e-46,1.2610255576181016e-61,1.4326798920781782e-117,6.4906919152199515e-71,8.028894372230261e-73,6.6155932725407863e-85,1.1391732307754879e-101,4.0404269706333047e-55,5.3539962183618706e-119,3.5752732804364642e-38,4.8665431837158099e-91,1.1207910166257973e-117,1.2180229344963124e-53,1.4901265971892688e-135,3.0380572257480472e-123,6.8585103299094236e-140,2.389256715597443e-79,5.2127529123669391e-53
2.4628703828425432e-26,0.4738926259150056,76.950000000000003,0.0,0.0,0.0,0.99999999999999889,9.5,5.9020553395750678e-19,4.9553197651917401e-18,4.9553197651917394e-18,2.7129228318569878e-34,2.7129228289343893e-34,1.0934123381731373e-15,2.1947685460758119e-29,1.1746598460604823e-34,2.131337957680498e-50,6.8308716772131472e-55,7.2531553124758511e-52,7.9733353718115296e-29,1.3139626887822534e-35,1.8456824613119292e-50,1.9454764434306138e-54,5.7062924052221988e-70,1.7960315554897024e-71,3.3034841458111633e-47,3.4129264107413288e-34,6.9743834931341311e-49,6.9743834931341311e-49,1.4441146895435123e-65,2.5709084858168601e-66,2.4952580922588244e-48,1.1576999911801948e-35,5.0012032691192898e-52,4.4517364226581842e-53,1.7064459492837877e-115,2.5669739467009373e-66,1.5123265120017521e-53,1.5266316009689253e-115,9.740275106884588e-31,6.0090371892092412e-83,6.0090371891547531e-83,2.9288727328796395e-45,8.4417375100043385e-46,1.6011346566747426e-31,2.9285113713723975e-45,2.8208637313692298e-60,1.5266316009689251e-115,1.4519418186672894e-69,1.7960315554924322e-71,2.7299430875762483e-83,8.5754117436429748e-100,4.7967948995360386e-54,7.308178453573539e-117,2.1594650613836179e-37,2.0081926710834368e-89,1.5298742144367036e-115,1.4460368278339816e-52,3.6761290972484388e-133,4.1469331416281753e-121,1.6919884146185013e-137,9.8593347361003415e-78,6.1885802575367874e-52
5.629418017925812e-26,0.4738926259150056,76.950000000000003,0.0,0.0,0.0,0.99999999999999745,9.5,1.3490412204742999e-18,1.1326445177581097e-17,1.1326445177581096e-17,1.3061555620927168e-33,1.3061555592232917e-33,2.4992282015383349e-15,1.0566865781436889e-28,5.6554815105025946e-34,2.0925602041206293e-49,6.7065903192206288e-54,7.8026135047544015e-51,3.8388177584810964e-28,6.3261647334085832e-35,1.8121018963302444e-49,1.9100803086566065e-53,1.241243239153325e-68,3.5486556964482436e-70,3.2433803237509789e-46,1.6431771527211522e-33,6.8474910710892224e-48,6.8474910710892224e-48,2.8533272723985772e-64,5.079681932840576e-65,2.4498591916579561e-47,5.5738271098545013e-35,4.9102110263506173e-51,4.3707412182021017e-52,3.8834717212188861e-113,5.0719079465736783e-65,1.4848111374578131e-52,3.4742563358483464e-113,4.689523180598974e-30,2.3771153543749246e-81,2.3771153543318429e-81,2.8755846171193335e-44,8.2881479461419934e-45,7.7087741417376266e-31,2.8752298302486825e-44,5.5735513769907142e-59,3.4742563358483458e-113,2.8687923605651402e-68,3.5486556964590425e-70,1.0799383371682183e-81,6.7803202101065638e-98,4.709521676970731e-53,1.1545130812770887e-114,1.0396894699509147e-36,7.9442104994649702e-88,2.4168263056193284e-113,1.4197275324487767e-51,1.160444659476429e-130,6.5511380019893426e-119,5.3411043728434682e-135,3.9002547741508378e-76,6.0759847945766565e-51
1.1962513288092352e-25,0.4738926259150056,76.950000000000003,0.0,0.0,0.0,0.99999999999999456,9.5,2.8667125935078816e-18,2.4068696002359736e-17,2.4068696002359733e-17,5.7043244974473965e-33,5.7043244720676556e-33,5.3108599282678284e-15,4.6148279031713883e-28,2.4698973584377451e-33,1.8508457294219001e-48,5.9319031876602365e-53,7.1719460827977553e-50,1.6765125699003101e-27,2.762802342307033e-34,1.6027834476979527e-48,1.6894444019971715e-52,2.301055775675836e-67,6.3146432078931923e-69,2.8687331662437665e-45,7.1761863272209493e-33,6.0565283070093581e-47,6.0565283070093581e-47,5.0773434285383514e-63,9.0390225931230605e-64,2.1668727112480338e-46,2.4342367364221747e-34,4.3430260464335547e-50,3.8658711104291013e-51,6.5628955265804848e-111,9.0251891999222352e-64,1.3132986361313266e-51,5.8713396160836635e-111,2.0480379777715296e-29,8.4837558516395327e-80,8.4837558513316012e-80,2.5434220288817663e-43,7.3307729980716461e-44,3.3666241953246686e-30,2.5431082239125142e-43,9.9178368816450424e-58,5.8713396160836627e-111,5.10486272664154e-67,6.314643207931733e-69,3.8542232166556186e-80,4.846289375202922e-96,4.1655185896452622e-52,1.6514933218870304e-112,4.5405970661542176e-36,2.8352322990419067e-86,3.4571912337936597e-111,1.2557329245480568e-50,3.3210437831799776e-128,9.3711893236884526e-117,1.5285555694522621e-132,1.3919732251375389e-74,5.3741397423695023e-50
2.462870382842543e-25,0.4738926259150056,76.950000000000003,0.0,0.0,0.0,0.9999999999999889,9.5,5.9020553395750282e-18,4.9553197651916703e-17,4.9553197651916691e-17,2.3814431878318406e-32,2.3814431664986392e-32,1.0934123381723221e-14,1.9265998065043906e-27,1.0311335271206347e-32,1.5557472335301947e-47,4.9861220532557128e-52,6.1357508692433234e-49,6.9991099571718065e-27,1.1534155920402934e-33,1.3472357965931869e-47,1.4200798164757004e-51,3.9549269560941882e-66,1.0650568737799731e-67,2.4113430803671667e-44,2.9959165281043353e-32,5.0908769752476755e-46,5.0908769752476763e-46,8.5636818123343453e-62,1.5245632774610664e-62,1.8213870776778059e-45,1.0162459194103994e-33,3.6505750789724094e-49,3.2494976045218936e-50,9.6095247072289181e-109,1.522230073504158e-62,1.1039066358490761e-50,8.5969345202552022e-109,8.5501554001107752e-29,2.8664693597289503e-78,2.8664693595206964e-78,2.1378994679476848e-42,6.1619564170846484e-43,1.4054993294174591e-29,2.1376356959628703e-42,1.6727881522399652e-56,8.5969345202551984e-109,8.6100971309150858e-66,1.0650568737929957e-67,1.3022549151153277e-78,3.2775478511781145e-94,3.5013693659213752e-51,2.2347104446966456e-110,1.8956098932873308e-35,9.579609144036774e-85,4.678082107316559e-109,1.0555191866670782e-49,8.9895150786602271e-126,1.2680580892703229e-114,4.1375465779451439e-130,4.7031629260713803e-73,4.5172882695124737e-49
4.996108490909159e-25,0.4738926259150056,76.950000000000003,0.0,0.0,0.0,0.99999999999997757,9.5,1.1972740831709252e-17,1.0052220095102945e-16,1.0052220095102936e-16,9.7289724680699563e-32,9.7289722931674863e-32,2.2180650288619602e-14,7.8707888436018794e-27,4.2125169088697111e-32,1.2754953732008451e-46,4.0879241081429887e-51,5.0731574724753079e-48,2.8593647928369162e-26,4.7120790437248243e-33,1.104544866152269e-46,1.1642672310496514e-50,6.555001389103129e-65,1.7493591133601038e-66,1.976964744496182e-43,1.2239296560797754e-31,4.1738085221395556e-45,4.1738085221395569e-45,1.4065873091844685e-60,2.5040997612040143e-61,1.4932831698501236e-44,4.1516961736708473e-33,2.9929620081896404e-48,2.664134462559502e-49,1.3140212204547327e-106,2.5002674666970953e-61,9.0504935530155098e-50,1.1755580774954727e-106,3.4930174656436063e-28,9.4243241078820242e-77,9.4243241065120558e-77,1.7527791502670469e-41,5.0519441604464941e-42,5.7419233638025221e-29,1.7525628940574783e-41,2.7475595631197526e-55,1.1755580774954717e-106,1.4142110392070661e-64,1.7493591134029191e-66,4.281529244407417e-77,2.1560804501304081e-92,2.8706341500109907e-50,2.9407532995815221e-108,7.7441849363559014e-35,3.1495658971690645e-83,6.1560930300625089e-107,8.653784010124303e-49,2.3661881836649421e-123,1.6686931496265933e-112,1.0890702931839721e-127,1.5462970709740422e-71,3.7035458461456067e-48
1.006258470704239e-24,0.4738926259150056,76.950000000000003,0.0,0.0,0.0,0.99999999999995481,9.5,2.4114111815977428e-17,2.0246020754925007e-16,2.0246020754924975e-16,3.9326062244795885e-31,3.9326060828390363e-31,4.4673704102354774e-14,3.1814986936657929e-26,1.7027666869132512e-31,1.0329288936514104e-45,3.3105069294905378e-50,4.1254074037448465e-47,1.1558009665726916e-25,1.9046976891354724e-32,8.9448836295118153e-46,9.4285378919899941e-50,1.0673120488933112e-63,2.8357865077938705e-65,1.6009973063631302e-42,4.9473193593898931e-31,3.3800583545220257e-44,3.3800583545220287e-44,2.2801386421366558e-59,4.0592536218870739e-60,1.2092994269215386e-43,1.6781819733093966e-32,2.4237782319988467e-47,2.1574851601253972e-48,1.737918855145039e-104,4.0530413073416411e-60,7.3293243291678479e-49,1.554788093521399e-104,1.4119335081553681e-27,3.0567569337298908e-75,3.0567569328410081e-75,1.4194459997516237e-40,4.091195361618431e-41,2.3209772290999621e-28,1.4192708698663177e-40,4.453912452187434e-54,1.5547880935213962e-104,2.2924970370582566e-63,2.8357865079327408e-65,1.3887037475142945e-75,1.3989385603832986e-90,2.3247139608981905e-49,3.8165305607919272e-106,3.1303233701390121e-34,1.0215541492004122e-81,7.9894213457676657e-105,7.0080586558936435e-48,6.1420402971890105e-121,2.1656418456942818e-110,2.8269575825205864e-125,5.0153774845898938e-70,2.9992274466940598e-47
2.0195537139308853e-24,0.4738926259150056,76.950000000000003,0.0,0.0,0.0,0.99999999999990941,9.5,4.8396853784512665e-17,4.0633622074567186e-16,4.0633622074567058e-16,1.5812836666319886e-30,1.5812835526273538e-30,8.9659811729594766e-14,1.2792666319796734e-25,6.8467499576582442e-31,8.3139050674747554e-45,2.6645839846515156e-49,3.3272905242589033e-46,4.6474248526019332e-25,7.6587056363653384e-32,7.1996091524941575e-45,7.5889075569725159e-49,1.7226459499880369e-62,4.5669467484889565e-64,1.288621915775274e-41,1.9892953553094702e-30,2.7205650221500711e-43,2.7205650221500755e-43,3.6720929903603391e-58,6.5373028182040847e-59,9.7334938545283407e-43,6.7478959055596098e-32,1.950867585031735e-46,1.7365317538266738e-47,2.2610800773436806e-102,6.5272980771277433e-59,5.8992778569919076e-48,2.0228219357566902e-102,5.6773225371844316e-27,9.8477496368593168e-74,9.8477496311313913e-74,1.142493629606477e-39,3.292949952969054e-40,9.3325473578835092e-28,1.1423526698388658e-39,7.1728886977485634e-53,2.0228219357566826e-102,3.691995804477685e-62,4.5669467489363445e-64,4.4738941057822742e-74,9.0147056861440931e-89,1.8711320412793813e-48,4.9189800117865572e-104,1.2586892594703139e-33,3.2910727685772158e-80,1.0297259062802469e-102,5.6406952935761396e-47,1.5832907438265958e-118,2.7912128008240393e-108,7.2873109868905934e-123,1.61577066426899e-68,2.4140391753060307e-46
4.046144200384178e-24,0.4738926259150056,76.950000000000003,0.0,0.0,0.0,0.99999999999981859,9.5,9.6962337721578727e-17,8.1408824713843803e-16,8.14088247138433e-16,6.3416547495942843e-30,6.341653834778948e-30,1.7963202698315335e-13,5.1304313601939989e-25,2.7458529613810614e-30,6.6713767250499278e-44,2.1381608383720461e-48,2.6726606948929332e-45,1.863825227039362e-24,3.0714835041637019e-31,5.7772146662035958e-44,6.0896203773382252e-48,2.7682457959400722e-61,7.3309609578275906e-63,1.0340379328304007e-40,7.9779641088833412e-30,2.183082095074627e-42,2.183082095074634e-42,5.8945224953142396e-57,1.0493818817309089e-57,7.8105158241307197e-42,2.7062080651560046e-31,1.5654483756044646e-45,1.3934573694813942e-46,2.9178040610583728e-100,1.047775899211457e-57,4.7337989568091101e-47,2.6103445508587238e-100,2.2768602618543116e-26,3.1619058809840763e-72,3.1619058773056442e-72,9.1677918601611298e-39,2.6423849544912413e-39,3.7427688988613816e-27,9.166660746800027e-39,1.151407491501596e-51,2.6103445508587035e-100,5.9264709200513219e-61,7.3309609592640628e-63,1.4364735713754632e-72,5.7891789710948979e-87,1.5014656233544905e-47,6.3180378008334455e-102,5.047906893004819e-33,1.0566944460934489e-78,1.3226008613145215e-100,4.5263027344961108e-46,4.0672765411019099e-116,3.5850903963739585e-106,1.8720193461076207e-120,5.1879007451115979e-67,1.9371144062082509e-45
