Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448)
0.0,0.19299079326874177,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.692156457844492e-21,0.19299079326874177,76.950000000000003,0.0,0.0,0.0,0.99999999999999933,9.5,2.3556111153542417e-17,2.5166621819701738e-16,2.5166621819840193e-16,2.008057864656991e-27,2.0080393112397076e-27,1.6532962813387342e-17,1.8748181708400263e-26,1.3847777157847018e-27,6.2842103324855017e-40,1.5460940482096485e-44,4.9040915839333231e-45,2.0677083862240742e-26,2.5693497357661971e-30,8.6670498781284516e-40,7.3614104304135812e-45,2.3104265291546179e-61,7.9445602134995374e-61,4.8707168578977448e-43,2.3763632936356951e-31,1.0626674504026817e-42,1.0626674504092528e-42,5.8472615226652015e-54,7.2372370003633226e-55,3.1227121335138708e-50,2.430968313232473e-33,2.6752503758276227e-44,1.6555973193737284e-45,2.4753618293341502e-97,3.7126215444963094e-56,8.3563580193854988e-50,2.3654840985173296e-97,2.1168760093224763e-28,1.481159686086675e-67,1.4811587326918094e-67,3.3949633318762487e-40,1.0382845814414793e-40,2.9937824888654648e-31,3.3949139150967541e-40,1.2054811901654352e-51,2.365484098517328e-97,1.6704062925608627e-60,7.9445602525587003e-61,3.9059164692124195e-69,2.1750207767229273e-81,5.7264195726066622e-50
4.738038081964577e-21,0.19299079326874177,76.950000000000003,0.0,0.0,0.0,0.99999999999999845,9.5,6.5957111229918652e-17,7.046654109406555e-16,7.0466541094901782e-16,1.2128669502308115e-26,1.212844923793766e-26,4.6292295746208603e-17,1.1323901725077995e-25,8.364057395495022e-27,7.4605184717647023e-39,1.8355228541774222e-43,7.4110646795233412e-44,1.2488958623240771e-25,1.5518872403825807e-29,1.0289111491705111e-38,8.7394643176291382e-44,6.5157737337091532e-60,1.7771663342706949e-59,5.7825150411625687e-42,1.4353234293386167e-30,1.261598797097206e-41,1.2615987971119048e-41,1.3080090046946161e-52,1.6189409659974944e-53,3.7072838268461761e-49,1.4683048611574275e-32,3.1760572235100491e-43,1.9655251349121652e-44,2.6376901171844808e-95,8.3049858794260329e-55,9.9206682402901613e-49,2.5206068684894869e-95,1.2785931066052418e-27,6.1120457227239816e-66,6.1120385458119151e-66,4.0305004495322698e-39,1.2326514495487868e-39,1.8082446144278311e-30,4.0304417819320899e-39,2.6966131916005618e-50,2.5206068684894842e-95,3.7366320600432993e-59,1.7771663503885687e-59,1.6117873611713792e-67,1.6373013457682126e-79,6.7984053144677002e-49
1.0829801330204749e-20,0.19299079326874177,76.950000000000003,0.0,0.0,0.0,0.99999999999999645,9.5,1.507591113826705e-16,1.610663796383958e-15,1.6106637964242183e-15,5.8394322700923612e-26,5.8392160170389612e-26,1.0581096108674739e-16,5.4519712006091528e-25,4.0269335857350467e-26,7.3245778632150893e-38,1.8021272230169429e-42,7.972489296092352e-43,6.0128959428106513e-25,7.4716690313050524e-29,1.0101042061233279e-37,8.5804533470840781e-43,1.4173238143226835e-58,3.5113811669997473e-58,5.6773075307113464e-41,6.9104644576324551e-30,1.2386451801247065e-40,1.2386451801537492e-40,2.5844053365112487e-51,3.1987545251223675e-52,3.639833206833145e-48,7.069255854355054e-32,3.1182717677798415e-42,1.9297642272521651e-43,6.0027655626255988e-93,1.6409252541443192e-53,9.7401709063778292e-48,5.7363114827293677e-93,6.155875389726755e-27,2.4178634614871199e-64,2.4178577869300178e-64,3.9571692036141986e-38,1.2102244909587219e-38,8.7059193449171275e-30,3.957111603417368e-38,5.3280531984628011e-49,5.7363114827293541e-93,7.3829552735728664e-58,3.5113812307604519e-58,6.3760704583229671e-66,1.2945649304648831e-77,6.6747146472242832e-48
2.301332782668509e-20,0.19299079326874177,76.950000000000003,0.0,0.0,0.0,0.99999999999999256,9.5,3.2036311168817203e-16,3.4226605670946779e-15,3.4226605672704957e-15,2.5502334877732037e-25,2.5500422211767356e-25,2.2484828966741004e-16,2.3810190354334024e-24,1.7586676868874798e-25,6.4781443475038539e-37,1.5939611208165285e-41,7.3280989448956046e-42,2.6259896046979868e-24,3.2630741641099269e-28,8.9327125083403773e-37,7.5893057310809638e-42,2.6274821727191426e-57,6.2483150620974071e-57,5.0215141702243025e-40,3.0179813826485113e-29,1.0955676345313628e-39,1.095567634583043e-39,4.5988110748019498e-50,5.6920127371845975e-51,3.2193911835871556e-47,3.0873297572626831e-31,2.7580759798650261e-41,1.7068545951408044e-42,1.0144408426679366e-90,2.9199387988301009e-52,8.6150708615178672e-47,9.6941128112308355e-91,2.6884324849437715e-26,8.6291754719074302e-63,8.6291349127102632e-63,3.5000712789875485e-37,1.0704298360270288e-37,3.8021036237320434e-29,3.500020332267394e-37,9.4809858112878153e-48,9.6941128112307897e-91,1.3137574436968825e-56,6.2483152896548285e-57,2.2755742167153188e-64,9.2530086537938922e-76,5.9037095087017243e-47
4.7380380819645776e-20,0.19299079326874174,76.950000000000003,0.0,0.0,0.0,0.99999999999998479,9.5,6.5957111229916576e-16,7.0466541078126302e-15,7.046654108546554e-15,1.0646722795340792e-24,1.0645115198401815e-24,4.6292293842707584e-16,9.9402855679929538e-24,7.342091339658751e-25,5.444662072554192e-36,1.3398203662475906e-40,6.2693562414312026e-41,1.0962989451500767e-23,1.3622692296214196e-27,7.5058856199170542e-36,6.3792551576989014e-41,4.5159798085077861e-56,1.0538696246486978e-55,4.2208851495497133e-39,1.2599478180437057e-28,9.2089060959340233e-39,9.2089060968056865e-39,7.7565665907486478e-49,9.6004113371225017e-50,2.7060921581847244e-46,1.2888993991875287e-30,2.3183289039008303e-40,1.434714116132515e-41,1.4853648515194743e-88,4.9249035153661544e-51,7.2414861539663725e-46,1.4194316544472614e-88,1.1223676179365823e-25,2.9155983070872376e-61,2.9155708771047529e-61,2.942020690551573e-36,8.9976074030821996e-37,1.587303352182087e-28,2.9419778667662711e-36,1.599106773806774e-46,1.4194316544472486e-88,2.2158439507528967e-55,1.0538697015352049e-55,7.688650700893064e-63,6.2578140135653555e-74,4.9624235537383702e-46
9.611448680556715e-20,0.19299079326874177,76.950000000000003,0.0,0.0,0.0,0.99999999999996914,9.5,1.3379871135211173e-15,1.4294641186435021e-14,1.429464118943268e-14,4.3495336545618828e-24,4.348215836459714e-24,9.39072202339771e-16,4.0609308342816078e-23,2.9994838308462382e-24,4.4628652107187938e-35,1.0984656861621704e-39,5.1836470117051607e-40,4.4787387238506195e-23,5.5653142992731479e-27,6.1495231536612443e-35,5.2300764952018466e-40,7.4849361346708323e-55,1.7309838986557314e-54,3.460536530449065e-38,5.1472979464982309e-28,7.5500175939499605e-38,7.5500175953816677e-38,1.2740182394893894e-47,1.5768704100526612e-48,2.2186176587264774e-45,5.2655746010595823e-30,1.9007058672621504e-39,1.1762652866508248e-40,2.0311107922326502e-86,8.0891686282871083e-50,5.9370078577439335e-45,1.940952722313697e-86,4.5852377538870856e-25,9.5858160930323842e-60,9.5856356523690831e-60,2.4120461236613007e-35,7.3767815858399163e-36,6.4846515772737728e-28,2.4120110141393299e-35,2.6265374797979967e-45,1.9409527223136605e-86,3.6395303400270137e-54,1.7309841514417268e-54,2.52785995391829e-61,4.1165987869205005e-72,4.0684946242048984e-45
1.935826987774099e-19,0.19299079326874177,76.950000000000003,0.0,0.0,0.0,0.99999999999993783,9.5,2.694819115964874e-15,2.879061533242933e-14,2.8790615344540989e-14,1.758151045146213e-23,1.7570841446302146e-23,1.891370595738637e-15,1.6414930395084553e-22,1.2124392832863221e-23,3.6125290233395167e-34,8.8956599452791185e-39,4.2152915051358133e-39,1.8103776550231103e-22,2.2495890204883841e-26,4.9731647321750829e-34,4.2354154237095085e-39,1.2187378437694346e-53,2.8059990895527855e-53,2.8024319917945204e-37,2.0806201273311458e-27,6.1141999914936427e-37,6.114199993814497e-37,2.0652379739585948e-46,2.5561747735274559e-47,1.7966937974787617e-44,2.1284294413133679e-29,1.5392405086941844e-38,9.525700812761099e-40,2.6863384582251056e-84,1.311289033499611e-48,4.8079428849482015e-44,2.5670957800491835e-84,1.8534262622645834e-24,3.1091149062216361e-58,3.108997833956204e-58,1.9533371831909138e-34,5.9739080516559132e-35,2.6211994110398733e-27,1.953308750597073e-34,4.2577297980055309e-44,2.5670957800490875e-84,5.8998355099617833e-53,2.8059999094579859e-53,8.1990520071901496e-60,2.6709893742232835e-70,3.2947723936474965e-44
3.885191227210954e-19,0.19299079326874177,76.950000000000003,0.0,0.0,0.0,0.99999999999987521,9.5,5.4084831208518034e-15,5.7782563579444254e-14,5.7782563628101788e-14,7.0694480174942777e-23,7.060865543562618e-23,3.7959668448304215e-15,6.6003702515699401e-22,4.8751647213561719e-23,2.9050813210628406e-33,7.1600010647451874e-38,3.3998431275900875e-38,7.2794477531867424e-22,9.045498502843725e-26,3.9918069410594929e-33,3.4089726602966138e-38,1.9670801668104501e-52,4.5189737304940004e-52,2.2556407333545966e-36,8.366082016108982e-27,4.9212400708781462e-36,4.9212400746158112e-36,3.326000500020612e-45,4.1166403059127852e-46,1.4461349874955645e-43,8.5583211578888157e-29,1.2389140577739299e-37,7.6671120135408297e-39,3.4949999763400141e-82,2.1117903712448724e-47,3.8698507064089408e-43,3.3398619831690317e-82,7.4525442816343422e-24,1.0016288868113476e-56,1.0015534507873234e-56,1.5722152117197631e-33,4.8083194170484655e-34,1.0539724031679233e-26,1.5721923267064551e-33,6.8569405135671173e-43,3.339861983168783e-82,9.5015031772683994e-52,4.5189763719270737e-52,2.6414330726594154e-58,1.7211746835440274e-68,2.6519194033696435e-43
7.783919706084664e-19,0.19299079326874177,76.950000000000003,0.0,0.0,0.0,0.99999999999974998,9.5,1.0835811130623331e-14,1.1576645989380547e-13,1.1576646008860024e-13,2.8351648367906307e-22,2.8282857442236808e-22,7.6051571921914174e-15,2.6470428255824205e-21,1.9551588503113092e-22,2.3269888165770252e-32,5.7454499908925882e-37,2.7310317753568363e-37,2.9193831883433878e-21,3.6276494630222872e-25,3.1856148474318144e-32,2.7353925585442325e-37,3.1611490631808442e-51,7.25394946847795e-51,1.8100090880257033e-35,3.355173065095363e-26,3.9489852189326234e-35,3.948985224932397e-35,5.3389622981776121e-44,6.6081182194856454e-45,1.1604314674094683e-42,3.4322695534361676e-28,9.9414952105457739e-37,6.1523733810310556e-38,4.5101123081234156e-80,3.3898906191258279e-46,3.1053114628097624e-42,4.3099149469962909e-80,2.9888026157848788e-23,3.2159310683594205e-55,3.2154466864323724e-55,1.2616029066712718e-32,3.8583711055973738e-33,4.2268979175733555e-26,1.2615845429082688e-32,1.1006901469538465e-41,4.3099149469956512e-80,1.5252016769628771e-50,7.2539579495607892e-51,8.4810828382037009e-57,1.1053253467957231e-66,2.1279982164628797e-42
