Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995),S(1218),S(2281),S(2282),S(1827),S(971),S(805),S(887),S(3335),S(1971),C7H8(1663),S(3456),C7H9(2067),C7H9(2027),S(3692),S(3691),S(2237),S(2209),S(3466),S(3552),S(1954),S(2383),S(4082),C7H9(2044),S(2993),C7H10(115),S(1242),C5H6(500),S(4282),S(4155),S(4335),S(4374),S(4387),S(4887),C7H10(297),C7H10(987),C7H10(986),S(4381),S(4372),S(4886),S(3690),S(1588),S(206),S(2669),C7H9(279),S(6788),C7H8O(364),S(4083),C6H7(1171),CH2O(6985),C6H7(7018),S(7026),S(7027),S(1436),C7H8(3538),C6H6(7011),S(4021),C7H8(8697),C7H10(194),S(4081),S(8888),S(3479),S(8086),S(9026),S(9133),S(9134),S(9132),S(1976),S(1202),S(9091),S(9284),S(6877),C5H7(508),S(9694),C7H9(1172),C7H9(9429),C7H9(4235),S(3577),C7H9(1219),C7H9(4234),S(4032),C7H9(9398),C7H9(1955),C7H9(9397)
0.0,0.31033209679649243,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.448821653071434e-26,0.31033209679649243,76.950000000000003,0.0,0.0,0.0,0.99999999999999933,9.5,6.8043177012031316e-19,8.4307510074231294e-18,8.430333041851177e-18,1.9503609392394857e-33,1.9504576192916911e-33,6.3824555535818937e-16,3.5351479726406873e-29,8.8091311734831384e-34,3.6322939654815752e-49,1.5243796948234338e-53,1.9385530997479993e-36,1.1496458469198898e-28,6.6136336061703561e-35,3.2811723436007887e-49,3.972316657733396e-53,2.6381062342675004e-54,5.2568398066500862e-70,7.8225555863116671e-47,7.6349630889672369e-34,3.4707763280426702e-48,3.4707763280426708e-48,3.6265480881361656e-64,6.2090302050806089e-65,1.7055414446743081e-48,2.5735253217501368e-34,5.3780551975968042e-50,4.6038969227659298e-51,5.2877286390065175e-113,5.4007363810002691e-64,2.2597252171526297e-51,4.7578789447341597e-113,1.3866277770725901e-30,6.2473126323814584e-80,6.2473126321923367e-80,8.1575645595908215e-45,2.36823298491436e-45,1.4726193004494036e-31,8.1567008415279624e-45,1.9066639492490549e-59,4.7578789447341591e-113,1.121133605433617e-66,1.698612725070171e-60,1.9863495791384219e-81,1.7903697047311328e-97,1.751171193047966e-52,7.8307264443503006e-114,2.9667723910905797e-37,8.3905710058092011e-78,5.9861517899942267e-113,5.1089653042961343e-52,7.5286754104472146e-130,2.6645662959481665e-118,6.1210705562074886e-134,1.1274303672661619e-76,1.4115639340570279e-51,2.295445193785239e-77,6.9349582308082019e-52,8.0220268320435032e-68,2.0077892315993442e-40,7.2462057868847233e-68,6.5419192446829012e-69,4.645028435054523e-56,1.9105765410783927e-54,7.154341817919981e-83,1.6550625195405718e-55,2.2509610873949332e-57,1.2714138703282116e-90,1.6567257725366826e-66,5.1894556452070011e-49,1.0709556623187877e-91,4.1796557195640344e-22,1.5621945215964635e-47,1.9232501551177724e-42,1.5621945215964635e-47,9.4281032992416783e-79,1.0820325268661614e-71,8.65076213191087e-72,6.7670759035038365e-130,1.0821567791466126e-130,1.4493319021374772e-55,1.6996876761186276e-68,5.7038308527952178e-70,1.3573207841846273e-94,9.8972314630829101e-57,7.5180046394097684e-108,2.2231229156292562e-69,2.8412071004284614e-84,1.3312316714541764e-99,2.9687231916407138e-100,4.0092906284286769e-86,1.1281028253744375e-74,6.3326856365718941e-109,1.1281028253869221e-74,7.4325635622325629e-96,1.0996427377540379e-75,4.0958837661290002e-91,9.0815880570906655e-86,1.2861288540454357e-95,4.453721768143492e-30,1.2973547262701623e-77,5.7583797080102306e-68,1.0224191667217986e-84,4.2551272122613068e-101,8.5797711304959311e-105,1.2923017734856249e-116,3.078823931875742e-119,7.1578688738590826e-130,6.5326901872131984e-50,1.7774646549705099e-50,1.7774646549705099e-50,1.0675319151774016e-119,9.1892354781312665e-122,2.7059209180529691e-131,2.5413903569742801e-101,7.1935450139641558e-117,2.3218984561906926e-52,2.6858606924527262e-68,4.7875777788297989e-52,2.6858606925089202e-68,1.4885582533465198e-67,7.6168094395222358e-112,4.322833279973524e-125,9.9405347164660784e-118,4.1135313035684774e-139,1.0000892120105921e-140,4.5168461707439523e-141,1.5941075480517009e-124,5.9910967561607881e-72,2.8842173182343858e-144,1.6654093975963073e-87,5.2216113704358636e-72,7.161926344811589e-44,6.2966893700206371e-93,5.8749411506370414e-106,8.5329319016171943e-110,9.9405342841773162e-118,5.4353864708818669e-130,5.6793318125960996e-146,6.1995421870339701e-147,4.8618054844549067e-147,7.6713946124363259e-95,5.5500783919427228e-63,1.1417480572659038e-146,5.7030585886411245e-160,2.2431927499299522e-67,7.9206506409007833e-67,1.8324457005782214e-82,7.8260938468485335e-53,3.7235858911040618e-67,3.7235858905083169e-67,2.658870802944642e-68,6.2954876066450985e-68,2.9958198702662669e-82,8.177336421408191e-69,2.9953370467853525e-82,9.0568086758636351e-75,8.6182981360506802e-89
1.5256700628600015e-25,0.31033209679649243,76.950000000000003,0.0,0.0,0.0,0.99999999999999811,9.5,1.9052089563368758e-18,2.3606102820784721e-17,2.3604932517183249e-17,1.1780180073006182e-32,1.1780763988193061e-32,1.7870875550024175e-15,2.1352293754744643e-28,5.3207152287826208e-33,4.3122592296629223e-48,1.8103232695379098e-52,1.170886072247797e-35,6.9438609153944725e-28,3.994634698126887e-34,3.8954074265909411e-48,4.7159343359274299e-52,3.1319597213223853e-53,1.1762938731101816e-68,9.2869379920671655e-46,4.6115177057361868e-33,4.1205056566522381e-47,4.1205056566522395e-47,8.1124430112297127e-63,1.3889352207552789e-63,2.0248188031163368e-47,1.554409294336749e-33,6.3848271305796048e-49,5.4657464267043051e-50,5.6344851926038216e-111,1.2081231254842049e-62,2.682745777802803e-50,5.0698892270203597e-111,8.3752317735164377e-30,2.5779710501834466e-78,2.5779710500410795e-78,9.6846606451429715e-44,2.8115661996893688e-44,8.8946205747111779e-31,9.6836352390587667e-44,4.2651309879108042e-58,5.0698892270203582e-111,2.5079310300100089e-65,2.0165931840278881e-59,8.1991745716785528e-80,1.3481426962643723e-95,2.0789904403860731e-51,1.0692029079606128e-111,1.7919305242186918e-36,1.8769373111543419e-76,8.1734574012264981e-111,6.0653636092596193e-51,1.8578585341362584e-127,3.638183573871658e-116,1.5115803875596168e-131,4.6523729785726494e-75,1.6758087024822323e-50,9.4722188646167752e-76,8.2331824116154161e-51,1.7944953142177539e-66,1.21270469588599e-39,1.6209472497016847e-66,1.4634011673585145e-67,5.5145777580965462e-55,2.2682364695659674e-53,2.9522562555131607e-81,1.9648902231916494e-54,2.672342459317527e-56,9.5708862709242354e-89,3.7060292841327871e-65,6.1609217419751787e-48,8.0618869153995366e-90,1.1703036014786996e-21,1.8546373360381163e-46,1.1616430936971028e-41,1.8546373360381163e-46,3.8905332251201045e-77,2.4204633981509395e-70,1.9351407955042844e-70,1.6699178850191857e-127,1.9415281437377073e-128,1.7206468342174117e-54,3.8013431964461647e-67,1.2759241464393596e-68,1.0217572076070477e-92,1.1749993192972157e-55,1.0262039284062948e-105,4.9730370373459677e-68,1.1724320653717363e-82,1.0021179747279413e-97,2.2347807193344432e-98,1.6544450038348154e-84,2.5235208962018382e-73,8.6440846864425727e-107,2.5235208962533571e-73,5.5950483328604379e-94,2.4598580992817967e-74,1.6901787631668976e-89,3.7475427402053809e-84,6.144182021679171e-94,2.6900479479257573e-29,5.3535706038844918e-76,1.288126507163073e-66,4.2190413191442722e-83,3.2031535574153634e-99,6.6886752016157161e-103,1.8263532420263304e-114,4.3511664139458927e-117,1.8280200796653322e-127,7.7556097902567287e-49,2.1102060383802361e-49,2.1102060383802361e-49,1.5086958899739232e-117,1.2986742226607279e-119,6.9105453862844877e-129,1.9130952276264498e-99,9.8220252005168321e-115,2.7565578471889893e-51,6.0081629343289196e-67,5.6838123390255515e-51,6.0081629345608058e-67,3.3298452704053384e-66,6.6259250843417242e-110,6.812071041381443e-123,1.3568787743657136e-115,1.1709177584850958e-136,2.8467565506196708e-138,1.2857214406929748e-138,1.6986453693945972e-122,1.3401843799753625e-70,8.209932119655769e-142,6.872358510569645e-86,1.1680535771291115e-70,8.502638956465072e-43,2.5983478192226011e-91,4.4225112764410395e-104,1.1647409995412474e-107,1.3568787062436622e-115,1.3409056854578094e-127,2.5276355982572795e-143,2.7591597113767727e-144,2.1637884560752476e-144,5.7748343862307621e-93,1.2415303359636239e-61,5.0814481861707015e-144,4.5744547867354036e-157,5.0179324538822533e-66,1.7718178657669326e-65,7.5616384919150621e-81,9.2911386150457856e-52,8.3295126941296265e-66,8.3295126916712671e-66,5.9477876313501003e-67,1.4082753956749056e-66,1.2362334574848745e-80,1.8292374481344212e-67,1.2360342192457709e-80,2.0259727731419003e-73,3.5563663977801498e-87
3.487245857965718e-25,0.31033209679649243,76.950000000000003,0.0,0.0,0.0,0.99999999999999578,9.5,4.3547633287699947e-18,5.3956806447507729e-17,5.395413146784722e-17,5.6716496113079604e-32,5.6719307084071077e-32,4.0847715542888198e-15,1.0280210304431448e-27,2.5616953452471046e-32,4.2338013310792754e-47,1.7776401403923537e-51,5.6373124140672618e-35,3.343170122840544e-27,1.9232446526743259e-33,3.8245333065323832e-47,4.6301322958397114e-51,3.0749766266622243e-52,2.3245054130659105e-67,9.1179707913985303e-45,2.2202472662716374e-32,4.0455368879664755e-46,4.0455368879664778e-46,1.6028820326590772e-61,2.7443019406079495e-62,1.9879791079092676e-46,7.4838116356443882e-33,6.2686611382961343e-48,5.3663022531654018e-49,1.2822769990627006e-108,2.3870477097980284e-61,2.633935713110624e-49,1.1537881672202506e-108,4.0323135757240811e-29,1.0198197104420765e-76,1.0198197103295113e-76,9.5084572506489769e-43,2.7604123672131995e-43,4.2823769257020299e-30,9.5074505008749682e-43,8.427180096063542e-57,1.1537881672202504e-108,4.9552490927725108e-64,1.9799034784974525e-58,3.2440073040350659e-78,1.0661008075715873e-93,2.0411651426152435e-50,1.6893418381597414e-109,8.6273741132911281e-36,3.7085124388089586e-75,1.291407220042578e-108,5.9550099586852469e-50,5.8656252431248598e-125,5.7483342784638262e-114,4.7737389720037463e-129,1.8404324841875753e-73,1.6453189214430313e-49,3.7471155851140587e-74,8.0833873138297914e-50,3.5456203425576388e-65,5.8386510854906808e-39,3.2027186124316525e-65,2.8914341025122685e-66,5.4142451438989789e-54,2.2269680162738413e-52,1.1678806555307467e-79,1.9291408727550445e-53,2.6237247581905458e-55,7.5674119857120746e-87,7.3224893460954104e-64,6.0488295000080996e-47,6.3742915696742694e-88,2.6749796605263716e-21,1.8208939343691002e-45,5.5928114511704876e-41,1.8208939343691002e-45,1.5390562539375049e-75,4.7824274322347934e-69,3.823511722089371e-69,5.2722596043939495e-125,8.8420040305798996e-126,1.689341265130819e-53,7.5073990824539568e-66,2.521011101723833e-67,8.0787270065309599e-91,1.1536212993369813e-54,1.6211506970270931e-103,9.8258831573811343e-67,4.6380246565634984e-81,7.9234454975142915e-96,1.7669739167513549e-96,6.5448199067125512e-83,4.9860520410472425e-72,1.365553524663711e-104,4.9860520412510446e-72,4.4238364782756071e-92,4.8602706203224098e-73,6.6861866127168881e-88,1.4824906400942858e-82,2.5759066582411884e-92,1.2951422901267583e-28,2.1178192916088122e-74,2.5451209102728202e-65,1.6690107889814891e-81,2.5326372016486764e-97,5.3665062423726371e-101,2.9281924272722127e-112,6.9762257757721432e-115,5.8570575129328883e-125,7.6145036822070785e-48,2.0718128018312894e-48,2.0718128018312894e-48,2.4188923470480841e-115,2.0821645773762032e-117,2.2141694297262684e-126,1.5126268712790878e-97,1.5518811240742058e-112,2.7064048405340085e-50,1.1871117495062503e-65,5.5804006590003301e-50,1.1871117495979816e-65,6.5792131273987694e-65,5.5581416790441068e-108,1.1424176294673055e-120,2.1435382994121191e-113,3.9252846849635062e-134,9.5432235185039858e-136,4.3101427442964235e-136,3.8657199424130883e-120,2.647978494487858e-69,2.7522275227564899e-139,2.7186366836437084e-84,2.3078770345798841e-69,8.3479413472171236e-42,1.027881711853434e-89,3.4967505850300269e-102,1.8400053157019426e-105,2.1435381851661233e-113,4.2328452789152989e-125,1.5947426275701061e-140,1.7408164416765957e-141,1.3651832132487765e-141,4.5659879046562665e-91,2.4530547281073447e-60,3.2060009116061867e-141,5.7696326305660518e-154,9.9145889349277614e-65,3.5008135259088627e-64,2.9913089896933628e-79,9.1220949880949849e-51,1.6457713437054173e-64,1.6457713427329146e-64,1.1751826071588532e-65,2.7825148672341835e-65,4.8904166165347567e-79,3.6142649446878455e-66,4.8896284518173278e-79,4.0029846840780125e-72,1.406864527415756e-85
7.41039744817715e-25,0.31033209679649243,76.950000000000003,0.0,0.0,0.0,0.99999999999999101,9.5,9.2538720736362084e-18,1.1465821370095299e-16,1.1465252936917442e-16,2.4769583928336674e-31,2.4770811263908796e-31,8.6801395528534053e-15,4.4896379252457387e-27,1.1187596590305061e-31,3.7447487049723588e-46,1.5724034552567218e-50,2.4619624366800406e-34,1.4600502255856799e-26,8.3993146798362062e-33,3.3827549673054189e-46,4.0952995805867179e-50,2.719782003280476e-51,4.136614729907779e-66,8.0647419072505314e-44,9.6964031229880323e-32,3.5782315631587454e-45,3.5782315631587485e-45,2.8522429354470367e-60,4.8833386758150603e-61,1.7583450077948996e-45,3.2683771586174931e-32,5.5445597864667244e-47,4.7464335714725692e-48,2.1669914409326721e-106,4.2476238601152825e-60,2.3296863098704598e-48,1.9498509954115147e-106,1.7610172768790773e-28,3.639664107851757e-75,3.6396641070471884e-75,8.4101227583345681e-42,2.4415534781210504e-42,1.8702265115657432e-29,8.4092322995606047e-42,1.499571671841903e-55,1.9498509954115135e-106,8.817601002633458e-63,1.7512027959646909e-57,1.1578442180438263e-76,7.6205836906375591e-92,1.8053874531816512e-49,2.416721139459178e-107,3.7678009366847458e-35,6.5991018954498305e-74,1.8474479574406312e-106,5.2671388701122521e-49,1.6787871076901399e-122,8.2233924802046262e-112,1.3664742756864225e-126,6.5683728089719712e-72,1.4552659532583681e-48,1.3373189363258498e-72,7.1496645376334984e-49,6.3092419577661372e-64,2.5498923241309473e-38,5.699066650203439e-64,5.1451524966881303e-65,4.7888385154026077e-53,1.9697279907751996e-51,4.1680647702076043e-78,1.7063032551005099e-52,2.3206603235790042e-54,5.4088696650847265e-85,1.30299785522587e-62,5.3501211918877249e-46,4.5560770806094495e-86,5.6843317786340354e-21,1.6105600639772391e-44,2.4425276970897995e-40,1.6105600639772391e-44,5.4927824501553714e-74,8.5100728061259026e-68,6.8037334231592291e-68,1.508961293159516e-122,3.0043193793568499e-123,1.4942032178263422e-52,1.3346824692995037e-64,4.4860045582949595e-66,5.7743362619414925e-89,1.0203649749180729e-53,2.3190032173059684e-101,1.7484634083636137e-65,1.6552780557450983e-79,5.6633475322102787e-94,1.2629590717860655e-94,2.3357997364353775e-81,8.8724132025667371e-71,1.9533797955407772e-102,8.872413203294095e-71,3.1619733372301693e-90,8.6486116835685714e-72,2.3862578866153435e-86,5.2909037922501366e-81,9.4362399948946961e-91,5.656226645032083e-28,7.558346621696471e-73,4.5289066745422255e-64,5.956580954544302e-80,1.8102231725404795e-95,3.8623280750868774e-99,4.2178916302549343e-110,1.0048849292443585e-112,1.6879411805646377e-122,6.7349422753912015e-47,1.8324949606834891e-47,1.8324949606834891e-47,3.4842743565557333e-113,2.9992375061640357e-115,6.3809989110248317e-124,1.0811624389036995e-95,2.2200740156673649e-110,2.3937844323904435e-49,2.1124019307068035e-64,4.9358011868546231e-49,2.1124019310341868e-64,1.1707358234186738e-63,4.0792303677675853e-106,1.6783110414503716e-118,3.0662684848126108e-111,1.153801969801099e-131,2.8051443346611165e-133,1.2669275196186993e-133,6.5328975831786297e-118,4.7119362501355385e-68,8.0899241526346705e-137,9.7026212169722841e-83,4.1067438737631268e-68,7.3836595838268972e-41,3.6684450846715544e-88,2.4993366939195916e-100,2.6320676139456938e-103,3.0662683169693922e-111,1.2113887236030635e-122,9.1293978820571298e-138,9.9656243339759608e-139,7.8152427358571893e-139,3.2635772329148686e-89,4.3650798224496494e-59,1.8353342681067092e-138,6.6063970929587247e-151,1.7642481275233346e-63,6.2295106216056791e-63,1.0675769309640862e-77,8.0683897127844562e-50,2.9285621716081594e-63,2.9285621681373648e-63,2.0911746596657447e-64,4.9513365373352816e-64,1.7453549517731458e-77,6.4313913598084647e-65,1.7450736627754087e-77,7.1231112738020649e-71,5.0210092164666989e-84
1.5256700628600016e-24,0.31033209679649243,76.950000000000003,0.0,0.0,0.0,0.99999999999998157,9.5,1.9052089563368542e-17,2.3606102820784075e-16,2.3604932517182602e-16,1.0340813699843436e-30,1.0341325846498448e-30,1.7870875549949714e-14,1.8743354550869511e-26,4.6706013481640879e-31,3.1476858713059954e-45,1.3217398469285737e-49,1.0278208534864625e-33,6.0954222803460342e-26,3.5065485379913914e-32,2.8434069691997249e-45,3.4423460569466203e-49,2.2861406529165659e-50,6.9772305870430238e-65,6.7789015101840992e-43,4.0480574297701055e-31,3.0077192334603001e-44,3.0077192334603056e-44,4.8107246031846622e-59,8.2364644405256152e-60,1.477994927279802e-44,1.364483125587259e-31,4.660536585267726e-46,3.9896634108779205e-47,3.172952808353607e-104,7.1642384858377856e-59,1.9582417175715298e-47,2.8550113650192107e-104,7.3519004740108646e-28,1.2297602413377647e-73,1.2297602407936346e-73,7.0692149262700089e-41,2.0522728129876694e-41,7.8078275309377371e-29,7.0684664420164458e-41,2.5292468065575998e-54,2.8550113650192063e-104,1.4872172898557456e-61,1.4719924619938171e-56,3.9122241368843038e-75,5.1539785566511313e-90,1.51753693715069e-48,3.2702861745091054e-105,1.5729827217559643e-34,1.1130357166495079e-72,2.4999506209870876e-104,4.427347589249289e-48,4.5443536756366083e-120,1.1127823686506927e-109,3.6992066996973682e-124,2.2193047195034467e-70,1.2232387198733425e-47,4.5184984366507848e-71,6.0097238434857427e-48,1.064145873980472e-62,1.0645298505937733e-37,9.6123088985946628e-63,8.6780517169594319e-64,4.0253073213611038e-52,1.6556750612466985e-50,1.4082824914867156e-76,1.4342506983518344e-51,1.9506640640537201e-53,3.6580211736179956e-83,2.1976963330041843e-61,4.4970992306739145e-45,3.0812771357948835e-84,1.1703036014898643e-20,1.3537727772889051e-43,1.0197072323243449e-39,1.3537727772889051e-43,1.8558870468169167e-72,1.4353477307937062e-66,1.1475486158698036e-66,4.0846476406958293e-120,8.8247075721715408e-121,1.2559678370795288e-51,2.2470340053702087e-63,7.5663023753827333e-65,3.9051864100449574e-87,8.5767824302056304e-53,3.1379483297221141e-99,2.9490390989893022e-64,5.5928104388339986e-78,3.8301246783879072e-92,8.5413983180528383e-93,7.8921393922989199e-80,1.4964621682813077e-69,2.6432067109654776e-100,1.4964621685270652e-69,2.1384440990850122e-88,1.4587214525501541e-70,8.0626624218382847e-85,1.7876768110030179e-79,3.2285270393679271e-89,2.3613632810105415e-27,2.5537944962961504e-71,7.6386630655319103e-63,2.012594078789288e-78,1.2242548081542924e-93,2.6209796660864963e-97,5.7269683256738033e-108,1.3644125313380669e-110,4.5846793167300078e-120,5.6611247931630936e-46,1.5403224305540601e-46,1.5403224305540601e-46,4.7308775635691426e-111,4.0723043030753982e-113,1.7331666567720347e-121,7.3119068096015423e-94,3.0041849848882841e-108,2.0121200517524564e-48,3.5628746099369084e-63,4.1488383018753859e-48,3.5628746110430612e-63,1.9746170845372924e-62,2.794104945614923e-104,2.3002809341770858e-116,4.1491253092282954e-109,3.1635632984286959e-129,7.6913126338066626e-131,3.4737377034470756e-131,9.5656063271443297e-116,7.9473691974154178e-67,2.2181438252755266e-134,3.2782964187039056e-81,6.926623797827111e-67,6.206410778467239e-40,1.2394902704237636e-86,1.6903101759978716e-98,3.5615699500763495e-101,4.1491250791674113e-109,3.2790430737655851e-120,4.9428713112171792e-135,5.3956240329817918e-136,4.2313567234646767e-136,2.2071588629360322e-87,7.3623451340202561e-58,9.9369325526994612e-136,7.1540771349059258e-148,2.975662334989993e-62,1.0506980187751664e-61,3.607101165284449e-76,6.7819677109711256e-49,4.9394481457090083e-62,4.9394481339819818e-62,3.527071716014359e-63,8.3511527737604505e-63,5.8971599004261877e-76,1.0847481560818915e-63,5.8962094978830433e-76,1.2014215232426465e-69,1.6964920555104128e-82
3.0949306989445745e-24,0.31033209679649243,76.950000000000003,0.0,0.0,0.0,0.9999999999999627,9.5,3.8648524542832842e-17,4.7886665722160452e-16,4.7884291677711782e-16,4.2245598088266422e-30,4.2247688398556918e-30,3.6252347544010878e-14,7.6572719145981676e-26,1.9080930486870263e-30,2.5806613252153496e-44,1.0836580996679303e-48,4.1989835561787743e-33,2.4901788902426947e-25,1.4325394936308118e-31,2.3311928773432321e-44,2.8222432738841266e-48,1.8743162300615723e-49,1.1460302168789256e-63,5.5577530220059318e-42,1.6537635449223864e-30,2.4659099463326055e-43,2.4659099463326147e-43,7.9016296063061575e-58,1.3528417576043376e-58,1.2117495380658712e-43,5.5743587878841768e-31,3.8209894702867088e-45,3.2709671095126771e-46,4.3387445775972045e-102,1.1767283225842951e-57,1.6054848720380572e-46,3.9039865472765611e-102,3.0034912302265973e-27,4.0431826166677059e-72,4.0431826130882361e-72,5.7957695004984502e-40,1.6825772451780397e-40,3.1897523095073248e-28,5.7951558478860559e-40,4.1542954746001101e-53,3.9039865472765508e-102,2.4427588644086368e-60,1.2068299846207172e-55,1.2862745536689304e-73,3.3905150641779935e-88,1.2441684667911356e-47,4.3035841328163019e-103,6.4261476699956265e-34,1.8281668967731631e-71,3.2898490380343329e-102,3.6298070427333999e-47,1.1961685307072518e-117,1.4643833263515977e-107,9.7374255780990551e-122,7.2965883625424862e-69,1.0028850072080478e-46,1.4855834270644573e-69,4.9271346991098712e-47,1.7478627933906567e-61,4.3489517872117564e-37,1.5788246229678781e-61,1.4253726003651387e-62,3.300190140874677e-51,1.357422446859965e-49,4.6300432490232126e-75,1.175885376214232e-50,1.5992873932342178e-52,2.4063685098148533e-81,3.6097228262133696e-60,3.6869936524462712e-44,2.0269670178724405e-82,2.3740444487624978e-20,1.1099047143150346e-42,4.1658367666750119e-39,1.1099047143150346e-42,6.1017505658382544e-71,2.3575615327830199e-65,1.8848504987707886e-65,1.0751643281171029e-117,2.4172061431897647e-118,1.0297183152162542e-50,3.6773529027554387e-62,1.2427674370461019e-63,2.5689620579241795e-85,7.0317644236520513e-52,4.1293635720535764e-97,4.8438055754990038e-63,1.8387937088373588e-76,2.5195839437034278e-90,5.6188171053949412e-91,2.5947627623930858e-78,2.4579436041779032e-68,3.4783114184189408e-98,2.4579436049858997e-68,1.4067399546960467e-86,2.3959763158296393e-69,2.6508509028960626e-83,5.8774902340426087e-78,1.0680391474860237e-87,9.6469394947821599e-27,8.3963175665975028e-70,1.2546527022607672e-61,6.616968999581364e-77,8.0535570422829954e-92,1.727078992360771e-95,7.5491861537743195e-106,1.7985439643896554e-108,1.2088229371341014e-117,4.6413321361597636e-45,1.262849390921827e-45,1.262849390921827e-45,6.2361573124546314e-109,5.3680379639453495e-111,4.5697669648113831e-119,4.8100165248614134e-92,3.9534041191230449e-106,1.6496575855935062e-47,5.8520322410053624e-62,3.4014683021173172e-47,5.8520322446421523e-62,3.2433144907444769e-61,1.8496050163346301e-102,3.0462028049241568e-114,5.4600642736530361e-107,8.3799274377394816e-127,2.0373432025971315e-128,9.2015449590551613e-129,1.3080171805929155e-113,1.3053577772790414e-65,5.8756163753588211e-132,1.0778321373800603e-79,1.1377000388666574e-65,5.0883905307424969e-39,4.0752095657871959e-85,1.1119524381058858e-96,4.686825806477002e-99,5.4600639689464443e-107,8.6310572942899662e-118,2.6022499618636484e-132,2.8406085350364152e-133,2.2276622592561477e-133,1.4519428215037838e-85,1.2092673990298588e-56,5.2314496426882669e-133,7.53294395990148e-145,4.8875343205575212e-61,1.7257746508866796e-60,1.1859359444396912e-74,5.5602668793830929e-48,8.1130583972577457e-61,8.113058358701842e-61,5.7932258846020316e-62,1.3716793511069399e-61,1.9388571453488513e-74,1.7817021038494256e-62,1.9385446799712567e-74,1.9733538782304269e-68,5.5777375936996327e-81
