Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995),S(1218),S(2281),S(2282),S(1827),S(971),S(805),S(887),S(3335)
0.0,0.3634522353994971,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.950476835835455e-27,0.3634522353994971,76.950000000000003,0.0,0.0,0.0,0.99999999999999944,9.5,1.8888036595236822e-19,2.098366268711462e-18,2.0981283576788303e-18,4.7732253380713531e-35,4.7737664631788491e-35,4.6903215139320001e-16,3.0037661120056267e-30,2.0294529191541085e-35,1.4598973404446248e-51,6.5767900903447675e-56,7.205698715670612e-38,1.1452557995959868e-29,2.7077137889264124e-36,1.2414217530477866e-51,1.9603561147954963e-55,2.7220300207167509e-56,9.2025496984451601e-73,2.1631633453676211e-48,6.348871591475997e-35,5.1983455822417177e-50,5.1983455822417177e-50,5.0276244781276837e-67,9.108228575398187e-68,2.7971567760216647e-49,2.0990539420619725e-35,4.0602360166559845e-52,3.6778361103391481e-53,1.106049919984603e-117,9.3590187502320065e-67,6.077093635608541e-53,9.870463019384951e-118,1.4064248963873825e-31,1.06458463715427e-83,1.0645846371506686e-83,1.7910664926723973e-46,5.1453555576994787e-47,2.7963001861275075e-32,1.7908312767038961e-46,7.0677671502862747e-62,9.870463019384951e-118,2.8307442783761721e-69,8.4197875683311737e-62,5.8319194625946367e-85,7.3133942530722498e-102,3.9649479791382336e-54,3.0533453551559062e-119,4.9576841936790224e-38,4.8201910623249912e-80,6.3280871167184138e-118,1.2476055804736161e-53,7.421160512652153e-136,2.1731190824515857e-123,4.2081974389415599e-140,1.2190143218094454e-79,6.4398162393188371e-53,3.9669754712253805e-80,1.9566196961931002e-53,2.2256470736033545e-70,3.6850000049215745e-41,1.8923615068171617e-70,1.8049643992834628e-71,8.3833455148609994e-58,9.5733096125518691e-56,3.4035349621310718e-86,5.8775748716841017e-57,2.1777842471460054e-58,2.5405265754186573e-94,8.2859263790480789e-69,1.022535600575615e-50,2.0951710502357333e-95,2.3791103263136442e-22,2.743273760523452e-49,1.9223994275411633e-43,2.743273760523452e-49,2.2537036573547421e-81,3.0165637001471749e-74,2.564057409108618e-74,1.0576400874633929e-135,6.7523184612759307e-136,2.3014182864181804e-57,5.8558837494597921e-71,1.2874670568888738e-72
1.6661335140339273e-26,0.3634522353994971,76.950000000000003,0.0,0.0,0.0,0.99999999999999867,9.5,5.2886502466663076e-19,5.8754255523920871e-18,5.8747594015007191e-18,2.8830281041950815e-34,2.8833549426475228e-34,1.3132900239009117e-15,1.8142747316513431e-29,1.2257895631690423e-34,1.73319010990101e-50,7.8158289624648875e-55,4.3522420242650552e-37,6.9173450295595508e-29,1.6354591285115506e-35,1.4738158786977503e-50,2.3273347794764814e-54,3.23159404059493e-55,2.0605541599400753e-71,2.5681075236203678e-47,3.8347184412514995e-34,6.171475875237364e-49,6.171475875237364e-49,1.1246594852591185e-65,2.037474299402183e-66,3.3207845244927109e-48,1.2678285810053997e-34,4.8203121989732822e-51,4.3663270301942373e-52,1.1785820192173871e-115,2.0935750583522169e-65,7.21472556419422e-52,1.051774429508499e-115,8.4948063741795334e-31,4.3930383135783783e-82,4.3930383135512685e-82,2.1263541401005825e-45,6.1085661181005624e-46,1.6889653124209393e-31,2.1260748917027779e-45,1.5810312404503763e-60,1.051774429508499e-115,6.3322617209561472e-68,9.9959718012369616e-61,2.4088171919372149e-83,5.5104404516778226e-100,4.7071862408327918e-53,4.1716338669015044e-117,2.9944412529821218e-37,1.0782574598896175e-78,8.6457506302813032e-116,1.4811573451382451e-52,1.8324703988252309e-133,2.9690244982976929e-121,1.0415328150195861e-137,5.0302967313474943e-78,7.6453498392930477e-52,1.6369835357324007e-78,2.322898903320444e-52,4.978683477766443e-69,2.225740002972623e-40,4.2331369962892497e-69,4.0376331626211023e-70,9.9527077952429063e-57,1.1365433172019762e-54,1.4044778092878632e-84,6.9778568876603762e-56,2.5854655968766537e-57,1.9124449944317231e-92,1.8535285872874867e-67,1.2139542650030596e-49,1.5771924711479745e-93,6.6615089136788124e-22,3.256814608493186e-48,1.1611292542370683e-42,3.256814608493186e-48,9.2999712457763922e-80,6.7479322928563909e-73,5.7356938108252784e-73,2.6115782694395285e-133,1.2010705921071213e-133,2.7322437896355948e-56,1.3098787374981448e-69,2.8800123075760848e-71
3.808305174934691e-26,0.3634522353994971,76.950000000000003,0.0,0.0,0.0,0.999999999999997,9.5,1.2088343420951547e-18,1.3429544119753313e-17,1.342802148914447e-17,1.3880539283111254e-33,1.3882112858236565e-33,3.0018057689161407e-15,8.7349518537115258e-29,5.9016490888995577e-34,1.7016563007302233e-49,7.6770730787549276e-54,2.0954171865170212e-36,3.3304038652248109e-28,7.8740316981979738e-35,1.4470011131386991e-49,2.2849910873785628e-53,3.1727981921474523e-54,4.0732174216348593e-70,2.5213831953602733e-46,1.8462518588012145e-33,6.0591916106609306e-48,6.0591916106609306e-48,2.222137621539118e-64,4.0257058718339419e-65,3.2603659381301977e-47,6.1040488635157289e-34,4.7326111010120313e-50,4.2868857702100682e-51,2.6821769213896237e-113,4.1365515177345426e-64,7.0834603416645611e-51,2.39359251654687e-113,4.0898835986941181e-30,1.7378422696972842e-80,1.7378422696758496e-80,2.0876671038586711e-44,5.9974264380537044e-45,8.1316409412576564e-31,2.0873929361257883e-44,3.1238513045791747e-59,2.3935925165468695e-113,1.2511482083245212e-66,9.8141043899998233e-60,9.5336143037568336e-82,4.3590576711261473e-98,4.621543364483151e-52,6.5933870016630787e-115,1.4416945635218469e-36,2.1304550388702757e-77,1.3664856898780957e-113,1.4542090645999459e-51,5.7874100596132039e-131,4.6926283944175868e-119,3.2924272112960389e-135,1.9899353624739771e-76,7.506249808468573e-51,6.475744075377719e-77,2.2806359178826596e-51,9.8370395721399151e-68,1.0715980014311823e-39,8.3639653600719076e-68,7.977682729959185e-69,9.7716275321217492e-56,1.1158649684384822e-53,5.55597084701297e-83,6.8509012704257192e-55,2.5384257483346239e-56,1.5121127514446235e-90,3.6622601421990583e-66,1.1918674960299727e-48,1.2470386620526377e-91,1.5226306088411581e-21,3.1975598952653371e-47,5.5903375353221813e-42,3.1975598952653371e-47,3.6789761400425795e-78,1.3332776905981232e-71,1.133276420235086e-71,8.2480319232944111e-131,5.4722765007231364e-131,2.6825331546488149e-55,2.5878444163719187e-68,5.6904189961797087e-70
8.092648496736219e-26,0.363452235399497,76.950000000000003,0.0,0.0,0.0,0.99999999999999356,9.5,2.5687729769521982e-18,2.8537781254475667e-17,2.8534545664431878e-17,6.0619961793503703e-33,6.0626833909933598e-33,6.3788372589458206e-15,3.8147829622462793e-28,2.57740520732511e-33,1.5050956795915268e-48,6.7916526986920599e-53,9.1512373689017505e-36,1.4544748654865727e-27,3.4387965119365076e-34,1.2798559978731776e-48,2.0210487400527241e-52,2.8063040701581577e-53,7.2496224477562991e-69,2.2301348825397274e-45,8.0630669211744548e-33,5.3592863614678848e-47,5.3592863614678848e-47,3.9541751691692405e-63,7.1635285062876433e-64,2.8837567498059173e-46,2.6657985064182015e-33,4.1859409237270654e-49,3.7917019163126366e-50,4.5327604222544714e-111,7.3607724107139294e-63,6.2652404545653904e-50,4.0450655359404977e-111,1.7861596184115701e-29,6.2022356204594945e-79,6.2022356203062866e-79,1.8465179112849546e-43,5.3046557657641497e-44,3.5513012363807556e-30,1.8462754130300735e-43,5.5587264897628588e-58,4.045065535940497e-111,2.2263513881208598e-65,8.6804641921870329e-59,3.4032274619844212e-80,3.1163668576335149e-96,4.0877027685715662e-51,9.433742629018246e-113,6.2962589259722274e-36,3.7910309120746656e-76,1.9551520790899896e-111,1.2862314492448661e-50,1.6566556644507654e-128,6.7141589772419177e-117,9.4288254045203977e-133,7.1019379622999258e-75,6.6391929499170694e-50,2.3111470628817502e-75,2.0171966419872001e-50,1.750448632759486e-66,4.6799500062502775e-39,1.4883229473286122e-66,1.4195860172008996e-67,8.6428938920006089e-55,9.8696992781446303e-53,1.9828838836112368e-81,6.0595445896919747e-54,2.2452093501462487e-55,1.0807949675442304e-88,6.5167962492337709e-65,1.0541933027674111e-47,8.913310922033076e-90,3.235590043788685e-21,2.8282055161475782e-46,2.4414472730105557e-41,2.8282055161475782e-46,1.3130004523805597e-76,2.3724963490066318e-70,2.0166047601541476e-70,2.361012726852678e-128,1.8603987727150546e-128,2.3726701965652333e-54,4.6040186360160986e-67,1.0125796565749668e-68
1.6661335140339274e-25,0.3634522353994971,76.950000000000003,0.0,0.0,0.0,0.99999999999998679,9.5,5.2886502466662663e-18,5.875425552391994e-17,5.8747594015006242e-17,2.5307640742452059e-32,2.5310509632580227e-32,1.3132900239002074e-14,1.5925967925846025e-27,1.0760159377349605e-32,1.2651235271692372e-47,5.7093359118622824e-52,3.8204614590486181e-35,6.0721462494549464e-27,1.4356298508887496e-33,1.075795915208652e-47,1.6988132432808132e-51,2.35886766347283e-52,1.2228787564210692e-67,1.8745627444811915e-44,3.3661717178005159e-32,4.5048031080412844e-46,4.5048031080412852e-46,6.6692943771898859e-62,1.2082337869187491e-62,2.4239713075894565e-45,1.1129184000808032e-32,3.5185355682494771e-48,3.1871539278373961e-49,6.6369597219992631e-109,1.2415018543798828e-61,5.2663121111172977e-49,5.9228669803668209e-109,7.4568648006422491e-29,2.0955952385888668e-77,2.0955952384852524e-77,1.5521095654849626e-42,4.4588828006103498e-43,1.4825983586837432e-29,1.5519057310901245e-42,9.3756047055260354e-57,5.922866980366819e-109,3.7550670264245548e-64,7.2964531914569858e-58,1.1499938441059126e-78,2.1078240427934407e-94,3.4359604795520964e-50,1.276658907865735e-110,2.6285641594884977e-35,6.3941277425515097e-75,2.6458876568506111e-109,1.0811550343487602e-49,4.4847733872999419e-126,9.0862038584529559e-115,2.553067044744629e-130,2.3995843256433526e-73,5.5806417156234814e-49,7.8088435801422469e-74,1.6955753228057292e-49,2.9523874700928205e-65,1.9537870026093074e-38,2.5102741885224531e-65,2.394339309063419e-66,7.2648730896494107e-54,8.2960769372621534e-52,6.6996985956326481e-80,5.0934123425681749e-53,1.8872346218000954e-54,7.3094215990302104e-87,1.0991529389294163e-63,8.8611299088554385e-47,6.0280764926604056e-88,6.6615089136876288e-21,2.3772771484864051e-45,1.0192561765121535e-40,2.3772771484864051e-45,4.4363317756646507e-75,4.0015616457469991e-69,3.4012984147868241e-69,6.3915557539366357e-126,5.4663577094748078e-126,1.9943722643165849e-53,7.7622735882818267e-66,1.7078635925569764e-67
3.3798708427545386e-25,0.3634522353994971,76.950000000000003,0.0,0.0,0.0,0.99999999999997313,9.5,1.0728404786094329e-17,1.1918720406280675e-16,1.191736907161532e-16,1.0338997011274153e-31,1.0340168978506292e-31,2.664102619910213e-14,6.5062775492420527e-27,4.3958762009999214e-32,1.0372245713581918e-46,4.6810744428559089e-51,1.5607831646091652e-34,2.4806698721543698e-26,5.8650163753658669e-33,8.8200221244963607e-47,1.3927897347238682e-50,1.9339422272964353e-51,2.0086810929505288e-66,1.5368797942355602e-43,1.375190982200016e-31,3.6933097567121578e-45,3.6933097567121584e-45,1.0954336041148813e-60,1.9845276231113887e-61,1.9873181281375236e-44,4.5466348006600609e-32,2.8847080398086584e-47,2.6130213497665791e-48,9.0754810250394839e-107,2.0391705238210249e-60,4.3176408458674701e-48,8.0990196032047663e-107,3.0463725825678305e-28,6.8898586551304915e-76,6.8898586544488823e-76,1.272513196293787e-41,3.6556615142894978e-42,6.0568980551506353e-29,1.2723460805417518e-41,1.5399458881993944e-55,8.0990196032047591e-107,6.1677088666588185e-63,5.982073160670934e-57,3.7811206467448227e-77,1.3866687533639233e-92,2.8170079931239014e-49,1.6800988752986598e-108,1.0738542270875485e-34,1.0502374019510235e-73,3.4820208037188215e-107,8.8639621779462728e-49,1.1805278377538076e-123,1.1957556392522999e-112,6.7211885539829283e-128,7.8893082647213127e-72,4.5753472463657947e-48,2.5673769217594993e-72,1.3901350919821811e-48,4.8493052850693256e-64,7.9818574106593747e-38,4.1231328925214793e-64,3.9327095048868287e-65,5.9561818840382431e-53,6.8016251010053011e-51,2.2027025523819131e-78,4.1758871694183335e-52,1.5472704063323039e-53,4.8083816703548911e-85,1.8053620027402728e-62,7.2648896661666576e-46,3.9654700610866512e-86,1.3513346653501081e-20,1.9490354353620934e-44,4.1639940562833067e-40,1.9490354353620934e-44,1.4585688266409715e-73,6.5725763022104644e-68,5.586641984689719e-68,1.6824505593457399e-123,1.4975534992949431e-123,1.6351068771829458e-52,1.2739461577433322e-64,2.8051710791329522e-66
6.80734550019576e-25,0.3634522353994971,76.950000000000003,0.0,0.0,0.0,0.99999999999994582,9.5,2.1607913864950156e-17,2.4005310114057356e-16,2.4002588411844023e-16,4.1791878982961133e-31,4.1796615712181716e-31,5.3657278119252488e-14,2.6299414118288596e-26,1.7768834444557204e-31,8.3997113633982636e-46,3.7909415822090544e-50,6.3089350991083614e-34,1.0027264248225926e-25,2.370733392466695e-32,7.1426781256126424e-46,1.1279172375447801e-49,1.5661565565029274e-50,3.2562378006129584e-65,1.2446051036702003e-42,5.5587418241732039e-31,2.9909379965071844e-44,2.9909379965071859e-44,1.7757450777013762e-59,3.2170047961591951e-60,1.6093817448641201e-43,1.8378224808613047e-31,2.3361113617317244e-46,2.1160924361876486e-47,1.2003192450323624e-104,3.3055832929544888e-59,3.4965374993777171e-47,1.0711728743412733e-104,1.231392505179633e-27,2.2347091394835996e-74,2.234709139041348e-74,1.0305141784897688e-40,2.960449473692406e-41,2.4482950353561713e-28,1.0303788438210166e-40,2.4963186455409019e-54,1.071172874341271e-104,9.9981218574592998e-62,4.844437943143864e-56,1.2264282226716853e-75,8.9974095717337368e-91,2.2812861086940084e-48,2.180500348806073e-106,4.3406904804064344e-34,1.702480087014895e-72,4.5191075886588086e-105,7.1782663854340742e-48,3.0644378939506588e-121,1.5519000859550218e-110,1.7447962678923905e-125,2.5588782248012667e-70,3.7052348235525322e-47,8.3272255050847321e-71,1.1257674391732106e-47,7.8609328377746014e-63,3.22639438430829e-37,6.6837760966090033e-63,6.3750915793765943e-64,4.8234705141364742e-52,5.5081323508026488e-50,7.1443366207872772e-77,3.3817416969307306e-51,1.2530220254736235e-52,3.1198420871519448e-83,2.9265696047689945e-61,5.8832960065935221e-45,2.5729322753644092e-84,2.7217022133190247e-20,1.5783794277079593e-43,1.6831529741919351e-39,1.5783794277079593e-43,4.730833026965461e-72,1.0654427093250708e-66,9.0561845648804414e-67,4.3673389849607659e-121,3.9647975588824327e-121,1.3241519421501515e-51,2.0618559748054992e-63,4.5473032021884093e-65
1.3662294815078205e-24,0.3634522353994971,76.950000000000003,0.0,0.0,0.0,0.99999999999989131,9.5,4.3366932022660624e-17,4.8178489529607993e-16,4.8173027092298628e-16,1.6804330731680859e-30,1.6806234907589066e-30,1.0768978195935422e-13,1.0574878747916145e-25,7.1447701799678082e-31,6.7608150282164212e-45,3.0513139956099284e-49,2.536795055647014e-33,4.0319188526928281e-25,9.5326147024649757e-32,5.749041566263202e-45,9.0784591912133149e-49,1.2605790492146465e-49,5.2441339171049195e-64,1.0017664656286691e-41,2.2351456392651454e-30,2.4073671053137157e-43,2.4073671053137189e-43,2.8597827044435908e-58,5.1808870494656759e-59,1.2953704413083351e-42,7.3898033651611313e-31,1.8803056609977678e-45,1.7032152885142102e-46,1.5616482457510545e-102,5.3235399879037082e-58,2.8143175713800873e-46,1.3936252768038586e-102,4.951375104706974e-27,7.1994131675227978e-73,7.199413164672946e-73,8.2944746355347545e-40,2.3828272897039093e-40,9.8444866572093502e-28,8.2933853443823661e-40,4.0202442214161258e-53,1.3936252768038539e-102,1.6101667026474127e-60,3.8992251162964348e-55,3.9511511750363186e-74,5.7979692261563213e-89,1.8361775276796397e-47,2.8103992548050218e-104,1.7453725511207868e-33,2.7417916976952386e-71,5.8245790267843452e-103,5.7776932820500354e-47,7.8995873329712691e-119,2.0002101119600292e-108,4.497905512344968e-123,8.2437670579711976e-69,2.9822953334271755e-46,2.6827266197248484e-69,9.0611557460015331e-47,1.2659789995942058e-61,1.2973189917320233e-36,1.0764015354167225e-61,1.0266888455455814e-62,3.8823487022257865e-51,4.4334241125610446e-49,2.3015940563304655e-75,2.7219199224872335e-50,1.008544894964139e-51,2.0104141095660641e-81,4.7131501273565663e-60,4.7353884612069524e-44,1.6579875534915056e-82,5.4624373092817623e-20,1.2704170793191632e-42,6.7678840823149545e-39,1.2704170793191632e-42,1.5241008769570869e-70,1.7158618889959692e-65,1.4584696917150757e-65,1.1258239493481576e-118,1.0321176535058662e-118,1.0657926816559718e-50,3.3100859699668078e-62,7.3232916212099889e-64
2.7372193444843096e-24,0.3634522353994971,76.950000000000003,0.0,0.0,0.0,0.99999999999978229,9.5,8.6884968338076815e-17,9.652484836069834e-16,9.6513904453196716e-16,6.7392882154605487e-30,6.7400515205788359e-30,2.1575478963876156e-13,4.2409993509085121e-25,2.8653723998112011e-30,5.4251227654707586e-44,2.4485010694051664e-48,1.0173682782465554e-32,1.616979791901221e-24,3.8230048523008433e-31,4.6132322588338546e-44,7.2848917557613259e-48,1.0115352984993197e-48,8.4180469848578731e-63,8.038544996154861e-41,8.9639337067726198e-30,1.9317604913293628e-42,1.9317604913293682e-42,4.5905845868875705e-57,8.3164711077426601e-58,1.039453199559859e-41,2.9636416664529242e-30,1.5088268754057401e-44,1.366723004263001e-45,2.0152243341820735e-100,8.5454606670245984e-57,2.2583126114920859e-45,1.7983995936267158e-100,1.9857228726433231e-26,2.3115805820740416e-71,2.3115805802438874e-71,6.6557935272112678e-39,1.9120688347549667e-39,3.9480794549439871e-27,6.6549194396630044e-39,6.453382325126651e-52,1.7983995936267029e-100,2.5846741558698236e-59,3.1288825961478566e-54,1.2686396654159583e-72,3.7234375356504014e-87,1.4734168275361329e-46,3.6097568444495852e-102,6.9997245669447066e-33,4.4011828967912202e-70,7.4812551889306215e-101,4.6362349924175936e-46,2.0293184756519738e-116,2.5691268368067886e-106,1.155479231092665e-120,2.6469007148375674e-67,2.3931041855324323e-45,8.6136725571246905e-68,7.2710068345071989e-46,2.0321766663284433e-60,5.2028293969436108e-36,1.727862851297281e-60,1.6480629743790677e-61,3.1153403317519342e-50,3.5575436429529946e-48,7.3896203818384464e-74,2.1841693171368142e-49,8.0929979405300974e-51,1.2910734405347859e-79,7.5656497596765847e-59,3.7998510156347491e-43,1.0647476481934485e-80,1.0943907501306854e-19,1.0194296980693759e-41,2.714224218701078e-38,1.0194296980693759e-41,4.893568282962969e-69,2.7543359345780285e-64,2.3411639238250826e-64,2.8921198592536527e-116,2.6643757644596201e-116,8.5523150574733276e-50,5.2801202438403089e-61,1.1755504915307405e-62
