Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995),S(1218),S(2281),S(2282),S(1827),S(971),S(805),S(887),S(3335),S(1971),C7H8(1663),S(3456),C7H9(2067),C7H9(2027),S(3692),S(3691),S(2237),S(2209),S(3466),S(3552),S(1954),S(2383),S(4082),C7H9(2044),S(2993),C7H10(115),S(1242),C5H6(500),S(4282),S(4155),S(4335),S(4374),S(4387),S(4887),C7H10(297),C7H10(987)
0.0,0.2963054650259482,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.846295054122489e-27,0.2963054650259482,76.950000000000003,0.0,0.0,0.0,0.99999999999999933,9.5,2.1663016054216084e-19,2.951540658168307e-18,2.9512069692656196e-18,9.4735404593428074e-35,9.4746113807800276e-35,5.3617397536285567e-16,3.9499276933795052e-30,4.0287361615445028e-35,3.3290825422633943e-51,1.8380691822022506e-55,1.4281134121323768e-37,1.5051814357452707e-29,5.3644499369827762e-36,2.831464138301853e-51,5.476562723693117e-55,6.1874487548530005e-56,2.9460721357145235e-72,3.260676960705783e-48,1.023582197430146e-34,9.6261042767140638e-50,9.6261042767140638e-50,1.3139251287989537e-66,2.3798823423230854e-67,4.1909157669499104e-49,3.3843154653353374e-35,9.2389132838376965e-52,8.3671154864651509e-53,5.3525050151562243e-117,2.4440583445168742e-66,1.1231026745006098e-52,4.7767443961974829e-117,1.8483219328380453e-31,3.9227823192498882e-83,3.9227823192346215e-83,2.7018518199848592e-46,7.7621409386791253e-47,3.6670239516277073e-32,2.7014972372816566e-46,1.2248689812507372e-61,4.7767443961974829e-117,7.3828550327667145e-69,1.9035855767935828e-61,2.1449996938276819e-84,3.0922676785092775e-101,7.3319043105016676e-54,1.821843456625607e-118,7.9740463596850364e-38,1.5367634587969592e-79,3.0693659530038257e-117,2.3064902602793769e-53,5.0799515809125363e-135,1.2933133676832046e-122,3.5357248237078207e-139,2.422532053430465e-79,1.1880515710328663e-52,7.8710067789066018e-80,3.6154625317552605e-53,5.802918955406496e-70,5.9250677434845299e-41,4.9349632376161739e-70,4.706140216996535e-71,1.9019800437015569e-57,1.7655493142708447e-55,1.0194339287001198e-85,1.0852159179323924e-56,4.0073274356928363e-58,5.7984835076578934e-94,1.7586704288285478e-68,1.8917299306784762e-50,4.7823685884245687e-95,3.3368890268695968e-22,5.0771816572877507e-49,3.7968699409576757e-43,5.0771816572877507e-49,4.4668393522804443e-81,7.8649115777231122e-74,6.6837193232135129e-74,5.8961127960581511e-135,3.7467442947430104e-135,5.2237670255675607e-57,1.5257209740404101e-70,3.3592026736115314e-72,1.5567188341797155e-97,3.5006469044660386e-58,1.1468181311487175e-111,5.2627297114292357e-71,1.4222176377469438e-86,8.9315923687725253e-103,1.9412707769821596e-103,1.3182313248282956e-88,7.8012021411833089e-77,9.4585755630032753e-113,7.8012021411934492e-77,1.1648610316711133e-98,2.6251847525064946e-77,1.8450244341687283e-93,6.5258854075435252e-88,1.3073708451857215e-97,5.7202477917724859e-31,2.6534356405146043e-80,3.334331375061917e-70,1.0257496308768218e-87,4.0982861383888686e-104,2.2729242889579949e-108,5.3431358488913264e-121,1.4467957932711592e-123,3.9362224257046682e-135,1.9080535221843878e-50,4.8958490094739709e-51
1.916962615154297e-26,0.2963054650259482,76.950000000000003,0.0,0.0,0.0,0.99999999999999845,9.5,6.0656444951805009e-19,8.2643138428712468e-18,8.2633795139437223e-18,5.7220184374430194e-34,5.7226652714528423e-34,1.5012871310159299e-15,2.3857563268011337e-29,2.4333566415727894e-34,3.952286760981953e-50,2.1843449943540159e-54,8.6258050092795657e-37,9.0912958719011009e-29,3.2401277619375909e-35,3.3615141555185705e-50,6.5017752655404198e-54,7.3457391617614897e-55,6.5965616628000811e-71,3.8710756877497741e-47,6.1824364724780744e-34,1.1428110997314925e-48,1.1428110997314925e-48,2.9391979561177103e-65,5.3237016044827773e-66,4.9754551985225634e-48,2.0441265410624815e-34,1.0968437850570258e-50,9.9334395055303701e-52,5.7035094480381455e-115,5.4672607543514111e-65,1.3333474951670706e-51,5.0899918295135765e-115,1.1163864474341388e-30,1.6187471078253305e-81,1.6187471078138381e-81,3.2076384806858676e-45,9.2152137223993944e-46,2.2148824667830182e-31,3.2072175201006268e-45,2.7399829162985219e-60,5.0899918295135765e-115,1.6515151394097151e-67,2.2599367968048424e-60,8.8596789641128784e-83,2.3299299058654849e-99,8.704436797427312e-53,2.489085251567878e-116,4.8163240012497459e-37,3.4376783868420324e-78,4.1935071301004975e-115,2.7382652370036062e-52,1.2543628426514061e-132,1.7669834460647515e-120,8.7508382783860722e-137,9.9966463493778575e-78,1.4104548251246507e-51,3.2479929861346206e-78,4.2922771176998327e-52,1.2980897586482159e-68,3.5787409170646408e-40,1.1039315364016464e-68,1.0527447419812462e-69,2.2580307078824685e-56,2.0960601459019608e-54,4.2067211992038527e-84,1.2883683377687016e-55,4.757499425335866e-57,4.364953654416191e-92,3.9340754024721778e-67,2.2458617737008225e-49,3.6000477054458549e-93,9.3432892752358533e-22,6.0276300635314623e-48,2.2933094443434349e-42,6.0276300635314623e-48,1.8432537658686279e-79,1.7593492477648886e-72,1.4951212624421595e-72,1.455892775679468e-132,6.6647314765543232e-133,6.2016562127536272e-56,3.412800235317818e-69,7.5144020127558955e-71,1.1718590826683287e-95,4.1559680049821163e-57,1.5654010974981434e-109,1.1772515855278706e-69,5.868820904256647e-85,6.723479802665987e-101,1.4613401867933959e-101,5.4397184723810269e-87,1.7450977141701974e-75,1.2910909031638392e-110,1.7450977141743822e-75,8.768783097106245e-97,5.8724336302680413e-76,7.6135454263722416e-92,2.692924885902004e-86,6.9602777447709307e-96,3.4550296662250484e-30,1.0949476466780954e-78,7.458765912758571e-69,4.2327845727930757e-86,3.0850875117571465e-102,1.8225757801848979e-106,7.7654726545062252e-119,2.1027077521333193e-121,1.0336672877021095e-132,2.2652411415371825e-49,5.8123519440471866e-50
4.3816288346383927e-26,0.2963054650259482,76.950000000000003,0.0,0.0,0.0,0.99999999999999645,9.5,1.3864330274698268e-18,1.8889860212277087e-17,1.888772460329989e-17,2.7549055655768326e-33,2.7552169857233911e-33,3.4315134423218162e-15,1.1486389732346296e-28,1.1715564757770063e-33,3.8803785083634504e-49,2.1455621897453059e-53,4.1529538024809662e-36,4.3770676151467486e-28,1.5599820416745825e-34,3.3003543842371451e-49,6.3834815106497478e-53,7.2120902686566764e-54,1.3039784051474306e-69,3.8006450653982571e-46,2.976577030126853e-33,1.1220187144937875e-47,1.1220187144937875e-47,5.807359864070323e-64,1.0518737250009025e-64,4.8849314179556685e-47,9.8415893731942254e-34,1.0768877323635465e-49,9.7527098110205023e-51,1.2979853046301999e-112,1.080238593836891e-63,1.3090884773977459e-50,1.1583630492045486e-112,5.3749201806924246e-30,6.4036025800917842e-80,6.4036025800009163e-80,3.149278481373863e-44,9.047551478122955e-45,1.0663705651331618e-30,3.1488651797750147e-44,5.4137445159941528e-59,1.1583630492045483e-112,3.2631156113699889e-66,2.2188193484203943e-59,3.5064763741933843e-81,1.8430976383718176e-97,8.5460676643199185e-52,3.9340632131797177e-114,2.3188526813963846e-36,6.7922731942687369e-77,6.6279457982981813e-113,2.6884450473814245e-51,3.9615910638403333e-130,2.7927627505648086e-118,2.7662442768292958e-134,3.9545738828501114e-76,1.3847929111786482e-50,1.2848737252216084e-76,4.2141831270138909e-51,2.5648066162542206e-67,1.7230096998052791e-39,2.1811826875548362e-67,2.0800462074932746e-68,2.2169479389384736e-55,2.0579242807129004e-53,1.6641358027221941e-82,1.264927673940028e-54,4.6709417694556948e-56,3.4512376039702165e-90,7.7730700468796077e-66,2.2050004071967721e-48,2.8464494702140796e-91,2.1356089771972295e-21,5.9179629397328811e-47,1.1041297788378529e-41,5.9179629397328811e-47,7.2917285929824252e-78,3.4761775837164979e-71,2.9541075990166363e-71,4.5980729131307572e-130,3.0365573265525506e-130,6.0888228450009806e-55,6.7423548309220366e-68,1.4847192092139182e-69,9.265537398243252e-94,4.0803540318457206e-56,2.4729500736557868e-107,2.3260507491438533e-68,2.3216471864631955e-83,5.3160533104443805e-99,1.1554377443964472e-99,2.1518985316786757e-85,3.4480190090673427e-74,2.0396071966336491e-108,3.4480190090838961e-74,6.9332131247659498e-95,1.1602940761171355e-74,3.0118432398407796e-90,1.0652943047174275e-84,3.0252314837250018e-94,1.6634480578391387e-29,4.3315040017504145e-77,1.4737264534056038e-67,1.6744474835059205e-84,2.439285929495432e-100,1.4788745512134197e-104,1.2593064768287704e-116,3.4099064015865239e-119,3.3501127756023128e-130,2.2240271854577417e-48,5.7066016054418902e-49
9.310961273606585e-26,0.29630546502594823,76.950000000000003,0.0,0.0,0.0,0.99999999999999256,9.5,2.9461701833733742e-18,4.014095295108858e-17,4.0136414782012034e-17,1.2031396383364784e-32,1.2032756414247076e-32,7.2919660649325382e-15,5.016408170590622e-28,5.1164949251601234e-33,3.4321507216844757e-48,1.898106447675351e-52,1.8137040334081323e-35,1.9115804233959791e-27,6.8128514199680333e-34,2.9191258157519792e-48,5.6461171054360666e-52,6.3790121683032832e-53,2.3208540924173311e-68,3.3616275194083843e-45,1.2999493907362725e-32,9.9241284651210414e-47,9.9241284651210414e-47,1.0333886592059962e-62,1.8717530922411914e-63,4.3206665190922729e-46,4.2980806409749109e-33,9.5249500390932257e-49,8.626161381919216e-50,2.1935377829019103e-110,1.9222268608075832e-62,1.1578739333028011e-49,1.9575823437165652e-110,2.3473688547036864e-29,2.2854002756175292e-78,2.2854002755525801e-78,2.7855011523305624e-43,8.0024568221376131e-44,4.6571204185653739e-30,2.7851355917468791e-43,9.633469110949958e-58,1.9575823437165646e-110,5.8065398828336689e-65,1.9625205864814223e-58,1.2517106514168754e-79,1.3176617263830054e-95,7.5589000679530693e-51,5.6288077273548144e-112,1.0127038876799745e-35,1.2086487240230986e-75,9.4831807483327469e-111,2.3778991987371712e-50,1.1340109835433227e-127,3.9958495071525593e-116,7.9219266342003261e-132,1.4113593292002958e-74,1.2248336476357969e-49,4.5856230599207968e-75,3.7273972517383173e-50,4.5639363365265529e-66,7.5248360342251204e-39,3.8812980523577951e-66,3.7013310897916592e-67,1.9608653458544277e-54,1.8202107210381576e-52,5.9391733842116412e-81,1.1188142027474448e-53,4.1313962049673482e-55,2.4668003299401118e-88,1.3831762834881125e-64,1.9502978893279558e-47,2.03452306042478e-89,4.5381690765460887e-21,5.2343712013937623e-46,4.8220248250916667e-41,5.2343712013937623e-46,2.6023661412251221e-76,6.1856720851306587e-70,5.2566763988130358e-70,1.3162048032170042e-127,1.032330241413685e-127,5.3854948526779415e-54,1.1994932092609673e-66,2.641978504543673e-68,6.622618704886591e-92,3.6090269326285262e-55,3.5374744541460294e-105,4.1390830276867482e-67,8.2857939004180011e-82,3.7996926218867799e-97,8.2585858644532137e-98,7.6799730088460885e-84,6.135565599625554e-73,2.9175915969537796e-106,6.1355655996846341e-73,4.9555708375584627e-93,2.0646818495395597e-73,1.0749057333386223e-88,3.8019597050078483e-83,1.1251321345307296e-92,7.2647146954652912e-29,1.5458830112772921e-75,2.6224174829330691e-66,5.9759841315065407e-83,1.7434995865766219e-98,1.06992677962106e-102,1.8235069587965451e-114,4.9376289002629686e-117,9.7056581065368667e-128,1.9671268592304174e-47,5.0474244948052482e-48
1.916962615154297e-25,0.2963054650259482,76.950000000000003,0.0,0.0,0.0,0.99999999999998479,9.5,6.065644495180446e-18,8.2643138428710931e-17,8.2633795139435645e-17,5.0228711515430354e-32,5.0234389186803719e-32,1.5012871310149776e-14,2.0942516630285978e-27,2.1360359128496428e-32,2.8849292737605384e-47,1.5956238952589449e-51,7.5718573111259884e-35,7.9804719723167945e-27,2.8442313565881873e-33,2.4537006982762341e-47,4.7459016310176141e-51,5.3619440917755944e-52,3.914854983430946e-67,2.8256504833147198e-44,5.4270328107745186e-32,8.3418279485318151e-46,8.3418279485318151e-46,1.7429610170105987e-61,3.1569851712467135e-62,3.6317805489821536e-45,1.7943640597199255e-32,8.0062944291392843e-48,7.2508084067104085e-49,3.211822500550897e-108,3.2421165593413708e-61,9.732628080788058e-49,2.8663317619777779e-108,9.7998028879016296e-29,7.7218510048904882e-77,7.7218510044512394e-77,2.3413815575678929e-42,6.7265471431988315e-43,1.944256099151377e-29,2.3410742818706384e-42,1.6248253713056812e-56,2.8663317619777768e-108,9.7935782141066889e-64,1.6496168038977114e-57,4.2296877876677646e-78,8.9122945326294132e-94,6.3537109650086425e-50,7.6174057807997606e-110,4.2278393799047823e-35,2.0385627331442568e-74,1.2833487898629455e-108,1.9987675557131179e-49,3.0699078178881569e-125,5.4075407459352577e-114,2.1450375066588319e-129,4.7686641902213777e-73,1.0295464825661838e-48,1.5493783916875944e-73,3.1331019826184447e-49,7.697745710490131e-65,3.1414709175952897e-38,6.5463764677435964e-65,6.2428358808583775e-66,1.6482254741908356e-53,1.5299967869535279e-51,2.0067063098675056e-79,9.4043075101802291e-53,3.4726893072026391e-54,1.6682982576359502e-86,2.3329289713977533e-63,1.6393428902392284e-46,1.3759489309415738e-87,9.3432892752500958e-21,4.3998043892924857e-45,2.0131004427633628e-40,4.3998043892924857e-45,8.7928070270640946e-75,1.0433039434931733e-68,8.866152281204898e-69,3.5631289942969358e-125,3.0332637378598365e-125,4.5268329240822781e-53,2.0222005717304847e-65,4.4560829075771241e-67,4.4788802369829215e-90,3.0336045970601954e-54,4.7867169704726886e-103,6.9811685072871583e-66,2.7995824906534624e-80,2.5697339601053972e-95,5.5852856191780113e-96,2.5948893036272703e-82,1.0348528176683762e-71,3.947925388883187e-104,1.0348528176883375e-71,3.3514549570751594e-91,3.4823895262190792e-72,3.6318653865408601e-87,1.2845962557400262e-81,3.8767953962175318e-91,3.0328753791205823e-28,5.2231893080882647e-74,4.4230903855642236e-65,2.0191499740055426e-81,1.1791296146565251e-96,7.2790164339861353e-101,2.482267608302216e-112,6.7213981445216425e-115,2.642970297434752e-125,1.6534886534671851e-46,4.2426644180222931e-47
3.8886955907415736e-25,0.2963054650259482,76.950000000000003,0.0,0.0,0.0,0.99999999999996914,9.5,1.2304593118794492e-17,1.6764750938395283e-16,1.6762855585428004e-16,2.0520067576550489e-31,2.0522386935426889e-31,3.0454681800567426e-14,8.5557013809574499e-27,8.7264036753412515e-32,2.3652389736604889e-46,1.3082489843392336e-50,3.0933507752153205e-34,3.2602831970777649e-26,1.1619613141501489e-32,2.0116913566008816e-46,3.890976892115876e-50,4.3960457214546547e-51,6.4304769790425053e-66,2.3166389848315467e-43,2.2171199829214965e-31,6.8391345442226338e-45,6.839134544222635e-45,2.8628187042173287e-60,5.1853576236009686e-61,2.9775531169903521e-44,7.3305626705275833e-32,6.5640438929241076e-47,5.9446508072022813e-48,4.3918955938403365e-106,5.3251861842007523e-60,7.9793965212455766e-48,3.9194662325691166e-106,4.0035392393997048e-28,2.5387756662026134e-75,2.5387756659136617e-75,1.9196060612078841e-41,5.5148297488502753e-42,7.9429205601698478e-29,1.9193541380264743e-41,2.6687805514124948e-55,3.9194662325691127e-106,1.6085981624932657e-62,1.3524555218520687e-56,1.390699329870823e-76,5.8631069929216921e-92,5.209156124158928e-49,1.0024597983777104e-107,1.7272103376930274e-34,3.3483454114902401e-73,1.6889025032341844e-106,1.6387104026221462e-48,8.080923147027799e-123,7.1163889157179744e-112,5.647008955732731e-127,1.5678324535439245e-71,8.4408440892836822e-48,5.0940171679281879e-72,2.5687062993991447e-48,1.2643570444295357e-63,1.2833933735095472e-37,1.0752443005782376e-63,1.0253876680370456e-64,1.3513148253301924e-52,1.254383804452828e-50,6.5975709031864264e-78,7.7102194811074436e-52,2.8471235580093167e-53,1.0974623168219671e-84,3.8318428408656574e-62,1.3440323463368456e-45,9.0514516494202346e-86,1.8953529672683246e-20,3.6072254633207978e-44,8.2241721674831977e-40,3.6072254633207978e-44,2.8908825752605958e-73,1.7136296453501705e-67,1.4562679125733187e-67,9.379230020441985e-123,8.3098699016527635e-123,3.7113711308861581e-52,3.3184520023932502e-64,7.3191295563691128e-66,2.9463570192866258e-88,2.4871323313401416e-53,6.2990504019812742e-101,1.1466590236355023e-64,9.2044147168600939e-79,1.690456830824754e-93,3.67418743481519e-94,8.5314283021359995e-81,1.6997488604211544e-70,5.1952478413167571e-102,1.6997488604867832e-70,2.2046990129511221e-89,5.719841189284165e-71,1.1940790980124068e-85,4.2234714358419087e-80,1.2868769835606589e-89,1.2390285526237335e-27,1.7172703678772251e-72,7.2649392399990478e-64,6.6385233503804214e-80,7.7567084471449923e-95,4.8024994745735161e-99,3.2762276096425773e-110,8.8712555137693483e-113,6.9774726010134203e-123,1.3556298976877714e-45,3.4783926208788398e-46
7.832161541916128e-25,0.2963054650259482,76.950000000000003,0.0,0.0,0.0,0.99999999999993794,9.5,2.4782490366022195e-17,3.3765625129442547e-16,3.3761807728395762e-16,8.2945394020930569e-31,8.2954767986112611e-31,6.1338302781335409e-14,3.4583512920745707e-26,3.527351888759244e-31,1.9154312849519355e-45,1.0594779255630481e-49,1.2503818417657655e-33,1.3178585957006738e-25,4.6968334134248292e-32,1.6291186474597033e-45,3.1510139671515604e-49,3.5600318004161096e-50,1.0424332824684304e-64,1.8760743128361048e-42,8.9619534579549002e-31,5.5385084704484516e-44,5.5385084704484585e-44,4.6407524867468427e-59,8.4056881600708922e-60,2.4112997124102983e-43,2.9631306370373587e-31,5.3157329287891182e-46,4.814132349134799e-47,5.8087023584916748e-104,8.6323562824919126e-59,6.4619221827210307e-47,5.1838693026045686e-104,1.618294571648524e-27,8.2344580176220599e-74,8.2344580157472386e-74,1.5545467575115192e-40,4.4660521122278937e-41,3.2106554867883591e-28,1.5543427435876888e-40,4.3262082793935841e-54,5.1838693026045575e-104,2.6076069405983129e-61,1.0952535469681483e-55,4.5108128027672703e-75,3.8042805579873564e-90,4.2185096858322807e-48,1.3010327876643927e-105,6.9816603421279461e-34,5.4278122048781148e-72,2.1919258362601838e-104,1.3270701704785229e-47,2.0976620671624496e-120,9.2359367689283177e-110,1.4659426656306716e-124,5.085226981748639e-70,6.8356143862259299e-47,1.6522322579354126e-70,2.0802049594613755e-47,2.0495772538420101e-62,5.1876812126709386e-37,1.7430173466518296e-62,1.6621975968416652e-63,1.0943297807548202e-51,1.0158325269357415e-49,2.1398801035947563e-76,6.2439356366331693e-51,2.305679418715641e-52,7.120709959844936e-83,6.2115823703534029e-61,1.0884322404441357e-44,5.8728906608629119e-84,3.8174010467650132e-20,2.9212247038235913e-43,3.3243418835350355e-39,2.9212247038235913e-43,9.376508337706966e-72,2.7778668043973567e-66,2.3606721918393812e-66,2.4346791418072788e-120,2.2000511139280479e-120,3.0055645655830799e-51,5.369593513611571e-63,1.1864624413235807e-64,1.9116969622487012e-86,2.0141442451800359e-52,8.1749524403158948e-99,1.8587836902046339e-63,2.9854298502153828e-77,1.096826069327132e-91,2.3839381690244776e-92,2.7671483197628515e-79,2.7553661496742481e-69,6.7424296216267092e-100,2.7553661498871135e-69,1.4304839427615769e-87,9.2721282962037149e-70,3.8729748424923902e-84,1.3698728364554012e-78,4.193794227808941e-88,5.0083515130532253e-27,5.5699252748259432e-71,1.177677957552582e-62,2.1531891358222651e-78,5.0328170952878013e-93,3.1205983105525016e-97,4.2581989663986737e-108,1.1530203534160712e-110,1.8138680315289026e-120,1.0978242382240595e-44,2.8168925278011703e-45
1.5719093444265236e-24,0.2963054650259482,76.950000000000003,0.0,0.0,0.0,0.99999999999987543,9.5,4.9738284860476035e-17,6.7767373511532648e-16,6.7759712014326753e-16,3.3351978128705372e-30,3.3355746350227043e-30,1.2310554474260227e-13,1.3905878441581599e-25,1.4183326806093133e-30,1.5417048372106009e-44,8.5276958551911777e-49,5.0277303919492232e-33,5.2990514517724864e-25,1.8885760581140739e-31,1.3112545345774111e-44,2.5362101720230013e-48,2.865423308741922e-49,1.6788268588291482e-63,1.5100278217434375e-41,3.6035620693400804e-30,4.4578734563636447e-43,4.4578734563636527e-43,7.4737888134062193e-58,1.3537101648816662e-58,1.9408237868716644e-42,1.1914617968282472e-30,4.2785643193521769e-45,3.8748325346037959e-46,7.5572810198371431e-102,1.3902143672401218e-57,5.201117147163868e-46,6.7443560836992581e-102,6.5070912974015247e-27,2.6528403375098489e-72,2.6528403363017206e-72,1.2512344729523402e-39,3.5946672776610419e-40,1.2909904502571134e-27,1.2510702647976708e-39,6.9672250643697901e-53,6.7443560836992303e-102,4.1994705897781798e-60,8.8155534046291844e-55,1.4532364894519081e-73,2.4514945495332355e-88,3.3954235971988547e-47,1.6768726493657577e-103,2.807294917111283e-33,8.7413242350199163e-71,2.825125176792589e-102,1.0681415256947644e-46,5.4074073121231211e-118,1.190399651178508e-107,3.7790489857077284e-122,1.6382736102137692e-68,5.5018971415369186e-46,5.322886305435684e-69,1.6743299251155258e-46,3.3007809822953208e-61,2.0859437993635243e-36,2.8070757025264304e-61,2.6769179870145901e-62,8.8081181209019428e-51,8.176303930999379e-49,6.8937400153698434e-75,5.0256626103137776e-50,1.8558193457745834e-51,4.5885578094940519e-81,1.0003561915015122e-59,8.7606495855627092e-44,3.7844679053367986e-82,7.6614972057986158e-20,2.3512557824276854e-42,1.3367032505744822e-38,2.3512557824276854e-42,3.0207670612831658e-70,4.4736666097460549e-65,3.8017870539839772e-65,6.2761786083497809e-118,5.7271808524076757e-118,2.4191398405840091e-50,8.6162955867845161e-62,1.9107611850422524e-63,1.231890088908651e-84,1.6211585151109141e-51,1.0536382981748549e-96,2.9935138299653285e-62,9.6179599383150726e-76,7.0679045410521083e-90,1.5362004862542706e-90,8.9147369116428838e-78,4.4374322401385717e-68,8.6900592070314494e-98,4.4374322408243482e-68,9.2179829033099111e-86,1.4932538760151901e-68,1.2477355326046719e-82,4.4132278173170937e-77,1.3542815787148953e-86,2.0138361156486248e-26,1.794425621778678e-69,1.8966140448507584e-61,6.9367856166673829e-77,3.2431277662900002e-91,2.0123735939076494e-95,5.4922787285285957e-106,1.4871802011780768e-108,4.6792391408057331e-118,8.8362445546957599e-44,2.2672801704772357e-44
3.149295724896345e-24,0.2963054650259482,76.950000000000003,0.0,0.0,0.0,0.99999999999975053,9.5,9.964987384937748e-17,1.3577087027569513e-15,1.3575552058617071e-15,1.3375634933279709e-29,1.3377145349618634e-29,2.4664002866405924e-13,5.5768792106610384e-25,5.688148414010722e-30,1.2371195948187782e-43,6.8429771564928643e-48,2.0163447579097969e-32,2.125156638019054e-24,7.5740346793226513e-31,1.052196162075326e-43,2.0351489368909234e-47,2.2993217472089368e-48,2.6949050639714789e-62,1.211702228712951e-40,1.4451895630579184e-29,3.577162701667284e-42,3.5771627016672981e-42,1.1997086239832095e-56,2.1730046161972227e-57,1.5573888601357162e-41,4.7782946995745428e-30,3.43327841163046e-44,3.1093090805442236e-45,9.7522708157001878e-100,2.2316019455117064e-56,4.1735689556591631e-45,8.7032342496075627e-100,2.60963464701656e-26,8.5177139699887471e-71,8.5177139622302357e-71,1.004036864542716e-38,2.8844941060651418e-39,5.1774491150851196e-27,1.0039050978401259e-38,1.1183939235836264e-51,8.7032342496074926e-100,6.7410803389979539e-59,7.0739264384261673e-54,4.6660664902535376e-72,1.5743420231999165e-86,2.724613600431577e-46,2.1538229361694038e-101,1.125850821095089e-32,1.4031761338010077e-69,3.6286711490156882e-100,8.571163051633968e-46,1.3891043710290171e-115,1.5289831790145774e-105,9.7081013900770831e-120,5.2601529852511269e-67,4.4149259562824266e-45,1.7090671616207835e-67,1.3435443192891079e-45,5.2984844890744251e-60,8.3655675966098516e-36,4.5059781759652578e-60,4.2970462170579676e-61,7.067960076111851e-50,6.5609689788236479e-48,2.2133270346090729e-73,4.0327777393246881e-49,1.4891909244041249e-50,2.9467387291000382e-79,1.6057932328297322e-58,7.0298695656856332e-43,2.4303579923630016e-80,1.5349689524026726e-19,1.8867346884571218e-41,5.3607778914832724e-38,1.8867346884571218e-41,9.6990495214554383e-69,7.1812184789424868e-64,6.1027014083017415e-64,1.6122823072460127e-115,1.4784516774483206e-115,1.9412073699552743e-49,1.3731738770167412e-60,3.0671948714086209e-62,7.911109297745251e-83,1.3008776113808715e-50,1.3533144228959701e-94,4.80525266040065e-61,3.0881252292962674e-74,4.5389573171833818e-88,9.8653687202314915e-89,2.8623350633508448e-76,7.1230614861549952e-67,1.1161688485592504e-95,7.1230614883568756e-67,5.919722133449957e-84,2.3970230761245326e-67,4.0062498516273336e-81,1.4169948983679613e-75,4.3534665775539155e-85,8.0763835322044209e-26,5.7615243463383275e-68,3.0444855786390726e-60,2.227256383202154e-75,2.0827132596396665e-89,1.2928043362012529e-93,7.0569939693949381e-104,1.9108683927867104e-106,1.2024829001061933e-115,7.0905297678456678e-43,1.819349548476745e-43
