Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418)
0.0,0.31430561013854597,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.77331642923315e-25,0.31430561013854597,76.950000000000003,0.0,0.0,0.0,0.99999999999999956,9.5,2.2838902512331159e-18,2.5293508104109897e-17,2.5293508104109934e-17,8.5218065408806111e-32,8.5218062943195495e-32,4.1378165829323503e-16,3.3523947315977773e-28,4.2536612959663277e-32,1.2941464948959751e-46,3.8917566980586634e-51,1.2681241304114979e-49,8.4066386456583415e-28,1.276970081172161e-33,1.2919463531715903e-46,7.5254239267717538e-51,5.792512677600496e-67,2.2955157461656404e-67,1.9199840048458501e-45,5.6928239459410513e-33,1.8349333677682723e-46,1.8349333677682758e-46,3.0858451959078341e-61,4.8446940288116716e-62,2.1523983791839576e-48,1.3517564637583715e-34,4.5465533114144224e-49,3.5689832575984696e-50,2.3495909769163608e-108,2.1091363699202022e-62,6.8563220411505588e-52,2.1436772869371165e-108,9.806499697908167e-30,3.5530168519819549e-77,3.5530168503472444e-77,3.0126159396056645e-43,8.8810379180066917e-44,3.7181556604661657e-31,3.0124033108722471e-43,5.5336862032243156e-57,2.1436772869371161e-108,4.98324049856659e-66,2.2955157462329721e-67,6.7331903715266756e-78,6.5978665151409163e-93,3.0873070542479912e-52,4.4114249575527879e-108,6.8343119309032626e-37,1.3199542042077388e-83,8.7256285766528535e-108,1.1648926541511633e-50,1.7446299917331212e-123,4.7000534959623395e-113,2.0146189125721599e-127,1.0266913556734136e-73,1.1065527967481448e-50,9.5028604412839812e-75,1.2554407141990401e-50,2.1148950247882071e-65,3.9957269819994236e-40,2.1113004781105545e-65,1.6573425058550137e-66,1.3462273477692484e-54,1.2939072468959091e-53
2.456528600185282e-24,0.31430561013854597,76.950000000000003,0.0,0.0,0.0,0.99999999999999867,9.5,6.3948927034527198e-18,7.0821822691507204e-17,7.0821822691507425e-17,5.1471711506910821e-31,5.1471708579737951e-31,1.1585886432171619e-15,2.0248464178793759e-27,2.5692114227576562e-31,1.5364103582074432e-45,4.6202935519595851e-50,1.9163891858929584e-48,5.0776097419633914e-27,7.7128992902798036e-33,1.533797755532608e-45,8.9341832828840212e-50,1.63358125529858e-65,5.1349769034413046e-66,2.2794050105471199e-44,3.4384656633482731e-32,2.1784328942144188e-45,2.1784328942144269e-45,6.9029122693633927e-60,1.0837386754656199e-60,2.5553273557520144e-47,8.1646090411008941e-34,5.3976680912501772e-48,4.2370969234048421e-49,2.5036715141640974e-106,4.7180536940391284e-61,8.1398255272590513e-51,2.284254498588889e-106,5.9231258175199143e-29,1.4661623520848412e-75,1.4661623508542716e-75,3.5765776434846733e-42,1.0543568216212302e-42,2.2457660189112257e-30,3.5763252106523967e-42,1.2378634689114564e-55,2.2842544985888881e-106,1.1147309665678715e-64,5.1349769037191516e-66,2.7784698596899912e-76,4.9667092297554353e-91,3.6652509348026245e-51,6.0215733274434309e-106,4.127924406265331e-36,5.4468279824076981e-82,1.1910440007008685e-105,1.3829605590069913e-49,4.3039867139587583e-121,6.4155498602532696e-111,4.9700469867755119e-125,4.2366706265275683e-72,1.3136994801562766e-49,3.9213819690894883e-73,1.490459215897017e-49,4.7309355745803337e-64,2.4134190971275553e-39,4.7228947174753589e-64,3.707408891896384e-65,1.5982411072713732e-53,1.5361266835004723e-52
5.614922514709216e-24,0.31430561013854597,76.950000000000003,0.0,0.0,0.0,0.999999999999997,9.5,1.4616897607891916e-17,1.6187845186629989e-16,1.6187845186630095e-16,2.4781413420868693e-30,2.4781410546953183e-30,2.6482026130494284e-15,9.7487638794011013e-27,1.2369647048580001e-30,1.508456036798817e-44,4.5362316073298498e-49,2.0615640363884588e-47,2.4446505181360721e-26,3.7134289960485716e-32,1.5058897089072955e-44,8.7716341198090119e-49,3.5533960491299518e-64,1.0145849043140043e-64,2.2379333560301133e-43,1.6554732034794765e-31,2.1387983334704695e-44,2.1387983334704855e-44,1.3638991403734458e-58,2.1412849971191011e-59,2.5088355507297609e-46,3.9309077966098297e-33,5.2994625395954594e-47,4.1600068850069764e-48,5.6977705789961727e-104,9.3220790392993427e-60,7.9917289711802772e-50,5.1984287888281327e-104,2.8517301121267636e-28,5.7999924574965567e-74,5.7999924477668167e-74,3.5115051391573245e-41,1.0351737797088336e-41,1.0812396660480519e-29,3.5112572991057688e-41,2.4458096167122531e-54,5.1984287888281284e-104,2.2025205417063589e-63,1.0145849044239174e-64,1.0991350455872643e-74,3.9270276429266219e-89,3.5985651024296209e-50,9.5126100440254477e-104,1.9874179095063109e-35,2.1547109831659637e-80,1.8815576109167452e-103,1.3577988776746598e-48,1.3586406419165497e-118,1.0134996407869945e-108,1.5688960671387526e-122,1.6759847677118485e-70,1.2897979394459642e-48,1.5512597102598373e-71,1.4633416964701416e-48,9.3475314642399719e-63,1.1619574063652878e-38,9.3316440857351833e-63,7.3252152185517193e-64,1.5691625965589725e-52,1.5081782869373849e-51
1.1931710343757084e-23,0.3143056101385459,76.950000000000003,0.0,0.0,0.0,0.99999999999999367,9.5,3.1060907416770253e-17,3.4399171021587739e-16,3.4399171021588207e-16,1.0822694306905854e-29,1.0822691764960409e-29,5.6274305526516162e-15,4.2575413090410986e-26,5.4021498457841562e-30,1.3342109233112137e-43,4.0122454855809205e-48,1.8949325257327008e-46,1.0676431079765224e-25,1.6217520030885703e-31,1.3319387955480793e-43,7.7584110321487159e-48,6.5873974129745559e-63,1.805399628004143e-63,1.9794267095976356e-42,7.2298864113432616e-31,1.8917429048338973e-43,1.8917429048339252e-43,2.4269856473277556e-57,3.810302243901903e-58,2.2190366329046654e-45,1.7167307089736278e-32,4.6873146015384974e-46,3.6794789791491259e-47,9.6289803888748227e-102,1.6588141573389505e-58,7.0685937715759361e-49,8.7851148386195984e-102,1.2454254616085735e-27,2.069976108283423e-72,2.0699761013290111e-72,3.1058865289970729e-40,9.1559948516536136e-41,4.7220576886317658e-29,3.1056673172783115e-40,4.352187533755561e-53,8.7851148386195841e-102,3.9192676237527757e-62,1.8053996283964153e-63,3.9227349051024207e-73,2.806875154953195e-87,3.1828900806436377e-49,1.3607478524773822e-101,8.679576152243445e-35,7.6900104485914827e-79,2.6915068172861737e-101,1.2009577307154177e-47,3.8882552650591918e-116,1.4497781928621854e-106,4.4899793258949714e-120,5.9814705895997928e-69,1.1408116704037537e-47,5.5363357188605467e-70,1.2943091587100982e-47,1.6633432802844649e-61,5.0745732671377747e-38,1.6605162062135013e-61,1.3034829096649169e-62,1.3879065464543718e-51,1.3339666151663851e-50
2.456528600185282e-23,0.31430561013854597,76.950000000000003,0.0,0.0,0.0,0.9999999999999869,9.5,6.3948927034526699e-17,7.0821822691500089e-16,7.0821822691502061e-16,4.5182618279636292e-29,4.5182596913057938e-29,1.158588643160661e-14,1.7774396866138697e-25,2.2552912190375741e-29,1.1214823878916739e-42,3.3725340867014834e-47,1.6211546710961911e-45,4.4571998097292689e-25,6.7704953703741263e-31,1.1195687596737538e-42,6.5214119329678832e-47,1.1322053066580976e-61,3.0450703548487478e-62,1.6638274187859536e-41,3.0183352561362617e-30,1.5901238975732293e-42,1.5901238975732767e-42,4.0934660295087805e-56,6.4266316596453662e-57,1.8652339968474492e-44,7.1670127708513214e-32,3.9399703540978945e-45,3.092823787112943e-46,1.4098948334239443e-99,2.7978325336348047e-57,5.9415789797648776e-48,1.2863343284318064e-99,5.1994061395990336e-27,6.9939814178334122e-71,6.9939813708006924e-71,2.6106847712280155e-39,7.6961653626034883e-40,1.9713661310349239e-28,2.6105005105701363e-39,7.3406004045203972e-52,1.2863343284318026e-99,6.6104176996825144e-61,3.0450703561741479e-62,1.3254034659657599e-71,1.8982910261406475e-85,2.6754108962914078e-48,1.8412895757414486e-99,3.6235521857615817e-34,2.5982807277660353e-77,3.6419998287599107e-99,1.0094773357899359e-46,1.0524862546485627e-113,1.9617605639638042e-104,1.2153629847423068e-117,2.0210037241657465e-67,9.5892094712680028e-47,1.8706027118985121e-68,1.0879448358724738e-46,2.8054715611999673e-60,2.1185344458547507e-37,2.8007032877275297e-60,2.1985144482117627e-61,1.1666190799359773e-50,1.1212793174745517e-49
4.9832437318044297e-23,0.31430561013854597,76.950000000000003,0.0,0.0,0.0,0.99999999999997347,9.5,1.2972496627003868e-16,1.4366712603131223e-15,1.4366712603132025e-15,1.8458573839713621e-28,1.8458556322109551e-28,2.3502798188519062e-14,7.2614210837588799e-25,9.2136005128056293e-29,9.1945527088739726e-42,2.7650072044421015e-46,1.3404020323627589e-44,1.820911557035875e-24,2.7659682746215794e-30,9.1788018392035339e-42,5.3466474787885555e-46,1.8765472641061089e-60,5.001537199847282e-61,1.3641062420781988e-40,1.2330884379851891e-29,1.303679642469115e-41,1.303679642469193e-41,6.7235302440984783e-55,1.0555761798345318e-55,1.529231523149176e-43,2.9279585707629292e-31,3.2302257386373548e-44,2.5356838010507691e-45,1.9279119271456159e-97,4.5954483375590691e-56,4.8712654227424534e-47,1.7589533880751797e-97,2.1241270603693773e-26,2.2994680616629513e-69,2.299468030723257e-69,2.1403971062252052e-38,6.3097813465180086e-39,8.053673885574927e-28,2.1402460382057036e-38,1.2056958206008812e-50,1.7589533880751686e-97,1.0857630921651135e-59,5.0015372042049095e-61,4.3576366134600723e-70,1.2487592415203914e-83,2.1934634942914749e-47,2.4230335551079113e-97,1.4803393014785521e-33,8.5425785634031686e-76,4.7926670030899453e-97,8.2763050991910504e-46,2.7703168820104117e-111,2.5815666037365452e-102,3.1990352176544894e-115,6.6446180751375769e-66,7.8618132653013484e-46,6.1501324526294832e-67,8.9196290730577058e-46,4.607995462376637e-59,8.6549044720786614e-37,4.6001635594123862e-59,3.6110665828954338e-60,9.564648058846212e-50,9.1929252915939444e-49
1.0036673995042724e-22,0.3143056101385459,76.950000000000003,0.0,0.0,0.0,0.9999999999999466,9.5,2.6127704474105904e-16,2.8935773271088623e-15,2.8935773271091861e-15,7.4612506731764439e-28,7.4612364869791099e-28,4.7336621698353852e-14,2.9351825019088784e-24,3.7242846397772913e-28,7.4459264661759262e-41,2.2391745221940766e-45,1.0899926722789836e-43,7.3604156515444283e-24,1.118048600629657e-29,7.4330709281960786e-41,4.3298536993551171e-45,3.0554707575377859e-59,8.107707326097303e-60,1.1046886015786561e-39,4.9843406202090614e-29,1.0557535746474952e-40,1.0557535746476212e-40,1.0899132258125155e-53,1.7111344751863837e-54,1.2384113351952557e-42,1.1835276683337933e-30,2.6159205513787274e-43,2.0534624838624608e-44,2.5498480824223036e-95,7.4494197855188995e-55,3.9448770355016112e-46,2.3263842401218363e-95,8.5860611958891711e-26,7.4582694791388352e-68,7.4582692783915479e-68,1.7333490699081275e-37,5.1098245257771798e-38,3.2554237512052892e-27,1.7332267311098609e-37,1.9544848818755528e-49,2.3263842401218064e-95,1.7600687611337972e-58,8.1077073402311641e-60,1.4133889892361689e-68,8.1023760234292949e-82,1.776323607048663e-46,3.1446301897310561e-95,5.9837681424553099e-33,2.7707648807305762e-74,6.2199573404575501e-95,6.7023664468112152e-45,7.1910586110094961e-109,3.3503755125242605e-100,8.303905557713198e-113,2.1551659450628159e-64,6.3667001894171351e-45,1.9947807187167364e-65,7.2233468803485092e-45,7.4697592126330247e-58,3.4984507676262786e-36,7.457063362154658e-58,5.8536945422379997e-59,7.7456999782537487e-49,7.4446692413999758e-48
2.0143534521519313e-22,0.31430561013854597,76.950000000000003,0.0,0.0,0.0,0.99999999999989286,9.5,5.2438120168308536e-16,5.8073894606983312e-15,5.8073894606996344e-15,3.0001360798795159e-27,3.0001246616140276e-27,9.5004268702062894e-14,1.180223974390115e-23,1.497518473416899e-27,5.9930316856606745e-40,1.8022824598607686e-44,8.791185785268229e-43,2.9595907606356635e-23,4.4956242495660578e-29,5.9825233446498054e-40,3.4850428652450532e-44,4.9315421248532641e-58,1.3057212683550828e-58,8.8914949212757732e-39,2.0041814414548135e-28,8.4976232535947414e-40,8.4976232535967724e-40,1.7552716486831371e-52,2.7557293203359312e-53,9.9678118150486976e-42,4.7589127009448522e-30,2.1055204380398598e-42,1.6528052537755754e-43,3.3174222618776909e-93,1.1997060908616031e-53,3.1751802348460543e-45,3.0266896765601331e-93,3.4524174433374731e-25,2.4027808222902494e-66,2.4027806929294865e-66,1.3951501290117513e-36,4.1128313218058663e-37,1.3089915720749607e-26,1.3950516601046827e-36,3.1476376479517642e-48,3.0266896765600535e-93,2.834536479993779e-57,1.3057212729084948e-58,4.5534208937625065e-67,5.2211395965219506e-80,1.4297397755978079e-45,4.0529933612964881e-93,2.406046852503416e-32,8.9263881474661992e-73,8.0166646910738357e-93,5.3946476087522132e-44,1.8537059300051026e-106,4.3181706352622895e-98,2.1405748183924635e-110,6.9431541701508625e-63,5.1244741640494758e-44,6.4264517994073966e-64,5.8139779862578723e-44,1.2029816919588929e-56,1.40671166691324e-35,1.2009370649345088e-56,9.4271946007384454e-58,6.2344132030916501e-48,5.9921174731754195e-47
4.035725557447249e-22,0.31430561013854597,76.950000000000003,0.0,0.0,0.0,0.99999999999978539,9.5,1.0505895155670804e-15,1.163501372786923e-14,1.1635013727874452e-14,1.2031887523717249e-26,1.2031795899653429e-26,1.9033956264563894e-13,4.7332260035673571e-23,6.0057188579951565e-27,4.8088736862932253e-39,1.446218171245725e-43,7.0615585181614163e-42,1.1869282654927733e-22,1.8029463957834419e-28,4.8001829266632809e-39,2.7965272894249951e-43,7.9248558149295113e-57,2.0959718034310662e-57,7.1348647049776916e-38,8.0376639722538347e-28,6.8188074993580853e-39,6.8188074993613453e-39,2.8175997258814105e-51,4.4235558591484292e-52,7.9985412241119255e-41,1.9085368406617589e-29,1.6895475478265654e-41,1.3262721254168916e-42,4.2809576913555481e-91,1.9257939696434674e-52,2.5478821728040044e-44,3.9057826913151448e-91,1.384573807392704e-24,7.7148250630069996e-65,7.7148242322616045e-65,1.1195201143857798e-35,3.3002881167116596e-36,5.249641661514947e-26,1.1194410992908351e-35,5.0526555186684745e-47,3.9057826913149404e-91,4.5500588057981973e-56,2.0959718180511171e-57,1.4620079510337279e-65,3.3529781808584802e-78,1.1472761280253554e-44,5.2057469495879915e-91,9.6493240092192916e-32,2.8660760327001056e-71,1.0296766868708244e-90,4.328864962432023e-43,4.7619394299849692e-104,5.5463460511352566e-96,5.4988698440197681e-108,2.2293011916468573e-61,4.1120677262837086e-43,2.0633988967176741e-62,4.6653511823915123e-43,1.9310520318343148e-55,5.6415429514619972e-35,1.9277699544287015e-55,1.5132735142251911e-56,5.0027239657307473e-47,4.8082968956038966e-46
