Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302)
0.0,0.26163470787898424,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.7264423658306695e-26,0.26163470787898424,76.950000000000003,0.0,0.0,0.0,0.99999999999999967,9.5,3.9612672571944816e-19,5.6922207715003839e-18,5.6922207715003846e-18,1.3248047992438978e-33,1.3248047963248241e-33,2.448163399958653e-16,1.1478634825585265e-29,6.1386819289013177e-34,1.7990680199951892e-49,8.192096682601944e-54,4.4676720356811153e-53,3.4912746379043949e-29,3.632077107412568e-35,1.6672502753682064e-49,1.982114754548836e-53,3.5395285901653991e-71,0.0,1.3829871909004191e-47
1.3234038624325874e-25,0.26163470787898424,76.950000000000003,0.0,0.0,0.0,0.99999999999999933,9.5,1.1091548320144546e-18,1.593821816020106e-17,1.5938218160201063e-17,8.0018209874330028e-33,8.0018209527777615e-33,6.8548575198827066e-16,6.9330954346522165e-29,3.7077638850557498e-33,2.1358534972928659e-48,9.7256571815853856e-53,6.7515459803579347e-52,2.1087298812938636e-28,2.1937745728771889e-34,1.9793593939219108e-48,2.3531666365470358e-52,9.9820369488930858e-70,0.0,1.6418823930366974e-46
3.0249231141316283e-25,0.26163470787898424,76.950000000000003,0.0,0.0,0.0,0.99999999999999845,9.5,2.5352110446044661e-18,3.6430212937602345e-17,3.6430212937602363e-17,3.8525323562010441e-32,3.8525323221763219e-32,1.5668245759724719e-15,3.3379870072782671e-28,1.7851287049235329e-32,2.0969935103655917e-47,9.548707893241867e-52,7.2630050751070904e-51,1.0152626647020115e-27,1.0562080228355709e-33,1.9433465086840443e-47,2.3103529577367605e-51,2.1713110713747742e-68,0.0,1.6120098697126603e-45
6.4279616175297105e-25,0.26163470787898424,76.950000000000003,0.0,0.0,0.0,0.99999999999999656,9.5,5.3873234697844841e-18,7.7414202492404692e-17,7.7414202492404753e-17,1.6825020950395328e-31,1.6825020649450522e-31,3.3295022239384375e-15,1.4577866228473361e-27,7.7961260496946434e-32,1.854766801038599e-46,8.4457239958974378e-51,6.6759529697990785e-50,4.433918790132521e-27,4.612737926413922e-33,1.7188674780950625e-46,2.0434810270024061e-50,4.0252447901537339e-67,0.0,1.4258044743288724e-44
1.3234038624325874e-24,0.26163470787898424,76.950000000000003,0.0,0.0,0.0,0.99999999999999289,9.5,1.1091548320144498e-17,1.5938218160200834e-16,1.5938218160200868e-16,7.0241150455891885e-31,7.0241147926269526e-31,6.8548575198606185e-15,6.0859721845073731e-27,3.2547291586944518e-31,1.5590428990872793e-45,7.0991399115997675e-50,5.7114183189552345e-49,1.8510738130114556e-26,1.9257272823501077e-32,1.4448108418246398e-45,1.7176689318259166e-49,6.9183673401724722e-66,0.0,1.1984745718359405e-43
2.6846192637918203e-24,0.26163470787898424,76.950000000000003,0.0,0.0,0.0,0.99999999999998546,9.5,2.249999802086444e-17,3.2331813982121166e-16,3.2331813982121294e-16,2.8695801873525948e-30,2.8695799799588757e-30,1.390556811166598e-14,2.4863182177458854e-26,1.3296630605200973e-30,1.2781969794664028e-44,5.8203038115004325e-49,4.7223111146592401e-48,7.5622405166402501e-26,7.8672242977396108e-32,1.1845418373974749e-44,1.4082487669421131e-48,1.1466686498565134e-64,0.0,9.8258186277194797e-43
5.4070500665102864e-24,0.26163470787898424,76.950000000000003,0.0,0.0,0.0,0.99999999999997069,9.5,4.5316897422303992e-17,6.5119005625960204e-16,6.5119005625960737e-16,1.1599301923670324e-29,1.159930024414233e-29,2.8006989295120695e-14,1.005009576414661e-25,5.3747106854228151e-30,1.0351161098198955e-43,4.7134329281251361e-48,3.840104973170892e-47,3.0567785266299247e-25,3.1800578472406048e-31,9.5927045199061658e-44,1.1404363618864614e-47,1.8670526422617304e-63,0.0,7.9572026762312972e-42
1.0851911671947218e-23,0.26163470787898424,76.950000000000003,0.0,0.0,0.0,0.99999999999994116,9.5,9.0950696225181723e-17,1.3069338891363184e-15,1.3069338891363399e-15,4.6640282879190463e-29,4.6640269360889866e-29,5.6209831661406119e-14,4.041099304785271e-25,2.1611475277464249e-29,8.3314997918735388e-43,3.7937808799610379e-47,3.0971837796515715e-46,1.229117201341977e-24,1.2786872739728176e-30,7.721007097156888e-43,9.1792239832156343e-47,3.0134304933490408e-62,0.0,6.4046489747423883e-41
2.174163488282108e-23,0.26163470787898424,76.950000000000003,0.0,0.0,0.0,0.99999999999988198,9.5,1.822182938309318e-16,2.618421554889493e-15,2.6184215548895798e-15,1.8704839472147501e-28,1.8704828624565566e-28,1.1261551639148089e-13,1.6206615637618698e-24,8.6671681829133892e-29,6.685479504514657e-42,3.0442702322084274e-46,2.4878264461975885e-45,4.9293097133611519e-24,5.1281078754914964e-30,6.1955640934077839e-42,7.3657491359927969e-46,4.8425019094241724e-61,0.0,5.1393274514053055e-40
