Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45)
0.0,0.3761248989123054,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.8315280148401657e-23,0.3761248989123054,76.950000000000003,0.0,0.0,0.0,0.99999999999999956,9.5,1.0484876607452122e-17,8.5428689458315955e-17,8.542868945831842e-17,4.6204957469848179e-30,4.6204940278826932e-30,3.8443978121880487e-16,5.9260322542667924e-27,2.5361449921833763e-30,7.6317758783332216e-44,1.493176083071156e-48,9.2000705048167434e-48,1.164285656382332e-26,3.2728477845617605e-32,8.3779838114035354e-44,2.0364665061335926e-48,1.9292320804569146e-64,2.0362966937211065e-64,1.2207391442994352e-43,6.7157935865680328e-32,2.0813530417149505e-44,2.0813530417150212e-44,6.1789699997972478e-58,8.9928159879079373e-59,7.9632034392534939e-48,1.2491765841494598e-33,7.4169297406076459e-47,5.3972655923644025e-48,5.2736705386966694e-103,2.1501472516366614e-59,2.4901499121146646e-50,4.8764183537908309e-103,1.3111451296071851e-28,5.8146427443614387e-73,5.8146426925701212e-73,2.8990703077287687e-41,8.654561514043264e-42,1.8806261210493272e-30,2.8989370663781383e-41,5.6402916274951432e-54,4.876418353790827e-103,3.0408212926367684e-63,2.0362966943377627e-64,6.1665784382968312e-74,8.7506715553321595e-88,1.30975375842567e-50,9.8291460335751937e-102,2.5822374110950002e-36,1.5912667687221916e-79,6.5019564973698226e-102,5.7591762964695783e-49,2.26788220090519e-116,3.6787447658364332e-107,3.1764223100791038e-120,4.5696771089647638e-70,1.9188540171645568e-49,1.972138493094981e-71,5.0241077044838488e-49,1.3586693430290545e-62,1.3221033256353902e-39
5.128278441552464e-23,0.3761248989123054,76.950000000000003,0.0,0.0,0.0,0.99999999999999845,9.5,2.9357654500865914e-17,2.3920033048326118e-16,2.3920033048327607e-16,2.7907794311752324e-29,2.7907773902578591e-29,1.0764313873543719e-15,3.5793234814154315e-26,1.5318315752305242e-29,9.060427815876573e-43,1.7726986458466517e-47,1.3903146555065159e-46,7.0322853642315737e-26,1.9768000618751406e-31,9.9462920478506886e-43,2.4176930234707267e-47,5.4407431471104303e-63,4.5551142508814753e-63,1.4492615120522447e-42,4.0563393262856418e-31,2.4709823311231057e-43,2.4709823311232638e-43,1.3822108728455963e-56,2.011656965146284e-57,9.4539151221772052e-47,7.5450265682625306e-33,8.8053789865159916e-46,6.4076337109500872e-47,5.6195051958127983e-101,4.8097933958011276e-58,2.956305975665749e-49,5.1962021660263479e-101,7.9193165824696136e-28,2.3994286003537426e-71,2.3994285613665319e-71,3.4417762690844229e-40,1.02746954287169e-40,1.1358981770235737e-29,3.4416180849532048e-40,1.2617106758162168e-52,5.1962021660263416e-101,6.8021955987763872e-62,4.5551142534261245e-63,2.5446558583805071e-72,6.5872871285534608e-86,1.5549396619939469e-49,1.3416735894682847e-99,1.5596713963004968e-35,6.5664068766865069e-78,8.8751385752101673e-100,6.8372940991055996e-48,5.5948452713183331e-114,5.0214684759941366e-105,7.8362056611445543e-118,1.8856900539819741e-68,2.2780634870908475e-48,8.138084711077104e-70,5.9646206667599875e-48,3.0392889730766528e-61,7.9855040868371565e-39
1.172177929497706e-22,0.3761248989123054,76.950000000000003,0.0,0.0,0.0,0.99999999999999645,9.5,6.7103210287693403e-17,5.4674361253305744e-16,5.4674361253312932e-16,1.3436401632177881e-28,1.343638159434431e-28,2.4604145993923795e-15,1.7232901792982161e-25,7.3751096365457247e-29,8.8955467926511545e-42,1.7404460425009563e-46,1.4956370650053379e-45,3.3857426882832519e-25,9.5174413575031574e-31,9.7652218997836129e-42,2.3737053204549829e-46,1.1834804769504497e-61,9.0001381525480161e-62,1.4228935464092815e-41,1.9529527749718093e-30,2.4260251054202088e-42,2.4260251054205217e-42,2.7310157612993795e-55,3.9746951695710322e-56,9.2819099259897761e-46,3.632605506706298e-32,8.645173300898675e-45,6.2910527735146356e-46,1.2788679022803776e-98,9.5033412296436609e-57,2.9025187375702172e-48,1.1825340367765212e-98,3.8128100363610173e-27,9.4919008490391074e-70,9.491900540778966e-70,3.3791563499100207e-39,1.0087756898427514e-39,5.4688607586581408e-29,3.3790010437925011e-39,2.4929276785994174e-51,1.1825340367765183e-98,1.3439992235183424e-60,9.0001381626143963e-62,1.0066405513824772e-70,5.2083698555114335e-84,1.5266489807930287e-48,2.1195154427027886e-97,7.5091463914510056e-35,2.5976052599911518e-76,1.4020543755172353e-97,6.7128958909693806e-47,1.7661263085624576e-111,7.9326894903640925e-103,2.4736571445233874e-115,7.459602327505767e-67,2.2366162359375736e-47,3.2193453809620285e-68,5.8560999403363367e-47,6.0051228446176101e-60,3.8446764709468144e-38
2.4908781001826254e-22,0.3761248989123054,76.950000000000003,0.0,0.0,0.0,0.99999999999999234,9.5,1.42594321861348e-16,1.1618301766322739e-15,1.1618301766325876e-15,5.8680295986149488e-28,5.8680118754033789e-28,5.2283810225358886e-15,7.5260609604122999e-25,3.2209041393252357e-28,7.8679482009676844e-41,1.5394048147543939e-45,1.3747481426592203e-44,1.4786427831131058e-24,4.1565166863909127e-30,8.6370385325173749e-41,2.0995154270653906e-45,2.1939733561554136e-60,1.6015264949781416e-60,1.2585332278160509e-40,8.5290578549189382e-30,2.1457917318806989e-41,2.1457917318812551e-41,4.8596966260790135e-54,7.0727576857930696e-55,8.2097442118441749e-45,1.586454261869462e-31,7.64655787539426e-44,5.5643649331188157e-45,2.1612302180759474e-96,1.6910687953175648e-55,2.5672449534128967e-47,1.9984302441462384e-96,1.6651543140465582e-26,3.3875919344191504e-68,3.3875917140877068e-68,2.9888255228209239e-38,8.9225067336012872e-39,2.3883951723342327e-28,2.9886881563197049e-38,4.4360316060934007e-50,1.998430244146228e-96,2.3915748086462271e-59,1.6015264985707609e-60,3.592628621783252e-69,3.7227249870646734e-82,1.3503037347278638e-47,3.0318977345249511e-95,3.2794415120769555e-34,9.2706686638595951e-75,2.005593070554451e-95,5.9374803941976039e-46,5.054426976207272e-109,1.1347453678521794e-100,7.0792894830658399e-113,2.6622790838561643e-65,1.9782617239501616e-46,1.1489614989024103e-66,5.1796540789935909e-46,1.0685795241697859e-58,1.6790712235560162e-37
5.128278441552464e-22,0.3761248989123054,76.950000000000003,0.0,0.0,0.0,0.99999999999998423,9.5,2.9357654500865579e-16,2.3920033048292026e-15,2.3920033048305125e-15,2.4497868450011586e-27,2.4497719476164916e-27,1.0764313865092881e-14,3.1419822989563795e-24,1.3446640741827393e-27,6.6133799102069511e-40,1.2939625030448364e-44,1.1761259869364814e-43,6.1730425457070208e-24,1.7352638953723744e-29,7.2596322838436974e-40,1.7647691418018744e-44,3.7708796597855267e-59,2.7012085120289589e-59,1.0578730099143865e-39,3.5607137595781566e-29,1.8036672442910833e-40,1.8036672442920227e-40,8.196588656123758e-53,1.19292396086635e-53,6.9007846785184312e-44,6.6231342491572219e-31,6.4273926242234117e-43,4.6771840024917822e-44,3.164517109009145e-94,2.8522346939664633e-54,2.1579240714743413e-46,2.926142086053742e-94,6.9516914721861921e-26,1.1445907126891717e-66,1.1445905636789291e-66,2.512287940586239e-37,7.4999045261652686e-38,9.9710796812178202e-28,2.5121724757665962e-37,7.4820156830990115e-49,2.9261420860537117e-94,4.0337404746988466e-58,2.7012085241676077e-59,1.2138680112784169e-67,2.5176807061409423e-80,1.1350116508851089e-46,4.1025981943997135e-93,1.3691022753502441e-33,3.132349414274031e-73,2.7138588535774332e-93,4.9908100309547191e-45,1.3681496056171132e-106,1.535475372095684e-98,1.9162463244886433e-110,8.9952393137880446e-64,1.6628481649619912e-45,3.8820812241608789e-65,4.3538113509441918e-45,1.802315551741127e-57,7.0097918325104747e-37
1.040307912429214e-21,0.3761248989123054,76.950000000000003,0.0,0.0,0.0,0.99999999999996791,9.5,5.9554099130326569e-16,4.8523495612170429e-15,4.8523495612223945e-15,1.0008178607374041e-26,1.0008056470311892e-26,2.1836179535286766e-14,1.2836022884932306e-23,5.4933914931717732e-27,5.4218768342719648e-39,1.0608686381562298e-43,9.7244372241056767e-43,2.521889299397872e-23,7.0891192152529319e-29,5.9513620511306714e-39,1.4468642342135067e-43,6.2499565697534499e-58,4.4367430732227109e-58,8.6730820689881048e-39,1.4546677540078679e-28,1.4787553798455885e-39,1.478755379847131e-39,1.3462921441239687e-51,1.9593811863964274e-52,5.6576801978955155e-43,2.7057664483283547e-30,5.2695647841037722e-42,3.8346380256276568e-43,4.3272094722427787e-92,4.6848040457931846e-53,1.7691965301055149e-45,4.0012517915786631e-92,2.8399927923085472e-25,3.7631635882044979e-65,3.763162607965607e-65,2.0597254371256947e-36,6.1488748478448295e-37,4.0735113925817784e-27,2.0596307720930595e-36,1.2289233211504486e-47,4.0012517915785786e-92,6.6254308422382281e-57,4.4367431131319312e-58,3.9909324256496482e-66,1.6562144548062253e-78,9.3055112581749484e-46,5.3987885344371979e-91,5.5932295218238664e-33,1.0298479558833755e-71,3.571285650849912e-91,4.0917675947623867e-44,3.6011947123753233e-104,2.0205992539725791e-96,5.0438753954997356e-108,2.9574378786117884e-62,1.3633033689962031e-44,1.2763433700413491e-63,3.5695175916726537e-44,2.9603086970833354e-56,2.8637286874522006e-36
2.0952680489771496e-21,0.3761248989123054,76.950000000000003,0.0,0.0,0.0,0.99999999999993527,9.5,1.1994698838924627e-15,9.773042073968657e-15,9.773042073990286e-15,4.045465809931506e-26,4.0453669013024425e-26,4.3979910815994132e-14,5.1885256724477081e-23,2.2205166709298417e-26,4.3904985515111219e-38,8.5911892844204766e-43,7.90775105242424e-42,1.0193879747874931e-22,2.8655353320616708e-28,4.8187202384338094e-38,1.1717079570192617e-42,1.0176434328792341e-56,7.1921516523113683e-57,7.0236867141943118e-38,5.8799996429916914e-28,1.1975344459063644e-38,1.1975344459088646e-38,2.1823975685637607e-50,3.1762413339052072e-51,4.5817360942904639e-42,1.0937140598966306e-29,4.2674301590416349e-41,3.1053892877233754e-42,5.7231487701662368e-90,7.5942692279147809e-52,1.4327412196455208e-44,5.2920385336106991e-90,1.1479704924612504e-24,1.2205729250062363e-63,1.2205722889941316e-63,1.668019056743535e-35,4.9795182594142778e-36,1.6465784302671538e-26,1.6679423945499589e-35,1.9921376565992485e-46,5.2920385336104733e-90,1.0740108904403504e-55,7.1921517817559697e-57,1.2944493549854285e-64,1.0746084384466027e-76,7.5358442770243043e-45,7.0065861232342872e-89,2.2608728007235718e-32,3.3402871606403708e-70,4.6348398949207703e-89,3.3136194834153133e-43,9.3478122364973825e-102,2.6223480808427694e-94,1.3092655057969075e-105,9.5923788456395251e-61,1.104038379102056e-43,4.1397891164181846e-62,2.8906878916751772e-43,4.7987879382367542e-55,1.1575649225475918e-35
4.20518832207302e-21,0.3761248989123053,76.950000000000003,0.0,0.0,0.0,0.9999999999998701,9.5,2.4073276690707661e-15,1.9614427099375613e-14,1.9614427099462567e-14,1.6266640094254633e-25,1.6265844009757094e-25,8.8267373138687236e-14,2.0862833465002151e-22,8.9285998527699486e-26,3.5334079538857568e-37,6.9149365588957062e-42,6.3778880262204191e-41,4.0989141996833214e-22,1.1522191539332838e-27,3.8771623960247966e-37,9.4309215828399436e-42,1.6424806843467852e-55,1.1582738315888081e-55,5.6532740982428955e-37,2.3643219952114372e-27,9.6387990518372004e-38,9.6387990518774631e-38,3.5146839636069736e-49,5.1152387350169344e-50,3.6877797861994397e-41,4.3977761315431733e-29,3.4347990084673816e-40,2.4994874532565482e-41,7.4459734555806715e-88,1.2230336433897869e-50,1.153194779317798e-43,6.8850872185317647e-88,4.61593884639256e-24,3.9322372054951287e-62,3.932233107062156e-62,1.3425668444376491e-34,4.0079494830036255e-35,6.6208194131023296e-26,1.3425051400415737e-34,3.2082762660314542e-45,6.8850872185311787e-88,1.7296614291233861e-54,1.15827387329111e-55,4.1702409546025601e-63,6.9247348757451913e-75,6.0655030753414586e-44,9.0305202502360117e-87,9.0908700945601876e-32,1.076118004202826e-68,5.9736674598050374e-87,2.6670892369226474e-42,2.4096722955704682e-99,3.3798439392495626e-92,3.3750151803411391e-103,3.09031260601852e-59,8.8862608010530442e-43,1.3336882016632747e-60,2.326677099295336e-42,7.7282999456414978e-54,4.6545176419851886e-35
8.425028868264762e-21,0.3761248989123054,76.950000000000003,0.0,0.0,0.0,0.99999999999973976,9.5,4.8230432394270083e-15,3.9297197149804465e-14,3.9297197150153167e-14,6.5236502199095246e-25,6.5230114414390417e-25,1.7684229682918709e-13,8.3669292809559587e-22,3.5807678669752172e-25,2.8346198474012838e-36,5.5488011110003634e-41,5.1230670283850668e-40,1.6438479123647318e-21,4.6209141498327606e-27,3.1089936383024092e-36,7.5677151458553672e-41,2.6394226260141366e-54,1.8592859549390942e-54,4.5363964069540848e-36,9.48198866919412e-27,7.7345292083544047e-37,7.7345292084190338e-37,5.6418460150548468e-48,8.2110909754856899e-49,2.9592109908194984e-40,1.763704924086312e-28,2.7562098215066079e-39,2.0056812557518996e-40,9.6086342996562284e-86,1.963239846091016e-49,9.253661848573381e-43,8.8848403232891393e-86,1.8511979189104279e-23,1.2625582198260909e-60,1.2625555878475168e-60,1.0773253298289916e-33,3.2161270154154558e-34,2.6552446792836129e-25,1.0772758159480209e-33,5.1499938824636493e-44,8.8848403232876249e-86,2.776489655903071e-53,1.8592860888364354e-54,1.3389768674821979e-61,4.4470146419913224e-73,4.8671842220002029e-43,1.15989831749318e-84,3.6458455067397663e-31,3.4551892350169909e-67,7.6726995169989596e-85,2.140171142473262e-41,6.1901475209472723e-97,4.3411401058432681e-90,8.6699929833640981e-101,9.9223455848310008e-58,7.1306637479016672e-42,4.2821930741540137e-59,1.8670118430381504e-41,1.2405632682469862e-52,1.8666697528066127e-34
