Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794)
0.0,0.2213411173169644,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.2382000327687556e-22,0.2213411173169644,76.950000000000003,0.0,0.0,0.0,0.99999999999999922,9.5,2.6399498316227531e-17,2.9945249022094964e-16,2.9945221309774344e-16,4.3799674248792234e-28,4.379956767005154e-28,1.2230962611773946e-16,2.9580333061697418e-26,2.7117924860393331e-28,5.5593690493436146e-41,1.4302876638434035e-45,4.5103243918414297e-32,4.2794549150727843e-26,1.2377112528867185e-30,6.8838743997221428e-41,1.1571499359462264e-45,2.3814060237572162e-48,1.9547255326588888e-61,1.1297546282479718e-42,4.248458859433906e-31,8.7319300919903062e-43,8.7319300919992673e-43,7.9074922196176902e-55,1.0532860445480801e-55,1.938135088895524e-48,2.0877654415709383e-31,3.7812920652127223e-43,2.5183598364712877e-44,2.7887018434654792e-98,4.1041601956653718e-55,2.8455355387421372e-47,2.6235195908767974e-98,4.590409163263712e-28,3.0014950804947585e-67,3.0014946611953444e-67,4.6765332178944617e-40,1.4153265721977092e-40,1.9336165221165653e-30,4.6764139924216698e-40,6.8272475266699037e-52,2.6235195908767942e-98,1.2020390561984945e-58,1.9547255368846907e-61,4.2258373327345434e-70,6.724676636045458e-83,5.5116059470611888e-48,2.1623022015108391e-95,3.743524253707404e-36,3.5264066517517028e-75,1.7060874769091175e-96,8.1181323077873803e-48,1.7878777565808951e-109,2.2928677897213637e-101,7.0610450986595134e-113,1.3282780850587431e-67,6.8955115708201454e-49,2.1401002478975296e-69,5.4652917264247195e-48,3.9969315045594365e-60,1.6398670605185053e-39,4.9492782686762848e-60,3.2962446141645591e-61,2.3985677821140536e-51,6.0412176499575088e-52,1.8064474596574598e-72,3.7127485860738425e-52,2.5589494719509348e-56,5.175788703006637e-79,6.222903104732365e-60,3.3921231391971751e-44,4.7401266559966123e-80,2.7712347722373594e-22,1.7909343913859912e-42
9.066960091752515e-22,0.2213411173169644,76.950000000000003,0.0,0.0,0.0,0.99999999999999789,9.5,7.3918595285436988e-17,8.3846697261635979e-16,8.3846619667225968e-16,2.6455003246066653e-27,2.6454853077112228e-27,3.4246695288912406e-16,1.786652115879362e-25,1.6379226610594791e-27,6.60002666473462e-40,1.698038505504635e-44,2.7242359326686666e-31,2.584790767189009e-25,7.4757759674186687e-30,8.1723306481382582e-40,1.3737683152707153e-44,2.8272052313970481e-47,4.3726452573852169e-60,1.3412446939356949e-41,2.5660691510892814e-30,1.0366547405168937e-41,1.0366547405188981e-41,1.7688743761477734e-53,2.3561587492383624e-54,2.3009539747082925e-47,1.2610103259877432e-30,4.4891499283779271e-42,2.9897967949608691e-43,2.9715782174619356e-96,9.1808421827804644e-54,3.3782197886400744e-46,2.7955637091868003e-96,2.7726071329862532e-27,1.2385752870135177e-65,1.2385749713754512e-65,5.55198023055546e-39,1.6802757047726194e-39,1.1679043780443878e-29,5.551838686075575e-39,1.5272279612203593e-50,2.7955637091867949e-96,2.688913284321378e-57,4.3726452748231164e-60,1.7438045532345922e-68,5.0621714320655946e-81,6.5433785763980895e-47,2.951533416802135e-93,2.2610886492275786e-35,1.455182370415642e-73,2.3288022352166741e-94,9.6378466751798725e-47,4.4106808993254974e-107,3.1297548976657156e-99,1.7419566820142859e-110,5.4811767045087074e-66,8.1863512947667884e-48,8.8311835852789816e-68,6.4883943375709624e-47,8.9409758868794417e-59,9.9047970454937654e-39,1.1071337503878258e-58,7.3735673518186289e-60,2.8475796709030131e-50,7.1721336170751323e-51,7.4541973905684356e-71,4.4077750651332312e-51,3.0520743905447595e-55,3.8962045431104126e-77,1.3920385317274659e-58,4.0271285354057499e-43,3.5682490288735514e-78,7.7594573717649563e-22,2.1261973048455461e-41
2.0724480209720035e-21,0.2213411173169644,76.950000000000003,0.0,0.0,0.0,0.99999999999999523,9.5,1.6895678922385541e-16,1.9164959373979828e-15,1.916494163815604e-15,1.2736945271242991e-26,1.2736785585882551e-26,7.827816054697066e-16,8.6019608386341702e-25,7.8858925417782041e-27,6.4798261280370387e-39,1.6671447083016319e-43,1.3116023331421496e-30,1.2444654870307344e-24,3.5992643233689104e-29,8.0232084122671582e-39,1.3487736904165574e-43,2.7757668612680951e-46,8.6396124913927672e-59,1.3168419924529127e-40,1.2354518363101843e-29,1.0177937715093852e-40,1.0177937715133454e-40,3.4949976716885615e-52,4.6553726375764659e-53,2.259090250848352e-46,6.0712218932717244e-30,4.4074739957398334e-41,2.9354002164076153e-42,6.7626167588758137e-94,1.8139797012127317e-52,3.3167562147985778e-45,6.3620489203883414e-94,1.3348909822395432e-26,4.8996801203299618e-64,4.8996776246758563e-64,5.4509671010183651e-38,1.6497046471580961e-38,5.6229568266047066e-29,5.4508281318116576e-38,3.0175450849384855e-49,6.3620489203883147e-94,5.3128395169289881e-56,8.6396125603753842e-59,6.8983192911002251e-67,4.0025078491619258e-79,6.4243278796403563e-46,4.6627007210349745e-91,1.0886168529605732e-34,5.7565583475666886e-72,3.6789378021318233e-92,9.462495016018521e-46,1.3923212160775464e-104,4.9442470653204869e-97,5.4988437513405346e-108,2.1682989914111796e-64,8.0374081564042098e-47,3.4935283943093192e-66,6.3703440361952042e-46,1.7665861619189085e-57,4.7687334119308049e-38,2.1875097175753454e-57,1.4568926533600488e-58,2.7957706067614868e-49,7.041643364231765e-50,2.9486676582936939e-69,4.3275795775414075e-50,3.0263891940841667e-54,3.0806117680703849e-75,2.7504335549979042e-57,3.9538585591559068e-42,2.8213072054207547e-76,1.773590260882155e-21,2.0875131123150129e-40
4.4039520445655075e-21,0.22134111731696435,76.950000000000003,0.0,0.0,0.0,0.9999999999999899,9.5,3.5903317710069045e-16,4.0725538669244415e-15,4.0725500980795405e-15,5.562558629280629e-26,5.5624121134909481e-26,1.6634109067821269e-15,3.7567022826045513e-24,3.4439764493916392e-26,5.7311208128924449e-38,1.4745707873963005e-42,5.7281119775834409e-30,5.4349077186606459e-24,1.5718932911396106e-28,7.0956645569456767e-38,1.1929747206263124e-42,2.4551343542037698e-45,1.5373730602289038e-57,1.1647318268493902e-39,5.3955427513447055e-29,9.0022706473652162e-40,9.0022706474356912e-40,6.2191615670156199e-51,8.2839868579055087e-52,1.9981397328343611e-45,2.6514620996179731e-29,3.898360793060265e-40,2.5963282381434693e-41,1.14285233573454e-91,3.2278799445805035e-51,2.9336332997871372e-44,1.0751581418807304e-91,5.829819612156954e-26,1.7486606430656937e-62,1.7486588592781769e-62,4.8213186490256946e-37,1.4591450715422873e-37,2.4556929627207632e-28,4.8211957323414545e-37,5.369560228557074e-48,1.0751581418807216e-91,9.4539140126609252e-55,1.5373730848483128e-57,2.4619614509155536e-65,2.860825598678257e-77,5.6822452414484499e-45,6.6698421800893267e-89,4.754275802027161e-34,2.0544750475618848e-70,5.2626012259479548e-90,8.3694696799657391e-45,3.9846452394240367e-102,7.0725851113427786e-95,1.5736991517098773e-105,7.7385050516772311e-63,7.1089963349108711e-46,1.246815462614409e-64,5.63449715801139e-45,3.1435456689273102e-56,2.0826311667995943e-37,3.8925566456474988e-56,2.5924626347410291e-57,2.4728274404999323e-48,6.228253898426911e-49,1.0522592205565478e-67,3.8276949160875546e-49,2.7298976936161132e-53,2.2018924675481245e-73,4.8942495376403856e-56,3.4971429106128664e-41,2.0165524102587251e-74,3.7688793234940329e-21,1.8463816901458536e-39
9.066960091752515e-21,0.2213411173169644,76.950000000000003,0.0,0.0,0.0,0.99999999999997913,9.5,7.3918595285435339e-16,8.3846697258302042e-15,8.3846619665163978e-15,2.322258728386576e-25,2.3221333984081948e-25,3.424669494011987e-15,1.5683492443232779e-23,1.4377923690075721e-25,4.8169957389924676e-37,1.2394656651904417e-41,2.391373992504659e-29,2.2689669748379795e-23,6.562345062566684e-28,5.963034588053088e-37,1.0027665726386645e-41,2.0636883576027709e-44,2.5930044850867081e-56,9.7902727625820287e-39,2.2525328871491353e-28,7.566950906341823e-39,7.5669509064606932e-39,1.0489524816534119e-49,1.3972154598020336e-50,1.6795568244683277e-44,1.1069332270615038e-28,3.2768070678915387e-39,2.1823703063021874e-40,1.6733875637436474e-89,5.4442912789607781e-50,2.4658955344085013e-43,1.5742683524596944e-89,2.4338349156932561e-25,5.9083264655562834e-61,5.9083144018154596e-61,4.0526087944324689e-36,1.22649934168432e-36,1.0252034616956559e-27,4.0525054755620281e-36,9.0565480783338221e-47,1.5742683524596686e-89,1.5945407647700016e-53,2.5930045682701309e-56,8.3184116876082616e-64,1.9347778271428522e-75,4.7762694813396894e-44,9.0252660930382332e-87,1.9848165591525478e-33,6.9416072747298079e-69,7.1210645055659917e-88,7.0350435604261373e-44,1.0785774739851457e-99,9.5702358699526179e-93,4.2597435161720684e-103,2.6146659356911468e-61,5.9755395017159587e-45,4.2127076094521034e-63,4.7361343649740871e-44,5.3020491806300341e-55,8.6945751543389503e-37,6.5653656682145342e-55,4.3725671543194101e-56,2.0785604626263346e-47,5.2352228281621057e-48,3.5546749277730418e-66,3.2174078563026581e-48,2.3839566550608986e-52,1.4891409255641217e-71,8.2548671417623033e-55,2.9395589835484113e-40,1.3637953572123179e-72,7.7594575095200268e-21,1.5519950342008972e-38
1.8392976186126532e-20,0.22134111731696435,76.950000000000003,0.0,0.0,0.0,0.99999999999995759,9.5,1.4994915043616494e-15,1.7008901443053176e-14,1.7008885703026058e-14,9.487184638577574e-25,9.4861483217976479e-25,6.94718660689179e-15,6.4072183388155265e-23,5.8738509364279208e-25,3.9486794208112187e-36,1.0161888656415011e-40,9.7695430452836792e-29,9.2694703453130199e-23,2.6809320820006576e-27,4.8867270973226922e-36,8.2212769895042344e-41,1.6919363982834441e-43,4.2590176411607738e-55,8.0266570392534868e-38,9.2023318268491715e-28,6.2038435285003227e-38,6.203843528695564e-38,1.7229075424450621e-48,2.2949305716076202e-49,1.3770021298454194e-43,4.5221833718906636e-28,2.686524291651951e-38,1.7892390002427014e-39,2.2882159477658971e-87,8.9422646279288004e-49,2.0216901115269968e-42,2.1526788104633053e-87,9.9430096720634796e-25,1.9425267457012692e-59,1.9425188097995984e-59,3.3225734784328083e-35,1.0055582441887569e-35,4.1882905763667335e-27,3.3224887713952327e-35,1.4875407155720096e-45,2.1526788104632334e-87,2.6190379456937057e-52,4.2590179146496671e-55,2.7349117630468313e-62,1.2727614774890733e-73,3.9158742497574116e-43,1.1876742732417376e-84,8.108623273119341e-33,2.28224866759328e-67,9.3709205073790937e-86,5.7677537437662719e-43,2.8389932619960759e-97,1.2593892429666525e-90,1.1212346085741299e-100,8.5964493947288968e-60,4.8991078726405148e-44,1.3850460642353911e-61,3.8829690971709312e-43,8.7086315021092372e-54,3.5520176473166402e-36,1.0783632618584227e-53,7.1819546761180923e-55,1.7041294483577875e-46,4.2921522129343521e-47,1.1682582536880959e-64,2.6378247634172912e-47,2.1009774482635969e-51,9.7960661808210949e-70,1.3558643864410917e-53,2.4100274789745529e-39,8.9715011935978802e-71,1.5740614124780962e-20,1.2724192487276876e-37
3.704500837487456e-20,0.2213411173169644,76.950000000000003,0.0,0.0,0.0,0.99999999999991451,9.5,3.0201026073761234e-15,3.4257364875145134e-14,3.4257333174589166e-14,3.8348717169375334e-24,3.8340290069011928e-24,1.3992220586331718e-14,2.5899000434132173e-22,2.3743044381850721e-24,3.1967963182177874e-35,8.229361019390197e-40,3.9490055002820586e-28,3.746868044796776e-22,1.083675611876235e-26,3.9539544489975152e-35,6.6577883251670843e-40,1.3701739616166785e-42,6.9040507934436644e-54,6.5001948542463921e-37,3.7197296566049348e-27,5.0240333341785207e-37,5.0240333344950161e-37,2.7929071818371073e-47,3.7201812977282975e-48,1.1151319783162922e-42,1.8279387867776438e-27,2.175616831563825e-37,1.4489720827586226e-38,3.0263846408672653e-85,1.4495795837034198e-47,1.6372170184230227e-41,2.8471238018753466e-85,4.0191234041974663e-24,6.3005277167265221e-58,6.3004762262778898e-58,2.6907060499117628e-34,8.143271076968974e-35,1.6929739510427269e-26,2.6906374519803233e-34,2.41136751875866e-44,2.8471238018751586e-85,4.2455732145800141e-51,6.9040516804982938e-54,8.8706203276464945e-61,8.2581103409010839e-72,3.1711764267926837e-42,1.5413720528553942e-82,3.2776351721490207e-32,7.4024189656202856e-66,1.2161646762749958e-83,4.6708765102877202e-42,7.3693252024118409e-95,1.6344442756484623e-88,2.9104481670662948e-98,2.7882376600837841e-58,3.967423864183587e-43,4.4923635202859213e-60,3.1445290469799561e-42,1.4117066302955315e-52,1.4357823247336428e-35,1.7480732505067073e-52,1.1642258005706419e-53,1.3800482094359905e-45,3.4758965316185891e-46,3.7863594990295468e-63,2.1361779364871779e-46,1.9386551722226651e-50,6.3560216936568464e-68,2.1979145325261458e-52,1.9517018030475121e-38,5.8210158327670805e-69,3.1702928328138587e-20,1.0304380197322334e-36
7.434907275237063e-20,0.2213411173169644,76.950000000000003,0.0,0.0,0.0,0.99999999999982836,9.5,6.0613248134045986e-15,6.8754291729915402e-14,6.8754228111890522e-14,1.5419850501919405e-23,1.5413054748773021e-23,2.808228755993295e-14,1.0413873750502026e-21,9.5469735182614396e-24,2.5715371949378401e-34,6.6237057495204306e-39,1.587877743164778e-27,1.5065991012873483e-21,4.3574119728897037e-26,3.1769566578803703e-34,5.3587432215752053e-39,1.1028352065458283e-41,1.1118759643277386e-52,5.2319221276377224e-36,1.4956869346058845e-26,4.0437791072315814e-36,4.0437791077412864e-36,4.4978903051500738e-46,5.9912371188758562e-47,8.9755515377478824e-42,7.3500611794125815e-27,1.7511253902855935e-36,1.1662587113824237e-37,3.9374093873604332e-83,2.3345030790966474e-46,1.3177746110059967e-40,3.7041861213312252e-83,1.616071779505626e-23,2.0297917010695318e-56,2.0297585213261071e-56,2.16571415982876e-33,6.5544125395670422e-34,6.8073732752803832e-26,2.1656589462839125e-33,3.8834327811627608e-43,3.7041861213307351e-83,6.8373642713863207e-50,1.1118762501041708e-52,2.8577881673261212e-59,5.3214935782874325e-70,2.5524385672547113e-41,1.9866151537470371e-80,1.317922686693345e-31,2.3847878980729981e-64,1.5674678745608557e-81,3.7595277556038136e-41,1.8996591489294631e-92,2.1065724366957471e-86,7.5025317022805387e-96,8.9826784172753063e-57,3.193326742587122e-42,1.4472746269433098e-58,2.5309905437570799e-41,2.2735098006960335e-51,5.7732175782433148e-35,2.8152178647074661e-51,1.8749497556760897e-52,1.1107828598171615e-44,2.7977045494439596e-45,1.2179886965499866e-61,1.719380321855819e-45,1.9422855516665787e-49,4.0957953020408714e-66,3.5396733839352235e-51,1.5708979024079775e-37,3.7510396527266263e-67,6.3627560626196704e-20,8.2938603946838804e-36
1.4895720150736277e-19,0.2213411173169644,76.950000000000003,0.0,0.0,0.0,0.99999999999965616,9.5,1.2143769225459666e-14,1.3774814540181933e-13,1.3774801796319386e-13,6.1840497144422017e-23,6.1785930762704782e-23,5.6262417566021468e-14,4.1764288120722786e-21,3.8287632176462364e-23,2.0610572630554307e-33,5.31510676624999e-38,6.3680999446349021e-27,6.0421357562121498e-21,1.7475170905976027e-25,2.54047751066831e-33,4.3000153775270246e-38,8.8495579879051735e-41,1.7848067237104744e-51,4.1982876991605734e-35,5.9983735672972826e-26,3.2448780634156904e-35,3.2448780642338793e-35,7.2201081116937774e-45,9.6172618750357233e-46,7.2023136181938385e-41,2.9477030426248277e-26,1.4051673459373313e-35,9.3584904142298565e-37,5.0810182289045182e-81,3.7473939670925903e-45,1.0574310062638851e-39,4.7800559591936101e-81,6.4811701236346745e-23,6.5171890425070942e-55,6.5169759710283708e-55,1.7378489721500248e-32,5.2595025234189261e-33,2.7300607317764017e-25,1.7378046668189149e-32,6.2337687992447109e-42,4.7800559591923423e-81,1.097548227576201e-48,1.7848076412784408e-51,9.1757562358086756e-58,3.417423966940348e-68,2.0481710313061345e-40,2.5516482239098278e-78,5.2854594252431204e-31,7.6570538759981617e-63,2.0132870785093375e-79,3.0167842298846247e-40,4.8799863605558587e-90,2.7057239486831048e-84,1.9273064302226125e-93,2.8841492620286108e-55,2.5624417704559662e-41,4.6468945233627103e-57,2.0309605133883882e-40,3.6494860723322937e-50,2.315318461131973e-34,4.5190474588767406e-50,3.0097095803547764e-51,8.9133328935101564e-44,2.2449827101096964e-44,3.8989596607535143e-60,1.3796919785356952e-44,2.1714428271311435e-48,2.6302897358051526e-64,5.681959017539564e-50,1.2605442230196967e-36,2.4088902049384629e-65,1.2747684078768282e-19,6.6552986332609636e-35
