Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H11(22),C7H9(5),C7H9O2(68),S(66),C7H10(18),C7H10(153),C7H10(19),C7H9O2(67),C7H10(146),S(105),C7H10(65),C7H8(58),S(109)
1.1050999732978695e-17,0.1992012244297795,76.950000000000003,0.0,0.0,0.0,0.99999999751779567,9.5,1.7385059749921577e-11,2.9216645597329588e-10,2.9216645198753406e-10,8.6543949756764155e-18,9.6309334002371031e-18,1.8533954278569034e-09,9.2829165973406312e-15,2.7060244769937843e-11,4.9623002893506057e-18,2.1449229310935268e-14,3.0254258624922203e-26,9.7434808704611352e-19,1.2956490585379641e-29,2.2820853420587996e-30
1.596255563247784e-17,0.19920122442977956,76.950000000000003,0.0,0.0,0.0,0.99999999641459414,9.5,2.5111753685658997e-11,4.2201821989750817e-10,4.2201821243276051e-10,1.714369914231506e-17,1.9966645389292171e-17,2.6771071991906745e-09,1.924504709591535e-14,3.9086831212785211e-11,1.0287694148324631e-17,4.4467859206043501e-14,7.5235991633643922e-26,2.0199918348873177e-18,3.9521323381655626e-29,6.8570181348973534e-30
2.578566743147613e-17,0.19920122442977953,76.950000000000003,0.0,0.0,0.0,0.99999999420819186,9.5,4.0565141530640546e-11,6.8172173561088681e-10,6.8172172005616175e-10,4.0720374149178341e-17,5.1913591306676706e-17,4.3244942318906597e-09,5.0036891123897735e-14,6.3139650040775306e-11,2.6747942581814288e-17,1.1561589943906446e-13,2.3486045660526649e-25,5.2519786456223318e-18,1.7148645338655399e-28,2.9480629615119578e-29
4.543189102947271e-17,0.19920122442977953,76.950000000000003,0.0,0.0,0.0,0.99999998979539084,9.5,7.1471917114631453e-11,1.2011287184979461e-09,1.2011286897162807e-09,1.0678545092026532e-16,1.6090911465510067e-16,7.6191222646458369e-09,1.5508876043642723e-13,1.112438715163949e-10,8.2905330219820679e-17,3.5835013187789194e-13,8.3961457717072997e-25,1.6278601276745295e-17,9.6950969522077653e-28,1.660100905429566e-28
8.472433822546587e-17,0.19920122442977953,76.950000000000003,0.0,0.0,0.0,0.99999998096980303,9.5,1.3328546785872552e-10,2.2399424901141424e-09,2.2399424804361284e-09,2.8082234597232413e-16,5.5930585250070629e-16,1.4207794248119706e-08,5.3905077373531491e-13,2.0744665006055338e-10,2.8816152310892312e-16,1.2455378156526419e-12,3.1972711695812721e-24,5.6581543987567217e-17,6.4465486962811295e-27,1.1023828258313892e-27
1.2401678542145902e-16,0.1992012244297795,76.950000000000003,0.0,0.0,0.0,0.99999997214423408,9.5,1.9509901803763687e-10,3.2787560028541039e-09,3.2787560977214478e-09,4.8604356105053519e-16,1.1982425492103318e-15,2.0795687518507545e-08,1.1548050769923497e-12,3.0364187646836493e-10,6.1733165049116887e-16,2.6683078171746072e-12,7.086324683585871e-24,1.2121625637568885e-16,1.9376137057160879e-26,3.3125173358324413e-27
2.0260167981344534e-16,0.19920122442977953,76.950000000000003,0.0,0.0,0.0,0.99999995449315293,9.4999999999999947,3.1872611669991784e-10,5.356382251712361e-09,5.356382887177486e-09,9.1490996613031217e-16,3.1977289969606228e-15,3.3969138393617067e-08,3.081549572812067e-12,4.9600967592753264e-10,1.6473539248002246e-15,7.1202690236799738e-12,1.9458380316027111e-23,3.2347228112873215e-16,8.4781296256528692e-26,1.4492063578349552e-26
2.73328084766233e-16,0.1992012244297795,76.950000000000003,0.0,0.0,0.0,0.99999993860724445,9.4999999999999893,4.2999050356305788e-10,7.2262449903414727e-09,7.2262465019668399e-09,1.3102305741147542e-15,5.8199004626302481e-15,4.5822581894172172e-08,5.6080778493049114e-12,6.6911487300963344e-10,2.9980445563735162e-15,1.2958098536003048e-11,3.5829969146507872e-23,5.8870059561685005e-16,2.0224254782932134e-25,3.4569392232274065e-26
3.440544897190207e-16,0.1992012244297795,76.950000000000003,0.0,0.0,0.0,0.99999992272139726,9.4999999999999858,5.4125488859502487e-10,9.0961068902326863e-09,9.0961096573060647e-09,1.7042934158124373e-15,9.2214009260908622e-15,5.7673503807587564e-08,8.8851835106253267e-12,8.4219561046961466e-10,4.7500341889173969e-15,2.0530222043801842e-11,5.7162586236855493e-23,9.3273731614564133e-16,3.9628092729676423e-25,6.7736306377035483e-26
4.1478089467180837e-16,0.1992012244297795,76.950000000000003,0.0,0.0,0.0,0.99999990683561124,9.4999999999999787,6.5251927179582513e-10,1.0965967951393402e-08,1.0965972354097827e-08,2.0962604993004265e-15,1.340222320850001e-14,6.9521904644632493e-08,1.2912714509095115e-11,1.015251891598268e-09,6.9032583672957789e-15,2.9836288225629351e-11,8.3456190650523795e-23,1.3555730564714128e-15,6.854668888469451e-25,1.1716768580633542e-25
