Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56)
6.565912558214243e-13,0.20974777902600863,76.950000000000003,0.0,0.0,0.0,0.99999999441321052,9.4999999999943565,3.7445618687513183e-10,2.5994442014648868e-09,2.5988250965941544e-09,3.1315718879608834e-12,5.785243416793384e-15,6.3027465837016404e-12,1.2574916527907019e-12,2.5066819461570896e-12,1.712924343159469e-19,5.9106034124487649e-22,6.4689381213995522e-23,8.5893056476498387e-13,1.0535128379122519e-15
7.481653410598692e-13,0.2097477790260047,76.950000000000003,0.0,0.0,0.0,0.99999999363403402,9.4999999999926938,4.2668119012014633e-10,2.9616072547605626e-09,2.9607833887642333e-09,4.0654110080259161e-12,6.5920089665906629e-15,6.9085548899707466e-12,1.5909044592963153e-12,3.2349532267539629e-12,2.2246694631173581e-19,8.7419158923034091e-22,9.577015477745852e-23,1.086668418588666e-12,1.3677362028606734e-15
8.397394262983141e-13,0.20974777902600017,76.950000000000003,0.0,0.0,0.0,0.99999999285485885,9.4999999999908216,4.7890619250424664e-10,3.3236827902682779e-09,3.3226201413876013e-09,5.120789102537223e-12,7.3985795337704306e-15,7.4637257902215374e-12,1.9536052164075062e-12,4.0507419248401321e-12,2.8031269509467317e-19,1.2358888497220907e-21,1.3552575190219206e-22,1.3344114278391427e-12,1.722882101109151e-15
9.31313511536759e-13,0.2097477790259952,76.950000000000003,0.0,0.0,0.0,0.99999999207568468,9.4999999999887415,5.3113119402743283e-10,3.6856724318650867e-09,3.6843354036242297e-09,6.297657011516628e-12,8.2049587363394292e-15,7.972520763348193e-12,2.343129145702883e-12,4.9524241597521823e-12,3.4482698228881779e-19,1.6858318026802201e-21,1.8504300560004296e-22,1.6004760238693669e-12,2.1189406981706027e-15
1e-12,0.20974777902598973,76.950000000000003,0.0,0.0,0.0,0.9999999914912544,9.4999999999870486,5.7030332338620558e-10,3.9571326641721553e-09,3.9555655436564781e-09,7.2600921095440309e-12,8.8096718429251277e-15,8.3260566576418017e-12,2.6515460287193179e-12,5.6841623233313154e-12,3.975920205351915e-19,2.0870487102412381e-21,2.2924605644161478e-22,1.8111403944475117e-12,2.4428567430367155e-15
1.022887596775204e-12,0.20974777902598973,76.950000000000003,0.0,0.0,0.0,0.99999999129651174,9.4999999999864571,5.8335619468970516e-10,4.0475777669412664e-09,4.0459292244779486e-09,7.5959657311283307e-12,9.0111501149543373e-15,8.4388126357875992e-12,2.7572362597817176e-12,5.9384125376788029e-12,4.1600711809498877e-19,2.2336796046469668e-21,2.4541076366379687e-22,1.8833321816982205e-12,2.5559023776529372e-15
1.114461682013649e-12,0.20974777902598374,76.950000000000003,0.0,0.0,0.0,0.99999999051733979,9.4999999999839684,6.3558119449106352e-10,4.4094003589367189e-09,4.4074016530538408e-09,9.0156661562832081e-12,9.8171571513644171e-15,8.8661701083758435e-12,3.1938624731395186e-12,7.0071436152462336e-12,4.9385040714811681e-19,2.889124769238874e-21,3.1772545786229105e-22,2.1815700262594402e-12,3.0337576731512783e-15
1.2060357672520938e-12,0.20974777902597727,76.950000000000003,0.0,0.0,0.0,0.99999998973816873,9.4999999999812772,6.8780619343150801e-10,4.7711417345984974e-09,4.7687527382571349e-09,1.0556709381745272e-11,1.0622983241123317e-14,9.257832061451454e-12,3.6511344637286784e-12,8.1570906420130153e-12,5.7835416504596966e-19,3.661830035610014e-21,4.0308451264354992e-22,2.4939099836011414e-12,3.5524973366068041e-15
1.2976098524905387e-12,0.20974777902597036,76.950000000000003,0.0,0.0,0.0,0.99999998895899844,9.4999999999783853,7.4003119151103875e-10,5.1328033977194727e-09,5.1299825290927855e-09,1.2219046402554169e-11,1.1428631738434097e-14,9.6167872610221137e-12,4.1273235720520501e-12,9.3867498217620658e-12,6.6951570192675962e-19,4.5614902649721366e-21,5.0259280751614261e-22,2.8191712916290299e-12,4.1121122624584338e-15
1.3891839377289836e-12,0.20974777902596292,76.950000000000003,0.0,0.0,0.0,0.99999998817982905,9.4999999999752909,7.9225618872965561e-10,5.4943868186752214e-09,5.4910910744136926e-09,1.4002628365802556e-11,1.2234105926961045e-14,9.9457557313242677e-12,4.6208565750079513e-12,1.0694650775638777e-11,7.6733233628131908e-19,5.5977797719601691e-21,6.1735720994366247e-22,3.156279359188861e-12,4.7125935436889547e-15
