Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787)
0.0,0.22375924253342394,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.9525803773767594e-25,0.22375924253342394,76.950000000000003,0.0,0.0,0.0,0.99999999999999956,9.5,1.1078298266676857e-18,1.7689132820882898e-17,1.768913282088291e-17,2.8750581926283002e-32,2.8750581613484858e-32,2.9474219560996977e-16,8.2184063190607073e-29,1.4022459258059146e-32,1.7210381948224515e-47,7.7846989764195513e-52,2.9602395720833493e-50,2.188040351827728e-28,5.1896784174093199e-34,1.6787961800492422e-47,1.6220496832099155e-51,6.5588833840718169e-68,0.0,2.4239763637072066e-46,2.0680227233352847e-33,2.7109433977234297e-47,2.7109433977234321e-47,2.1490083052834929e-62,3.439919545487183e-63,5.4149479523519483e-49,5.2065492966605702e-35,8.2546302440599286e-50,6.6065970632809237e-51,2.4243853697207066e-110,1.7241901986358605e-63
8.267225056654927e-25,0.22375924253342394,76.950000000000003,0.0,0.0,0.0,0.99999999999999911,9.5,3.1019235146695188e-18,4.9529571898471938e-17,4.9529571898472018e-17,1.7365351483473775e-31,1.736535111211982e-31,8.2527814770692661e-16,4.9639174167077047e-28,8.4695653918603364e-32,2.0432163414751769e-46,9.2419946248332989e-51,4.4735140413438393e-49,1.3215763725026268e-27,3.1345657641152194e-33,1.9930663043079425e-46,1.9256973836746116e-50,1.8497100564469651e-66,0.0,2.8777447389905532e-45,1.2490857248944935e-32,3.2184320017772096e-46,3.2184320017772154e-46,4.8072456185681704e-61,7.6949624264638623e-62,6.4286262090185791e-48,3.1447557751830655e-34,9.7998970257079947e-49,7.8433520335157786e-50,2.5833707437420645e-108,3.8569445067349325e-62
1.889651441521126e-24,0.22375924253342394,76.950000000000003,0.0,0.0,0.0,0.99999999999999789,9.5,7.0901108906731813e-18,1.1321045005364931e-16,1.1321045005364965e-16,8.3606692241613609e-31,8.3606688595638578e-31,1.8863500518968866e-15,2.389912557575411e-27,4.077731152232516e-31,2.0060414892892652e-45,9.0738451269982801e-50,4.8124022675911102e-48,6.3628213430952185e-27,1.5091584837826148e-32,1.9568032134620755e-45,1.8906611100296562e-49,4.0235234000162748e-65,0.0,2.8253868495289275e-44,6.0138100794587341e-32,3.1598756243862884e-45,3.1598756243862996e-45,9.4983072520386987e-60,1.5203949042581176e-60,6.3116633332191026e-47,1.5140645354690117e-33,9.6215970123523802e-48,7.7006495369250958e-49,5.8791473781848985e-106,7.62067239454698e-61
4.015509313232393e-24,0.22375924253342394,76.950000000000003,0.0,0.0,0.0,0.99999999999999556,9.5,1.5066485642680489e-17,2.4057220636400128e-16,2.4057220636400281e-16,3.6513239046361476e-30,3.6513235821537976e-30,4.0084938602609874e-15,1.0437376025130189e-26,1.7808523257620575e-30,1.7743202130835622e-44,8.0257132569025939e-49,4.4234267878808232e-47,2.7788112468007394e-26,6.5908915901096781e-32,1.7307683203803125e-44,1.6722683398904682e-48,7.4589342896424257e-64,0.0,2.4990226719103766e-43,2.6263888586355294e-31,2.7948742053166498e-44,2.7948742053166702e-44,1.6901730262103066e-58,2.7054614977251295e-59,5.5825947408678741e-46,6.6123176067601249e-33,8.510193596155868e-47,6.8111373082862715e-48,9.9354991611173536e-104,1.3560579355046832e-59
8.267225056654927e-24,0.22375924253342394,76.950000000000003,0.0,0.0,0.0,0.99999999999999079,9.5,3.101923514669502e-17,4.9529571898469387e-16,4.9529571898470028e-16,1.5243558537299102e-29,1.5243555826640864e-29,8.2527814769259247e-15,4.3573990302967693e-26,7.4347078985198671e-30,1.4914217604550969e-43,6.7460955780935642e-48,3.7843347462812646e-46,1.1600989945206339e-25,2.7515674969102779e-31,1.4548117595593894e-43,1.4056422999322582e-47,1.2820002278315983e-62,0.0,2.1005791331356312e-42,1.0964656479121143e-30,2.3492601733722229e-43,2.3492601733722564e-43,2.8507238494886223e-57,4.5631562544314019e-58,4.6925072561796877e-45,2.7605124370905068e-32,7.1533304949464106e-46,5.7251713093522745e-47,1.454775933590654e-101,2.2871899137943843e-58
1.6770656543499992e-23,0.22375924253342394,76.950000000000003,0.0,0.0,0.0,0.99999999999998124,9.5,6.2924734154723774e-17,1.0047427442260339e-15,1.0047427442260599e-15,6.2274910475469316e-29,6.2274888251859114e-29,1.674135671000272e-14,1.7801396822752218e-25,3.0373207650453574e-29,1.2227555525410773e-42,5.5308567371214791e-47,3.1289611502698641e-45,4.739382923516912e-25,1.1241051039244062e-30,1.192737164286152e-42,1.1524304804013495e-46,2.1248213603047614e-61,0.0,1.7221816849627942e-41,4.4794199396510099e-30,1.9260654264513601e-42,1.9260654264514146e-42,4.682322482650761e-56,7.4949978500471318e-57,3.8472009578211071e-44,1.1277594038547718e-31,5.8647325253663453e-45,4.6938413395701961e-46,1.9892830353057611e-99,3.7567163013135329e-57
3.377751951719013e-23,0.2237592425334239,76.950000000000003,0.0,0.0,0.0,0.99999999999996214,9.5,1.2673573217078009e-16,2.0236367947085325e-15,2.0236367947086378e-15,2.5172514504280759e-28,2.5172496507031042e-28,3.3718507175144019e-14,7.1956092153589058e-25,1.2277336157757169e-28,9.9021572356570465e-42,4.4790311833075894e-46,2.5444192432301616e-44,1.9157343538337244e-24,4.5438125590048869e-30,9.6590071342268662e-42,9.3326807789730731e-46,3.459720761664968e-60,0.0,1.3946673790137975e-40,1.8106531593689931e-29,1.5597777189579323e-41,1.55977771895802e-41,7.5902465183058723e-55,1.214971449580091e-55,3.1155630808342453e-43,4.5585838236000071e-31,4.7494124518276078e-44,3.8011944126477919e-45,2.6310172480158866e-97,6.089799012016182e-56
6.77912454645704e-23,0.22375924253342394,76.950000000000003,0.0,0.0,0.0,0.99999999999992395,9.5,2.5435772820288766e-16,4.0614248956728064e-15,4.0614248956732284e-15,1.0121757369384406e-27,1.0121742883641798e-27,6.7672808101377426e-14,2.8933228178595967e-24,4.9366628710543744e-28,7.9700624775947304e-41,3.6051139639439512e-45,2.0521662980702696e-43,7.7030835791826164e-24,1.8270470455618018e-29,7.7742681461656077e-41,7.5117533528590458e-45,5.5840032591542025e-59,0.0,1.1225496398784495e-39,7.2805567183964533e-29,1.2554448058108214e-40,1.255444805810963e-40,1.2223858020105082e-53,1.9566740639020483e-54,2.5076762149475167e-42,1.832986506092569e-30,3.8227403296926284e-43,3.0595319594314872e-44,3.4230255716573054e-95,9.8074335698157137e-55
1.3581869735933093e-22,0.22375924253342397,76.950000000000003,0.0,0.0,0.0,0.99999999999984768,9.5,5.0960172026708328e-16,8.137001097598459e-15,8.1370010976001519e-15,4.0592774117492533e-27,4.0592657878686314e-27,1.355814099376475e-13,1.1603518568294335e-23,1.9798226087007009e-27,6.3953847200094634e-40,2.8928769150602749e-44,1.648411572984662e-42,3.0892810436649428e-23,7.327275819463115e-29,6.2381341287112435e-40,6.0277088909624339e-44,8.9733433349734056e-58,0.0,9.0077539018053927e-39,2.9198288749291889e-28,1.0074153915090368e-39,1.0074153915092644e-39,1.9621999287657988e-52,3.1408952099753923e-53,2.0122522339697529e-41,7.3510957127078201e-30,3.0675083650630986e-42,2.4550817143578568e-43,4.4172331684024898e-93,1.5743102895264725e-53
