Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995),S(1218),S(2281),S(2282),S(1827),S(971),S(805),S(887),S(3335),S(1971),C7H8(1663),S(3456),C7H9(2067),C7H9(2027),S(3692),S(3691),S(2237),S(2209),S(3466),S(3552),S(1954),S(2383),S(4082),C7H9(2044),S(2993),C7H10(115),S(1242),C5H6(500),S(4282),S(4155),S(4335),S(4374),S(4387),S(4887),C7H10(297),C7H10(987),C7H10(986),S(4381),S(4372),S(4886),S(3690),S(1588),S(206),S(2669),C7H9(279),S(6788),C7H8O(364),S(4083),C6H7(1171),CH2O(6985),C6H7(7018),S(7026),S(7027),S(1436),C7H8(3538),C6H6(7011),S(4021),C7H8(8697)
0.0,0.23365148172503503,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.549164434386465e-23,0.23365148172503503,76.950000000000003,0.0,0.0,0.0,0.99999999999999911,9.5,2.39601125570063e-17,2.9318989718118991e-16,2.9318921855478614e-16,1.1462235181494708e-28,1.1462246066212669e-28,4.1231744960886425e-16,2.8396692421572633e-26,6.5767873507509843e-29,6.5074491948987254e-42,1.8514273307394363e-46,2.0622903238134218e-32,4.9825487401100994e-26,5.7652962110687028e-31,7.4675909609933002e-42,2.108547125768236e-46,9.8825416567523461e-49,4.1351146719136047e-62,1.1938242863378471e-42,4.6529729344242743e-31,4.6901118022796533e-43,4.6901118022808529e-43,1.0520781326689266e-55,1.4807214819409789e-56,2.0483423437417315e-47,1.9947672420817781e-31,8.9492578583270784e-44,6.2977063901787985e-45,2.012155455728411e-99,6.8565304191980515e-56,3.091946949821328e-47,1.8723858310438375e-99,5.5140194115588538e-28,1.3402805717072886e-68,1.34028051823523e-68,3.466298684204877e-40,1.0403018045882489e-40,5.0328430434401787e-30,3.4661697801381895e-40,2.2950876363627277e-52,1.8723858310438351e-99,3.2092836114528401e-59,2.1859840592942405e-57,4.1947539262778606e-71,2.3473186910533803e-84,4.7795027133200074e-48,1.9463429897644032e-97,1.0438884967520427e-35,1.1575535693419065e-71,4.4344501434523397e-98,8.7257905273137006e-48,1.1622240511596837e-111,4.5430599789537538e-103,3.1438161322070961e-115,4.1677485731783833e-68,1.765697553879679e-48,1.2541694985408898e-69,6.9119972032666833e-48,1.351122968523728e-60,5.0365459539930269e-39,1.5504877963103791e-60,1.1530855785988429e-61,1.9690381014196626e-51,1.7038250596426995e-51,3.0650524574727616e-73,6.393755223321605e-52,1.5879887241703886e-55,8.637583893576331e-80,3.8154601978178758e-60,2.4868900884663715e-44,7.7786068772539139e-81,6.7862646928375016e-22,1.1520722334680349e-42,6.5545012969416907e-40,1.1520722334680349e-42,1.2614075714631659e-71,1.7781824628610084e-64,1.1178794471779361e-64,2.4666087385298154e-112,1.1839272430319923e-115,9.3617185781136436e-51,9.9782327553916621e-62,2.0728649396716289e-62,2.2775004458272524e-85,7.2570955911018172e-52,1.5685360885248234e-95,1.6583608546987219e-64,4.5363832088339685e-77,4.0696528153016052e-89,1.0175939885194404e-89,5.2419444284405501e-78,3.9424431880589603e-67,1.4125507695102529e-96,3.9424432570691547e-67,3.195186599806057e-87,1.4241275373135794e-70,1.6170480736456169e-83,3.3338844191970694e-79,2.3104941566902535e-88,2.0513748972258033e-27,5.4990558095444364e-69,2.4581999086407891e-60,3.3640746012984948e-74,2.9908743349730154e-91,5.4589677318017139e-92,4.637922590266775e-101,7.5075031265594391e-104,3.1941811191916494e-111,4.1010941112458304e-49,1.2991555395422184e-49,1.2991555395422184e-49,2.6030995942102748e-104,1.3553500006076923e-106,1.1158471353469248e-112,7.1609382725942289e-91,1.9654026424547921e-100,2.3204766958568022e-45,4.5359526150077819e-58,9.6860013303714299e-49,4.5359527479144351e-58,4.5395001985042297e-58,1.1641934205583214e-103,4.8026189941637485e-114,4.8026189941683289e-114,1.6246892488884269e-126,1.8775843171258793e-126,1.0773155605778992e-126,5.7770488176655908e-113,1.2810331107392008e-67,6.6775455878135885e-130,1.5185850647550321e-79,2.7489277845207448e-82
2.3937660416282103e-22,0.23365148172503503,76.950000000000003,0.0,0.0,0.0,0.99999999999999711,9.5,6.708831515961754e-17,8.2093171210674514e-16,8.2092981195302637e-16,6.9231900495947972e-28,6.9231874992561276e-28,1.154488858638513e-15,1.7151602219328524e-25,3.9723795593805557e-28,7.7256030641771612e-41,2.1980206698244914e-45,1.2456233555832507e-31,3.0094594384472387e-25,3.4822389114834176e-30,8.8653917219500235e-41,2.5032670943078657e-45,1.1732553454888996e-47,9.2501108040500558e-61,1.4173081924902221e-41,2.8103956523884163e-30,5.5681007316581684e-42,5.5681007316608525e-42,2.3534566980890217e-54,3.3123147257167489e-55,2.4317920295151012e-46,1.2048394139938754e-30,1.0624558920173988e-42,7.476637023838502e-44,2.1441077813383722e-97,1.5337784281505489e-54,3.6707594178088317e-46,1.9951724001144109e-97,3.3304677239405033e-27,5.5307052182258415e-67,5.5307048157015549e-67,4.1151897965808932e-39,1.2350463020126384e-39,3.0398371971860431e-29,4.1150367616737257e-39,5.1340192374802147e-51,1.9951724001144065e-97,7.1790390652141913e-58,3.0717822576873744e-56,1.7309814608421442e-69,1.7670074620931627e-82,5.67422562013473e-47,2.6567553662929133e-95,6.3050865203700955e-35,3.0436607562056397e-70,6.0530180328661231e-96,1.0359258513710003e-46,2.8672037088286398e-109,6.2012703034571539e-101,7.7558332119744254e-113,1.7198331179088826e-66,2.096236129930572e-47,5.1753655506121186e-68,8.205923079700452e-47,3.0224080339260405e-59,3.0420737562077414e-38,3.4683791793864936e-59,2.5794063158613018e-60,2.3376420339950445e-50,2.0227811110643132e-50,1.2647733412531008e-71,7.5906661724998018e-51,1.8874046963587372e-54,6.5021575584760323e-78,8.5350318419725482e-59,2.9524359021422543e-43,5.8555411010704146e-79,1.9001541147494651e-21,1.3677401546733197e-41,3.95891878489803e-39,1.3677401546733197e-41,5.2052336615145827e-70,3.9777003527557977e-63,2.5006360345707486e-63,6.0851172954443126e-110,2.1870858737545272e-113,1.1114232295791473e-49,2.1932347766768597e-60,4.6369159264649414e-61,1.7144454885987287e-83,8.6156238857435262e-51,2.141044030287404e-93,3.7096868975181923e-63,1.8719512331035156e-75,3.0635330609149665e-87,7.6601935497246712e-88,2.1631030458312231e-76,8.8190874530554274e-66,1.9281248386388241e-94,8.8190877378279124e-66,2.4052567197740043e-85,3.1891780929362433e-69,6.6798693998576651e-82,1.375736740721897e-77,9.5644304487783046e-87,1.2390304176922197e-26,2.2692007764929412e-67,5.4988948676260752e-59,1.3881947802020703e-72,2.2514555475696325e-89,4.119080078308595e-90,6.3455837260387765e-99,1.027174469555823e-101,7.8984160782859183e-109,4.8688189274647861e-48,1.5423574560993686e-48,1.5423574560993686e-48,3.5615485789426354e-102,1.8543846896964779e-104,2.7592126514287065e-110,5.3905755940826043e-89,2.6827717646551156e-98,2.7548699330182586e-44,1.0146744055075775e-56,1.1499220777445125e-47,1.014674460351876e-56,1.0154680362979289e-56,8.7910678110955157e-102,6.5758305311552205e-112,6.5758305311665549e-112,4.0204423361584273e-124,4.646254548995385e-124,2.6659161537619326e-124,6.7906796197497843e-111,2.8656198273919669e-66,1.6524198950268206e-127,6.2664836452304081e-78,1.1343647686969272e-80
5.471465238007338e-22,0.23365148172503503,76.950000000000003,0.0,0.0,0.0,0.99999999999999345,9.5,1.533447203648396e-16,1.8764153419555099e-15,1.876410998748007e-15,3.3332179907366486e-27,3.3332074689860266e-27,2.6388316756325797e-15,8.2577581512412982e-25,1.9125297608888293e-27,7.5849568609446902e-40,2.1580324195635384e-44,5.9971402616485827e-31,1.4489251727551232e-24,1.6765481381756612e-29,8.7038140094699995e-40,2.4577223642424916e-44,1.1519090555087618e-46,1.827668394911725e-59,1.3915215873801761e-40,1.35308452932481e-29,5.4667943167116266e-41,5.4667943167169315e-41,4.6500338372793653e-53,6.544575722972282e-54,2.3875478328426036e-45,5.8007831366210231e-30,1.0431254931047085e-41,7.3406065603889179e-43,4.8794876506488405e-95,3.0304877080814331e-53,3.6039733615526623e-45,4.5405455695877267e-95,1.6034768439197444e-26,2.1878919058741324e-65,2.1878915876103283e-65,4.0403177422570803e-38,1.2125757822050171e-38,1.4635507554546658e-28,4.0401674916794399e-38,1.014395685028978e-49,4.5405455695877047e-95,1.418457141153474e-56,4.0253871648552505e-55,6.8475996343311874e-68,1.3971215517469486e-80,5.5709883591775626e-46,4.1970280430746051e-93,3.0356277485365789e-34,7.9780563475417265e-69,9.5622979637290524e-94,1.0170781437654703e-45,9.0509219994960886e-107,9.7965005416415739e-99,2.4482954213622513e-110,6.8034887789305991e-65,2.0580970500924663e-46,2.0473231430904238e-66,8.0566239400726129e-46,5.9717689481877822e-58,1.4646275634151021e-37,6.8529327803269873e-58,5.096472212824503e-59,2.2951108109825833e-49,1.9859784903146806e-49,5.0030628241372428e-70,7.4525609995580818e-50,1.8576075542259193e-53,5.1410604625191254e-76,1.6863784634616307e-57,2.898719053372832e-42,4.6298002736061272e-77,4.3432094087007481e-21,1.3428553925405541e-40,1.9060489794618677e-38,1.3428553925405541e-40,2.0591386710182139e-68,7.8591674863317171e-62,4.9407680696018259e-62,1.9208932028038764e-107,9.9456031574551449e-111,1.0912019174211168e-48,4.1743372765597907e-59,9.1617643582141819e-60,1.3555604947941663e-81,8.4588706209493444e-50,3.3823248216856865e-91,7.3297161737507063e-62,7.4052529204268488e-74,2.4222434734978096e-85,6.0566846963067001e-86,8.5570205366030176e-75,1.7425029535700426e-64,3.0459646831242877e-92,1.7425030662231953e-64,1.9017641629927507e-83,6.316247709953916e-68,2.6486765716152133e-80,5.442277736654811e-76,3.7959348532587508e-85,5.9653978976501556e-26,8.9767326022780849e-66,1.0864889615360968e-57,5.4915602947277105e-71,1.7801582027900416e-87,3.2601223402889337e-88,1.0034700299018438e-96,1.6243455048933129e-99,2.4958558706584311e-106,4.7802352917087169e-47,1.5142956955104317e-47,1.5142956955104317e-47,5.6321175550857427e-100,2.9324681762832452e-102,8.7189596328206243e-108,4.2621660311624729e-87,4.2381276320400456e-96,2.7047476357515832e-43,2.0048254189628371e-55,1.1290003144568154e-46,2.0048256359213933e-55,2.0063937182639692e-55,6.9735063520544556e-100,1.0422107731006688e-109,1.0422107731042583e-109,1.2732791683855678e-121,1.4714748333690701e-121,8.4429911271691275e-122,1.9869027340217949e-108,5.6619818806539707e-65,5.2332352994184591e-125,2.4789584855133195e-76,4.4875393330246986e-79
1.1626863630765594e-21,0.233651481725035,76.950000000000003,0.0,0.0,0.0,0.99999999999998612,9.5,3.2585753077528208e-16,3.9873826016436548e-15,3.9873733723319708e-15,1.4557038680064136e-26,1.4556911071789039e-26,5.6075173053597913e-15,3.6063799324226303e-24,8.3525199281216618e-27,6.7086553944942757e-39,1.9087563054231135e-43,2.6191087112421639e-30,6.3278368909612499e-24,7.3219261880250371e-29,7.6979266003334842e-39,2.1738273971208263e-43,1.0188505146397254e-45,3.2522401772072254e-58,1.2307850846149066e-39,5.9092756266592115e-29,4.8353176636246e-40,4.8353176636340389e-40,8.2744867388734576e-52,1.1645722815559114e-52,2.1117590163561797e-44,2.5333543939793053e-29,9.2263268215210626e-41,6.4926833632113927e-42,8.2461184149063504e-93,5.3925909504165319e-52,3.1876736207537119e-44,7.6733212820256835e-93,7.0028046427435122e-26,7.808430248719375e-64,7.8084279739034311e-64,3.5736152829583959e-37,1.0725095458899034e-37,6.3917106488657281e-28,3.5734823880270332e-37,1.8050629201473611e-48,7.6733212820256086e-93,2.5240686913123086e-55,5.3562108295083955e-54,2.4438611551975622e-66,9.9860468138924517e-79,4.9274761100410836e-45,6.0037155030253375e-91,1.3257383908561211e-33,2.1219147112468315e-67,1.3678563960124015e-91,8.9959409999768222e-45,2.5902594064671789e-104,1.4013583339829657e-96,7.0067204298160742e-108,2.4281168164001196e-63,1.820363510857451e-45,7.3067508633650036e-65,7.1259926365642515e-45,1.0626443745966723e-56,6.3964133615084192e-37,1.2194427709413408e-56,9.0688999986220541e-58,2.0299995209720467e-48,1.7565754851590522e-48,1.7853752050290506e-68,6.591705698669922e-49,1.6511134393001192e-52,3.6746150449697089e-74,3.0008203695689377e-56,2.5638841347437907e-41,3.3091876407162623e-75,9.2293200086827363e-21,1.1877403839576504e-39,8.3242166709675602e-38,1.1877403839576504e-39,7.348919645295448e-67,1.3984617881548038e-60,8.7915920503942505e-61,5.497353236228705e-105,3.3729963188764391e-108,9.6515573844155847e-48,6.9168513687742281e-58,1.6302869716282442e-58,9.6889795900140239e-80,7.4817752705205414e-49,4.8383053745046143e-89,1.3042838305822925e-60,2.6428821679788448e-72,1.7313183518667547e-83,4.3290649568188016e-84,3.05393984839764e-73,3.1006905009567373e-63,4.3571531638466591e-90,3.1006909030077593e-63,1.3593015019400862e-81,1.129294230963845e-66,9.4972469944856434e-79,1.9423102690211925e-74,1.3616786759326586e-83,2.6052458058782263e-25,3.2037320992457653e-64,1.9333490561600531e-56,1.9598987155418922e-69,1.272382649238187e-85,2.3313201251583137e-86,1.4361261297384142e-94,2.3247129082671022e-97,7.14628874932969e-104,4.228063975775205e-46,1.3393773921484898e-46,1.3393773921484898e-46,8.0604615568024835e-98,4.1968435737867547e-100,2.4964663974286204e-105,3.0464180604164311e-85,6.0625071615620372e-94,2.3923186523884084e-42,3.5674789324683281e-54,9.985879918722804e-46,3.5674797067777524e-54,3.5702704187965666e-54,5.0097401802258245e-98,1.4984144381000465e-107,1.4984144381103711e-107,3.6624267014565512e-119,4.2325123406926571e-119,2.4285203194693541e-119,4.8793486849113195e-106,1.0075194237981257e-63,1.5052743851498372e-122,8.8472258456076546e-75,1.6016461963069062e-77
2.3937660416282103e-21,0.23365148172503505,76.950000000000003,0.0,0.0,0.0,0.99999999999997136,9.5,6.7088315159616064e-16,8.2093171209824083e-15,8.2092981194759035e-15,6.0772770928377622e-26,6.0771555765693808e-26,1.1544888547770524e-14,1.5055926275863941e-23,3.4870126467692919e-26,5.6387716273155421e-38,1.60442511019512e-42,1.0934263296850798e-29,2.6417473339256536e-23,3.0567600510796326e-28,6.4697329832513005e-38,1.8272325716801141e-42,8.5640524789877087e-45,5.485379922120036e-57,1.0345490223982104e-38,2.4670062497780945e-28,4.0643758459694077e-39,4.0643758459853281e-39,1.3956131227812375e-50,1.9642213675631793e-51,1.7750606900923668e-43,1.057625588633659e-28,7.7552835628622524e-40,5.4574915639333709e-41,1.2074133791124868e-90,9.0953928092564276e-51,2.6794317435278234e-43,1.1235432614454894e-90,2.9235330830658942e-25,2.6382917258772799e-62,2.6382901874190314e-62,3.0038389635143978e-36,9.0150889436749458e-37,2.6684133669590105e-27,3.0037272573221577e-36,3.0445024402442856e-47,1.1235432614454672e-90,4.2572107617356408e-54,7.5232485958647631e-53,8.2572568432064778e-65,6.7535702395162473e-77,4.1418405661056904e-44,8.1239018375987504e-89,5.5346968096085702e-33,5.9488898009025615e-66,1.8509090052036252e-89,7.5616304545796326e-44,7.0114049349969945e-102,1.8962420140244329e-94,1.8966047981313146e-105,8.2040579192453552e-62,1.5301251777473614e-44,2.4687859680259804e-63,5.9898261841859818e-44,1.7923050480317574e-55,2.6703766647506503e-36,2.0567684631406281e-55,1.5296025383837653e-56,1.7063369139580678e-47,1.4765075385149308e-47,6.0311472792278943e-67,5.5407256383262763e-48,1.4014541084612001e-51,2.4851439256974954e-72,5.0613221512488771e-55,2.1550990318605364e-40,2.2380051966671897e-73,1.90015412569644e-20,9.9836735373856986e-39,3.4751966090916369e-37,9.9836735373856973e-39,2.4830338477439609e-65,2.3585918491743685e-59,1.4827492606000416e-59,1.4880427475573736e-102,9.8971205714995469e-106,8.1127155308355505e-47,1.0250658301408761e-56,2.7497171142574931e-57,6.5526615676556555e-78,6.2888829255709736e-48,6.5469302087990357e-87,2.1998653183642502e-59,8.9297015288417411e-71,1.1708914400312071e-81,2.9277487115880793e-82,1.0318572522458771e-71,5.2297663751184914e-62,5.8958613540905328e-88,5.2297677335575042e-62,9.1929626158100148e-80,1.922780510307092e-65,3.238854366976924e-77,6.5626274261393508e-73,4.6447332737433977e-82,1.087638688270466e-24,1.0824686655284022e-62,3.2608757674157074e-55,6.6220538086813145e-68,8.6051300325606533e-84,1.5770475676612858e-84,1.943752208915203e-92,3.1464665546624185e-95,1.9348462306473599e-101,3.5539425226904376e-45,1.1258273988209334e-45,1.1258273988209334e-45,1.0909586025104581e-95,5.6803316322695695e-98,6.7591427800976977e-103,2.0602940076972924e-83,8.2034555178345815e-92,2.0108879734243807e-41,6.0170720102941215e-53,8.3937337535886782e-45,6.0170746265089622e-53,6.0217828974299564e-53,3.4202032184900795e-96,2.0467207112670377e-105,2.0467207112952488e-105,1.000703088883095e-116,1.1564708880475839e-116,6.6355701079604354e-117,1.1608956424240046e-103,1.6993287703327993e-62,4.1129380966482142e-120,2.9892770427373443e-73,5.4121093691016922e-76
4.855925398731512e-21,0.23365148172503503,76.950000000000003,0.0,0.0,0.0,0.99999999999994194,9.5,1.3609343932378916e-15,1.6653186159509784e-14,1.6653147613667799e-14,2.4827659889216607e-25,2.4826605789017681e-25,2.3419630964417242e-14,6.1508371262900385e-23,1.4245584417350163e-25,4.6225835067142924e-37,1.3154048100256032e-41,4.4670033329860704e-29,1.0792399804611301e-22,1.2487862204777782e-27,5.3029039934355366e-37,1.4980751038519131e-41,7.0213276404542195e-44,9.0097540978911708e-56,8.4818579078170066e-38,1.0078525494426076e-27,3.3322208776856837e-38,3.332220877711834e-38,2.292298718090127e-49,3.2262394853954559e-50,1.4553019882511292e-42,4.3207456106389002e-28,6.358249923362831e-39,4.4743812850262728e-40,1.6510356654313409e-88,1.4939209914444496e-49,2.196760017197947e-42,1.5363503737770114e-88,1.1943586530498834e-24,8.6741234991671261e-61,8.674113378686429e-61,2.4627286530069924e-35,7.391114543744302e-36,1.090133922158199e-26,2.4626370695299392e-35,5.0006043734701912e-46,1.5363503737769509e-88,6.9924814209942463e-53,1.1122240025781571e-51,2.714805737312784e-63,4.4427246555118919e-75,3.3957311239301248e-43,1.069059945225693e-86,2.2611042393602199e-32,1.7556959278914866e-64,2.4356925025807837e-87,6.1994814978401708e-43,1.8455173099452298e-99,2.4953482153642616e-92,4.9921778680160018e-103,2.6973147355073268e-60,1.2544890042468876e-43,8.116828072605356e-62,4.9108213956662867e-43,2.9438663934761664e-54,1.09093599977091e-35,3.3782483519796581e-54,2.5123767617091217e-55,1.3989580944889921e-46,1.2105300895690083e-46,1.9820999206513745e-65,4.542621337249598e-47,1.1712893530934104e-50,1.6348106695145238e-70,8.3132367949781318e-54,1.7668802787651056e-39,1.4722345607244453e-71,3.8545983946798464e-20,8.1852186605466386e-38,1.4197312170809306e-36,8.1852186605466375e-38,8.1636719928474546e-64,3.8736054128003174e-58,2.4351532665841649e-58,3.9167732236708969e-100,2.7094711284510664e-103,6.6512943408335953e-46,1.3535939793993789e-55,4.5164181206398236e-56,4.3105596178057542e-76,5.1560061805548935e-47,8.6153919985059131e-85,3.6132853910467829e-58,2.9358904953009929e-69,7.7025149868665555e-80,1.9259708727310104e-80,3.3925208881194945e-70,8.5899025033026142e-61,7.7586219997561052e-86,8.5899069695494541e-61,6.0474378319694633e-78,3.2175063426061366e-64,1.0845584816766208e-75,2.1576483232660043e-71,1.5554992471012023e-80,4.4433576927669791e-24,3.5589201234248911e-61,5.3559982396557727e-54,2.1771857580789874e-66,5.6607419750718925e-82,1.0375570660875621e-82,2.5581727736501755e-90,4.1411698738760076e-93,5.0934412211939969e-99,2.9137367856461703e-44,9.2302131655230764e-45,9.2302131655230764e-45,1.4358111857667212e-93,7.475975186807446e-96,1.7793298470667456e-100,1.3553302120170784e-81,1.0795287636488243e-89,1.6486474501982312e-40,9.8830501622133917e-52,6.8816900387266209e-44,9.8830587637442235e-52,9.8907964730270871e-52,2.2914670884933844e-94,2.7429121485561218e-103,2.742912148631742e-103,2.6823720188456926e-114,3.0999081105244526e-114,1.7786578580815183e-114,2.8087272261776813e-101,2.7911526079130159e-61,1.102468903883481e-117,9.828084869122717e-72,1.7797177678099382e-74
9.780244112938116e-21,0.233651481725035,76.950000000000003,0.0,0.0,0.0,0.99999999999988298,9.5,2.7410368765212491e-15,3.3540924235964023e-14,3.354084660166769e-14,1.0035737085966076e-24,1.0034860177041651e-24,4.7169115525011675e-14,2.4862666935580104e-22,5.7582929654173632e-25,3.742804395261416e-36,1.0652489878167516e-40,1.8056341684286347e-28,4.3624605280275962e-22,5.0477935668068702e-27,4.2922053731248095e-36,1.21317916014318e-40,5.6860531633274664e-43,1.4605200212217848e-54,6.86882839866176e-37,4.0739011464156231e-27,2.6985188602715504e-37,2.6985188603139412e-37,3.715914916856774e-48,5.2298732046969838e-49,1.1785412649200879e-41,1.7465144475541558e-27,5.1490754812607526e-38,3.6234699273130588e-39,2.1836527207947873e-86,2.4217102764538479e-48,1.7789931996182982e-41,2.0319704437883355e-86,4.8277886054705698e-24,2.8134295615936373e-59,2.8134229950954109e-59,1.9943814917486402e-34,5.985516118681143e-35,4.4064955588077974e-26,1.9943073250879823e-34,8.1061950935029144e-45,2.0319704437881752e-86,1.1335113584246314e-51,1.7031393062349835e-50,8.8054076973746432e-62,2.8825914625524669e-73,2.7499510855960426e-42,1.3874336650278285e-84,9.1397448543533452e-32,5.3703448492284764e-63,3.1610592006018861e-85,5.0205008440286299e-42,4.7905074746113835e-97,3.238480849430739e-90,1.2958463698117953e-100,8.7486755974077685e-59,1.0159176188439263e-42,2.6326736954853219e-60,3.976910487554346e-42,4.7721341867936493e-53,4.409737736533534e-35,5.4762860767004352e-53,4.0726709941555296e-54,1.1329125351803669e-45,9.8031865596373126e-46,6.423651769496832e-64,3.6787320523071496e-46,9.8464760418745451e-50,1.0607209266152563e-68,1.3476114967537768e-52,1.4308652759352587e-38,9.5523600264124756e-70,7.7634870099549516e-20,6.6286021359118644e-37,5.7387806508779745e-36,6.6286021359118644e-37,2.6478674145558578e-62,6.2780211914642515e-57,3.9466235124166514e-57,1.0166974154172525e-97,7.1707967797953561e-101,5.3863906024368088e-45,1.5733907027526903e-54,7.3213067902606906e-55,2.7968381185882784e-74,4.175467483289287e-46,1.1181116898876601e-82,5.8572913254431127e-57,9.522490466517056e-68,4.9976545344568348e-78,1.249635589771686e-78,1.1003560179435968e-68,1.392458762363724e-59,1.0069194717793825e-83,1.3924602109779525e-59,3.9237839598536023e-76,5.4080835400321352e-63,3.645494497801067e-74,6.99828066481805e-70,5.2287749714795097e-79,1.7960752228621049e-23,1.154327199086443e-59,8.682303951720718e-53,7.061645587533183e-65,3.672882559706236e-80,6.7324179000313841e-81,3.3202101913054771e-88,5.3750270990349612e-91,1.3222096769147431e-96,2.359619569066258e-43,7.4748658559257534e-44,7.4748658559257534e-44,1.8635163846135001e-91,9.7031764938213752e-94,4.618973779947293e-98,8.7938448175256571e-80,1.4010201727283489e-87,1.3351174441415589e-39,1.6020822051704656e-50,5.572970980022609e-43,1.6020849950491264e-50,1.6033407246853412e-50,1.5404635913595441e-92,3.6878153716026875e-101,3.6878153718060261e-101,7.2127412380360531e-112,8.3354846086959316e-112,4.7827156832763229e-112,6.9455411051165675e-99,4.5245786559578136e-60,2.9644798452808022e-115,3.1877131534161422e-70,5.7746425778128957e-73
