Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054)
0.0,0.3154573728822481,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0485453745114614e-25,0.3154573728822481,76.950000000000003,0.0,0.0,0.0,0.99999999999999956,9.5,1.5593918919105218e-18,1.7693353352350777e-17,1.7693353352350789e-17,2.8010511056408222e-32,2.8010510635245254e-32,4.2646390092328075e-16,1.6331349995528719e-28,1.3638795774163813e-32,2.3253618602928924e-47,7.4984350988925789e-52,4.0260681118439578e-50,4.3667798957351616e-28,5.1244932842264353e-34,2.2645161580045562e-47,1.5705477020016633e-51,1.2556435939777855e-67,3.5874267359376232e-68,6.8095211631672545e-46,2.9261074415179331e-33,5.3317120075828002e-47,5.3317120075828051e-47,4.1099123354163706e-62,6.5880095671498941e-63,1.598374399804135e-48,7.3978599179562309e-35,1.1405175556837273e-49,9.1409985848068409e-51,9.1207741842459409e-110,3.3354390915256237e-63,2.6892470667063146e-52,8.2926557085902927e-110,5.1382813147599369e-30,2.6401822107515994e-78,2.6401822101817164e-78,9.6270352021059402e-44,2.8278357754457005e-44,2.5137182654961692e-31,9.6262800752410364e-44,9.746618636236533e-58,8.2926557085902915e-110,9.0731501286507151e-67,3.5874267359958981e-68,5.8275250933503371e-79,2.9025180916577166e-94,1.1536368599563597e-52,9.0103563261231658e-110,4.7124214764903166e-37,1.019532483899828e-84,2.5034742465107629e-109,4.1844160300238456e-51,2.3014227831576747e-125,1.2726290917773278e-114,2.4120792367290138e-129,1.2536092344678056e-74,5.1993663471988755e-51,1.4130658141684296e-75,4.7713316697167272e-51,3.7767696101934982e-66,2.8551277557969128e-40,3.6779471317785733e-66,2.9477941272417314e-67,4.5199791118500442e-55,6.3003087671734687e-54,1.3455600569248872e-80,8.5108376788151568e-55,3.3072892271900755e-57,5.4113073411199069e-88
1.1335927048632093e-24,0.3154573728822481,76.950000000000003,0.0,0.0,0.0,0.99999999999999867,9.5,4.366297297349459e-18,4.9541389386581978e-17,4.954138938658204e-17,1.6918348678069e-31,1.6918348178064344e-31,1.1940989225831982e-15,9.8641353972856464e-28,8.237832647585021e-32,2.7606692174051506e-46,8.9021421494426445e-51,6.0841941306311307e-49,2.6375350570203739e-27,3.095193943672755e-33,2.6884326045646511e-46,1.8645542315064933e-50,3.5411158379994078e-66,8.0249301111450957e-67,8.0842635249018477e-45,1.7673688946767966e-32,6.3298084954021794e-46,6.3298084954021903e-46,9.1937094977834833e-61,1.4737113881307434e-61,1.8975900874418964e-47,4.468307390445731e-34,1.3540224421001163e-48,1.0852193519860997e-49,9.718892665390569e-108,7.4612438301643094e-62,3.1926741175954354e-51,8.8364681675858108e-108,3.1035219141106905e-29,1.0894785816562506e-76,1.0894785812272567e-76,1.1429216191916573e-42,3.3572066326021125e-43,1.5182858323562874e-30,1.1428319705302629e-42,2.1802796024472731e-56,8.8364681675858078e-108,2.0296273911795184e-65,8.0249301113855711e-67,2.4047445468184898e-77,2.1849431725279296e-92,1.3695976801401739e-51,1.2299091982007628e-107,2.8463025718000541e-36,4.2071293417386534e-83,3.4172300093343769e-107,4.967738710841759e-50,5.6775895914567794e-123,1.7371324387947198e-112,5.9505780808753504e-127,5.1730536070800236e-73,6.1726877269846941e-50,5.8310556479957054e-74,5.6645249582875139e-50,8.4484825471511161e-65,1.724497164501286e-39,8.227420615868535e-65,6.5940975508734116e-66,5.3661192015877954e-54,7.4797265683508327e-53,5.5524800913813427e-79,1.0104066492056313e-53,3.9264314939591825e-56,4.0734971001528451e-86
2.5910690396873353e-24,0.3154573728822481,76.950000000000003,0.0,0.0,0.0,0.999999999999997,9.5,9.980108108227324e-18,1.1323746145504364e-16,1.1323746145504394e-16,8.1454566152011682e-31,8.1454561242936449e-31,2.7293689658950808e-15,4.749156578679197e-27,3.9661618111119541e-31,2.7104405966405717e-45,8.7401759513808066e-50,6.5450984081155704e-48,1.2698595936742889e-26,1.4902026470530304e-32,2.6395170012955196e-45,1.8306304004925071e-49,7.7027004241474811e-65,1.5855909582896054e-65,7.9371778677557643e-44,8.5091204399336264e-32,6.2146435160381415e-45,6.2146435160381614e-45,1.8165220694852074e-59,2.911805361327244e-60,1.8630652003944228e-46,2.1512976641419159e-33,1.3293872628813721e-47,1.0654747950383592e-48,2.2117925764624717e-105,1.4742160481220474e-60,3.1345863809579368e-50,2.0109734069614773e-105,1.4942122063257223e-28,4.3098689233483512e-75,4.3098689199564273e-75,1.122127223150152e-41,3.2961253798377387e-42,7.3098927160118785e-30,1.1220392055628006e-41,4.3078650858811304e-55,2.0109734069614761e-105,4.0102017035069834e-64,1.5855909583847346e-65,9.5129302840286666e-76,1.7275688670320907e-90,1.344679123965076e-50,1.9429550976279092e-105,1.3703721653632401e-35,1.6642985292548244e-81,5.3983858939478327e-105,4.8773553245878957e-49,1.7922462312032967e-120,2.7442435037868638e-110,1.878420580993871e-124,2.0464085628407306e-71,6.0603814130246003e-49,2.3067076266364292e-72,5.5614641942212495e-49,1.6692777821807215e-63,8.3027115138566802e-39,1.6255996697854694e-63,1.3028825560046254e-64,5.2684876527706247e-53,7.3436398989011159e-52,2.1964961491290313e-77,9.9202323977045172e-53,3.8550312658740279e-55,3.2207916703549527e-84
5.506021709335588e-24,0.3154573728822481,76.950000000000003,0.0,0.0,0.0,0.99999999999999367,9.5,2.1207729729983019e-17,2.4062960559196398e-16,2.4062960559196531e-16,3.5573349041614245e-30,3.5573344699593058e-30,5.799909052487038e-15,2.0740814494109066e-26,1.7321270633034268e-30,2.3973525692836871e-44,7.7305866497852572e-49,6.0160730582906666e-47,5.5458104675268623e-26,6.5081064709673976e-32,2.3346192100694747e-44,1.6191718568383103e-48,1.4279508431879259e-63,2.8214743923530009e-64,7.0203439383117379e-43,3.7161564507272348e-31,5.4967818113367869e-44,5.4967818113368247e-44,3.2324039661705887e-58,5.1814020632809032e-59,1.6478600711857888e-45,9.39528209580691e-33,1.1758279791581736e-46,9.4240039008511849e-48,3.7378316742915577e-103,2.6232886905489735e-59,2.772506155901991e-49,3.3984561557399128e-103,6.5256172696782936e-28,1.5381616047160556e-73,1.5381616022916499e-73,9.925088211809487e-41,2.9153855710077814e-41,3.1924221971274539e-29,9.9243097062173144e-41,7.665615751910666e-54,3.3984561557399088e-103,7.1359396671481412e-63,2.8214743926925103e-64,3.3950972472775509e-74,1.2347939898736096e-88,1.1893534571404863e-49,2.7793339203809153e-103,5.984775275141216e-35,5.9397632348292456e-80,7.7222150160210264e-103,4.3139655502967958e-48,5.129178849845875e-118,3.9255508611962353e-108,5.3757987867880169e-122,7.3034868030206589e-70,5.3603387266402944e-48,8.2324756724803613e-71,4.9190520982099661e-48,2.9703906241168077e-62,3.6260122498613134e-38,2.8926677568722419e-62,2.3184098956604262e-63,4.6599176651491731e-52,6.4953663263609709e-51,7.8390688550535376e-76,8.7743332118341759e-52,3.4097982812525276e-54,2.3020872123864227e-82
1.1335927048632093e-23,0.3154573728822481,76.950000000000003,0.0,0.0,0.0,0.99999999999998701,9.5,4.3662972973494251e-17,4.9541389386579254e-16,4.9541389386579826e-16,1.4851172962085869e-29,1.4851169312355847e-29,1.1940989225543719e-14,8.658881767438162e-26,7.2312895193232554e-30,2.0151168571468789e-43,6.4980238821550389e-48,5.1468771616008342e-46,2.3152667006676683e-25,2.7170063392966981e-31,1.9623819165930329e-43,1.3610115061314056e-47,2.454282656482931e-62,4.7588289576531622e-63,5.9010220875402556e-42,1.5514221654923245e-30,4.6203763183777297e-43,4.6203763183777934e-43,5.4519217467843734e-57,8.7391919092436981e-58,1.3851256808140396e-44,3.9223453285026272e-32,9.8835426538477694e-46,7.9214431173599113e-47,5.4730089302934307e-101,4.4245598044689938e-58,2.330458480073447e-48,4.976088414441796e-101,2.7243167530255758e-27,5.1971004153405365e-72,5.1971003989442747e-72,8.342634673302999e-40,2.4505572375458906e-40,1.3327734243186551e-28,8.3419802924447547e-40,1.2929181395326028e-52,4.9760884144417827e-101,1.2035805259555682e-61,4.7588289588002872e-63,1.1471266267248522e-72,8.3509177320426399e-87,9.9972324464819644e-49,3.760842661796691e-101,2.4985258668338289e-34,2.0069117517582874e-78,1.0449279038714964e-100,3.6261479809320891e-47,1.3883837015728101e-115,5.3118407417905319e-106,1.4551396309787734e-119,2.4676831236502568e-68,4.5056876817807319e-47,2.7815674664298559e-69,4.1347596836676393e-47,5.0099979486425753e-61,1.5137887361228325e-37,4.8789069729909113e-61,3.9103371549390077e-62,3.9169415786566534e-51,5.4597467722492188e-50,2.6485969600085034e-74,7.3753557563058977e-51,2.8662532591945688e-53,1.5569026964390015e-80
2.2995737727225103e-23,0.3154573728822481,76.950000000000003,0.0,0.0,0.0,0.99999999999997369,9.5,8.8573459460516105e-17,1.0049824704134015e-15,1.0049824704134248e-15,6.0671887368438112e-29,6.0671857445753285e-29,2.4223149571148148e-14,3.537435734269648e-25,2.9542177197498022e-29,1.6521105649377717e-42,5.3274725730217682e-47,4.2555375682728924e-45,9.4586199249254183e-25,1.1099857433364496e-30,1.6088690886177892e-42,1.1158394583569155e-46,4.0677935147461399e-61,7.8163908514438448e-62,4.8380144319958602e-41,6.3380657626214104e-30,3.788063657184069e-42,3.7880636571841722e-42,8.9547978393405717e-56,1.4354148952668401e-56,1.1356097188421842e-43,1.6024060496708777e-31,8.1031254053291113e-45,6.4944776608207085e-46,7.4838767714805696e-99,7.2673527647068159e-57,1.9106506623514938e-47,6.8043799986418403e-99,1.1129722858513402e-26,1.7086929073777535e-70,1.7086928965917444e-70,6.8397959456850888e-39,2.0091148796992393e-39,5.4448143113938849e-28,6.8392594447222244e-39,2.1236219264987896e-51,6.8043799986418094e-99,1.9768846280217542e-60,7.8163908552153391e-62,3.7715013715639354e-71,5.4935126128030323e-85,8.196335166967397e-48,4.9490574902774901e-99,1.0207293414925767e-33,6.5982867538984906e-77,1.375066370627445e-98,2.9729351973748381e-46,3.654454194390919e-113,6.9900837622796395e-104,3.8301667775458045e-117,8.1132022131612343e-67,3.694034979447416e-46,9.1451852583011616e-68,3.3899258003267943e-46,8.2289366735733181e-60,6.1843209241604999e-37,8.0136193529804092e-60,6.422740518973206e-61,3.2113453578190981e-50,4.4762302675060096e-49,8.7076967389214742e-73,6.0467622468230479e-50,2.3501118345887972e-52,1.0241825958875902e-78
4.631535908441112e-23,0.3154573728822481,76.950000000000003,0.0,0.0,0.0,0.99999999999994704,9.5,1.783944324345574e-16,2.0241196235084264e-15,2.0241196235085207e-15,2.4524546934264479e-28,2.4524522702109675e-28,4.8787470260321272e-14,1.429888082455379e-24,1.1941420361513711e-28,1.3379155185125983e-41,4.3143254142769235e-46,3.4605324766913424e-44,3.8233254037951399e-24,4.4867398460167912e-30,1.3028874308197164e-41,9.0363571825149759e-46,6.6233472327656348e-60,1.2670706396895607e-60,3.9179495208511797e-40,2.5619475182027759e-29,3.0676721617682179e-41,3.0676721617683862e-41,1.4516113183253986e-54,2.3268694013200288e-55,9.1964619289477782e-43,6.4771814554622378e-31,6.562121039667913e-44,5.259396390071212e-45,9.8981434608970013e-97,1.1780692002253923e-55,1.547294443362537e-46,8.9994439306753865e-97,4.4988119281565647e-26,5.5421044655343387e-69,5.5421043955510294e-69,5.5390440901035634e-38,1.6270333192830679e-38,2.200880999588425e-27,5.5386096177153301e-38,3.4424826556970295e-50,8.9994439306752992e-97,3.2046151718093457e-59,1.267070640912836e-60,1.2232774290671407e-69,3.5643784177034795e-83,6.637604722546509e-47,6.4229220297938904e-97,4.1259511988888348e-33,2.1401384926570752e-75,1.7845709211684498e-96,2.4075600013413289e-45,9.4860607762375801e-111,9.0717804586802342e-102,9.9421672588194591e-115,2.6314976901227032e-65,2.9915252937809257e-45,2.9662189170688931e-66,2.7452498028631056e-45,1.3339460953074532e-58,2.4998013963276661e-36,1.2990422299544457e-58,1.0411539155863784e-59,2.6006307305031159e-49,3.6249673241015859e-48,2.8241191084942842e-71,4.8968248364516123e-49,1.9034799078231748e-51,6.6452461271496056e-77
9.295460179878315e-23,0.3154573728822481,76.950000000000003,0.0,0.0,0.0,0.99999999999989364,9.5,3.5803637838263024e-16,4.0623939296977056e-15,4.062393929698085e-15,9.8612124593297554e-28,9.8611929552014382e-28,9.791611163052462e-14,5.7495170902459652e-24,4.8015926066956628e-28,1.0768604210240274e-40,3.4725444321879704e-45,2.791044809416465e-43,1.5373423291243996e-23,1.8040983586841646e-29,1.0486506409947413e-40,7.273246321804698e-45,1.0690109139104738e-58,2.0405782021776788e-59,3.1535066280061773e-39,1.0301478292134233e-28,2.46912943723426e-40,2.4691294372345308e-40,2.3377752765930282e-53,3.747351437005849e-54,7.4021126330122801e-42,2.6044461755687225e-30,5.2817659022907564e-43,4.2332197712858996e-44,1.2877756010194941e-94,1.8972441288469496e-54,1.2453971796353608e-45,1.1708523282627087e-94,1.8089524896467462e-25,1.7854627634527538e-67,1.7854627183557839e-67,4.4583045690205681e-37,1.3095779638683684e-37,8.8496456997314781e-27,4.4579548678462356e-37,5.5440121904038981e-49,1.170852328262686e-94,5.1609339415604005e-58,2.0405782061186224e-59,3.940951182370256e-68,2.2968715908474612e-81,5.3425217392601782e-46,8.2782581080358071e-95,1.6590268304767708e-32,6.8947412342284218e-74,2.3000650839334138e-94,1.9378137419968096e-44,2.4453099434513145e-108,1.169227026727953e-99,2.5628847461718415e-112,8.4777203376865056e-64,2.4078398021459267e-44,9.5560693566515893e-65,2.209615872674406e-44,2.1482790620205713e-57,1.0051591469354251e-35,2.092067463476911e-57,1.6767462840425454e-58,2.0932138616534819e-48,2.9176890664500454e-47,9.0969781338083011e-70,3.9413906361924639e-48,1.5325666095873124e-50,4.2821707637277283e-75
1.8623308722752723e-22,0.31545737288224823,76.950000000000003,0.0,0.0,0.0,0.99999999999978684,9.5,7.1732027027873733e-16,8.1389425420731785e-15,8.1389425420746995e-15,3.9547872496485759e-27,3.9547715988428474e-27,1.961733943383596e-13,2.3058135061888278e-23,1.9256533914469713e-27,8.6409600453167952e-40,2.7864982151454751e-44,2.2419189753615575e-42,6.1654303317832075e-23,7.2352413210324378e-29,8.4143355237680973e-40,5.83632198539943e-44,1.7178718409555291e-57,3.2755799298033598e-58,2.5304904676156866e-38,4.1313535400125219e-28,1.9813208730349224e-39,1.981320873035358e-39,3.7526470552115333e-52,6.0153289681591e-53,5.9397292167974036e-41,1.044499403110404e-29,4.2382844992813195e-42,3.3968922666437287e-43,1.6618061943142207e-92,3.0454970021382388e-53,9.9935280435147289e-45,1.5109229047318259e-92,7.2547085558849506e-25,5.7327463978792742e-66,5.7327461082697979e-66,3.5775086413978348e-36,1.0508538413595025e-36,3.5491037345869613e-26,3.577228028231992e-36,8.8993673766209348e-48,1.5109229047317673e-92,8.284441951119362e-57,3.2755799424569062e-58,1.265356773676641e-66,1.4750343668588163e-79,4.2870372354811217e-45,1.0632762778505545e-92,6.6534396080669935e-32,2.2137568156369015e-72,2.9542502895555231e-92,1.5549734885949007e-43,6.281696393075886e-106,1.5017789363486351e-97,6.5837314073777922e-110,2.7220182057810797e-62,1.9321397829417988e-43,3.0682534605053628e-63,1.773077581066267e-43,3.448463662718315e-56,4.0311377476117012e-35,3.3582315999302538e-56,2.6915491291030316e-57,1.6796722979474634e-47,2.3412617245553699e-46,2.9200158825630934e-68,3.1627177552953074e-47,1.2305591381265348e-49,2.7499791771746649e-73
