Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995),S(1218),S(2281),S(2282),S(1827),S(971),S(805),S(887),S(3335),S(1971),C7H8(1663),S(3456),C7H9(2067),C7H9(2027),S(3692),S(3691),S(2237),S(2209),S(3466),S(3552)
0.0,0.4673586434349027,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.704662529417962e-27,0.4673586434349027,76.950000000000003,0.0,0.0,0.0,0.99999999999999944,9.5,1.5266507417215799e-19,1.3376546527292152e-18,1.3374623776588365e-18,1.4954770813972462e-35,1.4956920154862975e-35,4.9749009896453832e-16,2.0154861211765884e-30,6.2508459851431253e-36,3.1936245804282816e-52,1.200515199291434e-56,2.5371514824497068e-38,8.0398015195600882e-30,9.8504502437800402e-37,2.669764112395693e-52,3.6947803249478816e-56,7.7466883850837036e-57,1.5048677433682182e-73,1.2273968953130697e-48,3.4456480395747299e-35,2.0249331157402987e-50,2.0249331157402987e-50,9.4624909432958357e-68,1.7429339317829161e-68,2.61731942084761e-49,1.1349421992093818e-35,1.0607145685655699e-52,9.7688622613647742e-54,8.1256806154263944e-119,1.8738275801240906e-67,2.7887938486272422e-53,7.2347049616997657e-119,9.9201549372940214e-32,1.0476055777975408e-84,1.0476055777953236e-84,9.5460606428182266e-47,2.7337414877505257e-47,2.3559166072045386e-32,9.5447349915555438e-47,2.6530133787337938e-62,7.2347049616997657e-119,6.3034465088603961e-70,3.7536551371190457e-62,6.6809749675656103e-86,5.5892159136511583e-103,1.7327864511417026e-54,1.137244139314964e-120,3.27092749924523e-38,1.1112809585067571e-80,3.8492004061954336e-119,5.5613611229170579e-54,2.1855656069239534e-137,1.0024147100030176e-124,9.1322819568368742e-142,3.755610376287329e-80,3.413649841105597e-53,1.3936755942182292e-80,9.0917290255232119e-54,5.082936199682097e-71,2.4999535084104328e-41,4.2485553174165785e-71,4.1179818681873182e-72,2.795310803863965e-58,5.2180709592303317e-56,5.4928873485657713e-87,2.9137975845434637e-57,1.4304674167768039e-58,5.6462236978475604e-95,2.7488694590438391e-69,4.3015531762956866e-51,4.6269249682275569e-96,1.9227507037887916e-22,1.1164603906447002e-49,9.0375919055605902e-44,1.1164603906447002e-49,8.6487213692142133e-82,6.9022037323384645e-75,5.9694484051001918e-75,4.3668773168398803e-137,4.0986283976027106e-137,7.3821176268417722e-58,1.4158968265295366e-71,2.7709111987183902e-73,1.97288960086001e-98,4.9263231043057855e-59,7.9927854190930509e-113,1.0287399106614593e-71,1.7498411418207905e-87,3.7888811953803607e-104,8.1769890708870528e-105,8.9886345033792964e-90,4.2285969289834677e-78,6.5496961413754044e-114,4.2285969289863518e-78
1.0373055082370295e-26,0.4673586434349027,76.950000000000003,0.0,0.0,0.0,0.99999999999999856,9.5,4.2746220768204219e-19,3.7454330276417988e-18,3.7448946574447387e-18,9.0326815716393282e-35,9.0339797712126735e-35,1.3929722771006733e-15,1.2173536171906346e-29,3.7755109750263669e-35,3.7914710817931689e-51,1.4272279073702619e-55,1.5324394953996245e-37,4.8560401178141954e-29,5.9496719472431375e-36,3.1695439132227668e-51,4.3864432017673113e-55,9.1968684507713798e-56,3.370788053909004e-72,1.4571655941156492e-47,2.0811714159031352e-34,2.4040005950068803e-49,2.4040005950068803e-49,2.1167213740513421e-66,3.8988734880409943e-67,3.1072816164301539e-48,6.8550508832245559e-35,1.2592803358009251e-51,1.1597593276691536e-52,8.6585432485526026e-117,4.1916773436350446e-66,3.3108560570901946e-52,7.7091395497961476e-117,5.9917735821254674e-31,4.3229737497325718e-83,4.3229737497158823e-83,1.133308319515349e-45,3.2454978942573346e-46,1.4229736307514998e-31,1.1331509381974439e-45,5.9346848076921958e-61,7.7091395497961462e-117,1.4100557702460062e-68,4.4563393788103995e-61,2.7604864049885381e-84,4.2127881682294497e-101,2.0571640747953975e-53,1.5542979091724723e-118,1.9756402095441152e-37,2.4858910529533546e-79,5.2607913608939149e-117,6.6024479251270298e-53,5.3985693135652851e-135,1.3700234048498109e-122,2.2631568663085109e-139,1.5497631374839811e-78,4.0526850913504407e-52,5.7510413624579968e-79,1.0793700699101143e-52,1.13703249612388e-69,1.5099719190798974e-40,9.5038483028474881e-70,9.2117607198602486e-71,3.3185929863472808e-57,6.1948938427975662e-55,2.2666547773095913e-85,3.4592604923690488e-56,1.6982509721003283e-57,4.2503362699959675e-93,6.1491110251025924e-68,5.1068039308974261e-50,3.4830336280343959e-94,5.3837019706089431e-22,1.3254617757733204e-48,5.4587055109677259e-43,1.3254617757733204e-48,3.5689190894259903e-80,1.5439953592726111e-73,1.3353417218043499e-73,1.0786631068910322e-134,7.2723393029021398e-135,8.7640500465863846e-57,3.1671970900667341e-70,6.1984175150822599e-72,1.4851420482029364e-96,5.8485307894318791e-58,1.0910112708615052e-110,2.3012500305532552e-70,7.2207684672754846e-86,2.8521751934075742e-102,6.1554332749161362e-103,3.7091851959960657e-88,9.4592021862475674e-77,8.9403029560745763e-112,9.4592021862594689e-77
2.370984018827496e-26,0.4673586434349027,76.950000000000003,0.0,0.0,0.0,0.99999999999999678,9.5,9.7705647470180936e-19,8.5609897774669497e-18,8.5597592170165253e-18,4.3488473527031328e-34,4.3494723775473066e-34,3.1839366333728072e-15,5.861033640381146e-29,1.8177460124794985e-34,3.7224887486642162e-50,1.4021268094319045e-54,7.378036510963766e-37,2.3379742818879257e-28,2.8645109308912225e-35,3.1118769222668812e-50,4.3066359467257265e-54,9.0295399816535829e-55,6.6644084984485559e-71,1.4306538211768293e-46,1.0019944499083285e-33,2.3602620397068858e-48,2.3602620397068858e-48,4.1822847370661497e-65,7.7035169959935728e-66,3.0507475169395712e-47,3.3004119153007167e-34,1.2363689011196581e-50,1.1386585851844533e-51,1.9704818583218303e-114,8.2820480729810911e-65,3.2506181099597016e-51,1.7544197898051722e-114,2.8847810557649186e-30,1.7101254250091194e-81,1.7101254249959238e-81,1.1126888285267965e-44,3.1864490781217323e-45,6.8510054937501731e-31,1.1125343106156196e-44,1.1725937100075868e-59,1.7544197898051722e-114,2.7860325872863799e-67,4.3752604278958391e-60,1.0927422329165822e-82,3.3331535638008819e-99,2.0197358874506696e-52,2.4570649907570759e-116,9.5118571678050601e-37,4.9117018122175192e-78,8.3163634205824589e-115,6.4823225248717976e-52,1.7053217069818969e-132,2.1657601961273927e-120,7.1579291697194257e-137,6.1307088536543977e-77,3.978950254761291e-51,2.2750547710016135e-77,1.0597319352149789e-51,2.2465846059769072e-68,7.2698648024574724e-40,1.8778002711011113e-68,1.8200886867998554e-69,3.258214272983778e-56,6.0821835100767556e-54,8.9666559293075143e-84,3.3963224645409079e-55,1.6673529911940517e-56,3.3606130845601356e-91,1.2149607171770944e-66,5.0138903822877293e-49,2.753929957722326e-92,1.2305604504250541e-21,1.301346231335253e-47,2.6281317261504572e-42,1.301346231335253e-47,1.4118289001919346e-78,3.0506746148894384e-72,2.6384101806727104e-72,3.4073242443664147e-132,3.3138247853876353e-132,8.6045963058462411e-56,6.257383041307508e-69,1.224702848710483e-70,1.1742571605107637e-94,5.7421222103789658e-57,1.7235304146320444e-108,4.5468822665764869e-69,2.8564641977732259e-84,2.2551291628585355e-100,4.8669160016457529e-101,1.4673167770563921e-86,1.8689789508077984e-75,1.4123487513242767e-109,1.8689789508125062e-75
5.038341040008429e-26,0.4673586434349026,76.950000000000003,0.0,0.0,0.0,0.99999999999999323,9.5,2.0762450087413401e-18,1.8192103277117179e-17,1.8189488336160021e-17,1.8992558933744415e-33,1.8995288560645231e-33,6.7658653459165283e-15,2.5596673738938821e-28,7.9385744011305015e-34,3.2924990666440665e-49,1.2405092056317364e-53,3.222182382711144e-36,1.0210547929839777e-27,1.2510071809600507e-34,2.7524197423182474e-49,3.8091707237378675e-53,7.9865258574859259e-54,1.1862447770890576e-69,1.2653971031917836e-45,4.3759730102598768e-33,2.0876250450036046e-47,2.0876250450036046e-47,7.4421522309905698e-64,1.3707996897034892e-64,2.6983516301162048e-46,1.4413765929957422e-33,1.0935542916075817e-49,1.0071306236971901e-50,3.3300272286080798e-112,1.4737462037749315e-63,2.8751349061802938e-50,2.9648918845848652e-112,1.2598596770361512e-29,6.1033161705337513e-80,6.1033161704394361e-80,9.8416066803178557e-44,2.8183781242106901e-44,2.9920140911491165e-30,9.8402399868921044e-44,2.0865678555167195e-58,2.9648918845848643e-112,4.9575961319256529e-66,3.8698683003106113e-59,3.9010995323033747e-81,2.3831297520104672e-97,1.7864335196688402e-51,3.5158371846262242e-114,4.1540779240413678e-36,8.7401109438050179e-77,1.1899961891500521e-112,5.7335408632818799e-51,4.8819249244960672e-130,3.0990064403393151e-118,2.0503987820556714e-134,2.1880064430559315e-75,3.5193364401202993e-50,8.1195088791231551e-76,9.373208956153257e-51,3.9976772717777575e-67,3.1749409556811787e-39,3.3414452519397987e-67,3.2387505711948339e-68,2.8818536263514654e-55,5.3796224361236499e-53,3.200132258718574e-82,3.0040087577547231e-54,1.4747550454181321e-55,2.402025712822147e-89,2.1619576811144119e-65,4.4347292626285022e-48,1.9683939814887742e-90,2.6149409571538943e-21,1.1510260043386187e-46,1.1477741720199628e-41,1.1510260043386187e-46,5.0387170616839433e-77,5.4285123745865487e-71,4.6949098134857449e-71,9.7543478666118662e-130,1.1267770171056906e-129,7.6106679885676795e-55,1.1133017825902018e-67,2.179293283653785e-69,8.3930991817278197e-93,5.0788420676153807e-56,2.4654540654321418e-106,8.0909340543853911e-68,1.0194517825392559e-82,1.6118720300793684e-98,3.4786680536975081e-99,5.2367493528746537e-85,3.3257481837828095e-74,2.0203188416051049e-107,3.3257481837996116e-74
1.0373055082370295e-25,0.4673586434349027,76.950000000000003,0.0,0.0,0.0,0.99999999999998601,9.5,4.2746220768203862e-18,3.7454330276417355e-17,3.7448946574446733e-17,7.9290194855676431e-33,7.9301590336806713e-33,1.3929722771001785e-14,1.0686107414474802e-27,3.3141985413217427e-33,2.7675437261076866e-48,1.0428590934599236e-52,1.3451977159948483e-35,4.2627027656693745e-27,5.2227087192520421e-34,2.3135743791671249e-48,3.2018375129869056e-52,6.7131562074994249e-53,2.0010543016886432e-68,1.0636425111276564e-44,1.8268825905824942e-32,1.7547746391706658e-46,1.7547746391706662e-46,1.2552277505394969e-62,2.3120540369790788e-63,2.2681271329942672e-45,6.0174635402065839e-33,9.1919827368441251e-49,8.4655397338939438e-50,4.8758933917888739e-110,2.4856883799434307e-62,2.4167241285179751e-49,4.3412548171441053e-110,5.2596661477515819e-29,2.0621725921646167e-78,2.0621725921008311e-78,8.272463416092315e-43,2.3690166334197245e-43,1.2491069851392627e-29,8.271314627918536e-43,3.5193016674973838e-57,4.341254817144103e-110,8.3617104939750806e-65,3.2528574836103651e-58,1.3182829453280232e-79,1.6119471033103789e-95,1.5016050139757999e-50,4.7581382874605378e-112,1.734245760099753e-35,1.4741474588822305e-75,1.6104745846269925e-110,4.8193865673407027e-50,1.3216512244760819e-127,4.1940227670280962e-116,5.5526040227630934e-132,7.3927792569227432e-74,2.9582143337850397e-49,2.7433985401863493e-74,7.8787469058537197e-50,6.7426670316362326e-66,1.3254753501591466e-38,5.6358358132981804e-66,5.4626262240550853e-67,2.4223716176554157e-54,4.5218968041255763e-52,1.0812499629981145e-80,2.5250503659927512e-53,1.2396208243583317e-54,1.6244911527137469e-87,3.6464576275766579e-64,3.7276571577174047e-47,1.3312258028357788e-88,5.3837019706136507e-21,9.6750671116564493e-46,4.7917312284516254e-41,9.6750671116564493e-46,1.7024686144476569e-75,9.1559792111105477e-70,7.9186511730108729e-70,2.6407300401415189e-127,3.3110821434973606e-127,6.3972250215370256e-54,1.8771858898801629e-66,3.6756966550700666e-68,5.6762570407908932e-91,4.2690727810222389e-55,3.336117608169972e-104,1.3646542878503403e-66,3.4444971655864109e-81,1.0901098344589233e-96,2.3526248891893298e-97,1.769379249887934e-83,5.6093604134644466e-73,2.7337849672796366e-105,5.6093604135212155e-73
2.1042483167094027e-25,0.4673586434349027,76.950000000000003,0.0,0.0,0.0,0.99999999999997158,9.5,8.6713762129784137e-18,7.5978784275016577e-17,7.5967863051019017e-17,3.2392631773892205e-32,3.2397287057685032e-32,2.8257437621163575e-14,4.3656235579103985e-27,1.3539582437649734e-32,2.2689993457566947e-47,8.5505315478142949e-52,5.4955715970454764e-35,1.7414531683416216e-26,2.1336469246036171e-33,1.8968076299701026e-47,2.6250598399087544e-51,5.503851050722507e-52,3.2869607296655746e-67,8.720383931959354e-44,7.4634114796402135e-32,1.4386702682102443e-45,1.4386702682102443e-45,2.0617153494712728e-61,3.7975556983997126e-62,1.8595476580967997e-44,2.4583302011741679e-32,7.5361428038576033e-48,6.9405609402063357e-49,6.6673717802774005e-108,4.0827506281232069e-61,1.9813764528800912e-48,5.9362987524632623e-108,2.1487452400361884e-28,6.7799723062246273e-77,6.7799723058050241e-77,6.7822653096971066e-42,1.9422629660328671e-42,5.1030096078643762e-29,6.7813234637454186e-42,5.7804635566630535e-56,5.9362987524632577e-108,1.3734134594993445e-63,2.6668890946681955e-57,4.3345294992733923e-78,1.0604680811484261e-93,1.2311065136106885e-49,6.2618913166535228e-110,7.0849598004645576e-35,2.4212916280065414e-74,2.1194459277789087e-108,3.9512242829768431e-49,3.4790536715505169e-125,5.5194937940589396e-114,1.4618647336419729e-129,2.4305840752346832e-72,2.4253228385136913e-48,9.0196941800399003e-73,6.4594727272568658e-49,1.1074850846388395e-64,5.4149992973567803e-38,9.2568772466854646e-65,8.9723799762489488e-66,1.9860066056823986e-53,3.7073242015126321e-51,3.5548975299732898e-79,2.0701888471483176e-52,1.0163166172783331e-53,1.0686445400005071e-85,5.989317602919375e-63,3.0561585534476043e-46,8.7572479747400342e-87,1.0921223997541481e-20,7.9322045610627065e-45,1.9575785572163147e-40,7.9322045610627065e-45,5.5973443262064567e-74,1.5038722176162934e-68,1.3006406851942127e-68,6.9513358528546742e-125,9.0714106126575016e-125,5.2448315767104331e-53,3.0814444018428644e-65,6.037342793330025e-67,3.7340314745013363e-89,3.5000437923959862e-54,4.3901432005359984e-102,2.2414487655943528e-65,1.1324753069056649e-79,7.17110659943751e-95,1.5476352323004767e-95,5.8173318563553104e-82,9.2133913227763689e-72,3.5975073110253929e-103,9.2133913229630162e-72
4.238133933654149e-25,0.4673586434349027,76.950000000000003,0.0,0.0,0.0,0.99999999999994271,9.5,1.7464884485294215e-17,1.5302769227221049e-16,1.5300569600415893e-16,1.3093619676628087e-31,1.3095501301906853e-31,5.6912867321452213e-14,1.7646548424215022e-26,5.4729157005921264e-32,1.8374941596932225e-46,6.9246585986020246e-51,2.2213979061559669e-34,7.0392321408381553e-26,8.6245420100401775e-33,1.5360833062578714e-46,2.1258415174483976e-50,4.4571612778499293e-51,5.3284832727395636e-66,7.0619929993173694e-43,3.0168302497533817e-31,1.1650724832421863e-44,1.1650724832421865e-44,3.3421294268295011e-60,6.15600143488359e-61,1.5059099055533776e-43,9.9369637263228793e-32,6.1029638302404035e-47,5.6206461955609379e-48,8.8182374461170115e-106,6.6183147058920765e-60,1.6045700221947224e-47,7.8513233812997386e-106,8.6855718150260135e-28,2.19906776567758e-75,2.1990677654053271e-75,5.4924542898902018e-41,1.5728949064598395e-41,2.0627180736006526e-28,5.4916915586195753e-41,9.3703805224266897e-55,7.851323381299726e-106,2.2263624022504296e-62,2.1597159330089164e-56,1.405942837924808e-76,6.8809202929278761e-92,9.9698197331320995e-49,8.1270146436960162e-108,2.8638540301086829e-34,3.9250180702019572e-73,2.7507293276988749e-106,3.1998038667603032e-48,9.031085081602997e-123,7.1634917677932416e-112,3.7950638447492477e-127,7.8835411863443463e-71,1.9640893151987793e-47,2.9255161868737172e-71,5.2310484876720628e-48,1.7952810469601013e-63,2.1888292943812805e-37,1.5005796922757754e-63,1.4544614587596533e-64,1.608319639979677e-52,3.002287257244215e-50,1.1530122544976956e-77,1.6764926016750553e-51,8.2304047087189523e-53,6.9337303913629384e-84,9.7089419315421871e-62,2.4749564328294634e-45,5.682001278662224e-85,2.19962680514304e-20,6.4237049098283078e-44,7.9128455185866056e-40,6.4237049098283078e-44,1.8154852152373628e-72,2.4378412911062152e-67,2.1083941199417784e-67,1.804459242192539e-122,2.4017282938173589e-122,4.2474005922586424e-52,4.9892021843659138e-64,9.7867928345927972e-66,2.4227670238277603e-87,2.8344262078462812e-53,5.6975590891140337e-100,3.6334850396124522e-64,3.6731565122491947e-78,4.6528586360620543e-93,1.0041585432074483e-93,1.8868376433272316e-80,1.4935304365576876e-70,4.6688705907339246e-101,1.4935304366182261e-70
8.505905167543641e-25,0.4673586434349027,76.950000000000003,0.0,0.0,0.0,0.99999999999988509,9.5,3.5051901029924805e-17,3.0712550826658031e-16,3.070813619104204e-16,5.2648868841391187e-31,5.2656433850162732e-31,1.1422372672188976e-13,7.0955995090274185e-26,2.2006353324471148e-31,1.4789746135411382e-45,5.5736541376574655e-50,8.932143280024224e-34,2.8304442841593878e-25,3.4678904101229676e-32,1.2363723694685522e-45,1.711062196981537e-49,3.5875111606812213e-50,8.5815006083517396e-65,5.684106345348807e-42,1.2130541749242849e-30,9.3775169352852949e-44,9.3775169352853008e-44,5.3823964097698863e-59,9.9140505319081884e-60,1.2120873031866897e-42,3.9956094099957722e-31,4.9121962363986108e-46,4.5239850433354194e-47,1.1472768678281056e-103,1.0658591802680791e-58,1.2914975482974637e-46,1.0214786971028773e-103,3.4924302262844626e-27,7.084589734573714e-74,7.0845897328193281e-74,4.4208050452191466e-40,1.2660026594806396e-40,8.2940986522948819e-28,4.4201911327365189e-40,1.5090708958603403e-53,1.0214786971028742e-103,3.585488013890011e-61,1.7383272745331144e-55,4.5295098701215388e-75,4.4341155995363357e-90,8.0245782759300441e-48,1.0474781882454019e-105,1.1515431098188907e-33,6.3211206026333851e-72,3.5453719463477689e-104,2.5754805286107605e-47,2.3280677114301682e-120,9.2329123422801177e-110,9.7834336079580222e-125,2.5397878063249515e-69,1.5808699525061096e-46,9.4249400910044502e-70,4.2104029138109353e-47,2.8912447806609862e-62,8.8011863244955513e-37,2.4166373341028831e-62,2.3423653407826925e-63,1.2945155669015028e-51,2.416501977699877e-49,3.7145166169014322e-76,1.3493870973622605e-50,6.6245606196324364e-52,4.4680689026377536e-82,1.563595167072417e-60,1.992060253462477e-44,3.6614595297193731e-83,4.4146356159341264e-20,5.1703565611082768e-43,3.1817203814148789e-39,5.1703565611082768e-43,5.848827453594131e-71,3.9260670212195803e-66,3.3955021886163553e-66,4.6516041652528096e-120,6.2522634520380148e-120,3.4186775121454094e-51,8.0158525810539018e-63,1.576132814959125e-64,1.5612216493153289e-85,2.2813928015828827e-52,7.3433656112933602e-98,5.8516156421919168e-63,1.1833562989067996e-76,2.9982840126076153e-91,6.4707586060787767e-92,6.0786988052343523e-79,2.4052847248957767e-69,6.0175284193368961e-99,2.4052847250908094e-69
1.7041447635322625e-24,0.4673586434349027,76.950000000000003,0.0,0.0,0.0,0.99999999999976985,9.5,7.0225934119181938e-17,6.1532114025524768e-16,6.1523269372286964e-16,2.1114551183597524e-30,2.1117584349562544e-30,2.2884544552220606e-13,2.8456527615567044e-25,8.8255319412956063e-31,1.186783110850256e-44,4.4725409915938038e-49,3.5821889551624356e-33,1.1351347526594785e-24,1.3907791596485358e-31,9.9210917845432999e-45,1.3730196536740614e-48,2.878751772885685e-49,1.3775323018887072e-63,4.5611373696166186e-41,4.8648897931860583e-30,7.524866765177442e-43,7.5248667651774516e-43,8.6399382585810621e-58,1.5914246734637448e-58,9.7262372620962638e-42,1.6024180814034223e-30,3.9417281203446097e-45,3.6302130866187817e-46,1.4805000219364867e-101,1.710940036568345e-57,1.0363454468311307e-45,1.3181641466645003e-101,1.4006207234958108e-26,2.2747131860742586e-72,2.274713184947605e-72,3.5474176361978845e-39,1.0158874041666791e-39,3.3263045221858761e-27,3.5469250100935773e-39,2.4223929966365857e-52,1.3181641466644924e-101,5.7555023280901451e-60,1.394898162760462e-54,1.4543430651016565e-73,2.8475818010053573e-88,6.4392186961322721e-47,1.3454140365607712e-103,4.6182029106162042e-33,1.0146798491135401e-70,4.5537875967001173e-102,2.0666609261073143e-46,5.9805683102142439e-118,1.1859043950898728e-107,2.5133120871485135e-122,8.1547260043087238e-68,1.2685485767335821e-45,3.0261506043033369e-68,3.3785831764186515e-46,4.6410881869722873e-61,3.529669358800646e-36,3.879238125630791e-61,3.7600151276238143e-62,1.0387672166948381e-50,1.939090651095607e-48,1.1926110597347026e-74,1.0827981641606956e-49,5.3158165792070023e-51,2.8693616221871328e-80,2.5099165272387899e-59,1.598502897795556e-43,2.3513629007789105e-81,8.8446532375695142e-20,4.148885522577294e-42,1.2760121791503686e-38,4.148885522577294e-42,1.8779358343149895e-69,6.3022031332952531e-65,5.4505280480980305e-65,1.1949496281562725e-117,1.614009715657844e-117,2.743273402699937e-50,1.2806315714402659e-61,2.5300422286110313e-63,1.0026052824827993e-83,1.8306740461720559e-51,9.4319678884283366e-96,9.3931390430936657e-62,3.7995089034854459e-75,1.9254763670076474e-89,4.1554745048097834e-90,1.9517427044932416e-77,3.8610146730210908e-68,7.7290356797258773e-97,3.8610146736473006e-68
