Time (s),Volume (m^3),N2,Ne,He,Ar,C7H10(1),O2(2),C7H10(146),C7H10(153),C7H9(5),C5H7(210),C2H4(115),C7H11(22),C7H10(21),C7H10(65),C7H10(18),C7H10(238),S(66),C7H11(46),C7H10(187),C7H12(16),C7H8(58),C5H8(336),S(388),C7H9O2(68),s(399),OH(22),H2O(23),S(118),S(196),S(362),S(361),C7H10(38),S(410),S(340),S(358),S(336),C7H8(308),S(197),S(793),S(853),S(958),S(950),S(1019),S(954),HO2(43),OO(1086)
0.0,0.27824255064614206,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.946094646998653e-23,0.27824255064614206,76.950000000000003,0.0,0.0,0.0,0.99999999999999956,9.5,7.9487144714777381e-27,4.3969114443617348e-27,1.380256044519732e-16,1.5713094110268566e-44,1.5713094110269335e-44,1.3802542010147082e-16,6.5906023603627125e-18,8.1246081858540573e-32,2.7722579333186126e-16,5.2386816357567829e-44,1.0421172850922853e-29,6.2243324098282774e-32,2.8978294943514793e-44,5.6267555202853151e-36,2.0422420284717346e-33,1.622421138019935e-63,4.0106058605825822e-103,1.0421183315754263e-29,4.0106058605825803e-103,3.1193842933820098e-59,3.2425548458824808e-74,5.9097430340901406e-30,1.4604374749077644e-43,6.727762491336937e-58,9.5520830172896699e-59,5.8256879994409781e-19,4.3172166582540156e-103,1.656394366692256e-43,3.5811559963931221e-48,4.2872910243542147e-48,2.6919210266551152e-50,1.2022165989774783e-64,3.0313498235843853e-74,4.036977016535686e-88,6.4287776354306825e-102,2.0380420389470771e-102,1.0210535071281969e-116,1.6985351463252424e-107,1.8435050827222084e-22,3.7843879362266162e-41
5.449065011596228e-23,0.27824255064614206,76.950000000000003,0.0,0.0,0.0,0.99999999999999845,9.5,4.8010235405590425e-26,2.6557345122763816e-26,3.8647169246547155e-16,1.8654585327704587e-43,1.8654585327706307e-43,3.8647117628408375e-16,1.8453686609015579e-17,4.9072633442137887e-31,7.7623222128784145e-16,6.2193628377168866e-43,6.2943884019510132e-29,3.7594967755350817e-31,3.4403031755538093e-43,3.3985603342714903e-35,1.2335141851969684e-32,3.6292911889183511e-62,4.2736117674639146e-101,6.2943927084305813e-29,4.2736117674639114e-101,3.7033456537020293e-58,7.2534891021192619e-73,3.5694847924881337e-29,1.73382901118995e-42,1.5049735580248081e-56,2.1367627625538994e-57,1.6311926397870341e-18,4.6003293653805547e-101,1.9664638427486105e-42,4.2515634926009585e-47,5.0898718785196436e-47,3.1958486428445928e-49,2.6893195633557124e-63,1.2508991317708703e-72,3.0389454575421429e-86,8.7752782335407624e-100,2.7819263563966155e-100,2.5189380761524747e-114,2.3184996191948088e-105,5.1618142317545165e-22,2.2857703135609e-40
1.245500574079138e-22,0.27824255064614206,76.950000000000003,0.0,0.0,0.0,0.99999999999999645,9.5,2.3114861679854587e-25,1.278621847843233e-25,8.833638684922545e-16,1.8315182494909666e-42,1.8315182494913065e-42,8.8336268864917167e-16,4.2179855106321259e-17,2.3626360603832682e-30,1.7742450770343219e-15,6.106207313852051e-42,3.0304770650387778e-28,1.8100358647762667e-30,3.3777100581812578e-42,1.6362605053271536e-34,5.9388398187964105e-32,7.1708678014834272e-61,9.7257404803012214e-99,3.0304770867957719e-28,9.7257404803012068e-99,3.6359934562054538e-57,1.4331774259504413e-71,1.7185532741599454e-28,1.7022786078096996e-41,2.9735741398960683e-55,4.2218831431316857e-56,3.7284403192471487e-18,1.0469273290622271e-98,1.9306698709011352e-41,4.1742168624786474e-46,4.9972663386468677e-46,3.1377031486680828e-48,5.3136510595442694e-62,4.9484409446215206e-71,2.4028069149593179e-84,1.3862812847801681e-97,4.3947694202686907e-98,7.9515523888817111e-112,3.6626674913705605e-103,1.179843253034847e-21,1.1005000119738474e-39
2.646688719918168e-22,0.27824255064614206,76.950000000000003,0.0,0.0,0.0,0.99999999999999245,9.5,1.0094867375467297e-24,5.5840775325087558e-25,1.8771482205449661e-15,1.6199571503881813e-41,1.6199571503887854e-41,1.8771457133787963e-15,8.963219210093239e-17,1.0318252395382707e-29,3.7702707878653624e-15,5.4008712175490953e-41,1.3234889520572954e-27,7.9049021604633558e-30,2.9875462945834651e-41,7.1459795110509964e-34,2.5936473761597259e-31,1.2760176114931051e-59,1.6436071451723873e-96,1.3234871589650117e-27,1.6436071451723825e-96,3.2160425911505923e-56,2.5502991612196585e-70,7.5053736517086533e-28,1.5056372620388618e-40,5.2913163008198396e-54,7.5126154775884976e-55,7.9229356772643455e-18,1.7692609030726903e-96,1.7076271909557088e-40,3.6920501701686546e-45,4.4200253878533779e-45,2.7752629016380035e-47,9.4553652808644449e-61,1.7660647934073131e-69,1.7174272625268209e-82,1.9830317503983107e-95,6.2865793484790604e-96,2.2756341191042894e-109,5.2393305807375702e-101,2.5071669129653712e-21,4.806172680234844e-39
5.449065011596229e-22,0.278242550646142,76.950000000000003,0.0,0.0,0.0,0.99999999999998435,9.5,4.2144084097990092e-24,2.3312424461530095e-24,3.8647169246469697e-15,1.3616715946379198e-40,1.361671594638939e-40,3.8647117628358383e-15,1.8453686609015379e-16,4.3076672595530703e-29,7.7623222068797615e-15,4.5397576836457853e-40,5.5253058454701356e-27,3.300141043674253e-29,2.5112126728763931e-40,2.9833057771139475e-33,1.0827967234962735e-30,2.1521902085014353e-58,2.406602909717143e-94,5.5252832948624158e-27,2.4066029097171286e-94,2.7033575802776943e-55,4.3015754945488772e-69,3.133345755247351e-27,1.2655638869213856e-39,8.9245783240016638e-53,1.2671124065651517e-53,1.6311926389686597e-17,2.5905876899412712e-94,1.4353156950736983e-39,3.1033916723828786e-44,3.7152975027620585e-44,2.3327756909586242e-46,1.5947861251247821e-59,5.967135978063514e-68,1.1614973223507646e-80,2.6833311225983635e-93,8.5066585631354597e-94,6.1597667105206453e-107,7.0895782757918739e-99,5.1618142336733564e-21,2.006482484889911e-38
1.105381759495235e-21,0.2782425506461421,76.950000000000003,0.0,0.0,0.0,0.99999999999996825,9.5,1.7217233468581782e-23,9.5238860509957634e-24,7.8398543328373013e-15,1.1163806420102446e-39,1.1163806420119186e-39,7.8398438617410958e-15,3.7434621406859316e-16,1.7598226309919497e-28,1.5746425034317834e-14,3.7219676270233959e-39,2.2572677241258029e-26,1.3482152972843054e-28,2.0588438688451198e-39,1.2187777529344313e-32,4.4235779233556487e-30,3.5349788802942521e-57,3.2908259137602736e-92,2.2572462004326591e-26,3.2908259137602348e-92,2.2165070694585471e-54,7.0657554051765528e-68,1.2800739789476625e-26,1.0375612154278791e-38,1.4658646655331245e-51,2.0812359312827691e-52,3.3089907800082568e-17,3.5424095381516172e-92,1.1766800607817945e-38,2.5443484068086511e-43,3.0460250955301389e-43,1.9125504518149248e-45,2.6194414460572055e-58,1.9618641020684187e-66,7.6407187069604484e-79,3.5311135253551745e-91,1.1194286405813384e-91,1.6213521772154409e-104,9.3294880977501614e-97,1.0471108878477073e-20,8.1971356547119507e-38
2.226332276166459e-21,0.27824255064614206,76.950000000000003,0.0,0.0,0.0,0.99999999999993594,9.5,6.9594810373296624e-23,3.8497070098134152e-23,1.579012914916326e-14,9.0407398801211337e-39,9.0407398801482711e-39,1.5790108059516312e-14,7.5396491002545805e-16,7.1134844438217118e-28,3.171463064683106e-14,3.0141458786214469e-38,9.1242370466588351e-26,5.4497017926440299e-28,1.6673051417610574e-38,4.9264945440706627e-32,1.7880809235482623e-29,5.7303530982125446e-56,4.3524323012361299e-90,9.1240505157438212e-26,4.3524323012360279e-90,1.7951973872701899e-53,1.1455206210554715e-66,5.1742636840715083e-26,8.4020425877545318e-38,2.3762297780393017e-50,3.3737731266123265e-51,6.664587056308036e-17,4.6851757285557885e-90,9.5277895763024075e-38,2.0604794723775023e-42,2.4667496649678352e-42,1.5488329420926407e-44,4.2462277973516115e-57,6.3632597077429997e-65,4.9575594059712236e-77,4.5827046469970974e-89,1.4528025781054712e-89,4.2086302834077311e-102,1.2107877093612589e-94,2.1089698181635488e-20,3.3134132964571006e-37
4.468233309508907e-21,0.278242550646142,76.950000000000003,0.0,0.0,0.0,0.99999999999987133,9.5,2.7983767077161547e-22,1.5479502523261401e-22,3.1690678781596392e-14,7.2767739819458612e-38,7.2767739819895641e-38,3.1690636454925546e-14,1.5132023019391321e-15,2.8603008069481142e-27,6.3651041702405859e-14,2.426046821006837e-37,3.668815586355125e-25,2.1913011221153542e-27,1.341992226556552e-37,1.9809217893944477e-31,7.1897947509474411e-29,9.2285570099004544e-55,5.6626337500220393e-88,3.6686605447002988e-25,5.6626337500217714e-88,1.4452731076679056e-52,1.845248303289765e-65,2.0805486660610928e-25,6.7620556132859368e-37,3.8268447599766313e-49,5.4333575981499902e-50,1.3375779585789928e-16,6.0955420714409615e-88,7.6667493020105675e-37,1.6584532039285256e-41,1.9854540390397229e-41,1.2466354972069925e-43,6.8384191562316518e-56,2.0500089380746608e-63,3.1946321017055793e-75,5.9064726189349993e-87,1.8724616377083554e-87,1.0848977306096441e-99,1.5605379442929325e-92,4.2326876842156249e-20,1.3323089167201482e-36
8.952035376193804e-21,0.278242550646142,76.950000000000003,0.0,0.0,0.0,0.99999999999974221,9.5,1.1222742134461452e-21,6.2079728118551879e-22,6.34917780455875e-14,5.8391528450218067e-37,5.8391528450919576e-37,6.3491693245179175e-14,3.0316770857662594e-15,1.1471085523259145e-26,1.2752386313574894e-13,1.9467497757360981e-36,1.4713591417123769e-24,8.7880975826822506e-27,1.0768642399918404e-36,7.9443823702823124e-31,2.8834292665724885e-28,1.4813877824943545e-53,7.307328880751034e-86,1.4712327689029494e-24,7.3073288807503425e-86,1.1602896315684614e-51,2.9633891064122883e-64,8.3439306664294983e-25,5.4250981787745847e-36,6.1429332216755695e-48,8.7217422052618805e-49,2.6798164552283065e-16,7.8659741365457074e-86,6.1488046118796864e-36,1.3308042781926633e-40,1.5932007135047488e-40,1.0003464761315797e-42,1.0977177142227168e-54,6.5821487310670473e-62,2.0515696813255806e-73,7.5863933112703023e-85,2.4050277315912839e-85,2.7869670062733643e-97,2.0043866292153509e-90,8.4801234380013506e-20,5.343154670927314e-36
