Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995),S(1218),S(2281),S(2282),S(1827),S(971),S(805),S(887),S(3335),S(1971),C7H8(1663),S(3456),C7H9(2067),C7H9(2027),S(3692),S(3691)
0.0,0.2553738699325389,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.4687480012452e-25,0.2553738699325389,76.950000000000003,0.0,0.0,0.0,0.99999999999999933,9.5,2.4235506650141751e-18,3.3264461513226325e-17,3.3263985113727668e-17,1.3384609947129542e-31,1.3384801246038675e-31,4.8505784118514472e-16,3.8155005189818723e-28,6.6411456065305927e-32,2.0440097820935058e-46,7.6994499705107926e-51,6.8633597674499948e-35,9.7170894441390517e-28,2.1042963454960685e-33,2.0283834283907512e-46,1.5276055097119177e-50,3.3267400257269459e-52,5.0250591814392789e-67,2.3549858584345244e-45,8.085904545375354e-33,2.6420183292746995e-46,2.6420183292747053e-46,5.2747068858100645e-61,8.3224608637385396e-62,3.1558632314773429e-48,2.8928195062128114e-33,1.155084716843294e-47,9.1124943606691691e-49,5.7870124061687324e-108,5.577487796970028e-61,6.9231702148313334e-50,5.2754285836837176e-108,1.1359145744274684e-29,1.1221219936396601e-75,1.1221219931392512e-75,3.6028044183699119e-43,1.0611820804349089e-43,4.5798316390308105e-31,3.6025435032546435e-43,6.6677018691771046e-57,5.2754285836837169e-108,6.4494999394587135e-64,1.9924138609914104e-59,1.4868977017873291e-77,1.4395513305197815e-92,7.010999486979927e-51,1.1461966831095239e-107,1.0421928355271506e-36,1.3846498207961104e-75,1.9974235295764428e-107,1.7656930953067234e-50,4.7446902446033482e-123,1.3066925815378945e-112,6.5935766441395198e-127,1.3174499102750281e-73,1.7899159096780017e-50,1.2789020975996953e-74,1.9289235816886602e-50,3.8807571695173501e-65,6.1456714949737702e-40,3.851035545751813e-65,3.2089352579633721e-66,2.4728671412842066e-54,2.1109788535993435e-53,2.6482095180040739e-79,3.1953194148773963e-54,9.0672314538387784e-57,1.0059938351675348e-86,3.3746662795042137e-64,2.5969364336123111e-47,8.7243908266749406e-88,4.763994987158623e-22,9.2987616364805638e-46,1.621657607543224e-41,9.2987616364805638e-46,3.0811296108732949e-76,5.1929705722626013e-69,3.7764001274757375e-69,2.210712722883893e-123,3.838350825653103e-125,9.2306051823326678e-54,5.6423340795630172e-66,3.7626662045755271e-67,2.5269417841892241e-91,6.5666585781534918e-55,1.9877109223605354e-103,1.2249620297952358e-67,1.0995449236528961e-81,9.4310465024066342e-96,2.1952070187350757e-96
2.3712494403486557e-24,0.2553738699325389,76.950000000000003,0.0,0.0,0.0,0.99999999999999845,9.5,6.7859418620396867e-18,9.3140492237032964e-17,9.3139158318436903e-17,8.0843044080649408e-31,8.0844197281862474e-31,1.3581619553139215e-15,2.3045623134587025e-27,4.011251946335179e-31,2.4266478294805881e-45,9.1412595297651406e-50,4.1454692995398786e-34,5.8691220242438198e-27,1.2709949926796164e-32,2.4080952734343893e-45,1.8135732605353083e-49,3.94950575854305e-51,1.1241411495614606e-65,2.7958392111263939e-44,4.8838863454065387e-32,3.1366041605148132e-45,3.1366041605148269e-45,1.1799308315156259e-59,1.8617012053689969e-60,3.746640828388058e-47,1.7472629817480482e-32,1.3713165758178346e-46,1.0818353304919641e-47,6.1665107909352643e-106,1.2476617102248985e-59,8.2191876790170337e-49,5.6213785291729071e-106,6.8609240295230093e-29,4.63046782513656e-74,4.6304678213696052e-74,4.2772494054710034e-42,1.2598353658870322e-42,2.7662183099621508e-30,4.2769396470462038e-42,1.4915382373215348e-55,5.6213785291729042e-106,1.4427273384514443e-62,2.3653937885582797e-58,6.1360206583291016e-76,1.0837098343857904e-90,8.3234585909194753e-50,1.5646266677519566e-105,6.2948447265836475e-36,3.0974063291637421e-74,2.7266019586553412e-105,2.0962308427462056e-49,1.1705658964464093e-120,1.7837131182141242e-110,1.6268898443863894e-124,5.436493943326385e-72,2.1249881677228597e-49,5.2774253149796393e-73,2.2900180761806551e-49,8.6810985577949857e-64,3.7119855829639785e-39,8.6146124743547825e-64,7.1782598146509829e-65,2.9357878701320584e-53,2.5061540949728887e-52,1.0927877212646479e-77,3.793483209164915e-53,1.0764721289764903e-55,7.5728704950389078e-85,7.5489934805763487e-63,3.0830829338709614e-46,6.5675036534955077e-86,1.3339185964135994e-21,1.1039489814736991e-44,9.7948119497087779e-41,1.1039489814736991e-44,1.2714367610848635e-74,1.1616464756758584e-67,8.4476535856721114e-68,5.4540650425000172e-121,6.9733299635360252e-123,1.0958574472458433e-52,1.2608173155823508e-64,8.4169337923250919e-66,1.9022187026622009e-89,7.7959370639837291e-54,2.7132156135689191e-101,2.7401910621705894e-66,4.537302914714483e-80,7.0994564080850131e-94,1.6524970513210333e-94
5.419998720796928e-24,0.2553738699325389,76.950000000000003,0.0,0.0,0.0,0.99999999999999645,9.5,1.5510724256090691e-17,2.1289255368464315e-16,2.1288950472785306e-16,3.8922445726233155e-30,3.8922998657163927e-30,3.1043701835535395e-15,1.1095475509104055e-26,1.931245142365147e-30,2.3824959921645566e-44,8.9751498708921595e-49,1.9958650203745789e-33,2.8257296103313842e-26,6.1192937727024314e-32,2.3642789726101711e-44,1.7805769802767018e-48,3.8776481739873853e-50,2.2211669993454753e-64,2.7449715165693531e-43,2.3513810417948888e-31,3.0795365646022487e-44,3.0795365646022756e-44,2.3313444876698772e-58,3.6784078582990827e-59,3.6784741825422741e-46,8.4123191239995053e-32,1.3463667458951183e-45,1.0621523426588908e-46,1.4033535773715051e-103,2.4651692903979674e-58,8.0696472023121323e-48,1.2792942291239844e-103,3.3032395824067289e-28,1.8317670224246429e-72,1.8317670194462259e-72,4.1994288299969261e-41,1.2369138329385253e-41,1.3318150406114717e-29,4.1991247073387127e-41,2.9470282112321498e-54,1.2792942291239834e-103,2.8505861004056268e-61,2.3223577600163028e-57,2.4274085961666519e-74,8.5687817921008541e-89,8.1720210019522055e-49,2.4717888589288696e-103,3.0306967657124385e-35,6.1199532343642544e-73,4.3074712217592272e-103,2.0580918718835125e-48,3.6952218975483272e-118,2.8179004642962835e-108,5.1359764341155097e-122,2.1506229400330689e-70,2.0863259835554001e-48,2.0876969725351511e-71,2.2483533268159213e-48,1.7152387859424415e-62,1.7871612707381035e-38,1.7021022562662195e-62,1.4183031753503536e-63,2.8823739398791586e-52,2.4605569516926133e-51,4.3229302484802446e-76,3.7244643094307449e-52,1.0569087716673662e-54,5.9876409903508149e-83,1.4915539003316968e-61,3.0269891066664293e-45,5.1927276593175261e-84,3.0489567918458127e-21,1.0838636563194259e-43,4.7157803229546346e-40,1.0838636563194259e-43,5.0296773871091496e-73,2.2952165165856001e-66,1.6691129367872117e-66,1.7217296893381834e-118,3.173728653227063e-120,1.0759193400505577e-51,2.4853435017265988e-63,1.6630442796118705e-64,1.5040271300238986e-87,7.654097238695406e-53,4.286215693899543e-99,5.4141557771616333e-65,1.7949119112584993e-78,5.6133267070312898e-92,1.3065797292212958e-92
1.1517497281693471e-23,0.25537386993253886,76.950000000000003,0.0,0.0,0.0,0.99999999999999245,9.5,3.2960289044192628e-17,4.5239667657985146e-16,4.5239019754667621e-16,1.699845463283431e-29,1.6998694103942412e-29,6.5967866399610266e-15,4.8456856590085696e-26,8.4342549201497104e-30,2.1072885242793324e-43,7.9385006522824e-48,8.7164669046627306e-33,1.2340703593805978e-25,2.6724563587798636e-31,2.0911722011640359e-43,1.5749001724212291e-47,3.4297358969235678e-49,3.9524914317522619e-63,2.4278962205656059e-42,1.0269098772623964e-30,2.7238152167483268e-43,2.723815216748375e-43,4.1485029523566055e-57,6.5455302471748437e-58,3.2535687569816732e-45,3.6738807728206713e-31,1.1908461395561682e-44,9.3946171856406186e-46,2.3716055056657083e-101,4.3866370386786892e-57,7.1375115644824202e-47,2.1619506915994431e-101,1.4426115094935889e-27,6.5374463849909345e-71,6.5374463637024549e-71,3.7143472430470503e-40,1.0940362776107228e-40,5.8163861813760158e-29,3.7140782500001116e-40,5.2440792426830993e-53,2.1619506915994393e-101,5.0724656593524915e-60,2.0540993377795617e-56,8.6633467750612764e-73,6.1246771179230792e-87,7.2280600309464615e-48,3.5358541733251852e-101,1.323584901118948e-34,1.0890130813559001e-71,6.1617682436430441e-101,1.8203589535248091e-47,1.0575373587501037e-115,4.0309612540035542e-106,1.4699010694217455e-119,7.675420512737613e-69,1.845331704634547e-47,7.4508422043886215e-70,1.9886430557769399e-47,3.0521757745291347e-61,7.8050027986139119e-38,3.0288000219425987e-61,2.5237947208837759e-62,2.5494271079747709e-51,2.1763347587749378e-50,1.5428021147073623e-74,3.2942465028062686e-51,9.3486306812155775e-54,4.279715413745119e-81,2.6541404721849579e-60,2.677337584857579e-44,3.7115446031006497e-82,6.479033182857202e-21,9.5866512961422739e-43,2.0595051618049133e-39,9.5866512961422739e-43,1.7950561333116162e-71,4.0842109926585913e-65,2.9700935131573897e-65,4.9274266012363019e-116,1.0774944554587842e-117,9.5163847187329621e-51,4.401875321170638e-62,2.959298438430763e-63,1.0750157034221335e-85,6.7699623277324747e-52,6.1312918054081086e-97,9.634200928223354e-64,6.4059131175707174e-77,4.0121712156211795e-90,9.338885573378731e-91
2.371249440348656e-23,0.2553738699325389,76.950000000000003,0.0,0.0,0.0,0.99999999999998446,9.5,6.7859418620396219e-17,9.3140492237021859e-16,9.313915831842856e-16,7.0965201939498893e-29,7.0966184899763521e-29,1.3581619552489013e-14,2.0229783750756189e-25,3.5211354004527862e-29,1.7712992775223887e-42,6.6728207327671983e-47,3.638953348703094e-32,5.1520008230569643e-25,1.1156979223818852e-30,1.7577465217546905e-42,1.3237984860044194e-46,2.8828996784547648e-48,6.6664892516336201e-62,2.0407930650620707e-41,4.2871465899555496e-30,2.2895308118548839e-42,2.2895308118549652e-42,6.9970565864338425e-56,1.1039993476368301e-56,2.7348205823285523e-44,1.5337729021313906e-30,1.000977934042135e-43,7.8967418122571381e-45,3.4725528709364354e-99,7.3987045297596883e-56,5.9995085370863577e-46,3.1655720409662548e-99,6.0226190733507675e-27,2.2088553754439823e-69,2.2088553610465728e-69,3.1221326638789475e-39,9.1960341192910039e-40,2.4282267348403317e-28,3.1219065590152412e-39,8.8449061332126368e-52,3.1655720409662426e-99,8.5554547413669426e-59,1.7265945967942244e-55,2.9271648033323695e-71,4.1421446933431567e-85,6.0756199791521937e-47,4.7845507846539062e-99,5.5257064139601474e-34,1.836780079719039e-70,8.3378136200863352e-99,1.5301213852804009e-46,2.8625941365892228e-113,5.4545062924030393e-104,3.9788456628228932e-117,2.5933511179949603e-67,1.5511124857566872e-46,2.5174711833135122e-68,1.6715743131126298e-46,5.1479405584624457e-60,3.2584350266325912e-37,5.1085139353578765e-60,4.2567486823474398e-61,2.1429470987561097e-50,1.8293404986283341e-49,5.2126378357402417e-73,2.7690126777252835e-50,7.8587473190333021e-53,2.8943736065421592e-79,4.4765958435447514e-59,2.2504635610440603e-43,2.5101194122144185e-80,1.3339185965467821e-20,8.0581580528925274e-42,8.5980286372141108e-39,8.0581580528925274e-42,6.0650889712973335e-70,6.8886047418708617e-64,5.0094840798264091e-64,1.3337800666028722e-113,3.1635173241704183e-115,7.9990947612460573e-50,7.3556346074198998e-61,4.991289353112188e-62,7.2703364075012636e-84,5.6905612572893735e-51,8.2965287565969305e-95,1.6249488029851274e-62,2.1644132615700246e-75,2.7134333359175032e-88,6.3158928349138028e-89
4.810248864707273e-23,0.2553738699325389,76.950000000000003,0.0,0.0,0.0,0.99999999999996847,9.5,1.3765767777280228e-16,1.8894214139507554e-15,1.8893943544593551e-15,2.8991600529726396e-28,2.8991988384613549e-28,2.7551285376397035e-14,8.2645267433855967e-25,1.4384987028471094e-28,1.4522120961671942e-41,5.4707945664017764e-46,1.4866311790696733e-31,2.1047604417673183e-24,4.5579900561971929e-30,1.4410908641332192e-41,1.085329973180247e-45,2.363575333859571e-47,1.0949756375027272e-60,1.6731654541879338e-40,1.7514392681443948e-29,1.8770956871827472e-41,1.8770956871828803e-41,1.1492686451913291e-54,1.8133222434955389e-55,2.2421711440658836e-43,6.2659627627068236e-30,8.2066218667466152e-43,6.4742260380386678e-44,4.74842232116241e-97,1.2152394405989857e-54,4.9187595734221432e-45,4.3286520025020337e-97,2.4604364045696312e-26,7.2622331767269831e-68,7.2622330820160151e-68,2.5597129889737312e-38,7.5394643714240824e-39,9.9200985219347506e-28,2.559527614546263e-38,1.4527784882379408e-50,4.3286520025020036e-97,1.4052360102137738e-57,1.4155671156522596e-54,9.6239026343133879e-70,2.7248483738194953e-83,4.9811603321667674e-46,6.2962166866053428e-97,2.2574313694611588e-33,3.0169179282502666e-69,1.0972123320963546e-96,1.2544859576729839e-45,7.534838722607036e-111,7.1778428330881503e-102,1.0473063550933954e-114,8.526371083728092e-66,1.2716957275262195e-45,8.2768944599530513e-67,1.3704576141546326e-45,8.4555078233688522e-59,1.3311770284951797e-36,8.3907494775290475e-59,6.9917224929243935e-60,1.7569175029648581e-49,1.4998038646626057e-48,1.7137080474351205e-71,2.2702038880530964e-49,6.4441580921056587e-52,1.9040156333809718e-77,7.352822114996879e-58,1.8450659934446579e-42,1.6512403898980351e-78,2.7059491533040421e-20,6.6065648242004136e-41,3.5125752459509776e-38,6.6065648242004136e-41,1.994068557330189e-68,1.131450779002104e-62,8.2280507635466966e-63,3.5107378833743684e-111,8.6632539965932152e-113,6.5581411701501766e-49,1.1861792266076915e-59,8.198207739044392e-61,4.782670125503199e-82,4.6654659279546129e-50,1.0917765373839943e-92,2.6689832883160379e-61,7.1161172585201239e-74,1.7849870799222285e-86,4.1548052637011241e-87
9.688247713424508e-23,0.2553738699325389,76.950000000000003,0.0,0.0,0.0,0.99999999999993661,9.5,2.7725419607760993e-16,3.8054543971110418e-15,3.8053998970089012e-15,1.171886846986263e-27,1.171901415777045e-27,5.5490617019621282e-14,3.340653847776687e-24,5.8146417526030951e-28,1.1760291769296426e-40,4.4303964562971666e-45,6.0092009176789898e-31,8.507778227066109e-24,1.8424124567054764e-29,1.1670069389172846e-40,8.7892834134837454e-45,1.9140845851885085e-46,1.7750049123163702e-59,1.3549727644260995e-39,7.0795975528771174e-29,1.5201207544708886e-40,1.5201207544711046e-40,1.8630139985060998e-53,2.9394734977407022e-54,1.8157683243093063e-42,2.5328023325893361e-29,6.6459351556126354e-42,5.242996100124239e-43,6.2802430856228983e-95,1.9699555010862483e-53,3.983339029493542e-44,5.7250566546345531e-95,9.9454773362718517e-26,2.3554879044602804e-66,2.3554878430085757e-66,2.0729219432128047e-37,6.1056537209022998e-38,4.0098624306796807e-27,2.0727718221960593e-37,2.3550165335803466e-49,5.7250566546344733e-95,2.2779481279694139e-56,1.1463638401141695e-53,3.1214937797415092e-68,1.767976913554188e-81,4.0338727819024809e-45,8.1712856225734449e-95,9.1248985275677679e-33,4.8905576389753482e-68,1.4239718549168436e-94,1.0159152532358036e-44,1.9558606868430747e-108,9.3154678346781884e-100,2.7185600195393272e-112,2.7655080227156926e-64,1.0298521669324784e-44,2.6845908777372766e-65,1.1098321074534251e-44,1.3706742547104686e-57,5.3808303860638595e-36,1.3601766481114538e-57,1.1333883454653113e-58,1.4227973450539638e-48,1.2145800543038727e-47,5.5577665840881271e-70,1.8384699645667808e-48,5.2203991842425067e-51,1.235390306702345e-75,1.1919241501724096e-56,1.4941822761454697e-41,1.0713811042355411e-76,5.4500102677591099e-20,5.35016747983603e-40,1.4198390763733884e-37,5.35016747983603e-40,6.4677135665208062e-67,1.834115497118849e-61,1.333788907980885e-61,9.1130207859921882e-109,2.2931485035265648e-110,5.3109527507732517e-48,1.8552660869783004e-58,1.3289647992971973e-59,3.1031595590991183e-80,3.7782152688285373e-49,1.4169153598385018e-90,4.3265369246488443e-60,2.308095575353583e-72,1.158160520231169e-84,2.6957794139365073e-85
1.9444245410858979e-22,0.2553738699325389,76.950000000000003,0.0,0.0,0.0,0.99999999999987277,9.5,5.5644723268720695e-16,7.6375203634284647e-15,7.6374109821056198e-15,4.7121054702239379e-27,4.7121551327649802e-27,1.1136928028770258e-13,1.3432622192093068e-23,2.3380418746286391e-27,9.4655477054109324e-40,3.565970572572142e-44,2.4162732595760691e-30,3.4209402058927132e-23,7.4082594561652978e-29,9.3926717290708381e-40,7.0743797803633592e-44,1.5406217957556088e-45,2.8585924617483737e-58,1.0905999605847375e-38,2.8466750388036369e-28,1.2235254307119543e-39,1.2235254307123018e-39,3.0003266088274848e-52,4.7339314481434423e-53,1.4614883150860864e-41,1.0184286780863742e-28,5.3492267915073641e-41,4.2200193899212946e-42,8.1707684335661017e-93,3.1725526030147943e-52,3.2061377927667861e-43,7.448455665859483e-93,3.9990326943653836e-25,7.5885179279652732e-65,7.5885175319728987e-65,1.6684679195496562e-36,4.9143612930165555e-37,1.6123480468655286e-26,1.6683470890963943e-36,3.792681525158966e-48,7.4484556658592778e-93,3.6685652338435903e-55,9.2269478070386034e-53,1.0056314448083072e-66,1.1392781892608479e-79,3.2468117532496501e-44,1.0531663863737844e-92,3.6690815651595917e-32,7.8761041292253739e-67,1.8353039680839316e-92,8.1769697838120287e-44,5.0418069719969094e-106,1.2006357478030517e-97,7.0078990643567902e-110,8.9094524737679079e-63,8.2891461236980896e-44,8.6487671122308817e-64,8.9328943328636797e-44,2.2074286293772773e-56,2.1636082324773538e-35,2.1905225586172112e-56,1.8252869899070043e-57,1.1451910838559717e-47,9.7759969323144759e-47,1.7901195551879407e-68,1.4797605659435827e-47,4.2046531922646758e-50,7.9608070956349327e-74,1.9195570984595292e-55,1.2026478836836731e-40,6.9039381731748722e-75,1.0938132500431427e-19,4.3062802393096282e-39,5.7091104850457675e-37,4.3062802393096282e-39,2.0836600784212629e-65,2.953738238849654e-60,2.1479821855921149e-60,2.3491494972966821e-106,5.968929465857045e-108,4.2747168161122213e-47,2.791324697074964e-57,2.1402568277283793e-58,1.9996639527282663e-78,3.0410363456501061e-48,1.8262079183474469e-88,6.967754337415671e-59,7.435837347498145e-71,7.4631413572940146e-83,1.7371497707399568e-83
3.8956240805727917e-22,0.2553738699325389,76.950000000000003,0.0,0.0,0.0,0.99999999999974509,9.5,1.1148333059063284e-15,1.5301652296050711e-14,1.5301433152289565e-14,1.8897650475864392e-26,1.8897778115344703e-26,2.231266067503962e-13,5.387082285717108e-23,9.3765936290834445e-27,7.595251982533185e-39,2.8614676360889837e-43,9.6903364755542048e-30,1.3719500273379281e-22,2.9710433844218373e-28,7.5363609713888766e-39,5.6767439861850522e-43,1.236251966122951e-44,4.5886753906071612e-57,8.7513778447509089e-38,1.1416440112075898e-27,9.8180210320140149e-39,9.8180210320195953e-39,4.8161886720723968e-51,7.5990083785715201e-52,1.1727523305872196e-40,4.0843545010543529e-28,4.2924176095904093e-40,3.3862997899679624e-41,1.0543943824067012e-90,5.0926495384821641e-51,2.572723661852875e-42,9.611837461248051e-91,1.6037909709468873e-24,2.4365138837038468e-63,2.4365136294004294e-63,1.3388404282268847e-35,3.9434654396800504e-36,6.4662368042490517e-26,1.3387434693997803e-35,6.0880937967404799e-47,9.6118374612475158e-91,5.8888596616777688e-54,7.404067484517337e-52,3.2288726924511301e-65,7.3163647143402015e-78,2.6053619539161072e-43,1.3527087289229338e-90,1.471465811301889e-31,1.2642929366078375e-65,2.3573024452653288e-90,6.5615032830970005e-43,1.2951777798358615e-103,1.5421214409324371e-95,1.80024376895612e-107,2.860638339606463e-61,6.6515176246956711e-43,2.7769377368430774e-62,7.1680851280347696e-43,3.5434118144610348e-55,8.6770367096105775e-35,3.5162738301144451e-55,2.9299898587359999e-56,9.1894372315509797e-47,7.8446218585910595e-46,5.7452054566395491e-67,1.1874146543819636e-46,3.3784979690746508e-49,5.1123728935400344e-72,3.0813142594532773e-54,9.6504918159760446e-40,4.4336592954982207e-73,2.1914376980824805e-19,3.4555186879552869e-38,2.2896086553144016e-36,3.4555186879552864e-38,6.6901955250220934e-64,4.7412492062096965e-59,3.447846722490813e-59,6.0346741064531673e-104,1.5407803136628455e-105,3.430191032452897e-46,3.9584828710335449e-56,3.4355861659223832e-57,1.2841697665426932e-76,2.4402401496003496e-47,2.345618527356376e-86,1.1184788836271467e-57,2.3874914288604935e-69,4.792775549293185e-81,1.1155850516417861e-81
