Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995),S(1218),S(2281),S(2282),S(1827),S(971),S(805),S(887),S(3335),S(1971),C7H8(1663),S(3456),C7H9(2067),C7H9(2027),S(3692),S(3691),S(2237),S(2209),S(3466),S(3552),S(1954),S(2383),S(4082),C7H9(2044),S(2993)
0.0,0.38442389909917657,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.4677413529970848e-25,0.38442389909917657,76.950000000000003,0.0,0.0,0.0,0.99999999999999933,9.5,1.0119245421910553e-18,9.7824633412854155e-18,9.7821720711109835e-18,4.7593250351795381e-33,4.7594667056774714e-33,5.0971324146904593e-16,7.3332917171936375e-29,2.2331029080826679e-33,1.8437504741498104e-48,5.4858622891336935e-53,3.6234725978759193e-36,2.1590090096950037e-28,1.1774460990955321e-34,1.7301966076145597e-48,1.2916850228501953e-52,7.3333616994948237e-54,2.1900133180382125e-69,2.1847542037219758e-46,1.1733148440954733e-33,1.0503056668122289e-47,1.050305666812229e-47,2.3975971665855511e-63,3.9679079656549936e-64,1.5423850736059791e-48,4.0314004101010009e-34,1.8405449967657577e-49,1.5230067118014512e-50,1.0529568571509457e-111,3.1023540082644562e-63,4.7245062747656355e-51,9.5243668870885984e-112,2.5723996198546143e-30,7.5469491636155279e-79,7.5469491630118041e-79,2.6522791064889324e-44,7.7471246899342624e-45,1.8433319587374903e-31,2.652036931512032e-44,1.2699630227448214e-58,9.5243668870885965e-112,5.0806704201411397e-66,1.7862097458247688e-60,1.691368682166751e-80,3.5319858289840367e-96,4.0795758587347451e-52,3.3096643634657045e-112,2.9227636185534304e-37,1.6926524217216251e-77,1.8572891783446e-111,1.127085689752516e-51,5.079414221620537e-128,7.1767941433684843e-117,3.8151092120796216e-132,1.0863064102180813e-75,2.0828894077774989e-51,1.6408573125805455e-76,1.399604083820343e-51,3.4047503418834274e-67,1.8690862308571912e-40,3.1949620874612269e-67,2.7902195601487304e-68,9.0936744999730167e-56,2.663985474502981e-54,6.1434715048832718e-82,2.8844774805667534e-55,2.0804211157025214e-57,2.3607171976872131e-89,6.6387530212979524e-66,1.3226244745158956e-48,2.0131727720981122e-90,2.9127017443447591e-22,4.274844403798217e-47,1.9805450411955226e-42,4.274844403798217e-47,5.4495071608577541e-78,4.5792015949561415e-71,3.5228664116015054e-71,4.6838789337494728e-128,3.0767809799956243e-129,3.0586035890711821e-55,6.2274098705404518e-68,2.7491108877178416e-69,1.4035635514121127e-93,2.1202469389321888e-56,2.0193205427961787e-106,5.2828022130874693e-69,1.3149488281499908e-83,1.3233584535296458e-98,3.0017143429743634e-99,2.0076996263759645e-85,4.1151970548375041e-74,1.7220379591831173e-107,4.1151970549628635e-74,6.2587588081565342e-95,2.1771119124638299e-75,1.6868154283695301e-90,3.3372483309374389e-85,3.1070220186047967e-95
4.109675788391838e-25,0.38442389909917657,76.950000000000003,0.0,0.0,0.0,0.99999999999999845,9.5,2.8333887181349533e-18,2.7390897355599111e-17,2.7390081799110703e-17,2.8746323212483035e-32,2.8747178722715031e-32,1.4271970761123703e-15,4.4293081971824763e-28,1.3487941564812395e-32,2.1889004046825708e-47,6.5138181252119151e-52,2.1885774491170729e-35,1.3040414418550517e-27,7.1117744385369977e-34,2.0540890300958741e-47,1.5334884590239824e-51,8.7061670096402941e-53,4.8996925063842524e-68,2.5937401906573938e-45,7.0868216583365907e-33,1.2469228876394672e-46,1.2469228876394676e-46,5.3633289577534971e-62,8.8760514028453317e-63,1.8311195593828556e-47,2.4349658476997574e-33,2.1850950201542774e-48,1.8081135682481825e-49,1.12200724074644e-109,6.9398418223225538e-62,5.608933849397664e-50,1.0148952009063293e-109,1.5537293703913166e-29,3.1142697036887987e-77,3.1142697032343305e-77,3.1487857552211009e-43,9.1973864318823642e-44,1.1133725030764647e-30,3.1484982450885347e-43,2.8408564833570541e-57,1.0148952009063289e-109,1.1365256503030246e-64,2.1205882125557039e-59,6.9804815759028338e-79,2.659167164790696e-94,4.8432724594872224e-51,4.5183104044744601e-110,1.7653492256062427e-36,3.7863957652389503e-76,2.5355468401167086e-109,1.3380761308738575e-50,1.2532623624125528e-125,9.797665288185278e-115,9.41635121955827e-130,4.4826738183410086e-74,2.472806304829079e-50,6.7710436443623508e-75,1.6616099683114853e-50,7.6162903247518876e-66,1.1289280834377239e-39,7.1470023911543634e-66,6.241609547269695e-67,1.0796010366367333e-54,3.1626835553232022e-53,2.5351171795633845e-80,3.4244516648984104e-54,2.4698797898879661e-56,1.777088982915711e-87,1.4850624958513903e-64,1.5702197761352645e-47,1.5154662140417018e-88,8.1555648841775646e-22,5.0750952761810521e-46,1.1962492048899981e-41,5.0750952761810521e-46,2.2487543885463012e-76,1.0243490118330304e-69,7.8805105598815831e-70,1.1556705008821887e-125,5.5490344070135599e-127,3.6311741809445672e-54,1.3925454962227431e-66,6.149651091297539e-68,1.056567608555868e-91,2.5171571659003087e-55,2.7563625897022762e-104,1.1817417238587945e-67,5.4261731579287711e-82,9.9619121278974071e-97,2.2596156345966962e-97,8.2848287238296309e-84,9.2055312033121365e-73,2.3505733280797471e-105,9.2055312038294334e-73,4.7114374121568732e-93,4.8701194994486055e-74,6.9607011871188274e-89,1.3771248680570376e-83,1.3993408383467758e-93
9.393544659181343e-25,0.38442389909917657,76.950000000000003,0.0,0.0,0.0,0.99999999999999656,9.5,6.476317070022743e-18,6.2607765384226282e-17,6.2605901255109952e-17,1.3840117202300034e-31,1.3840528910744731e-31,3.2621647453951831e-15,2.1325212313561865e-27,6.4938632566940174e-32,2.1490750621620328e-46,6.395744514333573e-51,1.0537058314623425e-34,6.2783982001821086e-27,3.4240132561697836e-33,2.0167159801971884e-46,1.5055880623125026e-50,8.5477663969312735e-52,9.6816612282824467e-67,2.5465494998541918e-44,3.4119995666295362e-32,1.2242362852362998e-45,1.2242362852363012e-45,1.0597034222242327e-60,1.7537581829408569e-61,1.7978040417884236e-46,1.1723312392554985e-32,2.145339248211472e-47,1.7752166232680167e-48,2.5534259624632674e-107,1.3711957977522014e-60,5.5068845138541102e-49,2.3096640209287626e-107,7.4805380945241565e-29,1.2319741243970655e-75,1.2319741240377312e-75,3.0914965265155604e-42,9.0300485385638335e-43,5.3604093359939279e-30,3.091214247362519e-42,5.6130536858429634e-56,2.3096640209287617e-107,2.2455831640428604e-63,2.082006086901507e-58,2.7616117764181325e-77,2.1026798447532335e-92,4.755153620932941e-50,7.1383577635398351e-108,8.4993966027529354e-36,7.48127998690905e-75,4.0058426382221514e-107,1.3137310799745101e-49,3.9564743367536416e-123,1.5479069345994514e-112,2.9730987961678275e-127,1.7733011839938437e-72,2.4278158934439111e-49,2.6785575301711152e-73,1.6313785201009114e-49,1.5048506226901215e-64,5.4353027593324206e-39,1.4121272351956736e-64,1.2332368664236883e-65,1.0599586997166584e-53,3.1051414690597909e-52,1.00286405127711e-78,3.3621469512542467e-53,2.4249507605732504e-55,1.4050908231799037e-85,2.9342332373646678e-63,1.5416510874647053e-46,1.1982335666143542e-86,1.8641291163892124e-21,4.9827586370418062e-45,5.7594249799132857e-41,4.9827586370418062e-45,8.8958487307388401e-75,2.0239407351083531e-68,1.557055791076473e-68,3.648382665499831e-123,2.5264368312465785e-124,3.565108343419073e-53,2.7492704975597096e-65,1.2150674251166912e-66,8.3539623796213872e-90,2.4713598320193989e-54,4.3543773414401498e-102,2.3349225058326646e-66,2.1465401399851118e-80,7.8765843729952726e-95,1.7866101374791403e-95,3.2773958535786873e-82,1.8188578390999683e-71,3.7133297619935194e-103,1.8188578393046058e-71,3.7251918927277595e-91,9.6225667341588845e-73,2.7535929917921364e-87,5.4477690280446234e-82,5.739210469256234e-92
1.9961282400760354e-24,0.3844238990991765,76.950000000000003,0.0,0.0,0.0,0.99999999999999278,9.5,1.3762173773798292e-17,1.3304150144147975e-16,1.330375401671076e-16,6.044342794675876e-31,6.0445224378661964e-31,6.9321000839454728e-15,9.3132804807974413e-27,2.8360406932542615e-31,1.9008319587651296e-45,5.6571380399511374e-50,4.6018101993026771e-34,2.7419414423013266e-26,1.4953565458513011e-32,1.7837610047477364e-45,1.3316755904820989e-49,7.5604025777114067e-51,1.7228562459851429e-65,2.252394193860505e-43,1.4901098520011478e-31,1.0828231302566635e-44,1.0828231302566658e-44,1.8856856200932987e-59,3.1207189835933845e-60,1.5901373154707372e-45,5.1198785208089204e-32,1.8975282698263653e-46,1.570158999582539e-47,4.3151769935494454e-105,2.4399696593823607e-59,4.8707769890056749e-48,3.9032300886946843e-105,3.2669475172018636e-28,4.3968281412269226e-74,4.3968281386585509e-74,2.7343936676091578e-41,7.9869756702851881e-42,2.341031587581429e-29,2.7341439948950424e-41,9.9881291296157665e-55,3.9032300886946805e-105,3.9958952593527269e-62,1.8415108146079223e-57,9.8563278986385943e-76,1.5029589045708653e-90,4.2058795273037892e-49,1.0211538811220147e-105,3.7119097955624017e-35,1.3312538074418273e-73,5.7304241293117571e-105,1.1619802627051067e-48,1.1323312408276522e-120,2.2143064642900989e-110,8.5094988151441159e-125,6.328785966947154e-71,2.1473756632930519e-48,9.5595815655060347e-72,1.4429358262552513e-48,2.6778012791740268e-63,2.3737395131883301e-38,2.5128049653420667e-63,2.1944791122070531e-64,9.3752146624880532e-53,2.7464624647497369e-51,3.5791284059649269e-77,2.9737809031669399e-52,2.1448559604764899e-54,1.0043001682100157e-83,5.2213112703965275e-62,1.3635729281817606e-45,8.5644725070751918e-85,3.9612743723517009e-21,4.4071935864864782e-44,2.5152922024380547e-40,4.4071935864864782e-44,3.1748652242133798e-73,3.6014933457881811e-67,2.7706965231054452e-67,1.0441563166529571e-120,8.5813874484075734e-122,3.1532979561840083e-52,4.8844587241787129e-64,2.16214756204986e-65,5.9710629979741135e-88,2.1858897841616103e-53,6.2287948200339091e-100,4.1548698446980901e-65,7.6608492895059335e-79,5.6298531598426341e-93,1.2769942212906661e-93,1.1696793005918134e-80,3.2365603427392308e-70,5.3117971578794443e-101,3.2365603434695688e-70,2.6626114004646765e-89,1.7122955232547734e-71,9.8274409934900725e-86,1.9442700702632217e-80,2.0823293821881253e-90
4.109675788391838e-24,0.38442389909917657,76.950000000000003,0.0,0.0,0.0,0.99999999999998512,9.5,2.8333887181349275e-17,2.7390897355598305e-16,2.7390081799109951e-16,2.5233941336502666e-30,2.5234689968404325e-30,1.4271970760984698e-14,3.8881112684214355e-26,1.183991161855775e-30,1.5977627920607228e-44,4.7552345563538281e-49,1.9211651713940436e-33,1.1447065769300954e-25,6.2428192174042841e-32,1.499356179741575e-44,1.1193535726159927e-48,6.354973914995416e-50,2.905893961930307e-64,1.8932730368624143e-42,6.2209153033932658e-31,9.1017808596867761e-44,9.101780859686814e-44,3.1804844158306651e-58,5.2635486996733698e-59,1.3366062266002121e-44,2.1374484974181344e-31,1.5949868454060254e-45,1.3198132483102013e-46,6.3183696537037217e-103,4.1153654639863776e-58,4.0941815455630484e-47,5.7151886424817419e-103,1.3638862784347692e-27,1.4855888550692761e-72,1.4855888533322851e-72,2.2984226371873574e-40,6.7135343022122946e-41,9.7733460450895214e-29,2.2982127722273025e-40,1.6846439672626621e-53,5.715188642481732e-103,6.7396614071824744e-61,1.54790081368457e-56,3.3302837076297681e-74,1.0164683397832247e-88,3.5352951659342484e-48,1.3817921886983341e-103,1.5496492705566182e-34,2.2453541469733683e-72,7.7542233802334255e-103,9.767144253645979e-48,3.065083312905701e-118,2.9963274221915696e-108,2.3034961011698525e-122,2.1383537405082144e-69,1.8049986335529799e-47,3.2299665536215996e-70,1.2128745053730599e-47,4.5165032528457944e-62,9.9098951960020948e-38,4.2382128532770019e-62,3.7013097745441114e-63,7.880432822877123e-52,2.3085671883571217e-50,1.209291619698147e-75,2.4996420326599388e-51,1.8029050220305246e-53,6.7920869006591963e-82,8.8065046203770296e-61,1.1461652075056865e-44,5.7921569036623077e-83,8.1555648843549941e-21,3.7045117627243143e-43,1.050084980949267e-39,3.7045117627243143e-43,1.072715203715598e-71,6.0744413773602854e-66,4.6731810691789684e-66,2.8264044887805439e-118,2.5201627114205491e-119,2.6505369326229439e-51,8.2124172943539271e-63,3.6467778890497554e-64,4.0382327968656877e-86,1.8373720733277561e-52,8.4284645039468563e-98,7.0077952816255986e-64,2.5884278310827295e-77,3.8074724181321088e-91,8.6363181020267381e-92,3.9520819959692067e-79,5.458932081144982e-69,7.1876334172075222e-99,5.4589320836126275e-69,1.8007253794384032e-87,2.8880744247715826e-70,3.3205129157796227e-84,6.5692491404461267e-79,7.092143535336947e-89
8.336770885023443e-24,0.38442389909917657,76.950000000000003,0.0,0.0,0.0,0.9999999999999698,9.5,5.7477313996450799e-17,5.5564391778497519e-16,5.5562737363906959e-16,1.0308888399183983e-29,1.0309193142183171e-29,2.8951712114817746e-14,1.588420319081689e-25,4.8369902229416273e-30,1.3099408248659723e-43,3.898656112420655e-48,7.8485865859051048e-33,4.6764998752734428e-25,2.5503953484846939e-31,1.229258807631568e-43,9.1771368624620273e-48,5.2101915668654086e-49,4.7729755858703781e-63,1.5522196223448012e-41,2.5414468849037673e-30,7.4621898552074264e-43,7.4621898552074869e-43,5.2239552031977654e-57,8.645394544553334e-58,1.0958305388911852e-43,8.7321745441477092e-31,1.307666580847448e-44,1.0820626406965038e-45,8.6398360549467925e-101,6.7595001321842177e-57,3.3566573910400584e-46,7.8150370428538517e-101,5.5719204724870415e-27,4.8842911241033249e-71,4.8842911126768192e-71,1.8843857427862938e-39,5.5041610355326512e-40,3.9927307557880526e-28,1.8842136828126461e-39,2.7670327748602896e-52,7.8150370428538237e-101,1.1069914099084307e-59,1.2690626313216713e-55,1.0949329521701739e-72,6.6867211641352356e-87,2.8984485705424525e-47,1.8183753293261455e-101,6.3308229083279927e-34,3.6880009963755807e-71,1.0204203358528501e-100,8.0076949651050808e-47,8.0678678502831285e-116,3.9430298633854178e-106,6.0633315823480608e-120,7.0304392545785376e-68,1.4798469323337782e-46,1.0619423353269158e-68,9.943877982956581e-47,7.4183701545351215e-61,4.0485155394835917e-37,6.9612773378426886e-61,6.0794124190156227e-62,6.4608549438851218e-51,1.8927028586998205e-49,3.9757878064810586e-74,2.0493575600687203e-50,1.4781703958393316e-52,4.4680616261499525e-80,1.4464710283096729e-59,9.39695485394212e-44,3.8102742754184887e-81,1.6544145908674839e-20,3.0371825601697029e-42,4.2899397819389627e-39,3.0371825601697029e-42,3.5268528935689427e-70,9.9772765216394277e-65,7.6757021430481709e-65,7.4396209086885284e-116,6.9023840887437482e-117,2.1730703160530885e-50,1.340450076426825e-61,5.9898436317800657e-63,2.6564844150416795e-84,1.5063886350591504e-51,1.1091385400106948e-95,1.1510324793158255e-62,8.5101843941148339e-76,2.5046825302913531e-89,5.6812585095996022e-90,1.299358093835537e-77,8.9663123272486689e-68,9.4585214552176787e-97,8.9663123353617468e-68,1.184577300737141e-85,4.743794933736889e-69,1.091740086937829e-82,2.1598253907216599e-77,2.3409907351427161e-87
1.6790961078286652e-23,0.38442389909917657,76.950000000000003,0.0,0.0,0.0,0.99999999999993927,9.5,1.1576416762665206e-16,1.1191138062429017e-15,1.119080484934956e-15,4.1670175158879632e-29,4.1671398105437234e-29,5.8311194821502195e-14,6.4206488961642593e-25,1.9551887848987126e-29,1.0608213783838499e-42,3.1572437793049684e-47,3.1725241861266651e-32,1.8903160203494324e-24,1.0309105771707356e-30,9.9547921359187121e-43,7.4318833470905888e-47,4.2193482141866714e-48,7.7372279050247112e-62,1.2570276941636862e-40,1.0272934651174515e-29,6.0430748150821034e-42,6.0430748150822015e-42,8.4682564992439492e-56,1.4014557111714602e-56,8.8743198168298624e-43,3.5296845661418097e-30,1.0589823006143243e-43,8.7628238076237131e-45,1.1427010273129565e-98,1.0957441000633801e-55,2.7183081824149467e-45,1.033613462172767e-98,2.2522593422798676e-26,1.5842081159065982e-69,1.5842081084926914e-69,1.5260244304648352e-38,4.4574123114581484e-39,1.6139256097135187e-27,1.5258850918374018e-38,4.4854793674629503e-51,1.03361346217276e-98,1.7944807789114363e-58,1.02771986044415e-54,3.5514024370258749e-71,4.3385897820075924e-85,2.3472387997341852e-46,2.3599097313256992e-99,2.5590198406943535e-33,5.9784087610295169e-70,1.3243139861094481e-98,6.4848389961985941e-46,2.0942275671895137e-113,5.1173123623296757e-104,1.5739106935049031e-117,2.2803061200330027e-66,1.1984184120060367e-45,3.4443845095164375e-67,8.0528102030405445e-46,1.2025497698235135e-59,1.6364747112526438e-36,1.1284530545730515e-59,9.8549895108559524e-61,5.2321678425237363e-50,1.532759846497088e-48,1.2894733979167988e-72,1.6596228848139463e-49,1.1971253879487797e-51,2.8990308308247683e-78,2.3447918695093024e-58,7.6098976715443961e-43,2.4722359543497361e-79,3.3321307958567563e-20,2.45958918136294e-41,1.7340622504747933e-38,2.45958918136294e-41,1.143926282049004e-68,1.6173557320169257e-63,1.2442605699128116e-63,1.931149527757795e-113,1.8271760459954412e-114,1.759808682580306e-49,2.1460571957885015e-60,9.7097946419025904e-62,1.7236177262645797e-82,1.2199125724338903e-50,1.4394478906122844e-93,1.8658732503265108e-61,2.7602579091304854e-74,1.6251234840707876e-87,3.6861943622993084e-88,4.2144368314303698e-76,1.4534778640581429e-66,1.2275336457929108e-94,1.4534778666896004e-66,7.6859416984711635e-84,7.6902980962528357e-68,3.5412150143835744e-81,7.0053418833508101e-76,7.6081931428772199e-86
3.369934146481307e-23,0.3844238990991765,76.950000000000003,0.0,0.0,0.0,0.99999999999987821,9.5,2.3233787488704743e-16,2.2460535831585234e-15,2.2459867075265123e-15,1.6755394159242183e-28,1.6755878764727983e-28,1.1703016023094455e-13,2.5817146820092505e-24,7.8617281114758686e-29,8.5383704610325396e-42,2.5412288539205845e-46,1.2756580219739049e-31,7.600877578415684e-24,4.1452460897084909e-30,8.0123790980741068e-42,5.9818262488511661e-46,3.3960985177768663e-47,1.2460590042247101e-60,1.0117652471645193e-39,4.1307018412265886e-29,4.8639923468020795e-41,4.8639923468022386e-41,1.3637866028132022e-54,2.2570012182570881e-55,7.1428246363736641e-42,1.419270639879308e-29,8.5236108474892328e-43,7.053082948139281e-44,1.4866853648349894e-96,1.764662093153063e-54,2.1879309125634725e-44,1.3447594518422394e-96,9.0562357569967558e-26,5.1037374550144713e-68,5.1037374072395471e-68,1.2282772226936647e-37,3.5877132141626006e-38,6.4895238932417209e-27,1.2281650708444128e-37,7.2237262412802463e-50,1.3447594518422207e-96,2.8899559735210243e-57,8.2719841596020911e-54,1.1441337860006384e-69,2.7957758079144641e-83,1.8892619911141188e-45,3.041603180248855e-97,1.0289706229638842e-32,9.6280437114449736e-69,1.7068608931663649e-96,5.2195625922933629e-45,5.3984954013643662e-111,6.5955207400840212e-102,4.0572408077050689e-115,7.346309914736461e-65,9.6459139574122163e-45,1.1096543507860197e-65,6.4816022300541514e-45,1.9366693312616187e-58,6.5801928391664942e-36,1.8173388558894737e-58,1.5871156794724946e-59,4.2113038679606966e-49,1.2336984713711855e-47,4.1537992439939005e-71,1.335808880801048e-48,9.6365477608658826e-51,1.86812419446624e-76,3.7762150197818861e-57,6.1251076894813454e-42,1.5930992356864104e-77,6.6875632063365141e-20,1.9796913523615743e-40,6.9725880453799982e-38,1.9796913523615743e-40,3.685310894759448e-67,2.6046893480047237e-62,2.0038309716007456e-62,4.9781131709248197e-111,4.7561964332682545e-112,1.4164471276170207e-48,3.3726977118704994e-59,1.5637324918080987e-60,1.1106925605143007e-80,9.8189176829032617e-50,1.8552492344672884e-91,3.0049313479796672e-60,8.8925385360280368e-73,1.0472232538769595e-85,2.3753693131105329e-86,1.3577369638816124e-74,2.3407812832987781e-65,1.5821210837251252e-92,2.3407812917763688e-65,4.9527909437433195e-82,1.2386283099075567e-66,1.140966991847122e-79,2.2568642028113109e-74,2.4537242333094272e-84
6.75161022378659e-23,0.3844238990991765,76.950000000000003,0.0,0.0,0.0,0.99999999999975608,9.5,4.6548528940780957e-16,4.4999331369888437e-15,4.4997991527087594e-15,6.7196624611321453e-28,6.7198510859334518e-28,2.3446809103412302e-13,1.0353830574179498e-23,3.1529045968650718e-28,6.8514357415686412e-41,2.0391778682585231e-45,5.1159592201158578e-31,3.048291866270369e-23,1.6624290826353433e-29,6.4292632685725839e-41,4.8000387973059406e-45,2.7251551817033826e-46,2.0002025031959103e-59,8.1187789204176501e-39,1.6565961884850733e-28,3.9030475347655602e-40,3.9030475347658155e-40,2.1891795300140837e-53,3.622986805312568e-54,5.7316669303658602e-41,5.6919100498265955e-29,6.8396609042255828e-42,5.6596548771447218e-43,1.9184887074495187e-94,2.8326734729036264e-53,1.7556767660778101e-43,1.7353408351353213e-94,3.6319555883222598e-25,1.6387030516381208e-66,1.6387030209574091e-66,9.8561511690272032e-37,2.8789139077490867e-37,2.602589331927881e-26,9.8552512210724331e-37,1.1595680430027607e-48,1.7353408351352723e-94,4.6390193657045455e-56,6.6377473424522295e-53,3.6735771337468992e-68,1.7954287934764019e-81,1.5160137661886718e-44,3.9067006852290934e-95,4.1266324164351466e-32,1.5455144713096462e-67,2.1923289218784917e-94,4.1883702636017278e-44,1.3868075245244143e-108,8.471429026378882e-100,1.0422578055188833e-112,2.3587460472881222e-63,7.7402384356816763e-44,3.5628674043177816e-64,5.2010775925567293e-44,3.1087831826432205e-57,2.6389516348174117e-35,2.9172313428055196e-57,2.5476721586206053e-58,3.3793061353571824e-48,9.8996532736646234e-47,1.3334342255253108e-69,1.0719024992139247e-47,7.7343936273148379e-50,1.1996958831813735e-74,6.0616614117204486e-56,4.9150131706472971e-41,1.0230768383977288e-75,1.3398428029300889e-19,1.5885776333073144e-39,2.7963196652656702e-37,1.5885776333073144e-39,1.1832760402068694e-65,4.1810640944032162e-61,3.216552946044551e-61,1.2788164622014421e-108,1.2277547705209594e-109,1.1366096151600014e-47,5.1642318328318146e-58,2.5101369585940037e-59,7.1327875112376941e-79,7.879063066698865e-49,2.3829197847781198e-89,4.8235803054029041e-59,2.8552076305333215e-71,6.725192202426071e-84,1.5254450395069835e-84,4.359408647754425e-73,3.75747233713018e-64,2.0321084425489471e-90,3.7574723643499448e-64,3.1806466204840945e-80,1.988688534936503e-65,3.6641596479468627e-78,7.2463176481936304e-73,7.8838644823993473e-83
