Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995),S(1218),S(2281),S(2282),S(1827),S(971),S(805),S(887),S(3335),S(1971),C7H8(1663),S(3456),C7H9(2067),C7H9(2027),S(3692),S(3691),S(2237),S(2209),S(3466),S(3552),S(1954),S(2383),S(4082),C7H9(2044)
0.0,0.2916883258769044,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.2431186046127696e-21,0.2916883258769044,76.950000000000003,0.0,0.0,0.0,0.99999999999999922,9.5,4.4773131009022908e-17,3.5210664006657708e-16,3.5210645971045498e-16,1.436232662513789e-27,1.436219592620754e-27,8.68177502417081e-17,7.6666637010941917e-26,9.3478840909738534e-28,4.9431755724262593e-40,8.8256603121829119e-45,1.0219748816967794e-31,9.7777560073069895e-26,2.8005420922505115e-30,6.434373395464165e-40,5.6202847226745395e-45,9.1514030531839093e-48,1.3760580563993129e-60,4.377807506890732e-42,7.3953561121803413e-31,3.8864789216115092e-42,3.8864789216231547e-42,1.0317997480455935e-53,1.3275453947482733e-54,1.6422504220711236e-48,4.0281179059066446e-31,2.1388053938300427e-42,1.3759265090907119e-43,1.6093339023882107e-96,4.6492787755824471e-54,8.0313667829312896e-47,1.5250024802389727e-96,1.0267246004638814e-27,9.482138858908076e-66,9.4821340526393426e-66,2.3014694399549762e-39,7.0005004311325751e-40,2.6061454608413484e-30,2.3014240371999612e-39,9.0460497106369422e-51,1.5250024802389704e-96,1.0053380729121016e-57,8.3697215015574588e-58,7.7878534356501134e-69,3.9477591716902625e-81,1.80351650202827e-47,3.6238599445429816e-93,3.5036145121735995e-36,4.0021501012614394e-71,1.9508483637873207e-94,2.2721868048076509e-47,5.9554143517404054e-107,2.3187955508320325e-99,2.2268647573450261e-110,2.9399582005035277e-66,1.0827907583117912e-48,3.1303250864133136e-68,1.3771417405750617e-47,2.8086618209987043e-59,1.4469606249950978e-39,3.6560972915908954e-59,2.4832039678038652e-60,5.9021129936158918e-51,8.9436531915759969e-52,3.492036366067932e-71,7.6434856895809061e-52,2.2887664118044708e-56,2.7643137084180351e-77,4.0417737260677442e-59,1.2336360363598973e-43,2.5573807244291627e-78,1.8035705667781487e-22,7.0884067219240877e-42,6.7069857103581372e-40,7.0884067219240877e-42,1.4312832371383245e-70,3.6639036295267138e-63,2.0313592861456721e-63,8.7306493541036567e-108,1.6613654402726962e-112,3.3373817275005285e-50,1.0625793249328163e-60,6.3137575443602987e-61,1.0173528965085596e-83,2.8370267832039731e-51,8.9839952112131838e-93,2.5899622162803784e-64,3.7118804059814388e-76,3.6880182865213543e-87,9.8544655595502976e-88,8.8507210346803759e-77,8.6512855704920836e-66,8.3114648427120907e-94,8.651287613322492e-66,6.6491824863642717e-86,2.1801734109525226e-70,1.5007603088469005e-82,1.2390079556262904e-78
3.4807320929157546e-21,0.2916883258769044,76.950000000000003,0.0,0.0,0.0,0.99999999999999756,9.5,1.2536476682526378e-16,9.8589859217873143e-16,9.8589808718461583e-16,8.6748452814255592e-27,8.6746858266211315e-27,2.4308970009650636e-16,4.6306648662371899e-25,5.646121985732861e-27,5.8684294895641656e-39,1.0477826084707786e-43,6.17272828542252e-31,5.905764616649882e-25,1.6915274237083058e-29,7.6384623403315305e-39,6.6724005953077182e-44,1.0864545704651558e-46,3.0781874219120854e-59,5.1973330626966333e-41,4.4667950917163283e-30,4.6140277756865542e-41,4.6140277757126055e-41,2.308094750134126e-52,2.9696659425718719e-53,1.9496796929980799e-47,2.4329832104136459e-30,2.5391897425500222e-41,1.6334999465176683e-42,1.7148701572842608e-94,1.0400250618934379e-52,9.5348386160648858e-46,1.6250084828670899e-94,6.2014165744494182e-27,3.9128304884272308e-64,3.9128268703907817e-64,2.7323045091879881e-38,8.3109940815576474e-39,1.5741118521099107e-29,2.7322506070383512e-38,2.023565129046569e-49,1.6250084828670854e-94,2.2489010470751292e-56,9.9509787101668954e-57,3.2136801293600362e-67,2.971775118716156e-79,2.1411347868161175e-46,4.9465518752309983e-91,2.1161831653226871e-35,8.9650828855079001e-70,2.6628988923109988e-92,2.6975401742124825e-46,1.4691957068712601e-104,3.1651450849067369e-97,5.4936590559197487e-108,1.2131819792116701e-64,1.2854891728497442e-47,1.2917374063845787e-66,1.6349426743823355e-46,6.2828641252078663e-58,8.739642174878607e-39,8.1785433709763985e-58,5.5548279471820636e-59,7.0069885458800839e-50,1.061790532108849e-50,1.4409527220227965e-69,9.0743457972039266e-51,2.7682311912113481e-55,2.0809063534030296e-75,9.0412861265305004e-58,1.4645726257887034e-42,1.9251323690992127e-76,5.049997606367316e-22,8.4153563960047718e-41,4.0510193825748024e-39,8.4153563960047718e-41,5.906230334010636e-69,8.195824271928164e-62,4.5439713863645236e-62,2.1538436458421614e-105,3.1045695472146088e-110,3.9621395866643469e-49,2.2662458414294873e-59,1.4123622042637442e-59,7.6583786418440395e-82,3.3681181969779484e-50,1.22631091380583e-90,5.793641879225543e-63,1.5317178439188466e-74,2.7762481149513639e-85,7.4181956677866317e-86,3.6522748168850415e-75,1.9352572048994313e-64,1.1345108504176751e-91,1.9352580478786274e-64,5.005338595424423e-84,4.9644183775539205e-69,6.3012945916409995e-81,5.1128010378186316e-77
7.955959069521726e-21,0.2916883258769044,76.950000000000003,0.0,0.0,0.0,0.99999999999999456,9.5,2.8654803845774414e-16,2.2534824963723036e-15,2.2534813421143052e-15,4.1765645823535125e-26,4.1764058083576455e-26,5.556335974849981e-16,2.2294657904426392e-24,2.7183646858321803e-26,5.7614289552359992e-38,1.028719273120321e-42,2.9719029559351817e-30,2.8433714292795645e-24,8.1439764040994455e-29,7.4985859445433482e-38,6.5509994476517919e-43,1.0666875398517149e-45,6.0819801488161319e-58,5.102772400631303e-40,2.1505695573611461e-29,4.5300798308734242e-40,4.5300798309248974e-40,4.5604062173979474e-51,5.8675594551659056e-52,1.9142070669033524e-46,1.1713766799067006e-29,2.4929915019327839e-40,1.6037799232641762e-41,3.9026432474577537e-92,2.054914249729833e-51,9.3613610334280931e-45,3.698139101543862e-92,2.985715119620333e-26,1.5478762509761047e-62,1.5478733903082062e-62,2.6825927484391854e-37,8.159783208650992e-38,7.5786709065526821e-29,2.682539826991402e-37,3.9982236647340372e-48,3.6981391015438429e-92,4.4434494599990085e-55,9.8005279460872203e-56,1.2713000124519419e-65,2.3496934379539257e-77,2.1021788211494323e-45,7.8143403302070163e-89,1.0188511000948329e-34,1.7767256264619434e-68,4.2067279863760103e-90,2.6484609382728021e-45,4.6378144549624937e-102,5.0001539581824004e-95,1.7341853064440536e-105,4.7992272273549601e-63,1.2621008600923809e-46,5.1099846736169654e-65,1.6051964127263221e-45,1.2413880663583663e-56,4.2077614973480668e-38,1.6159423384370928e-56,1.0975403952316099e-57,6.8795029049225065e-49,1.0424722941454328e-49,5.6998647162209473e-68,8.9092456380294015e-50,2.8259100167775493e-54,1.6453100666125343e-73,1.7864057679078667e-56,1.437925926590046e-41,1.5221442629712546e-74,1.1542851763099654e-21,8.2622466758578545e-40,1.9503914648344377e-38,8.2622466758578512e-40,2.3364459673877588e-67,1.6192782470832004e-60,8.977697638954894e-61,6.7990432263268351e-103,1.4109735113781379e-107,3.8900521409083693e-48,4.0629925049481124e-58,2.7905892652277778e-58,6.0552496550138951e-80,3.3068384183729366e-49,1.9372706718206792e-88,1.144726004073856e-61,6.0593234766902213e-73,2.1950959081455593e-83,5.8653441886361353e-84,1.4448035969500108e-73,3.8237387795620756e-63,1.7922490724514676e-89,3.8237421142996393e-63,3.9575706915675793e-82,1.0187035799081982e-67,2.587485030028829e-79,2.0225732602453435e-75
1.6906413022733666e-20,0.2916883258769044,76.950000000000003,0.0,0.0,0.0,0.99999999999998856,9.5,6.0891458172269949e-16,4.7886503046365073e-15,4.7886478518991564e-15,1.8240154811480411e-25,1.8238740946847309e-25,1.1807213829775621e-15,9.7366627574222631e-24,1.1871812714698989e-25,5.0955097099069374e-37,9.0989058507576481e-42,1.2979080997145508e-29,1.2417749946945035e-23,3.5566884569876147e-28,6.6308109057634704e-37,5.7942794449918049e-42,9.4347304911350164e-45,1.082255896599893e-56,4.5133443655629506e-39,9.3921022618397585e-29,4.0068043086950053e-39,4.0068043087865971e-39,8.1149989819316694e-50,1.0441008491321864e-50,1.6930944425066739e-45,5.1157096668149381e-29,2.2050226720804476e-39,1.4185251607750494e-40,6.5952945578725291e-90,3.656610065980423e-50,8.2800177121418821e-44,6.2496915921182732e-90,1.3039402234428758e-25,5.5242562492908009e-61,5.524235802500592e-61,2.3727228691940795e-36,7.2172357273384535e-37,3.3098046385754226e-28,2.372676060777039e-36,7.1146252785348995e-47,6.2496915921182069e-90,7.9068807699705703e-54,8.7228872623629917e-55,4.5371795552024154e-64,1.6794626625991011e-75,1.8593533443401553e-44,1.1178159358343604e-86,4.4495904299928968e-34,3.1808094025496839e-67,6.0175873871016895e-88,2.3425337053214077e-44,1.3272830495356871e-99,7.1525574298381963e-93,4.9630165076311094e-103,1.7128100824952875e-61,1.1163138598178606e-45,1.8237171994383407e-63,1.4197780486785304e-44,2.208983703128753e-55,1.8376399936015097e-37,2.8754830109357879e-55,1.953014490976096e-56,6.0848424109822783e-48,9.2205503352291953e-49,2.0339541601217476e-66,7.8801253148640376e-49,2.6916867624725831e-53,1.1759988161919028e-71,3.1788135738227433e-55,1.2718289095244998e-40,1.0879650522901342e-72,2.4528560386780331e-21,7.3078633756794571e-39,8.5178720614597938e-38,7.3078633756794519e-39,8.338609573301356e-66,2.8811384522531033e-59,1.5973817284116469e-59,1.9457982119190311e-100,4.7817824814021109e-105,3.4407070644783223e-47,6.0917937437437399e-57,4.9657028988451276e-57,4.3280391802373021e-78,2.9248611321397738e-48,2.7712024819923604e-86,2.036978761611361e-60,2.1625295161207257e-71,1.5689627743534222e-81,4.1923026779288568e-82,5.1564014116073788e-72,6.8041269207777509e-62,2.5637538172198923e-87,6.8041388221884214e-62,2.8287060071042546e-80,1.9479336318579176e-66,9.9131823999731897e-78,7.2184204057646736e-74
3.480732092915755e-20,0.2916883258769044,76.950000000000003,0.0,0.0,0.0,0.99999999999997657,9.5,1.2536476682525881e-15,9.8589859206731962e-15,9.8589808711707427e-15,7.614905574447878e-25,7.6137132714816562e-25,2.4308969168250126e-15,4.064864965649518e-23,4.9562480722803627e-25,4.2823951246986587e-36,7.6481787713160698e-41,5.4185108223930801e-29,5.184166070972811e-23,1.4848474171577477e-27,5.5709005642164544e-36,4.8704319565374898e-41,7.9304594623962392e-44,1.8253827176751829e-55,3.7937378285353699e-38,3.9210178101116698e-28,3.3679604492078058e-38,3.367960449362288e-38,1.3687131152555371e-48,1.7610286719327425e-49,1.4231478442710134e-44,2.1357080473938521e-28,1.8534542853167305e-38,1.1923558380151083e-39,9.6569640243178183e-88,6.1674071764174384e-49,6.9598536140568532e-43,9.1509251540792364e-88,5.4436936593432195e-25,1.8665185312932556e-59,1.8665047032108198e-59,1.994416475911351e-35,6.0665213079407112e-36,1.3817782363143044e-27,1.9943771306234884e-35,1.199985506128027e-45,9.150925154079041e-88,1.3336109668749507e-52,7.4236806833928398e-54,1.5330103965786318e-62,1.1358213906471323e-73,1.5628984925215872e-43,1.5125673642031997e-84,1.8576164139336341e-33,5.4297666189574638e-66,8.1426700062492663e-86,1.9690407246815548e-43,3.5927351604146682e-97,9.6784494478251671e-91,1.3434063463553759e-100,5.7871979803975631e-60,9.3832896439873778e-45,6.161928006198742e-62,1.1934089977793425e-43,3.7257737729498102e-54,7.6717852324436687e-37,4.8499222495329084e-54,3.294044394331179e-55,5.1146766847978574e-47,7.7504297343248203e-48,6.8703320776190173e-65,6.6237175193699825e-48,2.5858602506923478e-52,7.9532853807105268e-70,5.3615335727174378e-54,1.0690483464735799e-39,7.3579126431133318e-71,5.0499978875005672e-21,6.1426990916956721e-38,3.5560440119754653e-37,6.1426990916956658e-38,2.8174276282890174e-64,4.8585141902220392e-58,2.6937062961375579e-58,5.2669487774984586e-98,1.402503372720933e-102,2.8921216047937953e-46,7.8028813433458158e-56,8.3753783487969741e-56,2.9270548849521643e-76,2.4585220174022005e-47,3.7498395017024756e-84,3.4356624119846169e-59,7.3066985265242569e-70,1.0610902901536398e-79,2.8352562015937985e-80,1.7422314960870801e-70,1.1476114283419489e-60,3.4691313270836812e-85,1.1476154495387916e-60,1.9130551853446367e-78,3.7417600509038134e-65,3.8081454622546764e-76,2.4389411813635453e-72
7.060913674200531e-20,0.29168832587690435,76.950000000000003,0.0,0.0,0.0,0.99999999999995248,9.5,2.5431138413122765e-15,1.9999657150780023e-14,1.9999646908521468e-14,3.1109373944485191e-24,3.1099584128033487e-24,4.9312478359692152e-15,1.6606299153706838e-22,2.0247890240430194e-24,3.5098388255952863e-35,6.2704391068138462e-40,2.2136384724429549e-28,2.1179009232675818e-22,6.0660861921990097e-27,4.5629466161634601e-35,3.9930595383960044e-40,6.5018698045328306e-43,2.9981963765316603e-54,3.1103353812288729e-37,1.6018637148432036e-27,2.7612574593338194e-37,2.7612574595875567e-37,2.2481151574866333e-47,2.8924948188837117e-48,1.1667825016608059e-43,8.7250639474189054e-28,1.5195735857400569e-37,9.7756530235574669e-39,1.3205081453879385e-85,1.0129984277122513e-47,5.7061081918172062e-42,1.2513116102928218e-85,2.2239264076943422e-24,6.1366861426005522e-58,6.1365951780618195e-58,1.6351430213303788e-34,4.9737003772280065e-35,5.6450145771995034e-27,1.6351107636978547e-34,1.9709796767554398e-44,1.2513116102927682e-85,2.1904598718784166e-51,6.2365460306245041e-53,5.0402024219963947e-61,7.471811957735069e-72,1.2813585648641894e-42,1.9904534682381315e-82,7.5889691743858101e-33,9.1315095982955059e-65,1.0715295159170535e-83,1.6143385457922212e-42,9.4566690362168882e-95,1.2736294620554333e-88,3.5360662378237855e-98,1.9027039651777559e-58,7.6929861618704355e-44,2.025906962170504e-60,9.7842879881920002e-43,6.1195942346215175e-53,3.1341745910804216e-36,7.9660114054178593e-53,5.4104777982729463e-54,4.193320960484292e-46,6.3542731775773985e-47,2.2575408152391989e-63,5.4305195124250257e-47,2.6502859739446502e-51,5.2319363668078946e-68,8.8063345175124031e-53,8.7646962757047731e-39,4.8402803386046983e-69,1.0244282081491212e-20,5.0361551735792335e-37,1.4527600922578795e-36,5.0361551735792226e-37,9.2630850692164904e-63,7.9770150708074757e-57,4.4227413364319887e-57,1.3863451192747598e-95,3.8387274622329964e-100,2.3711360247267665e-45,8.6336164285544602e-55,1.3756566373254442e-54,1.9255143274609174e-74,2.0156448870755678e-46,4.9345775755444111e-82,5.6430858265333006e-58,2.4022826457433405e-68,6.9802064246803889e-78,1.8651260595866459e-78,5.7280759787994663e-69,1.8849419841703851e-59,4.5651814357002195e-83,1.8849552048487939e-59,1.2584715240142103e-76,7.6448520285864207e-64,1.553669822150749e-74,8.0187054605217602e-71
1.4221276836770085e-19,0.29168832587690446,76.950000000000003,0.0,0.0,0.0,0.9999999999999043,9.5,5.1220461874313004e-15,4.0280999603130108e-14,4.0280978978453079e-14,1.2574906336662973e-23,1.2566974169715515e-23,9.9319490800548946e-15,6.7125311740370885e-22,8.1845207133897869e-24,2.8405340946414966e-34,5.0779641962192982e-39,8.9478806346690338e-28,8.5608935737992084e-22,2.4520090267171727e-26,3.6880627838312438e-34,3.233659107441117e-39,5.2653827385807692e-42,4.8602047447939888e-53,2.5188300729246893e-36,6.4749892493629377e-27,2.2361378801501891e-36,2.2361378805615079e-36,3.6442907560642077e-46,4.688858543855637e-47,9.4489058459932305e-43,3.5268101144090531e-27,1.2305897336724128e-36,7.9165764149377729e-38,1.74649843328289e-83,1.6421139326374424e-46,4.6209538725094493e-41,1.6549793915034148e-83,8.9894655047701207e-24,1.9904074927818735e-56,1.9903484734507599e-56,1.3241810454834146e-33,4.0278310074891496e-34,2.2818048398702971e-26,1.3241549224350624e-33,3.1950426009784328e-43,1.6549793915032729e-83,3.5508293729469944e-50,5.2937360598925851e-52,1.6347773154000391e-59,4.8479657717845881e-70,1.0376773133448149e-41,2.5832242726848635e-80,3.0675826759742063e-32,1.5493473556263816e-63,1.3906384142582373e-81,1.3073332012722796e-41,2.45471740756801e-92,1.6529251752495777e-86,9.1787535740008812e-96,6.1713739608323447e-57,6.2299770520570012e-43,6.5709796891149791e-59,7.9235700828574339e-42,9.9201247489413305e-52,1.2668834804016615e-35,1.2913246298737177e-51,8.7706176293203457e-53,3.3958600306193941e-45,5.145859408669996e-46,7.3140291344499496e-62,4.3977685352934682e-46,3.0050969554219909e-50,3.3946583002745498e-66,1.4275446202446906e-51,7.0978653906601583e-38,3.1405385640551569e-67,2.0632852454854638e-20,4.0784079486866902e-36,5.8722892362976108e-36,4.0784079486866741e-36,3.0044590777531242e-61,1.2921016743110078e-55,7.1640157429992132e-56,3.5985970953011398e-93,1.0158358618502248e-97,1.920207426446429e-44,8.4481414281542681e-54,2.2299929472278567e-53,1.2493392080947156e-72,1.6323214879726913e-45,6.4041289208328381e-80,9.147685296052214e-57,7.7917463814108122e-67,4.5289961937582773e-76,1.2101572034242664e-76,1.8578877116807201e-67,3.0555292819840805e-58,5.9247240731582848e-81,3.0555721620487496e-58,8.1653916583629754e-75,1.7252582409286422e-62,6.9959900852968136e-73,2.6008481967124627e-69
2.854200316190919e-19,0.2916883258769044,76.950000000000003,0.0,0.0,0.0,0.99999999999980804,9.5,1.0279910879667939e-14,8.0843684476397082e-14,8.0843643099237029e-14,5.056314525257724e-23,5.0499312022175793e-23,1.9933349191415906e-14,2.6990788957653003e-21,3.2909595747806137e-23,2.2833775628326181e-33,4.0871873863661753e-38,3.5979034479575667e-27,3.4422971863887047e-21,9.8594204487873619e-26,2.9570605937810366e-33,2.6026914832696928e-38,4.2380381035599052e-41,7.827207330238735e-52,2.027373318895704e-35,2.603564697518244e-26,1.7998383041714808e-35,1.7998383048338975e-35,5.8690153641691653e-45,7.5512614795807891e-46,7.6052992697728238e-42,1.4181146466168491e-26,9.9048510722240265e-36,6.3719480498311495e-37,2.272242340911545e-81,2.6445733117463459e-45,3.7193449144699709e-40,2.1531735586251584e-81,3.6146240515032938e-23,6.4122858897339791e-55,6.4119055916311017e-55,1.0658158375004564e-32,3.2419479874088386e-33,9.175034424741891e-26,1.0657948114287545e-32,5.1455163539930276e-42,2.153173558624789e-81,5.718499716645843e-49,4.6523897135522806e-51,5.2666511753629105e-58,3.124009287295547e-68,8.3521285862821238e-41,3.329417722745264e-78,1.2334615010923013e-31,2.7177124071544687e-62,1.7923399963207971e-79,1.0522554834656366e-40,6.327750908488628e-90,2.1303913830019005e-84,2.3660917855604394e-93,1.9881898495469579e-55,5.0144233483224332e-42,2.1169280037227245e-57,6.3775785300127575e-41,1.5976051169169819e-50,5.0940827514904122e-35,2.0796380341987226e-50,1.4124809196341771e-51,2.7332835819764445e-44,4.1418421633589298e-45,2.3510139169663543e-60,3.539695507817253e-45,3.8012857793147388e-49,2.1875039315611889e-64,2.2990161057570138e-50,5.7129588111048739e-37,2.0237502363937435e-65,4.1410001143108847e-20,3.2826557887624812e-35,2.3612222110783474e-35,3.2826557887624544e-35,9.6792628060863116e-60,2.077654365076622e-54,1.1519948380915501e-54,9.276373083265048e-91,2.6438093835325395e-95,1.545549987641631e-43,7.5766586184667045e-53,3.591316397437323e-52,8.0506908914666195e-71,1.3138343411476477e-44,8.2540338829241898e-78,1.4732065143076784e-55,2.5102150181047662e-65,2.9184676710896689e-74,7.7982031122374363e-75,5.9854327331284474e-66,4.9206975324737032e-57,7.636147578755333e-79,4.9208356705870818e-57,5.261745379518967e-73,4.3438367911542625e-61,3.5145996145167571e-71,8.3789808565476742e-68
5.718345581218741e-19,0.2916883258769044,76.950000000000003,0.0,0.0,0.0,0.99999999999961542,9.5,2.0595640264135563e-14,1.6196905409736633e-13,1.6196897126448777e-13,2.0278082687963511e-22,2.0226910536098974e-22,3.9936139906901084e-14,1.0824510624653321e-20,1.3198218150259112e-22,1.8275796327138596e-32,3.279710509587537e-37,1.4429202019669062e-26,1.3805147573025674e-20,3.9540685698217653e-25,2.3547411455485614e-32,2.0884339161496154e-37,3.400758671946853e-40,1.2564392901928566e-50,1.6268389963560163e-34,1.0441458896880059e-25,1.4442568870381508e-34,1.444256888101475e-34,9.4210612596973537e-44,1.2121444921330082e-44,6.1027701821914884e-41,5.6872724849605562e-26,7.9480100627892446e-35,5.113084811223023e-36,2.9322083636361841e-79,4.245124073910929e-44,2.9845388122749304e-39,2.7785564080626317e-79,1.4496255189512228e-22,2.0588010887264634e-53,2.0585568899328762e-53,8.5524965506242451e-32,2.6014577718668545e-32,3.6795971794199363e-25,8.5523278301263227e-32,8.2596892719417355e-41,2.7785564080616789e-79,9.1794536139188948e-48,4.3616075290177843e-50,1.6910101376641318e-56,2.006214933068164e-66,6.7020552813995433e-40,4.2763689632232232e-76,4.94673228891437e-31,5.0769707514385331e-61,2.3021163979768735e-77,8.4436873694800705e-40,1.6255192777153901e-87,2.7363165375675851e-82,6.0781910076376147e-91,6.3836575757651931e-54,4.0237522330360927e-41,6.79700780003044e-56,5.1176051121335369e-40,2.5645087707739241e-49,2.0429550188456885e-34,3.3382780970469115e-49,2.2673446572353842e-50,2.1932879322343491e-43,3.3235784558682054e-44,7.5148181793944795e-59,2.8403647377460551e-44,5.2690629156334461e-48,1.4047983772210889e-62,3.6904284113451316e-49,4.5842563464548817e-36,1.2996370312653073e-63,8.2964330285716689e-20,2.6341217406501275e-34,9.4695614515214259e-35,2.6341217406500847e-34,3.1078068024200622e-58,3.3247553796833039e-53,1.8436206128696995e-53,2.382951348654921e-88,6.8241020318748775e-93,1.2402065243239289e-42,6.4427481303593955e-52,5.7647987915088167e-51,5.1700925590678732e-69,1.0542693145573003e-43,1.0601642251803288e-75,2.3648227154607172e-54,8.0597748242018116e-64,1.8742190611475585e-72,5.0079461315177456e-73,1.9217969176350328e-64,7.8983657289966511e-56,9.8080171433078628e-77,7.8988092247368287e-56,3.3790533200369304e-71,1.1998312939006752e-59,1.9380549200301624e-69,2.690316277861578e-66
