Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995),S(1218),S(2281),S(2282),S(1827),S(971),S(805)
0.0,0.22714898541950498,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0128531593679758e-21,0.22714898541950498,76.950000000000003,0.0,0.0,0.0,0.99999999999999922,9.5,3.25602708987048e-17,3.2466352209030828e-16,3.2466336880469988e-16,1.3772068178164977e-27,1.3771971182573889e-27,5.5920686034454769e-17,3.9955571351518887e-26,9.0260618250021244e-28,3.6799271096586745e-40,8.3389924149586629e-45,9.3082773514810468e-32,5.0076241076089472e-26,2.5520099029387969e-30,4.8234138403865222e-40,5.1328569863874496e-45,6.0616006432670567e-48,8.9440396299815168e-61,1.6304959750253518e-42,4.8664298703096953e-31,1.9695680510990915e-42,1.9695680511052686e-42,5.4756514663329037e-54,7.01196416710482e-55,4.9512194684663533e-49,2.6907216431005488e-31,1.4961101650623104e-42,9.5793814963421172e-44,4.3243185246076389e-97,2.420441717900256e-54,3.8226565867917414e-47,4.1018454438758764e-97,5.242562721687391e-28,5.1336994230187813e-66,5.1336973199681186e-66,8.8638453495209161e-40,2.6979781164958612e-40,1.2405348001899512e-30,8.8636766775342319e-40,2.7024176194592124e-51,4.1018454438758717e-97,5.0200671375243812e-58,4.7245746801255672e-58,3.9095383100429193e-69,1.5735981598803806e-81,8.7610716172375528e-48,1.5070809267401902e-93,2.1145128143318493e-36,2.334361301524402e-71,5.7672871990749143e-95,1.0791897629627961e-47,1.8420533995140419e-107,8.9976296802024984e-100,9.1253811469063207e-111,6.3749064307385826e-67,4.7444085410878756e-49,6.4071881872589616e-69,6.4468695033533624e-48,1.3673659332292084e-59,8.6644935367804376e-40,1.7923123056675509e-59,1.2114923752203196e-60,3.6754376127356572e-51,3.8881673605338422e-52,1.3124349107729354e-71,3.4796143267026602e-52,9.2226783950391802e-57,4.5779635934126934e-78,1.4588398770749002e-59,6.0794278719366687e-44,4.2409837783058282e-79,1.5328651101509853e-22,3.5342053441243133e-42,5.6209059633308183e-40,3.5342053441243126e-42,2.8036866169015245e-71,1.7836098557867797e-63,9.8208166015906933e-64,2.0362180576425528e-108,3.2374926509439965e-113,2.095866447682167e-50
2.8359888462303322e-21,0.22714898541950498,76.950000000000003,0.0,0.0,0.0,0.99999999999999789,9.5,9.1168758516373209e-17,9.0905786184547482e-16,9.0905743264869386e-16,8.3183291794879023e-27,8.3182102349800936e-27,1.5657792059695306e-16,2.4133165057795871e-25,5.4517413383328313e-27,4.3687486772666942e-39,9.9000535625000333e-44,5.6221995202662921e-31,3.024604956167907e-25,1.5414139813645781e-29,5.7261160379964883e-39,6.0937267735286362e-44,7.1963322836293959e-47,2.0007462229073134e-59,1.9357248187195184e-41,2.9393236416433584e-30,2.3382711902410933e-41,2.3382711902549112e-41,1.2248813244027099e-52,1.5685483347997294e-53,5.8780877334535505e-48,1.6251958698838792e-30,1.776181976265453e-41,1.1372641684351139e-42,4.6078969550342638e-95,5.4144312924691206e-53,4.53825788889169e-46,4.3708346236063895e-95,3.1665078788447884e-27,2.118435154655004e-64,2.1184335715319032e-64,1.0523157168155617e-38,3.203039610503787e-39,7.4928301692269155e-30,1.0522956920776069e-38,6.0452001011227486e-50,4.3708346236063816e-95,1.1229689349624964e-56,5.6184041739021314e-57,1.6132821930103737e-67,1.1845656080480008e-79,1.0401144206877587e-46,2.0571583661604538e-91,1.2771657398400937e-35,5.2302231643574624e-70,7.872319860962203e-93,1.2812140864205795e-46,4.5443301186062299e-105,1.2281722143563276e-97,2.2512246592466118e-108,2.6306229812051535e-65,5.6325617686209538e-48,2.6439441366320153e-67,7.6537234742570453e-47,3.058742889724401e-58,5.2333540961616117e-39,4.0093309250932695e-58,2.7100599834272391e-59,4.363479533772623e-50,4.6160323874013836e-51,5.4156763817031896e-70,4.1309979768149082e-51,1.1119287572521347e-55,3.4461767151210278e-76,3.2633664433334419e-58,7.2174964625894171e-43,3.1925067226218479e-77,4.292022322988293e-22,4.1958085587409009e-41,3.395027211892223e-39,4.1958085587408999e-41,1.1569491296359777e-69,3.9897970478618081e-62,2.1968417510342444e-62,5.0233323060234788e-106,6.0532032503753743e-111,2.4882126466562893e-49
6.482260219955045e-21,0.22714898541950498,76.950000000000003,0.0,0.0,0.0,0.99999999999999523,9.5,2.0838573375170926e-16,2.0778465413262545e-15,2.0778455603188201e-15,4.0049174260247628e-26,4.0047986822570409e-26,3.5789238852386873e-16,1.1619080091239388e-24,2.6247787727579409e-26,4.2891346038353211e-38,9.7199320697406889e-43,2.706847053768286e-30,1.4562170832508369e-24,7.4212447975891958e-29,5.6214245310873515e-38,5.9828548771316696e-43,7.0654017096145741e-46,3.9531376793594461e-58,1.9005060997147554e-40,1.4151578062505149e-29,2.2957285202874851e-40,2.2957285203147862e-40,2.4201590608744322e-51,3.0991871799691416e-52,5.7711413519643056e-47,7.8246184999036126e-30,1.7438659721374126e-40,1.1165726985007089e-41,1.0486495353721278e-92,1.0698003768840032e-51,4.4556884836272779e-45,9.9469969531893986e-93,1.5245372318850985e-26,8.3803162950837511e-63,8.3803037778220815e-63,1.0331698043935196e-37,3.1447632634472751e-38,3.6074751630717991e-29,1.0331501439876943e-37,1.1944296623385329e-48,9.9469969531893628e-93,2.2187973641900446e-55,5.5360704989126107e-56,6.3819844138264667e-66,9.3660048083740339e-78,1.0211905024020908e-45,3.2498062916278542e-89,6.1490032638318709e-35,1.0370147739667649e-68,1.2436336956275375e-90,1.2579035871859948e-45,1.4345100231270588e-102,1.9402112461577891e-95,7.1064486251881792e-106,1.0406482845130564e-63,5.5300824362804587e-47,1.0459179995605822e-65,7.5144710927240734e-46,6.0435604720650634e-57,2.5196347204150916e-38,7.9217622338638226e-57,5.3546218420244613e-58,4.284090081196525e-49,4.5320481760626271e-50,2.1422801525434037e-68,4.055837988480538e-50,1.1277337648420359e-54,2.7247882837765034e-74,6.4478621327742021e-57,7.0861801759106965e-42,2.524219050638002e-75,9.8103368069250459e-22,4.1194696691205082e-40,1.6345594691850316e-38,4.1194696691205066e-40,4.5767756749609421e-68,7.8828775506599333e-61,4.3404349973351302e-61,1.5857165169712457e-103,2.7510017951868248e-108,2.4429419313191968e-48
1.377480296740447e-20,0.22714898541950498,76.950000000000003,0.0,0.0,0.0,0.9999999999999899,9.5,4.4281968422237807e-16,4.4154239001696062e-15,4.4154218155876224e-15,1.7490526584351521e-25,1.7489467873299451e-25,7.6052131958537672e-16,5.0743575019345243e-24,1.1463098456241732e-25,3.7934619622273653e-37,8.597170150841444e-42,1.1821512235942727e-29,6.3596825418309723e-24,3.2410525765702246e-28,4.9711790633306348e-37,5.2917634636676171e-42,6.2492677988098167e-45,7.0343974396775222e-57,1.6809761119850701e-39,6.1803659349260193e-29,2.0305458778065253e-39,2.0305458778551055e-39,4.3065436473105945e-50,5.5148379742444634e-51,5.1045090962019196e-46,3.4172164472304895e-29,1.5424296596282886e-39,9.875958964497381e-41,1.7721713554782873e-90,1.9036525916543327e-50,3.9410059634507179e-44,1.6809985108341955e-90,6.65805457819985e-26,2.990873564903844e-61,2.990864618112458e-61,9.1382698010626964e-37,2.7815074577879459e-37,1.5754791591646421e-28,9.1380959070110949e-37,2.1254237398686746e-47,1.680998510834183e-90,3.9482313066127926e-54,4.9319706403486112e-55,2.2776849587429615e-64,6.694428769182151e-76,9.0323142831417429e-45,4.648742058829078e-87,2.6854312739481329e-34,1.8582215287128979e-67,1.7789774983184938e-88,1.1126014769249007e-44,4.1053838042648855e-100,2.7754090085859351e-93,2.0337746618653531e-103,3.7139997645742185e-62,4.8912950951756783e-46,3.7328069920566468e-64,6.6464645823695193e-45,1.0754192825961714e-55,1.1003906790877679e-37,1.4096352479452823e-55,9.5282634677383481e-57,3.7892291607888283e-48,4.0085456533271604e-49,7.6448754241639211e-67,3.5873421977369547e-49,1.0615718257735117e-53,1.9475647011539614e-72,1.147362603228305e-55,6.2676449604529409e-41,1.8042062031391826e-73,2.0846966007847108e-21,3.6436241735977486e-39,7.138550728873718e-38,3.6436241735977453e-39,1.633418709533437e-66,1.4026126041563591e-59,7.7230212873155966e-60,4.5381158756695077e-101,9.3228096091903127e-106,2.1607544726942219e-47
2.835988846230332e-20,0.22714898541950498,76.950000000000003,0.0,0.0,0.0,0.99999999999997924,9.5,9.1168758516370271e-16,9.0905786173835051e-15,9.090574325839429e-15,7.3019505463368777e-25,7.3010571938785207e-25,1.5657791625390988e-15,2.1184443393199962e-23,4.7856179242562909e-25,3.188248142270036e-36,7.2264396561137668e-41,4.9352486513608586e-29,2.6550422345051153e-23,1.3530756503923127e-27,4.1770500639579304e-36,4.4480394468901052e-41,5.2528861311685846e-44,1.1864539285700536e-55,1.4129616905894073e-38,2.5801811169076349e-28,1.7067961597131767e-38,1.7067961597951145e-38,7.2636150052821886e-49,9.301580229667368e-50,4.2906473414323814e-45,1.4266205796154248e-28,1.2965049931327557e-38,8.3013384026635853e-40,2.5948492330112633e-88,3.2107882727306467e-49,3.3126529063076275e-43,2.4613521051724156e-88,2.7796066845298326e-25,1.0105473672465994e-59,1.0105413165595303e-59,7.6812661946423621e-36,2.3380245570809176e-36,6.5773151769177702e-28,7.6811200262333563e-36,3.5848377075680621e-46,2.4613521051723787e-88,6.65926900510616e-53,4.2051356423183467e-54,7.6957825939211543e-63,4.527445362256044e-74,7.5922042843033837e-44,6.2904234427367006e-85,1.1211146939307666e-33,3.1777275557919688e-66,2.4072150311069334e-86,9.3520857955304915e-44,1.1112593383061124e-97,3.7555316696468291e-91,5.5050910755828677e-101,1.2548765494808403e-60,4.1114279245741089e-45,1.2612310790047668e-62,5.5867539602286547e-44,1.8138517635284373e-54,4.5939144724508787e-37,2.3775558291009083e-54,1.6070809005793916e-55,3.1850754274018644e-47,3.3694247693397104e-48,2.5825101312772616e-65,3.0153763082333876e-48,1.0001557180685348e-52,1.3171389094390453e-70,1.9351946901912088e-54,5.2683312973090688e-40,1.2201854922364886e-71,4.2920225341885448e-21,3.0626854991677391e-38,2.9802044816328522e-37,3.0626854991677339e-38,5.5189525150625741e-65,2.3653625016248096e-58,1.3024145515748281e-58,1.2283919071494502e-98,2.7343389435036288e-103,1.8162443293205019e-46
5.753005945210102e-20,0.22714898541950493,76.950000000000003,0.0,0.0,0.0,0.99999999999995803,9.5,1.8494233870463002e-15,1.8440888049920348e-14,1.8440879345199856e-14,2.9830850542017441e-24,2.9823512966659224e-24,3.1762947717693713e-15,8.6545361220466147e-23,1.9550810486714897e-24,2.6132869633111128e-35,5.9246718883518334e-40,2.0162101071062925e-28,1.0846713551822518e-22,5.5277555289268904e-27,3.4220990136288547e-35,3.6467606593433662e-40,4.306633415749257e-43,1.9487540329392395e-54,1.1584313320700505e-37,1.0540881753486826e-27,1.399334611766523e-37,1.3993346119011063e-37,1.1930508427332364e-47,1.527787319675304e-48,3.5177317176900887e-44,5.8282104067766066e-28,1.0629530033134269e-37,6.805938476071322e-39,3.5482368368526587e-86,5.2737291598787844e-48,2.7159128808468848e-42,3.3656908065941159e-86,1.1355599960709088e-24,3.3224506709947931e-58,3.3224108679789319e-58,6.2975657887936435e-35,1.9168536916718024e-35,2.6870477160798044e-27,6.2974459511324134e-35,5.8881064095660229e-45,3.3656908065940145e-86,1.0937868748983176e-51,3.5452271815098069e-53,2.5302048068929619e-61,2.9783046223188796e-72,6.224547596103021e-43,8.277843135868752e-83,4.5801193344252075e-33,5.36254907727435e-65,3.1677594686620255e-84,7.6674049468479806e-43,2.9250171488973705e-95,4.9420683388754111e-89,1.4490304451968443e-98,4.1257593441717721e-59,3.3707964806893832e-44,4.1466515971274861e-61,4.5803584327629658e-43,2.9792568264713601e-53,1.8767639574057275e-36,3.9051424139493785e-53,2.6396352007543379e-54,2.6113172688380619e-46,2.7624590060679388e-47,8.4873076944121809e-64,2.4721861003613824e-47,9.9683724973840033e-52,8.6645791451044446e-69,3.1785629510383151e-53,4.3192931056168465e-39,8.0267872414623453e-70,8.7066747738738867e-21,2.5109743436460623e-37,1.2175108336986105e-36,2.510974343646054e-37,1.8145107517082198e-63,3.8839700649595061e-57,2.1386094420826264e-57,3.2333249486999214e-96,7.4839571683322501e-101,1.4890668337049466e-45
1.1587040143169643e-19,0.22714898541950498,76.950000000000003,0.0,0.0,0.0,0.99999999999991551,9.5,3.7248949908112862e-15,3.7141506907432158e-14,3.7141489379347959e-14,1.2058106737234056e-23,1.2052160239592204e-23,6.3973256835212614e-15,3.498301684312068e-22,7.9027499932038678e-24,2.1152854361683052e-34,4.7979529328248603e-39,8.1498436157881285e-28,4.3844148031146131e-22,2.234407165482791e-26,2.7672654684216234e-34,2.9532238082120711e-39,3.4876233961211602e-42,3.159013874913217e-53,9.3812767941176362e-37,4.2607929377876857e-27,1.1332174484084963e-36,1.1332174486266617e-36,1.9339864941453252e-46,2.4766089972783042e-47,2.8487500198501539e-43,2.3558557055397015e-27,8.6080670406409746e-37,5.5116249605631148e-38,4.6928828863428922e-84,8.5489415170147759e-47,2.1994164813812019e-41,4.4514482863606646e-84,4.5901148147881728e-24,1.0776237359654358e-56,1.0775979109617598e-56,5.0999315326719304e-34,1.5523176590324293e-34,1.086147530838254e-26,5.099834485078045e-34,9.5448732863651852e-44,4.4514482863603957e-84,1.773075467907614e-50,3.0291034376973004e-52,8.2066576461116387e-60,1.9324254247320703e-70,5.0407997375873284e-42,1.0743042445438523e-80,1.8513574639750349e-32,9.1569432394451863e-64,4.111140290167534e-82,6.2092632884256424e-42,7.5926214048604435e-93,6.4138508915272749e-87,3.7613248580157589e-96,1.3381800241451363e-57,2.7297575191282335e-43,1.3449563439872992e-59,3.7092930105746218e-42,4.8295032409334827e-52,7.5861799819176176e-36,6.3304035706162322e-52,4.2789623963807531e-53,2.1147124261469029e-45,2.2371125574991814e-46,2.7506216243616297e-62,2.0020378431625452e-46,1.0937054492079295e-50,5.6218738798313919e-67,5.1525870677638554e-52,3.497870373600615e-38,5.2080528071477226e-68,1.7535980744755177e-20,2.0334516904320841e-36,4.9213739484192128e-36,2.0334516904320704e-36,5.8853215599580838e-62,6.2923740097502023e-56,3.4648008329361377e-56,8.3928895719454314e-94,1.9804565666712865e-98,1.2058849280606835e-44
2.3255108539088724e-19,0.22714898541950498,76.950000000000003,0.0,0.0,0.0,0.99999999999983047,9.5,7.4758381983404275e-15,7.4542744592224137e-14,7.4542709429353125e-14,4.8485116806447311e-23,4.8437253390071157e-23,1.2839386280190648e-14,1.4066515680956767e-21,3.1776608570143711e-23,1.7009226894892282e-33,3.8618099579147295e-38,3.2770162724711519e-27,1.7629537171251375e-21,8.9844529354578831e-26,2.2208614609963002e-33,2.3769832387744569e-38,2.8071427240247628e-41,5.0874931694070306e-52,7.5508669493342596e-36,1.7132460996946474e-26,9.1211198952538587e-36,9.1211198987673416e-36,3.1146245516200091e-45,3.9885021675711548e-46,2.2929213228301152e-42,9.4727911648170206e-27,6.9285180689627285e-36,4.4362345069977313e-37,6.1055692882778721e-82,1.3767804472053443e-45,1.7702814324016136e-40,5.7914562549030404e-82,1.8456647781169293e-23,3.471675066239998e-55,3.4715086580223193e-55,4.1048677468184234e-33,1.2494400457908989e-33,4.3673505004513109e-26,4.1047896345543013e-33,1.5371721150298761e-42,5.7914562549023405e-82,2.8554827657058867e-49,2.6925709788476857e-51,2.643883418822391e-58,1.2452471215376391e-68,4.0572737048082731e-41,1.3846292380775615e-78,7.4442269304926566e-32,1.6241559351077969e-62,5.2986898985509742e-80,4.9977552424581053e-41,1.9572200203195949e-90,8.2665651450257199e-85,9.6959139669081779e-94,4.3111243657831331e-56,2.1971449428983206e-42,4.3329549745205668e-58,2.9855617127474704e-41,7.7777646036666824e-51,3.0503696033617048e-35,1.019491797064569e-50,6.8911369823730846e-52,1.7021045345670113e-44,1.8006254391203209e-45,8.8472480079428262e-61,1.6114101138764902e-45,1.3414162220163998e-49,3.6227127651072402e-65,8.2980811795852199e-51,2.8153820642879785e-37,3.3560481723279028e-66,3.5194598652559532e-20,1.6366981273749054e-35,1.9788632180500276e-35,1.6366981273748837e-35,1.8960343696983921e-60,1.0121749140768434e-54,5.5735970795389393e-55,2.1635008402368138e-91,5.1543131788309682e-96,9.7060109885451932e-44
4.659124533092688e-19,0.227148985419505,76.950000000000003,0.0,0.0,0.0,0.99999999999966049,9.5,1.4977724613395384e-14,1.4934521984100754e-13,1.493451494561994e-13,1.9444700349799534e-22,1.9406319206325393e-22,2.5723502566193716e-14,5.641300700542126e-21,1.2743840015336878e-22,1.3622538125470532e-32,3.0988593139067385e-37,1.314230092495984e-26,7.0702313671789054e-21,3.6031674632707618e-25,1.771797849147241e-32,1.9073340851742573e-37,2.252555245866948e-40,8.1665490815856615e-51,6.0590939585783383e-35,6.8708831202692175e-26,7.3191242775449093e-35,7.3191242831848256e-35,4.9996587371034545e-44,6.4024284226657971e-45,1.8399241097788543e-41,3.7990121256259335e-26,5.55969431965902e-35,3.5597975849841563e-36,7.8789137112860134e-80,2.2100367928327848e-44,1.4205388848678775e-39,7.4735674825497204e-80,7.4019396429889531e-23,1.1146606442095352e-53,1.1145537871729105e-53,3.2938965117045572e-32,1.0025965408673292e-32,1.751502122782503e-25,3.2938338316641576e-32,2.4675007056244612e-41,7.4735674825479137e-80,4.5836802602178829e-48,2.5690355548092498e-50,8.4889509244716642e-57,7.9968832150402276e-67,3.255705885806469e-40,1.7784450234582678e-76,2.9854679451101921e-31,3.0869581569018857e-61,6.8057415117785064e-78,4.0103837609982202e-40,5.0278517465865053e-88,1.0617740157450577e-82,2.4907582253879162e-91,1.3842110851704878e-54,1.7630682112854507e-41,1.3912203020596691e-56,2.3957252449773349e-40,1.24850299506438e-49,1.2233346403510165e-34,1.6365095319630989e-49,1.1061800872355417e-50,1.3658316912725623e-43,1.4448927338011011e-44,2.8315612699375488e-59,1.2930485282525191e-44,1.8164198095793778e-48,2.3264788487186567e-63,1.3320253393436273e-49,2.259153447192924e-36,2.1552288956312979e-64,7.0511858332330025e-20,1.3133460491473995e-34,7.9361297679538382e-35,1.3133460491473644e-34,6.0877663725401497e-59,1.6209496453249111e-53,8.9265146686236233e-54,5.5577011679710469e-89,1.3304103620273263e-93,7.7884625411865786e-43
