Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135),C7H9(45),S(2133),S(2134),S(376),C7H9(418),S(2170),C7H9(1844),C7H9(2013),S(2054),C5H7(447),S(308),S(2063),HO2(26),S(794),OO(1533),S(995),S(1218),S(2281),S(2282),S(1827),S(971)
0.0,0.22586492006194264,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.021685683005795e-23,0.22586492006194264,76.950000000000003,0.0,0.0,0.0,0.99999999999999933,9.5,1.6724943021346248e-17,2.1539094456600592e-16,2.1539037644437322e-16,5.1647757396656291e-29,5.1647849703480644e-29,3.4559224960439395e-16,1.4129264328154607e-26,2.9319275878419051e-29,1.8543846031713608e-42,5.588667120525478e-47,1.0045499347897965e-32,2.5475597532297494e-26,2.8201163370731e-31,2.1053701992827449e-42,6.6614470049177393e-47,3.3602080842898964e-49,9.4480788629870582e-63,4.2607791716237054e-43,2.4580353220929421e-31,1.5877546690448115e-43,1.5877546690450584e-43,2.1612708576958237e-56,3.066196027734838e-57,1.0092006746253582e-47,1.0360008623879068e-31,2.8204338063985799e-44,2.0006754134561588e-45,1.4012239358981435e-100,1.4563015517696704e-56,1.1568628501118047e-47,1.3019006221693006e-100,2.8313290074693136e-28,1.7460090282722139e-69,1.7460089869329359e-69,1.1781339436844344e-40,3.5313844674484737e-41,2.8815201228151546e-30,1.178087808781562e-40,4.9444443380786527e-53,1.3019006221692993e-100,7.28373360158968e-60,7.5977471972017792e-58,6.0998037807070961e-72,2.0879318861575278e-85,1.7327127503083303e-48,1.0564986755159203e-98,6.2820083848126083e-36,2.504588461439789e-72,2.6817072908645723e-99,3.2522924136751692e-48,4.2707786753274042e-113,2.760934508334255e-104,1.1432105922568074e-116,6.2954838447272569e-69,7.4256995561404136e-49,2.067016610677473e-70,2.6365641472997973e-48,3.1610656805308556e-61,3.0740848834815266e-39,3.5889230043509854e-61,2.5458034146534969e-62,7.3712480982606299e-52,7.2674945354162657e-52,4.3275465636562593e-74,2.5468723077988224e-52,7.5692205540379908e-56,8.4508330913076907e-81,9.3118570810463315e-61,8.7996985065769802e-45,7.5913434971220636e-82,5.6812166196476374e-22,4.0015034903190725e-43,3.6726541346464863e-40,4.0015034903190725e-43,2.2202797284025236e-72,4.1651494225043844e-65,2.6466039793361307e-65,9.2176590129769932e-114,5.7929602178392303e-117
1.4060719912416226e-22,0.22586492006194264,76.950000000000003,0.0,0.0,0.0,0.99999999999999778,9.5,4.682984045976944e-17,6.0309464478455277e-16,6.0309305404407546e-16,3.1195245467498134e-28,3.1195275606738452e-28,9.6765829876085486e-16,8.5340756532380337e-26,1.7708842629260643e-28,2.2015177584167121e-41,6.6348886690075158e-46,6.0674816061303468e-32,1.5387260907763521e-25,1.7033502675915289e-30,2.4994710057662672e-41,7.9084697819392334e-46,3.9892390376674869e-48,2.113504466505238e-61,5.0583970320260121e-42,1.48465333454285e-30,1.8849823430882446e-42,1.8849823430887968e-42,4.8346764558708008e-55,6.8589578655276828e-56,1.1981230406280574e-46,6.2574452081405396e-31,3.348419013195674e-43,2.3752018503589592e-44,1.4931128386753123e-98,3.2576883185949057e-55,1.3734275754269752e-46,1.3872761404082354e-98,1.7101227203176227e-27,7.2049550736712534e-68,7.2049547624794982e-68,1.3986806176795471e-39,4.1924596389628553e-40,1.7404381538244562e-29,1.3986258463230407e-39,1.1060524204524769e-51,1.3872761404082331e-98,1.6293420714386874e-58,9.0201446573950968e-57,2.5171092642386323e-70,1.5717480334690353e-83,2.0570765769264756e-47,1.4421200618525723e-96,3.794333064422172e-35,5.6027230578237413e-71,3.6605288523300674e-97,3.8611215534398336e-47,1.0536006406319612e-110,3.7686739578466106e-102,2.8203205697871758e-114,2.5978490354268455e-67,8.8157904964936969e-48,8.529601918609615e-69,3.1301289556700742e-47,7.0711774821454085e-60,1.8567472696212689e-38,8.0282772017395109e-60,5.694860406389442e-61,8.7511457422296213e-51,8.6279695126974873e-51,1.7857448866029849e-72,3.0236467970118282e-51,8.9921249590321776e-55,6.3615762168788189e-79,2.0830251812904519e-59,1.0447002044379209e-43,5.7145739034874788e-80,1.5907406538885275e-21,4.7505849418483322e-42,2.2182830978696515e-39,4.7505849418483322e-42,9.1620464654829435e-71,9.3172378604595868e-64,5.9203228647540213e-64,2.2739954795590462e-111,1.0689613189445815e-114
3.213878837123709e-22,0.22586492006194264,76.950000000000003,0.0,0.0,0.0,0.99999999999999489,9.5,1.0703963533661559e-16,1.3785020452205926e-15,1.3784984092428025e-15,1.5019167850824258e-27,1.5019156272589138e-27,2.2117903965479844e-15,4.1087900651763369e-25,8.5260454234875763e-28,2.1614470019775463e-40,6.5141831461405253e-45,2.9212312103686904e-31,7.4083037597758647e-25,8.200898308199235e-30,2.4539435718987815e-40,7.7645823118049078e-45,3.9166585430437193e-47,4.1759354318702002e-60,4.9663642008150728e-41,7.1479667166269737e-30,1.8506868422331907e-41,1.8506868422342816e-41,9.5525059556612165e-54,1.3552144906113556e-54,1.1763243054530974e-45,3.0126905068004061e-30,3.2874976392799566e-42,2.3319872603863024e-43,3.3979754752849015e-96,6.4366431472922959e-54,1.3484393373904608e-45,3.1571159127782734e-96,8.2335047508131182e-27,2.850208515534429e-66,2.8502082694844876e-66,1.3732329239444754e-38,4.1161817328028257e-39,8.3794605118080106e-29,1.3731791491022568e-38,2.1853731961825951e-50,3.1571159127782622e-96,3.2193053642328837e-57,8.8562416060455634e-56,9.9574504293345497e-69,1.2427359945888849e-81,2.0196499810167119e-46,2.278200104328189e-94,1.8268080382965431e-34,1.1070291113333547e-69,5.7827482148562464e-95,3.7908720371462675e-46,3.3259096208833449e-108,5.953591268393156e-100,8.9029563629491876e-112,1.0276832433661951e-65,8.6553953513130547e-47,3.3742256936667379e-67,3.0731791700794892e-46,1.3971455098266576e-58,8.939438841140684e-38,1.5862522861255897e-58,1.1252084496737549e-59,8.5919267832538521e-50,8.4709916312602189e-50,7.0639728219384978e-71,2.9686343408688116e-50,8.841117061276399e-54,5.0299070247321853e-77,4.1157067371193988e-58,1.0256928509116288e-42,4.5183417508046909e-78,3.6359786392848126e-21,4.6641524625546503e-41,1.0680078231673136e-38,4.6641524625546503e-41,3.6244144671686992e-69,1.8409141479977627e-62,1.1697454930032165e-62,7.1783397646594561e-109,4.8612863755727552e-112
6.829492528887881e-22,0.22586492006194261,76.950000000000003,0.0,0.0,0.0,0.99999999999998923,9.5,2.2745922509030706e-16,2.9293168460884567e-15,2.9293091196375488e-15,6.5592651892478506e-27,6.5592372105825547e-27,4.7000545900190741e-15,1.7944165681762452e-24,3.7235480345373183e-27,1.9117465991054988e-39,5.7617252361928346e-44,1.2757784171830021e-30,3.2354008838983273e-24,3.5815477480731941e-29,2.1703930092106023e-39,6.8676847382229039e-44,3.4642401265698847e-46,7.4308594558353139e-59,4.3926928913551862e-40,3.1217048590380916e-29,1.6369115535870126e-40,1.636911553588953e-40,1.6998173929356724e-52,2.4115317761684703e-53,1.0404455256422972e-44,1.315721094174894e-29,2.9077544255824025e-41,2.0626163210265513e-42,5.7424283339522416e-94,1.1453662562006689e-52,1.1926793224815588e-44,5.3353863213481915e-94,3.5957878364814594e-26,1.0172191303040567e-64,1.0172189544378769e-64,1.2146089688712927e-37,3.6407161254049408e-38,3.6595305504588407e-28,1.214561405633023e-37,3.8887548354984378e-49,5.3353863213481521e-94,5.7285818841498789e-56,7.8336191435682783e-55,3.5537460228777892e-67,8.8825640794822006e-80,1.786357535498253e-45,3.2588934939867635e-92,7.9781506486400649e-34,1.9699901391126339e-68,8.2720391852358899e-93,3.3529833863121868e-45,9.5183341621369727e-106,8.5164248008159355e-98,2.5479177857100312e-109,3.6677284957355768e-64,7.6555991066176844e-46,1.2042371815936514e-65,2.7181921732725784e-45,2.4861457815577198e-57,3.9040878019971597e-37,2.8226511868205564e-57,2.0022483164544208e-58,7.5994619392174338e-49,7.4924961678686998e-49,2.5208981383523817e-69,2.6257234301351348e-49,7.8422741474130506e-53,3.5951672180362256e-75,7.3236802325243924e-57,9.0721370250259427e-42,3.229521751357145e-76,7.7264546162724139e-21,4.125390026280705e-40,4.6642707593805523e-38,4.125390026280705e-40,1.2935277778835779e-67,3.2757545824402956e-61,2.0814619278387104e-61,2.0543503329079054e-106,1.648793315203476e-109
1.4060719912416226e-21,0.22586492006194264,76.950000000000003,0.0,0.0,0.0,0.9999999999999778,9.5,4.6829840459768659e-16,6.0309464478073214e-15,6.0309305404162072e-15,2.738364097055972e-26,2.7383332599283652e-26,9.6765829685485758e-15,7.4913359332930673e-24,1.5545080052540691e-26,1.6068897663701891e-38,4.8430788233333962e-43,5.3261237542551432e-30,1.3507161787293048e-23,1.4952256819074806e-28,1.8241908621277683e-38,5.7727021830551958e-43,2.9119025624988082e-45,1.2533234924644694e-57,3.6923230514538924e-39,1.3032503277557286e-28,1.3759227920987991e-39,1.3759227921020728e-39,2.8669904734911917e-51,4.0674008138859508e-52,8.7455715402780318e-44,5.4928765628609501e-29,2.4441427888882602e-40,1.733753296633968e-41,8.4081800068855083e-92,1.9318275979333916e-51,1.0025188334348157e-43,7.8121808383641908e-92,1.5011706370561194e-25,3.4369532430525102e-63,3.436952053669089e-63,1.0209520223521083e-36,3.0602412679853866e-37,1.5277819641518307e-27,1.0209120425856067e-36,6.5589534120748658e-48,7.8121808383640791e-92,9.6620906389659805e-55,6.5852576288649919e-54,1.2007308909409522e-65,6.0072845646979478e-78,1.5015411431835916e-44,4.409758060234309e-90,3.3307208455628947e-33,3.322983358543349e-67,1.1193275122117299e-90,2.8183845681226228e-44,2.5764562412322574e-103,1.1523964515495991e-95,6.8967989085206279e-107,1.2392425619793073e-62,6.4349922286131646e-45,4.0688452577171246e-64,2.2848043049735393e-44,4.1932482298700622e-56,1.6298798051999652e-36,4.7608137831259036e-56,3.3770844401858278e-57,6.3878056616831127e-48,6.2978944874472482e-48,8.5163044207152568e-68,2.2070787115848425e-48,6.6295973760287839e-52,2.4314133254541257e-73,1.2352457147518406e-55,7.6256776633526337e-41,2.1841271201396631e-74,1.590740659502774e-20,3.4676388787042637e-39,1.9472412297258376e-37,3.4676388787042631e-39,4.3705380028020206e-66,5.5248573971725945e-60,3.5105626275589602e-60,5.5607876909217213e-104,4.8381180329626148e-107
2.8523174679472913e-21,0.22586492006194264,76.950000000000003,0.0,0.0,0.0,0.99999999999995492,9.5,9.4997676361243222e-16,1.2234205651177603e-14,1.2234173381930188e-14,1.1187110842173841e-25,1.1186828315692641e-25,1.9629639691956868e-14,3.0604551591102529e-23,6.3506724169622184e-26,1.3173458817011748e-37,3.9706492607330817e-42,2.1758953407517862e-29,5.5181163072854479e-23,6.1084847906803601e-28,1.4953273677035672e-37,4.7328089582120921e-42,2.3873536504637752e-44,2.0585879319500596e-56,3.0271895128801431e-38,5.3242028289142293e-28,1.128064634698006e-38,1.1280646347033833e-38,4.7090404281411424e-50,6.6807180388948232e-51,7.1701479040446644e-43,2.2440192999066623e-28,2.0038559089148077e-39,1.4214356963845817e-40,1.1497474943631394e-89,3.1730326193494095e-50,8.2192550693970093e-43,1.0682496493973655e-89,6.1327718604440283e-25,1.1299948360866892e-61,1.1299940536710814e-61,8.3703814851738465e-36,2.5089706752513341e-36,6.241487804787537e-27,8.3700537069124003e-36,1.0773100640637668e-46,1.0682496493973346e-89,1.5870012836091153e-53,5.400023127188971e-53,3.947741124157691e-64,3.9517931073284369e-76,1.2310541459862178e-43,5.8029946637815048e-88,1.3607081441291291e-32,5.4590188705996077e-66,1.4729723244989102e-88,2.3106819477872942e-43,6.7816576402879914e-101,1.5164892028459773e-93,1.8153518782911815e-104,4.0743584009025671e-61,5.2757952427647071e-44,1.3377472946150831e-62,1.8732206112349502e-43,6.8874227649647533e-55,6.658590820830567e-36,7.8196508990744148e-55,5.5468713328322084e-56,5.2371090161462062e-47,5.1633944061796502e-47,2.7991591031314603e-66,1.8094964030761364e-47,5.4971583889026223e-51,1.5994648907285853e-71,2.0288947903551629e-54,6.2519910372194497e-40,1.436791766375996e-72,3.2269310651658884e-20,2.8429798393589579e-38,7.9551158255948963e-37,2.8429798393589574e-38,1.4369372691468517e-64,9.0739986526402893e-59,5.7656919965643772e-59,1.4636909017788457e-101,1.3245276282299086e-104
5.744808421358629e-21,0.22586492006194267,76.950000000000003,0.0,0.0,0.0,0.99999999999990929,9.5,1.9133334816418689e-15,2.464072405764837e-14,2.4640659064784821e-14,4.522009068513632e-25,4.5217683094045287e-25,3.9535753004170609e-14,1.2370849030004418e-22,2.5670433230064251e-25,1.0666922151846332e-36,3.2155349725944988e-41,8.7953168630508538e-29,2.2305108298753784e-22,2.4691472186312574e-27,1.2105428409054625e-36,3.8327496782886431e-41,1.933340882443895e-43,3.3370599674371561e-55,2.4514965438680454e-37,2.1521279100628289e-27,9.1353598819959659e-38,9.1353598820831346e-38,7.6335573514039334e-49,1.0829731795276542e-49,5.8065716229824168e-42,9.070684764319749e-28,1.6227744388664563e-38,1.1511154717868585e-39,1.5206511264040002e-87,5.1436225750044709e-49,6.65616581576382e-42,1.4128624246649727e-87,2.4789644309989206e-24,3.665109905213246e-60,3.6651048286407427e-60,6.77855189927214e-35,2.0318294889414581e-35,2.5229091459133858e-26,6.7782864559687187e-35,1.7463660272665249e-45,1.4128624246648914e-87,2.5725974524470781e-52,4.3747487294828612e-52,1.2804404587938736e-62,2.5640583812370445e-74,9.969395606199863e-43,7.5311683075781064e-86,5.5001998768549691e-32,8.8525752540196786e-65,1.9116341012150969e-86,1.8712501485249985e-42,1.7603510054105432e-98,1.9681106352578756e-91,4.7122064873209883e-102,1.3215083727908522e-59,4.2724754930593205e-43,4.3389512511744048e-61,1.5169826174306656e-42,1.1164808958118321e-53,2.6915088714096857e-35,1.267599096381126e-53,8.9917174584422077e-55,4.2411466620680869e-46,4.1814506643956352e-46,9.0737201202760122e-65,1.4653769869636193e-46,4.5518608096755539e-50,1.0377873854766906e-69,3.2889258688794491e-53,5.0630240547451145e-39,9.3223951353931474e-71,6.4993119161403131e-20,2.302318751851309e-37,3.2155850347410594e-36,2.302318751851309e-37,4.6606715598182476e-63,1.4707410218600393e-57,9.3450813663578355e-58,3.7993799052572723e-99,3.5054873278401502e-102
1.1529790328181305e-20,0.22586492006194264,76.950000000000003,0.0,0.0,0.0,0.99999999999981792,9.5,3.8400469177005252e-15,4.9453760869510792e-14,4.9453630429800725e-14,1.818279957604065e-24,1.8180813801352762e-24,7.934797909018667e-14,4.9742639475537359e-22,1.0321968247305855e-24,8.5835969407380487e-36,2.5881423962596304e-40,3.5365582274228283e-28,8.9687858761892576e-22,9.928332368829274e-27,9.7368756849296262e-36,3.0849276100381069e-40,1.5561209390061953e-42,5.3742322282335524e-54,1.9731776796368011e-36,8.6536116718271844e-27,7.352932390902448e-37,7.3529323910428316e-37,1.2293608434082648e-47,1.7440949073619914e-48,4.6736339246558688e-41,3.6472824222941931e-27,1.3061499988622329e-37,9.2651786302786754e-39,1.9784088054271232e-85,8.2836454713368071e-48,5.3574612606741988e-41,1.8381727493470986e-85,9.9678068712008992e-24,1.1807631658045951e-58,1.1807598944899261e-58,5.4559682180421185e-34,1.6353931164048257e-34,1.0144506572716338e-25,5.4557545662282603e-34,2.8124686139431354e-44,1.8381727493468863e-85,4.1430888342574473e-51,3.5238667028706587e-51,4.1251095282296177e-61,1.6522692636249966e-72,8.024236836750935e-42,9.7066343599203753e-84,2.2116061795410604e-31,1.426733338826868e-63,2.4638319704804364e-84,1.5061449125749759e-41,4.5378202384629326e-96,2.5366224522041594e-89,1.2147093372922187e-99,4.2574152023108661e-58,3.4388595250381882e-42,1.3978509216783193e-59,1.2209995848982394e-41,1.7980580174298043e-52,1.0822438794452714e-34,2.0414292297068697e-52,1.4480883757984584e-53,3.4136438043646768e-45,3.365595279503093e-45,2.919820210778577e-63,1.1794626995281228e-45,3.8249040740563953e-49,6.6874614482200875e-68,5.2967136641788752e-52,4.0751616190551271e-38,6.0073150845031065e-69,1.3044073776681943e-19,1.8531063783220436e-36,1.2929726212658123e-35,1.8531063783220436e-36,1.5014974070864149e-61,2.3679608290654374e-56,1.5045606726380601e-56,9.7940115158569965e-97,9.1239032372426778e-100
2.3099754141826657e-20,0.22586492006194264,76.950000000000003,0.0,0.0,0.0,0.99999999999963518,9.5,7.6934737898169678e-15,9.9079834488919742e-14,9.9079573157059152e-14,7.2921158729583493e-24,7.2905033338790573e-24,1.5897242910857343e-13,1.9949022915290612e-21,4.1395708869059408e-24,6.8844761862798275e-35,2.076821324540198e-39,1.4183180256284549e-27,3.5968842195120255e-21,3.9817053352207723e-26,7.8026161939135504e-35,2.4754556752168277e-39,1.2486890524145222e-41,8.6268324833900554e-53,1.5833507986535458e-35,3.4704853222343845e-26,5.9002651714286728e-36,5.9002651716540169e-36,1.9733963033758142e-46,2.799658546341017e-47,3.750296764437701e-40,1.4627233582823614e-26,1.0481030390438076e-36,7.4347221343914197e-38,2.5530317583723711e-83,1.3297085157708527e-46,4.2990251623619029e-40,2.3720645569322173e-83,3.9975363146258324e-23,3.7911776860744415e-57,3.7911566780420561e-57,4.3780707758683527e-33,1.3122999480039417e-33,4.0684007463686859e-25,4.3778993338229421e-33,4.5146348792347943e-43,2.3720645569316698e-83,6.6505749609126566e-50,2.8319955416959748e-50,1.3244860906021539e-59,1.0610753505604241e-70,6.4389446084962019e-41,1.2467397632398779e-81,8.8695299435204571e-31,2.2936048178359934e-62,3.1645956506799218e-82,1.2085864353714883e-40,1.1657093911896888e-93,3.2580893220857893e-87,3.1204368617764778e-97,1.3669667014087656e-56,2.7594674768578736e-41,4.4882060179238571e-58,9.7977527082838346e-41,2.8862811797985874e-51,4.3402820014799943e-34,3.2769459029094989e-51,2.3245025432647607e-52,2.7392341681204109e-44,2.7006782649453366e-44,9.3531749800398652e-62,9.4644424031063487e-45,3.3279032113617668e-48,4.2946393659873575e-66,8.5023982972624761e-51,3.2700595702405874e-37,3.8578543011573313e-67,2.6133598132136329e-19,1.4870010831985794e-35,5.1853986794891034e-35,1.4870010831985802e-35,4.8209931618905373e-60,3.7991054161374398e-55,2.4137549417736342e-55,2.515957875783479e-94,2.3550976476292596e-97
