Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83),C7H10(302),C7H11(63),C5H7(274),C2H4(119),S(516),S(515),C7H10(296),C7H9(54),S(762),S(761),S(532),S(787),C7H9(751),S(520),C7H10(137),S(896),S(895),C7H10(991),C7H10(990),C7H10(121),C7H10(978),S(1195),S(531),S(788),OH(D)(234),S(423),S(1534),C7H9(448),S(1600),C7H9(55),H2O(1361),S(1592),C7H9(1672),S(1837),S(1596),S(1656),S(1234),C7H9(1617),S(1238),C7H9(1221),S(2135)
0.0,0.15748801559895076,76.950000000000003,0.0,0.0,0.0,1.0,9.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.1308658309068559e-20,0.15748801559895076,76.950000000000003,0.0,0.0,0.0,0.99999999999999944,9.5,2.6280131097107931e-17,2.8222513636284605e-16,2.8222513637574072e-16,1.678381088293658e-26,1.6783279206950895e-26,2.7017560533786056e-18,1.8345830053733324e-26,1.2895433216195461e-26,1.6461403584878676e-38,4.2952735674115381e-43,5.0781996419931703e-44,1.5445157827297403e-26,1.001006305998772e-29,2.5293890406523962e-38,1.1613412316812254e-43,2.669115046529537e-60,1.0045949224339989e-59,4.059007725163767e-43,2.2095286131098891e-31,2.7482990324054042e-42,2.748299032545486e-42,1.2557529764110946e-52,1.4506745220895074e-53,9.3874916218157692e-52,1.7161496234126288e-33,1.5682863996771075e-43,9.0586013577262337e-45,1.3559121422579736e-95,3.4951013839378102e-55,5.9803058657353635e-50,1.3164401843281851e-95,1.5053713687880467e-28,1.0392598727897324e-65,1.03925598746524e-65,4.8604230293391474e-40,1.5000384000942392e-40,7.157795759597819e-32,4.8603836641980932e-40,5.3679877789349934e-51,1.3164401843281844e-95,9.3367578949534404e-60,1.0045949364057579e-59,1.3972381964785078e-67,3.4964063765199441e-79,4.5100646747653818e-50,5.0540964229192077e-90,1.2884457850901962e-37,6.2315896229420001e-72,1.6610848662450741e-92,3.298871412536932e-48,8.5437856476138818e-104,6.4435889411081399e-97,1.2934325180334621e-106,9.8921625307315014e-67,2.2215295312602075e-50,2.6119968098096139e-69,1.4230072574191944e-48,4.2312822906404155e-59
3.166424326539196e-20,0.15748801559895076,76.950000000000003,0.0,0.0,0.0,0.99999999999999833,9.5,7.3584367071901834e-17,7.9023038171981189e-16,7.9023038179769267e-16,1.0137421772492652e-25,1.0136790584442522e-25,7.5649168367344904e-18,1.1080881214674888e-25,7.7888416347277998e-26,1.9542509482485673e-37,5.099348780152198e-42,7.6741865792612328e-43,9.3288752116920906e-26,6.0460780876186804e-29,3.0026561018447749e-37,1.3787426745722331e-42,7.5273421616096935e-59,2.2472386316740182e-58,4.8188539164381247e-42,1.3345552822254909e-30,3.2627806109166878e-41,3.2627806112300456e-41,2.8090690936287334e-51,3.2451008631690806e-52,1.1144829775881967e-50,1.0365543723402447e-32,1.8618695548115565e-42,1.0754371475931586e-43,1.4448296061815531e-93,7.8184019525351184e-54,7.0998191216698421e-49,1.4027691719885993e-93,9.0924429544240945e-28,4.2885307988092819e-64,4.2885015512011285e-64,5.7702940746558627e-39,1.7808455435502825e-39,4.3233085195713896e-31,5.7702473403547798e-39,1.2007973652130756e-49,1.402769171988598e-93,2.088595393405281e-58,2.2472386893288714e-58,5.7657424752994617e-66,2.6320074205698567e-77,5.3543487735696868e-49,6.8988166342401537e-88,7.7822125408785947e-37,2.5714829067896998e-70,2.2673726314703953e-90,3.9164201389928284e-47,2.1077443173220179e-101,8.7954670866787057e-95,3.1908865143825415e-104,4.0820284702214517e-65,2.6373998068956578e-49,1.0778477715797962e-67,1.6893942157516918e-47,9.4652091432221816e-58
7.237541317803877e-20,0.15748801559895076,76.950000000000003,0.0,0.0,0.0,0.99999999999999623,9.5,1.6819283902148812e-16,1.8062408720491405e-15,1.8062408724240715e-15,4.8807322035563962e-25,4.8801125368324931e-25,1.7291237952543881e-17,5.3349671729555976e-25,3.7499919374883006e-25,1.9185958646008001e-36,5.0065708728871246e-41,8.2555710212728667e-42,4.4914517221847797e-25,2.9109263369236095e-28,2.947528826743447e-36,1.3536542690531248e-41,1.6373673402983592e-57,4.4401647314807635e-57,4.731179234334365e-41,6.4253092055303246e-30,3.2034173510712149e-40,3.2034173516903578e-40,5.550246795060346e-50,6.4117723911895822e-51,1.0942059374021587e-49,4.9905631018689461e-32,1.8279944449197463e-41,1.0558705569086165e-42,3.2880941338020207e-91,1.5447844574951306e-52,6.9706445104723687e-48,3.1923744265485897e-91,4.3776197708520875e-27,1.6964964937776773e-62,1.6964733688281962e-62,5.6653086310934503e-38,1.7484446195208947e-38,2.0814868280525114e-30,5.6652627470676051e-38,2.3725731166687861e-48,3.1923744265485854e-91,4.1267125360587098e-57,4.4401649595576237e-57,2.2808703280263376e-64,2.0810490734121669e-75,5.2569313591398093e-48,1.089843919752208e-85,3.7468003414430481e-36,1.0172530658268219e-68,3.5818929640160673e-88,3.8451645123429326e-46,6.653521982810116e-99,1.3894682099104629e-92,1.0072679786316615e-101,1.6148097844852708e-63,2.5894146585259024e-48,4.263858372714404e-66,1.6586572584530648e-46,1.8701657855193526e-56
1.537977530033324e-19,0.15748801559895076,76.950000000000003,0.0,0.0,0.0,0.99999999999999201,9.5,3.5740978292065482e-16,3.8382618511695832e-15,3.8382618528067267e-15,2.131543980891334e-24,2.130995959294109e-24,3.6743878380553264e-17,2.3299202032650874e-24,1.6377199752828653e-24,1.6967996865242664e-35,4.4282552426380915e-40,7.5883511719110329e-41,1.9615348642736977e-24,1.2712780076669927e-27,2.606172644325103e-35,1.1972857080186e-40,3.0354259696037909e-56,7.9010354999162224e-56,4.1846742470901594e-40,2.8061013372098826e-29,2.833386368137574e-39,2.8333863692393048e-39,9.8763663171851893e-49,1.1409406146730022e-49,9.6781265556568995e-49,2.1795100186185401e-31,1.616840163268973e-40,9.3390552914543232e-42,5.556733720336077e-89,2.7488613438731488e-51,6.1654561214003784e-47,5.3949716468217672e-89,1.91182146312449e-26,6.0546493968282559e-61,6.0544841130100802e-61,5.0109007773286179e-37,1.5464792957403847e-37,9.0903987666911982e-30,5.0108601934061854e-37,4.2218666469458771e-47,5.3949716468217505e-89,7.3432644581918977e-56,7.9010363139062972e-56,8.1402637806284229e-63,1.4874467869617692e-73,4.6496962229859567e-47,1.5589861173126982e-83,1.6363261454120831e-35,3.6305039382845695e-67,5.1237808491678246e-86,3.401004458637989e-45,1.9041525626697987e-96,1.9875889048061064e-90,2.8826716284658548e-99,5.7631408177939785e-62,2.2903077430150695e-47,1.5217406065770919e-64,1.4670635604399903e-45,3.3278599541649172e-55
3.166424326539196e-19,0.1574880155989508,76.950000000000003,0.0,0.0,0.0,0.99999999999998346,9.5,7.3584367071896455e-16,7.9023038032591961e-15,7.902303810091634e-15,8.8987765189585006e-24,8.8941711872685129e-24,7.5649152022135845e-17,9.726957172458199e-24,6.8371583026628801e-24,1.4259653289209001e-34,3.7222153591725762e-39,6.4920957793362357e-40,8.1890210618955936e-24,5.3073354258436392e-27,2.1891607785534555e-34,1.0063804112386312e-39,5.217200687081436e-55,1.3326249851305774e-54,3.5174705023594649e-39,1.1714920693751543e-28,2.3816319645050072e-38,2.3816319663632364e-38,1.6657930946281501e-47,1.9243630277865347e-48,8.1350467616026018e-48,9.0990252752957233e-31,1.3590512058859961e-39,7.8500383380277602e-41,8.136282175953418e-87,4.6363562335389477e-50,5.1824373530513658e-46,7.8994268681933518e-87,7.9814774201874217e-26,2.0457115571140655e-59,2.0455997805269578e-59,4.2119631087020222e-36,1.2999087449210944e-36,3.7950616485408109e-29,4.211928995434203e-36,7.1207936689417527e-46,7.8994268681933018e-87,1.2385488788008889e-54,1.3326252601593983e-54,2.7504108762416178e-61,1.0059608819995414e-71,3.9083497879461387e-46,2.1095345449995268e-81,6.831339537677542e-35,1.2266652289291936e-65,6.9332193419312575e-84,2.8587491608832216e-44,5.1542248745762126e-94,2.6894964219324317e-88,7.8029135567866566e-97,1.9472346218858711e-60,1.9251413258654394e-46,5.1416164963063723e-63,1.2331553181357371e-44,5.6129217552202512e-54
6.423317919550941e-19,0.15748801559895076,76.950000000000003,0.0,0.0,0.0,0.99999999999996636,9.5,1.4927114463154891e-15,1.6030387682846013e-14,1.6030387710739819e-14,3.6354405630265853e-23,3.6316666693404003e-23,1.5345967044756688e-16,3.9737785456394167e-23,2.793202087379477e-23,1.1686056924312251e-33,3.0516970469850581e-38,5.3679584922817906e-39,3.3454815960011237e-23,2.1682196917985406e-26,1.7923768274205448e-33,8.2507446159876812e-39,8.6473896713439429e-54,2.1888400932579379e-53,2.8838342639939476e-38,4.7859273461702056e-28,1.9526057729533084e-37,1.9526057760054545e-37,2.7360687119621329e-46,3.160771781444575e-47,6.669599948891961e-47,3.7172487065610091e-30,1.1142316768723179e-38,6.4359351271262373e-40,1.112567762495362e-84,7.6152283624783059e-49,4.2488752294318652e-45,1.0801798027260885e-84,3.2606932643492334e-25,6.7257360819846176e-58,6.7250008432368993e-58,3.4532203172227286e-35,1.0657432580428796e-35,1.5504057845381239e-28,3.4531923490462699e-35,1.1695920015940126e-44,1.0801798027260746e-84,2.0343202411188013e-53,2.1888409974923472e-53,9.0427473913303793e-60,6.6175453640125785e-70,3.2043012023049864e-45,2.7760283019118306e-79,2.7908250957488256e-34,4.03300690523054e-64,9.1237250237437242e-82,2.3437752599548854e-43,1.3566764690577433e-91,3.5392255889684974e-86,2.0538547535052673e-94,6.402078730966019e-59,1.5783466241213227e-45,1.6904503000725468e-61,1.0110152312499827e-43,9.2192393009529118e-53
1.2937105105574431e-18,0.15748801559895076,76.950000000000003,0.0,0.0,0.0,0.99999999999993217,9.5,3.0064469975081591e-15,3.228655534375126e-14,3.2286555456349693e-14,1.4695031973109701e-22,1.4664499690701778e-22,3.0908059186757818e-16,1.6062641425876682e-22,1.1290568055483131e-22,9.4557961437462375e-33,2.4713434034179496e-37,4.3654082300584658e-38,1.3522965775836628e-22,8.7642906324661166e-26,1.4475937041699063e-32,6.681391533900998e-38,1.4080886219227483e-52,3.5482026672727698e-52,2.3354028314715055e-37,1.9345483491271474e-27,1.5812707736835879e-36,1.5812707786312432e-36,4.4352805926085271e-45,5.1237463886165729e-46,5.4012102867142659e-46,1.5025713509606946e-29,9.0233270888345215e-38,5.2119861866264741e-39,1.4714773628919363e-82,1.2344611155426636e-47,3.4408492842513223e-44,1.4286411858643251e-82,1.3180237928077852e-24,2.1814011683575345e-56,2.1809242046719763e-56,2.796504889219106e-34,8.6306576324920633e-35,6.266982178366852e-28,2.7964822397699931e-34,1.8959574251332617e-43,1.4286411858642891e-82,3.2977207385782894e-52,3.548205600134223e-52,2.9329922630136222e-58,4.2936875070290636e-68,2.5949260508084152e-44,3.6027478546888637e-77,1.1280961198937666e-33,1.3080961296242238e-62,1.1840830561334281e-79,1.8980499388116402e-42,3.5215957444004587e-89,4.5932308943405088e-84,5.3312977620952638e-92,2.0764971544939416e-57,1.278185131706355e-44,5.4829304090580066e-60,8.1874634229365259e-43,1.4944779209196833e-51
2.596467947762141e-18,0.15748801559895076,76.950000000000003,0.0,0.0,0.0,0.99999999999986378,9.5,6.0339180998919817e-15,6.4798890273295216e-14,6.4798890724823433e-14,5.9088076934589779e-22,5.8842803115981835e-22,6.2032197298488256e-16,6.4587119962046462e-22,4.5398866506294211e-22,7.598199733889505e-32,1.9891521959151559e-36,3.5213010860222715e-37,5.4375204528911377e-22,3.5240826922478583e-25,1.1588889885411089e-31,5.3773219396659693e-37,2.2729363136483765e-51,5.7142663485863646e-51,1.879733886844431e-36,7.7787337904032991e-27,1.2727442764865587e-35,1.2727442844545897e-35,7.14286754101893e-44,8.2516327809933208e-45,4.3473564109953831e-45,6.0417732369789919e-29,7.2627426926657458e-37,4.1950583988431111e-38,1.9144323677763278e-80,1.9880608672773625e-46,2.7694947930481311e-43,1.8587013277500707e-80,5.2997112095017689e-24,7.0271899016807967e-55,7.0241174522053113e-55,2.2508664741457325e-33,6.9466919047264361e-34,2.5199212329718852e-27,2.2508482437461955e-33,3.0533757964448875e-42,1.8587013277499756e-80,5.3108774670152724e-51,5.7142757971826263e-51,9.449017678014972e-57,2.7668333269177561e-66,2.0886220139081878e-43,4.6434399820063148e-75,4.5360248403564766e-33,4.2142059731656745e-61,1.5261180706346347e-77,1.5277156639762694e-41,9.0779370578168396e-87,5.9200360577715909e-82,1.3742970484824494e-89,6.6897009989014112e-56,1.0287931674865688e-43,1.7663960909838699e-58,6.5899827866435643e-42,2.4068090149189361e-50
5.201982822171537e-18,0.15748801559895076,76.950000000000003,0.0,0.0,0.0,0.999999999999727,9.5,1.2088860304653562e-14,1.2982355856972681e-13,1.2982356037078693e-13,2.3696961374314783e-21,2.3500905099456739e-21,1.242802888334098e-15,2.5902279919318404e-21,1.8206967106648997e-21,6.076876502075583e-31,1.5961694014283197e-35,2.8292091622555995e-36,2.180685203498313e-21,1.4133147586021421e-24,9.200434909469207e-31,4.3142510377240259e-36,3.6534332088191147e-50,9.1726480413243012e-50,1.5083656756350186e-35,3.1196201327190668e-26,1.0212971118032776e-34,1.0212971245936822e-34,1.146583576408872e-42,1.3245689015995576e-43,3.4884676603618089e-44,2.4230212290878693e-28,5.8278680056533995e-36,3.3662677355392675e-37,2.4704734948725969e-78,3.1912757242801258e-45,2.2223450616755508e-42,2.3985555417867303e-78,2.1254176269322776e-23,2.2559722181073806e-53,2.2540005067746207e-53,1.8061722498414657e-32,5.5742631736785171e-33,1.0105973205525475e-26,1.8061576208493114e-32,4.9013277195173902e-41,2.3985555417864868e-78,8.5251341335052383e-50,9.1726783787366239e-50,3.0338765397728027e-55,1.776837571724965e-64,1.6759872679168906e-42,5.9641191109435512e-73,1.8191488058330012e-32,1.3530931875566266e-59,1.9601739198263934e-75,1.225895522531409e-40,2.3320051607929412e-84,7.6038061495888167e-80,3.5303923151435564e-87,2.1479155123238323e-54,8.2553943709995514e-43,5.6715082909298214e-57,5.2880460525709635e-41,3.8634563456260095e-49
