Time (s),Volume (m^3),N2,Ar,He,Ne,C7H10(1),O2(2),C7H10(21),C7H9(5),C7H11(22),S(68),C7H9O2(58),C7H10(18),C7H10(157),C7H9O2(57),S(82),S(87),C7H8(52),C7H10(150),C7H10(56),S(211),S(207),C7H8(271),C7H11O(83)
5.2816144739733166e-24,0.5299520296644137,76.950000000000003,0.0,0.0,0.0,0.99999999999955536,9.5,1.7259836416184141e-16,1.3169185693702488e-15,1.3169185693702543e-15,1.2181288443970624e-29,1.2181285955289678e-29,4.417880406410027e-13,1.6775228917178348e-24,5.1687489332818537e-30,1.9145450480488671e-43,5.9381275741183678e-48,7.3753931513802664e-47,6.4281472037335781e-24,7.0243614589707225e-31,1.624745235252421e-43,1.7621633897469113e-47,1.3583375240168187e-62,0.0
1.0565522310723e-23,0.5299520296644137,76.950000000000003,0.0,0.0,0.0,0.9999999999991106,9.5,3.4527167333624298e-16,2.6344089661680679e-15,2.6344089661680884e-15,4.8741020638708474e-29,4.8741000721701114e-29,8.8376791280710321e-13,6.7122766415175824e-24,2.0681728340040152e-29,1.5322118036990103e-42,4.7523067774872035e-47,5.9033038086113771e-46,2.572096186399771e-23,2.8106595490367376e-30,1.3002772462331312e-42,1.4102662663744731e-46,2.1745197597925527e-61,0.0
2.1133337984222368e-23,0.5299520296644136,76.950000000000003,0.0,0.0,0.0,0.99999999999822098,9.5,6.9061829168473866e-16,5.2693897597589133e-15,5.2693897597589946e-15,1.949958208002576e-28,1.9499566143399865e-28,1.7677276570893489e-12,2.6853477337265957e-23,8.274038049007432e-29,1.2259924712577484e-41,3.8025674635429485e-46,4.7238390573324603e-45,1.0290059593720628e-22,1.1244468387713179e-29,1.0403989749288671e-41,1.1284272772904939e-45,3.4801756641281109e-60,0.0
4.22689693312211e-23,0.5299520296644138,76.950000000000003,0.0,0.0,0.0,0.99999999999644185,9.5,1.3813115283805006e-15,1.0539351346921431e-14,1.0539351346921762e-14,7.8004676420544667e-28,7.8004548915529068e-28,3.5356471454540187e-12,1.0742265150880385e-22,3.3098845812143178e-28,9.8087147451432302e-41,3.0423428183069818e-45,3.7795497138757445e-44,4.1163588307689595e-22,4.4981534194548108e-29,8.3236560121235093e-41,9.0282753118891238e-45,5.5690364166851193e-59,0.0
8.454023202521856e-23,0.5299520296644137,76.950000000000003,0.0,0.0,0.0,0.99999999999288358,9.5,2.7626980017671069e-15,2.1079274521169794e-14,2.1079274521171122e-14,3.1203140232945696e-27,3.1203038224246342e-27,7.0714861213840781e-12,4.2970809093560971e-22,1.3240077065910563e-27,7.8470942360129616e-40,2.4339897997988684e-44,3.0238311786600851e-43,1.6466105331897778e-21,1.7993345832529511e-28,6.6587192299779543e-40,7.2229630176282075e-44,8.911062617723315e-58,0.0
1.690827574132135e-22,0.5299520296644137,76.950000000000003,0.0,0.0,0.0,0.99999999998576694,9.5,5.5254709485206492e-15,4.2159120869359826e-14,4.2159120869365127e-14,1.2481510030190841e-26,1.2481428421543315e-26,1.4143164070047053e-11,1.7188673338326633e-21,5.2961385754119624e-27,6.2774242890926549e-39,1.9472380591236137e-43,2.4191415221653349e-42,6.5865761356328384e-21,7.1974847664828957e-28,5.3262672708794405e-39,5.7785073848164072e-43,1.4258183765524243e-56,0.0
3.3816780818920335e-22,0.5299520296644137,76.950000000000003,0.0,0.0,0.0,0.99999999997153377,9.5,1.1051016841949051e-14,8.4318813564513073e-14,8.4318813564534265e-14,4.9926547995679832e-26,4.9925895122735589e-26,2.8286519954584464e-11,6.875539273468719e-21,2.1184769793012572e-26,5.02135896836654e-38,1.5578089352419147e-42,1.9353438720976159e-41,2.6346572540454492e-20,2.8790231934858142e-27,4.2597296880177389e-38,4.6228604725583707e-42,2.2813481146678096e-55,0.0
6.763379097411831e-22,0.5299520296644137,76.950000000000003,0.0,0.0,0.0,0.99999999994306732,9.5,2.2102108628491123e-14,1.6863819894991238e-13,1.6863819894999713e-13,1.9970720770803855e-25,1.9970198475723875e-25,5.657323167250511e-11,2.7502296949454053e-20,8.4739510087506477e-26,4.0160872830606972e-37,1.2462545433919058e-41,1.5482873950427079e-40,1.0538682607837058e-19,1.1516151347491266e-26,3.4056703825071207e-37,3.6983098451748811e-41,3.6501880345215013e-54,0.0
1.3526781128451425e-21,0.5299520296644137,76.950000000000003,0.0,0.0,0.0,0.99999999988613453,9.5,4.4204292200316365e-14,3.3727696970108218e-13,3.3727696970142115e-13,7.9883086205503914e-25,7.9878907934459396e-25,1.1314665490372974e-10,1.1000946733904106e-19,3.3895890162932709e-25,3.2112425989845648e-36,9.970065927576223e-41,1.2386348918387047e-39,4.2154837549553923e-19,4.6064722533337953e-26,2.7211368339031546e-36,2.9586558887800778e-40,5.8403259554842664e-53,0.0
2.7053585190530614e-21,0.5299520296644137,76.950000000000003,0.0,0.0,0.0,0.99999999977226894,9.5,8.8408659338931192e-14,6.7455451112490681e-13,6.7455451112626219e-13,3.1953275088122712e-24,3.1949932629504972e-24,2.2629350054771219e-10,4.4003842707478808e-19,1.355837324649629e-24,2.5663829399374571e-35,7.9760645735351403e-40,9.9090999474043681e-39,1.6861956391211849e-18,1.8425912438848765e-25,2.1714803499594568e-35,2.3669269973022044e-39,9.3445424387693882e-52,0.0
5.410719331468899e-21,0.5299520296644137,76.950000000000003,0.0,0.0,0.0,0.99999999954453778,9.5,1.768173935960182e-13,1.3491095936584964e-12,1.3491095936639173e-12,1.2781318141572711e-23,1.2778644433740889e-23,4.5258718856181026e-10,1.7601548128214357e-18,5.4233526994400436e-24,2.0489362919611062e-34,6.3808563902666976e-39,7.9272897381090318e-38,6.7447867889454131e-18,7.3703696580951795e-25,1.7285564866493394e-34,1.8935410423028673e-38,1.495128728524165e-50,0.0
1.0821440956300574e-20,0.5299520296644137,76.950000000000003,0.0,0.0,0.0,0.99999999908907533,9.5,3.5363486202962166e-13,2.698219757469445e-12,2.6982197574911169e-12,5.1125288660025901e-23,5.1103903164988955e-23,9.0517455149453917e-10,7.0406213730062352e-18,2.1693417316053817e-23,1.6325143304434056e-33,5.1046870029419197e-38,6.3418380307150505e-37,2.6979155286147258e-17,2.9481487977097541e-24,1.3692364486054819e-33,1.5148302595535931e-37,2.3922083659564446e-49,0.0
2.1642884205963926e-20,0.5299520296644137,76.950000000000003,0.0,0.0,0.0,0.99999999817815044,9.5,7.0726979857454653e-13,5.3964400800664736e-12,5.3964400801530763e-12,2.0450118587631313e-22,2.0433016865526417e-22,1.8103492249781298e-09,2.8162489036869015e-17,8.6773680033811521e-23,1.2955190427678327e-32,4.0837503556900933e-37,5.0734766456807716e-36,1.0791663472885761e-16,1.1792597043465033e-23,1.0742255168905528e-32,1.2118594146379534e-36,3.827538024678795e-48,0.0
